,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-09,117.90M,,-0.30M,,0.20M,-17.10M,17.50M,,,,281.30M,9.30M,3.90M,20.70M,-8.50M,37.10M,-19.40M,-161.60M,101.90M,,-13.10M,-55.10M,,387.00M,-226.60M,6.00M,6.00M,0.30M,,,48.90M,878.20M,,878.20M,,-990.50M,-990.50M,-97.90M,-97.90M,-36.10M,-246.30M,43.20M,189.60M,-4.50M,228.30M,,1.992B,-1.114B,-990.50M,41.70M,93.10M
2015-06,157.90M,,-1.10M,,-2.70M,-73.30M,-77.10M,,,,155.00M,65.00M,8.60M,7.10M,-21.80M,-51.50M,14.30M,-6.10M,-21.20M,,19.80M,-44.70M,,265.80M,-123.70M,14.40M,14.40M,0.40M,,,-108.90M,-110.50M,,-110.50M,,2.20M,2.20M,-45.20M,-45.20M,1.70M,-151.80M,39.70M,5.10M,-1.60M,43.20M,,-123.40M,12.90M,2.20M,3.00M,5.40M
2015-03,110.40M,,1.80M,,-2.40M,-51.90M,-52.50M,,,,152.70M,28.20M,-2.70M,10.70M,8.00M,25.70M,-3.00M,58.80M,-85.30M,,-24.60M,-28.40M,,218.40M,-108.30M,4.90M,4.90M,3.90M,,,-99.50M,-53.00M,,-53.00M,-1.80M,-26.80M,-28.60M,-45.10M,-45.10M,15.20M,-111.50M,32.80M,7.40M,-0.50M,39.70M,-1.80M,209.50M,-262.50M,-26.80M,35.80M,36.00M
2014-12,125.60M,,0.60M,,-2.20M,4.60M,3.00M,,,,151.80M,58.90M,-2.90M,10.70M,7.80M,94.80M,-19.10M,-79.30M,-5.40M,,-5.70M,-14.70M,,332.40M,-126.90M,3.50M,3.50M,0.20M,,,-123.20M,-174.00M,,-174.00M,1.80M,-8.70M,-6.90M,-26.30M,-26.30M,-1.20M,-208.40M,32.60M,0.80M,-0.60M,32.80M,1.80M,50.30M,-224.30M,-8.70M,8.80M,5.60M
2014-09,155.30M,,1.00M,,-1.50M,42.30M,41.80M,,,,151.20M,79.90M,1.80M,13.20M,-41.30M,-36.70M,-58.40M,36.10M,25.50M,,-2.90M,-36.40M,,402.70M,-156.50M,2.60M,2.60M,-73.50M,,0.10M,-227.30M,0.70M,,0.70M,,-160.60M,-160.60M,-25.10M,-25.10M,2.70M,-182.30M,40.00M,-6.90M,-0.50M,32.60M,,-183.90M,184.60M,-160.60M,8.20M,37.50M
2014-06,134.40M,,1.60M,,-4.10M,-130.80M,-133.30M,,,,146.70M,61.80M,1.90M,9.80M,11.70M,-39.60M,16.00M,-5.40M,6.50M,,19.20M,-3.30M,,218.00M,-150.60M,6.50M,6.50M,-331.30M,,1.50M,-473.90M,313.60M,,313.60M,,-19.90M,-19.90M,-25.10M,-25.10M,-5.00M,263.60M,32.20M,7.70M,0.10M,40.00M,,480.10M,-166.50M,-19.90M,-4.00M,6.30M
2014-03,83.50M,,-0.30M,,-1.50M,-51.30M,-53.10M,,,,143.40M,58.90M,1.80M,10.10M,11.90M,-27.40M,-42.30M,79.80M,-21.30M,,-6.80M,-18.00M,,226.60M,-126.50M,10.00M,10.00M,4.00M,,0.70M,-111.80M,-80.80M,,-80.80M,,-7.90M,-7.90M,-25.10M,-25.10M,6.10M,-107.70M,24.60M,7.10M,0.50M,32.20M,,248.90M,-329.70M,-7.90M,7.20M,36.70M
2013-12,110.60M,,-2.00M,,-1.70M,-35.20M,-38.90M,,,,143.20M,51.50M,4.10M,9.50M,13.60M,171.00M,4.20M,-130.50M,-12.60M,,-7.60M,24.50M,,304.50M,-100.60M,3.30M,3.30M,-59.80M,,2.70M,-154.40M,-86.90M,,-86.90M,,-58.90M,-58.90M,-25.80M,-25.80M,9.90M,-161.70M,36.40M,-11.60M,-0.20M,24.60M,,66.60M,-153.50M,-58.90M,7.40M,6.40M
2013-09,178.30M,,-9.30M,,-1.70M,-79.60M,-90.60M,,,,142.50M,71.00M,6.00M,10.80M,16.80M,-21.90M,-58.60M,55.80M,21.60M,,-5.00M,-8.10M,,309.90M,-133.30M,14.90M,14.90M,0.00,,7.70M,-110.70M,-186.10M,,-186.10M,2.50M,0.00,2.50M,-21.60M,-21.60M,0.30M,-204.90M,42.30M,-5.70M,-0.20M,36.40M,2.50M,54.90M,-241.00M,0.00,6.70M,38.40M
2013-06,141.70M,,0.90M,,-1.20M,-45.00M,-45.30M,,,,132.40M,53.40M,9.10M,13.00M,22.10M,-46.40M,-17.20M,24.40M,0.00,,4.90M,-34.30M,,270.00M,-113.10M,4.60M,4.60M,-6.00M,,2.00M,-112.50M,-145.60M,,-145.60M,1.00M,0.60M,1.60M,-21.60M,-21.60M,-0.60M,-166.20M,51.30M,-8.70M,-0.30M,42.30M,1.00M,71.40M,-217.00M,0.60M,3.10M,8.40M
