,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2017-03,385.30M,,385.30M,1.564B,,1.564B,851.60M,,801.30M,,1.588B,5.90M,222.80M,4.992B,0.0,1.878B,,10.80B,208.40M,51.80M,12.94B,-4.302B,8.634B,4.458B,2.283B,6.741B,,2.247B,17.96B,22.95B,1.225B,1.225B,,1.225B,214.20M,214.20M,578.50M,2.321B,5.460B,5.460B,3.033B,3.033B,,432.60M,71.90M,12.90M,1.934B,10.87B,13.19B,2.50M,-147.20M,10.43B,,-601.60M,9.685B
2016-12,493.30M,,493.30M,1.518B,,1.518B,870.50M,,836.60M,,1.656B,7.30M,360.80M,4.035B,0.0,2.172B,,10.82B,202.10M,62.40M,13.25B,-4.175B,9.079B,4.762B,2.520B,7.282B,,2.203B,18.84B,22.87B,1.213B,1.213B,,1.213B,283.40M,283.40M,439.80M,2.232B,5.484B,5.484B,3.116B,3.116B,,467.70M,78.50M,12.70M,1.928B,11.01B,13.24B,2.50M,-139.20M,10.43B,,-742.10M,9.552B
2016-09,340.90M,,340.90M,1.592B,,1.592B,871.40M,,800.60M,,1.638B,25.50M,263.50M,3.913B,0.0,2.308B,,10.70B,201.10M,62.40M,13.27B,-3.978B,9.294B,4.778B,2.599B,7.377B,,2.196B,19.13B,23.04B,1.054B,1.054B,,1.054B,292.90M,292.90M,429.80M,2.183B,5.496B,5.496B,3.131B,3.131B,,468.10M,101.20M,13.70M,1.916B,11.03B,13.21B,2.50M,-105.90M,10.46B,,-626.40M,9.729B
2016-06,258.70M,,258.70M,1.597B,,1.597B,888.00M,,837.00M,,1.691B,7.30M,331.50M,3.885B,0.0,2.296B,,10.57B,202.10M,62.90M,13.13B,-3.782B,9.345B,4.788B,2.651B,7.439B,,2.232B,19.56B,23.45B,1.110B,1.110B,,1.110B,345.20M,345.20M,476.30M,2.307B,5.514B,5.514B,3.283B,3.283B,,423.70M,109.70M,14.30M,1.882B,11.12B,13.42B,2.50M,83.30M,10.44B,,-611.40M,9.913B
2016-03,367.60M,,367.60M,1.663B,,1.663B,1.035B,,1.044B,,2.059B,7.30M,352.60M,4.449B,0.0,2.385B,,10.81B,164.70M,65.80M,13.43B,-3.640B,9.787B,5.210B,3.449B,8.660B,,1.829B,20.82B,25.27B,1.243B,1.243B,,1.243B,518.90M,518.90M,444.70M,2.557B,5.858B,5.858B,3.514B,3.514B,,438.10M,139.40M,14.40M,1.812B,11.64B,14.19B,2.50M,1.060B,10.55B,,-677.20M,10.94B
2015-12,236.90M,,236.90M,1.491B,,1.491B,1.036B,,1.023B,,2.027B,7.30M,245.70M,4.008B,0.0,2.393B,,10.51B,148.60M,65.70M,13.12B,-3.356B,9.763B,5.229B,3.494B,8.723B,,1.806B,20.82B,24.83B,1.314B,1.314B,,1.314B,184.80M,184.80M,475.00M,2.249B,5.632B,5.632B,3.533B,3.533B,,442.60M,146.70M,14.10M,1.838B,11.46B,13.71B,2.60M,1.104B,10.70B,,-827.50M,10.98B
2015-09,207.80M,,207.80M,1.575B,,1.575B,974.70M,,859.70M,,1.761B,7.30M,261.70M,4.176B,0.0,2.245B,,9.733B,161.30M,59.10M,12.20B,-3.038B,9.160B,4.647B,2.795B,7.442B,,4.062B,21.20B,25.37B,1.231B,1.231B,,1.231B,63.70M,63.70M,528.80M,2.179B,5.558B,5.558B,3.190B,3.190B,,459.00M,132.10M,14.20M,1.827B,11.41B,13.59B,2.60M,1.662B,10.77B,,-780.20M,11.65B
2015-06,43.20M,,43.20M,1.026B,,1.026B,688.90M,,387.60M,,996.20M,7.30M,232.20M,2.305B,0.0,1.288B,,7.342B,,25.00M,8.655B,-2.872B,5.783B,1.920B,621.90M,2.541B,,206.90M,8.531B,10.84B,752.50M,752.50M,,752.50M,129.00M,129.00M,211.00M,1.316B,2.514B,2.514B,1.228B,1.228B,,1.04B,0.60M,14.10M,166.60M,4.963B,6.279B,1.40M,2.207B,2.880B,,-532.50M,4.556B
2015-03,39.70M,,39.70M,974.00M,,974.00M,700.80M,,397.50M,,1.014B,8.80M,236.90M,2.273B,0.0,1.276B,,7.235B,,25.10M,8.536B,-2.750B,5.785B,1.916B,644.80M,2.561B,,201.80M,8.548B,10.82B,789.80M,789.80M,,789.80M,126.40M,126.40M,190.40M,1.319B,2.623B,2.623B,1.153B,1.153B,,1.121B,0.50M,13.40M,164.60M,5.075B,6.394B,1.40M,2.096B,2.870B,,-541.20M,4.426B
2014-12,32.80M,,32.80M,1.017B,,1.017B,697.30M,,422.90M,,1.032B,8.80M,232.00M,2.322B,0.0,1.285B,,7.164B,,25.50M,8.474B,-2.653B,5.821B,1.922B,668.10M,2.591B,,164.30M,8.576B,10.90B,756.80M,756.80M,,756.80M,128.20M,128.20M,221.40M,1.278B,2.680B,2.680B,1.181B,1.181B,,1.197B,0.50M,12.90M,161.00M,5.231B,6.510B,1.40M,2.054B,2.849B,,-517.10M,4.388B
2014-09,32.60M,,32.60M,1.119B,,1.119B,691.00M,,421.80M,,1.029B,8.80M,243.20M,2.432B,0.0,1.280B,,7.092B,,25.00M,8.398B,-2.565B,5.833B,1.926B,691.10M,2.618B,,157.10M,8.607B,11.04B,812.80M,812.80M,,812.80M,132.60M,132.60M,190.70M,1.360B,2.852B,2.852B,1.133B,1.133B,,1.193B,0.60M,13.70M,180.60M,5.372B,6.732B,1.40M,1.961B,2.840B,,-495.30M,4.307B
2014-06,40.00M,,40.00M,1.08B,,1.08B,638.60M,,404.80M,,964.80M,8.90M,280.70M,2.374B,0.0,1.258B,,6.993B,,25.00M,8.276B,-2.463B,5.813B,1.914B,685.00M,2.599B,,184.10M,8.596B,10.97B,787.10M,787.10M,,787.10M,63.10M,63.10M,206.90M,1.268B,2.923B,2.923B,1.192B,1.192B,,887.20M,0.40M,14.60M,168.50M,5.185B,6.453B,0.70M,1.931B,2.889B,,-303.30M,4.517B
2014-03,32.20M,,32.20M,1.001B,,1.001B,642.20M,,386.40M,,952.20M,8.90M,271.90M,2.266B,0.0,1.203B,,6.663B,,24.70M,7.891B,-2.350B,5.541B,1.884B,669.90M,2.554B,,187.50M,8.283B,10.55B,818.30M,818.30M,,818.30M,32.00M,32.00M,171.10M,1.243B,2.635B,2.635B,1.101B,1.101B,,985.70M,0.40M,14.50M,164.40M,4.901B,6.144B,0.70M,1.836B,2.885B,,-317.20M,4.405B
2013-12,24.60M,,24.60M,981.20M,,981.20M,624.10M,,374.00M,,925.30M,9.20M,326.50M,2.267B,0.0,1.196B,,6.580B,,24.70M,7.800B,-2.257B,5.543B,1.887B,691.20M,2.578B,,203.20M,8.325B,10.59B,738.30M,738.30M,,738.30M,3.20M,3.20M,203.50M,1.128B,2.750B,2.750B,1.132B,1.132B,,1.048B,0.50M,14.00M,166.90M,5.112B,6.240B,0.70M,1.785B,2.872B,,-307.30M,4.351B
2013-09,36.40M,,36.40M,1.135B,,1.135B,647.60M,,370.90M,,937.90M,9.30M,297.90M,2.416B,0.0,1.203B,,6.482B,,24.70M,7.709B,-2.155B,5.555B,1.862B,699.40M,2.562B,,200.80M,8.317B,10.73B,802.10M,802.10M,,802.10M,2.90M,2.90M,189.40M,1.243B,2.842B,2.842B,1.063B,1.063B,,1.094B,0.50M,13.30M,165.40M,5.177B,6.421B,0.70M,1.741B,2.871B,,-300.60M,4.312B
2013-06,42.30M,,42.30M,1.111B,,1.111B,594.10M,,358.30M,,879.00M,9.30M,291.90M,2.334B,0.0,1.200B,,6.398B,,24.90M,7.624B,-2.065B,5.558B,1.860B,730.20M,2.590B,,228.10M,8.377B,10.71B,758.10M,758.10M,,758.10M,54.10M,54.10M,207.70M,1.233B,2.972B,2.972B,871.60M,871.60M,,1.512B,0.30M,11.50M,165.00M,5.532B,6.765B,0.70M,1.586B,2.857B,,-497.90M,3.946B
2013-03,51.30M,,51.30M,1.067B,,1.067B,601.80M,,358.10M,,905.30M,9.30M,210.50M,2.244B,0.0,1.207B,,6.285B,,23.40M,7.515B,-1.956B,5.559B,1.864B,749.50M,2.613B,,228.70M,8.401B,10.64B,754.60M,754.60M,,754.60M,29.70M,29.70M,198.90M,1.186B,3.149B,3.149B,727.00M,727.00M,,1.575B,0.40M,11.50M,174.20M,5.637B,6.823B,0.70M,1.468B,2.842B,,-488.90M,3.821B
2012-12,31.00M,,31.00M,1.001B,,1.001B,611.80M,,349.50M,,910.10M,11.30M,171.90M,2.125B,0.0,1.209B,,6.194B,,20.30M,7.423B,-1.855B,5.569B,1.865B,772.30M,2.637B,,211.30M,8.417B,10.54B,677.50M,677.50M,,677.50M,87.40M,87.40M,216.30M,1.166B,3.164B,3.164B,930.50M,930.50M,,1.622B,0.50M,11.20M,179.30M,5.907B,7.073B,0.70M,1.143B,2.822B,,-496.60M,3.469B
2012-09,37.20M,,37.20M,1.076B,,1.076B,569.80M,,325.40M,,861.90M,40.60M,174.50M,2.190B,0.0,1.208B,,6.135B,,20.00M,7.363B,-1.752B,5.611B,1.865B,795.10M,2.660B,,225.50M,8.497B,10.69B,708.90M,708.90M,,708.90M,261.30M,261.30M,226.70M,1.408B,3.151B,3.151B,888.80M,888.80M,,1.647B,0.50M,11.40M,173.90M,5.873B,7.281B,0.70M,1.095B,2.811B,,-500.50M,3.406B
2012-06,19.50M,,19.50M,1.066B,,1.066B,566.40M,,324.60M,,855.50M,40.60M,104.30M,2.086B,0.0,1.197B,,6.001B,,18.40M,7.217B,-1.633B,5.584B,1.859B,817.90M,2.677B,,244.30M,8.505B,10.59B,758.50M,758.50M,,758.50M,257.70M,257.70M,219.30M,1.444B,3.103B,3.103B,907.70M,907.70M,,1.408B,9.10M,,173.70M,5.592B,7.036B,0.70M,1.027B,2.799B,,-280.10M,3.546B
2012-03,34.90M,,34.90M,1.054B,,1.054B,599.80M,,359.00M,,921.60M,41.10M,153.30M,2.205B,0.0,1.168B,,5.899B,,14.80M,7.082B,-1.534B,5.548B,1.815B,810.30M,2.625B,,225.40M,8.398B,10.60B,760.20M,760.20M,,760.20M,260.00M,260.00M,200.20M,1.432B,3.148B,3.148B,896.10M,896.10M,,1.472B,8.40M,,156.60M,5.673B,7.105B,0.70M,982.60M,2.785B,,-277.40M,3.491B
2011-12,41.00M,,41.00M,986.30M,,986.30M,626.50M,,343.50M,,932.70M,41.10M,202.70M,2.204B,0.0,1.159B,,5.786B,,9.70M,6.955B,-1.426B,5.529B,1.862B,813.40M,2.676B,,167.20M,8.372B,10.58B,729.30M,729.30M,,729.30M,161.00M,161.00M,179.40M,1.246B,3.315B,3.315B,881.70M,881.70M,,1.519B,7.20M,,153.30M,5.869B,7.116B,0.70M,970.00M,2.770B,,-288.20M,3.452B
2011-09,41.70M,,41.70M,1.110B,30.10M,1.110B,577.10M,,331.10M,,849.80M,41.10M,186.70M,2.229B,0.0,1.135B,,5.704B,,6.90M,6.846B,-1.319B,5.527B,1.839B,799.40M,2.639B,,171.10M,8.337B,10.57B,780.70M,780.70M,,780.70M,143.30M,143.30M,174.30M,1.318B,3.302B,3.302B,827.10M,827.10M,,1.586B,7.00M,,153.30M,5.869B,7.187B,0.70M,907.40M,2.763B,,-299.20M,3.372B
2011-06,51.60M,,51.60M,1.128B,,1.128B,557.70M,,334.40M,,833.70M,41.50M,231.50M,2.286B,0.0,1.163B,,5.694B,,5.10M,6.863B,-1.249B,5.614B,1.853B,833.10M,2.686B,,178.50M,8.478B,10.76B,845.90M,845.90M,,845.90M,241.50M,241.50M,192.20M,1.550B,3.242B,3.242B,979.60M,979.60M,,1.305B,8.70M,,139.20M,5.666B,7.215B,0.70M,837.50M,2.764B,,-62.00M,3.540B
2011-03,11.90M,,11.90M,330.10M,,330.10M,181.90M,,154.60M,,280.40M,,88.20M,710.60M,0.0,428.10M,,1.986B,,5.20M,2.419B,-1.166B,1.252B,751.80M,145.60M,897.40M,24.40M,28.60M,2.203B,2.913B,264.00M,264.00M,,264.00M,237.80M,237.80M,50.70M,629.30M,774.80M,774.80M,194.90M,194.90M,164.10M,,13.20M,,28.80M,1.163B,1.792B,0.40M,878.80M,302.20M,,-73.10M,1.108B
2010-12,10.00M,,10.00M,284.40M,,284.40M,192.40M,,146.80M,,287.30M,,71.40M,653.10M,0.0,421.50M,,1.963B,,5.10M,2.390B,-1.138B,1.252B,750.30M,148.60M,898.90M,23.10M,31.90M,2.206B,2.859B,227.30M,227.30M,60.90M,288.20M,234.70M,234.70M,64.10M,587.00M,822.30M,822.30M,173.30M,173.30M,165.90M,,12.80M,,29.30M,1.191B,1.778B,0.40M,855.10M,295.40M,,-82.50M,1.068B
2010-09,15.90M,,15.90M,333.50M,,333.50M,168.90M,,149.60M,,269.50M,,90.10M,709.00M,0.0,420.60M,,1.929B,,5.10M,2.354B,-1.104B,1.25B,748.80M,151.50M,900.30M,23.30M,32.30M,2.206B,2.915B,252.30M,252.30M,90.70M,343.00M,231.60M,231.60M,56.60M,631.20M,897.30M,897.30M,166.40M,166.40M,,165.30M,6.10M,,37.30M,1.266B,1.898B,0.40M,812.60M,290.50M,,-92.20M,1.011B
2010-06,11.40M,,11.40M,304.60M,,304.60M,158.70M,,149.30M,,259.90M,,37.80M,613.70M,0.0,417.20M,,1.911B,,5.40M,2.334B,-1.096B,1.238B,736.40M,142.50M,878.90M,23.10M,30.50M,2.170B,2.784B,230.40M,230.40M,79.80M,310.20M,72.30M,72.30M,67.30M,449.80M,1.040B,1.040B,178.90M,178.90M,149.50M,,13.20M,,32.80M,1.401B,1.851B,0.40M,730.10M,283.30M,,-93.60M,920.20M
2010-03,12.40M,,12.40M,297.30M,,297.30M,154.70M,,150.60M,,265.00M,,56.80M,631.50M,0.0,416.60M,,1.898B,,5.50M,2.320B,-1.077B,1.243B,738.70M,145.50M,884.20M,23.40M,32.80M,2.184B,2.815B,241.80M,241.80M,,241.80M,70.40M,70.40M,53.40M,441.80M,1.109B,1.109B,172.80M,172.80M,164.00M,,14.00M,,31.40M,1.477B,1.919B,0.40M,693.30M,277.10M,,-88.30M,882.50M
2009-12,14.10M,,14.10M,264.90M,,264.90M,154.10M,,147.20M,,266.70M,,79.60M,625.30M,0.0,417.20M,,1.879B,,5.30M,2.302B,-1.048B,1.254B,737.30M,148.30M,885.60M,23.80M,36.40M,2.199B,2.825B,203.30M,203.30M,59.70M,263.00M,63.30M,63.30M,70.50M,396.80M,1.203B,1.203B,160.90M,160.90M,,164.20M,6.90M,,49.20M,1.578B,1.974B,0.40M,669.10M,271.80M,,-97.90M,843.40M
2009-09,11.80M,,11.80M,305.50M,,305.50M,156.40M,,154.20M,,275.10M,,65.90M,658.30M,0.0,413.80M,,1.871B,,5.40M,2.290B,-1.014B,1.276B,736.40M,151.30M,887.70M,23.80M,38.50M,2.226B,2.884B,233.90M,233.90M,88.00M,321.90M,56.30M,56.30M,71.10M,449.30M,1.293B,1.293B,149.20M,149.20M,,161.50M,6.30M,,48.20M,1.652B,2.101B,0.40M,620.30M,264.50M,,-108.40M,776.80M
2009-06,17.40M,1.50M,18.90M,279.30M,,279.30M,154.80M,,167.00M,,285.10M,0.00,57.00M,640.30M,0.0,398.60M,,1.841B,,5.20M,2.245B,-973.70M,1.271B,729.00M,155.30M,884.30M,24.00M,41.40M,2.221B,2.861B,224.00M,224.00M,75.80M,299.80M,50.00M,50.00M,75.90M,425.70M,1.384B,1.384B,169.40M,169.40M,53.00M,,18.20M,,37.70M,1.644B,2.070B,0.40M,561.10M,253.00M,,-41.10M,773.40M
2009-03,10.30M,0.90M,11.20M,264.00M,,264.00M,161.20M,,165.60M,,283.50M,0.00,51.20M,609.90M,0.0,394.70M,,1.823B,,5.50M,2.223B,-943.80M,1.280B,725.20M,157.90M,883.10M,25.30M,35.60M,2.224B,2.834B,211.60M,211.60M,68.50M,280.10M,182.60M,182.60M,83.80M,546.50M,1.328B,1.328B,162.90M,162.90M,,73.40M,14.70M,,38.60M,1.603B,2.149B,0.40M,479.70M,248.00M,,-58.50M,669.60M
2008-12,12.70M,,12.70M,270.10M,,270.10M,125.60M,,163.40M,49.60M,292.30M,,50.10M,625.20M,0.0,394.00M,5.70M,1.817B,,,2.217B,-918.90M,1.298B,721.70M,173.00M,894.70M,,63.20M,2.256B,2.881B,205.10M,205.10M,68.10M,273.20M,191.50M,191.50M,69.40M,534.10M,1.408B,1.408B,153.30M,153.30M,,,17.40M,,131.20M,1.693B,2.227B,0.40M,448.50M,241.60M,,-53.50M,637.00M
2008-09,52.80M,0.70M,53.50M,304.30M,,304.30M,163.30M,,163.30M,,283.00M,19.20M,49.20M,709.20M,0.0,398.30M,,1.841B,,7.60M,2.247B,-914.20M,1.333B,727.00M,176.90M,903.90M,29.40M,37.50M,2.304B,3.013B,241.50M,241.50M,95.20M,336.70M,245.10M,245.10M,65.90M,647.70M,1.447B,1.447B,153.30M,153.30M,,70.80M,17.60M,,36.00M,1.707B,2.355B,0.40M,421.70M,238.80M,,-20.40M,640.50M
2008-06,56.90M,,56.90M,296.80M,,296.80M,108.70M,,163.70M,47.40M,279.00M,7.80M,34.00M,674.50M,0.0,392.50M,6.90M,1.837B,,,2.236B,-888.70M,1.347B,737.30M,183.60M,920.90M,,80.90M,2.349B,3.024B,239.50M,239.50M,76.60M,316.10M,247.20M,247.20M,73.20M,636.50M,1.518B,1.518B,150.40M,150.40M,,,16.10M,,62.60M,1.731B,2.367B,0.40M,397.00M,234.00M,,8.70M,640.10M
2008-03,56.60M,,56.60M,292.50M,,292.50M,114.20M,,150.20M,46.40M,274.30M,8.10M,42.10M,673.60M,0.0,377.60M,6.80M,1.781B,,,2.165B,-861.60M,1.304B,788.80M,191.90M,980.70M,,83.40M,2.368B,3.041B,200.60M,200.60M,73.30M,273.90M,247.70M,247.70M,73.70M,595.30M,1.599B,1.599B,141.30M,141.30M,,,18.40M,,74.80M,1.815B,2.411B,0.40M,382.60M,229.00M,,0.30M,612.30M
2007-12,35.60M,,35.60M,212.60M,,212.60M,79.00M,,147.30M,35.20M,226.50M,,21.10M,495.80M,0.0,276.20M,5.90M,1.391B,,,1.673B,-844.90M,828.00M,364.90M,66.40M,431.30M,,43.70M,1.303B,1.799B,147.20M,147.20M,48.20M,195.40M,182.70M,182.70M,64.30M,442.40M,563.70M,563.70M,122.90M,122.90M,,,10.10M,,56.50M,743.10M,1.186B,0.40M,369.70M,225.10M,,8.00M,603.20M
