,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-03,264.93M,,,,57.01M,57.01M,2.611M,,5.428M,,2.452M,0.219M,-93.17M,167.24M,,,-30.02M,44.27M,,376.70M,-110.63M,0.245M,-110.39M,,,-0.636M,-111.02M,90.00M,,90.00M,15.75M,-490.33M,-474.58M,-0.156M,-384.74M,146.60M,-119.06M,,27.54M,15.75M,482.00M,-392.00M,-490.33M,0.00,31.95M
2016-12,246.03M,,,,56.42M,56.42M,5.955M,,4.488M,,2.90M,-3.236M,39.61M,-68.56M,,,12.85M,-19.34M,,296.45M,-120.11M,2.63M,-117.48M,,,-58.92M,-176.40M,0.00,,0.00,12.22M,-545.65M,-533.43M,-0.345M,-533.78M,560.32M,-413.72M,,146.60M,12.22M,0.00,0.00,-545.65M,152.78M,4.101M
2016-09,278.49M,,,,55.02M,55.02M,11.25M,,4.518M,,2.157M,-6.475M,-48.86M,98.90M,,,-9.478M,34.09M,,385.52M,-135.82M,0.518M,-135.30M,,,0.00,-135.30M,0.00,,0.00,15.12M,-102.94M,-87.82M,-0.343M,-88.16M,398.26M,162.06M,,560.32M,15.12M,0.00,0.00,-102.94M,137.80M,32.37M
2016-06,257.79M,,,,53.65M,53.65M,-3.489M,,4.675M,,1.801M,-9.631M,-39.27M,29.56M,,,30.52M,11.18M,,325.61M,-116.44M,1.107M,-115.34M,,,0.00,-115.34M,0.00,,0.00,16.22M,-544.19M,-527.97M,-0.06M,-528.03M,716.01M,-317.75M,,398.26M,16.22M,0.00,0.00,-544.19M,255.33M,4.111M
2016-03,255.37M,,,,52.78M,52.78M,-3.322M,,5.178M,,2.027M,-19.21M,-70.74M,302.02M,,,-20.98M,191.09M,,503.12M,-103.97M,0.864M,-103.11M,,,1.047M,-102.06M,499.16M,,499.16M,16.07M,-312.66M,-296.58M,-3.929M,198.65M,116.30M,599.71M,,716.01M,16.07M,499.16M,0.00,-312.66M,23.76M,23.06M
2015-12,218.58M,,,,52.19M,52.19M,0.13M,,5.243M,50.76M,3.173M,0.653M,-24.20M,-41.05M,,,17.29M,-47.31M,,282.77M,-117.55M,0.561M,-116.98M,,,1.046M,-115.94M,0.00,,0.00,11.26M,-287.01M,-275.75M,-51.69M,-327.44M,276.92M,-160.62M,,116.30M,11.26M,,0.00,-287.01M,142.90M,4.058M
2015-09,266.27M,,,,52.06M,52.06M,-7.454M,,5.352M,-17.81M,2.127M,9.688M,-45.84M,96.41M,,,3.469M,63.73M,,364.27M,-109.94M,0.589M,-109.35M,,,1.047M,-108.31M,0.00,,0.00,17.33M,-274.23M,-256.90M,17.81M,-239.09M,260.04M,16.87M,,276.92M,17.33M,,0.00,-274.23M,148.20M,23.29M
2015-06,233.51M,,,,51.06M,51.06M,-10.88M,,5.414M,-11.76M,1.765M,-14.33M,-32.99M,27.17M,,,43.48M,23.33M,,292.43M,-95.39M,0.95M,-94.44M,,,1.046M,-93.40M,-0.006M,,-0.006M,15.77M,-440.16M,-424.39M,11.76M,-412.64M,473.65M,-213.60M,,260.04M,15.77M,0.00,-0.006M,-440.16M,186.04M,4.276M
2015-03,212.86M,,,,54.95M,54.95M,-4.441M,,5.89M,-21.19M,1.88M,-19.87M,26.81M,170.80M,,,-21.67M,156.07M,,406.02M,-91.14M,0.658M,-90.48M,,,0.935M,-89.55M,-0.019M,,-0.019M,20.25M,-134.81M,-114.56M,21.19M,-93.39M,250.56M,223.09M,,473.65M,20.25M,0.00,-0.019M,-134.81M,8.675M,23.44M
2014-12,181.68M,,,,50.69M,50.69M,19.60M,,5.671M,-16.85M,2.314M,6.896M,-36.86M,2.151M,,,-7.803M,-35.62M,,207.48M,-112.83M,0.576M,-112.25M,,,0.935M,-111.32M,-0.018M,,-0.018M,18.61M,-179.33M,-160.72M,16.85M,-143.88M,298.28M,-47.72M,,250.56M,18.61M,,-0.018M,-179.33M,108.43M,4.03M
2014-09,217.00M,,,,48.51M,48.51M,-5.422M,,5.287M,-8.447M,1.605M,2.255M,-55.15M,118.40M,,,3.386M,68.90M,,327.43M,-122.23M,1.515M,-120.71M,,,0.935M,-119.78M,-0.018M,,-0.018M,16.27M,-387.50M,-371.23M,8.447M,-362.80M,453.43M,-155.15M,,298.28M,16.27M,,-0.018M,-387.50M,118.08M,21.98M
2014-06,205.65M,,,,47.53M,47.53M,-8.89M,,7.041M,-5.999M,1.713M,-15.41M,-65.74M,110.88M,,,33.21M,62.94M,,309.98M,-111.84M,0.502M,-111.34M,,,0.935M,-110.41M,-0.018M,,-0.018M,13.64M,-277.59M,-263.95M,5.999M,-257.97M,511.83M,-58.40M,,453.43M,13.64M,,-0.018M,-277.59M,156.61M,2.771M
2014-03,173.86M,,,,47.48M,47.48M,-3.796M,,5.096M,-17.85M,2.046M,-13.02M,-21.99M,174.30M,,,-0.572M,138.72M,,345.55M,-83.08M,0.287M,-82.80M,,,0.90M,-81.90M,-0.018M,,-0.018M,21.10M,-22.07M,-0.97M,17.85M,16.86M,231.32M,280.51M,,511.83M,21.10M,,-0.018M,-22.07M,33.33M,22.42M
2013-12,152.35M,,,,47.11M,47.11M,-6.582M,,5.237M,-5.616M,3.298M,7.552M,-8.67M,-7.90M,,,1.403M,-7.615M,,188.18M,-96.37M,0.63M,-95.74M,,,1.491M,-94.25M,-0.017M,,-0.017M,14.65M,-245.87M,-231.22M,5.616M,-225.62M,363.01M,-131.69M,,231.32M,14.65M,0.00,-0.017M,-245.87M,90.70M,2.70M
2013-09,186.49M,,,,46.39M,46.39M,8.581M,,5.311M,-6.514M,2.044M,32.19M,-19.16M,11.68M,,,13.42M,38.14M,,280.44M,-122.93M,0.423M,-122.51M,,,1.739M,-120.77M,-0.018M,,-0.018M,17.25M,-185.25M,-167.99M,5.426M,-162.59M,365.93M,-2.922M,,363.01M,17.25M,0.00,-0.018M,-185.25M,101.80M,22.35M
2013-06,177.13M,,,,45.50M,45.50M,2.611M,,5.577M,-7.893M,2.159M,-24.84M,-49.53M,54.82M,,,7.529M,-12.02M,,213.07M,-103.09M,0.323M,-102.77M,,,1.137M,-101.63M,299.93M,,299.93M,17.12M,-273.98M,-256.86M,6.014M,49.08M,205.41M,160.52M,,365.93M,17.12M,299.98M,-0.044M,-273.98M,140.94M,-2.058M
2013-03,154.33M,,,,44.18M,44.18M,-2.691M,,5.597M,-10.79M,1.958M,-31.84M,-19.52M,98.75M,,,-13.63M,33.76M,,226.34M,-73.48M,0.355M,-73.13M,,,1.029M,-72.10M,-0.145M,,-0.145M,20.32M,-227.93M,-207.60M,10.79M,-196.96M,248.13M,-42.72M,,205.41M,20.32M,,-0.145M,-227.93M,29.16M,23.76M
2012-12,132.80M,,,,44.61M,44.61M,-10.25M,,5.45M,-8.493M,2.555M,27.15M,-55.20M,72.00M,,,7.805M,51.76M,,218.43M,-83.38M,0.444M,-82.93M,,,-22.85M,-105.78M,-0.193M,,-0.193M,16.39M,-311.77M,-295.38M,8.346M,-287.22M,422.70M,-174.58M,,248.13M,16.39M,0.00,-0.193M,-311.77M,86.89M,-1.305M
2012-09,159.33M,,,,44.27M,44.27M,14.04M,,5.685M,-6.446M,1.785M,-1.946M,-62.12M,185.00M,,,2.072M,123.01M,,341.67M,-66.01M,0.529M,-65.48M,,,1.015M,-64.47M,298.51M,,298.51M,14.14M,-539.07M,-524.93M,4.217M,-222.21M,367.72M,54.99M,,422.70M,14.14M,298.88M,-0.375M,-539.07M,62.18M,18.24M
2012-06,146.12M,,,,44.40M,44.40M,-0.757M,,5.667M,-12.91M,3.205M,-9.442M,-140.42M,202.97M,,,38.10M,91.21M,,276.93M,-75.87M,1.584M,-74.29M,,,1.029M,-73.26M,-0.182M,,-0.182M,16.56M,-440.44M,-423.88M,12.91M,-411.15M,575.20M,-207.48M,,367.72M,16.56M,0.00,-0.182M,-440.44M,114.28M,-0.729M
2012-03,147.49M,,,,43.83M,43.83M,5.132M,,5.224M,-10.78M,1.707M,-11.36M,-19.17M,264.75M,,,-12.29M,221.92M,,414.53M,-75.46M,0.487M,-74.97M,,,1.071M,-73.90M,-0.185M,,-0.185M,16.43M,-154.01M,-137.58M,10.78M,-126.98M,361.55M,213.64M,,575.20M,16.43M,,-0.185M,-154.01M,11.30M,18.45M
2011-12,,,,,43.14M,43.14M,34.76M,-1.372M,4.694M,-8.28M,-403.29M,0.898M,23.66M,57.58M,,,-2.249M,79.89M,,278.84M,-85.01M,1.965M,-83.04M,,-4.363M,5.725M,-81.68M,-0.295M,,-0.295M,16.06M,-136.38M,-120.31M,8.28M,-112.33M,276.72M,84.84M,,361.55M,16.06M,0.00,-0.295M,-136.38M,67.60M,-0.715M
2011-09,,,,,42.63M,42.63M,-1.367M,0.68M,5.352M,-7.324M,150.06M,-2.282M,25.88M,69.62M,,,-4.566M,88.65M,,278.68M,-92.66M,0.129M,-92.53M,,1.341M,0.00,-91.19M,299.12M,,299.12M,18.77M,-502.23M,-483.46M,4.767M,-179.56M,268.79M,7.925M,,276.72M,18.77M,299.48M,-0.354M,-502.23M,92.38M,12.62M
2011-06,,,,,41.32M,41.32M,4.398M,0.353M,5.397M,-5.233M,136.15M,-10.33M,-33.97M,137.44M,,,-8.171M,84.96M,,267.36M,-56.24M,0.369M,-55.88M,,1.343M,-0.001M,-54.53M,-0.385M,,-0.385M,14.04M,-192.97M,-178.92M,5.233M,-174.08M,230.05M,38.74M,,268.79M,14.04M,0.00,-0.385M,-192.97M,75.10M,-0.188M
2011-03,,,,,38.79M,38.79M,16.33M,0.339M,5.136M,-2.148M,127.16M,-9.503M,22.18M,110.10M,,,-14.26M,108.51M,,294.11M,-94.40M,0.252M,-94.15M,,1.679M,0.227M,-92.25M,140.08M,,140.08M,8.685M,-145.06M,-136.38M,-5.237M,-1.54M,29.72M,200.33M,,230.05M,8.685M,538.88M,-398.81M,-145.06M,17.68M,1.637M
2010-12,419.37M,,-118.82M,-1.914M,40.71M,40.71M,13.43M,-5.857M,4.181M,-6.832M,-315.46M,2.001M,-25.77M,-18.00M,,,3.349M,-38.42M,,111.12M,-88.96M,0.258M,-88.70M,,,12.14M,-76.56M,-72.39M,,-72.39M,17.53M,0.00,17.53M,6.832M,-48.03M,43.19M,-13.47M,,29.72M,17.53M,230.50M,-302.89M,0.00,32.10M,7.019M
2010-09,,,40.79M,0.00,40.79M,40.79M,52.58M,1.951M,4.354M,-3.992M,118.44M,1.927M,-65.24M,66.23M,,,19.78M,22.70M,,236.82M,-94.19M,0.16M,-94.03M,,-2.676M,2.586M,-94.12M,-152.94M,,-152.94M,17.83M,0.00,17.83M,3.992M,-131.12M,31.61M,11.58M,,43.19M,17.83M,41.20M,-194.14M,0.00,45.50M,6.068M
2010-06,-97.48M,,39.76M,0.242M,40.00M,40.00M,14.96M,1.954M,4.324M,-5.988M,198.57M,-8.252M,-29.37M,54.37M,,,12.00M,28.75M,,185.10M,-91.55M,1.324M,-90.22M,,1.404M,-1.518M,-90.34M,-117.93M,,-117.93M,18.92M,0.00,18.92M,5.988M,-93.02M,29.87M,1.739M,,31.61M,18.92M,154.30M,-272.23M,0.00,63.38M,10.85M
2010-03,97.48M,,38.26M,1.672M,39.94M,39.94M,18.29M,1.952M,4.114M,-1.775M,1.558M,-17.42M,10.11M,5.258M,,,11.16M,9.099M,,170.65M,-90.72M,0.382M,-90.34M,,1.272M,-1.186M,-90.26M,-88.06M,,-88.06M,8.836M,0.00,8.836M,1.775M,-77.45M,26.94M,2.937M,,29.87M,8.836M,122.70M,-210.76M,0.00,13.17M,7.276M
2009-12,71.92M,,36.59M,0.462M,37.05M,37.05M,2.923M,1.954M,3.698M,,1.008M,2.267M,-57.17M,-74.79M,,,17.57M,-112.12M,,-3.78M,-97.58M,1.702M,-95.88M,,1.575M,-1.523M,-95.83M,-6.536M,93.80M,87.26M,8.504M,,8.504M,1.242M,97.01M,29.54M,-2.60M,,26.94M,8.504M,225.40M,-138.14M,,32.34M,9.967M
2009-09,87.22M,,36.20M,0.84M,37.04M,37.04M,36.11M,1.949M,6.092M,,2.294M,4.30M,-119.91M,70.07M,,,11.05M,-34.49M,,136.22M,-86.02M,1.221M,-84.80M,,2.321M,-1.15M,-83.63M,-63.56M,-29.20M,-92.76M,24.59M,,24.59M,4.095M,-64.08M,41.02M,-11.49M,,29.54M,24.59M,100.90M,-193.66M,,20.34M,7.266M
2009-06,85.52M,,36.26M,1.797M,38.06M,38.06M,12.03M,1.889M,5.857M,,2.36M,-9.694M,-106.63M,58.20M,,,-21.37M,-79.49M,,66.21M,-79.91M,0.20M,-79.71M,,0.591M,-1.489M,-80.61M,-1.319M,,-1.319M,16.06M,,16.06M,3.273M,18.02M,37.40M,3.62M,,41.02M,16.06M,164.68M,-166.00M,,55.22M,10.91M
2009-03,62.84M,,33.86M,2.168M,36.03M,36.03M,-0.68M,1.966M,5.766M,,3.077M,-6.587M,-56.04M,22.04M,,,18.14M,-22.45M,,86.55M,-151.26M,1.165M,-150.10M,,1.332M,-1.827M,-150.59M,57.76M,,57.76M,10.36M,,10.36M,2.025M,70.14M,31.30M,6.103M,,37.40M,10.36M,173.57M,-115.81M,,22.81M,8.741M
2008-12,186.23M,,,,,,,,,,8.226M,,,,,,62.13M,-37.23M,,9.245M,-81.46M,-0.429M,-81.88M,-1.238M,,4.287M,-78.84M,564.74M,-547.75M,16.99M,6.554M,,6.554M,48.75M,74.48M,26.41M,4.891M,,31.30M,6.554M,377.51M,-360.52M,,,
2008-09,-102.12M,,,,,,,,,,-113.35M,,,,,,,,,73.83M,-134.87M,0.11M,-134.76M,-32.53M,,4.442M,-162.85M,-535.88M,547.75M,37.03M,11.75M,,11.75M,-50.56M,-1.784M,117.21M,-90.80M,,26.41M,11.75M,547.75M,-535.88M,,,
2008-06,55.79M,,,,,,,,,,113.35M,,,,,,-72.52M,-72.52M,,96.61M,-66.17M,0.198M,-65.97M,,,-3.367M,-69.34M,,,-25.08M,1.705M,,1.705M,0.023M,-23.35M,113.29M,3.927M,,117.21M,1.705M,,,,,
2008-03,46.33M,,,,,,,,,,,,,,,,72.52M,72.52M,,118.85M,-59.19M,1.367M,-57.82M,,,1.241M,-56.58M,,,-0.079M,2.986M,,2.986M,0.549M,3.456M,47.56M,65.73M,,113.29M,2.986M,,,,,
2007-12,40.60M,,,,,,,,,,,,,,,,-98.37M,-113.47M,,17.51M,-63.02M,0.493M,-62.53M,,,0.413M,-83.84M,,,-0.078M,3.518M,,3.518M,0.665M,4.105M,109.78M,-62.23M,,47.56M,3.518M,,,,,
2007-09,53.09M,,,,,,,,,,,,,,,,36.89M,36.89M,,89.98M,-79.01M,0.381M,-78.63M,,,0.856M,-77.77M,,,-0.079M,4.38M,,4.38M,0.791M,5.092M,92.48M,17.30M,,109.78M,4.38M,,,,,
2007-06,51.90M,,,,,,,,,,,,,,,,11.40M,11.40M,,63.30M,-76.53M,1.23M,-75.30M,,,0.465M,-74.57M,,,-0.077M,9.652M,,9.652M,3.961M,13.54M,90.22M,2.267M,,92.48M,9.652M,,,,,
2007-03,48.41M,,,,,,,,,,,,,,,,80.22M,80.22M,,128.63M,-64.09M,0.223M,-63.87M,,,,-64.14M,,,-9.776M,4.177M,,4.177M,1.418M,-4.181M,29.90M,60.31M,,90.22M,4.177M,,,,,
2006-12,40.35M,,,,,,,,,,,,,,,,-15.86M,-90.98M,,26.13M,-54.00M,0.266M,-53.74M,,,1.103M,-52.64M,,,9.624M,4.436M,,4.436M,1.522M,15.58M,40.82M,-10.92M,,29.90M,4.436M,,,,,
2006-09,47.86M,,,,,,,,,,,,,,,,-11.86M,-11.86M,,36.00M,-55.43M,0.144M,-55.29M,,,0.159M,-55.13M,,,-0.088M,3.807M,,3.807M,0.99M,4.709M,55.25M,-14.42M,,40.82M,3.807M,,,,,
2006-06,49.31M,,,,,,,,,,,,,,,,17.56M,17.56M,,66.87M,-71.99M,0.279M,-71.71M,,,1.533M,-70.73M,,,-0.59M,3.526M,,3.526M,0.885M,3.821M,55.29M,-0.043M,,55.25M,3.526M,,,,,
2006-03,40.56M,,,,,,,,,,,,,,,,16.37M,16.37M,,56.93M,-47.45M,0.186M,-47.26M,,,,-46.71M,,,-0.185M,8.724M,,8.724M,5.141M,13.68M,31.38M,23.91M,,55.29M,8.724M,,,,,
2005-12,39.51M,,,,,,,,,,,,,,,,-51.71M,-79.68M,,36.85M,-55.56M,1.142M,-54.42M,-0.236M,,-6.543M,-61.20M,,,-0.151M,4.288M,,4.288M,,4.137M,51.59M,-20.21M,,31.38M,4.288M,,,,,
2005-09,48.62M,,,,,,,,,,,,,,,,9.096M,9.096M,,57.72M,-47.11M,0.128M,-46.98M,0.00,,0.738M,-46.24M,,,-0.145M,3.806M,,3.806M,,3.661M,36.45M,15.14M,,51.59M,3.806M,,,,,
2005-06,42.92M,,,,,,,,,,,,,,,,11.47M,11.47M,,54.39M,-56.92M,0.315M,-56.61M,-62.91M,,7.26M,-112.26M,,,-0.157M,5.204M,,5.204M,,5.047M,89.27M,-52.82M,,36.45M,5.204M,,,,,
2005-03,33.21M,,,,,,,,,,,,,,,,31.15M,31.15M,,64.36M,-45.57M,0.35M,-45.22M,,,-4.159M,-49.38M,,,-0.149M,5.411M,,5.411M,,5.262M,69.03M,20.24M,,89.27M,5.411M,,,,,
2004-12,46.54M,,,,,,,,,,,,,,,,-103.26M,-86.67M,,30.26M,-47.27M,0.405M,-46.86M,,,-1.879M,-48.74M,,,-0.148M,4.037M,,4.037M,,3.889M,83.62M,-14.59M,,69.03M,4.037M,,,,,
2004-09,10.15M,,,,,,,,,,,,,,,,26.59M,26.59M,,36.74M,-44.47M,0.169M,-44.30M,,,0.982M,-43.32M,,,-0.331M,2.414M,,2.414M,,2.083M,88.12M,-4.498M,,83.62M,2.414M,,,,,
2004-06,33.70M,,,,,,,,,,,,,,,,45.31M,45.31M,,79.01M,-41.67M,0.412M,-41.26M,,,-0.247M,-41.50M,,,-0.264M,5.542M,,5.542M,,5.278M,45.34M,42.78M,,88.12M,5.542M,,,,,
2004-03,49.18M,,,,,,,,,,,,,,,,31.35M,31.35M,,80.53M,-40.08M,0.667M,-39.41M,,,0.991M,-38.42M,,,-20.25M,2.38M,,2.38M,,-17.87M,21.09M,24.24M,,45.34M,2.38M,,,,,
2003-12,23.90M,,,,,,,,,,-97.76M,,,,,,,2.695M,,-3.283M,-36.45M,0.174M,-36.28M,,,9.589M,-26.69M,,,9.853M,8.166M,,8.166M,,18.02M,33.04M,-11.95M,,21.09M,8.166M,,,,,
2003-09,29.53M,,,,,,,,,,95.93M,,,,,,-66.30M,-66.30M,,59.16M,-32.45M,0.628M,-31.82M,,,-2.816M,-34.64M,,,-25.17M,7.456M,,7.456M,,-17.71M,26.23M,6.815M,,33.04M,7.456M,,,,,
2003-06,26.92M,,,,,,,,,,,,,,,,28.69M,28.69M,,55.61M,-35.41M,0.40M,-35.01M,,,-0.308M,-35.32M,,,-20.16M,6.35M,,6.35M,,-13.81M,19.74M,6.486M,,26.23M,6.35M,,,,,
2003-03,19.73M,,,,,,,,,,,,,,,,37.62M,37.62M,,57.34M,-32.19M,0.071M,-32.12M,,,-1.801M,-33.92M,,,-35.20M,2.19M,,2.19M,,-33.01M,29.33M,-9.589M,,19.74M,2.19M,,,,,
2002-12,-23.13M,,,,,,,,,,,,,,,,,-27.44M,,-0.591M,-29.65M,0.832M,-28.82M,,,-4.147M,-32.96M,,,29.78M,1.22M,,1.22M,,31.00M,31.88M,-2.548M,,29.33M,1.22M,,,,,
2002-09,44.30M,,,,,,,,,,,,,,,,,,,44.30M,-27.27M,0.152M,-27.12M,,,-1.492M,-28.61M,,,-13.71M,2.54M,,2.54M,,-11.17M,27.35M,4.529M,,31.88M,2.54M,,,,,
2002-06,44.18M,,,,,,,,,,,,,,,,-11.32M,-11.32M,,32.86M,-23.92M,1.129M,-22.79M,,,-0.32M,-23.11M,,,-4.95M,2.158M,,2.158M,,-2.792M,20.39M,6.961M,,27.35M,2.158M,,,,,
