,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2017-09,,88.00M,,88.00M,596.00M,,656.00M,111.00M,2.00M,379.00M,,492.00M,30.00M,,,,1.266B,,,,,,,,,,267.00M,2.465B,332.00M,2.797B,,125.00M,71.00M,3.26B,4.526B,,2017-09,426.00M,23.00M,,449.00M,343.00M,792.00M,,,,34.00M,,34.00M,213.00M,213.00M,,,2.451B,1.00M,128.00M,129.00M,2.673B,3.712B,,2017-09,1.00M,1.244B,245.00M,621.00M,,,-55.00M,814.00M,,2017-09,AOR,Restated
2017-06,,95.00M,,95.00M,527.00M,,592.00M,154.00M,2.00M,339.00M,,414.00M,35.00M,,,,1.136B,,,,,,,,,,273.00M,2.464B,380.00M,2.844B,,124.00M,68.00M,3.309B,4.445B,,2017-06,436.00M,19.00M,,455.00M,314.00M,769.00M,,,,,,,214.00M,214.00M,,,2.418B,2.00M,122.00M,124.00M,2.65B,3.633B,,2017-06,1.00M,1.256B,234.00M,622.00M,,,-57.00M,812.00M,,2017-06,AOR,Restated
2017-03,,180.00M,,180.00M,550.00M,,578.00M,160.00M,1.00M,298.00M,,376.00M,35.00M,,,,1.169B,,,,,,,,,,284.00M,2.46B,430.00M,2.89B,,121.00M,67.00M,3.362B,4.531B,,2017-03,365.00M,15.00M,,380.00M,324.00M,704.00M,,,,,,,217.00M,217.00M,,,2.573B,2.00M,128.00M,130.00M,2.815B,3.736B,,2017-03,1.00M,1.239B,234.00M,630.00M,,,-49.00M,795.00M,,2017-03,AOR,Restated
2016-12,,156.00M,,156.00M,625.00M,,657.00M,111.00M,1.00M,233.00M,,345.00M,,,,41.00M,1.222B,0.00,10.00M,51.00M,438.00M,,35.00M,64.00M,598.00M,-306.00M,292.00M,2.458B,480.00M,2.938B,,113.00M,67.00M,3.41B,4.632B,,2016-12,413.00M,22.00M,,435.00M,221.00M,656.00M,50.00M,,,,,,191.00M,191.00M,,,2.648B,3.00M,124.00M,127.00M,2.891B,3.84B,,2016-12,1.00M,1.24B,210.00M,614.00M,,,-45.00M,792.00M,,2016-12,AOR,Restated
2016-09,,163.00M,,163.00M,599.00M,,599.00M,164.00M,,249.00M,,345.00M,90.00M,,,,1.265B,,,,,,,,,,292.00M,2.46B,533.00M,2.993B,,83.00M,11.00M,3.433B,4.698B,,2016-09,360.00M,4.00M,,364.00M,182.00M,546.00M,41.00M,,,,,,204.00M,204.00M,36.00M,,2.788B,,101.00M,101.00M,3.018B,3.95B,,2016-09,1.00M,1.223B,199.00M,614.00M,,,-61.00M,748.00M,,2016-09,AOR,Restated
2016-06,,141.00M,,141.00M,631.00M,,631.00M,169.00M,1.00M,264.00M,,362.00M,88.00M,,,,1.222B,,,,,,,,,,301.00M,2.496B,640.00M,3.136B,7.00M,54.00M,12.00M,3.569B,4.791B,,2016-06,347.00M,4.00M,,351.00M,170.00M,521.00M,38.00M,,,,,,209.00M,209.00M,10.00M,,2.873B,,118.00M,118.00M,3.101B,3.96B,,2016-06,1.00M,1.32B,189.00M,615.00M,,,-64.00M,831.00M,,2016-06,AOR,Restated
2016-03,,194.00M,,194.00M,606.00M,,606.00M,180.00M,1.00M,272.00M,,386.00M,95.00M,,,,1.281B,,,,,,,,,,300.00M,2.495B,700.00M,3.195B,9.00M,56.00M,23.00M,3.64B,4.921B,,2016-03,316.00M,5.00M,,321.00M,212.00M,533.00M,34.00M,,,,,,208.00M,208.00M,23.00M,,2.937B,,118.00M,118.00M,3.169B,4.042B,,2016-03,1.00M,1.369B,204.00M,629.00M,,,-66.00M,879.00M,,2016-03,AOR,Restated
2015-12,,192.00M,,192.00M,671.00M,,675.00M,178.00M,0.00,274.00M,,397.00M,,,,63.00M,1.334B,0.00,10.00M,50.00M,395.00M,,36.00M,63.00M,554.00M,-256.00M,298.00M,2.49B,757.00M,3.247B,,70.00M,91.00M,3.706B,5.04B,,2015-12,289.00M,42.00M,,331.00M,261.00M,592.00M,38.00M,,,,,,197.00M,197.00M,,,3.012B,1.00M,124.00M,125.00M,3.252B,4.147B,,2015-12,1.00M,1.377B,194.00M,631.00M,,,-48.00M,893.00M,,2015-12,AOR,Restated
2015-09,,258.02M,0.00,258.02M,625.78M,,636.54M,183.40M,0.437M,256.45M,,408.16M,83.10M,,103.44M,,1.489B,,,,,,,,,,291.75M,2.489B,816.93M,3.305B,12.75M,,25.56M,3.690B,5.179B,,2015-09,314.28M,9.928M,,324.21M,337.50M,661.70M,33.43M,,,,,,203.79M,203.79M,,,3.043B,128.03M,109.20M,237.24M,3.366B,4.265B,,2015-09,0.722M,1.405B,187.09M,632.23M,,,-46.36M,914.03M,,2015-09,AOR,Restated
2015-06,,204.92M,0.00,204.92M,631.07M,,680.43M,163.83M,0.476M,255.76M,,404.47M,67.30M,,98.99M,,1.456B,,,,,,,,,,284.59M,2.483B,898.00M,3.381B,14.16M,,26.92M,3.760B,5.217B,,2015-06,281.77M,18.14M,,299.91M,300.68M,600.59M,57.38M,,,,,,215.46M,215.46M,,,3.040B,156.07M,109.09M,265.16M,3.392B,4.265B,,2015-06,0.722M,1.434B,175.58M,632.82M,,,-25.65M,951.59M,,2015-06,AOR,Restated
2015-03,,329.53M,0.00,329.53M,637.95M,,698.29M,157.27M,0.472M,256.97M,,405.47M,68.97M,,116.71M,,1.619B,,,,,,,,,,270.23M,2.483B,961.70M,3.444B,15.89M,28.92M,23.16M,3.836B,5.455B,,2015-03,284.73M,21.83M,,306.56M,309.20M,615.76M,54.98M,,,,,,225.11M,225.11M,,,3.144B,192.54M,107.69M,300.23M,3.533B,4.429B,,2015-03,0.722M,1.510B,160.30M,629.40M,,,-15.64M,1.026B,,2015-03,AOR,Restated
2014-12,,394.00M,24.00M,418.00M,671.00M,,684.00M,140.00M,,260.00M,,394.00M,53.00M,,123.00M,,1.672B,0.00,10.00M,49.00M,339.00M,,29.00M,21.00M,448.00M,-193.00M,255.00M,2.49B,1.029B,3.519B,17.00M,,23.00M,3.867B,5.539B,,2014-12,327.00M,16.00M,49.00M,392.00M,291.00M,683.00M,39.00M,,,4.00M,,4.00M,196.00M,196.00M,,,3.156B,200.00M,116.00M,316.00M,3.546B,4.499B,,2014-12,1.00M,1.535B,147.00M,634.00M,,,-9.00M,1.04B,,2014-12,AOR,Restated
2014-09,,60.21M,481.71M,541.92M,187.54M,,197.36M,27.18M,0.578M,119.74M,,139.62M,22.67M,,19.48M,,921.05M,,,,,,,,,,113.21M,153.52M,61.03M,214.55M,,4.46M,2.099M,362.12M,1.283B,,2014-09,46.08M,10.13M,,56.21M,83.04M,139.25M,,,,,,,18.96M,18.96M,,,,27.39M,,29.18M,48.21M,206.42M,,2014-09,0.722M,1.587B,153.03M,660.29M,,,-3.691M,1.077B,,2014-09,AOR,Restated
2014-06,,70.35M,455.64M,525.99M,165.43M,,174.29M,28.85M,0.749M,107.27M,,126.10M,13.06M,,19.81M,,859.25M,,,,,,,,,,107.12M,155.80M,63.63M,219.43M,,,1.148M,359.72M,1.219B,,2014-06,31.75M,9.112M,,40.86M,65.52M,106.38M,,,,,,,16.90M,16.90M,,,,28.47M,,29.96M,47.63M,170.91M,,2014-06,0.722M,1.572B,149.48M,666.08M,,,-8.092M,1.048B,,2014-06,AOR,Restated
2014-03,,51.42M,414.14M,465.57M,181.62M,,182.39M,28.47M,0.603M,103.24M,,119.37M,13.88M,,19.81M,,801.02M,,,,,,,,,,107.51M,155.80M,66.30M,222.10M,,,29.17M,361.36M,1.162B,,2014-03,34.64M,8.01M,,42.65M,52.31M,94.95M,,,,,,,16.41M,16.41M,,,,25.51M,,26.56M,42.08M,153.44M,,2014-03,0.722M,1.544B,146.91M,673.99M,,,-9.187M,1.009B,,2014-03,AOR,Restated
2013-12,,62.83M,350.38M,413.21M,176.92M,,184.54M,31.34M,0.415M,101.83M,,121.02M,15.52M,,19.81M,,754.10M,0.00,0.504M,4.613M,263.92M,,8.754M,17.88M,295.67M,-186.08M,109.59M,155.80M,68.97M,224.77M,2.588M,0.00,,365.71M,1.120B,,2013-12,34.69M,7.182M,,41.87M,49.60M,91.47M,9.332M,,,,,,15.51M,15.51M,2.743M,,,25.49M,10.65M,36.14M,42.10M,161.15M,,2013-12,0.722M,1.503B,143.30M,678.46M,,,-9.781M,958.66M,,2013-12,AOR,Restated
2013-09,,64.20M,399.54M,463.74M,175.64M,,181.24M,30.50M,0.766M,88.43M,,106.63M,14.42M,,13.43M,,779.46M,,,,,,,,,,100.52M,94.94M,33.59M,128.54M,,0.00,16.54M,248.18M,1.028B,,2013-09,26.68M,7.346M,,34.02M,49.45M,83.47M,,,,,,,15.10M,15.10M,,,,2.236M,,3.492M,18.72M,117.30M,,2013-09,0.722M,1.461B,139.77M,681.39M,,,-9.987M,910.34M,,2013-09,AOR,Restated
2013-06,,55.89M,389.80M,445.68M,170.86M,,178.34M,34.58M,0.948M,87.19M,,109.15M,16.25M,,13.19M,,762.61M,,,,,,,,,,101.74M,94.94M,35.42M,130.37M,,0.00,15.49M,255.95M,1.019B,,2013-06,31.94M,6.87M,,38.82M,50.58M,89.40M,,,,,,,12.42M,12.42M,,,,1.544M,,2.876M,20.16M,121.98M,,2013-06,0.722M,1.423B,137.34M,654.52M,,,-9.595M,896.58M,,2013-06,AOR,Restated
2013-03,,49.59M,364.53M,414.12M,169.26M,,169.26M,31.60M,0.718M,97.92M,,116.42M,17.38M,,12.96M,,730.13M,,,,,,,,,,101.05M,94.94M,37.29M,132.23M,,2.134M,14.60M,253.46M,983.60M,,2013-03,20.14M,2.374M,,22.52M,43.93M,66.45M,,,,,,,13.44M,13.44M,,,,,,1.245M,17.34M,97.23M,,2013-03,0.722M,1.392B,140.74M,638.60M,,,-8.56M,886.36M,,2013-03,AOR,Restated
2012-12,,64.74M,324.14M,388.88M,168.73M,,168.73M,31.95M,0.921M,104.14M,,123.36M,16.41M,,13.48M,,710.86M,0.00,0.504M,2.134M,231.27M,,17.78M,16.38M,268.06M,-166.72M,101.35M,94.94M,39.15M,134.09M,,2.602M,,256.88M,967.75M,,2012-12,23.04M,1.609M,,24.65M,57.23M,81.89M,,,,,,,13.33M,13.33M,,,,0.00,,1.303M,15.53M,110.75M,,2012-12,0.722M,1.369B,139.52M,641.44M,,,-10.32M,857.00M,,2012-12,AOR,Restated
2012-09,,52.25M,160.69M,212.94M,165.16M,,165.16M,38.40M,0.597M,98.20M,0.547M,122.92M,14.45M,,15.51M,,530.98M,,,,,,,,,,102.54M,95.34M,39.02M,134.36M,,7.536M,9.425M,409.71M,940.69M,,2012-09,28.18M,2.031M,,30.21M,50.57M,80.78M,,,,,,,12.29M,12.29M,,,,,,1.406M,14.59M,107.66M,,2012-09,0.722M,1.334B,136.75M,628.68M,,,-9.29M,833.03M,,2012-09,AOR,Restated
2012-06,,105.37M,147.48M,252.85M,156.15M,13.79M,173.56M,42.41M,0.373M,89.43M,0.304M,116.69M,25.47M,,13.17M,,581.75M,,,,,,,,,,100.99M,79.70M,11.13M,90.83M,,12.26M,8.989M,347.04M,928.79M,,2012-06,29.22M,,,29.22M,53.12M,82.33M,,,,,,,11.99M,11.99M,,,,,,1.521M,13.49M,107.81M,,2012-06,0.722M,1.306B,131.88M,612.31M,,,-5.747M,820.98M,,2012-06,AOR,Restated
2012-03,,41.94M,175.17M,217.11M,157.11M,13.79M,177.82M,41.22M,1.525M,98.86M,0.083M,126.12M,15.04M,,14.19M,,550.28M,,,,,,,,,,101.98M,79.70M,11.90M,91.60M,,12.00M,4.092M,354.80M,905.09M,,2012-03,33.02M,,,33.02M,47.77M,80.79M,,,,,,,12.06M,12.06M,,,,,,1.496M,13.17M,106.02M,,2012-03,0.722M,1.276B,134.47M,603.70M,,,-8.206M,799.06M,,2012-03,AOR,Restated
2011-12,,36.42M,182.40M,218.82M,182.81M,,195.92M,46.02M,0.872M,101.11M,,133.29M,22.92M,,13.93M,,584.87M,0.00,0.504M,2.086M,205.28M,,20.47M,15.49M,243.83M,-146.01M,97.82M,79.70M,12.67M,92.37M,,11.87M,,314.13M,899.01M,,2011-12,33.27M,0.00,,33.27M,64.61M,97.88M,,,,,,,11.09M,11.09M,,,,,,1.592M,13.11M,122.08M,,2011-12,0.722M,1.246B,131.42M,596.62M,,,-4.213M,776.92M,,2011-12,AOR,Restated
2011-09,,43.78M,147.12M,190.90M,162.31M,27.58M,191.60M,46.27M,0.525M,87.68M,0.099M,120.38M,20.30M,0.065M,16.47M,,539.71M,,,,,,,,,,94.73M,79.70M,7.441M,87.14M,,18.24M,3.862M,312.06M,851.77M,,2011-09,30.92M,0.00,,30.92M,53.24M,84.16M,,,,,,,10.28M,10.28M,,,,,,1.695M,11.39M,105.82M,,2011-09,0.722M,1.211B,129.61M,587.51M,,,-7.444M,745.95M,,2011-09,AOR,Restated
2011-06,,92.96M,163.51M,256.46M,145.99M,13.79M,159.78M,42.59M,0.626M,86.57M,0.723M,118.11M,13.68M,0.065M,18.59M,,567.84M,,,,,,,,,,93.46M,79.70M,8.084M,87.79M,13.79M,17.93M,4.211M,303.52M,871.37M,,2011-06,35.73M,0.99M,,36.72M,54.37M,91.09M,,,,,,,11.93M,11.93M,0.801M,,,,,1.81M,11.85M,115.67M,,2011-06,0.722M,1.166B,127.00M,525.00M,,,-12.60M,755.70M,,2011-06,AOR,Restated
2011-03,,79.68M,164.81M,244.50M,141.22M,12.29M,153.51M,38.24M,0.533M,93.37M,,120.51M,10.25M,0.065M,18.59M,,548.53M,,,,,,,,,,90.74M,79.70M,8.92M,88.62M,12.29M,19.29M,3.914M,345.67M,894.21M,,2011-03,32.41M,33.26M,,65.67M,50.84M,116.51M,,,,,,,11.02M,11.02M,0.476M,,,,1.799M,1.799M,11.79M,139.80M,,2011-03,0.722M,1.133B,133.23M,499.48M,,,-12.67M,754.41M,,2011-03,AOR,Restated
2010-12,,47.48M,125.57M,173.04M,154.15M,,154.15M,33.44M,0.171M,89.48M,0.482M,113.74M,14.83M,1.378M,19.16M,,476.30M,0.00,0.471M,2.036M,170.89M,,37.44M,12.92M,223.77M,-134.79M,88.98M,151.93M,49.71M,201.64M,,21.25M,5.206M,402.56M,878.86M,,2010-12,35.30M,5.90M,,41.20M,68.09M,109.29M,,,,,,,26.76M,26.76M,,,,,2.406M,2.406M,12.78M,148.83M,,2010-12,0.722M,1.071B,129.72M,462.03M,,,-9.349M,730.03M,,2010-12,AOR,Restated
2010-09,,47.45M,123.06M,170.50M,165.42M,,165.42M,30.92M,0.614M,73.06M,0.427M,95.84M,11.04M,1.615M,11.28M,,455.71M,,,,,,,,,,84.81M,152.42M,51.59M,204.01M,,32.23M,4.806M,415.94M,871.64M,,2010-09,33.91M,5.752M,,39.66M,66.49M,106.15M,,,,,,,22.29M,22.29M,,,,,2.853M,2.853M,12.50M,140.94M,,2010-09,0.722M,1.043B,128.07M,430.52M,,,-10.32M,730.71M,,2010-09,AOR,Restated
2010-06,41.28M,41.28M,136.41M,177.70M,150.09M,,150.09M,31.18M,0.262M,62.37M,1.112M,85.01M,18.64M,1.458M,10.56M,,443.46M,,,,,,,,,,81.14M,151.01M,52.60M,203.60M,,33.36M,4.35M,398.49M,841.96M,,2010-06,30.20M,1.687M,,31.89M,53.15M,85.04M,,,,,,,23.40M,23.40M,,,,,3.278M,3.278M,12.86M,121.30M,,2010-06,0.722M,1.017B,125.68M,412.97M,,,-9.384M,720.65M,,2010-06,AOR,Restated
2010-03,,35.99M,136.56M,172.55M,145.64M,,145.64M,28.49M,0.27M,61.14M,1.148M,81.56M,14.29M,1.598M,10.56M,,426.21M,,,,,,,,,,77.95M,152.29M,53.49M,205.77M,,32.64M,4.435M,400.75M,826.96M,,2010-03,26.87M,0.423M,,27.29M,43.32M,70.62M,,,,,,,22.55M,22.55M,,,,,3.702M,3.702M,12.87M,106.04M,,2010-03,0.722M,993.93M,136.14M,401.12M,,,-8.751M,720.92M,,2010-03,AOR,Restated
2009-12,,38.94M,114.06M,153.01M,150.99M,,155.72M,27.95M,0.162M,58.93M,1.937M,79.93M,9.771M,1.725M,10.79M,,410.94M,0.00,0.32M,2.036M,166.62M,,14.87M,11.64M,195.48M,-117.89M,77.59M,153.22M,55.98M,209.21M,,35.84M,4.915M,419.54M,830.48M,,2009-12,28.14M,0.00,,28.14M,52.59M,80.73M,,,,,,,24.08M,24.08M,,,,,4.108M,4.108M,13.54M,118.35M,,2009-12,0.722M,969.20M,136.10M,385.83M,,,-8.061M,712.13M,,2009-12,AOR,Restated
2009-09,,39.05M,91.06M,130.10M,144.38M,,144.74M,35.83M,0.025M,52.05M,1.798M,79.81M,10.50M,1.748M,11.31M,,378.22M,,,,,,,,,,78.98M,153.50M,58.63M,212.13M,,47.42M,5.255M,435.21M,813.43M,,2009-09,22.72M,0.00,,22.72M,48.58M,71.30M,,,,,,,21.87M,21.87M,,,,,4.241M,4.241M,13.72M,106.88M,,2009-09,0.722M,951.56M,134.95M,372.80M,,,-7.896M,706.54M,,2009-09,AOR,Restated
2009-06,,44.79M,71.60M,116.39M,138.76M,,139.79M,42.09M,0.145M,49.01M,1.652M,92.90M,10.42M,1.666M,12.21M,,373.36M,,,,,,,,,,78.49M,152.86M,61.14M,213.99M,,49.17M,4.724M,435.32M,808.68M,,2009-06,28.11M,0.00,,28.11M,45.92M,74.03M,,,,,,,20.12M,20.12M,,,,,4.575M,4.575M,15.10M,109.26M,,2009-06,0.722M,940.45M,133.59M,367.46M,,,-7.881M,699.42M,,2009-06,AOR,Restated
2009-03,,34.70M,58.07M,92.77M,137.18M,,144.43M,47.24M,0.544M,52.33M,1.137M,101.25M,11.78M,1.556M,11.72M,,363.51M,,,,,,,,,,76.84M,150.40M,63.92M,214.32M,,48.04M,5.134M,439.32M,802.83M,,2009-03,30.09M,0.00,,30.09M,42.79M,72.88M,,,,,,,19.77M,19.77M,,,,,4.702M,4.702M,15.55M,108.19M,,2009-03,0.722M,931.44M,141.62M,365.38M,,,-13.78M,694.64M,,2009-03,AOR,Restated
