,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-03,53.71M,,,,,,,104.10M,104.10M,-7.814M,,44.69M,,12.05M,-18.42M,-4.927M,-31.31M,,13.70M,26.24M,-14.72M,,2018-03,-113.08M,,-51.58M,-0.079M,2.384M,-0.715M,-111.48M,2018-03,0.00,0.00,,-19.78M,-19.78M,22.74M,-33.61M,-30.66M,,2018-03,314.43M,1.165M,365.46M,,2018-03,,0.00,-19.78M,18.31M,,,2018-03,Restated
2017-12,27.52M,,,,,,,99.40M,99.40M,-30.38M,,42.20M,,43.23M,-40.63M,7.612M,11.08M,,12.73M,24.68M,15.47M,,2017-12,-106.85M,,-68.68M,-171.87M,76.99M,-0.42M,-202.15M,2017-12,0.00,0.00,,-54.56M,-54.56M,13.94M,-10.27M,-50.90M,,2017-12,369.41M,0.631M,314.43M,,2017-12,0.00,,-54.56M,12.16M,,,2017-12,Restated
2017-09,63.91M,,,,,,,97.18M,97.18M,-12.09M,,41.85M,,6.792M,-5.158M,14.64M,39.69M,,-2.25M,-8.276M,38.65M,,2017-09,-119.74M,,-80.58M,0.00,17.38M,-0.023M,-102.38M,2017-09,0.00,0.00,,-129.01M,-129.01M,16.06M,-6.784M,-119.74M,,2017-09,353.13M,2.107M,369.41M,,2017-09,0.00,,-129.01M,25.33M,,,2017-09,Restated
2017-06,56.75M,,,,,,,89.21M,89.21M,6.798M,,41.27M,,6.384M,15.61M,-4.052M,6.399M,,2.385M,3.881M,24.22M,,2017-06,-97.00M,,-59.66M,-197.19M,0.065M,-0.808M,-294.94M,2017-06,,,,-105.15M,-105.15M,8.15M,-8.513M,-105.51M,,2017-06,523.71M,5.233M,353.13M,,2017-06,,,-105.15M,13.01M,,,2017-06,Restated
2017-03,74.58M,,,,,,,86.53M,86.53M,28.42M,,38.99M,,4.468M,-19.88M,-47.17M,-23.94M,,3.516M,-2.905M,-90.38M,,2017-03,-91.18M,,-45.22M,-0.01M,231.83M,-0.335M,140.31M,2017-03,,,,-72.47M,-72.47M,17.53M,-33.92M,-88.86M,,2017-03,324.63M,5.019M,523.71M,,2017-03,,,-72.47M,41.13M,,,2017-03,Restated
2016-12,96.23M,,,,,,,84.01M,84.01M,23.49M,,39.20M,,6.887M,-25.45M,38.13M,-36.40M,,0.814M,-42.70M,-65.60M,,2016-12,-75.94M,,-46.08M,-92.50M,-0.209M,3.931M,-164.72M,2016-12,,,,-78.93M,-78.93M,17.22M,-6.985M,-68.69M,,2016-12,381.80M,-8.426M,324.63M,,2016-12,,,-78.93M,55.52M,,,2016-12,Restated
2016-09,76.00M,,,,,,,84.51M,84.51M,-16.65M,,38.65M,,9.532M,4.691M,15.00M,42.61M,,-2.301M,-0.206M,59.80M,,2016-09,-79.87M,,-48.05M,-2.936M,-26.03M,-1.633M,-110.47M,2016-09,,,,-95.16M,-95.16M,15.24M,-6.15M,-86.06M,,2016-09,326.64M,-0.154M,381.80M,,2016-09,,,-95.16M,26.49M,,,2016-09,Restated
2016-06,73.64M,,,,,,,85.11M,85.11M,1.713M,,34.91M,,5.388M,1.88M,-7.51M,44.66M,,0.095M,4.484M,43.61M,,2016-06,-78.14M,,-45.01M,0.00,-61.51M,0.842M,-138.81M,2016-06,,,,-90.98M,-90.98M,8.745M,-5.914M,-88.15M,,2016-06,312.91M,-3.676M,326.64M,,2016-06,,,-90.98M,10.22M,,,2016-06,Restated
2016-03,74.86M,,,,,,,80.67M,80.67M,1.072M,,31.74M,,7.405M,15.91M,-3.481M,-32.38M,,6.876M,8.704M,-4.372M,,2016-03,-82.34M,,-41.81M,0.00,29.27M,-2.354M,-55.43M,2016-03,,,,-108.72M,-108.72M,18.35M,-26.50M,-116.87M,,2016-03,289.47M,4.365M,312.91M,,2016-03,,,-108.72M,28.01M,,,2016-03,Restated
2015-12,88.42M,,,,,,,80.33M,80.33M,22.04M,,33.71M,24.85M,7.174M,-15.54M,-8.982M,25.53M,,-0.491M,-9.945M,-9.432M,,2015-12,-78.84M,,-49.27M,-18.70M,10.12M,0.543M,-86.87M,2015-12,,,,-100.18M,-100.18M,7.503M,-31.84M,-124.52M,,2015-12,256.47M,-2.697M,289.47M,,2015-12,,,-100.18M,27.99M,,,2015-12,Restated
2015-09,88.04M,,,,,,,74.78M,74.78M,-1.666M,,31.05M,-2.114M,6.756M,-26.42M,4.097M,-5.575M,,-0.053M,13.71M,-14.24M,,2015-09,-133.06M,,-102.91M,0.50M,19.24M,-1.128M,-114.45M,2015-09,,,,-76.36M,-76.36M,17.78M,-6.503M,-65.08M,,2015-09,257.45M,-4.048M,256.47M,,2015-09,,,-76.36M,34.99M,,,2015-09,Restated
2015-06,67.20M,,,,,,,73.99M,73.99M,-24.58M,,32.25M,-9.609M,5.38M,18.26M,13.84M,84.38M,,0.157M,2.76M,119.39M,,2015-06,-96.01M,,-67.57M,-106.88M,-86.66M,-1.827M,-291.38M,2015-06,,,,-63.39M,-63.39M,12.07M,0.106M,-51.21M,,2015-06,332.56M,3.456M,257.45M,,2015-06,,,-63.39M,-12.08M,,,2015-06,Restated
2015-03,77.75M,,,,,,,70.46M,70.46M,8.305M,,29.67M,-13.13M,5.019M,-32.55M,-1.817M,-52.70M,,0.042M,8.688M,-78.34M,,2015-03,-137.07M,,-91.92M,-16.06M,210.35M,-0.082M,57.14M,2015-03,,,,-62.68M,-62.68M,24.44M,-17.97M,-56.21M,,2015-03,238.65M,-6.747M,332.56M,,2015-03,,,-62.68M,24.13M,,,2015-03,Restated
2014-12,97.11M,,,,,,,67.76M,67.76M,-36.50M,,27.20M,-8.28M,4.554M,-8.184M,-38.44M,57.82M,,0.001M,32.51M,43.70M,,2014-12,-92.32M,,-64.69M,0.00,-42.62M,-1.477M,-136.41M,2014-12,0.00,0.00,,-42.13M,-42.13M,11.75M,0.836M,-29.55M,,2014-12,214.34M,-5.267M,238.65M,,2014-12,0.00,0.00,-42.13M,48.49M,,,2014-12,Restated
2014-09,91.16M,,,,,,,67.42M,67.42M,-11.22M,,28.01M,-4.297M,5.822M,-8.959M,-9.348M,15.42M,,-2.122M,1.409M,-3.603M,,2014-09,-71.78M,,-44.47M,0.00,-111.31M,5.194M,-177.90M,2014-09,0.00,0.00,,-39.02M,-39.02M,17.36M,-6.235M,-27.90M,,2014-09,254.16M,-7.318M,214.34M,,2014-09,0.00,0.00,-39.02M,57.36M,,,2014-09,Restated
2014-06,72.89M,,,,,,,58.71M,58.71M,20.18M,,31.68M,-4.483M,5.409M,-23.12M,7.963M,43.97M,,0.132M,-13.11M,15.84M,,2014-06,-70.52M,,-45.98M,0.115M,-66.50M,2.86M,-134.04M,2014-06,-0.868M,-0.868M,,-71.34M,-71.34M,13.67M,-3.494M,-62.04M,,2014-06,248.73M,1.291M,254.16M,,2014-06,-0.868M,0.00,-71.34M,5.881M,,,2014-06,Restated
2014-03,72.80M,,,,,,,53.52M,53.52M,1.66M,,25.11M,-15.18M,2.243M,-18.14M,-20.96M,-22.51M,,1.287M,9.19M,-51.13M,,2014-03,-84.01M,,-52.01M,-386.65M,-258.97M,-0.832M,-730.46M,2014-03,661.74M,661.74M,,-116.15M,-116.15M,122.30M,-112.38M,555.51M,,2014-03,333.89M,0.762M,248.73M,,2014-03,679.60M,-17.86M,-116.15M,54.48M,,,2014-03,Restated
2013-12,80.35M,1.188M,0.015M,,1.203M,,,49.98M,49.98M,27.34M,,23.67M,-4.649M,-52.88M,-15.86M,5.424M,-3.197M,,0.02M,7.166M,-6.45M,,2013-12,-62.34M,-0.761M,-46.16M,-3.237M,39.10M,0.692M,-26.54M,2013-12,,,,-48.01M,-48.01M,9.289M,-8.124M,-46.85M,,2013-12,235.02M,0.527M,333.89M,,2013-12,,,-48.01M,19.32M,,,2013-12,Restated
2013-09,79.76M,1.093M,-0.324M,,0.769M,,,47.95M,47.95M,0.00,,24.48M,-8.53M,15.95M,-16.12M,6.942M,20.04M,,0.255M,2.656M,13.77M,,2013-09,-60.39M,0.335M,-40.01M,-27.50M,-36.17M,-2.958M,-126.68M,2013-09,0.00,0.00,,-29.63M,-29.63M,26.16M,1.096M,-2.373M,,2013-09,204.86M,1.319M,235.02M,,2013-09,0.00,0.00,-29.63M,8.395M,,,2013-09,Restated
2013-06,61.90M,-1.093M,0.38M,,-0.713M,,,44.13M,44.13M,0.00,,24.80M,-5.503M,19.30M,-6.848M,-4.761M,28.22M,,-0.112M,-0.923M,15.58M,,2013-06,-76.52M,0.166M,-58.22M,0.08M,0.988M,-0.362M,-75.65M,2013-06,0.00,0.00,,-42.50M,-42.50M,17.90M,1.693M,-22.91M,,2013-06,165.28M,-2.912M,204.86M,,2013-06,0.00,0.00,-42.50M,19.70M,,,2013-06,Restated
2013-03,71.49M,-1.188M,-0.071M,,-1.259M,,,42.38M,42.38M,0.00,,22.93M,-4.119M,18.81M,-28.36M,-11.45M,-4.528M,,-0.111M,5.93M,-38.51M,,2013-03,-60.83M,0.26M,-43.57M,0.00,-23.67M,,-84.24M,2013-03,0.00,0.00,,-40.28M,-40.28M,10.36M,-13.20M,-43.11M,,2013-03,201.99M,-2.589M,165.28M,,2013-03,0.00,0.00,-40.28M,16.10M,,,2013-03,Restated
2012-12,68.29M,0.00,0.065M,,0.065M,,,54.96M,54.96M,-6.645M,,21.40M,-5.426M,15.98M,19.48M,-3.653M,9.523M,,-0.381M,-4.651M,20.32M,,2012-12,-61.94M,0.00,-47.66M,-30.65M,-18.13M,-0.167M,-110.88M,2012-12,,,,-29.82M,-29.82M,11.35M,-2.698M,-21.16M,,2012-12,182.65M,-1.328M,201.99M,,2012-12,,,-29.82M,43.01M,,,2012-12,Restated
2012-09,48.23M,0.00,0.142M,,0.142M,,,53.46M,53.46M,0.826M,,22.64M,-2.54M,20.10M,-27.97M,1.038M,41.88M,,-2.897M,0.802M,12.85M,,2012-09,-60.15M,0.00,-46.50M,-14.39M,-39.24M,0.979M,-112.81M,2012-09,,,,-36.52M,-36.52M,11.19M,0.17M,-25.16M,,2012-09,183.00M,2.373M,182.65M,,2012-09,,,-36.52M,16.26M,,,2012-09,Restated
2012-06,44.24M,0.00,-0.204M,0.097M,-0.107M,,,50.11M,50.11M,,,25.62M,-1.635M,23.99M,7.803M,4.663M,15.21M,,,3.728M,31.41M,,2012-06,-55.54M,0.002M,-42.18M,0.00,-1.674M,,-57.21M,2012-06,,,,-67.21M,-67.21M,15.49M,-0.906M,-52.63M,,2012-06,144.72M,-1.441M,183.00M,,2012-06,,,-67.21M,24.08M,,,2012-06,Restated
2012-03,43.23M,0.00,,-0.097M,-0.097M,,,45.63M,45.63M,,,20.92M,-13.41M,7.51M,-1.416M,4.309M,-7.942M,,,0.908M,-4.141M,,2012-03,-43.34M,0.01M,-30.42M,-291.64M,-163.24M,,-498.21M,2012-03,,,,-7.913M,-7.913M,7.078M,-8.241M,-9.076M,,2012-03,559.20M,0.307M,144.72M,,2012-03,,,-7.913M,11.49M,,,2012-03,Restated
2011-12,,,0.769M,,0.769M,,,43.65M,43.65M,,,18.84M,-1.663M,-161.32M,-30.02M,-4.75M,12.66M,,,-7.479M,-26.01M,,2011-12,-39.80M,0.015M,-27.66M,0.00,181.22M,,141.17M,2011-12,,,-13.30M,-76.33M,-89.64M,,-1.05M,-65.38M,,2011-12,355.60M,-1.816M,559.20M,,2011-12,,,-76.33M,45.58M,,,2011-12,Restated
2011-09,,,-0.176M,,-0.176M,,,41.76M,41.76M,,,15.14M,-0.61M,63.19M,-8.277M,-0.919M,0.297M,,,5.099M,-3.80M,,2011-09,-47.32M,0.047M,-37.20M,0.00,239.66M,,192.40M,2011-09,,,1.183M,-155.12M,-153.94M,,-1.563M,-155.50M,,2011-09,205.63M,-3.209M,355.60M,,2011-09,,,-155.12M,-17.90M,,,2011-09,Restated
2011-06,,,-0.113M,,-0.113M,,,41.33M,41.33M,,,11.61M,-1.838M,47.92M,-7.101M,6.917M,2.646M,,,10.34M,12.80M,,2011-06,-42.74M,0.063M,-32.86M,-0.375M,-38.65M,,-81.70M,2011-06,,,8.163M,-48.94M,-40.77M,,-1.669M,-42.44M,,2011-06,217.17M,0.75M,205.63M,,2011-06,,,-48.94M,17.90M,,,2011-06,Restated
2011-03,,,0.117M,,0.117M,,,41.13M,41.13M,,,15.71M,-9.012M,50.62M,7.557M,-6.076M,-8.391M,,,-3.469M,-10.38M,,2011-03,-46.24M,0.025M,-35.58M,-0.175M,-28.13M,,-74.51M,2011-03,,,3.959M,-43.68M,-39.72M,,9.012M,-30.71M,,2011-03,231.87M,2.016M,217.17M,,2011-03,,,-43.68M,,,,2011-03,Restated
2010-12,171.22M,,0.223M,,0.094M,,,39.13M,39.13M,-4.436M,-0.457M,18.50M,-6.594M,-118.50M,-17.22M,29.30M,-0.494M,,,0.377M,11.97M,,2010-12,-48.70M,0.124M,-39.56M,-0.458M,-19.76M,,-68.46M,2010-12,,,-31.95M,-27.30M,-59.24M,,6.594M,-6.875M,,2010-12,197.57M,-0.726M,231.87M,,2010-12,,,-27.30M,2.371M,0.291M,,2010-12,Restated
2010-09,,,0.022M,,0.022M,,,36.48M,36.48M,66.90M,0.063M,18.59M,-9.456M,-4.902M,10.06M,-1.109M,8.621M,,,-7.968M,9.608M,,2010-09,-42.06M,0.014M,-33.13M,-0.20M,-0.948M,,-43.19M,2010-09,,,10.95M,-22.50M,-11.55M,,9.456M,-2.096M,,2010-09,120.51M,4.386M,197.57M,,2010-09,,,-22.50M,1.699M,0.001M,,2010-09,Restated
2010-06,-40.88M,,-0.264M,,-0.264M,,,34.67M,34.67M,,0.184M,20.28M,-9.75M,99.27M,-18.99M,-28.91M,25.15M,,,5.322M,-17.42M,,2010-06,-66.10M,0.015M,-58.23M,-12.01M,-65.45M,,-143.54M,2010-06,,,16.95M,-20.38M,-3.429M,,9.75M,6.321M,,2010-06,173.22M,-1.878M,120.51M,,2010-06,,,-20.38M,15.57M,0.966M,,2010-06,Restated
2010-03,40.88M,,0.019M,,0.019M,,,32.96M,32.96M,,0.21M,19.11M,-3.173M,24.64M,2.582M,-11.38M,-13.36M,,,-5.879M,-28.04M,,2010-03,-35.19M,0.023M,-28.18M,0.00,-45.00M,,-80.17M,2010-03,,,4.046M,-22.24M,-18.20M,,3.173M,-15.03M,,2010-03,181.30M,-0.641M,173.22M,,2010-03,,,-22.24M,6.557M,,,2010-03,Restated
2009-12,40.08M,,-0.024M,,-0.024M,,,32.57M,32.57M,,0.21M,16.80M,-0.865M,22.39M,-5.054M,5.707M,13.65M,,,-0.591M,13.71M,,2009-12,-29.24M,0.061M,-22.40M,0.00,-110.76M,,-139.94M,2009-12,,,7.965M,-14.93M,-6.964M,,0.865M,-6.099M,,2009-12,202.80M,-0.328M,181.30M,,2009-12,,,-14.93M,4.384M,0.999M,,2009-12,Restated
2009-09,32.74M,,0.02M,,0.02M,,,31.56M,31.56M,,0.21M,13.61M,-0.713M,19.36M,-6.765M,-6.452M,17.55M,,,4.111M,8.447M,,2009-09,-31.18M,0.028M,-24.39M,0.00,-162.18M,,-193.33M,2009-09,,,2.996M,-34.66M,-31.67M,,0.713M,-30.95M,,2009-09,321.08M,0.764M,202.80M,,2009-09,,,-34.66M,-1.168M,0.00,,2009-09,Restated
2009-06,36.01M,,-0.387M,,-1.015M,,,29.68M,29.68M,,0.21M,13.32M,-0.333M,22.65M,5.941M,-0.468M,-4.536M,,,2.374M,3.311M,,2009-06,-24.65M,0.002M,-10.96M,0.00,34.47M,,9.823M,2009-06,,,6.999M,-16.90M,-9.906M,,0.333M,-9.573M,,2009-06,215.21M,1.792M,321.08M,,2009-06,,,-16.90M,7.528M,0.999M,,2009-06,Restated
2009-03,37.08M,,,,-0.434M,,,28.68M,28.68M,,0.21M,15.07M,-0.325M,24.04M,4.719M,-3.807M,-17.48M,,,2.721M,-13.84M,,2009-03,-23.07M,0.002M,-23.06M,-5.779M,-5.204M,,-34.05M,2009-03,,,3.764M,0.00,3.764M,,0.325M,4.089M,,2009-03,156.07M,-1.374M,215.21M,,2009-03,,,0.00,10.24M,,,2009-03,Restated
2008-12,40.53M,,0.529M,,0.529M,,,27.45M,27.45M,81.70M,0.21M,15.53M,-0.143M,-66.00M,-10.58M,2.737M,-1.385M,,,1.894M,-7.336M,,2008-12,-20.44M,0.006M,-39.15M,-83.72M,23.68M,,-80.47M,2008-12,,,2.164M,0.00,2.164M,,0.143M,2.307M,,2008-12,142.02M,-0.261M,156.07M,,2008-12,,,0.00,1.852M,1.00M,,2008-12,Restated
2008-09,33.36M,,-0.287M,,0.016M,-46.06M,-0.42M,24.15M,24.15M,-43.95M,0.63M,42.37M,-11.03M,49.03M,-5.184M,0.607M,6.527M,,0.543M,-3.846M,-1.353M,,2008-09,-36.43M,0.002M,-17.70M,0.00,-80.46M,,-116.88M,2008-09,,,1.67M,0.00,1.67M,,0.751M,2.421M,,2008-09,165.42M,-2.153M,142.02M,,2008-09,,,0.00,10.02M,0.999M,,2008-09,Restated
2008-06,34.33M,,,,-0.032M,23.41M,0.21M,23.62M,23.62M,20.74M,,,,10.38M,-3.636M,-6.684M,-7.179M,,-2.901M,1.161M,-19.24M,,2008-06,-30.31M,0.007M,-30.30M,,-102.93M,,-133.23M,2008-06,,,13.62M,,13.62M,,7.005M,20.63M,,2008-06,208.50M,-0.269M,165.42M,,2008-06,,,,,,,2008-06,
2008-03,36.91M,,,,-0.271M,22.65M,0.21M,22.86M,22.86M,23.22M,,,,8.327M,-2.072M,-2.131M,-0.928M,,2.358M,-0.259M,-3.032M,,2008-03,-28.21M,0.067M,-28.14M,,-5.716M,,-33.86M,2008-03,,,4.509M,,4.509M,,3.277M,7.786M,,2008-03,145.08M,1.483M,208.50M,,2008-03,,,,,,,2008-03,
2007-12,35.88M,,,,-0.013M,71.90M,0.84M,21.07M,21.07M,23.59M,,,,13.28M,-11.39M,-4.384M,-8.837M,,-2.722M,5.048M,-22.28M,,2007-12,-15.90M,-0.009M,-15.91M,0.00,-75.44M,0.00,-91.34M,2007-12,,0.00,9.035M,,9.035M,,2.551M,11.59M,,2007-12,152.80M,0.514M,145.08M,,2007-12,,,,,,,2007-12,
2007-09,24.26M,,,,-0.004M,-32.43M,-0.42M,18.82M,18.82M,16.54M,,,,16.15M,-9.054M,-2.192M,10.98M,,1.496M,-0.207M,1.018M,,2007-09,-23.33M,0.009M,-23.32M,0.00,-9.381M,0.723M,-31.98M,2007-09,,0.00,4.835M,,4.835M,,2.338M,7.173M,,2007-09,100.16M,0.657M,152.80M,,2007-09,,,,,,,2007-09,
2007-06,21.65M,,,,0.488M,17.58M,0.21M,17.79M,17.79M,25.14M,,,,-2.574M,-12.16M,-0.307M,-15.80M,,-1.496M,-0.36M,-30.12M,,2007-06,-29.69M,,-29.69M,2.44M,-48.42M,,-75.67M,2007-06,,-0.023M,11.06M,,11.06M,,8.497M,19.53M,,2007-06,124.24M,-0.317M,100.16M,,2007-06,,,,,,,2007-06,
2007-03,19.18M,,,,-0.448M,14.85M,0.21M,15.06M,15.06M,,,,,21.57M,0.659M,-5.126M,0.694M,,,4.69M,0.917M,,2007-03,-31.54M,,-31.54M,5.435M,-1.61M,,-27.72M,2007-03,,,6.692M,,6.692M,,7.476M,14.17M,,2007-03,80.60M,0.922M,124.24M,,2007-03,,,,,,,2007-03,
2006-12,20.62M,,,,-28.77M,11.80M,0.21M,12.01M,12.01M,,,,,2.267M,-14.02M,-3.248M,-3.136M,,-1.97M,1.056M,-21.32M,,2006-12,-22.48M,,-22.48M,,-37.49M,0.40M,-64.69M,2006-12,,,9.267M,,9.267M,,12.91M,22.18M,,2006-12,99.12M,0.661M,80.60M,,2006-12,,,,,,,2006-12,
2006-09,14.02M,,,,11.21M,10.52M,0.21M,10.73M,10.73M,,,,,5.627M,-3.257M,-0.495M,12.10M,,-0.991M,-0.448M,6.906M,,2006-09,-16.45M,,-16.45M,,-21.88M,,-38.73M,2006-09,,,7.186M,,7.186M,,8.735M,15.92M,,2006-09,73.50M,-0.062M,99.12M,,2006-09,,,,,,,2006-09,
2006-06,11.26M,,,,6.89M,9.567M,0.211M,9.778M,9.778M,,,,,9.981M,-7.338M,-1.206M,-0.419M,,-1.65M,0.446M,-10.17M,,2006-06,-14.23M,,-14.23M,,-17.96M,-0.40M,-32.18M,2006-06,,,6.822M,,6.822M,,5.467M,12.29M,,2006-06,65.02M,0.63M,73.50M,,2006-06,,,,,,,2006-06,
2006-03,11.50M,,,,10.44M,8.693M,0.21M,8.903M,8.903M,,,,,,-3.403M,-3.113M,6.84M,,2.641M,-0.645M,2.32M,,2006-03,-16.17M,,-16.17M,,-54.24M,0.40M,-70.01M,2006-03,,,4.643M,,4.643M,,5.399M,10.04M,,2006-03,91.79M,0.04M,65.02M,,2006-03,,,,,,,2006-03,
