,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2003-09,41.77M,41.77M,14.28M,27.49M,,,25.01M,3.595M,,0.012M,1.637M,,,,,,,28.61M,-1.121M,,,,1.637M,,-3.827M,,-3.909M,-4.891M,10.18M,11.30M,2003-09,-0.03,0.00,-0.0383,-0.03,-0.03,0.00,-0.0383,2003-09,118.60M,118.60M,,2003-09,,
2003-06,37.76M,37.76M,15.83M,21.93M,,,28.06M,2.816M,,0.012M,-1.299M,,,,,,,30.88M,-8.956M,,,,-1.299M,,-14.52M,,-14.65M,-13.87M,4.788M,13.74M,2003-06,-0.13,0.00,-0.1233,-0.13,-0.13,0.00,-0.1233,2003-06,117.11M,117.11M,,2003-06,,
2003-03,36.56M,36.56M,17.88M,18.68M,,,27.16M,3.472M,,2.198M,9.805M,,,,,,,32.83M,-14.15M,,,,9.805M,,-8.574M,,-8.647M,-14.53M,3.641M,17.79M,2003-03,-0.07,0.00,-0.1205,-0.07,-0.07,0.00,-0.1205,2003-03,116.40M,116.40M,,2003-03,,
2002-12,35.35M,35.35M,53.54M,-18.18M,,,74.16M,7.453M,,2.231M,-26.38M,,,,,,,6.868M,-25.05M,,,,-10.74M,,-53.68M,,-55.60M,-39.78M,-3.957M,21.10M,2002-12,-0.48,0.00,-0.3422,-0.48,-0.48,,-0.3455,2002-12,114.87M,117.66M,,2002-12,,
2002-09,35.38M,35.38M,9.58M,25.80M,,,29.40M,4.82M,20.74M,2.231M,-7.449M,,,,,,4.616M,61.81M,-36.01M,,,,-12.06M,,-47.41M,,-47.53M,-43.06M,-10.93M,25.08M,2002-09,-0.42,0.00,-0.3809,-0.42,-0.42,0.00,-0.3809,2002-09,114.25M,114.25M,,2002-09,,
2002-06,36.32M,36.32M,10.95M,25.38M,,,30.30M,4.624M,20.60M,2.231M,-1.361M,,,,,,4.646M,62.40M,-37.02M,,,,-6.007M,,-42.12M,,-42.24M,-41.43M,-12.60M,24.42M,2002-06,-0.38,0.00,-0.3727,-0.38,-0.38,0.00,-0.3727,2002-06,112.25M,112.25M,,2002-06,,
2002-03,37.93M,37.93M,11.24M,26.68M,,,28.82M,4.869M,20.01M,5.237M,-23.11M,,,,,,6.371M,65.31M,-38.62M,,,,-23.11M,,-58.94M,,-59.06M,-45.19M,-11.79M,26.84M,2002-03,-0.54,0.00,-0.4136,-0.54,-0.54,0.00,-0.4136,2002-03,109.69M,109.69M,,2002-03,,
2001-12,37.11M,37.11M,65.15M,-28.04M,,,97.31M,-4.353M,,4.034M,-14.29M,,,,,,-24.27M,18.82M,-46.86M,,,,9.975M,,-64.49M,,-64.76M,-56.19M,-21.16M,25.70M,2001-12,-0.24,0.00,-0.1609,-0.24,-0.5627,,-0.4882,2001-12,108.36M,115.10M,,2001-12,,
2001-09,42.75M,42.75M,13.40M,29.35M,,,33.91M,13.83M,19.12M,7.44M,0.789M,,,,,,8.717M,83.01M,-53.66M,,,,-7.928M,,-55.08M,,-55.36M,-55.83M,-24.94M,28.72M,2001-09,-0.53,0.00,-0.5345,-0.53,-0.53,0.00,-0.5345,2001-09,104.17M,104.17M,,2001-09,,
2001-06,43.14M,43.14M,16.44M,26.70M,,,45.62M,9.595M,18.34M,5.392M,-27.35M,,,,,,11.04M,89.98M,-63.28M,,,,-38.38M,,-92.26M,,-92.61M,-76.20M,-37.19M,26.09M,2001-06,-0.91,0.00,-0.7485,-0.91,-0.91,0.00,-0.7485,2001-06,101.63M,101.63M,,2001-06,,
2001-03,40.21M,40.21M,16.16M,24.05M,,,42.28M,18.63M,16.45M,2.152B,-11.75M,,,,,,4.514M,2.234B,-2.210B,,,,-18.11M,,-2.223B,,-2.223B,-2.216B,-41.37M,256.13M,2001-03,-22.50,0.00,-22.43,-22.50,-22.50,0.00,-22.43,2001-03,98.78M,98.78M,,2001-03,,
2000-12,37.24M,37.24M,34.74M,2.502M,,,69.11M,0.013M,,239.33M,0.00,,,,,,,308.46M,-305.95M,,,,0.00,,-303.02M,,-303.08M,-303.08M,-66.62M,235.44M,2000-12,-3.23,0.00,-3.23,-3.23,-3.23,,-3.23,2000-12,96.10M,108.20M,,2000-12,,
2000-09,27.16M,27.16M,18.18M,8.974M,,,59.60M,18.35M,,238.70M,,,,,,,,316.65M,-307.68M,,,,,,-304.06M,,-304.08M,-304.08M,-31.98M,275.70M,2000-09,-3.27,0.00,-3.27,-3.27,-3.27,0.00,-3.27,2000-09,93.10M,93.10M,,2000-09,,
2000-06,18.14M,18.14M,-4.079M,22.22M,,,49.08M,12.93M,,,-1.372M,,,,,,,267.82M,-245.60M,,,,-1.372M,,-243.17M,,-243.24M,-242.41M,-39.79M,194.20M,2000-06,-2.78,0.00,-2.771,-2.78,-2.78,0.00,-2.771,2000-06,87.37M,87.37M,,2000-06,,
2000-03,7.222M,7.222M,6.636M,0.586M,,,23.69M,6.915M,,9.00M,,,,,,,,39.61M,-39.02M,,,,,,,,-35.40M,-35.40M,-24.77M,14.25M,2000-03,-0.47,0.00,-0.47,-0.47,-0.47,0.00,-0.47,2000-03,75.03M,75.03M,,2000-03,,
1999-12,2.699M,2.699M,4.469M,-1.77M,,,19.97M,6.375M,,0.011M,,,,,,,,26.35M,-28.12M,,,,,,26.18M,0.596M,-29.23M,-25.84M,-28.11M,-5.561M,1999-12,-0.3225,,-0.3225,-0.3225,-0.51,0.00,-0.51,1999-12,92.50M,92.50M,,1999-12,,
1999-09,0.883M,0.883M,3.125M,-2.242M,,,13.10M,3.32M,,0.013M,,,,,,,,16.43M,-18.68M,,,,,,-18.54M,1.35M,-18.54M,-18.54M,-18.66M,0.013M,1999-09,-0.80,0.00,-0.80,-0.80,-0.80,0.00,-0.80,1999-09,24.85M,24.85M,,1999-09,,
1999-06,0.40M,0.40M,,,,,,,,,,,,,,,,,0.40M,,,,,,,,-6.90M,-6.90M,0.40M,,1999-06,-0.34,0.00,-0.34,-0.34,-0.34,0.00,-0.34,1999-06,20.29M,20.29M,,1999-06,,
1999-03,0.10M,0.10M,,,,,,,,,,,,,,,,,0.10M,,,,,,,,-2.90M,-2.90M,0.10M,,1999-03,-0.17,0.00,-0.17,-0.17,-0.17,0.00,-0.17,1999-03,17.06M,17.06M,,1999-03,,
