,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-09,733.00M,,88.00M,29.00M,117.00M,117.00M,67.00M,13.00M,,71.00M,-201.00M,181.00M,112.00M,,,-256.00M,-164.00M,,837.00M,-170.00M,,,,0.00,37.00M,-133.00M,0.00,,0.00,,-1.164B,-1.164B,-223.00M,-223.00M,42.00M,-4.00M,-1.349B,4.032B,-660.00M,3.372B,-15.00M,,0.00,0.00,-1.164B,246.00M,17.00M
2015-06,752.00M,,90.00M,29.00M,119.00M,119.00M,29.00M,31.00M,30.00M,30.00M,67.00M,212.00M,-239.00M,,38.00M,-381.00M,-303.00M,,688.00M,-92.00M,,,,0.00,147.00M,55.00M,0.00,,0.00,,-945.00M,-945.00M,-226.00M,-226.00M,111.00M,-55.00M,-1.115B,4.412B,-380.00M,4.032B,-8.00M,,,0.00,-945.00M,477.00M,26.00M
2015-03,716.00M,,94.00M,30.00M,124.00M,124.00M,-8.00M,40.00M,-30.00M,-6.00M,388.00M,-31.00M,461.00M,,-38.00M,-871.00M,-91.00M,,745.00M,-98.00M,,,,500.00M,94.00M,496.00M,-500.00M,,-500.00M,,-620.00M,-620.00M,-206.00M,-206.00M,87.00M,30.00M,-1.209B,4.388B,24.00M,4.412B,-8.00M,,,-500.00M,-620.00M,53.00M,19.00M
2014-12,737.00M,,90.00M,30.00M,120.00M,120.00M,42.00M,34.00M,66.00M,47.00M,141.00M,-143.00M,-483.00M,,9.00M,-540.00M,-1.016B,,30.00M,-184.00M,,,,0.00,-92.00M,-276.00M,0.00,,0.00,,-265.00M,-265.00M,-204.00M,-204.00M,72.00M,-84.00M,-481.00M,5.105B,-717.00M,4.388B,10.00M,,,0.00,-265.00M,-573.00M,-65.00M
2014-09,694.00M,,94.00M,30.00M,124.00M,124.00M,30.00M,30.00M,-12.00M,-204.00M,293.00M,529.00M,52.00M,,-238.00M,1.206B,1.842B,,2.504B,-175.00M,,,,-500.00M,-6.00M,-681.00M,0.00,,0.00,,-426.00M,-426.00M,-207.00M,-207.00M,60.00M,12.00M,-561.00M,3.841B,1.264B,5.105B,2.00M,,,0.00,-426.00M,292.00M,21.00M
2014-06,646.00M,,96.00M,31.00M,127.00M,127.00M,28.00M,37.00M,-22.00M,60.00M,-223.00M,-293.00M,149.00M,,173.00M,190.00M,-4.00M,,872.00M,-75.00M,,,,0.00,7.00M,-68.00M,0.00,,0.00,,-1.261B,-1.261B,-213.00M,-213.00M,166.00M,22.00M,-1.286B,4.296B,-455.00M,3.841B,27.00M,,,0.00,-1.261B,214.00M,25.00M
2014-03,596.00M,,95.00M,30.00M,125.00M,125.00M,36.00M,27.00M,-32.00M,-117.00M,119.00M,-115.00M,121.00M,,-173.00M,-165.00M,-213.00M,,422.00M,-87.00M,,,,0.00,10.00M,-77.00M,0.00,,0.00,,-1.43B,-1.43B,-198.00M,-198.00M,249.00M,32.00M,-1.347B,5.301B,-1.005B,4.296B,-3.00M,,,0.00,-1.43B,67.00M,19.00M
2013-12,624.00M,,102.00M,31.00M,133.00M,133.00M,64.00M,30.00M,-4.00M,349.00M,-42.00M,308.00M,-283.00M,,65.00M,314.00M,362.00M,,1.558B,-169.00M,,,,-22.00M,40.00M,-151.00M,,,,,-44.00M,-44.00M,-197.00M,-197.00M,99.00M,-23.00M,-165.00M,4.065B,1.236B,5.301B,-6.00M,,,,-44.00M,-713.00M,-66.00M
2013-09,652.00M,,94.00M,33.00M,127.00M,127.00M,4.00M,29.00M,-3.00M,-294.00M,-79.00M,-45.00M,39.00M,,-34.00M,70.00M,-49.00M,,466.00M,-102.00M,,,,0.00,51.00M,-51.00M,,,,,-211.00M,-211.00M,-196.00M,-196.00M,272.00M,30.00M,-105.00M,3.757B,308.00M,4.065B,-2.00M,,,,-211.00M,245.00M,20.00M
2013-06,639.00M,,91.00M,32.00M,123.00M,123.00M,36.00M,30.00M,-4.00M,41.00M,-45.00M,-93.00M,-211.00M,,27.00M,40.00M,-282.00M,,583.00M,-90.00M,,,,3.00M,2.00M,-85.00M,,,,,-485.00M,-485.00M,-198.00M,-198.00M,200.00M,4.00M,-479.00M,3.745B,12.00M,3.757B,-7.00M,,,,-485.00M,442.00M,27.00M
