,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,10.39B,10.39B,7.191B,3.201B,1.475B,-55.00M,83.00M,50.00M,-33.00M,,1.475B,1.726B,50.00M,83.00M,-33.00M,218.00M,-33.00M,1.911B,459.00M,1.452B,,,-13.00M,1.439B,1.480B,1.994B,,2018-03,1.92,,1.92,,2018-03,1.89,,1.89,,2018-03,0.745,,2018-03,AOR,Restated
2017-12,10.84B,10.84B,7.54B,3.303B,1.684B,-23.00M,81.00M,45.00M,-36.00M,,1.684B,1.619B,45.00M,81.00M,-36.00M,84.00M,-36.00M,1.667B,4.174B,-2.507B,,,-12.00M,-2.519B,-2.503B,1.748B,,2017-12,-3.18,,-3.18,,2017-12,-3.18,,-3.18,,2017-12,0.745,,2017-12,AOR,Restated
2017-09,10.12B,10.12B,7.054B,3.067B,1.524B,0.00,81.00M,39.00M,-42.00M,,1.524B,1.543B,39.00M,81.00M,-42.00M,277.00M,-42.00M,1.778B,416.00M,1.362B,,,-17.00M,1.345B,1.337B,1.859B,,2017-09,1.76,,1.76,,2017-09,1.74,,1.74,,2017-09,0.665,,2017-09,AOR,Restated
2017-06,10.08B,10.08B,7.024B,3.054B,1.456B,0.00,79.00M,36.00M,-43.00M,,1.456B,1.598B,36.00M,79.00M,-43.00M,223.00M,-43.00M,1.778B,378.00M,1.40B,,,-8.00M,1.392B,1.395B,1.857B,,2017-06,1.82,,1.82,,2017-06,1.80,,1.80,,2017-06,0.665,,2017-06,AOR,Restated
2017-03,9.492B,9.492B,6.529B,2.963B,1.422B,0.00,75.00M,31.00M,-44.00M,,1.422B,1.541B,31.00M,75.00M,-44.00M,227.00M,-44.00M,1.724B,392.00M,1.332B,,,-6.00M,1.326B,1.341B,1.799B,,2017-03,1.74,,1.74,,2017-03,1.71,,1.71,,2017-03,0.665,,2017-03,AOR,Restated
2016-12,9.985B,9.985B,7.406B,2.579B,1.598B,,86.00M,,20.00M,,1.598B,981.00M,,86.00M,20.00M,436.00M,20.00M,1.437B,389.00M,1.048B,,,-11.00M,1.037B,1.037B,1.523B,,2016-12,1.36,,1.36,,2016-12,1.34,,1.34,,2016-12,0.665,,2016-12,AOR,Restated
2016-09,9.804B,9.804B,6.903B,2.901B,1.367B,,82.00M,,-82.00M,,1.367B,1.534B,,82.00M,-82.00M,180.00M,-82.00M,1.632B,384.00M,1.248B,,,-8.00M,1.24B,1.24B,1.714B,,2016-09,1.62,,1.62,,2016-09,1.60,,1.60,,2016-09,0.595,,2016-09,AOR,Restated
2016-06,9.991B,9.991B,6.821B,3.17B,1.329B,,85.00M,,-85.00M,,1.329B,1.841B,,85.00M,-85.00M,-1.00M,-85.00M,1.755B,428.00M,1.327B,,,-8.00M,1.319B,1.319B,1.84B,,2016-06,1.73,,1.73,,2016-06,1.70,,1.70,,2016-06,0.595,,2016-06,AOR,Restated
2016-03,9.522B,9.522B,6.547B,2.975B,1.28B,,85.00M,,-85.00M,,1.28B,1.695B,,85.00M,-85.00M,18.00M,-85.00M,1.628B,402.00M,1.226B,,,-10.00M,1.216B,1.216B,1.713B,,2016-03,1.58,,1.58,,2016-03,1.56,,1.56,,2016-03,0.595,,2016-03,AOR,Restated
2015-12,9.982B,9.982B,6.917B,3.065B,1.332B,,84.00M,,20.00M,,1.332B,1.733B,,84.00M,20.00M,-100.00M,20.00M,1.653B,450.00M,1.203B,,,-9.00M,1.194B,1.194B,1.737B,,2015-12,1.55,,1.55,,2015-12,1.53,,1.53,,2015-12,0.595,,2015-12,AOR,Restated
2015-09,9.611B,9.611B,6.654B,2.957B,1.202B,,72.00M,,-72.00M,,1.202B,1.755B,,72.00M,-72.00M,24.00M,-72.00M,1.707B,431.00M,1.276B,,,-12.00M,1.264B,1.264B,1.779B,,2015-09,1.62,,1.62,,2015-09,1.60,,1.60,,2015-09,0.5175,,2015-09,AOR,Restated
2015-06,9.775B,9.775B,6.814B,2.961B,1.242B,,77.00M,,-77.00M,,1.242B,1.719B,,77.00M,-77.00M,20.00M,-77.00M,1.662B,440.00M,1.222B,,,-28.00M,1.194B,1.194B,1.739B,,2015-06,1.52,,1.52,,2015-06,1.51,,1.51,,2015-06,0.5175,,2015-06,AOR,Restated
2015-03,9.213B,9.213B,6.362B,2.851B,1.23B,,77.00M,,-77.00M,,1.23B,1.621B,,77.00M,-77.00M,20.00M,-77.00M,1.564B,418.00M,1.146B,,,-30.00M,1.116B,1.116B,1.641B,,2015-03,1.42,,1.42,,2015-03,1.41,,1.41,,2015-03,0.5175,,2015-03,AOR,Restated
2014-12,10.27B,10.27B,7.566B,2.70B,1.46B,,82.00M,,20.00M,,1.46B,1.24B,,82.00M,20.00M,44.00M,20.00M,1.304B,329.00M,975.00M,,,-19.00M,956.00M,956.00M,1.386B,,2014-12,1.22,,1.22,,2014-12,1.20,,1.20,,2014-12,0.5175,,2014-12,AOR,Restated
2014-09,10.11B,10.11B,7.128B,2.98B,1.344B,,77.00M,,-77.00M,,1.344B,1.636B,,77.00M,-77.00M,21.00M,-77.00M,1.58B,388.00M,1.192B,,,-25.00M,1.167B,1.167B,1.657B,,2014-09,1.49,,1.49,,2014-09,1.47,,1.47,,2014-09,0.45,,2014-09,AOR,Restated
2014-06,10.25B,10.25B,7.296B,2.957B,1.375B,,80.00M,,-80.00M,,1.375B,1.582B,,80.00M,-80.00M,21.00M,-80.00M,1.523B,397.00M,1.126B,,,-27.00M,1.099B,1.099B,1.603B,,2014-06,1.40,,1.40,,2014-06,1.38,,1.38,,2014-06,0.45,,2014-06,AOR,Restated
2014-03,9.679B,9.679B,6.967B,2.712B,1.339B,,79.00M,,-79.00M,,1.339B,1.373B,,79.00M,-79.00M,117.00M,-79.00M,1.411B,375.00M,1.036B,,,-19.00M,1.017B,1.017B,1.49B,,2014-03,1.30,,1.30,,2014-03,1.28,,1.28,,2014-03,0.45,,2014-03,AOR,Restated
2013-12,10.39B,10.39B,7.612B,2.775B,1.438B,-20.00M,83.00M,22.00M,-61.00M,,1.438B,1.337B,22.00M,83.00M,-61.00M,163.00M,-61.00M,1.439B,475.00M,964.00M,,,-17.00M,947.00M,836.46M,1.522B,,2013-12,1.20,,1.20,,2013-12,1.19,,1.19,,2013-12,0.45,,2013-12,AOR,Restated
2013-09,9.647B,9.647B,6.942B,2.705B,1.242B,0.00,80.00M,15.00M,-65.00M,,1.242B,1.463B,15.00M,80.00M,-65.00M,-14.00M,-65.00M,1.384B,377.00M,1.007B,,,-17.00M,990.00M,1.005B,1.464B,,2013-09,1.26,,1.26,,2013-09,1.24,,1.24,,2013-09,0.41,,2013-09,AOR,Restated
2013-06,9.693B,9.693B,7.027B,2.666B,1.281B,0.00,80.00M,15.00M,-65.00M,,1.281B,1.385B,15.00M,80.00M,-65.00M,9.00M,-65.00M,1.329B,307.00M,1.022B,,,-1.00M,1.021B,1.022B,1.409B,,2013-06,1.30,,1.30,,2013-06,1.28,,1.28,,2013-06,0.41,,2013-06,AOR,Restated
2013-03,9.328B,9.328B,6.783B,2.545B,1.229B,,84.00M,17.00M,-67.00M,,1.229B,1.316B,17.00M,84.00M,-67.00M,11.00M,-67.00M,1.26B,291.00M,969.00M,,,-3.00M,966.00M,967.54M,1.344B,,2013-03,1.23,,1.23,,2013-03,1.21,,1.21,,2013-03,0.41,,2013-03,AOR,Restated
2012-12,9.581B,9.581B,7.681B,1.90B,1.523B,2.00M,87.00M,16.00M,-71.00M,,1.523B,377.00M,16.00M,87.00M,-71.00M,0.00,-71.00M,306.00M,51.00M,255.00M,,,-4.00M,251.00M,256.00M,393.00M,,2012-12,0.32,0.00,0.32,,2012-12,0.32,0.00,0.32,,2012-12,0.41,,2012-12,AOR,Restated
2012-09,9.342B,9.342B,6.808B,2.534B,1.238B,4.00M,88.00M,14.00M,-74.00M,,1.238B,1.296B,14.00M,88.00M,-74.00M,2.00M,-74.00M,1.224B,278.00M,946.00M,,,4.00M,950.00M,958.50M,1.312B,,2012-09,1.21,,1.21,,2012-09,1.20,,1.20,,2012-09,0.3725,,2012-09,AOR,Restated
2012-06,9.435B,9.435B,6.922B,2.513B,1.226B,-1.00M,87.00M,14.00M,-73.00M,,1.226B,1.287B,14.00M,87.00M,-73.00M,9.00M,-73.00M,1.223B,318.00M,905.00M,,,-3.00M,902.00M,904.96M,1.31B,,2012-06,1.15,,1.15,,2012-06,1.14,,1.14,,2012-06,0.3725,,2012-06,AOR,Restated
2012-03,9.307B,9.307B,6.88B,2.427B,1.231B,,89.00M,14.00M,-75.00M,,1.231B,1.196B,14.00M,89.00M,-75.00M,1.00M,-75.00M,1.122B,297.00M,825.00M,,,-2.00M,823.00M,830.35M,1.211B,,2012-03,1.06,,1.06,,2012-03,1.04,,1.04,,2012-03,0.3725,,2012-03,AOR,Restated
2011-12,9.473B,9.473B,8.435B,1.038B,1.616B,44.00M,91.00M,16.00M,-75.00M,,1.616B,-578.00M,16.00M,91.00M,-75.00M,-4.00M,-75.00M,-657.00M,-350.00M,-307.00M,0.00,,-3.00M,-310.00M,-321.05M,-566.00M,,2011-12,-0.40,0.00,-0.40,,2011-12,-0.40,0.00,-0.40,,2011-12,0.3725,,2011-12,AOR,Restated
2011-09,9.298B,9.298B,7.033B,2.265B,1.303B,-2.00M,90.00M,15.00M,-75.00M,,1.303B,962.00M,15.00M,90.00M,-75.00M,6.00M,-75.00M,893.00M,207.00M,686.00M,177.00M,,-1.00M,862.00M,690.38M,983.00M,,2011-09,0.88,0.23,1.11,,2011-09,0.87,0.23,1.10,,2011-09,0.3325,,2011-09,AOR,Restated
2011-06,9.086B,9.086B,6.664B,2.422B,1.248B,4.00M,96.00M,14.00M,-82.00M,,1.248B,1.174B,14.00M,96.00M,-82.00M,8.00M,-82.00M,1.10B,304.00M,796.00M,14.00M,,0.00,810.00M,800.34M,1.196B,,2011-06,1.01,0.02,1.03,,2011-06,1.00,0.02,1.02,,2011-06,0.3325,,2011-06,AOR,Restated
2011-03,8.672B,8.672B,6.424B,2.248B,1.232B,15.00M,99.00M,13.00M,-86.00M,,1.232B,1.016B,13.00M,99.00M,-86.00M,16.00M,-86.00M,946.00M,256.00M,690.00M,18.00M,,-3.00M,705.00M,681.89M,1.045B,,2011-03,0.87,0.03,0.90,,2011-03,0.86,0.02,0.88,,2011-03,0.3325,,2011-03,AOR,Restated
2010-12,8.749B,8.749B,6.917B,1.832B,1.289B,48.00M,92.00M,9.00M,-83.00M,,1.289B,543.00M,9.00M,92.00M,-83.00M,117.00M,-83.00M,459.00M,115.00M,344.00M,25.00M,,0.00,369.00M,320.77M,551.00M,,2010-12,0.43,0.03,0.46,,2010-12,0.43,0.03,0.46,,2010-12,0.3025,,2010-12,AOR,Restated
2010-09,8.139B,8.139B,6.17B,1.969B,1.129B,-58.00M,96.00M,14.00M,-82.00M,,1.129B,840.00M,14.00M,96.00M,-82.00M,-64.00M,-82.00M,822.00M,245.00M,577.00M,19.00M,,2.00M,598.00M,621.82M,918.00M,,2010-09,0.75,0.02,0.77,,2010-09,0.74,0.02,0.76,,2010-09,0.3025,,2010-09,AOR,Restated
2010-06,7.926B,7.926B,5.967B,1.959B,1.11B,9.00M,91.00M,,-91.00M,,1.11B,849.00M,,91.00M,-91.00M,9.00M,-91.00M,767.00M,209.00M,558.00M,16.00M,,-8.00M,566.00M,543.45M,858.00M,,2010-06,0.72,0.02,0.74,,2010-06,0.71,0.02,0.73,,2010-06,0.3025,,2010-06,AOR,Restated
2010-03,7.776B,7.776B,5.858B,1.918B,1.111B,0.00,107.00M,9.00M,-98.00M,,1.111B,807.00M,9.00M,107.00M,-98.00M,-7.00M,-98.00M,702.00M,206.00M,496.00M,,,-7.00M,489.00M,496.77M,809.00M,,2010-03,0.63,0.00,0.63,,2010-03,0.63,0.00,0.63,,2010-03,0.3025,,2010-03,AOR,Restated
2009-12,8.072B,8.072B,6.777B,1.295B,1.173B,85.00M,109.00M,,-134.00M,,1.173B,122.00M,,109.00M,-134.00M,94.00M,-134.00M,82.00M,-24.00M,106.00M,,,-13.00M,93.00M,37.75M,191.00M,,2009-12,0.12,0.00,0.12,,2009-12,0.11,0.00,0.11,,2009-12,0.3025,,2009-12,AOR,Restated
2009-09,7.70B,7.70B,5.797B,1.903B,1.034B,29.00M,110.00M,7.00M,-103.00M,,1.034B,869.00M,7.00M,110.00M,-103.00M,32.00M,-103.00M,798.00M,179.00M,619.00M,,,-11.00M,608.00M,589.38M,908.00M,,2009-09,0.80,0.00,0.80,,2009-09,0.80,0.00,0.80,,2009-09,0.3025,,2009-09,AOR,Restated
2009-06,7.566B,7.566B,5.682B,1.884B,1.084B,-66.00M,123.00M,6.00M,-117.00M,,1.084B,800.00M,6.00M,123.00M,-117.00M,-57.00M,-117.00M,626.00M,166.00M,460.00M,,,-10.00M,450.00M,498.50M,749.00M,,2009-06,0.60,0.00,0.60,,2009-06,0.60,0.00,0.60,,2009-06,0.3025,,2009-06,AOR,Restated
2009-03,7.57B,7.57B,5.756B,1.814B,1.152B,-14.00M,117.00M,12.00M,-105.00M,,1.152B,662.00M,12.00M,117.00M,-105.00M,-14.00M,-105.00M,543.00M,144.00M,399.00M,,,-2.00M,397.00M,407.29M,660.00M,,2009-03,0.54,0.00,0.54,,2009-03,0.54,0.00,0.54,,2009-03,0.3025,,2009-03,AOR,Restated
2008-12,8.712B,8.712B,6.523B,2.189B,1.179B,-23.00M,114.00M,27.00M,-87.00M,,1.179B,1.01B,27.00M,114.00M,-87.00M,-9.00M,-87.00M,914.00M,201.00M,713.00M,,,-6.00M,707.00M,724.94M,1.028B,,2008-12,0.97,0.00,0.97,,2008-12,0.97,0.00,0.97,,2008-12,0.275,,2008-12,,Restated
2008-09,9.275B,9.275B,7.476B,1.799B,1.309B,612.00M,112.00M,21.00M,-91.00M,,1.309B,490.00M,21.00M,112.00M,-91.00M,639.00M,-91.00M,1.038B,315.00M,723.00M,,,-4.00M,719.00M,292.72M,1.15B,,2008-09,0.98,0.00,0.98,,2008-09,0.97,0.00,0.97,,2008-09,0.275,,2008-09,,Restated
2008-06,9.674B,9.674B,7.323B,2.351B,1.29B,8.00M,115.00M,29.00M,-86.00M,,1.29B,1.061B,29.00M,115.00M,-86.00M,14.00M,-86.00M,989.00M,261.00M,728.00M,,,-5.00M,723.00M,717.11M,1.104B,,2008-06,0.97,0.00,0.97,,2008-06,0.96,0.00,0.96,,2008-06,0.275,,2008-06,,Restated
2008-03,8.895B,8.895B,6.672B,2.223B,1.255B,-15.00M,115.00M,25.00M,-90.00M,,1.255B,968.00M,25.00M,115.00M,-90.00M,1.00M,-90.00M,879.00M,232.00M,647.00M,,,-4.00M,643.00M,654.04M,994.00M,,2008-03,0.87,0.00,0.87,,2008-03,0.85,0.00,0.85,,2008-03,0.275,,2008-03,,Restated
2007-12,9.275B,9.275B,7.013B,2.262B,1.205B,-23.00M,,,,,1.205B,1.057B,,,,-20.00M,,938.00M,249.00M,689.00M,,,,689.00M,705.89M,1.057B,,2007-12,0.92,0.00,0.92,,2007-12,0.91,0.00,0.91,,2007-12,0.25,,2007-12,,
2007-09,8.735B,8.735B,6.646B,2.089B,1.144B,,,,,,1.144B,945.00M,,,,5.00M,,837.00M,219.00M,618.00M,,,,618.00M,618.00M,945.00M,,2007-09,0.83,0.00,0.83,,2007-09,0.81,0.00,0.81,,2007-09,0.25,,2007-09,,
2007-06,8.538B,8.538B,6.491B,2.047B,1.127B,,,,,,1.127B,920.00M,,,,4.00M,,830.00M,219.00M,611.00M,,,,611.00M,611.00M,920.00M,,2007-06,0.79,0.00,0.79,,2007-06,0.78,0.00,0.78,,2007-06,0.25,,2007-06,,
2007-03,8.041B,8.041B,6.15B,1.891B,1.089B,-6.00M,,,,,1.089B,802.00M,,,,-8.00M,,716.00M,190.00M,526.00M,,,,526.00M,530.41M,802.00M,,2007-03,0.66,0.00,0.66,,2007-03,0.66,0.00,0.66,,2007-03,0.25,,2007-03,,
2006-12,8.276B,8.276B,6.358B,1.918B,1.085B,,,,,,1.085B,833.00M,,,,22.00M,,781.00M,196.00M,585.00M,0.00,,,585.00M,585.00M,833.00M,,2006-12,0.72,0.00,0.72,,2006-12,0.71,0.00,0.71,,2006-12,0.2269,,2006-12,,
2006-09,7.952B,7.952B,6.111B,1.841B,1.037B,-6.00M,,,,,1.037B,804.00M,,,,-10.00M,,734.00M,193.00M,541.00M,,,,541.00M,545.42M,804.00M,,2006-09,0.66,0.00,0.66,,2006-09,0.66,0.00,0.66,,2006-09,0.2269,,2006-09,,
2006-06,7.898B,7.898B,6.027B,1.871B,1.086B,-2.00M,,,,,1.086B,785.00M,,,,-1.00M,,708.00M,187.00M,521.00M,,,,521.00M,522.47M,785.00M,,2006-06,0.63,0.00,0.63,,2006-06,0.63,0.00,0.63,,2006-06,0.2269,,2006-06,,
2006-03,7.241B,7.241B,5.60B,1.641B,1.002B,8.00M,,,,,1.002B,639.00M,,,,6.00M,,575.00M,144.00M,431.00M,5.00M,,,436.00M,425.00M,639.00M,,2006-03,0.51,0.01,0.52,,2006-03,0.51,0.01,0.52,,2006-03,0.2269,,2006-03,,
2005-12,7.275B,7.276B,5.637B,1.639B,936.00M,-25.00M,,,,,936.00M,703.00M,,,,27.00M,,717.00M,212.00M,505.00M,30.00M,,,514.00M,522.61M,703.00M,,2005-12,0.61,0.03,0.61,,2005-12,0.60,0.03,0.60,,2005-12,0.2063,,2005-12,,
2005-09,6.90B,6.90B,5.302B,1.598B,982.00M,21.00M,,,,,982.00M,616.00M,,,,43.00M,,576.00M,149.00M,427.00M,37.00M,,,464.00M,411.43M,616.00M,,2005-09,0.50,0.04,0.54,,2005-09,0.50,0.04,0.54,,2005-09,0.2063,,2005-09,,
2005-06,7.028B,7.028B,5.503B,1.525B,935.00M,-15.00M,,,,,935.00M,590.00M,,,,14.00M,,518.00M,244.00M,274.00M,28.00M,,,302.00M,283.00M,590.00M,,2005-06,0.33,0.03,0.36,,2005-06,0.33,0.03,0.36,,2005-06,0.2063,,2005-06,,
2005-03,6.449B,6.449B,5.082B,1.367B,854.00M,32.00M,,,,,854.00M,513.00M,,,,63.00M,,486.00M,127.00M,358.00M,,,,358.00M,334.36M,513.00M,,2005-03,0.42,0.00,0.42,,2005-03,0.42,0.00,0.42,,2005-03,0.2063,,2005-03,,
2004-12,6.632B,6.632B,5.507B,1.125B,865.00M,-101.00M,,,,,865.00M,260.00M,,,,-67.00M,,209.00M,-9.00M,218.00M,,,,218.00M,278.60M,260.00M,,2004-12,0.26,,0.26,,2004-12,0.26,0.00,0.26,,2004-12,0.1875,,2004-12,,
2004-09,6.395B,6.395B,5.087B,1.308B,820.00M,55.00M,,,,,820.00M,488.00M,,,,79.00M,,486.00M,114.00M,372.00M,,,,372.00M,329.90M,488.00M,,2004-09,0.43,0.00,0.43,,2004-09,0.43,0.00,0.43,,2004-09,0.1875,,2004-09,,
2004-06,6.388B,6.388B,5.228B,1.16B,823.00M,251.00M,,,,,823.00M,337.00M,,,,268.00M,,523.00M,162.00M,361.00M,,,,361.00M,187.75M,337.00M,,2004-06,0.42,0.00,0.42,,2004-06,0.42,0.00,0.42,,2004-06,0.1875,,2004-06,,
2004-03,6.178B,6.178B,4.93B,1.248B,808.00M,42.00M,,,,,808.00M,440.00M,,,,49.00M,,405.00M,110.00M,295.00M,,,,295.00M,264.41M,440.00M,,2004-03,0.34,0.00,0.34,,2004-03,0.34,0.00,0.34,,2004-03,0.1875,,2004-03,,
2003-12,6.187B,6.187B,4.972B,1.215B,756.00M,-37.00M,,,,,756.00M,459.00M,,,,-10.00M,,367.00M,-40.00M,407.00M,,0.00,,407.00M,429.20M,459.00M,,2003-12,0.43,0.02,0.45,,2003-12,0.43,0.02,0.45,,2003-12,0.1875,,2003-12,,
2003-09,5.768B,5.768B,4.509B,1.259B,729.00M,-2.00M,,,,,729.00M,530.00M,,,,5.00M,,453.00M,109.00M,344.00M,,,,344.00M,345.52M,530.00M,,2003-09,0.40,0.00,0.40,,2003-09,0.40,0.00,0.40,,2003-09,0.1875,,2003-09,,
2003-06,5.749B,5.749B,4.514B,1.235B,762.00M,55.00M,,,,,762.00M,473.00M,,,,61.00M,,447.00M,128.00M,319.00M,,,,319.00M,279.75M,473.00M,,2003-06,0.37,0.00,0.37,,2003-06,0.37,0.00,0.37,,2003-06,0.1875,,2003-06,,
2003-03,5.399B,5.399B,4.24B,1.159B,703.00M,3.00M,,,,,703.00M,456.00M,,,,1.00M,,373.00M,99.00M,274.00M,,-20.00M,,254.00M,271.80M,456.00M,,2003-03,0.32,-0.02,0.30,,2003-03,0.32,-0.02,0.30,,2003-03,0.1875,,2003-03,,
2002-12,5.855B,5.855B,4.832B,1.023B,782.00M,-2.59B,,,,,782.00M,241.00M,,,,-2.565B,,-2.347B,-880.00M,-1.467B,,,,-1.467B,151.89M,241.00M,,2002-12,-1.777,,-1.777,,2002-12,-1.83,0.00,-1.83,,2002-12,0.1875,,2002-12,,
2002-09,5.569B,5.569B,4.236B,1.333B,698.00M,4.00M,,,,,698.00M,635.00M,,,,11.00M,,560.00M,148.00M,412.00M,,,,412.00M,409.06M,635.00M,,2002-09,0.50,0.00,0.50,,2002-09,0.50,0.00,0.50,,2002-09,0.1875,,2002-09,,
2002-06,5.651B,5.651B,4.431B,1.22B,660.00M,-160.00M,,,,,660.00M,560.00M,,,,-157.00M,,315.00M,-144.00M,459.00M,,,,459.00M,555.00M,560.00M,,2002-06,0.56,0.00,0.56,,2002-06,0.56,0.00,0.56,,2002-06,0.1875,,2002-06,,
2002-03,5.199B,5.199B,4.116B,1.083B,617.00M,141.00M,,,,,617.00M,466.00M,,,,148.00M,,527.00M,151.00M,376.00M,,,,376.00M,275.40M,466.00M,,2002-03,0.46,0.00,0.46,,2002-03,0.46,0.00,0.46,,2002-03,0.1875,,2002-03,,
2001-12,5.853B,5.853B,5.021B,832.00M,656.00M,-27.00M,,,,,656.00M,176.00M,,,,-15.00M,,95.00M,-23.00M,118.00M,,,,118.00M,134.20M,176.00M,,2001-12,0.15,0.00,0.15,,2001-12,0.15,0.00,0.15,,2001-12,0.1875,,2001-12,,
2001-09,5.789B,5.789B,5.368B,421.00M,803.00M,,,,,,803.00M,-382.00M,,,,-17.00M,,-498.00M,-190.00M,-308.00M,,,,-308.00M,-308.00M,-382.00M,,2001-09,-0.38,0.00,-0.38,,2001-09,-0.38,0.00,-0.38,,2001-09,0.1875,,2001-09,,
