,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,2.785B,2.785B,2.237B,548.00M,112.00M,,-30.00M,73.00M,-74.00M,,292.00M,256.00M,73.00M,-74.00M,-30.00M,-74.00M,152.00M,34.00M,125.00M,,,0.00,,125.00M,148.28M,405.00M,180.00M,225.00M,0.36,,,,0.4265,0.36,0.35,,,,0.4151,0.35,350.22M,357.55M,0.1
2017-12,2.747B,2.747B,2.134B,613.00M,116.00M,,32.00M,69.00M,-71.00M,,306.00M,307.00M,69.00M,-71.00M,32.00M,-71.00M,268.00M,117.00M,159.00M,,,0.00,,159.00M,139.80M,527.00M,190.00M,337.00M,0.53,,,,0.4751,0.53,0.52,,,,0.4655,0.52,349.63M,352.46M,0.1
2017-09,2.908B,2.908B,2.338B,570.00M,127.00M,,-157.00M,74.00M,-74.00M,,289.00M,281.00M,74.00M,-74.00M,-157.00M,-74.00M,50.00M,4.00M,51.00M,,,-3.00M,,48.00M,192.44M,286.00M,162.00M,124.00M,0.14,,,,0.5523,0.14,0.13,,,,0.5328,0.13,350.33M,358.56M,0.1
2017-06,2.855B,2.855B,2.27B,585.00M,128.00M,,-41.00M,74.00M,-75.00M,,357.00M,228.00M,74.00M,-75.00M,-41.00M,-75.00M,112.00M,22.00M,100.00M,,,-1.00M,,99.00M,131.96M,415.00M,229.00M,186.00M,0.28,,,,0.3739,0.28,0.28,,,,0.3718,0.28,351.07M,358.98M,0.1
2017-03,2.473B,2.473B,1.975B,498.00M,143.00M,,-55.00M,68.00M,-68.00M,,291.00M,207.00M,68.00M,-68.00M,-55.00M,-68.00M,84.00M,22.00M,70.00M,,,-2.00M,,68.00M,108.59M,300.00M,148.00M,152.00M,0.19,,,,0.306,0.19,0.19,,,,0.3034,0.19,350.05M,357.93M,0.065
2016-12,2.524B,2.524B,2.008B,516.00M,164.00M,,-35.00M,70.00M,-71.00M,,318.00M,198.00M,70.00M,-71.00M,-35.00M,-71.00M,92.00M,48.00M,53.00M,,,0.00,,53.00M,74.00M,316.00M,154.00M,162.00M,0.04,,,,0.1002,0.04,0.04,,,,0.0992,0.04,348.90M,355.01M,0.065
2016-09,2.752B,2.752B,2.275B,477.00M,135.00M,,-63.00M,80.00M,-82.00M,,282.00M,195.00M,80.00M,-82.00M,-63.00M,-82.00M,50.00M,23.00M,34.00M,,,-3.00M,,31.00M,68.80M,277.00M,146.00M,130.00M,0.09,,,,0.1983,0.09,0.09,,,,0.1964,0.09,349.13M,355.40M,0.065
2016-06,2.03B,2.03B,1.596B,434.00M,105.00M,,28.00M,41.00M,-87.00M,,183.00M,251.00M,41.00M,-87.00M,28.00M,-87.00M,192.00M,-114.00M,307.00M,,,,,307.00M,290.20M,311.00M,78.00M,233.00M,1.08,,,,1.021,1.08,1.06,,,,1.002,1.06,284.08M,290.45M,0.065
2016-03,1.756B,1.756B,1.416B,340.00M,108.00M,,-267.00M,38.00M,-99.00M,,183.00M,157.00M,38.00M,-99.00M,-267.00M,-99.00M,-209.00M,-83.00M,-127.00M,,,,,-127.00M,34.00M,-96.00M,75.00M,-171.00M,-0.45,,,,0.1177,-0.45,-0.45,,,,0.1177,-0.45,283.59M,283.59M,0.065
2015-12,1.805B,1.805B,1.434B,371.00M,110.00M,,-57.00M,36.00M,-67.00M,,184.00M,187.00M,36.00M,-67.00M,-57.00M,-67.00M,63.00M,-1.00M,65.00M,,,-10.00M,,55.00M,89.20M,173.00M,74.00M,99.00M,0.2,,,,0.3248,0.2,0.195,,,,0.3167,0.195,273.95M,281.03M,0.065
2015-09,2.097B,2.097B,1.69B,407.00M,107.00M,,-152.00M,38.00M,-59.00M,,179.00M,228.00M,38.00M,-59.00M,-152.00M,-59.00M,17.00M,-31.00M,50.00M,,,-5.00M,,45.00M,136.20M,128.00M,73.00M,55.00M,0.16,,,,0.492,0.16,0.16,,,,0.4837,0.16,274.67M,281.72M,0.065
2015-06,2.172B,2.172B,1.775B,397.00M,118.00M,,66.00M,31.00M,-36.00M,,189.00M,208.00M,31.00M,-36.00M,66.00M,-36.00M,238.00M,79.00M,160.00M,,,,,160.00M,115.78M,340.00M,71.00M,269.00M,0.58,,,,0.4196,0.58,0.565,,,,0.4088,0.565,275.60M,283.08M,0.065
2015-03,1.923B,1.923B,1.561B,362.00M,116.00M,,-52.00M,38.00M,-98.00M,,184.00M,178.00M,38.00M,-98.00M,-52.00M,-98.00M,28.00M,1.00M,28.00M,,,-7.00M,,21.00M,72.06M,134.00M,68.00M,66.00M,0.075,,,,0.2612,0.075,0.075,,,,0.256,0.075,274.17M,282.15M,0.065
2014-12,2.032B,2.032B,1.636B,396.00M,123.80M,,-63.20M,39.10M,-39.00M,,195.10M,200.90M,39.10M,-39.00M,-63.20M,-39.00M,98.70M,10.40M,88.40M,,,-12.40M,,76.00M,132.54M,209.10M,71.30M,137.80M,0.28,0.0,,,0.4869,0.28,0.27,0.0,,,0.4708,0.27,273.27M,281.52M,0.065
2014-09,2.239B,2.239B,1.807B,431.60M,123.10M,,-9.20M,40.10M,-40.10M,,194.40M,237.20M,40.10M,-40.10M,-9.20M,-40.10M,187.90M,39.80M,148.40M,,,-1.00M,,147.40M,154.65M,299.30M,71.30M,228.00M,0.535,,,,0.5613,0.535,0.52,,,,0.5455,0.52,276.02M,284.18M,0.065
2014-06,2.292B,2.292B,1.846B,445.50M,111.40M,,-8.60M,40.60M,-40.60M,,181.00M,264.50M,40.60M,-40.60M,-8.60M,-40.60M,215.30M,60.20M,156.30M,,,-3.20M,,153.10M,159.30M,325.50M,69.60M,255.90M,0.55,,,,0.5723,0.55,0.535,,,,0.5567,0.535,278.02M,285.72M,0.065
2014-03,2.007B,2.007B,1.613B,393.90M,107.70M,,0.00,40.20M,-73.30M,,176.50M,217.40M,40.20M,-73.30M,,-73.30M,144.10M,39.60M,104.90M,,,-11.40M,,93.50M,93.50M,253.10M,68.80M,184.30M,0.335,,,,0.335,0.335,0.325,,,,0.325,0.325,280.81M,288.12M,0.065
2013-12,1.997B,1.997B,1.586B,410.70M,107.40M,,10.30M,45.80M,-45.80M,,183.70M,227.00M,45.80M,-45.80M,10.30M,-45.80M,191.50M,56.60M,134.60M,0.00,,-10.10M,,124.50M,117.24M,313.60M,76.30M,237.30M,0.435,0.0,,,0.4096,0.435,0.425,0.0,,,0.4002,0.425,286.08M,293.05M,0.065
2013-09,2.278B,2.278B,1.847B,431.00M,99.00M,,-43.80M,45.50M,-46.80M,,175.60M,255.40M,45.50M,-46.80M,-43.80M,-46.80M,164.80M,44.10M,121.60M,0.30M,,-6.70M,,115.20M,146.98M,286.90M,76.60M,210.30M,0.4,0.0,,,0.5108,0.4,0.39,0.0,,,0.4985,0.39,289.43M,295.79M,0.065
2013-06,2.202B,2.202B,1.799B,403.50M,102.90M,,-22.60M,47.70M,-74.40M,,177.40M,226.10M,47.70M,-74.40M,-22.60M,-74.40M,129.10M,30.80M,99.10M,0.00,,-4.00M,,95.10M,112.31M,251.30M,74.50M,176.80M,0.325,0.0,,,0.3835,0.325,0.315,0.0,,,0.3722,0.315,294.18M,300.61M,0.065
2013-03,1.991B,1.991B,1.644B,347.50M,109.30M,,-22.70M,44.80M,-44.80M,,181.80M,165.70M,44.80M,-44.80M,-22.70M,-44.80M,98.20M,18.10M,79.30M,0.10M,,-7.40M,,72.00M,90.42M,215.50M,72.50M,143.00M,0.24,0.0,,,0.3022,0.24,0.235,0.0,,,0.2958,0.235,297.95M,304.63M,0.065
2012-12,2.114B,2.114B,1.729B,384.80M,101.00M,,-58.80M,45.60M,-45.60M,,173.70M,211.10M,45.60M,-45.60M,-58.80M,-45.60M,106.70M,42.50M,63.90M,0.10M,,-10.60M,,53.40M,88.68M,225.00M,72.70M,152.30M,0.2,0.0,,,0.3164,0.2,0.195,0.0,,,0.3088,0.195,303.82M,310.89M,0.05
2012-09,2.282B,2.282B,1.866B,416.40M,86.30M,,-36.80M,44.20M,-44.20M,,161.00M,255.40M,44.20M,-44.20M,-36.80M,-44.20M,174.40M,51.70M,121.90M,-2.20M,,-4.60M,,115.10M,143.19M,293.30M,74.70M,218.60M,0.38,-0.005,,,0.4643,0.375,0.37,-0.005,,,0.4524,0.365,307.21M,314.22M,0.05
2012-06,2.296B,2.296B,1.891B,405.50M,98.60M,,-2.80M,44.70M,-44.70M,,165.10M,240.40M,44.70M,-44.70M,-2.80M,-44.70M,192.90M,50.00M,142.90M,-0.40M,,-3.00M,,139.50M,141.97M,304.10M,66.50M,237.60M,0.45,0.0,,,0.4567,0.45,0.44,0.0,,,0.4465,0.44,311.05M,317.96M,0.05
2012-03,2.043B,2.043B,1.688B,355.00M,99.60M,,-4.40M,45.30M,-60.40M,,168.60M,186.40M,45.30M,-60.40M,-4.40M,-60.40M,121.60M,28.00M,93.40M,-0.30M,,-4.80M,,88.30M,91.99M,235.90M,69.00M,166.90M,0.28,0.0,,,0.2908,0.28,0.275,0.0,,,0.2855,0.275,315.06M,321.89M,0.05
2011-12,2.052B,2.052B,1.703B,348.90M,79.50M,,-30.30M,42.40M,-42.40M,,158.40M,190.50M,42.40M,-42.40M,,-42.40M,117.80M,41.10M,84.90M,0.60M,,-8.00M,,77.50M,96.63M,239.10M,78.90M,160.20M,0.24,0.0,,,0.3014,0.24,0.235,0.0,,,0.2953,0.235,321.53M,327.23M,0.035
2011-09,2.258B,2.258B,1.862B,396.10M,93.00M,,0.00,43.00M,-43.00M,,167.50M,228.60M,43.00M,-43.00M,,-43.00M,185.60M,47.60M,138.80M,-1.30M,,-5.40M,,132.10M,133.40M,303.10M,74.50M,228.60M,0.41,-0.005,,,0.41,0.405,0.4,-0.005,,,0.4,0.395,327.80M,334.73M,0.035
2011-06,2.310B,2.310B,1.886B,424.20M,96.00M,,,45.20M,-45.20M,,170.10M,254.10M,45.20M,-45.20M,,-45.20M,208.90M,64.60M,145.40M,-0.30M,,-2.00M,,143.10M,143.40M,328.20M,74.10M,254.10M,0.43,0.0,,,0.43,0.43,0.42,0.0,,,0.42,0.42,334.39M,341.37M,0.035
2011-03,2.011B,2.011B,1.631B,380.50M,112.90M,,0.00,46.50M,-46.50M,,186.50M,194.00M,46.50M,-46.50M,,-46.50M,147.50M,48.00M,99.50M,-1.30M,,-6.90M,,91.30M,92.60M,267.60M,73.60M,194.00M,0.275,-0.005,,,0.275,0.27,0.27,-0.005,,,0.27,0.265,338.38M,345.84M,0.035
2010-12,1.995B,1.995B,1.639B,355.80M,106.90M,,19.10M,42.70M,-51.50M,,190.00M,165.80M,42.70M,-51.50M,19.10M,-51.50M,133.40M,33.60M,99.30M,-1.50M,,-5.60M,,92.20M,79.41M,249.40M,73.30M,176.10M,0.275,-0.005,,,0.2338,0.27,0.27,-0.005,,,0.2296,0.265,347.09M,353.54M,0.025
2010-09,2.035B,2.035B,1.653B,381.60M,93.00M,,0.00,36.20M,-36.20M,-11.60M,148.50M,233.10M,36.20M,-36.20M,,-36.20M,196.90M,60.50M,222.20M,5.30M,,0.00,,227.50M,222.20M,300.20M,67.10M,233.10M,0.62,0.015,,,0.62,0.635,0.61,0.015,,,0.61,0.625,358.53M,364.32M,0.025
2010-06,2.008B,2.008B,1.643B,364.40M,79.90M,,-8.10M,36.60M,-36.60M,,142.30M,222.10M,36.60M,-36.60M,-8.10M,-36.60M,177.40M,60.80M,144.60M,-75.60M,,0.00,,69.00M,149.92M,276.40M,62.40M,214.00M,0.39,-0.205,,,0.4045,0.185,0.385,-0.205,,,0.3992,0.185,368.40M,373.84M,0.025
2010-03,1.592B,1.592B,1.318B,274.10M,79.30M,,,33.90M,-33.90M,-0.50M,141.50M,132.60M,33.90M,-33.90M,,-33.90M,98.70M,20.90M,82.50M,-3.10M,,-0.10M,,79.30M,82.40M,195.30M,62.70M,132.60M,0.22,-0.01,,,0.22,0.21,0.22,-0.01,,,0.22,0.21,372.21M,377.75M,0.025
2009-12,1.728B,1.728B,1.436B,291.70M,83.90M,,35.70M,37.80M,-37.80M,,187.50M,104.20M,37.80M,-37.80M,27.70M,-37.80M,102.10M,28.10M,79.80M,1.70M,,-0.10M,,81.40M,53.83M,208.70M,68.80M,139.90M,0.2125,0.005,,,0.1436,0.2175,0.2075,0.005,,,0.1395,0.2125,375.42M,380.42M,0.025
2009-09,1.812B,1.812B,1.472B,340.70M,83.20M,,-10.10M,28.90M,-28.90M,,143.10M,197.60M,28.90M,-28.90M,-4.60M,-28.90M,158.60M,55.10M,109.00M,-5.20M,,-0.10M,,103.70M,115.49M,247.40M,59.90M,187.50M,0.29,-0.015,,,0.3075,0.275,0.285,-0.015,,,0.3023,0.2725,375.90M,381.40M,0.025
2009-06,1.745B,1.745B,1.436B,308.50M,72.90M,,-7.20M,24.70M,-24.70M,-34.80M,96.70M,211.80M,24.70M,-24.70M,-2.00M,-24.70M,179.90M,50.00M,135.10M,-1.60M,,-0.20M,,133.30M,140.10M,263.20M,47.70M,204.60M,0.355,0.0,,,0.3689,0.355,0.35,0.0,,,0.3637,0.35,375.05M,379.92M,0.025
2009-03,1.586B,1.586B,1.312B,273.10M,75.20M,,-5.00M,25.80M,-25.80M,,141.90M,131.20M,25.80M,-25.80M,-7.70M,-25.80M,100.40M,28.10M,69.60M,,,-0.10M,,69.50M,73.10M,192.90M,66.70M,126.20M,0.185,0.0,,,0.1946,0.185,0.1825,0.0,,,0.192,0.1825,374.18M,378.69M,0.025
2008-12,1.733B,1.733B,1.484B,248.50M,60.60M,,-31.50M,33.70M,-33.70M,0.00,133.30M,115.20M,33.70M,-33.70M,-28.60M,-33.70M,50.00M,19.00M,33.90M,,,-0.10M,,33.80M,53.33M,156.40M,72.70M,83.70M,0.095,0.0,,,0.147,0.095,0.095,0.0,,,0.1466,0.095,375.82M,378.75M,0.025
2008-09,2.008B,2.008B,1.680B,328.30M,67.50M,,-9.10M,33.10M,-33.10M,,141.40M,186.90M,33.10M,-33.10M,-6.00M,-33.10M,144.70M,45.80M,102.00M,,,-0.10M,,101.90M,108.12M,251.70M,73.90M,177.80M,0.2675,0.0,,,0.2838,0.2675,0.2625,0.0,,,0.2786,0.2625,381.47M,386.42M,0.025
2008-06,2.080B,2.080B,1.738B,341.80M,78.50M,,-11.50M,34.70M,-34.70M,,154.70M,187.10M,34.70M,-34.70M,-6.90M,-34.70M,140.90M,45.40M,100.10M,,,-0.10M,,100.00M,107.79M,251.80M,76.20M,175.60M,0.2575,0.0,,,0.2776,0.2575,0.255,0.0,,,0.2748,0.255,387.64M,393.84M,0.025
2008-03,1.740B,1.740B,1.438B,302.50M,81.60M,,0.00,36.20M,-36.20M,-7.10M,149.10M,153.40M,36.20M,-36.20M,3.90M,-36.20M,117.20M,37.20M,83.90M,,,-0.10M,,83.80M,83.80M,228.00M,74.60M,153.40M,0.215,0.0,,,0.215,0.215,0.2125,0.0,,,0.2125,0.2125,388.80M,394.36M,0.025
2007-12,1.756B,1.756B,1.490B,266.10M,69.90M,,,,,,144.20M,121.90M,,,-41.50M,,40.10M,9.80M,33.30M,,,-0.10M,,33.30M,33.30M,196.20M,74.30M,121.90M,0.085,0.0,,,0.085,0.085,0.085,0.0,,,0.085,0.085,398.68M,403.70M,0.025
2007-09,1.906B,1.906B,1.660B,247.00M,84.30M,,,,,,156.10M,90.90M,,,3.20M,,54.70M,-3.10M,60.90M,,,-0.10M,,60.90M,60.90M,162.70M,71.80M,90.90M,0.15,0.0,,,0.15,0.15,0.1475,0.0,,,0.1475,0.1475,405.69M,411.99M,0.025
2007-06,2.033B,2.033B,1.683B,350.20M,87.30M,,,,,,157.20M,193.00M,,,3.40M,,154.90M,52.30M,105.90M,,,-0.10M,,105.90M,105.90M,262.90M,69.90M,193.00M,0.26,0.0,,,0.26,0.26,0.2575,0.0,,,0.2575,0.2575,406.17M,412.66M,0.025
2007-03,1.694B,1.694B,1.394B,299.90M,82.20M,,,,,,147.20M,152.70M,,,3.20M,,152.70M,36.70M,81.20M,,,-0.10M,,81.20M,81.20M,217.70M,65.00M,152.70M,0.1975,0.0,,,0.1975,0.1975,0.195,0.0,,,0.195,0.195,408.44M,415.26M,0.025
2006-12,1.592B,1.592B,1.312B,279.60M,76.90M,,-35.20M,,,,145.50M,134.10M,,,-32.20M,,62.60M,17.40M,48.30M,,,0.10M,,48.30M,73.72M,202.70M,68.60M,134.10M,0.1175,0.0,,,0.1791,0.1175,0.115,0.0,,,0.1758,0.115,412.64M,417.73M,0.025
2006-09,1.822B,1.822B,1.517B,305.60M,66.50M,,2.80M,,,,131.00M,174.60M,,,6.40M,,140.20M,36.60M,107.10M,,,-0.10M,,107.10M,105.03M,239.10M,64.50M,174.60M,0.26,0.0,,,0.255,0.26,0.255,0.0,,,0.2501,0.255,413.17M,419.60M,0.025
2006-06,1.842B,1.842B,1.555B,287.70M,73.50M,,74.50M,,,,138.40M,149.30M,,,79.40M,,186.20M,61.10M,129.80M,,,-0.20M,,129.80M,79.75M,214.20M,64.90M,149.30M,0.3125,0.0,,,0.1918,0.3125,0.3075,0.0,,,0.1886,0.3075,414.62M,420.82M,0.025
2006-03,1.365B,1.365B,1.157B,208.20M,70.30M,,-2.10M,,,,124.90M,83.30M,,,1.10M,,81.20M,16.50M,44.40M,,,-0.20M,,44.40M,46.07M,137.90M,54.60M,83.30M,0.1075,0.0,,,0.1116,0.1075,0.105,0.0,,,0.109,0.105,412.98M,420.21M,0.025
2005-12,1.291B,1.291B,1.074B,217.10M,62.20M,,-11.10M,,,,114.90M,102.20M,,,-7.40M,,68.50M,16.90M,55.20M,,,-0.10M,,55.20M,63.56M,154.90M,52.70M,102.20M,0.135,0.0,,,0.1553,0.135,0.1325,0.0,,,0.1525,0.1325,412.52M,419.09M,0.025
2005-09,1.584B,1.584B,1.329B,254.80M,52.60M,,-20.60M,,,,107.00M,147.80M,,,-17.30M,,102.80M,26.60M,79.30M,,,-0.20M,,79.30M,94.57M,202.20M,54.40M,147.80M,0.185,0.0,,,0.2208,0.185,0.1825,0.0,,,0.2177,0.1825,426.78M,434.32M,0.025
2005-06,1.552B,1.552B,1.300B,251.80M,58.50M,,-8.80M,,,-1.184B,-1.072B,1.324B,,,-3.80M,,107.20M,32.90M,79.00M,,,-0.30M,,79.00M,85.10M,1.377B,53.00M,1.324B,0.18,0.0,,,0.1939,0.18,0.1775,0.0,,,0.1912,0.1775,438.10M,445.93M,0.025
2005-03,1.324B,1.324B,1.097B,227.30M,63.00M,,,,,,116.40M,110.90M,,,3.50M,,85.10M,29.80M,58.60M,,,-0.20M,,58.60M,58.60M,164.30M,53.40M,110.90M,0.13,0.0,,,0.13,0.13,0.1275,0.0,,,0.1275,0.1275,446.51M,456.14M,0.025
2004-12,1.263B,1.263B,1.020B,243.30M,67.00M,,8.50M,,,,119.40M,123.90M,,,-1.30M,,107.70M,34.80M,62.90M,,,-0.20M,,62.90M,57.15M,176.30M,52.40M,123.90M,0.1425,0.0,,,0.1295,0.1425,0.1375,0.0,,,0.1248,0.1375,442.65M,454.73M,0.025
2004-09,1.479B,1.479B,1.196B,282.30M,63.00M,,6.70M,,,,119.70M,162.60M,,,11.40M,,143.60M,46.30M,101.70M,,,-0.30M,,101.70M,97.16M,219.30M,56.70M,162.60M,0.23,0.0,,,0.2197,0.23,0.225,0.0,,,0.215,0.225,442.48M,454.15M,0.025
2004-06,1.467B,1.467B,1.194B,273.70M,67.70M,,,,,,119.90M,153.80M,,,2.90M,,128.80M,40.80M,90.70M,,,-0.20M,,90.70M,90.70M,206.00M,52.20M,153.80M,0.1025,0.0,,,0.1025,0.1025,0.1,0.0,,,0.1,0.1,885.89M,909.60M,0.0188
2004-03,1.232B,1.232B,1.012B,219.00M,71.10M,,,,,,124.90M,94.10M,,,2.80M,,68.30M,21.50M,46.80M,,,-0.30M,,46.80M,46.80M,147.90M,53.80M,94.10M,0.0525,0.0,,,0.0525,0.0525,0.0512,0.0,,,0.0512,0.0512,890.78M,912.48M,0.0188
2003-12,1.194B,1.194B,989.80M,203.70M,48.70M,,1.60M,,,,99.20M,104.50M,,,6.20M,,72.80M,21.80M,55.30M,,,-0.30M,,55.30M,54.18M,158.70M,54.20M,104.50M,0.125,0.0,,,0.1225,0.125,0.1212,0.0,,,0.1188,0.1212,444.37M,454.62M,0.0188
2003-09,1.359B,1.359B,1.107B,251.90M,62.20M,,-11.70M,,,,112.10M,139.80M,,,-10.80M,,97.20M,29.10M,68.80M,,,-0.20M,,68.80M,77.00M,189.70M,49.90M,139.80M,0.155,0.0,,,0.1734,0.155,0.1512,0.0,,,0.1693,0.1512,445.31M,454.63M,0.0188
2003-06,1.353B,1.353B,1.106B,247.20M,57.50M,,,,,,109.00M,138.20M,,,3.20M,,107.80M,33.50M,74.30M,,,-0.20M,,74.30M,74.30M,189.70M,51.50M,138.20M,0.1662,0.0,,,0.1662,0.1662,0.1625,0.0,,,0.1625,0.1625,448.51M,458.45M,0.0112
2003-03,1.071B,1.071B,889.50M,181.40M,53.20M,,-1.40M,,,1.40M,104.50M,76.90M,,,1.20M,,44.90M,15.70M,31.50M,,,-0.30M,,31.50M,32.41M,126.80M,49.90M,76.90M,0.035,0.0,,,0.036,0.035,0.0344,0.0,,,0.0354,0.0344,898.61M,918.80M,0.0112
2002-12,910.20M,910.20M,755.00M,155.20M,46.10M,,,,,,88.70M,66.50M,,,1.20M,,46.00M,17.60M,31.90M,,,-0.10M,,28.70M,31.90M,106.70M,40.20M,66.50M,0.0712,-0.0075,,,0.0712,0.0638,0.07,-0.0075,,,0.07,0.0625,450.40M,459.72M,0.0112
2002-09,1.039B,1.039B,866.80M,171.80M,42.20M,,,,,,78.40M,93.40M,,,2.10M,,74.60M,26.10M,50.00M,,,-0.60M,,50.00M,50.00M,129.60M,36.20M,93.40M,0.1112,0.0,,,0.1112,0.1112,0.1088,0.0,,,0.1088,0.1088,449.44M,459.77M,0.0112
2002-06,1.034B,1.034B,862.90M,171.30M,39.30M,,-1.00M,,,,76.40M,94.90M,,,0.80M,,76.20M,26.30M,49.90M,,,-0.60M,,49.90M,50.55M,132.00M,37.10M,94.90M,0.1112,0.0,,,0.1127,0.1112,0.1088,0.0,,,0.1102,0.1088,448.54M,458.85M,0.0112
