,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported
2012-09,1.341B,,,,422.00M,422.00M,18.00M,,54.00M,-162.00M,144.00M,-113.00M,-36.00M,-43.00M,,,-48.00M,19.00M,1.644B,,2012-09,,,-150.00M,-15.72B,-25.00M,10.49B,-6.068B,,2012-09,4.927B,4.941B,,0.00,0.00,-463.00M,-463.00M,322.00M,-191.00M,4.609B,,2012-09,185.00M,62.00M,6.297B,,,4.523B,418.00M,0.00,,2012-09,AOR
2012-06,1.558B,,,,307.00M,307.00M,-148.00M,,49.00M,-151.00M,-214.00M,-328.00M,675.00M,-45.00M,,,88.00M,24.00M,1.727B,,2012-06,,,-1.244B,95.00M,10.00M,-10.78B,-12.17B,,2012-06,-14.00M,10.83B,,0.00,0.00,-413.00M,-413.00M,18.00M,-224.00M,10.22B,,2012-06,-225.00M,-87.00M,6.05B,,,10.78B,49.00M,0.00,,2012-06,AOR
2012-03,1.264B,,,,318.00M,318.00M,159.00M,,47.00M,-276.00M,476.00M,-721.00M,69.00M,-13.00M,,,-189.00M,-21.00M,1.302B,,2012-03,,,0.00,-20.00M,16.00M,81.00M,-111.00M,,2012-03,-404.00M,-467.00M,,0.00,0.00,-412.00M,-412.00M,120.00M,-78.00M,-839.00M,,2012-03,352.00M,50.00M,6.362B,,,,-467.00M,0.00,,2012-03,AOR
2011-12,1.375B,,246.00M,246.00M,301.00M,301.00M,-3.00M,,42.00M,-312.00M,-155.00M,550.00M,-140.00M,6.00M,,,261.00M,102.00M,2.012B,,2011-12,,,0.00,-16.00M,,-59.00M,-409.00M,,2011-12,-568.00M,-1.075B,-196.00M,0.00,-196.00M,-410.00M,-410.00M,,-138.00M,-1.595B,,2011-12,8.00M,-14.00M,5.96B,,-196.00M,671.00M,-616.00M,0.00,,2011-12,AOR
2011-09,1.384B,,-176.00M,-176.00M,324.00M,324.00M,48.00M,,55.00M,33.00M,40.00M,-98.00M,303.00M,-6.00M,,,239.00M,52.00M,1.959B,,2011-09,,,0.00,192.00M,,21.00M,9.00M,,2011-09,-32.00M,-22.00M,28.00M,-675.00M,-647.00M,-411.00M,-411.00M,,-211.00M,-1.301B,,2011-09,667.00M,-97.00M,5.966B,,28.00M,-50.00M,60.00M,-675.00M,,2011-09,AOR
2011-06,1.403B,,-41.00M,-41.00M,322.00M,322.00M,167.00M,,74.00M,-83.00M,-541.00M,35.00M,-59.00M,46.00M,,,-519.00M,-65.00M,1.258B,,2011-06,,,0.00,18.00M,,82.00M,-106.00M,,2011-06,936.00M,909.00M,79.00M,-773.00M,-694.00M,-413.00M,-413.00M,,-30.00M,-230.00M,,2011-06,922.00M,34.00M,5.396B,,79.00M,,-27.00M,-773.00M,,2011-06,AOR
2011-03,1.054B,,-29.00M,-29.00M,316.00M,316.00M,122.00M,,50.00M,79.00M,-41.00M,-817.00M,656.00M,-70.00M,,,-272.00M,41.00M,1.361B,,2011-03,,,,-57.00M,,26.00M,-201.00M,,2011-03,226.00M,193.00M,89.00M,-727.00M,-638.00M,-368.00M,-368.00M,,-58.00M,-879.00M,,2011-03,281.00M,76.00M,4.44B,,89.00M,,-33.00M,-727.00M,,2011-03,AOR
2010-12,1.065B,,699.00M,699.00M,292.00M,292.00M,548.00M,,36.00M,-1.695B,-144.00M,673.00M,-10.00M,26.00M,,,545.00M,,1.676B,,2010-12,,,,-186.00M,,138.00M,-501.00M,,2010-12,-2.023B,-2.022B,-211.00M,-556.00M,-767.00M,-368.00M,-368.00M,,-61.00M,-2.845B,,2010-12,-1.67B,22.00M,4.083B,,-211.00M,480.00M,,-556.00M,,2010-12,AOR
2010-09,1.299B,,-438.00M,-438.00M,342.00M,342.00M,-251.00M,,24.00M,272.00M,383.00M,-279.00M,344.00M,-20.00M,,,428.00M,,1.676B,,2010-09,,,,-115.00M,,-35.00M,-327.00M,,2010-09,708.00M,212.00M,49.00M,-494.00M,-445.00M,-370.00M,-370.00M,,-110.00M,-713.00M,,2010-09,636.00M,98.00M,5.731B,,49.00M,708.00M,,-494.00M,,2010-09,AOR
2010-06,1.212B,,-219.00M,-219.00M,339.00M,339.00M,69.00M,,43.00M,159.00M,-405.00M,-142.00M,312.00M,32.00M,,,-203.00M,,1.40B,,2010-06,,,,-169.00M,,89.00M,-235.00M,,2010-06,1.214B,108.00M,63.00M,-650.00M,-587.00M,-371.00M,-371.00M,,-63.00M,-913.00M,,2010-06,252.00M,-43.00M,4.997B,,63.00M,1.174B,,-650.00M,,2010-06,AOR
