,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2011-03,12.68B,12.68B,9.164B,3.516B,1.456B,470.00M,98.00M,165.00M,17.00M,-148.00M,,1.926B,1.59B,17.00M,165.00M,-148.00M,98.00M,-148.00M,1.54B,486.00M,1.054B,47.00M,-89.00M,,1.012B,316.00M,1.705B,,2011-03,1.08,1.13,,2011-03,1.06,0.05,,2011-03,898.70M,,2011-03,AOR,Restated
2010-12,12.81B,12.81B,9.54B,3.273B,1.405B,367.00M,,191.00M,22.00M,-169.00M,2.00M,1.774B,1.499B,22.00M,191.00M,-169.00M,,-169.00M,1.396B,331.00M,1.065B,,-54.00M,,1.199B,292.00M,1.587B,,2010-12,1.13,1.33,,2010-12,1.12,0.19,,2010-12,901.90M,,2010-12,AOR,Restated
2010-09,13.62B,13.62B,9.667B,3.953B,1.478B,433.00M,,182.00M,21.00M,-161.00M,-114.00M,1.797B,2.156B,21.00M,182.00M,-161.00M,,-161.00M,1.767B,468.00M,1.299B,,-101.00M,,1.198B,342.00M,1.949B,,2010-09,1.32,1.32,,2010-09,1.30,0.00,,2010-09,905.60M,,2010-09,AOR,Restated
2010-06,13.80B,13.80B,10.02B,3.787B,1.491B,459.00M,,149.00M,,-149.00M,-45.00M,1.905B,1.882B,,149.00M,-149.00M,,-149.00M,1.733B,521.00M,1.212B,,-102.00M,,1.11B,339.00M,1.882B,,2010-06,1.22,1.22,,2010-06,1.20,0.00,,2010-06,910.40M,,2010-06,AOR,Restated
2010-03,12.04B,12.04B,8.732B,3.308B,1.424B,397.00M,,186.00M,15.00M,-171.00M,-36.00M,1.785B,1.523B,15.00M,186.00M,-171.00M,,-171.00M,1.352B,405.00M,947.00M,,-81.00M,,866.00M,327.00M,1.538B,,2010-03,0.95,0.95,,2010-03,0.93,0.00,,2010-03,913.60M,,2010-03,AOR,Restated
2009-12,13.98B,13.60B,10.32B,3.288B,1.555B,421.00M,,183.00M,,-95.00M,,1.569B,1.719B,,183.00M,-95.00M,,-95.00M,1.624B,455.00M,1.169B,,-96.00M,,1.073B,333.00M,1.807B,,2009-12,1.17,1.17,,2009-12,1.15,0.00,,2009-12,915.60M,,2009-12,AOR,Restated
2009-09,13.19B,13.38B,9.836B,3.539B,1.424B,344.00M,,170.00M,,-170.00M,,1.768B,1.771B,,170.00M,-170.00M,,-170.00M,1.601B,456.00M,1.145B,,-87.00M,,1.058B,316.00M,1.771B,,2009-09,1.15,1.15,,2009-09,1.14,0.00,,2009-09,917.00M,,2009-09,AOR,Restated
2009-06,13.06B,13.20B,9.601B,3.595B,1.574B,384.00M,,177.00M,,-177.00M,,1.958B,1.637B,,177.00M,-177.00M,,-177.00M,1.46B,394.00M,1.066B,,-90.00M,,976.00M,303.00M,1.637B,,2009-06,1.06,1.06,,2009-06,1.05,0.00,,2009-06,919.00M,,2009-06,AOR,Restated
2009-03,12.20B,12.25B,9.107B,3.142B,1.483B,409.00M,,175.00M,,-175.00M,,1.892B,1.25B,,175.00M,-175.00M,,-175.00M,1.075B,276.00M,799.00M,,-77.00M,,722.00M,306.00M,1.25B,,2009-03,0.79,0.79,,2009-03,0.78,0.00,,2009-03,918.00M,,2009-03,AOR,Restated
2008-12,14.50B,14.77B,10.83B,3.942B,1.649B,490.00M,,171.00M,,-171.00M,,2.139B,1.803B,,171.00M,-171.00M,,-171.00M,1.632B,403.00M,1.229B,,-84.00M,,1.145B,350.00M,1.803B,,2008-12,1.24,1.24,,2008-12,1.22,0.00,,2008-12,923.00M,,2008-12,AOR,Restated
2008-09,14.97B,15.08B,10.94B,4.15B,1.665B,436.00M,,177.00M,,-177.00M,,2.101B,2.049B,,177.00M,-177.00M,,-177.00M,1.872B,502.00M,1.37B,,-101.00M,,1.269B,326.00M,2.049B,,2008-09,1.36,1.36,,2008-09,1.33,0.00,,2008-09,933.00M,,2008-09,,Restated
2008-06,15.81B,15.94B,11.64B,4.308B,1.775B,434.00M,,176.00M,,-176.00M,,2.209B,2.099B,,176.00M,-176.00M,,-176.00M,1.923B,548.00M,1.375B,,-100.00M,,1.275B,326.00M,2.099B,,2008-06,1.35,1.35,,2008-06,1.32,0.00,,2008-06,944.00M,,2008-06,,Restated
2008-03,13.83B,13.96B,10.24B,3.72B,1.635B,411.00M,,165.00M,,-165.00M,,2.046B,1.674B,,165.00M,-165.00M,,-165.00M,1.509B,430.00M,1.079B,,-79.00M,,1.00B,319.00M,1.674B,,2008-03,1.05,1.05,,2008-03,1.03,0.00,,2008-03,952.00M,,2008-03,,Restated
2007-12,14.50B,14.71B,10.73B,3.985B,1.711B,481.00M,,174.00M,,-174.00M,,2.192B,1.793B,,174.00M,-174.00M,,-174.00M,1.619B,481.00M,1.138B,,-78.00M,,1.06B,310.00M,1.793B,,2007-12,1.10,1.10,,2007-12,1.08,0.00,,2007-12,958.00M,,2007-12,AOR,Restated
2007-09,13.72B,13.86B,10.07B,3.795B,1.508B,399.00M,,179.00M,,-179.00M,,1.907B,1.888B,,179.00M,-179.00M,,-179.00M,1.709B,434.00M,1.275B,,-78.00M,,1.197B,308.00M,1.888B,,2007-09,1.24,1.24,,2007-09,1.21,0.00,,2007-09,963.00M,,2007-09,,
2007-06,13.77B,13.90B,10.13B,3.775B,1.494B,416.00M,138.00M,,,,,1.91B,1.865B,,,,138.00M,,1.702B,479.00M,1.148B,,-75.00M,,1.148B,277.00M,1.865B,,2007-06,1.19,1.19,,2007-06,1.16,0.00,,2007-06,966.00M,,2007-06,,
2007-03,11.94B,12.28B,8.996B,3.282B,1.396B,382.00M,342.00M,,,,,1.778B,1.504B,,,,342.00M,,1.354B,442.00M,819.00M,,-93.00M,,819.00M,278.00M,1.504B,,2007-03,0.85,0.85,,2007-03,0.82,0.00,,2007-03,968.00M,,2007-03,,
2006-12,13.36B,12.79B,9.521B,3.266B,1.432B,406.00M,,,,,,1.838B,1.428B,,,,,,1.275B,337.00M,1.131B,,-73.00M,,865.00M,261.00M,1.428B,,2006-12,0.89,0.89,,2006-12,0.87,0.00,,2006-12,971.00M,,2006-12,AOR,Restated
2006-09,11.97B,12.16B,8.794B,3.369B,1.338B,384.00M,191.00M,,,,,1.722B,1.647B,,,,191.00M,,1.491B,423.00M,996.00M,,-72.00M,,996.00M,252.00M,1.647B,,2006-09,1.02,1.02,,2006-09,0.99,0.00,,2006-09,980.00M,,2006-09,,
2006-06,12.05B,12.26B,8.775B,3.489B,1.378B,370.00M,218.00M,,,,,1.748B,1.741B,,,,218.00M,,1.586B,415.00M,1.103B,,-68.00M,,1.103B,256.00M,1.741B,,2006-06,1.12,1.12,,2006-06,1.09,0.00,,2006-06,983.00M,,2006-06,,
2006-03,10.45B,10.62B,7.65B,2.965B,1.314B,369.00M,169.00M,,,,,1.683B,1.282B,,,,169.00M,,1.14B,319.00M,768.00M,,-53.00M,,768.00M,264.00M,1.282B,,2006-03,0.78,0.78,,2006-03,0.76,0.00,,2006-03,984.00M,,2006-03,,
2005-12,11.17B,11.26B,8.239B,3.022B,1.378B,423.00M,,,,,,1.801B,1.221B,,,,,,1.078B,294.00M,721.00M,,-63.00M,,626.00M,256.00M,1.221B,,2005-12,0.73,0.64,,2005-12,0.72,-0.09,,2005-12,985.00M,,2005-12,AOR,Restated
2005-09,10.82B,10.90B,7.891B,3.014B,1.295B,335.00M,82.00M,,,,,1.63B,1.384B,,,,82.00M,,1.249B,356.00M,821.00M,,-72.00M,,821.00M,265.00M,1.384B,,2005-09,0.83,0.83,,2005-09,0.81,0.00,,2005-09,992.00M,,2005-09,,
2005-06,10.97B,11.15B,7.99B,3.162B,1.355B,318.00M,178.00M,,,,,1.673B,1.489B,,,,178.00M,,1.369B,326.00M,971.00M,,-72.00M,,971.00M,237.00M,1.489B,,2005-06,0.98,0.98,,2005-06,0.95,0.00,,2005-06,995.00M,,2005-06,,
2005-03,9.309B,9.407B,6.815B,2.592B,1.213B,291.00M,98.00M,,,,,1.504B,1.088B,,,,98.00M,,988.00M,277.00M,651.00M,,-60.00M,,651.00M,226.00M,1.088B,,2005-03,0.655,0.655,,2005-03,0.64,0.00,,2005-03,992.00M,,2005-03,,
2004-12,9.64B,10.38B,7.189B,3.196B,1.273B,342.00M,,,,,,2.162B,1.034B,,,,,,938.00M,266.00M,612.00M,,-60.00M,,612.00M,234.00M,1.034B,,2004-12,0.5987,0.5987,,2004-12,0.5987,,,2004-12,1.022B,,2004-12,AOR,Restated
2004-09,9.248B,9.339B,6.802B,2.537B,1.108B,299.00M,91.00M,,,,,1.407B,1.13B,,,,91.00M,,1.041B,287.00M,693.00M,,-61.00M,,693.00M,230.00M,1.13B,,2004-09,0.35,0.35,,2004-09,0.34,0.00,,2004-09,1.984B,,2004-09,,
2004-06,9.455B,9.622B,6.976B,2.646B,1.114B,315.00M,167.00M,,,,,1.429B,1.217B,,,,167.00M,,1.065B,248.00M,817.00M,,-61.00M,,817.00M,252.00M,1.217B,,2004-06,0.41,0.41,,2004-06,0.405,0.00,,2004-06,1.984B,,2004-06,,
2004-03,8.357B,8.646B,6.275B,2.371B,1.14B,311.00M,289.00M,,,,,1.451B,920.00M,,,,289.00M,,833.00M,230.00M,551.00M,,-52.00M,,551.00M,262.00M,920.00M,,2004-03,0.555,0.555,,2004-03,0.54,0.00,,2004-03,996.00M,,2004-03,,
2003-12,8.487B,8.588B,6.31B,2.278B,1.10B,251.00M,,,,,,1.351B,927.00M,,,,,,831.00M,202.00M,756.00M,,-41.00M,,588.00M,229.00M,927.00M,,2003-12,3.065,3.065,,2003-12,2.925,0.00,,2003-12,1.15B,,2003-12,AOR,Restated
2003-09,7.875B,7.954B,5.713B,2.241B,933.00M,260.00M,79.00M,,,,,1.193B,1.048B,,,,79.00M,,953.00M,267.00M,639.00M,,-47.00M,8.00M,639.00M,203.00M,1.048B,,2003-09,0.67,0.67,,2003-09,0.635,0.00,,2003-09,940.00M,,2003-09,,
2003-06,7.708B,7.79B,5.619B,2.171B,857.00M,281.00M,82.00M,,,,,1.138B,1.033B,,,,82.00M,,940.00M,263.00M,632.00M,,-45.00M,8.00M,632.00M,187.00M,1.033B,,2003-06,0.665,0.665,,2003-06,0.63,0.00,,2003-06,936.00M,,2003-06,,
2003-03,6.653B,6.702B,4.866B,1.836B,764.00M,235.00M,49.00M,,,,,999.00M,837.00M,,,,49.00M,,746.00M,209.00M,502.00M,,-35.00M,,502.00M,180.00M,837.00M,,2003-03,0.525,0.525,,2003-03,0.50,0.00,,2003-03,940.00M,,2003-03,,
2002-12,7.138B,7.215B,5.248B,1.967B,862.00M,278.00M,,,,,,1.14B,827.00M,,,,,,734.00M,165.00M,686.00M,,-36.00M,,533.00M,190.00M,827.00M,,2002-12,0.56,0.56,,2002-12,0.53,0.00,,2002-12,941.20M,,2002-12,AOR,Restated
2002-09,7.25B,7.299B,5.238B,2.061B,789.00M,270.00M,49.00M,,,,,1.059B,1.002B,,,,49.00M,,909.00M,258.00M,612.00M,,-39.00M,7.00M,612.00M,173.00M,1.002B,,2002-09,0.64,0.64,,2002-09,0.605,0.00,,2002-09,946.00M,,2002-09,,
2002-06,7.271B,7.324B,5.19B,2.134B,798.00M,305.00M,53.00M,,,,,1.103B,1.031B,,,,53.00M,,890.00M,266.00M,624.00M,,-45.00M,8.00M,624.00M,189.00M,1.031B,,2002-06,0.65,0.65,,2002-06,0.615,0.00,,2002-06,946.00M,,2002-06,,
2002-03,6.321B,6.374B,4.485B,1.889B,754.00M,338.00M,53.00M,,,,,1.092B,797.00M,,,,53.00M,,698.00M,198.00M,467.00M,,-33.00M,8.00M,467.00M,175.00M,797.00M,,2002-03,0.485,0.485,,2002-03,0.46,0.00,,2002-03,946.00M,,2002-03,,
2001-12,6.894B,6.974B,5.168B,1.806B,860.00M,301.00M,,,,,,1.161B,645.00M,,,,,,620.00M,161.00M,459.00M,,-29.00M,,345.00M,238.00M,645.00M,,2001-12,0.36,0.36,,2001-12,0.345,0.00,,2001-12,941.60M,,2001-12,AOR,Restated
