,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-04,988.00M,,,0.00,0.00,387.00M,387.00M,-21.00M,24.00M,6.00M,,-1.846B,3.521B,-234.00M,604.00M,,2.045B,,3.429B,,-224.00M,5.00M,5.00M,,-17.00M,,-236.00M,,-13.00M,-1.14B,-1.153B,,-728.00M,-728.00M,-340.00M,-340.00M,8.00M,-2.00M,-2.215B,,588.00M,978.00M,-1.00M,1.565B,,,0.00,-1.153B,-728.00M,,AOR,Restated
2018-01,554.00M,,,86.00M,4.00M,392.00M,392.00M,171.00M,21.00M,19.00M,,992.00M,-2.343B,64.00M,-181.00M,,-1.468B,,-307.00M,,-336.00M,24.00M,24.00M,0.00,-57.00M,0.00,-369.00M,,-13.00M,965.00M,952.00M,,-138.00M,-138.00M,-341.00M,-341.00M,52.00M,-2.00M,523.00M,,743.00M,-153.00M,-2.00M,588.00M,,,0.00,327.00M,-138.00M,,AOR,Restated
2017-10,872.00M,,,1.00M,1.00M,380.00M,380.00M,-31.00M,23.00M,8.00M,,-933.00M,220.00M,20.00M,-262.00M,,-955.00M,,298.00M,,-311.00M,11.00M,11.00M,-4.00M,25.00M,3.00M,-276.00M,,-262.00M,171.00M,-91.00M,,-551.00M,-551.00M,-344.00M,-344.00M,7.00M,1.00M,-978.00M,,1.696B,-956.00M,3.00M,743.00M,,,0.00,-91.00M,-551.00M,,AOR,Restated
2017-07,1.419B,,,-94.00M,-94.00M,379.00M,379.00M,-23.00M,29.00M,2.00M,,958.00M,-1.26B,230.00M,139.00M,,67.00M,,1.779B,,-274.00M,4.00M,4.00M,-505.00M,259.00M,11.00M,-505.00M,,-16.00M,0.00,-16.00M,,-1.266B,-1.266B,-299.00M,-299.00M,42.00M,-8.00M,-1.547B,,1.963B,-273.00M,6.00M,1.696B,,,0.00,-16.00M,-1.266B,,AOR,Restated
2017-04,602.00M,,,7.00M,471.00M,389.00M,389.00M,-64.00M,26.00M,11.00M,,-1.808B,3.291B,-64.00M,441.00M,,1.86B,,3.295B,,-202.00M,6.00M,6.00M,,-94.00M,-1.00M,-291.00M,,410.00M,-511.00M,-101.00M,,-1.237B,-1.237B,-304.00M,-304.00M,38.00M,-1.00M,-1.605B,,558.00M,1.399B,6.00M,1.963B,,,2.968B,-3.069B,-1.237B,,AOR,Restated
2017-01,663.00M,,,2.00M,2.00M,400.00M,400.00M,100.00M,19.00M,13.00M,,540.00M,-1.206B,-215.00M,32.00M,,-849.00M,,348.00M,,-347.00M,9.00M,9.00M,-72.00M,93.00M,8.00M,-309.00M,,-27.00M,510.00M,483.00M,,-541.00M,-541.00M,-306.00M,-306.00M,51.00M,-123.00M,-436.00M,,960.00M,-397.00M,-5.00M,558.00M,,,466.00M,17.00M,-541.00M,,AOR,Restated
2016-10,379.00M,,,295.00M,295.00M,412.00M,412.00M,-47.00M,22.00M,181.00M,,-408.00M,136.00M,-52.00M,-277.00M,,-601.00M,,641.00M,,-330.00M,11.00M,11.00M,0.00,213.00M,-12.00M,-118.00M,,-651.00M,0.00,-651.00M,,-600.00M,-600.00M,-309.00M,-309.00M,6.00M,8.00M,-1.546B,,1.988B,-1.023B,-5.00M,960.00M,,,0.00,-651.00M,-600.00M,,AOR,Restated
2016-07,1.167B,,,2.00M,2.00M,395.00M,395.00M,-77.00M,24.00M,-62.00M,,1.246B,-1.446B,270.00M,-111.00M,,-41.00M,,1.408B,,-282.00M,6.00M,6.00M,-2.284B,-19.00M,-6.00M,-2.585B,,-11.00M,0.00,-11.00M,,-1.201B,-1.201B,-251.00M,-251.00M,62.00M,7.00M,-1.394B,,4.561B,-2.571B,-2.00M,1.988B,,,0.00,-11.00M,-1.201B,,AOR,Restated
2016-04,884.00M,,,3.00M,3.00M,383.00M,383.00M,52.00M,25.00M,11.00M,,-1.556B,3.169B,-186.00M,435.00M,,1.862B,,3.22B,,-208.00M,11.00M,11.00M,,-149.00M,-3.00M,-349.00M,,2.783B,-44.00M,2.739B,,-1.253B,-1.253B,-255.00M,-255.00M,20.00M,33.00M,1.284B,,405.00M,4.155B,1.00M,4.561B,,,3.267B,-528.00M,-1.253B,,AOR,Restated
2016-01,11.00M,,,548.00M,548.00M,395.00M,395.00M,72.00M,33.00M,11.00M,,954.00M,-1.694B,-72.00M,-20.00M,,-832.00M,,238.00M,,-353.00M,6.00M,6.00M,-19.00M,12.00M,-3.00M,-357.00M,,-11.00M,43.00M,32.00M,,-543.00M,-543.00M,-257.00M,-257.00M,56.00M,9.00M,-703.00M,,1.227B,-822.00M,0.00,405.00M,,,43.00M,-11.00M,-543.00M,,AOR,Restated
2015-10,736.00M,,,15.00M,15.00M,401.00M,401.00M,-38.00M,27.00M,2.00M,,-732.00M,213.00M,11.00M,-253.00M,,-761.00M,,382.00M,,-274.00M,31.00M,31.00M,-67.00M,60.00M,0.00,-250.00M,,1.208B,0.00,1.208B,,-753.00M,-753.00M,-260.00M,-260.00M,7.00M,-4.00M,198.00M,,901.00M,330.00M,-4.00M,1.227B,,,1.718B,-510.00M,-753.00M,,AOR,Restated
2015-07,1.126B,,,14.00M,14.00M,400.00M,400.00M,-64.00M,28.00M,10.00M,,883.00M,-888.00M,75.00M,102.00M,,172.00M,,1.686B,,-338.00M,17.00M,17.00M,-28.00M,-121.00M,-25.00M,-495.00M,,-21.00M,0.00,-21.00M,,-1.52B,-1.52B,-218.00M,-218.00M,41.00M,0.00,-1.718B,,1.434B,-527.00M,-6.00M,901.00M,,,0.00,-21.00M,-1.52B,,AOR,Restated
2015-04,673.00M,,,17.00M,17.00M,391.00M,391.00M,-38.00M,29.00M,7.00M,,-1.687B,2.893B,-48.00M,241.00M,,1.399B,,2.478B,,-232.00M,3.00M,3.00M,-11.00M,-1.00M,,-241.00M,,-10.00M,0.00,-10.00M,,-1.109B,-1.109B,-222.00M,-222.00M,21.00M,50.00M,-1.27B,,466.00M,967.00M,1.00M,1.434B,,,0.00,-10.00M,-1.109B,,AOR,Restated
2015-01,450.00M,,,10.00M,10.00M,387.00M,387.00M,77.00M,35.00M,1.00M,,811.00M,-1.325B,-22.00M,-179.00M,,-715.00M,,245.00M,,-293.00M,8.00M,8.00M,-45.00M,127.00M,2.00M,-201.00M,,-12.00M,0.00,-12.00M,,-955.00M,-955.00M,-225.00M,-225.00M,47.00M,8.00M,-1.137B,,1.562B,-1.093B,-3.00M,466.00M,,,0.00,-12.00M,-955.00M,,AOR,Restated
2014-10,585.00M,,,16.00M,16.00M,401.00M,401.00M,-64.00M,31.00M,-5.00M,,-459.00M,272.00M,15.00M,-31.00M,,-203.00M,,761.00M,,-203.00M,20.00M,20.00M,-45.00M,-135.00M,1.00M,-362.00M,,1.228B,0.00,1.228B,,-899.00M,-899.00M,-228.00M,-228.00M,22.00M,4.00M,127.00M,,1.039B,526.00M,-3.00M,1.562B,,,1.239B,-11.00M,-899.00M,,AOR,Restated
2014-07,1.039B,,,14.00M,14.00M,400.00M,400.00M,-70.00M,25.00M,5.00M,,1.202B,-861.00M,46.00M,129.00M,,516.00M,,1.929B,,-190.00M,8.00M,8.00M,-60.00M,-1.00M,-2.00M,-245.00M,,-13.00M,0.00,-13.00M,,-1.141B,-1.141B,-183.00M,-183.00M,44.00M,-11.00M,-1.304B,,658.00M,380.00M,1.00M,1.039B,,,,-13.00M,-1.141B,,AOR,Restated
2014-04,624.00M,,,17.00M,17.00M,398.00M,398.00M,-67.00M,28.00M,24.00M,,-1.384B,2.041B,44.00M,269.00M,,970.00M,,1.994B,,-194.00M,16.00M,16.00M,-91.00M,-6.00M,-5.00M,-280.00M,,-12.00M,-386.00M,-398.00M,,-910.00M,-910.00M,-186.00M,-186.00M,24.00M,23.00M,-1.447B,,391.00M,267.00M,0.00,658.00M,,,,-398.00M,-910.00M,,AOR,Restated
2014-01,306.00M,,,11.00M,11.00M,395.00M,395.00M,-45.00M,30.00M,42.00M,,451.00M,-772.00M,6.00M,-172.00M,,-487.00M,,252.00M,,-330.00M,13.00M,13.00M,-36.00M,89.00M,1.00M,-263.00M,,-13.00M,386.00M,373.00M,,-913.00M,-913.00M,-190.00M,-190.00M,48.00M,-14.00M,-696.00M,,1.101B,-707.00M,-3.00M,391.00M,,,386.00M,-13.00M,-913.00M,,AOR,Restated
2013-10,498.00M,,,14.00M,14.00M,400.00M,400.00M,-61.00M,26.00M,10.00M,,-330.00M,54.00M,-15.00M,-93.00M,,-384.00M,,503.00M,,-234.00M,15.00M,15.00M,-227.00M,-60.00M,1.00M,-505.00M,,973.00M,0.00,973.00M,,-770.00M,-770.00M,-191.00M,-191.00M,17.00M,-9.00M,20.00M,,1.085B,18.00M,-2.00M,1.101B,,,985.00M,-12.00M,-770.00M,,AOR,Restated
2013-07,942.00M,,,12.00M,12.00M,391.00M,391.00M,-30.00M,26.00M,7.00M,,1.157B,-1.372B,9.00M,222.00M,,16.00M,,1.364B,,-180.00M,41.00M,41.00M,-40.00M,-84.00M,8.00M,-255.00M,,-11.00M,0.00,-11.00M,,-981.00M,-981.00M,-174.00M,-174.00M,60.00M,3.00M,-1.103B,,1.081B,6.00M,-2.00M,1.085B,,,,-11.00M,-981.00M,,AOR,Restated
2013-04,540.00M,,,15.00M,15.00M,376.00M,376.00M,-26.00M,18.00M,5.00M,,-1.674B,2.381B,-5.00M,362.00M,,1.064B,,1.992B,,-196.00M,6.00M,6.00M,-73.00M,5.00M,-5.00M,-263.00M,,-11.00M,0.00,-11.00M,,-1.046B,-1.046B,-178.00M,-178.00M,40.00M,5.00M,-1.19B,,541.00M,539.00M,1.00M,1.081B,,,,-11.00M,-1.046B,,AOR,Restated
2013-01,289.00M,,,10.00M,10.00M,438.00M,438.00M,-27.00M,25.00M,14.00M,,396.00M,-761.00M,63.00M,-193.00M,,-495.00M,,254.00M,,-264.00M,25.00M,25.00M,-62.00M,163.00M,18.00M,-120.00M,,-11.00M,,-11.00M,,-750.00M,-750.00M,-180.00M,-180.00M,247.00M,11.00M,-683.00M,,1.091B,-549.00M,-1.00M,541.00M,,,0.00,-11.00M,-750.00M,,AOR,Restated
2012-10,395.00M,,,9.00M,9.00M,396.00M,396.00M,-54.00M,21.00M,33.00M,,-295.00M,333.00M,9.00M,-135.00M,,-88.00M,,712.00M,,-325.00M,56.00M,56.00M,2.00M,509.00M,7.00M,249.00M,,-560.00M,,-560.00M,,-850.00M,-850.00M,-184.00M,-184.00M,12.00M,-2.00M,-1.584B,,1.71B,-623.00M,4.00M,1.091B,,,0.00,-560.00M,-850.00M,,AOR,Restated
2012-07,748.00M,,,14.00M,14.00M,393.00M,393.00M,171.00M,29.00M,17.00M,,1.087B,-1.894B,-94.00M,-142.00M,,-1.043B,,329.00M,,-285.00M,20.00M,20.00M,-89.00M,-198.00M,-10.00M,-562.00M,,-10.00M,,-10.00M,,-1.004B,-1.004B,-166.00M,-166.00M,37.00M,17.00M,-1.126B,,3.072B,-1.359B,-3.00M,1.71B,,,0.00,-10.00M,-1.004B,,AOR,Restated
2012-04,527.00M,,,15.00M,15.00M,396.00M,396.00M,-230.00M,25.00M,19.00M,,-1.432B,2.625B,-65.00M,587.00M,,1.715B,,2.467B,,-337.00M,29.00M,29.00M,-70.00M,-81.00M,-11.00M,-470.00M,,1.974B,,1.974B,,-1.789B,-1.789B,-174.00M,-174.00M,53.00M,-4.00M,60.00M,,1.014B,2.057B,1.00M,3.072B,,,1.984B,-10.00M,-1.789B,,AOR,Restated
2012-01,322.00M,,-7.00M,,-402.00M,408.00M,408.00M,254.00M,26.00M,375.00M,,636.00M,-897.00M,,,-686.00M,-607.00M,,457.00M,,-565.00M,26.00M,1.29B,,419.00M,-2.00M,-454.00M,,984.00M,,984.00M,-55.00M,-503.00M,-558.00M,,-177.00M,,-12.00M,337.00M,,675.00M,340.00M,-1.00M,1.014B,,-55.00M,993.00M,-9.00M,-503.00M,,AOR,Restated
2011-10,225.00M,,3.00M,,310.00M,385.00M,385.00M,-150.00M,22.00M,22.00M,,-174.00M,-134.00M,,,115.00M,-193.00M,,599.00M,,-484.00M,6.00M,-478.00M,,188.00M,1.00M,-289.00M,,-10.00M,,-10.00M,0.00,-1.00M,-1.00M,,-176.00M,,-12.00M,-199.00M,,568.00M,111.00M,-4.00M,675.00M,,0.00,0.00,-10.00M,-1.00M,,AOR,Restated
2011-07,831.00M,,2.00M,,93.00M,389.00M,389.00M,-7.00M,29.00M,29.00M,,834.00M,-1.313B,,,14.00M,-465.00M,,870.00M,,-467.00M,15.00M,-452.00M,,185.00M,-16.00M,-283.00M,,-9.00M,,-9.00M,40.00M,-1.402B,-1.362B,,-145.00M,,0.00,-1.516B,,1.496B,-929.00M,1.00M,568.00M,,40.00M,0.00,-9.00M,-1.402B,,AOR,Restated
2011-04,461.00M,,2.00M,,11.00M,397.00M,397.00M,-43.00M,30.00M,30.00M,,-1.329B,2.339B,,,557.00M,1.567B,,2.423B,,-313.00M,5.00M,-308.00M,,-105.00M,2.00M,-411.00M,,-9.00M,,-9.00M,15.00M,-1.031B,-1.016B,,-149.00M,,3.00M,-1.171B,,652.00M,841.00M,3.00M,1.496B,,15.00M,0.00,-9.00M,-1.031B,,AOR,Restated
2011-01,285.00M,,,,-68.00M,412.00M,412.00M,14.00M,31.00M,19.00M,,224.00M,-608.00M,,,-447.00M,-758.00M,,19.00M,,-317.00M,1.00M,1.013B,,44.00M,39.00M,-316.00M,,984.00M,,984.00M,-63.00M,-1.002B,-1.065B,,-153.00M,,0.00,-130.00M,,1.078B,-427.00M,1.00M,652.00M,,-63.00M,994.00M,-10.00M,-1.002B,,AOR,Restated
2010-10,404.00M,,,,56.00M,424.00M,424.00M,-4.00M,29.00M,29.00M,,112.00M,68.00M,,,-38.00M,142.00M,,1.051B,,-400.00M,15.00M,-385.00M,,22.00M,-37.00M,-400.00M,,-8.00M,,-8.00M,1.00M,-601.00M,-600.00M,,-157.00M,,0.00,-765.00M,,1.191B,-114.00M,1.00M,1.078B,,1.00M,0.00,-8.00M,-601.00M,,AOR,
2010-07,832.00M,,,,15.00M,424.00M,424.00M,-61.00M,29.00M,29.00M,,1.244B,-2.173B,,,-264.00M,-1.193B,,46.00M,,-329.00M,4.00M,-325.00M,,-44.00M,-15.00M,-384.00M,,-510.00M,,-510.00M,42.00M,-550.00M,-508.00M,,-130.00M,,1.00M,-1.147B,,2.677B,-1.485B,-1.00M,1.191B,,42.00M,-1.00M,-509.00M,-550.00M,,AOR,
2010-04,489.00M,,,,1.00M,424.00M,424.00M,-82.00M,26.00M,26.00M,,-1.644B,2.773B,,,749.00M,1.878B,,2.736B,,-283.00M,5.00M,-278.00M,,-805.00M,-1.00M,-1.084B,,967.00M,,967.00M,20.00M,-465.00M,-445.00M,,-131.00M,,,391.00M,,632.00M,2.043B,2.00M,2.677B,,20.00M,992.00M,-25.00M,-465.00M,,AOR,Restated
2010-01,205.00M,-140.00M,,,53.00M,430.00M,430.00M,19.00M,24.00M,24.00M,,175.00M,-758.00M,,,-461.00M,-1.044B,,-313.00M,,-385.00M,-17.00M,-402.00M,,667.00M,-25.00M,240.00M,,-3.00M,-5.00M,-8.00M,128.00M,-500.00M,-372.00M,,0.00,,-59.00M,-439.00M,,1.141B,-512.00M,3.00M,632.00M,,128.00M,7.00M,-10.00M,-500.00M,,AOR,Restated
2009-10,343.00M,67.00M,,,67.00M,433.00M,433.00M,-36.00M,28.00M,28.00M,,-235.00M,75.00M,,,-24.00M,-184.00M,,651.00M,,-392.00M,4.00M,-388.00M,,-51.00M,-19.00M,-458.00M,,-8.00M,-15.00M,-23.00M,-37.00M,-4.00M,-41.00M,,-132.00M,-7.00M,59.00M,-144.00M,,1.087B,49.00M,5.00M,1.141B,,-37.00M,3.00M,-11.00M,-4.00M,,AOR,Restated
2009-07,759.00M,64.00M,,,64.00M,436.00M,436.00M,-23.00M,26.00M,26.00M,,833.00M,-874.00M,,,150.00M,109.00M,,1.371B,,-450.00M,2.00M,-448.00M,,-417.00M,-15.00M,-880.00M,,-8.00M,-1.00M,-9.00M,37.00M,0.00,37.00M,,-133.00M,6.00M,,-99.00M,,682.00M,392.00M,13.00M,1.087B,,37.00M,,978.00M,0.00,,AOR,Restated
2009-04,476.00M,9.00M,,,9.00M,434.00M,434.00M,-83.00M,24.00M,24.00M,,-801.00M,1.732B,,,554.00M,1.485B,,2.345B,,-572.00M,11.00M,-561.00M,,-242.00M,15.00M,-788.00M,,-8.00M,-986.00M,-994.00M,,0.00,0.00,,-126.00M,1.00M,,-1.119B,,245.00M,438.00M,-1.00M,682.00M,,,0.00,-994.00M,0.00,,AOR,Restated
2009-01,162.00M,41.00M,,,41.00M,435.00M,435.00M,-30.00M,16.00M,16.00M,,114.00M,-722.00M,,,-252.00M,-860.00M,,-236.00M,,-727.00M,3.00M,-724.00M,,241.00M,-3.00M,-486.00M,,-7.00M,729.00M,722.00M,37.00M,0.00,37.00M,,-125.00M,4.00M,0.00,638.00M,,322.00M,-84.00M,7.00M,245.00M,,37.00M,2.00M,777.00M,0.00,,,Restated
2008-10,488.00M,18.00M,,,18.00M,416.00M,416.00M,156.00M,25.00M,25.00M,,-397.00M,51.00M,,,-267.00M,-613.00M,,490.00M,,-919.00M,6.00M,-913.00M,,251.00M,-16.00M,-678.00M,,-7.00M,87.00M,80.00M,0.00,-6.00M,-6.00M,,-124.00M,83.00M,0.00,33.00M,,477.00M,-155.00M,0.00,322.00M,,0.00,2.00M,78.00M,-6.00M,,,Restated
2008-07,938.00M,9.00M,,,17.00M,412.00M,412.00M,-74.00M,26.00M,26.00M,,500.00M,-560.00M,,,71.00M,11.00M,,1.33B,,-815.00M,16.00M,-799.00M,,-346.00M,-37.00M,-1.182B,,-539.00M,42.00M,-497.00M,39.00M,-2.00M,37.00M,,-125.00M,1.00M,0.00,-584.00M,,913.00M,-436.00M,0.00,477.00M,,39.00M,3.00M,-500.00M,-2.00M,,,Restated
2008-04,607.00M,21.00M,,,21.00M,404.00M,404.00M,17.00M,28.00M,28.00M,,-828.00M,1.633B,,,656.00M,1.461B,,2.538B,,-805.00M,4.00M,-801.00M,,-79.00M,,-880.00M,,-5.00M,-915.00M,-920.00M,,,,,-117.00M,10.00M,1.00M,-1.026B,,281.00M,632.00M,0.00,913.00M,,,8.00M,-928.00M,,,,Restated
2008-01,408.00M,,,,18.00M,395.00M,395.00M,44.00M,,30.00M,,166.00M,-183.00M,,,-316.00M,-333.00M,,562.00M,,-1.098B,6.00M,-1.092B,,-195.00M,13.00M,-1.274B,,,,1.045B,51.00M,-325.00M,-274.00M,,-116.00M,,2.00M,657.00M,,336.00M,-55.00M,,281.00M,,51.00M,,,-325.00M,,,
2007-10,643.00M,,,,16.00M,368.00M,368.00M,-45.00M,,24.00M,,25.00M,-275.00M,,,-49.00M,-299.00M,,707.00M,,-1.214B,25.00M,-1.189B,,389.00M,3.00M,-797.00M,,,,691.00M,15.00M,-500.00M,-485.00M,,-118.00M,,1.00M,89.00M,,337.00M,-1.00M,,336.00M,,15.00M,,,-500.00M,,,
2007-07,1.019B,,,,13.00M,356.00M,356.00M,-37.00M,,23.00M,,702.00M,-1.044B,,,-93.00M,-435.00M,,939.00M,,-991.00M,12.00M,-979.00M,,22.00M,-10.00M,-967.00M,,,,541.00M,62.00M,-750.00M,-688.00M,,-119.00M,,2.00M,-264.00M,,629.00M,-292.00M,,337.00M,,62.00M,,,-750.00M,,,
2007-04,739.00M,,,,4.00M,345.00M,345.00M,40.00M,,22.00M,,-1.357B,1.687B,,,659.00M,989.00M,,2.139B,,-707.00M,14.00M,-693.00M,,-379.00M,-13.00M,-1.085B,,,,-36.00M,21.00M,-700.00M,-679.00M,,-75.00M,,1.00M,-789.00M,,364.00M,265.00M,,629.00M,,21.00M,,,-700.00M,,,
2007-01,613.00M,,,,-12.00M,330.00M,330.00M,48.00M,,6.00M,,75.00M,108.00M,,,-309.00M,-126.00M,,859.00M,,-1.192B,42.00M,-1.15B,,-13.00M,-8.00M,-1.171B,,,,12.00M,76.00M,0.00,76.00M,,-76.00M,,7.00M,19.00M,,657.00M,-293.00M,,364.00M,,76.00M,,,0.00,,,
2006-10,716.00M,,,,30.00M,316.00M,316.00M,-20.00M,,21.00M,,-43.00M,-213.00M,,,232.00M,-24.00M,,1.039B,,-1.168B,7.00M,-1.161B,,71.00M,-21.00M,-1.111B,,,,983.00M,16.00M,-511.00M,-495.00M,,-76.00M,,1.00M,413.00M,,316.00M,341.00M,,657.00M,,16.00M,,,-511.00M,,,
2006-07,935.00M,,,,-3.00M,301.00M,301.00M,4.00M,,24.00M,,641.00M,-924.00M,,,-484.00M,-767.00M,,494.00M,,-824.00M,14.00M,-810.00M,,136.00M,16.00M,-658.00M,,,,-9.00M,51.00M,-626.00M,-575.00M,,-77.00M,,1.00M,-660.00M,,1.14B,-824.00M,,316.00M,,51.00M,,,-626.00M,,,
2006-04,841.00M,,,,8.00M,290.00M,290.00M,-38.00M,,11.00M,,-1.182B,1.721B,,,459.00M,998.00M,,2.11B,,-732.00M,9.00M,-723.00M,,-49.00M,-3.00M,-775.00M,,,,-7.00M,33.00M,-600.00M,-567.00M,,-47.00M,,3.00M,-618.00M,,423.00M,717.00M,,1.14B,,33.00M,,,-600.00M,,,
