,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-01,15.26B,15.49B,11.24B,4.251B,2.829B,,,0.00,160.00M,6.00M,-154.00M,,3.153B,1.098B,6.00M,160.00M,-154.00M,0.00,-154.00M,944.00M,390.00M,554.00M,,,554.00M,554.00M,1.496B,392.00M,1.104B,,0.67,,0.67,0.67,,0.67,,0.67,0.67,,827.00M,828.00M,0.41,,AOR,Restated
2017-10,16.56B,16.77B,11.06B,5.713B,3.808B,,,0.00,162.00M,2.00M,-160.00M,,4.166B,1.547B,2.00M,162.00M,-160.00M,,-160.00M,1.387B,515.00M,872.00M,,,872.00M,872.00M,1.929B,380.00M,1.549B,,1.05,,1.05,1.05,,1.05,,1.05,1.05,,831.00M,832.00M,0.41,,AOR,Restated
2017-07,19.27B,19.50B,12.82B,6.67B,3.931B,,,0.00,164.00M,5.00M,-159.00M,,4.288B,2.382B,5.00M,164.00M,-159.00M,,-159.00M,2.223B,804.00M,1.419B,,,1.419B,1.419B,2.766B,379.00M,2.387B,,1.68,,1.68,1.68,,1.68,,1.68,1.68,,841.00M,842.00M,0.41,,AOR,Restated
2017-04,16.86B,16.86B,11.06B,5.80B,3.876B,,,-464.00M,164.00M,3.00M,-161.00M,,4.241B,1.559B,3.00M,164.00M,-161.00M,-464.00M,-161.00M,934.00M,332.00M,602.00M,,,602.00M,901.28M,1.487B,389.00M,1.098B,,0.70,,1.049,0.70,,0.70,,1.049,0.70,,857.00M,858.00M,0.35,,AOR,Restated
2017-01,15.32B,15.78B,11.14B,4.642B,3.035B,,,0.00,161.00M,2.00M,-159.00M,,3.373B,1.269B,2.00M,161.00M,-159.00M,,-159.00M,1.11B,447.00M,663.00M,,0.00,663.00M,663.00M,1.671B,400.00M,1.271B,,0.74,,0.74,0.74,,0.74,,0.74,0.74,,868.00M,868.00M,0.35,,AOR,Restated
2016-10,15.74B,15.74B,10.33B,5.407B,4.084B,,,0.00,167.00M,4.00M,-163.00M,,4.468B,939.00M,4.00M,167.00M,-163.00M,,-163.00M,776.00M,397.00M,379.00M,,-1.00M,378.00M,378.00M,1.355B,412.00M,943.00M,,0.43,,0.43,0.43,,0.43,,0.43,0.43,,873.00M,874.00M,0.35,,AOR,Restated
2016-07,18.26B,18.26B,11.97B,6.288B,3.866B,,,0.00,170.00M,4.00M,-166.00M,,4.237B,2.051B,4.00M,170.00M,-166.00M,,-166.00M,1.885B,718.00M,1.167B,,,1.167B,1.167B,2.45B,395.00M,2.055B,,1.32,,1.32,1.32,,1.31,,1.31,1.31,,883.00M,885.00M,0.35,,AOR,Restated
2016-04,15.23B,15.23B,9.897B,5.337B,3.391B,,,0.00,158.00M,2.00M,-156.00M,,3.751B,1.586B,2.00M,158.00M,-156.00M,,-156.00M,1.43B,546.00M,884.00M,,,884.00M,884.00M,1.971B,383.00M,1.588B,,0.98,,0.98,0.98,,0.98,,0.98,0.98,,897.00M,899.00M,0.28,,AOR,Restated
2016-01,13.24B,13.24B,8.648B,4.588B,3.771B,,,,144.00M,1.00M,-143.00M,,4.15B,438.00M,1.00M,144.00M,-143.00M,,-143.00M,295.00M,284.00M,11.00M,,,11.00M,11.00M,834.00M,395.00M,439.00M,,0.01,,0.01,0.01,,0.01,,0.01,0.01,,909.00M,909.00M,0.28,,AOR,Restated
2015-10,14.36B,14.36B,9.37B,4.99B,3.287B,375.00M,,,142.00M,1.00M,-141.00M,,3.662B,1.328B,1.00M,142.00M,-141.00M,,-141.00M,1.187B,451.00M,736.00M,,0.00,736.00M,736.00M,1.73B,401.00M,1.329B,,0.80,,0.80,0.80,,0.80,,0.80,0.80,,918.00M,921.00M,0.28,,AOR,Restated
2015-07,17.35B,17.35B,11.37B,5.981B,3.634B,375.00M,,,135.00M,2.00M,-133.00M,,4.009B,1.972B,2.00M,135.00M,-133.00M,,-133.00M,1.839B,713.00M,1.126B,,,1.126B,1.126B,2.374B,400.00M,1.974B,,1.20,,1.20,1.20,,1.20,,1.20,1.20,,931.00M,933.00M,0.28,,AOR,Restated
2015-04,14.13B,14.13B,9.117B,5.012B,3.415B,365.00M,,,134.00M,0.00,-134.00M,,3.78B,1.232B,0.00,134.00M,-134.00M,,-134.00M,1.098B,425.00M,673.00M,,,673.00M,673.00M,1.623B,391.00M,1.232B,,0.70,,0.70,0.70,,0.70,,0.70,0.70,,950.00M,952.00M,0.23,,AOR,Restated
2015-01,12.54B,12.54B,8.194B,4.347B,3.157B,,,,136.00M,4.00M,-132.00M,,3.528B,819.00M,4.00M,136.00M,-132.00M,,-132.00M,687.00M,237.00M,450.00M,,,450.00M,450.00M,1.21B,387.00M,823.00M,,0.46,,0.46,0.46,,0.46,,0.46,0.46,,964.00M,966.00M,0.23,,AOR,Restated
2014-10,13.68B,13.68B,8.963B,4.718B,3.255B,375.00M,,,135.00M,1.00M,-134.00M,,3.63B,1.088B,1.00M,135.00M,-134.00M,,-134.00M,954.00M,369.00M,585.00M,,,585.00M,585.00M,1.49B,401.00M,1.089B,,0.59,,0.59,0.59,,0.59,,0.59,0.59,,978.00M,980.00M,0.23,,AOR,Restated
2014-07,16.60B,16.60B,10.86B,5.735B,3.541B,375.00M,,,127.00M,1.00M,-126.00M,,3.916B,1.819B,1.00M,127.00M,-126.00M,,-126.00M,1.693B,654.00M,1.039B,,,1.039B,1.039B,2.22B,400.00M,1.82B,,1.04,,1.04,1.04,,1.04,,1.04,1.04,,995.00M,996.00M,0.23,,AOR,Restated
2014-04,13.40B,13.40B,8.645B,4.758B,3.319B,373.00M,,,125.00M,1.00M,-124.00M,,3.692B,1.066B,1.00M,125.00M,-124.00M,,-124.00M,942.00M,318.00M,624.00M,,,624.00M,624.00M,1.465B,398.00M,1.067B,,0.61,,0.61,0.61,,0.61,,0.61,0.61,,1.015B,1.017B,0.18,,AOR,Restated
2014-01,11.66B,11.66B,7.618B,4.042B,3.045B,370.00M,,,129.00M,1.00M,-128.00M,,3.415B,627.00M,1.00M,129.00M,-128.00M,,-128.00M,499.00M,193.00M,306.00M,,,306.00M,306.00M,1.023B,395.00M,628.00M,,0.29,,0.29,0.29,,0.29,,0.29,0.29,,1.035B,1.037B,0.18,,AOR,Restated
2013-10,12.96B,12.96B,8.476B,4.481B,3.184B,373.00M,,,126.00M,1.00M,-125.00M,,3.557B,924.00M,1.00M,126.00M,-125.00M,,-125.00M,799.00M,300.00M,499.00M,,,499.00M,499.00M,1.325B,400.00M,925.00M,,0.47,,0.47,0.47,,0.47,,0.47,0.47,,1.047B,1.049B,0.18,,AOR,Restated
2013-07,15.71B,15.71B,10.31B,5.397B,3.414B,367.00M,,,111.00M,1.00M,-110.00M,,3.781B,1.616B,1.00M,111.00M,-110.00M,,-110.00M,1.506B,565.00M,941.00M,,,941.00M,941.00M,2.008B,391.00M,1.617B,,0.88,,0.88,0.88,,0.88,,0.88,0.88,,1.067B,1.068B,0.18,,AOR,Restated
2013-04,13.09B,13.09B,8.533B,4.555B,3.222B,352.00M,,,114.00M,1.00M,-113.00M,,3.574B,981.00M,1.00M,114.00M,-113.00M,,-113.00M,868.00M,328.00M,540.00M,,,540.00M,540.00M,1.358B,376.00M,982.00M,,0.49,,0.49,0.49,,0.49,,0.49,0.49,,1.088B,1.09B,0.16,,AOR,Restated
2013-01,11.05B,11.05B,7.261B,3.785B,2.808B,412.00M,,,112.00M,2.00M,-110.00M,,3.22B,565.00M,2.00M,112.00M,-110.00M,,-110.00M,455.00M,166.00M,289.00M,,,289.00M,289.00M,1.005B,438.00M,567.00M,,0.26,,0.26,0.26,,0.26,,0.26,0.26,,1.111B,1.113B,0.16,,AOR,Restated
2012-10,12.07B,12.07B,7.93B,4.143B,3.023B,371.00M,,,117.00M,3.00M,-114.00M,,3.394B,749.00M,3.00M,117.00M,-114.00M,,-114.00M,635.00M,239.00M,396.00M,,,396.00M,396.00M,1.148B,396.00M,752.00M,,0.35,,0.35,0.35,,0.35,,0.35,0.35,,1.126B,1.128B,0.16,,AOR,Restated
2012-07,14.25B,14.25B,9.415B,4.834B,3.172B,369.00M,,,99.00M,3.00M,-96.00M,,3.541B,1.293B,3.00M,99.00M,-96.00M,,-96.00M,1.197B,450.00M,747.00M,,,747.00M,747.00M,1.689B,393.00M,1.296B,,0.64,,0.64,0.64,,0.64,,0.64,0.64,,1.157B,1.159B,0.16,,AOR,Restated
2012-04,13.15B,13.15B,8.589B,4.564B,3.241B,370.00M,,,105.00M,2.00M,-103.00M,,3.611B,953.00M,2.00M,105.00M,-103.00M,,-103.00M,850.00M,323.00M,527.00M,,,527.00M,527.00M,1.351B,396.00M,955.00M,,0.43,,0.43,0.43,,0.43,,0.43,0.43,,1.206B,1.208B,0.14,,AOR,Restated
2012-01,11.63B,11.63B,7.65B,3.979B,3.01B,382.00M,,,104.00M,2.00M,-102.00M,,3.392B,587.00M,2.00M,104.00M,-102.00M,,-102.00M,485.00M,163.00M,322.00M,,,322.00M,322.00M,997.00M,408.00M,589.00M,,0.26,,0.26,0.26,,0.26,,0.26,0.26,,1.235B,1.235B,0.14,,AOR,Restated
2011-10,11.85B,11.85B,7.815B,4.037B,3.233B,361.00M,,,94.00M,3.00M,-91.00M,,3.594B,443.00M,3.00M,94.00M,-91.00M,,-91.00M,352.00M,127.00M,225.00M,,,225.00M,225.00M,831.00M,385.00M,446.00M,,0.18,0.00,0.18,0.18,,0.18,0.00,0.18,0.18,,1.25B,1.252B,0.14,,AOR,Restated
2011-07,14.54B,14.54B,9.527B,5.016B,3.232B,365.00M,,,,,-90.00M,,3.597B,1.419B,,,-90.00M,,-90.00M,1.329B,499.00M,830.00M,,,830.00M,830.00M,1.808B,389.00M,1.419B,,0.65,0.00,0.65,0.65,,0.64,0.00,0.64,0.64,,1.275B,1.278B,0.14,,AOR,Restated
2011-04,12.18B,12.18B,7.866B,4.319B,3.12B,371.00M,,,89.00M,3.00M,-86.00M,2.00M,3.493B,826.00M,3.00M,89.00M,-86.00M,,-86.00M,740.00M,279.00M,461.00M,,,461.00M,461.00M,1.226B,397.00M,829.00M,,0.35,0.00,0.35,0.35,,0.34,0.00,0.34,0.34,,1.324B,1.328B,0.11,,AOR,Restated
2011-01,10.48B,10.48B,6.754B,3.726B,2.792B,392.00M,,,78.00M,4.00M,-74.00M,,3.184B,542.00M,4.00M,78.00M,-74.00M,,-74.00M,456.00M,171.00M,285.00M,,,285.00M,285.00M,946.00M,412.00M,534.00M,,0.21,,0.21,0.21,,0.21,,0.21,0.21,,1.359B,1.361B,0.11,,AOR,Restated
2010-10,11.59B,11.59B,7.526B,4.061B,2.931B,399.00M,,,88.00M,3.00M,-85.00M,,3.33B,731.00M,3.00M,88.00M,-85.00M,,-85.00M,651.00M,247.00M,404.00M,,,404.00M,404.00M,1.163B,424.00M,739.00M,,0.29,0.00,0.29,0.29,,0.29,0.00,0.29,0.29,,1.39B,1.392B,0.11,,AOR,
2010-07,14.36B,14.36B,9.355B,5.006B,3.189B,398.00M,,,89.00M,5.00M,-84.00M,,3.587B,1.419B,5.00M,89.00M,-84.00M,,-84.00M,1.335B,503.00M,832.00M,,,832.00M,832.00M,1.848B,424.00M,1.424B,,0.58,0.00,0.58,0.58,,0.58,0.00,0.58,0.58,,1.417B,1.419B,0.11,,AOR,
2010-04,12.39B,12.39B,8.03B,4.358B,3.093B,397.00M,,,87.00M,5.00M,-82.00M,,3.49B,868.00M,5.00M,87.00M,-82.00M,,-82.00M,786.00M,297.00M,489.00M,,,489.00M,489.00M,1.297B,424.00M,873.00M,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,1.438B,1.441B,0.09,,AOR,Restated
2010-01,10.17B,10.17B,6.614B,3.554B,2.775B,402.00M,,,48.00M,-8.00M,-56.00M,,3.177B,377.00M,-8.00M,48.00M,-56.00M,,-56.00M,321.00M,116.00M,205.00M,,,205.00M,205.00M,799.00M,430.00M,369.00M,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,1.456B,1.458B,0.09,,AOR,Restated
2009-10,11.38B,11.38B,7.485B,3.89B,2.882B,403.00M,,,85.00M,8.00M,-77.00M,,3.285B,605.00M,8.00M,85.00M,-77.00M,,-77.00M,528.00M,184.00M,344.00M,,,344.00M,344.00M,1.046B,433.00M,613.00M,,0.23,0.00,0.23,0.23,,0.23,0.00,0.23,0.23,,1.466B,1.469B,0.09,,AOR,Restated
2009-07,13.84B,13.84B,9.021B,4.823B,3.123B,408.00M,,,81.00M,5.00M,-76.00M,,3.531B,1.292B,5.00M,81.00M,-76.00M,,-76.00M,1.216B,457.00M,759.00M,,,759.00M,759.00M,1.733B,436.00M,1.297B,,0.51,0.00,0.51,0.51,,0.51,0.00,0.51,0.51,,1.464B,1.466B,0.09,,AOR,Restated
2009-04,11.83B,11.83B,7.636B,4.196B,2.957B,401.00M,,,83.00M,5.00M,-78.00M,,3.358B,838.00M,5.00M,83.00M,-78.00M,,-78.00M,760.00M,284.00M,476.00M,,,476.00M,476.00M,1.277B,434.00M,843.00M,,0.32,0.00,0.32,0.32,,0.32,0.00,0.32,0.32,,1.462B,1.464B,0.085,,AOR,Restated
2009-01,9.984B,9.984B,6.616B,3.368B,2.712B,397.00M,,,78.00M,8.00M,-70.00M,,3.109B,259.00M,8.00M,78.00M,-70.00M,,-70.00M,259.00M,97.00M,162.00M,,,162.00M,162.00M,772.00M,435.00M,337.00M,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,1.46B,1.465B,0.085,,,Restated
2008-10,11.73B,11.73B,7.743B,3.985B,2.726B,385.00M,,-31.00M,76.00M,11.00M,-65.00M,,3.111B,874.00M,11.00M,76.00M,-65.00M,-31.00M,-65.00M,778.00M,290.00M,488.00M,,,488.00M,507.44M,1.27B,416.00M,854.00M,,0.33,0.00,0.3433,0.33,,0.33,0.00,0.3433,0.33,,1.459B,1.461B,0.085,,,Restated
2008-07,14.51B,14.51B,9.527B,4.982B,3.014B,381.00M,,-21.00M,81.00M,12.00M,-69.00M,,3.395B,1.587B,12.00M,81.00M,-69.00M,-21.00M,-69.00M,1.497B,559.00M,938.00M,,,938.00M,951.16M,1.99B,412.00M,1.578B,,0.64,0.00,0.6490,0.64,,0.63,0.00,0.6390,0.63,,1.455B,1.47B,0.085,,,Restated
2008-04,12.01B,12.01B,7.843B,4.166B,2.725B,375.00M,,-18.00M,85.00M,9.00M,-76.00M,,3.10B,1.066B,9.00M,85.00M,-76.00M,-18.00M,-76.00M,972.00M,365.00M,607.00M,,,607.00M,618.24M,1.461B,404.00M,1.057B,,0.42,0.00,0.4277,0.42,,0.41,0.00,0.4176,0.41,,1.454B,1.477B,0.08,,,Restated
2008-01,10.38B,10.38B,6.758B,3.621B,2.551B,,,,,,,,2.922B,699.00M,,,,,,653.00M,245.00M,408.00M,,,408.00M,408.00M,1.094B,395.00M,699.00M,,0.29,0.00,0.29,0.29,,0.28,0.00,0.28,0.28,,1.454B,1.483B,0.08,,,
2007-10,11.56B,11.56B,7.601B,3.964B,2.544B,,,,,,,,2.884B,1.08B,,,,,,1.03B,387.00M,643.00M,,,643.00M,643.00M,1.448B,368.00M,1.08B,,0.44,0.00,0.44,0.44,,0.43,0.00,0.43,0.43,,1.47B,1.497B,0.08,,,
2007-07,14.17B,14.17B,9.284B,4.883B,2.865B,,,,,,,,3.197B,1.686B,,,,,,1.636B,617.00M,1.019B,,,1.019B,1.019B,2.042B,356.00M,1.686B,,0.68,0.00,0.68,0.68,,0.67,0.00,0.67,0.67,,1.49B,1.518B,0.08,,,
2007-04,12.17B,12.17B,7.913B,4.259B,2.697B,,,,,,,,3.02B,1.239B,,,,,,1.192B,453.00M,739.00M,,,739.00M,739.00M,1.584B,345.00M,1.239B,,0.49,0.00,0.49,0.49,,0.48,0.00,0.48,0.48,,1.51B,1.54B,0.05,,,
2007-01,10.40B,10.40B,6.718B,3.687B,2.383B,,,,,,,,2.691B,996.00M,,,,,,952.00M,339.00M,613.00M,,,613.00M,613.00M,1.326B,330.00M,996.00M,,0.40,0.00,0.40,0.40,,0.40,0.00,0.40,0.40,,1.52B,1.551B,0.05,,,
2006-10,11.21B,11.21B,7.346B,3.865B,2.364B,,,,,,,,2.661B,1.204B,,,,,,1.159B,443.00M,716.00M,,,716.00M,716.00M,1.52B,316.00M,1.204B,,0.47,0.00,0.47,0.47,,0.46,0.00,0.46,0.46,,1.522B,1.551B,0.05,,,
2006-07,13.39B,13.39B,8.911B,4.478B,2.645B,,,,,,,,2.928B,1.55B,,,,,,1.52B,585.00M,935.00M,,,935.00M,935.00M,1.851B,301.00M,1.55B,,0.61,0.00,0.61,0.61,,0.60,0.00,0.60,0.60,,1.541B,1.571B,0.05,,,
2006-04,11.92B,11.92B,7.752B,4.169B,2.492B,,,,,,,,2.766B,1.403B,,,,,,1.368B,527.00M,841.00M,,,841.00M,841.00M,1.693B,290.00M,1.403B,,0.54,0.00,0.54,0.54,,0.53,0.00,0.53,0.53,,1.557B,1.59B,0.03,,,
2006-01,10.81B,10.81B,7.023B,3.785B,2.36B,,,,,,,,2.622B,1.163B,,,,,,1.127B,434.00M,693.00M,,,693.00M,693.00M,1.443B,280.00M,1.163B,,0.44,0.00,0.44,0.44,,0.44,0.00,0.44,0.44,,1.564B,1.604B,0.03,,,
2005-10,10.59B,10.59B,7.012B,3.58B,2.247B,,,,,,,,2.493B,1.087B,,,,,,1.051B,405.00M,646.00M,,,646.00M,646.00M,1.35B,263.00M,1.087B,,0.41,0.00,0.41,0.41,,0.40,0.00,0.40,0.40,,1.56B,1.608B,0.03,,,
2005-07,11.93B,11.93B,7.892B,4.037B,2.388B,,,,,,,,2.635B,1.402B,,,,,,1.363B,525.00M,839.00M,,,839.00M,839.00M,1.656B,254.00M,1.402B,,0.54,0.00,0.54,0.54,,0.52,0.00,0.52,0.52,,1.548B,1.605B,0.03,,,
2005-04,9.913B,9.913B,6.515B,3.398B,2.161B,,,,,,,,2.398B,1.00B,,,,,,953.00M,367.00M,586.00M,,,586.00M,586.00M,1.254B,254.00M,1.00B,,0.38,0.00,0.38,0.38,,0.365,0.00,0.365,0.365,,1.548B,1.61B,0.02,,,
2005-01,8.55B,8.55B,5.619B,2.931B,1.886B,,,,,,,,2.079B,852.00M,,,,,,809.00M,310.00M,499.00M,,,499.00M,499.00M,1.099B,247.00M,852.00M,,0.32,0.00,0.32,0.32,,0.31,0.00,0.31,0.31,,1.568B,1.568B,0.02,,,
2004-10,9.064B,9.064B,6.013B,3.051B,1.938B,,,,,,,,2.17B,881.00M,,,,,,841.00M,325.00M,516.00M,,,516.00M,516.00M,1.117B,236.00M,881.00M,,0.335,0.00,0.335,0.335,,0.325,0.00,0.325,0.325,,1.544B,1.604B,0.02,,,
2004-07,10.17B,10.17B,6.78B,3.389B,1.987B,,,,,,,,2.208B,1.181B,,,,,,1.136B,436.00M,700.00M,,,700.00M,700.00M,1.406B,225.00M,1.181B,,0.45,0.00,0.45,0.45,,0.435,0.00,0.435,0.435,,1.552B,1.612B,0.02,,,
2004-04,8.681B,8.681B,5.811B,2.87B,1.875B,,,,,,,,2.088B,782.00M,,,,,,734.00M,282.00M,452.00M,,,452.00M,452.00M,1.00B,218.00M,782.00M,,0.29,0.00,0.29,0.29,,0.28,0.00,0.28,0.28,,1.572B,1.636B,0.015,,,
2004-01,7.252B,7.252B,4.932B,2.32B,1.458B,,,,,,,,1.68B,640.00M,,,,,,595.00M,227.00M,368.00M,7.00M,,375.00M,368.00M,869.00M,229.00M,640.00M,,0.22,0.005,0.22,0.225,,0.205,0.005,0.205,0.21,,1.655B,1.697B,0.015,,,
2003-10,7.802B,7.802B,5.361B,2.441B,1.487B,,,,,,,,1.679B,762.00M,,,,,,720.00M,272.00M,448.00M,8.00M,,456.00M,448.00M,960.00M,198.00M,762.00M,,0.285,0.005,0.285,0.29,,0.275,0.005,0.275,0.28,,1.572B,1.616B,0.015,,,
2003-07,8.666B,8.666B,6.04B,2.626B,1.443B,,,,,,,,1.627B,999.00M,,,,,,954.00M,360.00M,594.00M,3.00M,,597.00M,594.00M,1.189B,190.00M,999.00M,,0.38,0.00,0.38,0.38,,0.375,0.00,0.375,0.375,,1.568B,1.608B,0.0125,,,
2003-04,7.118B,7.118B,4.899B,2.219B,1.318B,,,,,,,,1.497B,722.00M,,,,,,674.00M,255.00M,419.00M,2.00M,,421.00M,419.00M,905.00M,183.00M,722.00M,,0.27,0.00,0.27,0.27,,0.265,0.00,0.265,0.265,,1.566B,1.604B,0.0125,,,
2003-01,5.739B,5.739B,3.881B,1.858B,1.099B,,,,,,,,1.282B,576.43M,,,,,,531.59M,204.68M,326.90M,,,338.90M,326.90M,763.80M,187.37M,576.43M,,0.21,0.00,0.21,0.21,,0.205,0.00,0.205,0.205,,1.606B,1.616B,0.0125,,,
2002-10,6.415B,6.415B,4.450B,1.965B,1.220B,,,,,,,,1.380B,585.72M,,,,,,541.88M,202.66M,339.21M,,,339.21M,339.21M,749.56M,163.84M,585.72M,,0.22,0.00,0.22,0.22,,0.215,0.00,0.215,0.215,,1.561B,1.602B,0.01,,,
2002-07,7.488B,7.488B,5.286B,2.202B,1.256B,,,,,,,,1.410B,792.44M,,,,,,746.12M,279.05M,467.07M,,,467.07M,467.07M,950.30M,157.86M,792.44M,,0.30,0.00,0.30,0.30,,0.295,0.00,0.295,0.295,,1.558B,1.600B,0.01,,,
2002-04,6.471B,6.471B,4.548B,1.923B,1.178B,145.30M,0.818M,,,,,,1.324B,598.59M,,,,,,552.41M,206.60M,345.81M,,,345.81M,345.81M,748.52M,149.93M,598.59M,,0.225,0.00,0.225,0.225,,0.22,0.00,0.22,0.22,,1.553B,1.596B,0.01,,,
2002-01,4.856B,4.856B,3.372B,1.485B,977.48M,,,,,,,,1.110B,374.45M,,,,,,325.45M,120.31M,205.14M,,,218.14M,205.14M,514.59M,140.14M,374.45M,,0.135,0.01,0.135,0.145,,0.13,0.01,0.13,0.14,,1.549B,1.603B,0.01,,,
