,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,Restated
2018-03,166.80M,,7.70M,17.40M,6.60M,24.00M,24.00M,0.40M,6.70M,,6.70M,3.80M,-10.20M,0.00,14.90M,,,8.50M,231.90M,,2018-03,0.40M,0.40M,-3.00M,,-16.50M,-37.10M,,2018-03,-79.20M,-100.30M,11.50M,-43.50M,-32.00M,-46.50M,-46.50M,,-11.70M,-190.50M,,2018-03,92.00M,1.20M,97.50M,,2018-03,395.40M,-495.70M,-43.50M,11.40M,26.30M,,2018-03,Restated
2017-12,133.20M,,-0.10M,16.90M,6.90M,23.80M,23.80M,22.40M,8.90M,,0.00,-14.70M,10.90M,-0.30M,-9.20M,,,-13.30M,193.50M,,2017-12,0.10M,0.10M,0.00,,-34.40M,-59.00M,,2017-12,0.00,-20.40M,10.00M,-75.30M,-65.30M,-46.40M,-46.40M,,-4.50M,-136.60M,,2017-12,94.10M,0.00,92.00M,,2017-12,18.30M,0.00,-75.30M,59.80M,1.50M,,2017-12,Restated
2017-09,137.10M,,0.10M,16.40M,7.10M,23.50M,23.50M,-13.20M,7.00M,,0.00,-50.20M,-38.60M,0.20M,13.50M,,,-75.10M,95.50M,,2017-09,0.50M,0.50M,-2.70M,,-37.00M,-62.10M,,2017-09,12.30M,103.70M,1.60M,-90.10M,-88.50M,-40.70M,-40.70M,,-4.00M,-29.50M,,2017-09,89.00M,1.20M,94.10M,,2017-09,16.80M,-4.50M,-90.10M,68.50M,24.80M,,2017-09,Restated
2017-06,156.80M,,0.00,16.30M,6.50M,22.80M,22.80M,-4.30M,7.00M,,0.00,-28.40M,-31.00M,-2.40M,-8.60M,,,-70.40M,127.10M,,2017-06,-0.10M,-0.10M,-70.70M,,-52.00M,-138.60M,,2017-06,0.00,83.00M,20.50M,-86.70M,-66.20M,-41.10M,-41.10M,,0.90M,-23.40M,,2017-06,123.00M,0.90M,89.00M,,2017-06,0.00,135.70M,-86.70M,85.80M,0.90M,,2017-06,Restated
2017-03,145.10M,,-0.20M,16.00M,7.10M,23.10M,23.10M,7.40M,7.40M,,14.90M,-4.00M,-17.30M,-7.50M,8.30M,,,-20.50M,192.40M,,2017-03,1.00M,1.00M,-9.50M,,-54.60M,-81.70M,,2017-03,147.80M,12.10M,14.10M,-35.80M,-21.70M,-41.20M,-41.20M,,-15.80M,-66.60M,,2017-03,77.60M,1.30M,123.00M,,2017-03,297.80M,-285.70M,-35.80M,14.00M,24.00M,,2017-03,Restated
2016-12,149.70M,,0.30M,15.70M,6.00M,21.70M,21.70M,13.80M,9.50M,,9.50M,-10.90M,-2.80M,16.60M,-52.40M,,,-49.50M,160.50M,,2016-12,0.30M,0.30M,-160.40M,,-51.50M,-229.30M,,2016-12,0.00,119.40M,9.40M,-44.00M,-34.60M,-41.20M,-41.20M,,-12.80M,30.80M,,2016-12,117.50M,-1.90M,77.60M,,2016-12,0.00,0.00,-44.00M,71.60M,1.80M,,2016-12,Restated
2016-09,135.20M,,-0.10M,15.30M,5.90M,21.20M,21.20M,-6.80M,7.30M,,7.30M,-50.70M,-17.90M,-3.70M,15.20M,,,-57.10M,111.90M,,2016-09,0.50M,0.50M,0.00,,-53.20M,-69.20M,,2016-09,0.00,8.20M,4.00M,-17.90M,-13.90M,-35.40M,-35.40M,,-3.80M,-44.90M,,2016-09,119.90M,-0.20M,117.50M,,2016-09,4.50M,-4.50M,-17.90M,69.20M,23.70M,,2016-09,Restated
2016-06,143.40M,,,15.50M,6.20M,21.70M,21.70M,-15.10M,8.40M,,8.40M,-6.80M,-2.10M,-9.30M,10.10M,,,-8.10M,162.10M,,2016-06,1.20M,1.20M,0.00,,-75.90M,-95.30M,,2016-06,0.00,3.80M,18.50M,-35.40M,-16.90M,-35.50M,-35.50M,,-4.00M,-52.60M,,2016-06,106.30M,-0.60M,119.90M,,2016-06,0.00,0.00,-35.40M,88.80M,1.60M,,2016-06,Restated
2016-03,131.30M,,,14.90M,6.10M,21.00M,21.00M,9.40M,5.80M,,5.80M,-4.50M,-9.90M,-15.50M,-8.50M,,,-38.40M,141.60M,,2016-03,0.20M,0.20M,0.00,,-60.30M,-79.60M,,2016-03,-0.80M,2.80M,9.90M,-23.10M,-13.20M,-35.40M,-35.40M,,-3.50M,-49.30M,,2016-03,92.80M,0.80M,106.30M,,2016-03,0.00,-0.80M,-23.10M,17.70M,23.90M,,2016-03,Restated
2015-12,134.50M,,-2.40M,57.80M,6.30M,64.10M,64.10M,1.10M,10.00M,-3.40M,-21.20M,-3.00M,23.80M,-0.20M,-38.70M,,,-18.10M,155.10M,,2015-12,3.00M,3.00M,1.30M,,-62.80M,-74.60M,,2015-12,-1.50M,-53.10M,1.90M,-8.80M,-6.90M,-35.40M,-35.40M,,-10.20M,-105.60M,,2015-12,119.20M,-1.30M,92.80M,,2015-12,0.00,-1.50M,-8.80M,67.70M,1.60M,,2015-12,Restated
2015-09,119.90M,,0.00,-28.20M,6.00M,-22.20M,-22.20M,-9.30M,6.70M,-0.90M,33.60M,-39.80M,-31.30M,10.40M,26.60M,,,-34.10M,113.70M,,2015-09,0.10M,0.10M,-13.10M,,-55.40M,-86.90M,,2015-09,2.30M,13.90M,3.20M,-14.70M,-11.50M,-30.80M,-30.80M,,-2.50M,-30.90M,,2015-09,124.60M,-1.30M,119.20M,,2015-09,5.50M,-3.20M,-14.70M,57.80M,23.80M,,2015-09,Restated
2015-06,123.00M,,0.30M,14.40M,6.20M,20.60M,20.60M,-7.60M,11.60M,-3.00M,8.60M,-13.00M,-11.80M,-11.40M,41.30M,,,5.10M,160.30M,,2015-06,0.40M,0.40M,,,-58.10M,-85.40M,,2015-06,0.00,-17.60M,22.00M,-37.20M,-15.20M,-30.80M,-30.80M,,-1.30M,-64.90M,,2015-06,114.40M,0.20M,124.60M,,2015-06,1.60M,-1.60M,-37.20M,45.70M,1.70M,,2015-06,Restated
2015-03,113.20M,,,13.80M,6.20M,20.00M,20.00M,10.70M,11.50M,-11.00M,0.50M,-23.50M,-24.00M,-27.00M,-3.80M,,,-78.30M,78.10M,,2015-03,0.00,0.00,,,-41.40M,-59.50M,,2015-03,0.00,22.80M,14.50M,-49.70M,-35.20M,-30.90M,-30.90M,,8.00M,-35.30M,,2015-03,132.90M,-1.80M,114.40M,,2015-03,,0.00,-49.70M,20.70M,23.70M,,2015-03,Restated
2014-12,118.70M,,0.20M,14.20M,6.30M,20.50M,20.50M,6.30M,10.80M,-3.60M,7.20M,-1.50M,-3.60M,-18.70M,-37.90M,,,-61.70M,102.40M,,2014-12,-0.60M,-0.60M,0.80M,,-28.90M,-46.00M,,2014-12,3.30M,-1.50M,2.20M,-11.80M,-9.60M,-30.80M,-30.80M,,-4.50M,-46.40M,,2014-12,124.70M,-1.80M,132.90M,,2014-12,-43.20M,0.00,-11.80M,55.30M,1.70M,,2014-12,Restated
2014-09,106.40M,,0.00,13.60M,6.10M,19.70M,19.70M,-0.30M,8.60M,-0.70M,7.90M,-43.50M,-29.10M,3.10M,13.30M,,,-56.20M,88.00M,,2014-09,0.10M,0.10M,0.30M,,-34.70M,-56.60M,,2014-09,0.00,12.70M,-1.30M,-5.00M,-6.30M,-25.60M,-25.60M,,-2.30M,-21.50M,,2014-09,115.80M,-1.00M,124.70M,,2014-09,14.30M,-1.60M,-5.00M,48.00M,23.30M,,2014-09,Restated
2014-06,108.80M,,0.20M,13.60M,6.10M,19.70M,19.70M,-9.60M,10.10M,-2.70M,7.40M,-13.00M,-9.90M,-15.60M,26.00M,,,-12.50M,124.40M,,2014-06,0.30M,0.30M,-41.60M,,-55.70M,-119.70M,,2014-06,0.00,29.80M,19.30M,-40.40M,-21.10M,-25.60M,-25.60M,,-0.20M,-17.10M,,2014-06,127.80M,0.40M,115.80M,,2014-06,33.80M,0.00,-40.40M,71.20M,1.60M,,2014-06,Restated
2014-03,98.20M,,,13.40M,6.20M,19.60M,19.60M,6.80M,8.60M,-6.90M,1.70M,-36.90M,-18.50M,-19.70M,27.50M,,,-47.60M,88.30M,,2014-03,0.20M,0.20M,,,-32.80M,-50.90M,,2014-03,-100.00M,-96.00M,12.80M,-22.10M,-9.30M,-25.60M,-25.60M,,3.80M,-127.10M,,2014-03,217.60M,-0.10M,127.80M,,2014-03,,-100.00M,-22.10M,16.70M,26.20M,,2014-03,Restated
2013-12,96.90M,,,12.90M,6.10M,19.00M,19.00M,6.70M,9.60M,-3.30M,6.30M,-16.50M,3.50M,15.20M,-16.50M,,,-14.30M,122.50M,,2013-12,7.70M,7.70M,0.00,,-32.30M,-44.50M,,2013-12,0.90M,-4.20M,1.30M,-15.10M,-13.80M,-25.50M,-25.50M,,0.80M,-42.70M,,2013-12,182.50M,-0.20M,217.60M,,2013-12,-10.40M,-1.90M,-15.10M,45.50M,1.70M,,2013-12,Restated
2013-09,87.00M,,0.10M,12.80M,6.60M,19.40M,19.40M,-8.10M,9.40M,-0.60M,8.80M,-42.00M,-16.70M,-5.70M,34.30M,,,-30.10M,84.30M,,2013-09,0.20M,0.20M,0.00,,-32.80M,-51.90M,,2013-09,0.00,3.10M,1.80M,-5.40M,-3.60M,-22.10M,-22.10M,,-2.70M,-25.30M,,2013-09,174.70M,0.70M,182.50M,,2013-09,3.10M,0.00,-5.40M,37.90M,26.40M,,2013-09,Restated
2013-06,90.70M,,0.00,13.00M,6.50M,19.50M,19.50M,-3.50M,10.00M,-1.90M,8.10M,1.60M,-15.70M,-10.50M,12.20M,,,-12.40M,110.10M,,2013-06,0.20M,0.20M,-38.20M,,-52.80M,-107.50M,,2013-06,0.00,4.00M,18.70M,-40.40M,-21.70M,-22.30M,-22.30M,,-0.50M,-40.50M,,2013-06,213.60M,-1.00M,174.70M,,2013-06,4.00M,0.00,-40.40M,57.90M,1.50M,,2013-06,Restated
2013-03,85.10M,,-0.10M,12.50M,6.30M,18.80M,18.80M,14.40M,9.50M,-4.00M,5.50M,-18.80M,-3.10M,-9.30M,-24.80M,,,-56.00M,75.70M,,2013-03,0.30M,0.30M,,,-32.10M,-46.50M,,2013-03,0.00,6.10M,7.40M,-21.70M,-14.30M,-22.10M,-22.10M,,1.00M,-29.30M,,2013-03,214.50M,-0.80M,213.60M,,2013-03,6.60M,-0.50M,-21.70M,21.60M,25.90M,,2013-03,Restated
2012-12,86.70M,,0.00,12.60M,6.90M,19.50M,19.50M,25.70M,7.10M,-3.20M,3.90M,-27.70M,14.00M,7.20M,-36.30M,,,-42.80M,102.90M,,2012-12,0.20M,0.20M,27.00M,,-26.80M,-19.50M,,2012-12,,-13.70M,6.50M,-16.30M,-9.80M,-22.10M,-22.10M,,0.70M,-44.90M,,2012-12,176.10M,-0.10M,214.50M,,2012-12,2.50M,-16.20M,-16.30M,33.80M,1.80M,,2012-12,Restated
2012-09,76.40M,,0.00,12.40M,6.60M,19.00M,19.00M,1.00M,8.90M,-2.30M,6.60M,-40.40M,-8.00M,-5.00M,13.70M,,,-39.70M,69.70M,,2012-09,0.20M,0.20M,0.00,,-27.30M,-46.80M,,2012-09,,4.30M,17.80M,-23.70M,-5.90M,-19.80M,-19.80M,,-0.10M,-21.50M,,2012-09,173.60M,1.10M,176.10M,,2012-09,9.90M,-5.60M,-23.70M,20.70M,26.10M,,2012-09,Restated
2012-06,78.50M,,-0.10M,12.60M,6.60M,19.20M,19.20M,-10.80M,7.40M,-0.70M,6.70M,-15.20M,-15.30M,-6.60M,27.00M,,,-10.10M,91.70M,,2012-06,0.30M,0.30M,0.00,,-39.80M,-57.50M,,2012-06,,0.40M,9.20M,-8.20M,1.00M,-19.50M,-19.50M,,-2.00M,-20.10M,,2012-06,161.60M,-2.10M,173.60M,,2012-06,0.20M,0.20M,-8.20M,32.20M,1.50M,,2012-06,Restated
2012-03,73.00M,,-0.80M,12.60M,6.40M,19.00M,19.00M,13.40M,8.70M,-2.00M,6.70M,-1.20M,-4.10M,-20.40M,-27.30M,,,-53.00M,65.00M,,2012-03,1.90M,1.90M,,,-29.40M,-49.30M,,2012-03,,-2.20M,13.30M,-29.90M,-16.60M,-20.10M,-20.10M,,-1.60M,-40.50M,,2012-03,185.60M,0.80M,161.60M,,2012-03,6.50M,-8.70M,-29.90M,6.90M,26.20M,,2012-03,Restated
2011-12,76.10M,,-0.10M,12.50M,6.70M,19.20M,19.20M,14.30M,7.90M,-0.60M,7.30M,-29.70M,8.30M,-1.70M,-26.30M,,,-49.40M,72.30M,,2011-12,0.70M,0.70M,,,-35.50M,-49.40M,,2011-12,0.00,2.10M,,0.00,25.70M,,-20.20M,-28.10M,-1.60M,-22.10M,,2011-12,185.70M,-0.90M,185.60M,,2011-12,4.50M,-2.40M,0.00,20.00M,0.40M,,2011-12,Restated
2011-09,69.80M,,-0.10M,12.60M,6.20M,18.80M,18.80M,-4.80M,0.20M,-0.20M,0.00,-33.20M,-19.40M,-9.00M,13.20M,,,-48.40M,42.00M,,2011-09,0.30M,0.30M,,,-35.90M,-48.90M,,2011-09,-200.00M,-200.70M,,-2.90M,-2.90M,,-19.00M,1.80M,-2.10M,-222.90M,,2011-09,418.20M,-2.70M,185.70M,,2011-09,4.00M,-204.70M,-2.90M,36.90M,34.60M,,2011-09,Restated
2011-06,79.90M,,0.10M,11.80M,6.50M,18.30M,18.30M,-8.00M,6.30M,-0.70M,5.60M,-8.40M,-20.50M,-13.50M,-74.30M,,,-116.70M,-13.70M,,2011-06,2.50M,2.50M,,,-49.30M,-61.50M,,2011-06,,-2.40M,,-16.90M,-16.90M,,-18.60M,14.50M,-1.40M,-24.80M,,2011-06,517.30M,0.90M,418.20M,,2011-06,1.10M,-3.50M,-16.90M,63.20M,0.20M,,2011-06,Restated
2011-03,58.00M,,,12.40M,5.90M,18.30M,18.30M,3.60M,5.90M,-1.30M,4.60M,-17.00M,-29.30M,-11.50M,-6.30M,,,-64.10M,27.90M,,2011-03,0.20M,0.20M,,,-41.40M,-59.80M,,2011-03,,1.60M,,-17.60M,-17.60M,,-18.90M,11.80M,-0.80M,-23.90M,,2011-03,572.20M,0.90M,517.30M,,2011-03,10.10M,-8.50M,-17.60M,8.70M,24.10M,,2011-03,Restated
2010-12,59.80M,,1.00M,12.10M,6.10M,18.20M,18.20M,6.70M,4.60M,-0.90M,3.70M,-32.20M,-6.20M,-3.00M,9.70M,,,-31.70M,64.30M,,2010-12,0.10M,0.10M,0.00,,-48.70M,-76.90M,,2010-12,247.70M,245.60M,,-8.70M,15.00M,,-18.70M,-16.30M,-1.00M,224.60M,,2010-12,359.90M,0.30M,572.20M,,2010-12,250.30M,-4.70M,-8.70M,24.70M,0.80M,,2010-12,Restated
2010-09,48.30M,,-1.20M,11.90M,6.10M,18.00M,18.00M,-7.70M,4.30M,-0.40M,3.90M,-36.00M,-12.80M,0.00,-10.20M,,,-59.00M,10.20M,,2010-09,6.00M,6.00M,0.00,,-65.40M,-69.90M,,2010-09,0.00,2.90M,,0.00,0.00,,-17.60M,3.30M,-1.70M,-13.10M,,2010-09,430.80M,1.90M,359.90M,,2010-09,8.50M,-5.60M,0.00,40.90M,25.90M,,2010-09,Restated
2010-06,46.90M,,,12.40M,5.90M,18.30M,18.30M,-12.80M,3.00M,0.00,-3.90M,-15.00M,-14.00M,-16.20M,35.10M,,,-10.10M,55.50M,,2010-06,1.70M,1.70M,-7.70M,-45.50M,-27.30M,-85.40M,,2010-06,0.00,-2.00M,,0.00,0.00,,-17.60M,11.00M,-1.90M,-10.50M,,2010-06,472.30M,-1.10M,430.80M,,2010-06,3.90M,-5.90M,0.00,42.50M,0.50M,,2010-06,Restated
2010-03,38.00M,,,12.30M,5.90M,18.20M,18.20M,-4.20M,3.00M,-0.20M,9.70M,-33.40M,-22.20M,-6.90M,8.40M,,,-54.10M,10.40M,,2010-03,0.10M,0.10M,,45.50M,-110.70M,-70.80M,,2010-03,-150.00M,-149.00M,,0.00,0.00,,-17.40M,2.00M,-1.80M,-166.20M,,2010-03,699.40M,-0.50M,472.30M,,2010-03,6.80M,-155.80M,0.00,10.20M,28.20M,,2010-03,Restated
2009-12,38.10M,,-0.10M,12.90M,6.30M,19.20M,19.20M,-10.20M,-1.90M,0.00,-6.10M,-34.60M,9.90M,30.30M,42.90M,,,48.50M,96.70M,,2009-12,1.00M,1.00M,0.00,,-70.00M,-85.10M,,2009-12,0.00,-2.40M,,,,,-17.20M,0.40M,-2.20M,-21.40M,,2009-12,709.00M,0.20M,699.40M,,2009-12,-2.40M,0.00,,15.30M,1.30M,,2009-12,Restated
2009-09,26.40M,,0.10M,12.20M,6.10M,18.30M,18.30M,-3.20M,3.10M,0.00,7.30M,-5.40M,26.00M,-16.90M,28.60M,,,32.30M,80.10M,,2009-09,0.20M,0.20M,-8.10M,,-103.70M,-126.30M,,2009-09,248.20M,248.10M,,,,,-17.40M,0.70M,-1.90M,229.50M,,2009-09,524.40M,1.30M,709.00M,,2009-09,248.10M,0.00,,16.60M,21.20M,,2009-09,Restated
2009-06,42.00M,,0.30M,12.80M,6.20M,19.00M,19.00M,3.60M,-4.20M,0.00,-4.20M,29.70M,55.10M,10.40M,-0.30M,,,94.90M,155.60M,,2009-06,-0.10M,-0.10M,0.00,,0.30M,-19.30M,,2009-06,0.00,1.90M,,,,,-17.00M,3.30M,-3.20M,-15.00M,,2009-06,400.70M,2.40M,524.40M,,2009-06,1.90M,0.00,,12.80M,1.50M,,2009-06,Restated
2009-03,37.20M,,0.10M,12.00M,6.10M,18.10M,18.10M,14.60M,0.00,0.00,0.00,28.90M,7.40M,-9.70M,-81.90M,,,-55.30M,14.70M,,2009-03,0.20M,0.20M,,,2.90M,-11.00M,,2009-03,297.70M,300.00M,,,,,-17.40M,0.10M,-0.20M,282.50M,,2009-03,115.80M,-1.30M,400.70M,,2009-03,300.00M,0.00,,10.60M,12.40M,,2009-03,Restated
2008-12,60.50M,0.10M,-0.60M,11.30M,5.70M,17.00M,17.00M,23.00M,1.10M,0.00,1.10M,49.10M,10.20M,-13.60M,-98.90M,,,-53.20M,47.80M,,2008-12,2.80M,2.80M,-0.30M,,-3.10M,-26.20M,,2008-12,0.00,-2.60M,,0.00,0.00,,-17.40M,0.40M,-1.80M,-21.40M,,2008-12,118.30M,-2.70M,115.80M,,2008-12,0.00,7.30M,0.00,27.30M,2.00M,,2008-12,Restated
2008-09,55.00M,-0.10M,0.10M,12.20M,6.30M,18.50M,18.50M,6.90M,3.90M,-0.30M,3.60M,-8.50M,-23.00M,-9.70M,-18.60M,,,-59.80M,24.30M,,2008-09,0.00,0.00,0.00,,-0.40M,-15.40M,,2008-09,0.00,-6.60M,,-3.50M,-3.50M,,-17.40M,2.30M,-3.90M,-29.10M,,2008-09,140.60M,-2.10M,118.30M,,2008-09,0.00,-7.30M,-3.50M,24.60M,11.60M,,2008-09,Restated
2008-06,70.40M,,0.00,12.40M,6.40M,18.80M,18.80M,1.10M,4.30M,-2.60M,1.70M,0.60M,-28.30M,0.90M,8.70M,,,-18.10M,73.90M,,2008-06,6.80M,6.80M,-0.40M,,-4.30M,-15.80M,,2008-06,0.00,1.30M,,-45.50M,-45.50M,,-17.40M,27.80M,2.40M,-31.40M,,2008-06,114.30M,-0.40M,140.60M,,2008-06,0.00,,-45.50M,18.20M,3.60M,,2008-06,Restated
2008-03,57.70M,,-0.20M,12.00M,5.70M,17.70M,17.70M,15.30M,3.70M,-2.80M,0.90M,-14.10M,-11.20M,13.10M,-4.80M,,,-17.00M,74.40M,,2008-03,0.90M,0.90M,-13.40M,,-0.80M,-28.70M,,2008-03,0.00,-2.00M,,-20.80M,-20.80M,,-17.50M,11.20M,2.60M,-26.50M,,2008-03,93.00M,2.10M,114.30M,,2008-03,0.00,,-20.80M,9.80M,14.80M,,2008-03,Restated
2007-12,57.30M,,-4.70M,16.20M,9.20M,25.40M,25.40M,12.30M,,,4.60M,-17.50M,9.40M,-12.00M,-28.70M,,8.10M,-40.70M,54.20M,,2007-12,2.20M,45.40M,-0.60M,,-0.50M,-17.60M,,2007-12,,-11.80M,-38.10M,-8.60M,-46.70M,,-17.40M,,0.00,-36.70M,,2007-12,92.60M,0.50M,93.00M,,2007-12,,,-8.60M,,,,2007-12,Restated
2007-09,41.10M,,-2.40M,12.20M,4.30M,16.50M,16.50M,-4.80M,,,4.40M,7.50M,2.10M,-5.70M,-19.50M,,20.20M,4.60M,59.40M,,2007-09,5.30M,-10.30M,-1.00M,,1.00M,-10.30M,,2007-09,,4.90M,2.70M,-21.50M,-18.80M,,-15.80M,,-0.10M,-29.80M,,2007-09,72.00M,1.30M,92.60M,,2007-09,,,-21.50M,,,,2007-09,
