,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-12,1.054B,1.054B,534.50M,520.00M,,0.00,,13.60M,0.10M,-13.50M,307.60M,307.60M,212.40M,0.10M,13.60M,-13.50M,-1.90M,-13.50M,197.00M,63.80M,133.20M,,,-3.70M,129.50M,23.80M,210.60M,,2017-12,2.28,2.295,2.28,,2017-12,2.24,2.255,2.24,,57.70M,0.82,,2017-12,AOR,Restated
2017-09,982.80M,982.80M,478.00M,504.80M,,0.00,,13.10M,0.00,-13.10M,296.10M,296.10M,208.70M,0.00,13.10M,-13.10M,-1.70M,-13.10M,193.90M,57.20M,137.10M,,,-3.70M,133.40M,23.50M,207.00M,,2017-09,2.33,2.354,2.33,,2017-09,2.29,2.314,2.29,,58.30M,0.71,,2017-09,AOR,Restated
2017-06,999.10M,999.10M,481.30M,517.80M,,0.00,,13.00M,0.10M,-12.90M,279.50M,279.50M,238.30M,0.10M,13.00M,-12.90M,-2.00M,-12.90M,223.40M,67.30M,156.80M,,,-3.60M,153.20M,22.80M,236.40M,,2017-06,2.65,2.674,2.65,,2017-06,2.60,2.624,2.60,,59.00M,0.71,,2017-06,AOR,Restated
2017-03,963.90M,963.90M,463.10M,500.80M,,0.00,,12.70M,0.10M,-12.60M,278.10M,278.10M,222.70M,0.10M,12.70M,-12.60M,-2.50M,-12.60M,207.60M,62.60M,145.10M,,,-3.50M,141.60M,23.10M,220.30M,,2017-03,2.45,2.470,2.45,,2017-03,2.39,2.410,2.39,,59.30M,0.71,,2017-03,AOR,Restated
2016-12,964.00M,964.00M,467.70M,496.30M,,,,13.10M,0.10M,-13.00M,261.70M,261.70M,234.60M,0.10M,13.10M,-13.00M,-7.30M,-13.00M,214.30M,64.90M,149.70M,,,-3.40M,146.30M,21.70M,227.40M,,2016-12,2.52,2.525,2.52,,2016-12,2.47,2.475,2.47,,59.40M,0.71,,2016-12,AOR,Restated
2016-09,905.70M,905.70M,436.00M,469.70M,,,,13.10M,0.20M,-12.90M,261.50M,261.50M,208.20M,0.20M,13.10M,-12.90M,-1.00M,-12.90M,194.30M,59.60M,135.20M,,,-3.50M,131.70M,21.20M,207.40M,,2016-09,2.27,2.282,2.27,,2016-09,2.22,2.232,2.22,,59.30M,0.61,,2016-09,AOR,Restated
2016-06,941.60M,941.60M,460.80M,480.80M,,,,12.90M,0.20M,-12.70M,264.90M,264.90M,215.90M,0.20M,12.90M,-12.70M,1.00M,-12.70M,204.20M,62.20M,143.40M,,,-3.30M,140.10M,21.70M,217.10M,,2016-06,2.41,2.398,2.41,,2016-06,2.36,2.348,2.36,,59.40M,0.61,,2016-06,AOR,Restated
2016-03,900.50M,900.50M,438.20M,462.30M,,,,13.10M,0.10M,-13.00M,259.90M,259.90M,202.40M,0.10M,13.10M,-13.00M,-0.80M,-13.00M,188.60M,57.60M,131.30M,,,-3.00M,128.30M,21.00M,201.70M,,2016-03,2.21,2.221,2.21,,2016-03,2.16,2.170,2.16,,59.50M,0.61,,2016-03,AOR,Restated
2015-12,914.80M,914.80M,457.50M,457.30M,,,,13.00M,0.20M,-12.80M,250.00M,250.00M,207.30M,0.20M,13.00M,-12.80M,-0.70M,-12.80M,193.80M,59.30M,134.50M,,,-3.10M,131.40M,64.10M,206.80M,,2015-12,2.26,2.267,2.26,,2015-12,2.22,2.227,2.22,,59.10M,0.61,,2015-12,AOR,Restated
2015-09,882.60M,882.60M,432.20M,450.40M,,,,13.00M,0.10M,-12.90M,263.30M,263.30M,187.10M,0.10M,13.00M,-12.90M,-0.60M,-12.90M,173.60M,53.90M,119.90M,,,-3.10M,116.80M,-22.20M,186.60M,,2015-09,2.01,2.017,2.01,,2015-09,1.98,1.987,1.98,,59.10M,0.53,,2015-09,AOR,Restated
2015-06,910.50M,910.50M,450.10M,460.40M,,,,12.90M,0.10M,-12.80M,268.20M,268.20M,192.20M,0.10M,12.90M,-12.80M,-0.80M,-12.80M,178.60M,56.20M,123.00M,,,-3.00M,120.00M,20.60M,191.50M,,2015-06,2.07,2.078,2.07,,2015-06,2.03,2.038,2.03,,59.10M,0.53,,2015-06,AOR,Restated
2015-03,885.20M,885.20M,434.80M,450.40M,,,,13.00M,0.10M,-12.90M,272.20M,272.20M,178.20M,0.10M,13.00M,-12.90M,-0.80M,-12.90M,164.50M,51.80M,113.20M,,,-2.70M,110.50M,20.00M,177.50M,,2015-03,1.90,1.909,1.90,,2015-03,1.87,1.879,1.87,,59.10M,0.53,,2015-03,AOR,Restated
2014-12,916.80M,916.80M,463.30M,453.50M,,,,13.80M,0.20M,-13.60M,266.10M,266.10M,187.40M,0.20M,13.80M,-13.60M,-0.40M,-13.60M,173.40M,54.90M,118.70M,,,-2.50M,116.20M,20.50M,187.20M,,2014-12,2.00,2.005,2.00,,2014-12,1.97,1.975,1.97,,59.40M,0.53,,2014-12,AOR,Restated
2014-09,859.90M,859.90M,428.30M,431.60M,,,,12.70M,0.10M,-12.60M,263.30M,263.30M,168.30M,0.10M,12.70M,-12.60M,-1.00M,-12.60M,154.70M,48.40M,106.40M,,,-2.70M,103.70M,19.70M,167.40M,,2014-09,1.78,1.792,1.78,,2014-09,1.76,1.772,1.76,,59.00M,0.44,,2014-09,AOR,Restated
2014-06,878.20M,878.20M,443.00M,435.20M,,,,12.70M,0.10M,-12.60M,262.30M,262.30M,172.90M,0.10M,12.70M,-12.60M,0.20M,-12.60M,160.50M,51.90M,108.80M,,,-2.70M,106.10M,19.70M,173.20M,,2014-06,1.83,1.829,1.83,,2014-06,1.80,1.799,1.80,,59.00M,0.44,,2014-06,AOR,Restated
2014-03,837.70M,837.70M,424.60M,413.10M,,,,13.70M,0.10M,-13.60M,257.00M,257.00M,156.10M,0.10M,13.70M,-13.60M,-0.20M,-13.60M,142.30M,44.30M,98.20M,,,-2.30M,95.90M,19.60M,156.00M,,2014-03,1.65,1.652,1.65,,2014-03,1.62,1.622,1.62,,59.10M,0.44,,2014-03,AOR,Restated
2013-12,844.90M,844.90M,433.40M,411.50M,,,,14.30M,0.20M,-14.10M,254.90M,254.90M,156.60M,0.20M,14.30M,-14.10M,-1.00M,-14.10M,141.50M,44.60M,96.90M,,,-2.40M,94.50M,19.00M,155.80M,,2013-12,1.63,1.642,1.63,,2013-12,1.60,1.612,1.60,,59.10M,0.44,,2013-12,AOR,Restated
2013-09,798.30M,798.30M,402.40M,395.90M,,,,14.40M,0.10M,-14.30M,253.00M,253.00M,142.90M,0.10M,14.40M,-14.30M,-0.90M,-14.30M,127.70M,40.80M,87.00M,,,-2.40M,84.60M,19.40M,142.10M,,2013-09,1.45,1.460,1.45,,2013-09,1.43,1.440,1.43,,59.00M,0.38,,2013-09,AOR,Restated
2013-06,808.60M,808.60M,404.80M,403.80M,,,,13.80M,0.10M,-13.70M,255.40M,255.40M,148.40M,0.10M,13.80M,-13.70M,-1.80M,-13.70M,132.90M,42.50M,90.70M,,,-2.30M,88.40M,19.50M,146.70M,,2013-06,1.52,1.541,1.52,,2013-06,1.50,1.521,1.50,,59.00M,0.38,,2013-06,AOR,Restated
2013-03,785.70M,785.70M,398.30M,387.40M,,,,13.60M,0.10M,-13.50M,249.10M,249.10M,138.30M,0.10M,13.60M,-13.50M,-0.70M,-13.50M,124.10M,38.80M,85.10M,,,-2.30M,82.80M,18.80M,137.70M,,2013-03,1.42,1.428,1.42,,2013-03,1.40,1.408,1.40,,59.20M,0.38,,2013-03,AOR,Restated
2012-12,796.10M,796.10M,414.80M,381.30M,,,,14.40M,0.10M,-14.30M,240.60M,240.60M,140.70M,0.10M,14.40M,-14.30M,0.00,-14.30M,126.40M,39.80M,86.70M,,,-2.10M,84.60M,19.50M,140.80M,,2012-12,1.45,1.448,1.45,,2012-12,1.43,1.428,1.43,,59.20M,0.38,,2012-12,AOR,Restated
2012-09,752.10M,752.10M,383.80M,368.30M,,,,13.60M,0.00,-13.60M,244.20M,244.20M,124.10M,0.00,13.60M,-13.60M,-0.20M,-13.60M,110.30M,34.90M,76.40M,,,-2.30M,74.10M,19.00M,123.90M,,2012-09,1.27,1.272,1.27,,2012-09,1.26,1.262,1.26,,58.90M,0.34,,2012-09,AOR,Restated
2012-06,777.80M,777.80M,402.30M,375.50M,,,,13.90M,0.30M,-13.60M,245.30M,245.30M,130.20M,0.30M,13.90M,-13.60M,-0.20M,-13.60M,116.40M,38.30M,78.50M,,,-2.10M,76.40M,19.20M,130.30M,,2012-06,1.31,1.311,1.31,,2012-06,1.30,1.301,1.30,,58.80M,0.34,,2012-06,AOR,Restated
2012-03,773.20M,773.20M,401.60M,371.60M,,,,13.90M,0.20M,-13.70M,250.20M,250.20M,121.40M,0.20M,13.90M,-13.70M,-0.60M,-13.70M,107.10M,35.20M,73.00M,,,-2.00M,71.00M,19.00M,121.00M,,2012-03,1.22,1.227,1.22,,2012-03,1.21,1.217,1.21,,58.80M,0.34,,2012-03,AOR,Restated
2011-12,860.90M,860.90M,452.20M,408.70M,,-50.80M,,13.50M,0.30M,-13.20M,,232.00M,176.70M,0.30M,13.50M,-13.20M,-52.10M,-13.20M,111.40M,36.20M,76.10M,,,-1.80M,74.30M,19.20M,124.90M,,2011-12,1.28,1.887,1.28,,2011-12,1.27,1.871,1.27,,58.70M,0.34,,2011-12,AOR,Restated
2011-09,697.20M,697.20M,367.90M,329.30M,235.00M,20.80M,,15.10M,0.30M,-14.80M,,235.00M,94.30M,0.30M,15.10M,-14.80M,18.80M,-14.80M,98.30M,30.50M,69.80M,,,-2.00M,67.80M,18.80M,113.40M,,2011-09,1.16,0.9372,1.16,,2011-09,1.16,0.9391,1.16,,58.70M,0.32,,2011-09,AOR,Restated
2011-06,726.70M,726.70M,384.50M,342.20M,243.40M,35.50M,,16.30M,0.40M,-15.90M,,243.40M,98.80M,0.40M,16.30M,-15.90M,36.00M,-15.90M,118.90M,39.80M,79.90M,,,-1.90M,78.00M,18.30M,135.20M,,2011-06,1.34,0.9285,1.34,,2011-06,1.33,0.9227,1.33,,58.80M,0.32,,2011-06,AOR,Restated
2011-03,693.70M,693.70M,363.10M,330.60M,243.30M,12.50M,,16.30M,0.40M,-15.90M,,243.30M,87.30M,0.40M,16.30M,-15.90M,12.50M,-15.90M,84.30M,27.20M,58.00M,,,-1.80M,56.20M,18.30M,100.60M,,2011-03,0.97,0.8245,0.97,,2011-03,0.96,0.8158,0.96,,58.70M,0.32,,2011-03,AOR,Restated
2010-12,759.20M,759.20M,426.30M,332.90M,,0.00,,14.10M,0.30M,-13.80M,899.10M,236.00M,96.90M,0.30M,14.10M,-13.80M,0.30M,-13.80M,83.40M,24.50M,59.80M,,,-1.90M,57.90M,18.20M,97.50M,,2010-12,1.00,0.9988,1.00,,2010-12,0.99,0.9888,0.99,,58.70M,0.32,,2010-12,AOR,Restated
2010-09,653.10M,653.10M,351.90M,301.20M,222.40M,-0.20M,,13.50M,0.50M,-13.00M,-5.00M,217.40M,83.80M,0.50M,13.50M,-13.00M,0.20M,-13.00M,71.00M,23.80M,48.30M,,,-1.80M,46.50M,18.00M,84.50M,,2010-09,0.80,0.7977,0.80,,2010-09,0.80,0.7977,0.80,,58.40M,0.30,,2010-09,AOR,Restated
2010-06,647.60M,647.60M,343.80M,303.80M,224.80M,2.00M,,13.20M,0.30M,-12.90M,,224.80M,79.00M,0.30M,13.20M,-12.90M,0.60M,-12.90M,66.70M,20.30M,46.90M,,,-1.60M,45.30M,18.30M,79.90M,,2010-06,0.78,0.7728,0.78,,2010-06,0.78,0.7728,0.78,,58.30M,0.30,,2010-06,AOR,Restated
2010-03,621.60M,621.60M,334.00M,287.60M,215.90M,-1.80M,,14.00M,0.20M,-13.80M,,215.90M,71.70M,0.20M,14.00M,-13.80M,-1.60M,-13.80M,56.30M,19.00M,38.00M,,,-1.20M,36.80M,18.20M,70.30M,,2010-03,0.64,0.6583,0.64,,2010-03,0.63,0.6482,0.63,,58.30M,0.30,,2010-03,AOR,Restated
2009-12,566.50M,566.50M,303.40M,263.10M,,17.90M,,14.70M,0.30M,-14.40M,,213.20M,49.90M,0.30M,14.70M,-14.40M,18.50M,-14.40M,54.00M,16.50M,38.10M,,,-1.50M,36.60M,19.20M,68.70M,,2009-12,0.64,0.4257,0.64,,2009-12,0.63,0.4164,0.63,,58.20M,0.30,,2009-12,AOR,Restated
2009-09,587.80M,587.80M,332.60M,255.20M,,-0.40M,,12.80M,0.60M,-12.20M,,206.50M,48.70M,0.60M,12.80M,-12.20M,-0.40M,-12.20M,36.10M,10.30M,26.40M,,,-1.00M,25.40M,18.30M,48.90M,,2009-09,0.44,0.4450,0.44,,2009-09,0.44,0.4449,0.44,,57.80M,0.30,,2009-09,AOR,Restated
2009-06,590.00M,590.00M,336.00M,254.00M,200.30M,17.70M,,11.60M,,-11.60M,,200.30M,53.70M,,11.60M,-11.60M,17.70M,-11.60M,59.80M,17.60M,42.00M,,,-4.60M,37.40M,19.00M,71.40M,,2009-06,0.65,0.4335,0.65,,2009-06,0.65,0.4343,0.65,,57.90M,0.30,,2009-06,AOR,Restated
2009-03,572.60M,572.60M,313.90M,258.70M,204.40M,9.70M,,8.60M,,-8.60M,,204.40M,54.30M,,8.60M,-8.60M,9.70M,-8.60M,55.40M,18.30M,37.20M,,,-2.40M,34.80M,18.10M,64.00M,,2009-03,0.61,0.4970,0.61,,2009-03,0.60,0.4876,0.60,,57.80M,0.30,,2009-03,AOR,Restated
2008-12,606.10M,606.10M,334.50M,271.60M,,36.80M,,8.70M,,-2.10M,,211.40M,60.20M,,8.70M,-2.10M,36.80M,-2.10M,88.30M,28.20M,60.50M,,,-1.90M,58.60M,17.00M,97.00M,,2008-12,1.02,0.5844,1.02,,2008-12,1.01,0.5767,1.01,,57.80M,0.30,,2008-12,AOR,Restated
2008-09,715.80M,715.80M,398.80M,317.00M,,1.00M,,6.80M,,-6.80M,,230.60M,86.40M,,6.80M,-6.80M,1.00M,-6.80M,80.60M,26.80M,55.00M,,,-0.40M,54.60M,18.50M,87.40M,,2008-09,0.95,0.9384,0.95,,2008-09,0.94,0.9285,0.94,,58.20M,0.30,,2008-09,,Restated
2008-06,766.10M,766.10M,419.60M,346.50M,245.60M,12.10M,,8.80M,,-8.80M,,245.60M,100.90M,,8.80M,-8.80M,12.10M,-8.80M,104.20M,34.50M,70.40M,,,-3.50M,66.90M,18.80M,113.00M,,2008-06,1.16,1.019,1.16,,2008-06,1.15,1.011,1.15,,58.10M,0.30,,2008-06,,Restated
2008-03,721.60M,721.60M,395.70M,325.90M,245.50M,13.80M,,9.50M,,-9.50M,,245.50M,80.40M,,9.50M,-9.50M,13.80M,-9.50M,84.70M,28.30M,57.70M,,,-1.10M,56.60M,17.70M,94.20M,,2008-03,0.98,0.8202,0.98,,2008-03,0.97,0.8121,0.97,,58.20M,0.30,,2008-03,,Restated
2007-12,742.90M,742.90M,409.50M,333.40M,245.10M,4.70M,,,,,,259.50M,73.90M,,,,2.30M,,85.70M,25.90M,57.30M,0.00,,,57.30M,25.40M,101.80M,,2007-12,0.99,0.9331,0.99,,2007-12,0.98,0.9237,0.98,,58.30M,0.30,,2007-12,,Restated
2007-09,680.70M,680.70M,379.80M,300.90M,234.10M,6.20M,,,,,-5.60M,228.50M,72.40M,,,,6.80M,,62.70M,21.60M,41.10M,,,-1.30M,41.10M,16.50M,72.40M,,2007-09,0.71,0.6396,0.71,,2007-09,0.70,0.6304,0.70,,58.40M,0.27,,2007-09,,
2007-06,711.90M,711.90M,389.50M,322.40M,240.10M,5.30M,,,,,-5.10M,235.00M,87.40M,,,,5.90M,,78.20M,25.40M,52.80M,-9.00M,,-1.20M,43.80M,17.30M,87.40M,,2007-06,0.91,0.8484,0.75,,2007-06,0.90,0.8391,0.74,,58.80M,0.27,,2007-06,,
2007-03,705.70M,705.70M,395.80M,309.90M,244.90M,0.10M,,,,,133.70M,378.60M,-68.70M,,,,0.10M,,58.60M,19.50M,38.00M,,,,38.00M,16.50M,-68.70M,,2007-03,0.65,0.6489,0.67,,2007-03,0.64,0.6389,0.66,,59.00M,0.27,,2007-03,,
2006-12,651.40M,651.40M,368.70M,282.70M,267.10M,87.80M,,,,,-5.00M,262.10M,20.60M,,,,87.80M,,56.50M,15.50M,37.30M,0.70M,,-1.10M,38.00M,14.90M,20.60M,,2006-12,0.64,-0.4473,0.65,,2006-12,0.63,-0.4408,0.64,,59.50M,0.27,,2006-12,,
2006-09,594.70M,594.70M,336.10M,258.60M,216.00M,3.40M,,,,,-3.00M,213.00M,45.60M,,,,3.40M,,42.40M,14.80M,27.60M,0.60M,,-0.90M,28.20M,11.80M,45.60M,,2006-09,0.47,0.4320,0.48,,2006-09,0.47,0.4324,0.48,,58.80M,0.27,,2006-09,,
2006-06,621.70M,621.70M,341.80M,279.90M,224.90M,-73.40M,,,,,-3.00M,221.90M,58.00M,,,,-73.40M,,15.60M,3.90M,11.70M,,,-0.90M,11.70M,12.70M,58.00M,,2006-06,0.20,1.146,0.20,,2006-06,0.20,1.135,0.20,,58.90M,0.27,,2006-06,,
2006-03,593.50M,593.50M,333.20M,260.30M,222.90M,0.80M,,,,,-2.00M,220.90M,39.40M,,,,0.80M,,33.80M,11.70M,22.10M,,,,22.10M,12.50M,39.40M,,2006-03,0.38,0.3710,0.38,,2006-03,0.37,0.3611,0.37,,59.10M,0.27,,2006-03,,
2005-12,492.40M,492.40M,297.30M,195.10M,171.80M,21.00M,,,,,,156.10M,39.00M,,,,21.00M,,39.70M,15.60M,22.70M,,,,27.40M,12.60M,39.00M,,2005-12,0.40,0.1794,0.48,,2005-12,0.39,0.1717,0.47,,58.40M,0.25,,2005-12,,
2005-09,567.20M,567.20M,306.90M,260.30M,217.50M,-0.50M,,,,,,217.50M,42.80M,,,,-0.50M,,36.70M,15.70M,21.00M,,,,21.00M,12.20M,42.80M,,2005-09,0.36,0.3652,0.36,,2005-09,0.36,0.3651,0.36,,58.60M,0.25,,2005-09,,
2005-06,608.60M,608.60M,323.80M,284.80M,237.50M,-0.80M,,,,,,237.50M,47.30M,,,,-0.80M,,40.90M,14.30M,26.60M,,,,26.60M,12.80M,47.30M,,2005-06,0.46,0.4690,0.46,,2005-06,0.46,0.4689,0.46,,58.30M,0.25,,2005-06,,
2005-03,598.70M,598.70M,341.80M,256.90M,226.90M,3.40M,,,,,-4.30M,222.60M,34.30M,,,,3.40M,,27.50M,9.60M,17.90M,,,,17.90M,14.60M,34.30M,,2005-03,0.31,0.2717,0.31,,2005-03,0.31,0.2720,0.31,,58.30M,0.25,,2005-03,,
2004-12,610.00M,610.00M,371.10M,238.90M,200.90M,4.70M,,,,,,200.90M,38.00M,,,,4.70M,,37.10M,13.10M,24.00M,,,,24.00M,12.90M,38.00M,,2004-12,0.41,0.3575,0.41,,2004-12,0.41,0.3575,0.41,,57.90M,0.25,,2004-12,,
2004-09,568.80M,568.80M,311.50M,257.30M,220.80M,-0.80M,,,,,,220.80M,36.50M,,,,-0.80M,,29.60M,6.80M,22.80M,,,,22.80M,14.00M,36.50M,,2004-09,0.39,0.4007,0.39,,2004-09,0.39,0.4006,0.39,,58.20M,0.25,,2004-09,,
2004-06,612.10M,612.10M,335.40M,276.70M,235.90M,-0.90M,,,,,,235.90M,40.80M,,,,-0.90M,,34.20M,12.00M,22.20M,,,,22.20M,15.20M,40.80M,,2004-06,0.38,0.3901,0.38,,2004-06,0.38,0.3900,0.38,,58.50M,0.25,,2004-06,,
2004-03,616.30M,616.30M,345.80M,270.50M,243.50M,-1.90M,,,,,,243.50M,27.00M,,,,-1.90M,,19.50M,6.80M,12.70M,,,,12.70M,18.90M,27.00M,,2004-03,0.22,0.2413,0.22,,2004-03,0.22,0.2411,0.22,,58.70M,0.25,,2004-03,,
2003-12,599.30M,599.30M,347.90M,251.40M,228.20M,-34.20M,,,,,-12.10M,216.10M,35.30M,,,,-34.20M,,26.60M,9.30M,17.30M,,,,17.30M,16.80M,35.30M,,2003-12,0.30,0.6822,0.30,,2003-12,0.30,0.6809,0.30,,58.40M,0.25,,2003-12,,
2003-09,525.60M,525.60M,303.80M,221.80M,200.70M,7.60M,,,,,-10.00M,190.70M,31.10M,,,,7.60M,,22.90M,5.20M,17.70M,,,,17.70M,13.60M,31.10M,,2003-09,0.30,0.1992,0.30,,2003-09,0.30,0.1994,0.30,,58.40M,0.25,,2003-09,,
2003-06,565.20M,565.20M,319.10M,246.10M,216.60M,10.80M,,,,,-11.20M,205.40M,40.70M,,,,10.80M,,34.30M,12.00M,22.30M,,,,22.30M,15.20M,40.70M,,2003-06,0.38,0.2594,0.38,,2003-06,0.38,0.2598,0.38,,58.40M,0.25,,2003-06,,
2003-03,543.10M,543.10M,297.70M,245.40M,212.90M,6.80M,,,,,-10.50M,202.40M,43.00M,,,,6.80M,,32.90M,11.50M,21.40M,,,,21.40M,14.70M,43.00M,,2003-03,0.37,0.2940,0.37,,2003-03,0.37,0.2941,0.37,,58.30M,0.25,,2003-03,,
2002-12,549.50M,549.50M,299.50M,250.00M,201.30M,-28.20M,,,,,,163.60M,86.40M,,,,-28.20M,,51.70M,18.60M,33.10M,,0.00,,33.10M,12.60M,86.40M,,2002-12,0.57,0.8802,0.57,,2002-12,0.5617,0.8703,0.5638,,58.50M,0.25,,2002-12,,
2002-09,502.40M,502.40M,274.60M,227.80M,197.20M,6.40M,,,,,,197.20M,30.60M,,,,6.40M,,30.10M,10.90M,19.20M,,,,19.20M,12.60M,30.60M,,2002-09,0.33,0.2601,0.33,,2002-09,0.3271,0.2575,0.3271,,58.70M,0.24,,2002-09,,
2002-06,547.20M,547.20M,295.80M,251.40M,202.80M,4.50M,,,,,,202.80M,48.60M,,,,4.50M,,45.60M,16.40M,29.20M,,,,29.20M,12.60M,48.60M,,2002-06,0.50,0.4505,0.50,,2002-06,0.50,0.4509,0.50,,58.70M,0.24,,2002-06,,
