,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2018-03,511.80M,1.079B,1.591B,776.70M,776.70M,5.30M,161.80M,289.40M,456.50M,327.90M,,,,3.152B,,,,,1.379B,,1.379B,,1.379B,5.037B,3.874B,8.912B,,387.40M,10.68B,13.83B,57.10M,,,57.10M,582.80M,639.90M,,,,167.50M,,167.50M,,,,134.60M,942.00M,,2.679B,350.20M,3.029B,442.70M,442.70M,303.80M,3.776B,4.718B,0.00,2.497B,8.351B,1.690B,,-45.70M,9.113B
2017-12,584.40M,889.70M,1.474B,726.50M,726.50M,4.70M,148.60M,307.10M,460.40M,292.90M,,,,2.954B,0.0,9.60M,427.90M,324.50M,,723.70M,1.486B,-160.30M,1.325B,5.037B,3.954B,8.992B,,312.20M,10.63B,13.58B,70.80M,30.70M,99.10M,200.60M,509.60M,710.20M,,0.00,167.40M,167.40M,,167.40M,,,,74.90M,952.50M,,2.721B,342.90M,3.064B,365.00M,365.00M,309.10M,3.738B,4.690B,0.00,2.242B,8.290B,1.605B,,-34.40M,8.893B
2017-09,550.00M,979.00M,1.529B,705.00M,705.00M,12.00M,150.00M,279.00M,441.00M,207.00M,,,,2.882B,,,,,1.354B,,1.354B,,1.354B,5.037B,4.032B,9.069B,,338.00M,10.76B,13.64B,35.00M,,,35.00M,703.00M,738.00M,,,,167.00M,,167.00M,18.00M,18.00M,,49.00M,972.00M,,2.763B,333.00M,3.096B,353.00M,353.00M,278.00M,3.727B,4.699B,0.00,2.212B,8.209B,1.44B,,-37.00M,8.944B
2017-06,542.00M,902.00M,1.444B,710.00M,710.00M,19.00M,131.00M,260.00M,410.00M,225.00M,,,,2.789B,,,,,1.233B,,1.233B,,1.233B,5.037B,4.112B,9.149B,,318.00M,10.70B,13.49B,51.00M,,,51.00M,562.00M,613.00M,,,,167.00M,,167.00M,14.00M,14.00M,,62.00M,856.00M,,2.804B,277.00M,3.081B,387.00M,387.00M,290.00M,3.758B,4.614B,0.00,2.134B,8.135B,1.38B,,-14.00M,8.875B
2017-03,713.00M,749.00M,1.462B,660.00M,660.00M,22.00M,171.00M,203.00M,396.00M,215.00M,,,,2.733B,,,,,1.138B,,1.138B,,1.138B,5.037B,4.223B,9.26B,,304.00M,10.70B,13.44B,61.00M,,,61.00M,546.00M,607.00M,,,,167.00M,,167.00M,16.00M,16.00M,,47.00M,837.00M,,2.846B,270.00M,3.116B,384.00M,384.00M,242.00M,3.742B,4.579B,0.00,1.969B,8.06B,1.209B,,36.00M,8.856B
2016-12,966.00M,327.40M,1.293B,649.60M,649.60M,17.40M,142.60M,214.70M,374.70M,260.50M,,,,2.578B,0.0,10.30M,449.90M,273.70M,,495.10M,1.229B,-193.40M,1.036B,5.037B,4.303B,9.340B,,299.00M,10.68B,13.25B,64.10M,38.90M,69.50M,172.50M,399.60M,572.10M,,,,167.00M,,167.00M,36.60M,36.60M,,47.20M,822.90M,,2.888B,233.40M,3.122B,395.50M,395.50M,219.60M,3.737B,4.560B,0.00,1.818B,7.957B,1.141B,,60.50M,8.694B
2016-09,761.99M,550.88M,1.313B,676.84M,676.84M,17.00M,192.28M,153.77M,363.06M,241.77M,,,,2.595B,,,,,931.06M,,931.06M,,931.06M,5.037B,4.468B,9.505B,,262.70M,10.70B,13.29B,44.85M,,,44.85M,485.23M,530.08M,,,,322.94M,,322.94M,63.40M,63.40M,,117.91M,1.034B,,2.929B,224.44M,3.154B,343.79M,343.79M,257.40M,3.755B,4.789B,0.023M,1.725B,7.907B,1.111B,,-16.62M,8.504B
2016-06,597.55M,582.50M,1.180B,609.30M,609.30M,19.78M,157.10M,152.97M,329.85M,242.01M,,,,2.361B,,,,,825.30M,,825.30M,,825.30M,5.037B,4.548B,9.585B,,257.63M,10.67B,13.03B,28.98M,,,28.98M,407.29M,436.27M,,,,79.14M,,79.14M,53.42M,53.42M,,89.64M,658.46M,,3.171B,196.44M,3.368B,570.07M,570.07M,233.94M,4.172B,4.830B,0.023M,1.388B,7.852B,1.041B,,0.694M,8.199B
2016-03,710.20M,317.35M,1.028B,586.25M,586.25M,16.95M,162.98M,114.04M,293.96M,219.75M,,,,2.128B,,,,,749.30M,,749.30M,,749.30M,5.049B,4.628B,9.677B,,248.50M,10.67B,12.80B,42.90M,,,42.90M,359.08M,401.97M,,,,35.36M,,35.36M,78.42M,78.42M,,87.86M,603.61M,,3.213B,172.97M,3.386B,535.91M,535.91M,214.90M,4.137B,4.740B,0.023M,1.273B,7.793B,1.007B,,3.815M,8.062B
2015-12,1.01B,375.00M,1.385B,533.00M,533.00M,18.00M,180.00M,92.00M,290.00M,208.00M,,,,2.416B,0.0,9.00M,252.00M,192.00M,,420.00M,873.00M,-176.00M,697.00M,5.048B,4.708B,9.756B,,228.00M,10.68B,13.10B,57.00M,12.00M,56.00M,125.00M,335.00M,460.00M,,,,166.00M,,166.00M,21.00M,21.00M,,62.00M,709.00M,,3.254B,151.00M,3.405B,529.00M,529.00M,195.00M,4.129B,4.838B,0.00,1.181B,7.727B,711.00M,,62.00M,8.259B
2015-09,1.163B,295.21M,1.458B,512.25M,512.25M,17.57M,106.92M,112.05M,236.54M,272.93M,,,,2.480B,,,,,618.73M,,618.73M,,618.73M,5.016B,4.788B,9.803B,,250.64M,10.67B,13.15B,46.97M,,,46.97M,357.99M,404.96M,,,,175.00M,,175.00M,49.94M,182.56M,132.62M,4.336M,766.86M,,3.325B,149.60M,3.475B,417.32M,417.32M,241.36M,4.133B,4.900B,0.023M,1.114B,7.643B,558.35M,,54.43M,8.253B
2015-06,1.322B,172.23M,1.494B,535.82M,535.82M,21.29M,99.58M,113.48M,234.35M,268.72M,,,,2.533B,,,,,555.39M,,555.39M,,555.39M,5.007B,4.825B,9.832B,,247.43M,10.63B,13.17B,47.04M,,,47.04M,407.34M,454.38M,,,,131.25M,,131.25M,88.37M,130.38M,42.02M,53.15M,769.17M,,3.369B,129.56M,3.498B,,,347.37M,3.846B,4.615B,0.023M,1.298B,7.659B,466.53M,,62.52M,8.553B
2015-03,916.81M,1.008B,1.925B,479.88M,479.88M,14.42M,77.93M,82.14M,174.50M,273.51M,,,,2.853B,,,,,440.49M,,440.49M,,440.49M,254.07M,587.04M,841.11M,,280.34M,1.562B,4.415B,52.87M,,,52.87M,308.41M,361.28M,,,,45.50M,,45.50M,106.62M,106.62M,,67.05M,580.44M,,,114.91M,114.91M,,,202.67M,317.58M,898.02M,0.02M,1.127B,2.713B,442.99M,,119.49M,3.517B
2014-12,944.00M,1.018B,1.962B,432.89M,432.89M,14.57M,107.17M,54.70M,176.44M,225.13M,,,,2.796B,0.0,9.13M,170.36M,136.38M,,214.04M,529.90M,-137.66M,392.25M,254.07M,587.05M,841.12M,,172.57M,1.406B,4.202B,44.02M,94.82M,36.83M,175.67M,263.58M,439.25M,,,,48.00M,,48.00M,58.84M,58.84M,,60.66M,606.74M,,9.50M,107.10M,116.60M,7.046M,7.046M,169.56M,293.20M,899.94M,0.02M,1.036B,2.592B,382.96M,,56.78M,3.302B
2014-09,752.16M,1.030B,1.782B,436.47M,436.47M,13.90M,65.21M,60.93M,140.04M,147.28M,,54.38M,,2.560B,,,,,328.48M,,328.48M,,328.48M,254.07M,597.26M,851.33M,49.62M,101.58M,1.331B,3.891B,23.18M,,,23.18M,278.26M,301.44M,,,,48.00M,,48.00M,98.81M,98.81M,,54.29M,502.54M,,21.50M,87.03M,108.53M,4.971M,4.971M,151.81M,265.31M,767.85M,0.02M,882.68M,2.555B,363.51M,,48.50M,3.123B
2014-06,612.04M,982.32M,1.594B,440.70M,440.70M,16.69M,56.78M,71.38M,144.86M,111.10M,,50.28M,,2.341B,,,,,273.33M,,273.33M,,273.33M,254.07M,599.79M,853.86M,7.417M,77.90M,1.213B,3.554B,36.07M,,,36.07M,204.74M,240.81M,,,,48.00M,,48.00M,72.27M,72.27M,,56.62M,417.70M,,33.50M,59.52M,93.02M,0.096M,0.096M,161.42M,254.53M,672.23M,0.02M,704.95M,2.468B,258.88M,,-32.45M,2.882B
2014-03,528.28M,1.029B,1.557B,429.02M,429.02M,12.19M,68.66M,45.30M,126.15M,87.36M,,45.87M,,2.246B,,,,,218.09M,,218.09M,,218.09M,254.07M,603.02M,857.09M,3.366M,55.24M,1.134B,3.380B,35.34M,,,35.34M,196.37M,231.71M,,,,48.00M,,48.00M,58.86M,58.86M,,58.26M,396.82M,,45.50M,38.42M,83.92M,45.99M,45.99M,151.96M,281.87M,678.69M,0.02M,538.45M,2.291B,102.42M,,-26.44M,2.701B
2013-12,529.86M,984.99M,1.515B,421.75M,421.75M,12.17M,62.19M,28.24M,102.60M,106.22M,,41.43M,,2.187B,0.0,0.692M,155.00M,107.95M,,41.57M,305.21M,-104.10M,201.11M,254.07M,609.72M,863.79M,3.394M,62.54M,1.131B,3.318B,21.60M,108.91M,124.30M,254.80M,169.14M,423.94M,,,,48.00M,,48.00M,53.80M,53.80M,,56.69M,582.43M,,65.00M,32.23M,97.23M,101.24M,101.24M,154.72M,353.19M,935.62M,0.02M,379.10M,2.106B,80.36M,,-22.86M,2.382B
2013-09,910.41M,392.34M,1.303B,404.96M,404.96M,12.97M,61.42M,30.81M,105.20M,78.78M,,23.82M,,1.916B,,,,,178.84M,,178.84M,,178.84M,254.07M,646.14M,900.21M,9.743M,45.50M,1.134B,3.050B,24.42M,,,24.42M,255.78M,280.20M,,,,48.00M,,48.00M,54.37M,54.37M,,12.88M,395.46M,,77.00M,12.25M,89.25M,13.61M,13.61M,196.72M,299.57M,695.03M,0.02M,398.09M,2.049B,80.36M,,-12.22M,2.355B
2013-06,936.46M,182.93M,1.119B,355.28M,355.28M,14.03M,52.78M,45.81M,112.63M,71.44M,,19.89M,,1.679B,,,,,173.72M,,173.72M,,173.72M,254.07M,643.25M,897.32M,9.734M,55.82M,1.137B,2.815B,25.59M,,,25.59M,188.76M,214.35M,,,,48.00M,,48.00M,32.88M,32.88M,,7.757M,302.98M,,89.00M,6.854M,95.85M,20.76M,20.76M,184.11M,300.72M,603.70M,0.02M,304.30M,1.968B,80.36M,,19.53M,2.212B
2013-03,1.023B,,1.023B,323.91M,323.91M,4.481M,57.13M,40.24M,101.86M,81.32M,,20.00M,,1.550B,,,,,164.97M,,164.97M,,164.97M,254.07M,644.96M,899.04M,11.98M,59.86M,1.136B,2.686B,25.59M,,,25.59M,186.96M,212.54M,,,,48.00M,,48.00M,29.79M,29.79M,,5.415M,295.75M,,101.00M,,101.00M,21.12M,21.12M,177.96M,300.08M,595.83M,0.02M,208.42M,1.900B,49.34M,,30.96M,2.090B
2012-12,989.50M,0.00,989.50M,295.60M,295.60M,6.485M,43.90M,44.14M,94.52M,40.54M,,26.09M,31.49M,1.496B,0.0,0.692M,147.84M,92.09M,,4.996M,245.62M,-79.99M,165.63M,253.64M,646.68M,900.32M,13.95M,38.05M,1.118B,2.614B,21.49M,68.43M,62.33M,152.25M,119.02M,271.28M,,,,48.00M,,48.00M,31.27M,31.27M,,9.548M,360.09M,,101.00M,0.00,101.00M,19.83M,19.83M,161.79M,282.62M,642.71M,0.02M,126.20M,1.852B,14.23M,,6.635M,1.971B
2012-09,905.53M,,905.53M,311.37M,311.37M,8.879M,30.37M,50.80M,90.05M,84.27M,,19.18M,,1.410B,,,,,,,,,165.05M,253.84M,648.31M,902.14M,14.51M,13.52M,1.095B,2.506B,21.96M,,,21.96M,247.88M,269.85M,,,,48.00M,,48.00M,35.07M,35.07M,,9.025M,361.94M,,113.00M,,113.00M,,,158.23M,271.23M,633.17M,0.019M,45.23M,1.828B,2.676M,,2.345M,1.872B
2012-06,806.21M,,806.21M,282.72M,282.72M,7.622M,31.01M,55.48M,94.11M,73.99M,,19.13M,,1.276B,,,,,,,,,164.57M,255.40M,675.80M,931.20M,66.43M,19.25M,1.181B,2.458B,23.75M,,,23.75M,270.57M,294.32M,,,,48.00M,,48.00M,27.65M,27.65M,,5.183M,375.16M,,180.00M,,180.00M,,,152.75M,332.75M,707.92M,0.019M,-46.95M,1.783B,2.676M,,16.54M,1.750B
2012-03,359.39M,,359.39M,267.40M,267.40M,8.939M,43.78M,40.19M,92.91M,73.20M,,19.05M,,811.93M,,,,,,,,,165.76M,264.12M,677.20M,941.32M,80.55M,17.90M,1.206B,2.017B,16.02M,,,16.02M,206.86M,222.89M,,,,108.00M,,108.00M,18.88M,18.88M,,3.914M,353.68M,138.03M,247.00M,,247.00M,55.51M,55.51M,9.969M,450.51M,804.18M,0.019M,-83.21M,1.292B,2.676M,,7.556M,1.213B
2011-12,540.86M,,540.86M,244.29M,244.29M,9.677M,37.00M,34.71M,81.39M,18.88M,,19.13M,17.86M,941.27M,0.0,0.692M,141.16M,80.97M,,3.638M,226.46M,-60.61M,165.85M,79.64M,91.60M,171.24M,103.87M,12.52M,453.48M,1.395B,16.03M,18.31M,21.75M,56.08M,143.57M,199.65M,,,,,,,17.90M,17.90M,,10.23M,227.78M,,,,,0.003M,0.003M,32.47M,32.47M,260.26M,0.019M,-128.62M,1.262B,2.676M,,4.179M,1.134B
2011-09,438.15M,7.034M,445.19M,221.29M,221.29M,7.289M,20.26M,50.75M,78.30M,52.58M,,20.00M,,817.36M,,,,,,,,,164.15M,80.03M,92.81M,172.84M,139.46M,11.23M,487.69M,1.305B,14.37M,,,14.37M,172.74M,187.11M,0.718M,,,0.718M,0.712M,1.43M,13.64M,13.64M,,9.067M,211.24M,17.84M,,0.286M,0.286M,10.00M,10.00M,9.943M,38.07M,249.31M,0.019M,-176.79M,1.238B,2.676M,,-3.104M,1.056B
2011-06,347.87M,20.14M,368.01M,212.72M,212.72M,4.377M,50.78M,20.06M,75.22M,23.58M,,20.86M,,700.40M,,,,,,,,,163.76M,80.03M,94.02M,174.05M,135.52M,5.847M,479.18M,1.180B,13.45M,,,13.45M,141.25M,154.69M,0.718M,,,0.718M,0.964M,1.682M,13.92M,13.92M,,17.48M,187.78M,17.60M,,0.378M,0.378M,9.959M,9.959M,10.36M,38.29M,226.07M,0.018M,-242.36M,1.218B,2.676M,,-19.63M,953.50M
2011-03,289.43M,59.35M,348.78M,200.73M,200.73M,4.901M,49.54M,19.96M,74.40M,24.86M,,20.47M,,669.25M,,,,,,,,,160.62M,79.11M,95.30M,174.41M,144.84M,5.401M,485.28M,1.155B,9.025M,,,9.025M,116.62M,125.65M,3.718M,60.00M,,63.72M,1.052M,64.77M,11.62M,11.62M,,15.15M,217.18M,15.62M,,0.462M,0.462M,10.26M,10.26M,9.644M,35.98M,253.16M,0.006M,-277.10M,1.195B,2.676M,,-14.28M,901.36M
2010-12,267.14M,94.46M,361.60M,168.73M,168.73M,4.835M,37.31M,20.02M,62.16M,34.41M,,19.64M,,646.56M,0.0,0.692M,133.43M,67.34M,,3.831M,205.29M,-43.05M,162.24M,19.95M,24.15M,44.10M,154.57M,4.572M,365.48M,1.012B,16.03M,,,16.03M,107.03M,123.06M,,,,,0.715M,0.715M,2.896M,2.896M,,11.85M,138.52M,,3.718M,0.744M,4.462M,0.00,0.00,9.324M,13.79M,152.30M,0.006M,-303.93M,1.173B,2.676M,,-7.14M,859.74M
2010-09,209.96M,88.60M,298.55M,154.09M,154.09M,2.912M,33.51M,23.99M,60.41M,25.47M,,19.71M,,558.24M,,,,,,,,,162.11M,19.95M,25.24M,45.19M,164.45M,12.27M,384.02M,942.26M,13.32M,,,13.32M,88.20M,101.52M,,,,,0.939M,0.939M,4.166M,4.166M,,11.04M,117.66M,,3.718M,0.306M,4.024M,0.217M,0.217M,8.537M,12.78M,130.44M,0.005M,-330.38M,1.149B,2.676M,,-4.599M,811.82M
2010-06,212.10M,36.72M,248.82M,127.02M,127.02M,1.956M,29.65M,26.14M,57.75M,41.37M,,16.82M,,491.78M,,,,,,,,,161.87M,19.95M,26.30M,46.25M,181.10M,8.59M,397.81M,889.59M,10.96M,,,10.96M,73.78M,84.73M,,,,,0.245M,0.245M,2.979M,2.979M,,1.275M,89.23M,,3.718M,0.381M,4.099M,0.205M,0.205M,3.847M,8.151M,97.38M,0.005M,-358.26M,1.132B,2.676M,,21.38M,792.21M
2010-03,186.06M,18.64M,204.70M,126.66M,126.66M,4.928M,25.40M,25.23M,55.55M,26.45M,,16.71M,,430.08M,,,,,,,,,162.97M,19.95M,27.41M,47.37M,187.93M,7.42M,405.68M,835.76M,9.474M,,,9.474M,67.53M,77.01M,,,,,0.328M,0.328M,3.24M,3.24M,,0.86M,81.44M,,8.918M,0.438M,9.356M,0.194M,0.194M,2.303M,11.85M,93.29M,0.005M,-380.03M,1.115B,2.676M,,10.63M,742.48M
2009-12,157.17M,19.05M,176.22M,113.73M,113.73M,2.678M,6.90M,31.31M,40.88M,25.89M,,16.73M,,373.46M,0.0,0.692M,132.68M,56.41M,,3.294M,193.07M,-28.38M,164.69M,19.95M,28.59M,48.54M,194.31M,5.403M,412.94M,786.40M,11.53M,,,11.53M,66.92M,78.44M,,,,,0.422M,0.422M,1.652M,1.652M,,4.743M,85.26M,,9.918M,0.503M,10.42M,0.204M,0.204M,2.158M,12.78M,98.04M,0.005M,-400.96M,1.094B,2.676M,,-1.942M,688.36M
2009-09,165.30M,,165.30M,109.46M,109.46M,2.595M,5.257M,33.15M,41.00M,14.93M,0.487M,0.982M,,332.14M,,,,,,,,,162.22M,19.95M,29.25M,49.20M,5.012M,3.428M,219.86M,552.01M,15.12M,,,15.12M,68.40M,83.52M,,,20.00M,20.00M,0.494M,20.49M,3.283M,3.934M,0.651M,,107.94M,,9.918M,0.496M,10.41M,0.924M,0.924M,5.485M,16.82M,124.77M,0.005M,-638.09M,1.079B,2.676M,,-10.64M,427.24M
2009-06,145.80M,,145.80M,94.95M,94.95M,4.072M,18.16M,23.26M,45.50M,13.00M,,0.979M,,300.23M,,,,,,,,,155.42M,19.95M,30.25M,50.20M,,9.134M,214.76M,514.98M,9.165M,,,9.165M,55.39M,64.56M,,,44.00M,44.00M,0.31M,44.31M,2.71M,3.331M,0.621M,,112.20M,,9.918M,0.044M,9.962M,0.923M,0.923M,5.455M,16.34M,128.54M,0.005M,-664.82M,1.059B,2.676M,,-5.408M,386.45M
2009-03,139.04M,,139.04M,79.99M,79.99M,3.875M,24.61M,20.88M,49.36M,17.01M,,,0.969M,286.37M,,,,,,,,,144.83M,19.95M,31.10M,51.05M,4.147M,5.242M,205.28M,491.64M,7.884M,,12.50M,20.38M,44.41M,64.79M,,,2.50M,2.50M,0.303M,2.803M,1.898M,2.49M,0.592M,,70.08M,,141.22M,0.125M,141.35M,0.906M,0.906M,4.594M,146.85M,216.93M,0.005M,-681.62M,955.23M,2.331M,,3.436M,274.71M
2008-12,138.01M,0.00,138.01M,74.48M,74.48M,3.805M,27.02M,19.00M,49.82M,13.82M,,0.972M,,277.10M,0.0,0.692M,20.58M,30.36M,,110.02M,161.66M,-21.77M,139.88M,19.95M,32.32M,52.28M,3.397M,4.889M,200.45M,477.55M,8.655M,,25.00M,33.66M,46.20M,79.86M,,,2.50M,2.50M,0.296M,2.796M,1.128M,1.767M,0.639M,,84.42M,,141.22M,0.203M,141.42M,0.906M,0.906M,3.801M,146.13M,230.55M,0.005M,-696.13M,941.44M,1.26M,,2.947M,247.00M
2008-09,124.15M,1.70M,125.85M,70.72M,70.72M,6.553M,24.62M,18.55M,49.72M,5.497M,,,18.63M,270.42M,,,,,,,144.82M,-16.37M,128.45M,19.95M,9.992M,29.95M,,1.527M,159.92M,430.34M,9.89M,,,9.89M,41.81M,51.70M,,,,7.29M,,7.29M,2.398M,2.398M,,,61.39M,,194.00M,0.28M,194.28M,,,0.916M,195.20M,256.58M,0.008M,-711.47M,881.51M,1.26M,,4.967M,173.76M
2008-06,106.10M,1.696M,107.80M,56.14M,56.14M,5.931M,33.55M,8.567M,48.05M,16.15M,,,,228.13M,,,,,,,135.76M,-16.37M,119.39M,19.95M,10.24M,30.19M,,1.478M,151.06M,379.19M,6.989M,,,6.989M,35.82M,42.81M,,,,9.784M,,9.784M,2.044M,2.044M,,,54.64M,,196.50M,0.355M,196.86M,,,0.90M,197.76M,252.39M,0.004M,-731.15M,860.81M,1.26M,,-1.60M,126.80M
