,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2018-03,930.40M,930.90M,91.60M,839.30M,257.10M,176.60M,80.00M,-58.20M,24.10M,,-24.10M,,513.70M,325.60M,,24.10M,-24.10M,50.10M,-24.10M,351.60M,102.50M,249.10M,,,249.10M,215.40M,477.20M,101.50M,375.70M,1.12,,,0.9683,1.12,1.11,,,0.9593,1.11,222.10M,223.70M
2017-12,909.40M,909.70M,144.60M,765.10M,296.40M,265.00M,80.00M,-15.10M,25.10M,,-25.10M,,641.40M,123.70M,,25.10M,-25.10M,-9.30M,-25.10M,89.30M,59.30M,30.00M,,,30.00M,35.70M,299.50M,185.10M,114.40M,0.13,,,0.1555,0.13,0.13,,,0.1553,0.13,223.30M,225.10M
2017-09,858.80M,859.10M,157.00M,702.10M,270.60M,195.70M,80.00M,-75.70M,25.00M,,-25.00M,,546.30M,155.80M,,25.00M,-25.00M,-72.60M,-25.00M,58.20M,-19.80M,78.00M,,,78.00M,120.72M,193.60M,110.40M,83.20M,0.35,,,0.5413,0.35,0.35,,,0.5399,0.35,223.30M,225.00M
2017-06,912.20M,912.70M,83.60M,829.10M,265.60M,198.20M,80.10M,-58.50M,24.80M,,-24.80M,,543.90M,285.20M,,24.80M,-24.80M,-54.10M,-24.80M,206.30M,41.10M,165.20M,,,165.20M,208.45M,332.70M,101.60M,231.10M,0.74,,,0.9328,0.74,0.73,,,0.9218,0.73,224.40M,225.50M
2017-03,869.10M,869.60M,69.00M,800.60M,261.80M,219.50M,80.00M,-27.30M,23.50M,,-23.50M,,561.30M,239.30M,,23.50M,-23.50M,-21.80M,-23.50M,194.00M,23.90M,170.10M,,,170.10M,190.62M,317.10M,99.60M,217.50M,0.76,,,0.8514,0.76,0.75,,,0.8407,0.75,224.60M,226.20M
2016-12,830.70M,831.10M,68.30M,762.80M,258.00M,206.20M,80.20M,-91.00M,24.90M,,-24.90M,,544.40M,218.40M,,24.90M,-24.90M,-89.30M,-24.90M,104.20M,10.80M,93.40M,,,93.40M,172.37M,230.50M,101.40M,129.10M,0.41,,,0.7607,0.41,0.41,,,0.7576,0.41,225.20M,227.20M
2016-09,798.00M,799.00M,71.00M,728.00M,230.00M,195.00M,82.00M,-42.00M,24.00M,,-24.00M,,507.00M,221.00M,,24.00M,-24.00M,-38.00M,-24.00M,159.00M,65.00M,94.00M,,,94.00M,116.20M,283.00M,100.00M,183.00M,0.42,,,0.5191,0.42,0.42,,,0.5182,0.42,224.00M,226.00M
2016-06,753.00M,753.00M,60.00M,693.00M,232.00M,180.00M,80.00M,-6.00M,24.00M,,-24.00M,,492.00M,201.00M,,24.00M,-24.00M,-7.00M,-24.00M,170.00M,50.00M,120.00M,,,120.00M,122.82M,292.00M,98.00M,194.00M,0.54,,,0.5526,0.54,0.53,,,0.5425,0.53,224.00M,226.00M
2016-03,700.00M,701.00M,59.00M,642.00M,233.00M,176.00M,80.00M,13.00M,24.00M,,-24.00M,,489.00M,153.00M,,24.00M,-24.00M,14.00M,-24.00M,143.00M,51.00M,92.00M,,,92.00M,83.01M,264.00M,97.00M,167.00M,0.41,,,0.3701,0.41,0.41,,,0.3704,0.41,225.00M,227.00M
2015-12,700.39M,700.82M,57.64M,643.18M,241.58M,191.06M,79.99M,-33.20M,23.21M,,-23.21M,,512.64M,130.55M,,23.21M,-23.21M,-32.84M,-23.21M,74.50M,7.885M,66.62M,,,66.62M,96.61M,191.45M,93.74M,97.71M,0.3,,,0.433,0.3,0.29,,,0.4214,0.29,225.48M,228.18M
2015-09,665.79M,666.64M,54.06M,612.58M,212.52M,165.66M,36.61M,-43.22M,19.97M,,-19.97M,,414.79M,197.79M,,19.97M,-19.97M,-38.46M,-19.97M,139.36M,323.12M,-183.76M,,,-183.76M,-160.68M,209.05M,49.72M,159.33M,-0.81,,,-0.708,-0.81,-0.81,,,-0.708,-0.81,226.23M,226.23M
2015-06,635.98M,636.21M,52.01M,584.20M,221.38M,131.69M,0.00,-50.04M,3.971M,,-3.971M,,353.08M,231.13M,,3.971M,-3.971M,-49.86M,-3.971M,177.29M,7.077M,170.22M,,,170.22M,218.08M,193.83M,12.56M,181.26M,0.84,,,1.077,0.84,0.83,,,1.064,0.83,202.23M,204.55M
2015-03,600.33M,600.33M,69.40M,530.93M,187.12M,221.08M,0.00,-19.03M,0.651M,,-0.651M,,408.20M,122.74M,,0.651M,-0.651M,-15.14M,-0.651M,106.94M,15.62M,91.32M,,,91.32M,104.25M,118.17M,10.58M,107.60M,0.46,,,0.5249,0.46,0.45,,,0.514,0.45,199.36M,202.03M
2014-12,599.74M,599.74M,49.58M,550.17M,183.57M,129.33M,0.00,-33.28M,0.567M,,-0.567M,,312.90M,237.27M,,0.567M,-0.567M,-31.47M,-0.567M,205.23M,51.81M,153.42M,,,153.42M,176.94M,224.41M,18.60M,205.80M,0.77,,,0.8887,0.77,0.76,,,0.8756,0.76,198.27M,203.42M
2014-09,555.15M,555.15M,51.86M,503.29M,157.66M,100.66M,0.00,-8.303M,0.655M,,-0.655M,,258.33M,244.96M,,0.655M,-0.655M,-8.098M,-0.655M,236.21M,58.48M,177.73M,,,177.73M,183.82M,246.22M,9.353M,236.86M,0.9,,,0.9307,0.9,0.88,,,0.9102,0.88,198.05M,201.31M
2014-06,512.50M,512.50M,39.63M,472.87M,159.48M,92.55M,,-1.989M,0.715M,,-0.715M,,252.03M,220.84M,,0.715M,-0.715M,-1.477M,-0.715M,218.65M,52.15M,166.50M,,,166.50M,167.62M,229.14M,9.774M,219.36M,0.84,,,0.8457,0.84,0.83,,,0.8356,0.83,197.88M,201.52M
2014-03,566.62M,566.62M,32.94M,533.68M,129.29M,191.46M,,-3.426M,1.063M,,-1.063M,,320.75M,212.93M,,1.063M,-1.063M,0.045M,-1.063M,211.91M,52.56M,159.35M,,,159.35M,159.32M,222.24M,9.268M,212.97M,0.81,,,0.8098,0.81,0.79,,,0.7898,0.79,197.80M,201.80M
2013-12,441.91M,441.91M,51.55M,390.36M,134.82M,85.78M,0.105M,-31.58M,0.807M,,-0.807M,,220.71M,169.65M,,0.807M,-0.807M,-30.86M,-0.807M,137.98M,156.97M,-18.99M,,,-18.99M,1.070M,147.24M,8.454M,138.78M,-0.1,,,0.001,-0.1,-0.1,,,-0.0011,-0.1,198.57M,202.88M
2013-09,400.40M,400.40M,51.36M,349.05M,122.89M,88.21M,0.104M,-2.573M,1.078M,,-1.078M,,211.20M,137.85M,,1.078M,-1.078M,-2.482M,-1.078M,134.29M,40.50M,93.78M,,,93.78M,95.52M,142.59M,7.225M,135.37M,0.48,,,0.4889,0.48,0.47,,,0.4787,0.47,195.66M,199.71M
2013-06,370.09M,370.09M,39.38M,330.71M,123.19M,68.56M,0.104M,-1.167M,1.056M,,-1.056M,,191.86M,138.86M,,1.056M,-1.056M,-0.539M,-1.056M,137.26M,41.38M,95.88M,,,95.88M,96.26M,145.07M,6.748M,138.32M,0.49,,,0.4919,0.49,0.48,,,0.4819,0.48,195.25M,199.30M
2013-03,338.94M,338.94M,35.27M,303.67M,108.83M,74.54M,0.104M,-3.234M,1.171M,,-1.171M,,183.47M,120.21M,,1.171M,-1.171M,-2.294M,-1.171M,116.74M,34.52M,82.22M,,,82.22M,83.83M,124.18M,6.266M,117.91M,0.42,,,0.4283,0.42,0.41,,,0.4181,0.41,194.77M,199.06M
2012-12,320.53M,320.53M,33.15M,287.38M,112.62M,63.41M,0.105M,-3.365M,1.182M,,-1.182M,,176.14M,111.24M,,1.182M,-1.182M,-2.79M,-1.182M,107.27M,26.30M,80.97M,,,80.97M,83.08M,114.72M,6.274M,108.45M,0.42,,,0.4308,0.42,0.4,,,0.4105,0.4,194.19M,201.10M
2012-09,294.14M,294.14M,-20.19M,314.33M,89.96M,54.28M,0.104M,-27.27M,1.855M,,-1.855M,,144.34M,169.99M,,1.855M,-1.855M,-27.37M,-1.855M,140.76M,48.59M,92.18M,,,92.18M,110.10M,148.81M,6.194M,142.62M,0.48,,,0.5727,0.48,0.46,,,0.5491,0.46,193.35M,201.14M
2012-06,274.72M,274.72M,31.61M,243.11M,94.86M,59.64M,0.104M,-4.807M,2.079M,,-2.079M,,154.59M,88.51M,,2.079M,-2.079M,-4.711M,-2.079M,81.72M,45.46M,36.26M,,,36.26M,39.32M,89.34M,5.544M,83.80M,0.19,,,0.2062,0.19,0.18,,,0.1955,0.18,188.58M,197.05M
2012-03,244.73M,244.73M,28.27M,216.46M,87.24M,45.41M,0.104M,-13.67M,2.287M,,-2.287M,,132.75M,83.71M,,2.287M,-2.287M,-13.62M,-2.287M,67.81M,22.40M,45.41M,,,45.41M,54.54M,75.97M,5.875M,70.10M,0.24,,,0.2891,0.24,0.23,,,0.2769,0.23,185.68M,194.56M
2011-12,227.56M,227.56M,28.80M,198.76M,86.57M,34.40M,0.104M,-2.322M,0.183M,,-1.874M,,121.07M,77.69M,,0.183M,-1.874M,-1.74M,-1.874M,74.08M,25.91M,48.17M,,,48.17M,49.30M,78.68M,4.414M,74.26M,0.26,,,0.2661,0.26,0.25,,,0.2558,0.25,184.46M,193.42M
2011-09,204.05M,204.05M,23.37M,180.68M,77.57M,36.57M,0.104M,-0.236M,0.204M,0.523M,0.319M,,114.24M,66.44M,0.523M,0.204M,0.319M,-1.077M,0.319M,65.68M,0.107M,65.57M,,,65.57M,66.65M,70.38M,4.496M,65.88M,0.36,0.0,,0.3659,0.36,0.34,0.0,,0.3456,0.34,183.71M,192.16M
2011-06,185.70M,185.70M,21.74M,163.95M,78.18M,35.65M,0.104M,-1.00M,0.203M,0.772M,0.569M,,113.93M,50.02M,0.772M,0.203M,0.569M,-1.506M,0.569M,49.09M,14.34M,34.74M,,,34.74M,35.81M,53.68M,4.389M,49.29M,0.19,0.0,,0.1958,0.19,0.18,0.0,,0.1856,0.18,182.96M,191.19M
2011-03,166.13M,166.13M,19.23M,146.90M,65.86M,30.81M,0.069M,-9.928M,0.198M,0.396M,0.198M,,96.74M,50.16M,0.396M,0.198M,0.198M,-9.533M,0.198M,40.83M,14.00M,26.83M,,,26.83M,33.09M,45.34M,4.317M,41.02M,0.15,0.0,,0.1845,0.15,0.14,0.0,,0.1729,0.14,181.72M,190.37M
2010-12,155.98M,155.98M,20.22M,135.75M,62.82M,27.18M,0.00,-0.722M,0.174M,,-1.243M,,90.00M,45.75M,,0.174M,-1.243M,-0.261M,-1.243M,44.25M,17.80M,26.45M,,,26.45M,26.61M,48.35M,3.928M,44.42M,0.14,,,0.1409,0.14,0.14,,,0.1408,0.14,180.15M,188.82M
2010-09,141.57M,141.57M,16.50M,125.07M,57.21M,25.15M,0.00,0.00,0.162M,0.483M,0.321M,,82.36M,42.71M,0.483M,0.162M,0.321M,-0.427M,0.321M,42.61M,14.73M,27.87M,,,27.87M,28.15M,46.80M,4.031M,42.77M,0.16,0.0,,0.1616,0.16,0.15,0.0,,0.1515,0.15,178.98M,186.04M
2010-06,125.83M,125.83M,13.72M,112.11M,56.10M,23.69M,0.00,0.00,0.158M,0.336M,0.178M,,79.79M,32.32M,0.336M,0.158M,0.178M,-0.42M,0.178M,32.08M,10.31M,21.77M,,,21.77M,22.06M,36.23M,3.991M,32.24M,0.12,0.0,,0.1216,0.12,0.12,0.0,,0.1215,0.12,178.00M,185.15M
2010-03,117.58M,117.58M,14.00M,103.58M,50.64M,22.37M,0.00,0.00,0.21M,0.25M,0.04M,,73.01M,30.57M,0.25M,0.21M,0.04M,-0.537M,0.04M,30.07M,9.139M,20.93M,,,20.93M,21.31M,34.12M,3.842M,30.28M,0.12,0.0,,0.1221,0.12,0.115,0.0,,0.117,0.115,177.01M,184.18M
2009-12,110.65M,110.65M,12.89M,97.76M,51.89M,23.22M,,-0.233M,0.084M,,0.702M,,75.10M,22.66M,,0.084M,0.702M,-0.763M,0.702M,22.59M,-214.53M,237.13M,,,237.13M,237.28M,26.22M,3.538M,22.68M,1.385,0.0,,1.386,1.385,1.305,0.0,,1.306,1.305,175.82M,183.18M
2009-09,102.63M,102.63M,11.90M,90.73M,41.52M,21.32M,,-0.125M,0.08M,,-0.08M,,62.85M,27.89M,,0.08M,-0.08M,-0.125M,-0.08M,27.68M,0.951M,26.73M,,,26.73M,26.85M,30.73M,2.971M,27.76M,0.155,0.0,,0.1557,0.155,0.145,0.0,,0.1457,0.145,174.89M,181.89M
2009-06,92.26M,92.26M,10.31M,81.94M,42.70M,18.29M,,-2.947M,0.109M,,-0.109M,,60.99M,20.95M,,0.109M,-0.109M,-2.947M,-0.109M,17.89M,1.092M,16.80M,,,16.80M,19.57M,20.94M,2.94M,18.00M,0.1,0.0,,0.1163,0.1,0.095,0.0,,0.1103,0.095,170.26M,180.32M
2009-03,81.27M,81.27M,9.959M,71.31M,36.65M,19.09M,,-0.09M,0.333M,,-0.333M,,55.74M,15.57M,,0.333M,-0.333M,-0.09M,-0.333M,15.14M,0.638M,14.51M,,,14.51M,14.59M,18.50M,3.024M,15.48M,0.09,0.0,,0.0905,0.09,0.08,0.0,,0.0805,0.08,163.40M,181.29M
2008-12,77.40M,77.40M,6.812M,70.59M,38.79M,15.28M,,-1.871M,,,,,54.06M,16.52M,,,,-2.153M,,16.75M,1.412M,15.34M,,,15.34M,17.05M,21.13M,2.079M,19.05M,0.095,0.0,,0.1053,0.095,0.085,0.0,,0.0942,0.085,166.68M,186.95M
2008-09,76.50M,76.50M,8.948M,67.55M,32.06M,14.87M,,0.124M,,,,,46.94M,20.61M,,,,0.124M,,20.10M,0.415M,19.69M,,,19.69M,19.57M,22.57M,1.96M,20.61M,0.13,0.0,,0.1292,0.13,0.115,0.0,,0.1143,0.115,153.32M,179.69M
2008-06,59.56M,59.56M,7.142M,52.42M,32.91M,16.82M,,-0.335M,,,,,49.73M,2.685M,,,,-0.335M,,2.218M,-0.156M,2.374M,,,2.374M,2.592M,4.965M,2.28M,2.685M,0.015,0.0,,0.0164,0.015,0.015,0.0,,0.0164,0.015,151.37M,157.98M
2008-03,45.64M,45.64M,5.464M,40.18M,29.78M,15.61M,,1.47M,,,,,45.39M,-5.213M,,,,1.47M,,-4.339M,-0.09M,-4.249M,,,-4.249M,-5.689M,-3.924M,1.289M,-5.213M,-0.0275,0.0,,-0.0371,-0.0275,-0.0275,0.0,,-0.0371,-0.0275,150.06M,150.06M
2007-12,33.86M,33.86M,3.391M,30.47M,28.57M,15.64M,,1.564M,,,,,44.21M,-13.75M,,,,1.564M,,-12.82M,-0.487M,-12.33M,,,-12.33M,-13.84M,-12.03M,1.721M,-13.75M,-0.08,0.0,,-0.0901,-0.08,-0.08,0.0,,-0.0901,-0.08,148.70M,148.70M
2007-09,22.11M,22.11M,2.154M,19.96M,24.94M,16.91M,,2.374M,,,,,41.85M,-21.89M,,,,2.374M,,-20.16M,-0.078M,-20.08M,,,-20.08M,-22.45M,-20.63M,1.26M,-21.89M,-0.1375,0.0,,-0.1536,-0.1375,-0.1375,0.0,,-0.1536,-0.1375,146.66M,146.66M
2007-06,9.756M,9.756M,1.067M,8.689M,22.79M,15.20M,,2.531M,,,,,37.98M,-29.29M,,,,2.531M,,-27.27M,-0.09M,-27.18M,,,-27.18M,-29.71M,-28.22M,1.073M,-29.29M,-0.1875,0.0,,-0.205,-0.1875,-0.1875,0.0,,-0.205,-0.1875,144.12M,144.12M
2007-03,6.317M,6.317M,0.085M,6.232M,19.84M,21.22M,,2.742M,,,,,41.06M,-34.82M,,,,2.742M,,-32.78M,-0.09M,-32.69M,,,-32.69M,-35.43M,-33.95M,0.873M,-34.82M,-0.23,0.0,,-0.2493,-0.23,-0.23,0.0,,-0.2493,-0.23,141.44M,141.44M
2006-12,0.188M,0.188M,,,23.19M,17.34M,,-0.567M,,,,,41.07M,-40.89M,,,,-0.567M,,-39.35M,-0.103M,-39.25M,,,-39.25M,-38.68M,-39.83M,1.055M,-40.89M,-0.2975,0.0,,-0.2933,-0.2975,-0.2975,0.0,,-0.2933,-0.2975,133.37M,133.37M
2006-09,0.263M,0.263M,,,12.12M,21.20M,,-0.013M,,,,,33.33M,-33.06M,,,,-0.013M,,-31.96M,-0.09M,-31.87M,,,-31.87M,-31.86M,-32.16M,0.899M,-33.06M,-0.255,0.0,,-0.2549,-0.255,-0.255,0.0,,-0.2549,-0.255,125.06M,125.06M
2006-06,0.339M,0.339M,,,11.42M,23.46M,,,,,,,34.88M,-34.54M,,,,,,-33.26M,-0.09M,-33.16M,,,-33.16M,-33.16M,-33.67M,0.871M,-34.54M,-0.265,0.0,,-0.265,-0.265,-0.265,0.0,,-0.265,-0.265,124.81M,124.81M
2006-03,0.768M,0.768M,,,8.146M,21.21M,,1.963M,,,,,29.36M,-28.59M,,,,1.963M,,-27.32M,-0.09M,-27.23M,,,-27.23M,-29.18M,-27.71M,0.881M,-28.59M,-0.22,0.0,,-0.2358,-0.22,-0.22,0.0,,-0.2358,-0.22,123.96M,123.96M
2005-10,0.565M,0.565M,,,4.769M,20.28M,,-1.498M,,,,,25.05M,-24.48M,,,,-1.498M,,-26.81M,-0.229M,-26.58M,,,-26.58M,-25.10M,-23.39M,1.087M,-24.48M,-0.2375,0.0,,-0.2242,-0.2375,-0.2375,0.0,,-0.2242,-0.2375,111.70M,111.70M
2005-07,-0.052M,-0.052M,,,2.135M,10.08M,,9.069M,,,,,13.28M,-13.34M,,,,9.069M,,-10.55M,-0.061M,-10.48M,,,-10.48M,-19.50M,-12.89M,0.443M,-13.34M,-0.29,0.0,,-0.3704,-0.29,-0.29,,,-0.37,-0.29,112.12M,112.76M
2005-04,0.384M,0.384M,,,6.415M,31.79M,,,,,,,38.20M,-37.82M,,,,,,-36.94M,-0.363M,-36.57M,,,-36.57M,-36.57M,-36.22M,1.603M,-37.82M,-0.31,0.0,,-0.31,-0.31,-0.31,0.0,,-0.31,-0.31,111.75M,111.75M
2005-01,0.563M,0.563M,,,4.28M,20.09M,,1.168M,,,,,24.37M,-23.80M,,,,1.168M,,-24.56M,-0.088M,-24.47M,,,-24.47M,-25.63M,-22.97M,0.833M,-23.80M,-0.22,0.0,,-0.2305,-0.22,-0.22,0.0,,-0.2305,-0.22,111.35M,111.35M
2004-10,0.147M,0.147M,,,3.679M,18.66M,,4.853M,,,,,22.34M,-22.20M,,,,4.853M,,-19.25M,-0.062M,-19.19M,,,-19.19M,-24.03M,-21.39M,0.803M,-22.20M,-0.175,0.0,,-0.2188,-0.175,-0.175,0.0,,-0.2188,-0.175,110.43M,110.43M
2004-07,4.147M,4.147M,,,4.776M,17.84M,,-3.475M,,,,,23.37M,-19.22M,,,,-3.475M,,-20.50M,-0.372M,-20.12M,,,-20.12M,-16.71M,-18.18M,1.046M,-19.22M,-0.2225,0.0,,-0.1849,-0.2225,-0.2225,,,-0.1915,-0.2225,90.74M,110.08M
2004-04,0.168M,0.168M,,,3.569M,10.79M,,0.72M,,,,,14.36M,-14.19M,,,,0.72M,,-15.40M,-0.186M,-15.21M,,,-15.21M,-15.92M,-13.38M,0.81M,-14.19M,-0.1725,0.0,,-0.1806,-0.1725,-0.1725,0.0,,-0.1806,-0.1725,87.88M,87.88M
2004-01,0.147M,0.147M,,,3.30M,14.52M,,0.994M,,,,,17.82M,-17.68M,,,,0.994M,,-18.61M,-0.062M,-18.55M,,,-18.55M,-19.54M,-16.80M,0.877M,-17.68M,-0.2125,0.0,,-0.2238,-0.2125,-0.2125,0.0,,-0.2238,-0.2125,87.57M,87.57M
2003-10,0.147M,0.147M,,,2.814M,16.69M,,1.001M,,,,,19.50M,-19.36M,,,,1.001M,,-20.28M,-0.071M,-20.21M,,,-20.21M,-21.21M,-18.50M,0.86M,-19.36M,-0.2525,0.0,,-0.265,-0.2525,-0.2525,0.0,,-0.265,-0.2525,79.83M,79.83M
2003-07,0.167M,0.167M,,,3.25M,18.59M,,-4.735M,,,,0.00,21.84M,-21.67M,,,,-4.735M,,-22.51M,-0.924M,-21.58M,,,-21.58M,-17.04M,-20.72M,0.949M,-21.67M,-0.2975,0.0,,-0.2352,-0.2975,-0.2975,,,-0.2352,-0.2975,72.86M,72.88M
2003-04,0.167M,0.167M,,,3.369M,13.47M,,-1.369M,,,,2.56M,19.40M,-19.24M,,,,-1.369M,,-19.97M,-0.196M,-19.78M,,,-19.78M,-18.42M,-18.27M,0.968M,-19.24M,-0.2725,0.0,,-0.2539,-0.2725,-0.2725,0.0,,-0.2539,-0.2725,72.84M,72.84M
2003-01,0.22M,0.22M,,,2.058M,19.30M,,1.662M,,,,,21.36M,-21.14M,,,,1.662M,,-21.41M,0.059M,-21.46M,,,-21.46M,-22.46M,-20.21M,0.93M,-21.14M,-0.295,0.0,,-0.3087,-0.295,-0.295,0.0,,-0.3087,-0.295,72.83M,72.83M
2002-10,0.323M,0.323M,,,2.192M,19.68M,,1.882M,,,,,21.87M,-21.55M,,,,1.882M,,-21.59M,0.049M,-21.64M,,,-21.64M,-22.77M,-20.67M,0.879M,-21.55M,-0.2975,0.0,,-0.313,-0.2975,-0.2975,0.0,,-0.313,-0.2975,72.82M,72.82M
2002-07,0.757M,0.757M,,,2.126M,19.38M,,,,,,,21.51M,-20.75M,,,,,,-20.84M,0.00,-20.84M,,,-20.84M,-20.84M,-20.02M,0.739M,-20.75M,-0.2875,0.0,,-0.2875,-0.2875,-0.2875,,,-0.2875,-0.2875,72.79M,72.82M
2002-04,0.539M,0.539M,,,2.432M,15.91M,,,,,,,18.34M,-17.80M,,,,,,-17.10M,,-17.10M,,,-17.10M,-17.10M,-16.91M,0.891M,-17.80M,-0.235,0.0,,-0.235,-0.235,-0.235,0.0,,-0.235,-0.235,72.64M,72.64M
2002-01,3.38M,3.38M,,,1.836M,15.04M,,,,,,,16.88M,-13.50M,,,,,,-11.51M,-0.70M,-10.81M,,,-10.81M,-10.81M,-12.49M,1.007M,-13.50M,-0.15,0.0,,-0.15,-0.15,-0.15,0.0,,-0.15,-0.15,72.48M,72.48M
2001-10,1.86M,1.86M,,,1.599M,9.671M,,,,,,,11.27M,-9.41M,,,,,,,,-7.789M,,,-7.789M,-7.789M,-8.485M,0.925M,-9.41M,-0.1075,0.0,,-0.1075,-0.1075,-0.1075,0.0,,-0.1075,-0.1075,72.44M,72.44M
