,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,35.62B,291.00M,35.91B,3.163B,,3.163B,82.00M,666.00M,1.037B,,1.785B,2.836B,,624.00M,44.32B,,,,,,,,,,3.073B,6.63B,3.174B,9.804B,35.00M,844.00M,4.016B,17.77B,62.09B,,1.644B,448.00M,,2.092B,2.699B,4.791B,,,7.103B,7.103B,507.00M,507.00M,3.811B,16.21B,15.38B,15.38B,1.708B,1.708B,,3.065B,22.81B,39.02B,,0.00,22.74B,,,,323.00M,23.07B,,AOR,Restated
2018-03,37.95B,1.625B,39.57B,3.535B,,3.535B,93.00M,643.00M,1.061B,,1.797B,,,641.00M,45.54B,,,,,,,,,,3.224B,6.676B,3.435B,10.11B,35.00M,1.126B,4.086B,18.58B,64.13B,,1.454B,575.00M,,2.029B,2.65B,4.679B,,,3.733B,3.733B,502.00M,502.00M,3.746B,12.66B,19.36B,19.36B,1.803B,1.803B,,3.206B,27.65B,40.31B,,495.00M,22.78B,,,,545.00M,23.82B,,AOR,Restated
2017-12,33.36B,2.041B,35.40B,3.053B,,3.053B,96.00M,712.00M,1.064B,,1.872B,,,638.00M,40.97B,,,,,,,,,,3.224B,6.638B,3.548B,10.19B,4.447B,1.241B,4.287B,23.38B,64.35B,,1.685B,,,1.685B,2.38B,4.065B,,,3.465B,3.465B,487.00M,487.00M,4.01B,12.03B,19.38B,19.38B,1.906B,1.906B,,3.246B,28.40B,40.43B,,265.00M,23.27B,,,,386.00M,23.92B,,AOR,Restated
2017-09,35.03B,2.279B,37.31B,3.576B,56.00M,3.632B,103.00M,799.00M,1.133B,,2.035B,,,618.00M,43.59B,0.00,195.00M,1.595B,5.246B,,73.00M,310.00M,7.419B,-4.203B,3.216B,6.623B,3.737B,10.36B,1.27B,2.90B,4.147B,21.89B,65.49B,,1.971B,312.00M,,2.283B,1.961B,4.244B,2.495B,,2.495B,2.495B,502.00M,502.00M,3.666B,10.91B,19.40B,19.40B,2.003B,2.003B,,2.432B,23.83B,34.74B,,274.00M,30.09B,,,,384.00M,30.75B,,AOR,Restated
2017-06,14.91B,5.954B,20.86B,3.50B,32.00M,3.532B,80.00M,902.00M,1.02B,,2.002B,,,624.00M,27.02B,,,,,,,,,,3.164B,6.523B,3.88B,10.40B,16.89B,2.747B,4.155B,37.36B,64.38B,,1.508B,,,1.508B,1.089B,2.597B,,,2.495B,2.495B,513.00M,513.00M,3.558B,9.163B,19.40B,19.40B,2.111B,2.111B,-11.00M,2.419B,23.93B,33.10B,,225.00M,30.78B,,,,291.00M,31.29B,,AOR,Restated
2017-03,7.124B,2.858B,9.982B,4.177B,24.00M,4.201B,73.00M,1.018B,975.00M,,2.066B,,,659.00M,16.91B,,,,,,,,,,3.065B,6.497B,4.084B,10.58B,18.88B,2.458B,4.191B,39.17B,56.08B,,1.289B,,,1.289B,2.79B,4.079B,1.998B,,1.998B,1.998B,513.00M,513.00M,3.555B,10.14B,9.939B,9.939B,2.22B,2.22B,-10.00M,2.441B,14.60B,24.74B,,346.00M,30.77B,,,,230.00M,31.34B,,AOR,Restated
2016-12,6.885B,3.927B,10.81B,2.085B,,2.085B,0.00,1.016B,894.00M,,1.91B,,,972.00M,15.78B,,,,,,,,,,2.27B,5.686B,3.338B,9.024B,18.97B,2.312B,4.008B,36.59B,52.37B,,1.648B,,,1.648B,865.00M,2.513B,1.749B,,1.749B,1.749B,487.00M,487.00M,3.245B,7.994B,9.935B,9.935B,2.278B,2.278B,-9.00M,953.00M,13.17B,21.16B,,214.00M,30.82B,,,,186.00M,31.22B,,AOR,Restated
2016-09,5.946B,12.70B,18.65B,2.194B,25.00M,2.219B,1.00M,847.00M,708.00M,,1.556B,,,558.00M,22.98B,0.00,192.00M,1.545B,3.957B,,92.00M,254.00M,6.04B,-3.734B,2.306B,5.679B,3.50B,9.179B,13.70B,2.03B,2.161B,29.38B,52.36B,,1.858B,,,1.858B,934.00M,2.792B,,,1.749B,1.749B,509.00M,509.00M,2.261B,7.311B,10.01B,10.01B,2.377B,2.377B,-10.00M,895.00M,13.28B,20.59B,,414.00M,30.94B,,,,428.00M,31.78B,,AOR,Restated
2016-06,5.885B,11.22B,17.11B,1.939B,,1.939B,3.00M,694.00M,641.00M,,1.338B,,0.00,592.00M,20.98B,,,,,,,,,,2.341B,5.657B,3.669B,9.326B,13.92B,2.075B,2.143B,29.81B,50.79B,,1.572B,,,1.572B,874.00M,2.446B,1.749B,,1.749B,1.749B,535.00M,535.00M,2.113B,6.843B,10.02B,10.02B,2.426B,2.426B,-9.00M,855.00M,13.30B,20.15B,,169.00M,30.13B,,,,344.00M,30.65B,,AOR,Restated
2016-03,5.775B,10.63B,16.40B,1.697B,41.00M,1.738B,5.00M,573.00M,849.00M,,1.427B,,0.00,590.00M,20.16B,,,,,,,,,,2.391B,5.657B,3.896B,9.553B,13.58B,2.203B,2.174B,29.90B,50.06B,,1.452B,,,1.452B,785.00M,2.237B,1.949B,,1.949B,1.949B,791.00M,791.00M,2.049B,7.026B,9.993B,9.993B,2.526B,2.526B,-8.00M,878.00M,13.40B,20.42B,,0.00,29.48B,,,,160.00M,29.64B,,AOR,Restated
2015-12,6.913B,9.615B,16.53B,1.302B,21.00M,1.323B,1.00M,458.00M,757.00M,,1.216B,,607.00M,664.00M,20.34B,,,,,,,,,,2.484B,5.669B,4.068B,9.737B,14.06B,1.616B,1.991B,29.89B,50.23B,,1.359B,,,1.359B,895.00M,2.254B,1.00B,,1.00B,1.00B,639.00M,639.00M,2.61B,6.503B,9.95B,9.95B,2.63B,2.63B,-8.00M,913.00M,13.49B,20.00B,,0.00,30.17B,,,,69.00M,30.24B,,AOR,Restated
2015-09,7.56B,9.761B,17.32B,1.941B,23.00M,1.964B,1.00M,550.00M,941.00M,,1.492B,,635.00M,687.00M,22.10B,0.00,212.00M,1.544B,3.792B,,72.00M,274.00M,5.894B,-3.36B,2.534B,5.479B,3.742B,9.221B,13.63B,1.453B,1.863B,28.70B,50.80B,,1.30B,,,1.30B,861.00M,2.161B,1.00B,,1.00B,1.00B,583.00M,583.00M,2.356B,6.10B,9.969B,9.969B,2.496B,2.496B,-7.00M,817.00M,13.28B,19.38B,,0.00,31.23B,,,,195.00M,31.42B,,AOR,Restated
2015-06,9.987B,11.34B,21.33B,1.961B,,1.961B,1.00M,755.00M,827.00M,,1.583B,,472.00M,581.00M,25.93B,,,,,,,,,,2.574B,4.259B,2.405B,6.664B,13.89B,1.275B,1.96B,26.37B,52.30B,,1.412B,,,1.412B,697.00M,2.109B,1.00B,,1.00B,1.00B,680.00M,680.00M,2.294B,6.083B,9.913B,9.913B,2.576B,2.576B,-6.00M,527.00M,13.02B,19.10B,,0.00,32.70B,,,,503.00M,33.20B,,AOR,Restated
2015-03,5.492B,10.06B,15.56B,2.04B,18.00M,2.058B,1.00M,903.00M,957.00M,,1.861B,,533.00M,733.00M,20.74B,,,,,,,,,,2.523B,4.388B,2.482B,6.87B,14.06B,1.049B,1.936B,26.43B,47.17B,,1.683B,,,1.683B,744.00M,2.427B,1.096B,,1.096B,1.096B,778.00M,778.00M,1.868B,6.169B,,,2.667B,2.667B,-5.00M,503.00M,3.17B,9.339B,,4.956B,32.41B,,,,472.00M,37.84B,,AOR,Restated
2014-12,6.325B,11.46B,17.79B,2.239B,,2.239B,1.00M,753.00M,1.007B,,1.761B,,445.00M,528.00M,22.76B,,,,,,,,,,2.531B,4.413B,2.497B,6.91B,13.82B,1.329B,1.101B,25.69B,48.45B,,2.482B,,,2.482B,786.00M,3.268B,,,,,885.00M,885.00M,2.252B,6.405B,,,2.763B,2.763B,-4.00M,460.00M,3.223B,9.628B,,6.334B,32.06B,,,,428.00M,38.82B,,AOR,Restated
2014-09,7.907B,9.658B,17.56B,2.362B,50.00M,2.412B,1.00M,656.00M,801.00M,,1.458B,,577.00M,401.00M,22.41B,0.00,225.00M,1.456B,3.551B,,201.00M,247.00M,5.68B,-3.193B,2.487B,4.488B,2.58B,7.068B,14.46B,1.174B,975.00M,26.16B,48.57B,,2.183B,,,2.183B,802.00M,2.985B,0.00,,0.00,0.00,785.00M,785.00M,2.243B,6.013B,,,2.967B,2.967B,-3.00M,428.00M,3.395B,9.408B,,7.736B,30.80B,,,,634.00M,39.17B,,AOR,Restated
2014-06,7.944B,10.21B,18.15B,2.084B,,2.084B,2.00M,480.00M,703.00M,,1.185B,,451.00M,535.00M,22.41B,0.00,220.00M,1.587B,3.822B,,196.00M,245.00M,6.07B,-3.515B,2.555B,4.183B,2.608B,6.791B,14.56B,1.195B,843.00M,25.95B,48.36B,,1.90B,,,1.90B,740.00M,2.64B,,,,,705.00M,705.00M,2.676B,6.021B,,,3.168B,3.168B,-2.00M,379.00M,3.547B,9.568B,,8.346B,29.62B,,,,825.00M,38.79B,,AOR,Restated
2014-03,6.337B,10.29B,16.63B,2.217B,,2.217B,2.00M,505.00M,640.00M,,1.147B,,495.00M,521.00M,21.01B,0.00,214.00M,1.597B,3.768B,,166.00M,244.00M,5.989B,-3.416B,2.573B,4.226B,2.699B,6.925B,15.42B,1.161B,783.00M,26.87B,47.88B,,1.551B,,,1.551B,739.00M,2.29B,,,,,625.00M,625.00M,2.986B,5.901B,,,3.367B,3.367B,-1.00M,354.00M,3.721B,9.622B,,9.347B,28.10B,,,,810.00M,38.25B,,AOR,Restated
2013-12,8.292B,8.988B,17.28B,1.288B,39.00M,1.327B,4.00M,434.00M,626.00M,,1.064B,,404.00M,510.00M,20.58B,0.00,213.00M,1.598B,3.629B,,193.00M,229.00M,5.862B,-3.30B,2.562B,4.212B,2.49B,6.702B,14.33B,1.346B,757.00M,25.70B,46.28B,,1.375B,,,1.375B,706.00M,2.081B,,,,,470.00M,470.00M,2.762B,5.313B,,,3.566B,3.566B,0.00,376.00M,3.942B,9.255B,,0.00,26.74B,9.506B,,,784.00M,37.03B,,AOR,Restated
2013-09,6.142B,8.824B,14.97B,2.066B,76.00M,2.142B,2.00M,631.00M,669.00M,,1.302B,,573.00M,572.00M,19.56B,0.00,212.00M,1.733B,3.525B,,480.00M,218.00M,6.168B,-3.173B,2.995B,3.976B,2.553B,6.529B,14.44B,1.059B,938.00M,25.96B,45.52B,,1.554B,,,1.554B,839.00M,2.393B,,,,,501.00M,501.00M,2.319B,5.213B,,,3.666B,3.666B,-1.00M,550.00M,4.216B,9.429B,,9.874B,25.46B,,,,753.00M,36.09B,,AOR,Restated
2013-06,2.533B,8.928B,11.46B,1.855B,94.00M,1.949B,8.00M,874.00M,845.00M,,1.727B,,329.00M,506.00M,15.97B,,,,,,,,,,2.974B,3.995B,2.69B,6.685B,18.94B,1.446B,791.00M,30.84B,46.81B,,1.85B,,,1.85B,713.00M,2.563B,,,,,482.00M,482.00M,1.983B,5.028B,,,3.679B,3.679B,5.00M,519.00M,4.198B,9.226B,,0.00,24.56B,12.32B,,,698.00M,37.58B,,AOR,Restated
2013-03,4.093B,9.40B,13.49B,1.852B,37.00M,1.889B,14.00M,671.00M,799.00M,,1.484B,,318.00M,582.00M,17.77B,,,,,,,,,,2.971B,3.975B,2.735B,6.71B,17.05B,1.229B,1.877B,29.83B,47.60B,,1.628B,,,1.628B,679.00M,2.307B,,,,,514.00M,514.00M,2.442B,5.263B,,,3.697B,3.697B,17.00M,480.00M,4.708B,9.971B,,0.00,23.60B,12.99B,,,1.021B,37.61B,,AOR,Restated
2012-12,4.293B,8.982B,13.28B,1.607B,40.00M,1.647B,18.00M,607.00M,652.00M,,1.277B,,309.00M,595.00M,17.10B,,,,,,,,,,2.874B,3.929B,2.826B,6.755B,15.10B,1.327B,1.686B,27.74B,44.84B,,1.657B,,,1.657B,618.00M,2.275B,,,,,733.00M,733.00M,1.997B,5.005B,,,3.516B,3.516B,20.00M,440.00M,4.482B,9.487B,,0.00,22.17B,12.28B,,,880.00M,35.33B,,AOR,Restated
2012-09,3.807B,8.567B,12.37B,1.418B,41.00M,1.459B,19.00M,531.00M,480.00M,,1.03B,,309.00M,473.00M,15.64B,0.00,203.00M,1.392B,3.317B,,774.00M,237.00M,5.923B,-3.072B,2.851B,3.917B,2.938B,6.855B,14.46B,1.412B,1.786B,27.37B,43.01B,,1.298B,,,1.298B,664.00M,1.962B,,,,,545.00M,545.00M,2.795B,5.302B,,,3.739B,3.739B,22.00M,426.00M,4.165B,9.467B,,0.00,20.70B,11.96B,,,866.00M,33.52B,,AOR,Restated
2012-06,3.412B,9.983B,13.40B,1.25B,,1.25B,17.00M,318.00M,485.00M,,820.00M,,512.00M,400.00M,16.38B,,,,,,,,,,2.888B,3.843B,3.845B,7.688B,13.15B,1.677B,663.00M,26.07B,42.44B,,1.116B,,722.00M,1.838B,,1.838B,,968.00M,968.00M,968.00M,547.00M,547.00M,1.555B,5.516B,,,3.809B,3.809B,21.00M,515.00M,4.324B,9.84B,,0.00,19.87B,12.10B,,,620.00M,32.58B,,AOR,Restated
2012-03,5.998B,9.081B,15.08B,1.189B,,1.189B,19.00M,365.00M,397.00M,,781.00M,,485.00M,327.00M,17.86B,,,,,,,,,,2.76B,3.607B,3.002B,6.609B,11.49B,1.318B,1.494B,23.67B,41.53B,,1.25B,179.00M,,1.429B,,1.429B,,1.039B,1.039B,1.039B,558.00M,558.00M,1.58B,5.178B,,,3.894B,3.894B,-12.00M,589.00M,4.483B,9.661B,,0.00,19.09B,11.98B,,,809.00M,31.88B,,AOR,Restated
2011-12,4.964B,6.576B,11.54B,1.035B,,1.035B,14.00M,235.00M,465.00M,,714.00M,,509.00M,236.00M,14.03B,,,,,,,,,,2.607B,3.624B,3.093B,6.717B,10.44B,1.626B,2.184B,23.57B,37.61B,,974.00M,40.00M,,1.014B,,1.014B,,928.00M,928.00M,928.00M,543.00M,543.00M,2.509B,4.994B,,,3.535B,3.535B,16.00M,580.00M,4.115B,9.109B,,0.00,17.24B,10.75B,,,495.00M,28.48B,,AOR,Restated
2011-09,5.462B,6.19B,11.65B,951.00M,42.00M,993.00M,15.00M,384.00M,366.00M,,765.00M,,537.00M,346.00M,14.29B,0.00,203.00M,1.427B,3.14B,,394.00M,263.00M,5.427B,-3.013B,2.414B,3.432B,3.099B,6.531B,9.261B,1.703B,2.22B,22.13B,36.42B,,969.00M,,298.00M,1.267B,644.00M,1.911B,,994.00M,994.00M,994.00M,610.00M,610.00M,1.774B,5.289B,,,3.541B,3.541B,21.00M,620.00M,4.161B,9.45B,,0.00,16.20B,10.39B,,,353.00M,26.95B,,AOR,Restated
2011-06,5.746B,4.982B,10.73B,832.00M,,832.00M,18.00M,347.00M,388.00M,,753.00M,,310.00M,210.00M,12.83B,,,,,,,,,,2.267B,3.195B,3.098B,6.293B,9.493B,1.884B,2.33B,22.27B,35.10B,,761.00M,84.00M,,845.00M,,845.00M,,1.092B,1.092B,1.092B,541.00M,541.00M,1.418B,4.464B,,,3.63B,3.63B,30.00M,705.00M,4.335B,8.799B,,0.00,15.52B,10.01B,,,744.00M,26.27B,,AOR,Restated
2011-03,6.367B,6.658B,13.02B,715.00M,,715.00M,21.00M,305.00M,280.00M,,606.00M,,330.00M,174.00M,14.85B,,,,,,,,,,2.114B,1.417B,2.174B,3.591B,9.081B,1.917B,2.271B,18.97B,33.82B,,666.00M,69.00M,,735.00M,,735.00M,,1.10B,1.10B,1.10B,518.00M,518.00M,1.474B,4.385B,,,3.733B,3.733B,34.00M,705.00M,4.438B,8.823B,,0.00,14.84B,9.325B,,,802.00M,24.97B,,AOR,Restated
2010-12,4.711B,5.798B,10.51B,657.00M,,657.00M,24.00M,291.00M,259.00M,,574.00M,,336.00M,255.00M,12.33B,,,,,,,,,,2.361B,1.519B,2.983B,4.502B,8.598B,1.979B,1.52B,18.96B,31.29B,,522.00M,10.00M,262.00M,794.00M,,794.00M,,1.089B,1.089B,1.089B,631.00M,631.00M,949.00M,3.943B,,,3.821B,3.821B,,791.00M,4.612B,8.555B,,0.00,14.16B,7.818B,,,757.00M,22.74B,,AOR,Restated
2010-09,3.547B,6.732B,10.28B,697.00M,33.00M,730.00M,15.00M,284.00M,229.00M,,528.00M,,321.00M,275.00M,12.13B,0.00,201.00M,1.424B,2.898B,,75.00M,242.00M,4.84B,-2.467B,2.373B,1.488B,3.022B,4.51B,8.123B,1.922B,1.511B,18.44B,30.57B,,764.00M,1.443B,80.00M,2.457B,467.00M,2.924B,,1.086B,1.086B,1.086B,623.00M,623.00M,835.00M,5.468B,,,3.485B,3.485B,0.00,761.00M,4.246B,9.714B,,0.00,13.30B,6.856B,,,697.00M,20.86B,,AOR,Restated
2010-06,2.541B,7.427B,9.968B,798.00M,,798.00M,14.00M,219.00M,213.00M,,446.00M,,213.00M,189.00M,11.61B,,,,,,,,,,2.382B,1.476B,3.04B,4.516B,7.618B,1.774B,1.497B,17.79B,29.40B,,640.00M,1.135B,,1.775B,433.00M,2.208B,,,1.061B,1.061B,601.00M,601.00M,1.32B,5.19B,,,3.587B,3.587B,,738.00M,4.325B,9.515B,,0.00,12.75B,6.611B,,,529.00M,19.89B,,AOR,Restated
2010-03,2.553B,8.603B,11.16B,680.00M,,680.00M,14.00M,169.00M,219.00M,,402.00M,,204.00M,210.00M,12.65B,,,,,,,,,,2.374B,1.483B,3.093B,4.576B,7.057B,1.376B,462.00M,15.84B,28.50B,,545.00M,764.00M,,1.309B,368.00M,1.677B,,,,,592.00M,592.00M,1.061B,3.33B,,,3.687B,3.687B,,760.00M,4.447B,7.777B,,0.00,12.29B,7.613B,,,820.00M,20.72B,,AOR,Restated
2009-12,3.66B,8.504B,12.16B,616.00M,,616.00M,14.00M,148.00M,188.00M,,350.00M,,199.00M,245.00M,13.57B,0.00,187.00M,1.389B,2.69B,,81.00M,226.00M,4.573B,-2.189B,2.384B,1.49B,3.142B,4.632B,6.764B,1.118B,431.00M,15.33B,28.90B,,415.00M,458.00M,,873.00M,385.00M,1.258B,,,,,567.00M,567.00M,1.123B,2.948B,,,3.775B,3.775B,,827.00M,4.602B,7.55B,,0.00,11.79B,8.817B,,,744.00M,21.35B,,AOR,Restated
2009-09,2.717B,8.352B,11.07B,639.00M,61.00M,700.00M,15.00M,199.00M,239.00M,,453.00M,,149.00M,199.00M,12.57B,0.00,187.00M,1.364B,2.622B,,76.00M,219.00M,4.468B,-2.081B,2.387B,1.492B,3.065B,4.557B,6.673B,843.00M,415.00M,14.88B,27.44B,,636.00M,29.00M,331.00M,1.166B,480.00M,1.646B,,,,,441.00M,441.00M,726.00M,2.813B,,,3.464B,3.464B,,852.00M,4.316B,7.129B,,0.00,11.24B,8.493B,,,588.00M,20.32B,,AOR,Restated
2009-06,3.721B,6.159B,9.88B,943.00M,,943.00M,,,,,375.00M,,286.00M,247.00M,11.73B,0.00,187.00M,1.355B,2.409B,,,332.00M,4.283B,-1.972B,2.311B,1.512B,3.138B,4.65B,5.801B,822.00M,398.00M,13.98B,25.71B,,561.00M,,,561.00M,,561.00M,,,,,447.00M,447.00M,1.364B,2.372B,,,3.528B,3.528B,,1.102B,4.63B,7.002B,,0.00,10.72B,7.988B,,,7.00M,18.71B,,AOR,Restated
2009-03,3.892B,5.523B,9.415B,804.00M,,804.00M,,,,,409.00M,,280.00M,324.00M,11.23B,0.00,186.00M,1.348B,2.316B,,,300.00M,4.15B,-1.868B,2.282B,1.502B,3.123B,4.625B,4.56B,941.00M,444.00M,12.85B,24.08B,,444.00M,109.00M,,553.00M,313.00M,866.00M,,,,,421.00M,421.00M,970.00M,2.257B,,,3.599B,3.599B,,1.115B,4.714B,6.971B,,0.00,10.24B,7.648B,,,-776.00M,17.11B,,AOR,Restated
