,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2015-06,5.832B,5.832B,2.451B,3.381B,621.00M,1.407B,,55.00M,-55.00M,32.00M,128.00M,96.00M,118.00M,2.146B,1.235B,128.00M,32.00M,96.00M,67.00M,96.00M,1.398B,215.00M,1.183B,,,1.00M,1.184B,1.127B,1.727B,297.00M,1.43B,,0.74,,,0.7046,0.74,,0.73,,,0.6950,0.73,,1.608B,1.629B,0.48,,AOR,Restated
2015-03,6.894B,6.894B,2.628B,4.266B,545.00M,1.375B,,41.00M,-41.00M,1.00M,138.00M,137.00M,1.01B,2.93B,1.336B,138.00M,1.00M,137.00M,66.00M,137.00M,1.539B,487.00M,1.052B,,,1.00M,1.053B,1.005B,1.844B,304.00M,1.54B,,0.64,,,0.6111,0.64,,0.63,,,0.6014,0.63,,1.645B,1.667B,0.42,,AOR,Restated
2014-12,7.099B,7.099B,3.047B,4.052B,583.00M,1.352B,,65.00M,-65.00M,1.00M,134.00M,133.00M,53.00M,1.988B,2.064B,134.00M,1.00M,133.00M,101.00M,133.00M,2.298B,327.00M,1.971B,,,1.00M,1.972B,1.882B,2.586B,287.00M,2.299B,,1.19,,,1.136,1.19,,1.17,,,1.116,1.17,,1.661B,1.686B,0.42,,AOR,Restated
2014-09,6.692B,6.692B,2.757B,3.935B,545.00M,1.364B,,10.00M,-9.00M,1.00M,126.00M,125.00M,34.00M,1.943B,1.992B,126.00M,1.00M,125.00M,135.00M,125.00M,2.252B,358.00M,1.894B,0.00,,0.00,1.894B,1.778B,2.55B,297.00M,2.253B,,1.13,0.00,,1.061,1.13,,1.12,0.00,,1.052,1.12,,1.674B,1.702B,0.42,,AOR,Restated
2014-06,6.806B,6.806B,2.74B,4.066B,582.00M,1.429B,,11.00M,-7.00M,0.00,139.00M,139.00M,-20.00M,1.991B,2.075B,139.00M,0.00,139.00M,283.00M,139.00M,2.497B,260.00M,2.237B,0.00,,1.00M,2.238B,1.982B,2.789B,292.00M,2.497B,,1.33,0.00,,1.178,1.33,,1.31,0.00,,1.160,1.31,,1.683B,1.714B,0.42,,AOR,Restated
2014-03,6.367B,6.367B,2.482B,3.885B,539.00M,1.356B,,123.00M,-121.00M,3.00M,167.00M,164.00M,,1.895B,1.99B,167.00M,3.00M,164.00M,118.00M,164.00M,2.272B,314.00M,1.958B,0.00,,1.00M,1.959B,1.854B,2.564B,289.00M,2.275B,,1.16,0.00,,1.098,1.16,,1.14,0.00,,1.079,1.14,,1.688B,1.719B,0.35,,AOR,Restated
2013-12,6.622B,6.622B,2.706B,3.916B,623.00M,1.328B,,37.00M,-37.00M,3.00M,156.00M,153.00M,472.00M,2.423B,1.493B,156.00M,3.00M,153.00M,111.00M,153.00M,1.757B,313.00M,1.444B,430.00M,,1.00M,1.875B,1.353B,2.032B,272.00M,1.76B,,0.86,0.25,,0.8056,1.11,,0.84,0.25,,0.7867,1.09,,1.688B,1.722B,0.35,,AOR,Restated
2013-09,6.481B,6.481B,2.714B,3.767B,657.00M,1.349B,,36.00M,-45.00M,1.00M,168.00M,167.00M,173.00M,2.179B,1.588B,168.00M,1.00M,167.00M,67.00M,167.00M,1.822B,321.00M,1.501B,0.00,,0.00,1.501B,1.445B,2.096B,273.00M,1.823B,,0.88,0.00,,0.8470,0.88,,0.87,0.00,,0.8377,0.87,,1.70B,1.736B,0.35,,AOR,Restated
2013-06,6.243B,6.243B,2.497B,3.746B,613.00M,1.298B,,27.00M,-6.00M,7.00M,182.00M,175.00M,158.00M,2.069B,1.677B,182.00M,7.00M,175.00M,58.00M,175.00M,1.91B,332.00M,1.578B,0.00,,2.00M,1.58B,1.531B,2.172B,255.00M,1.917B,,0.91,0.00,,0.8816,0.91,,0.90,0.00,,0.8723,0.90,,1.727B,1.765B,0.35,,AOR,Restated
2013-03,6.124B,6.124B,2.372B,3.752B,661.00M,1.214B,,12.00M,-12.00M,7.00M,181.00M,174.00M,,1.875B,1.877B,181.00M,7.00M,174.00M,85.00M,174.00M,2.136B,273.00M,1.863B,0.00,,3.00M,1.866B,1.791B,2.391B,248.00M,2.143B,,1.08,0.00,,1.037,1.08,,1.06,0.00,,1.018,1.06,,1.722B,1.763B,0.25,,AOR,Restated
2012-12,6.018B,6.018B,2.237B,3.781B,587.00M,1.106B,,10.00M,-10.00M,8.00M,165.00M,157.00M,,1.693B,2.088B,165.00M,8.00M,157.00M,82.00M,157.00M,2.327B,424.00M,1.903B,0.00,,3.00M,1.906B,1.836B,2.576B,241.00M,2.335B,,1.12,0.00,,1.079,1.12,,1.09,0.00,,1.050,1.09,,1.709B,1.751B,0.25,,AOR,Restated
