,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,5.448B,5.448B,,,,56.00M,-56.00M,-16.00M,-16.00M,56.00M,-56.00M,,-56.00M,982.00M,265.00M,717.00M,,717.00M,717.00M,,1.038B,0.92,,,0.92,0.92,0.91,,,0.91,0.91,778.55M,783.85M,0.26
2017-12,5.407B,5.407B,,,,59.00M,-59.00M,-17.00M,-17.00M,59.00M,-59.00M,,-59.00M,999.00M,-1.584B,2.583B,,2.583B,2.583B,,1.058B,2.995,,,2.995,2.995,2.975,,,2.975,2.975,784.23M,790.00M,0.225
2017-09,5.489B,5.489B,,,,59.00M,-59.00M,-17.00M,-17.00M,59.00M,-59.00M,,-59.00M,1.075B,359.00M,716.00M,,716.00M,716.00M,,1.134B,0.91,,,0.91,0.91,0.9,,,0.9,0.9,788.96M,794.76M,0.215
2017-06,5.411B,5.411B,,,,61.00M,-61.00M,-17.00M,-17.00M,61.00M,-61.00M,,-61.00M,1.045B,332.00M,713.00M,,713.00M,713.00M,,1.106B,0.9,,,0.9,0.9,0.89,,,0.89,0.89,792.86M,798.70M,0.215
2017-03,5.292B,5.292B,,,,62.00M,-62.00M,-17.00M,-17.00M,62.00M,-62.00M,,-62.00M,898.00M,306.00M,592.00M,,592.00M,592.00M,,960.00M,0.74,,,0.74,0.74,0.73,,,0.73,0.73,802.26M,808.14M,0.215
2016-12,5.935B,5.935B,,,,72.00M,-72.00M,-20.00M,-20.00M,72.00M,-72.00M,,-72.00M,1.153B,402.00M,751.00M,,751.00M,751.00M,,1.225B,0.92,,,0.92,0.92,0.915,,,0.915,0.915,813.63M,818.69M,0.215
2016-09,5.70B,5.70B,,,,65.00M,-65.00M,-16.00M,-16.00M,65.00M,-65.00M,,-65.00M,963.00M,334.00M,629.00M,,629.00M,629.00M,,1.028B,0.77,,,0.77,0.77,0.765,,,0.765,0.765,817.04M,822.28M,0.205
2016-06,5.422B,5.422B,,,,66.00M,-66.00M,-15.00M,-15.00M,66.00M,-66.00M,,-66.00M,834.00M,286.00M,548.00M,,548.00M,548.00M,,900.00M,0.665,,,0.665,0.665,0.66,,,0.66,0.66,823.71M,828.65M,0.205
2016-03,5.433B,5.433B,,,,65.00M,-65.00M,38.00M,38.00M,65.00M,-65.00M,,-65.00M,1.117B,386.00M,731.00M,,731.00M,731.00M,,1.182B,0.875,,,0.875,0.875,0.87,,,0.87,0.87,837.50M,841.84M,0.205
2015-12,5.266B,5.266B,,,,65.00M,-65.00M,-409.00M,-409.00M,65.00M,-65.00M,,-65.00M,1.11B,380.00M,730.00M,,730.00M,730.00M,,1.175B,0.855,,,0.855,0.855,0.855,,,0.855,0.855,849.99M,854.99M,0.205
2015-09,5.05B,5.05B,,,,67.00M,-67.00M,54.00M,54.00M,67.00M,-67.00M,,-67.00M,864.00M,297.00M,567.00M,,567.00M,567.00M,,931.00M,0.66,,,0.66,0.66,0.66,,,0.66,0.66,857.47M,862.20M,0.195
2015-06,5.268B,5.268B,,,,74.00M,-74.00M,253.00M,253.00M,74.00M,-74.00M,,-74.00M,874.00M,301.00M,573.00M,,573.00M,573.00M,,948.00M,0.665,,,0.665,0.665,0.66,,,0.66,0.66,863.34M,868.51M,0.195
2015-03,5.227B,5.227B,,,,83.00M,-83.00M,42.00M,42.00M,83.00M,-83.00M,,-83.00M,1.013B,350.00M,663.00M,,663.00M,663.00M,,1.096B,0.76,,,0.76,0.76,0.755,,,0.755,0.755,874.61M,879.85M,0.195
2014-12,5.44B,5.44B,,,,79.00M,-79.00M,-14.00M,-14.00M,79.00M,-79.00M,,-79.00M,1.075B,372.00M,703.00M,,703.00M,703.00M,,1.154B,0.785,,,0.785,0.785,0.785,,,0.785,0.785,892.63M,897.96M,0.195
2014-09,5.698B,5.698B,,,,77.00M,-77.00M,-6.00M,-6.00M,77.00M,-77.00M,,-77.00M,1.074B,368.00M,706.00M,,706.00M,706.00M,,1.151B,0.78,,,0.78,0.78,0.78,,,0.78,0.78,902.49M,907.96M,0.185
2014-06,5.833B,5.833B,,,,81.00M,-81.00M,39.00M,39.00M,81.00M,-81.00M,,-81.00M,1.238B,428.00M,810.00M,,810.00M,810.00M,,1.319B,0.895,,,0.895,0.895,0.89,,,0.89,0.89,905.12M,910.76M,0.185
2014-03,5.635B,5.635B,,,,80.00M,-80.00M,37.00M,37.00M,80.00M,-80.00M,,-80.00M,1.104B,372.00M,732.00M,,732.00M,732.00M,,1.184B,0.805,,,0.805,0.805,0.8,,,0.8,0.8,909.46M,915.40M,0.185
2013-12,5.756B,5.756B,,,,82.00M,-82.00M,5.00M,5.00M,82.00M,-82.00M,,-82.00M,1.028B,353.00M,675.00M,,675.00M,675.00M,,1.11B,0.73,,,0.73,0.73,0.725,,,0.725,0.725,924.07M,930.95M,0.185
2013-09,5.871B,5.871B,,,,71.00M,-71.00M,34.00M,34.00M,71.00M,-71.00M,,-71.00M,1.069B,367.00M,702.00M,,702.00M,702.00M,,1.14B,0.755,,,0.755,0.755,0.75,,,0.75,0.75,928.65M,934.78M,0.175
2013-06,6.027B,6.027B,,,,69.00M,-69.00M,31.00M,31.00M,69.00M,-69.00M,,-69.00M,1.358B,469.00M,889.00M,,889.00M,889.00M,,1.427B,0.955,,,0.955,0.955,0.95,,,0.95,0.95,930.43M,935.95M,0.175
2013-03,6.173B,6.173B,,,,71.00M,-71.00M,11.00M,11.00M,71.00M,-71.00M,,-71.00M,1.361B,469.00M,892.00M,,892.00M,892.00M,,1.432B,0.955,,,0.955,0.955,0.95,,,0.95,0.95,932.92M,938.25M,0.175
2012-12,6.347B,6.347B,,,,75.00M,-75.00M,20.00M,20.00M,75.00M,-75.00M,,-75.00M,879.00M,298.00M,581.00M,,581.00M,581.00M,,954.00M,0.62,,,0.62,0.62,0.62,,,0.62,0.62,934.73M,940.59M,0.175
2012-09,6.815B,6.815B,,,,67.00M,-67.00M,18.00M,18.00M,67.00M,-67.00M,,-67.00M,1.48B,463.00M,1.017B,,1.017B,1.017B,,1.547B,1.085,,,1.085,1.085,1.08,,,1.08,1.08,934.84M,939.44M,0.165
2012-06,5.894B,5.894B,,,,62.00M,-62.00M,40.00M,40.00M,62.00M,-62.00M,,-62.00M,741.00M,258.00M,483.00M,,483.00M,483.00M,,803.00M,0.52,,,0.52,0.52,0.515,,,0.515,0.515,933.58M,937.18M,0.165
2012-03,6.215B,6.215B,,,,57.00M,-57.00M,24.00M,24.00M,57.00M,-57.00M,,-57.00M,1.202B,417.00M,785.00M,,785.00M,785.00M,,1.259B,0.84,,,0.84,0.84,0.84,,,0.84,0.84,931.77M,937.07M,0.165
2011-12,5.898B,5.898B,,,,53.00M,-53.00M,-30.00M,-30.00M,53.00M,-53.00M,,-53.00M,821.00M,283.00M,538.00M,,538.00M,538.00M,,874.00M,0.58,,,0.58,0.58,0.57,,,0.57,0.57,931.09M,935.45M,0.165
2011-09,5.987B,5.987B,438.00M,579.00M,1.017B,52.00M,-52.00M,45.00M,1.062B,52.00M,-52.00M,17.00M,-52.00M,1.092B,356.00M,736.00M,,736.00M,736.00M,,1.144B,0.79,0.0,,0.79,0.79,0.785,0.0,,0.785,0.785,931.82M,935.59M,0.15
2011-06,5.088B,5.088B,427.00M,565.00M,992.00M,46.00M,-46.00M,45.00M,1.037B,46.00M,-46.00M,16.00M,-46.00M,444.00M,170.00M,274.00M,,274.00M,274.00M,,490.00M,0.295,0.0,,0.295,0.295,0.29,0.0,,0.29,0.29,933.00M,939.50M,0.15
2011-03,5.117B,5.117B,422.00M,534.00M,956.00M,45.00M,-45.00M,42.00M,998.00M,45.00M,-45.00M,30.00M,-45.00M,591.00M,202.00M,389.00M,,389.00M,389.00M,,636.00M,0.415,0.0,,0.415,0.415,0.415,0.0,,0.415,0.415,936.02M,944.21M,0.15
2010-12,5.22B,5.22B,,,,44.00M,-44.00M,-26.00M,-26.00M,44.00M,-44.00M,,-44.00M,643.00M,222.00M,421.00M,,421.00M,421.00M,,687.00M,0.445,,,0.445,0.445,0.445,,,0.445,0.445,939.02M,947.53M,0.15
2010-09,5.394B,5.394B,412.00M,505.00M,917.00M,39.00M,-39.00M,38.00M,955.00M,39.00M,-39.00M,13.00M,-39.00M,1.055B,365.00M,690.00M,,690.00M,690.00M,,1.094B,0.735,0.0,,0.735,0.735,0.73,0.0,,0.73,0.73,939.74M,947.14M,0.14
2010-06,4.98B,4.98B,398.00M,508.00M,906.00M,33.00M,-33.00M,38.00M,944.00M,33.00M,-33.00M,9.00M,-33.00M,889.00M,308.00M,581.00M,,581.00M,581.00M,,922.00M,0.62,0.0,,0.62,0.62,0.615,0.0,,0.615,0.615,937.65M,945.08M,0.14
2010-03,5.065B,5.065B,403.00M,481.00M,884.00M,33.00M,-33.00M,37.00M,921.00M,33.00M,-33.00M,37.00M,-33.00M,974.00M,338.00M,636.00M,,636.00M,636.00M,,1.007B,0.68,0.0,,0.68,0.68,0.675,0.0,,0.675,0.675,935.85M,944.90M,0.14
2009-12,4.597B,4.597B,410.00M,572.00M,982.00M,26.00M,-26.00M,40.00M,1.022B,26.00M,-26.00M,6.00M,-26.00M,342.00M,90.00M,252.00M,,252.00M,252.00M,,368.00M,0.27,0.0,,0.27,0.27,0.265,0.0,,0.265,0.265,934.24M,942.24M,0.14
2009-09,4.526B,4.526B,388.00M,487.00M,875.00M,25.00M,-25.00M,44.00M,919.00M,25.00M,-25.00M,16.00M,-25.00M,549.00M,186.00M,363.00M,,363.00M,363.00M,,574.00M,0.39,0.0,,0.39,0.39,0.385,0.0,,0.385,0.385,933.17M,939.43M,0.14
2009-06,4.313B,4.313B,381.00M,,381.00M,14.00M,-14.00M,35.00M,416.00M,14.00M,-14.00M,33.00M,-14.00M,473.00M,159.00M,314.00M,,314.00M,314.00M,,487.00M,0.335,0.0,,0.335,0.335,0.335,0.0,,0.335,0.335,932.80M,936.57M,0.14
2009-03,4.818B,4.818B,389.00M,,389.00M,8.00M,-8.00M,32.00M,421.00M,8.00M,-8.00M,24.00M,-8.00M,871.00M,302.00M,569.00M,,569.00M,569.00M,,879.00M,0.61,0.0,,0.61,0.61,0.61,0.0,,0.61,0.61,932.19M,934.26M,0.14
2008-12,4.26B,4.26B,385.00M,,385.00M,8.00M,-8.00M,35.00M,420.00M,8.00M,-8.00M,4.00M,-8.00M,300.00M,103.00M,197.00M,,197.00M,197.00M,,308.00M,0.215,0.0,,0.215,0.215,0.215,0.0,,0.215,0.215,930.78M,937.84M,0.12
2008-09,3.691B,3.691B,355.00M,,355.00M,7.00M,-7.00M,30.00M,385.00M,7.00M,-7.00M,4.00M,-7.00M,148.00M,48.00M,100.00M,,100.00M,100.00M,,155.00M,0.105,0.0,,0.105,0.105,0.105,0.0,,0.105,0.105,950.71M,961.49M,0.12
2008-06,4.336B,4.336B,362.00M,,362.00M,7.00M,-7.00M,36.00M,398.00M,7.00M,-7.00M,16.00M,-7.00M,740.00M,257.00M,483.00M,,483.00M,483.00M,,747.00M,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,948.77M,961.66M,0.12
2008-03,4.267B,4.267B,358.00M,,358.00M,7.00M,-7.00M,605.00M,963.00M,7.00M,-7.00M,12.00M,-7.00M,726.00M,252.00M,474.00M,,474.00M,474.00M,,733.00M,0.495,0.0,,0.495,0.495,0.49,0.0,,0.49,0.49,956.28M,968.83M,0.12
2007-12,4.017B,4.017B,345.00M,,345.00M,7.00M,-7.00M,-1.482B,-1.137B,7.00M,-7.00M,18.00M,-7.00M,586.00M,203.00M,383.00M,,383.00M,383.00M,,593.00M,0.395,0.0,,0.395,0.395,0.39,0.0,,0.39,0.39,971.99M,984.44M,0.1025
2007-09,3.861B,3.861B,331.00M,,331.00M,6.00M,-6.00M,551.00M,882.00M,6.00M,-6.00M,8.00M,-6.00M,642.00M,222.00M,420.00M,,420.00M,420.00M,,648.00M,0.43,0.0,,0.43,0.43,0.425,0.0,,0.425,0.425,974.13M,985.64M,0.1025
2007-06,3.764B,3.764B,326.00M,,326.00M,6.00M,-6.00M,531.00M,857.00M,6.00M,-6.00M,15.00M,-6.00M,635.00M,220.00M,415.00M,,415.00M,415.00M,,641.00M,0.425,0.0,,0.425,0.425,0.42,0.0,,0.42,0.42,975.80M,988.45M,0.1025
2007-03,3.751B,3.751B,,,,8.00M,-8.00M,358.00M,358.00M,8.00M,-8.00M,16.00M,-8.00M,636.00M,220.00M,416.00M,,416.00M,416.00M,,644.00M,0.425,0.0,,0.425,0.425,0.42,0.0,,0.42,0.42,981.11M,993.32M,0.0925
2006-12,3.687B,3.687B,,,,5.00M,-5.00M,-943.00M,-943.00M,5.00M,-5.00M,12.00M,-5.00M,508.00M,175.00M,333.00M,,333.00M,333.00M,,513.00M,0.335,0.0,,0.335,0.335,0.33,0.0,,0.33,0.33,985.16M,997.06M,0.08
2006-09,3.672B,3.672B,,,,4.00M,-4.00M,349.00M,349.00M,4.00M,-4.00M,11.00M,-4.00M,557.00M,190.00M,367.00M,,367.00M,367.00M,,561.00M,0.37,0.0,,0.37,0.37,0.365,0.0,,0.365,0.365,989.85M,1.002B,0.065
2006-06,3.697B,3.697B,,,,5.00M,-5.00M,351.00M,351.00M,5.00M,-5.00M,12.00M,-5.00M,624.00M,216.00M,408.00M,,408.00M,408.00M,,629.00M,0.41,0.0,,0.41,0.41,0.405,0.0,,0.405,0.405,993.90M,1.007B,0.065
2006-03,3.559B,3.559B,,,,5.00M,-5.00M,347.00M,347.00M,5.00M,-5.00M,16.00M,-5.00M,575.00M,200.00M,375.00M,,375.00M,375.00M,,580.00M,0.375,0.0,,0.375,0.375,0.37,0.0,,0.37,0.37,996.07M,1.009B,0.065
2005-12,3.567B,3.567B,,,,6.00M,-6.00M,-959.00M,-959.00M,6.00M,-6.00M,11.00M,-6.00M,559.00M,195.00M,364.00M,,364.00M,364.00M,,565.00M,0.365,0.0,,0.365,0.365,0.36,0.0,,0.36,0.36,998.18M,1.012B,0.055
2005-09,3.669B,3.669B,,,,6.00M,-6.00M,341.00M,341.00M,6.00M,-6.00M,10.00M,-6.00M,645.00M,190.00M,455.00M,,455.00M,455.00M,,651.00M,0.455,0.0,,0.455,0.455,0.45,0.0,,0.45,0.45,1.001B,1.015B,0.055
2005-06,3.567B,3.567B,,,,6.00M,-6.00M,358.00M,358.00M,6.00M,-6.00M,18.00M,-6.00M,516.00M,180.00M,336.00M,,336.00M,336.00M,,522.00M,0.335,0.0,,0.335,0.335,0.33,0.0,,0.33,0.33,1.003B,1.016B,0.055
2005-03,3.559B,3.559B,,,,6.00M,-6.00M,357.00M,357.00M,6.00M,-6.00M,1.00M,-6.00M,506.00M,178.00M,328.00M,,328.00M,328.00M,,512.00M,0.325,0.0,,0.325,0.325,0.32,0.0,,0.32,0.32,1.005B,1.019B,0.055
2004-12,3.447B,3.447B,,,,6.00M,-6.00M,-892.00M,-892.00M,6.00M,-6.00M,4.00M,-6.00M,441.00M,31.00M,385.00M,,410.00M,410.00M,,447.00M,0.405,0.0,,0.405,0.405,0.4,0.0,,0.4,0.4,1.009B,1.026B,0.0475
2004-09,3.321B,3.321B,,,,6.00M,-6.00M,334.00M,334.00M,6.00M,-6.00M,16.00M,-6.00M,451.00M,158.00M,293.00M,,293.00M,293.00M,,457.00M,0.29,0.0,,0.29,0.29,0.285,0.0,,0.285,0.285,1.013B,1.031B,0.0475
2004-06,3.233B,3.233B,,,,6.00M,-6.00M,330.00M,330.00M,6.00M,-6.00M,-14.00M,-6.00M,413.00M,155.00M,258.00M,,258.00M,258.00M,,419.00M,0.255,0.0,,0.255,0.255,0.25,0.0,,0.25,0.25,1.017B,1.036B,0.0475
2004-03,3.28B,3.28B,,,,6.00M,-6.00M,333.00M,333.00M,6.00M,-6.00M,27.00M,-6.00M,466.00M,162.00M,304.00M,,304.00M,304.00M,,472.00M,0.3,0.0,,0.3,0.3,0.295,0.0,,0.295,0.295,1.020B,1.039B,0.0475
2003-12,2.847B,2.847B,,,,6.00M,-6.00M,-818.00M,-818.00M,6.00M,-6.00M,-6.00M,-6.00M,79.00M,34.00M,45.00M,,45.00M,45.00M,,85.00M,0.045,0.0,,0.045,0.045,0.045,0.0,,0.045,0.045,1.022B,1.040B,0.04
2003-09,2.931B,2.931B,,,,6.00M,-6.00M,305.00M,305.00M,6.00M,-6.00M,9.00M,-6.00M,371.00M,134.00M,237.00M,,237.00M,237.00M,,377.00M,0.23,0.0,,0.23,0.23,0.225,0.0,,0.225,0.225,1.027B,1.042B,0.04
2003-06,2.861B,2.861B,,,,5.00M,-5.00M,304.00M,304.00M,5.00M,-5.00M,24.00M,-5.00M,377.00M,129.00M,248.00M,,248.00M,248.00M,,382.00M,0.24,0.0,,0.24,0.24,0.24,0.0,,0.24,0.24,1.027B,1.045B,0.035
2003-03,2.807B,2.807B,,,,5.00M,-5.00M,292.00M,292.00M,5.00M,-5.00M,12.00M,-5.00M,370.00M,133.00M,237.00M,,237.00M,237.00M,,375.00M,0.23,0.0,,0.23,0.23,0.225,0.0,,0.225,0.225,1.029B,1.049B,0.035
2002-12,2.666B,2.666B,,,,6.00M,-6.00M,-714.00M,-714.00M,6.00M,-6.00M,0.00,-6.00M,295.00M,109.00M,186.00M,,186.00M,186.00M,,301.00M,0.185,0.0,,0.185,0.185,0.175,0.0,,0.175,0.175,1.031B,1.052B,0.03
2002-09,2.707B,2.707B,,,,5.00M,-5.00M,293.00M,293.00M,5.00M,-5.00M,39.00M,-5.00M,357.00M,117.00M,240.00M,,240.00M,240.00M,,362.00M,0.23,0.0,,0.23,0.23,0.225,0.0,,0.225,0.225,1.034B,1.056B,0.03
2002-06,2.513B,2.513B,,,,5.00M,-5.00M,283.00M,283.00M,5.00M,-5.00M,22.00M,-5.00M,322.00M,110.00M,212.00M,,212.00M,212.00M,,327.00M,0.205,0.0,,0.205,0.205,0.2,0.0,,0.2,0.2,1.036B,1.059B,0.03
2002-03,2.371B,2.371B,,,,4.00M,-4.00M,263.00M,263.00M,4.00M,-4.00M,,-4.00M,285.00M,102.00M,183.00M,,183.00M,183.00M,,289.00M,0.175,0.0,,0.175,0.175,0.17,0.0,,0.17,0.17,1.039B,1.059B,0.025
2001-12,2.404B,2.404B,,,,4.00M,-4.00M,-748.00M,-748.00M,4.00M,-4.00M,-29.00M,-4.00M,264.00M,102.00M,162.00M,,162.00M,162.00M,,268.00M,0.155,0.0,,0.155,0.155,0.155,0.0,,0.155,0.155,1.044B,1.065B,0.025
2001-09,2.446B,2.446B,,,,5.00M,-5.00M,273.00M,273.00M,5.00M,-5.00M,47.00M,-5.00M,294.00M,101.00M,193.00M,,193.00M,193.00M,,299.00M,0.185,0.0,,0.185,0.185,0.18,0.0,,0.18,0.18,1.049B,1.072B,0.025
2001-06,2.348B,2.348B,,,,5.00M,-5.00M,272.00M,272.00M,5.00M,-5.00M,-10.00M,-5.00M,249.00M,96.00M,153.00M,,153.00M,153.00M,,254.00M,0.145,0.0,,0.145,0.145,0.14,0.0,,0.14,0.14,1.052B,1.078B,0.025
2001-03,2.421B,2.421B,,,,5.00M,-5.00M,272.00M,272.00M,5.00M,-5.00M,11.00M,-5.00M,274.00M,96.00M,178.00M,,178.00M,178.00M,,279.00M,0.17,0.0,,0.17,0.17,0.165,0.0,,0.165,0.165,1.056B,1.084B,0.0212
2000-12,2.479B,2.479B,,,,5.00M,-5.00M,-658.00M,-658.00M,5.00M,-5.00M,8.00M,-5.00M,257.00M,91.00M,166.00M,,166.00M,166.00M,,262.00M,0.16,0.0,,0.16,0.16,0.15,0.0,,0.15,0.15,1.060B,1.092B,0.0212
2000-09,2.472B,2.472B,,,,5.00M,-5.00M,283.00M,283.00M,5.00M,-5.00M,8.00M,-5.00M,252.00M,89.00M,163.00M,,163.00M,163.00M,,257.00M,0.155,0.0,,0.155,0.155,0.15,0.0,,0.15,0.15,1.060B,1.089B,0.0212
2000-06,2.355B,2.355B,,,,5.00M,-5.00M,174.00M,174.00M,5.00M,-5.00M,11.00M,-5.00M,259.00M,57.00M,202.00M,,202.00M,202.00M,,264.00M,0.19,0.0,,0.19,0.19,0.185,0.0,,0.185,0.185,1.062B,1.090B,0.0212
2000-03,2.398B,2.398B,,,,5.00M,-5.00M,272.00M,272.00M,5.00M,-5.00M,4.00M,-5.00M,243.00M,87.00M,156.00M,,156.00M,156.00M,,248.00M,0.145,0.0,,0.145,0.145,0.145,0.0,,0.145,0.145,1.062B,1.089B,0.0188
1999-12,2.365B,2.365B,,,,5.00M,-5.00M,,,5.00M,-5.00M,-974.00M,-5.00M,778.00M,57.00M,102.00M,,102.00M,102.00M,,783.00M,0.09,0.0,,0.09,0.09,0.09,0.0,,0.09,0.09,1.064B,1.098B,0.0188
1999-09,2.196B,2.196B,,,,5.00M,-5.00M,,,5.00M,-5.00M,349.00M,-5.00M,0.00,76.00M,144.00M,,144.00M,144.00M,,5.00M,0.135,0.0,,0.135,0.135,0.13,0.0,,0.13,0.13,1.062B,1.098B,0.0188
1999-06,2.032B,2.032B,,,,5.00M,-5.00M,,,5.00M,-5.00M,,-5.00M,0.00,67.00M,130.00M,,130.00M,130.00M,,5.00M,0.125,0.0,,0.125,0.125,0.12,0.0,,0.12,0.12,1.063B,1.104B,0.0188
1999-03,2.048B,2.048B,,,,4.00M,-4.00M,,,4.00M,-4.00M,,-4.00M,0.00,7.00M,196.00M,,196.00M,196.00M,,4.00M,0.185,0.0,,0.185,0.185,0.18,0.0,,0.18,0.18,1.064B,1.107B,0.0162
1998-12,1.944B,1.944B,,,,4.00M,-4.00M,,,4.00M,-4.00M,-817.00M,-4.00M,551.00M,60.00M,116.00M,,116.00M,116.00M,,555.00M,0.1075,0.0,,0.1075,0.1075,0.105,0.0,,0.105,0.105,1.081B,1.092B,0.0162
1998-09,1.70B,1.70B,,,,2.80M,-2.80M,,,2.80M,-2.80M,279.00M,-2.80M,0.00,53.00M,108.00M,,108.00M,108.00M,20.00M,2.80M,0.1,0.0,,0.1,0.1,0.1,0.0,,0.1,0.1,1.08B,1.08B,0.0162
1998-06,1.704B,1.704B,,,,3.00M,-3.00M,,,3.00M,-3.00M,280.00M,-3.00M,0.00,57.00M,103.00M,,103.00M,103.00M,,3.00M,0.095,0.0,,0.095,0.095,0.095,0.0,,0.095,0.095,1.084B,1.084B,0.0162
