,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,717.00M,134.00M,134.00M,,,,-35.00M,-33.00M,14.00M,,-131.00M,,,,455.00M,1.238B,,,-3.117B,4.544B,-199.00M,2.00M,,2.00M,14.00M,-296.00M,-282.00M,-195.00M,-195.00M,2.00M,-473.00M,3.491B,566.00M,23.00M,4.08B,14.00M,2.00M,,-296.00M,396.00M,36.00M
2017-12,2.583B,-15.00M,-15.00M,,,,-107.00M,-60.00M,-59.00M,,-1.563B,,,,-869.00M,1.532B,,,-1.572B,58.00M,-2.544B,15.00M,,15.00M,10.00M,-298.00M,-288.00M,-170.00M,-170.00M,-9.00M,-452.00M,4.927B,-1.464B,28.00M,3.491B,10.00M,516.00M,-501.00M,-298.00M,87.00M,52.00M
2017-09,716.00M,-30.00M,-30.00M,,,,-113.00M,132.00M,-40.00M,,-45.00M,,,,726.00M,1.431B,,,170.00M,-160.00M,-370.00M,-4.00M,,-4.00M,6.00M,-240.00M,-234.00M,-163.00M,-163.00M,19.00M,-382.00M,4.264B,679.00M,-16.00M,4.927B,6.00M,0.00,-4.00M,-240.00M,400.00M,41.00M
2017-06,713.00M,56.00M,56.00M,,,,-75.00M,55.00M,-98.00M,,97.00M,,,,659.00M,1.408B,,,125.00M,-802.00M,-990.00M,-2.00M,,-2.00M,6.00M,-203.00M,-197.00M,-162.00M,-162.00M,6.00M,-355.00M,4.205B,63.00M,-4.00M,4.264B,6.00M,0.00,-2.00M,-203.00M,235.00M,56.00M
2017-03,592.00M,140.00M,140.00M,,,,-41.00M,23.00M,106.00M,,271.00M,,,,1.043B,1.757B,,,-2.069B,631.00M,-1.527B,-130.00M,,-130.00M,11.00M,-610.00M,-599.00M,-166.00M,-166.00M,19.00M,-876.00M,4.859B,-646.00M,-8.00M,4.205B,11.00M,524.00M,-654.00M,-610.00M,58.00M,47.00M
2016-12,751.00M,-344.00M,-344.00M,,,,,305.00M,1.00M,,272.00M,,,,1.461B,1.867B,,,-111.00M,-86.00M,-1.217B,-380.00M,,-380.00M,9.00M,-200.00M,-191.00M,-166.00M,-166.00M,-47.00M,-784.00M,5.27B,-134.00M,-277.00M,4.859B,9.00M,-2.00M,-378.00M,-200.00M,-68.00M,56.00M
2016-09,629.00M,164.00M,164.00M,,,,,122.00M,-12.00M,,-229.00M,,,,351.00M,1.266B,,,-361.00M,152.00M,-209.00M,757.00M,,757.00M,18.00M,-208.00M,-190.00M,-162.00M,-162.00M,41.00M,446.00M,3.70B,1.503B,67.00M,5.27B,18.00M,988.00M,-231.00M,-208.00M,650.00M,54.00M
2016-06,548.00M,224.00M,224.00M,,,,,-170.00M,21.00M,,231.00M,,,,921.00M,1.523B,,,-732.00M,-210.00M,-942.00M,-1.00M,,-1.00M,12.00M,-402.00M,-390.00M,-163.00M,-163.00M,39.00M,-515.00M,3.449B,66.00M,185.00M,3.70B,12.00M,0.00,-1.00M,-402.00M,165.00M,47.00M
2016-03,731.00M,-30.00M,-30.00M,,,,,83.00M,32.00M,,-367.00M,,,,547.00M,1.331B,,,-1.139B,-348.00M,-1.487B,0.00,,0.00,7.00M,-612.00M,-605.00M,-167.00M,-167.00M,6.00M,-766.00M,4.35B,-922.00M,21.00M,3.449B,7.00M,0.00,0.00,-612.00M,779.00M,54.00M
2015-12,730.00M,-80.00M,-80.00M,,,,,561.00M,49.00M,,7.00M,,,,1.036B,2.006B,,,-732.00M,-42.00M,-814.00M,0.00,,0.00,8.00M,-234.00M,-226.00M,-167.00M,-167.00M,32.00M,-361.00M,3.52B,831.00M,-1.00M,4.35B,8.00M,0.00,0.00,-234.00M,0.00,48.00M
2015-09,567.00M,114.00M,114.00M,,,,,145.00M,97.00M,,-173.00M,,,,841.00M,1.667B,,,-110.00M,-407.00M,-517.00M,-422.00M,,-422.00M,8.00M,-233.00M,-225.00M,-161.00M,-161.00M,69.00M,-739.00M,3.103B,411.00M,6.00M,3.52B,8.00M,0.00,-422.00M,-233.00M,469.00M,61.00M
2015-06,573.00M,-127.00M,-127.00M,,,,,230.00M,-140.00M,,286.00M,,,,967.00M,1.643B,,,103.00M,-1.591B,-1.488B,-841.00M,,-841.00M,7.00M,-238.00M,-231.00M,-163.00M,-163.00M,-174.00M,-1.409B,4.363B,-1.254B,-6.00M,3.103B,7.00M,9.00M,-850.00M,-238.00M,10.00M,80.00M
2015-03,663.00M,-13.00M,-13.00M,,,,,19.00M,141.00M,,-156.00M,,,,791.00M,1.46B,,,-2.641B,563.00M,-2.078B,989.00M,,989.00M,13.00M,-610.00M,-597.00M,-165.00M,-165.00M,95.00M,322.00M,4.658B,-296.00M,1.00M,4.363B,13.00M,989.00M,,-610.00M,517.00M,47.00M
2014-12,703.00M,-143.00M,-143.00M,,,,,175.00M,-5.00M,,393.00M,,,,1.238B,1.973B,,,4.514B,-4.611B,-97.00M,750.00M,,750.00M,8.00M,-512.00M,-504.00M,-168.00M,-168.00M,97.00M,175.00M,2.666B,2.051B,-59.00M,4.658B,8.00M,750.00M,0.00,-512.00M,4.00M,70.00M
2014-09,706.00M,-16.00M,-16.00M,,,,,-24.00M,-26.00M,,-187.00M,,,,779.00M,1.445B,,,-5.148B,4.598B,-550.00M,-335.00M,,-335.00M,4.00M,-176.00M,-172.00M,-162.00M,-162.00M,146.00M,-523.00M,2.252B,372.00M,42.00M,2.666B,4.00M,0.00,-335.00M,-176.00M,539.00M,50.00M
2014-06,810.00M,-102.00M,-102.00M,,,,,124.00M,-147.00M,,237.00M,,,,685.00M,1.517B,,,-995.00M,-476.00M,-1.471B,0.00,,0.00,5.00M,-101.00M,-96.00M,-161.00M,-161.00M,490.00M,233.00M,1.994B,279.00M,-21.00M,2.252B,5.00M,0.00,0.00,-101.00M,174.00M,70.00M
2014-03,732.00M,46.00M,46.00M,,,,,34.00M,171.00M,,-320.00M,,,,803.00M,1.615B,,,575.00M,-2.698B,-2.123B,0.00,,0.00,16.00M,-421.00M,-405.00M,-163.00M,-163.00M,536.00M,-32.00M,2.543B,-540.00M,-9.00M,1.994B,16.00M,0.00,,-421.00M,699.00M,51.00M
2013-12,675.00M,-20.00M,-20.00M,,,,,1.073B,21.00M,,571.00M,,,,1.66B,3.388B,,,-9.658B,6.088B,-3.57B,0.00,,0.00,29.00M,-506.00M,-477.00M,-163.00M,-163.00M,643.00M,3.00M,2.749B,-179.00M,-27.00M,2.543B,29.00M,0.00,0.00,-506.00M,81.00M,71.00M
2013-09,702.00M,-22.00M,-22.00M,,,,,-503.00M,-58.00M,,-184.00M,,,,1.284B,1.461B,,,-1.437B,-274.00M,-1.711B,0.00,,0.00,20.00M,-20.00M,0.00,-157.00M,-157.00M,764.00M,607.00M,2.388B,357.00M,4.00M,2.749B,20.00M,0.00,0.00,-20.00M,278.00M,36.00M
2013-06,889.00M,-201.00M,-201.00M,,,,,-569.00M,-174.00M,,413.00M,,,,1.747B,1.866B,,,-3.992B,1.267B,-2.725B,700.00M,,700.00M,20.00M,-131.00M,-111.00M,-156.00M,-156.00M,249.00M,682.00M,2.596B,-177.00M,-31.00M,2.388B,20.00M,700.00M,,-131.00M,100.00M,60.00M
2013-03,892.00M,-156.00M,-156.00M,,,,,400.00M,203.00M,,193.00M,,,,2.696B,3.832B,,,2.994B,-6.079B,-3.085B,0.00,,0.00,19.00M,-156.00M,-137.00M,-159.00M,-159.00M,140.00M,-156.00M,2.041B,591.00M,-36.00M,2.596B,19.00M,0.00,0.00,-156.00M,295.00M,43.00M
2012-12,581.00M,172.00M,172.00M,,,,,-55.00M,4.00M,,327.00M,,,,2.803B,3.501B,,,-4.805B,352.00M,-4.453B,49.00M,,49.00M,13.00M,-105.00M,-92.00M,-158.00M,-158.00M,365.00M,164.00M,2.985B,-788.00M,-156.00M,2.041B,13.00M,50.00M,-1.00M,-105.00M,26.00M,59.00M
2012-09,1.017B,-286.00M,-286.00M,,,,,71.00M,-130.00M,,280.00M,,,,3.404B,4.206B,,,-10.67B,6.233B,-4.441B,706.00M,,706.00M,8.00M,-3.00M,5.00M,-149.00M,-149.00M,494.00M,1.056B,2.13B,821.00M,34.00M,2.985B,8.00M,707.00M,-1.00M,-3.00M,174.00M,36.00M
2012-06,483.00M,418.00M,418.00M,,,,,-130.00M,-56.00M,,125.00M,,,,2.918B,3.689B,,,-3.671B,49.00M,-3.622B,-338.00M,,-338.00M,6.00M,0.00,6.00M,-148.00M,-148.00M,304.00M,-176.00M,2.21B,-109.00M,29.00M,2.13B,6.00M,0.00,-338.00M,0.00,232.00M,39.00M
2012-03,785.00M,45.00M,45.00M,,,,,-24.00M,-17.00M,,-20.00M,,,,2.75B,3.556B,,,-3.761B,-675.00M,-4.436B,748.00M,,748.00M,5.00M,-10.00M,-5.00M,-148.00M,-148.00M,306.00M,901.00M,2.249B,21.00M,-60.00M,2.21B,5.00M,749.00M,-1.00M,-10.00M,356.00M,44.00M
2011-12,538.00M,222.00M,222.00M,,,,,239.00M,-1.807B,,206.00M,,-3.259B,,2.357B,3.356B,,,-2.999B,616.00M,-3.05B,-4.00M,,-4.00M,8.00M,-40.00M,-32.00M,-148.00M,-148.00M,263.00M,79.00M,1.862B,385.00M,2.00M,2.249B,8.00M,-4.00M,0.00,-40.00M,138.00M,76.00M
2011-09,736.00M,83.00M,83.00M,,,,,13.00M,906.00M,,149.00M,,1.337B,,2.276B,3.108B,,,-3.263B,-2.00M,-2.745B,163.00M,,163.00M,-8.00M,-46.00M,-54.00M,-144.00M,-144.00M,195.00M,160.00M,1.291B,523.00M,48.00M,1.862B,-8.00M,624.00M,-461.00M,-46.00M,230.00M,16.00M
2011-06,274.00M,668.00M,668.00M,,,,,-125.00M,465.00M,,63.00M,,971.00M,,1.394B,2.211B,,,-3.104B,-64.00M,-3.021B,0.00,,0.00,10.00M,-38.00M,-28.00M,-125.00M,-125.00M,149.00M,-4.00M,2.088B,-814.00M,17.00M,1.291B,10.00M,0.00,0.00,-38.00M,226.00M,60.00M
2011-03,389.00M,579.00M,579.00M,,,,,38.00M,461.00M,,-152.00M,,951.00M,,1.161B,2.167B,,,-2.048B,35.00M,-2.013B,-1.00M,,-1.00M,16.00M,-184.00M,-168.00M,-135.00M,-135.00M,133.00M,-171.00M,2.121B,-17.00M,-16.00M,2.088B,16.00M,0.00,-1.00M,-184.00M,234.00M,12.00M
2010-12,421.00M,295.00M,295.00M,,,,,-41.00M,359.00M,,137.00M,,-2.463B,,1.445B,2.12B,,,-2.379B,-322.00M,-2.352B,5.00M,,5.00M,6.00M,-116.00M,-110.00M,-140.00M,-140.00M,140.00M,-105.00M,2.434B,-337.00M,24.00M,2.121B,6.00M,0.00,5.00M,-116.00M,91.00M,48.00M
2010-09,690.00M,-8.00M,-8.00M,,,,,186.00M,296.00M,,-181.00M,,990.00M,,978.00M,1.846B,,,-1.414B,-7.00M,-1.904B,294.00M,,294.00M,3.00M,0.00,3.00M,-133.00M,-133.00M,109.00M,273.00M,2.184B,215.00M,35.00M,2.434B,3.00M,748.00M,-454.00M,0.00,394.00M,25.00M
2010-06,581.00M,89.00M,89.00M,,,,,-45.00M,188.00M,,252.00M,,794.00M,,1.12B,1.745B,,,-1.321B,-13.00M,-1.207B,-1.00M,,-1.00M,29.00M,0.00,29.00M,-131.00M,-131.00M,119.00M,16.00M,1.611B,554.00M,19.00M,2.184B,29.00M,,-1.00M,0.00,129.00M,42.00M
2010-03,636.00M,46.00M,46.00M,,,,,-197.00M,235.00M,,-71.00M,,679.00M,,793.00M,1.278B,,,-1.978B,2.00M,-1.969B,-1.00M,,-1.00M,7.00M,-5.00M,2.00M,-131.00M,-131.00M,107.00M,-23.00M,2.323B,-714.00M,2.00M,1.611B,7.00M,,-1.00M,-5.00M,403.00M,10.00M
2009-12,252.00M,473.00M,473.00M,,,,,126.00M,178.00M,,33.00M,,800.00M,,907.00M,1.758B,,,-1.824B,-31.00M,-1.589B,385.00M,,385.00M,11.00M,-6.00M,5.00M,,-131.00M,94.00M,353.00M,1.804B,522.00M,-3.00M,2.323B,11.00M,401.00M,-16.00M,-6.00M,77.00M,39.00M
2009-09,363.00M,347.00M,347.00M,,,,,137.00M,103.00M,,-111.00M,,798.00M,,682.00M,1.529B,,,-1.085B,6.00M,-1.579B,164.00M,,164.00M,2.00M,-2.00M,0.00,,-131.00M,110.00M,143.00M,1.689B,93.00M,22.00M,1.804B,2.00M,160.00M,4.00M,-2.00M,246.00M,7.00M
2009-06,313.00M,380.00M,380.00M,,,,,-17.00M,-132.00M,,30.00M,,687.00M,42.00M,549.00M,1.225B,,,66.00M,14.00M,-983.00M,297.00M,,297.00M,0.00,0.00,0.00,,-131.00M,82.00M,248.00M,1.196B,490.00M,3.00M,1.689B,0.00,844.00M,-547.00M,0.00,114.00M,9.00M
2009-03,569.00M,12.00M,12.00M,,,,,,257.00M,,187.00M,,734.00M,-42.00M,1.068B,1.649B,,,-1.264B,-61.00M,-1.325B,-1.00M,,-1.00M,4.00M,-2.00M,2.00M,,-131.00M,85.00M,-45.00M,941.00M,279.00M,-24.00M,1.196B,4.00M,,-1.00M,-2.00M,190.00M,6.00M
2008-12,197.00M,402.00M,402.00M,,,,,145.00M,-12.00M,,-111.00M,,808.00M,,573.00M,1.317B,,,-1.251B,-467.00M,-1.048B,-2.00M,,-2.00M,6.00M,140.00M,146.00M,,-107.00M,72.00M,109.00M,514.00M,378.00M,49.00M,941.00M,6.00M,0.00,-2.00M,140.00M,106.00M,8.00M
2008-09,100.00M,597.00M,597.00M,,,,,81.00M,-12.00M,,-268.00M,,815.00M,,416.00M,1.194B,,,-1.156B,436.00M,-1.421B,-1.00M,,-1.00M,6.00M,-825.00M,-819.00M,,-109.00M,278.00M,-651.00M,1.387B,-878.00M,5.00M,514.00M,6.00M,0.00,-1.00M,-825.00M,297.00M,6.00M
2008-06,483.00M,1.00M,1.00M,,,,,-31.00M,-120.00M,,225.00M,,829.00M,,805.00M,1.258B,,,-1.301B,-15.00M,-712.00M,-1.00M,-60.00M,-61.00M,11.00M,-41.00M,-30.00M,,-109.00M,148.00M,-52.00M,908.00M,494.00M,-15.00M,1.387B,11.00M,-60.00M,-1.00M,-41.00M,67.00M,8.00M
2008-03,474.00M,7.00M,7.00M,,,,,17.00M,134.00M,,-117.00M,,783.00M,,698.00M,1.196B,,,-1.183B,-16.00M,-1.102B,-1.00M,60.00M,59.00M,9.00M,-764.00M,-755.00M,,-109.00M,16.00M,-789.00M,1.563B,-695.00M,40.00M,908.00M,9.00M,60.00M,-1.00M,-764.00M,295.00M,5.00M
2007-12,383.00M,0.00,0.00,,,,,65.00M,-36.00M,,209.00M,,794.00M,26.00M,866.00M,1.314B,,,-1.06B,-21.00M,-940.00M,-1.00M,,-1.00M,10.00M,-127.00M,-117.00M,,-96.00M,69.00M,-145.00M,1.328B,229.00M,6.00M,1.563B,10.00M,0.00,-1.00M,-127.00M,-4.00M,7.00M
2007-09,420.00M,-1.00M,-1.00M,,,,,81.00M,-149.00M,,-19.00M,,831.00M,-26.00M,513.00M,1.013B,,,-491.00M,-14.00M,-972.00M,-1.00M,,-1.00M,14.00M,-124.00M,-110.00M,,-95.00M,71.00M,-135.00M,1.406B,-94.00M,16.00M,1.328B,14.00M,0.00,-1.00M,-124.00M,165.00M,8.00M
2007-06,415.00M,-27.00M,-27.00M,,,,,-840.00M,-30.00M,97.00M,172.00M,,1.569B,,1.605B,1.153B,,,438.00M,-1.195B,-454.00M,-2.00M,,-2.00M,15.00M,-114.00M,-99.00M,,-96.00M,81.00M,-116.00M,834.00M,583.00M,-11.00M,1.406B,15.00M,242.00M,-244.00M,-114.00M,255.00M,11.00M
2007-03,416.00M,,,,,,,759.00M,39.00M,-97.00M,59.00M,,,,1.00M,1.176B,,,-2.463B,1.175B,-1.288B,-1.00M,,-1.00M,8.00M,-241.00M,-233.00M,,-86.00M,61.00M,-259.00M,1.203B,-371.00M,2.00M,834.00M,8.00M,,-1.00M,-241.00M,,
2006-12,333.00M,,,,,,,-2.445B,-13.00M,339.00M,188.00M,,,,3.344B,1.153B,,,3.347B,-4.497B,-1.173B,-17.00M,,-17.00M,13.00M,-143.00M,-130.00M,,-75.00M,71.00M,-151.00M,1.378B,-171.00M,-4.00M,1.203B,13.00M,0.00,-17.00M,-143.00M,,
2006-09,367.00M,,,,,,,898.00M,-24.00M,-123.00M,-53.00M,,,,-200.00M,1.065B,,,-7.906B,7.059B,-847.00M,381.00M,,381.00M,6.00M,-130.00M,-124.00M,,-60.00M,46.00M,243.00M,924.00M,461.00M,-7.00M,1.378B,6.00M,382.00M,-1.00M,-130.00M,,
2006-06,408.00M,,,,,,,811.00M,-101.00M,-118.00M,156.00M,,,,-63.00M,1.156B,,,493.00M,-1.442B,-949.00M,-357.00M,,-357.00M,8.00M,-99.00M,-91.00M,,-61.00M,63.00M,-446.00M,1.155B,-239.00M,8.00M,924.00M,8.00M,0.00,-357.00M,-99.00M,,
2006-03,375.00M,,,,,,,760.00M,97.00M,-98.00M,-111.00M,,,,-112.00M,1.023B,,,-158.00M,-930.00M,-1.088B,-2.00M,,-2.00M,15.00M,-98.00M,-83.00M,,-62.00M,67.00M,-80.00M,1.297B,-145.00M,3.00M,1.155B,15.00M,,-2.00M,-98.00M,,
2005-12,364.00M,,,,,,,-2.476B,-20.00M,339.00M,174.00M,,,,3.343B,969.00M,,,-1.881B,716.00M,-1.181B,-263.00M,,-263.00M,11.00M,-121.00M,-110.00M,,-51.00M,82.00M,-342.00M,1.862B,-554.00M,-11.00M,1.297B,11.00M,0.00,-263.00M,-121.00M,,
2005-09,455.00M,,,,,,,824.00M,-22.00M,-121.00M,-28.00M,,,,-171.00M,1.108B,,,1.121B,-2.089B,-968.00M,358.00M,,358.00M,12.00M,-92.00M,-80.00M,,-53.00M,75.00M,300.00M,1.428B,440.00M,-6.00M,1.862B,12.00M,360.00M,-2.00M,-92.00M,,
2005-06,336.00M,,,,,,,665.00M,5.00M,-115.00M,188.00M,,,,181.00M,1.182B,,,-323.00M,-346.00M,-669.00M,-2.00M,,-2.00M,17.00M,-112.00M,-95.00M,,-52.00M,91.00M,-58.00M,992.00M,455.00M,-19.00M,1.428B,17.00M,,-2.00M,-112.00M,,
2005-03,328.00M,,,,,,,1.041B,-6.00M,-103.00M,17.00M,,,,-195.00M,1.174B,,,-3.356B,-518.00M,-3.874B,-2.00M,,-2.00M,10.00M,-113.00M,-103.00M,,-53.00M,62.00M,-96.00M,3.813B,-2.796B,-25.00M,992.00M,10.00M,,-2.00M,-113.00M,,
2004-12,410.00M,,,,,,,121.00M,8.00M,316.00M,-86.00M,-151.00M,769.00M,,413.00M,956.00M,,,-968.00M,2.521B,1.532B,-2.00M,,-2.00M,6.00M,-114.00M,-108.00M,,-45.00M,57.00M,-98.00M,1.388B,2.39B,35.00M,3.813B,6.00M,0.00,-2.00M,-114.00M,,
2004-09,293.00M,,,,,,,1.021B,51.00M,-108.00M,-1.028B,51.00M,793.00M,,-33.00M,1.281B,,,-865.00M,-2.00M,-867.00M,-3.00M,,-3.00M,8.00M,-100.00M,-92.00M,,-45.00M,57.00M,-83.00M,1.072B,331.00M,-15.00M,1.388B,8.00M,0.00,-3.00M,-100.00M,,
2004-06,259.00M,,,,,,,-466.00M,-34.00M,-108.00M,760.00M,-34.00M,760.00M,,1.236B,1.029B,,,-1.077B,-7.00M,-1.084B,-3.00M,,-3.00M,8.00M,-51.00M,-43.00M,,-46.00M,66.00M,-26.00M,1.169B,-81.00M,-16.00M,1.072B,8.00M,,-3.00M,-51.00M,,
2004-03,304.00M,,,,,,,-554.00M,134.00M,-100.00M,701.00M,134.00M,701.00M,,1.47B,1.22B,,,-993.00M,-6.00M,-999.00M,-4.00M,,-4.00M,17.00M,-127.00M,-110.00M,,-46.00M,54.00M,-106.00M,1.052B,115.00M,2.00M,1.169B,17.00M,,-4.00M,-127.00M,,
2003-12,45.00M,,,,,,,-1.886B,-43.00M,279.00M,-146.00M,,,,2.323B,783.00M,,,-5.209B,4.42B,-810.00M,-9.00M,,-9.00M,9.00M,-127.00M,-118.00M,,-39.00M,39.00M,-127.00M,1.176B,-154.00M,30.00M,1.052B,9.00M,,-9.00M,-127.00M,,
2003-09,237.00M,,,,,,,771.00M,-17.00M,-98.00M,124.00M,,,,9.00M,1.017B,,,460.00M,-2.06B,-1.60B,-3.00M,,-3.00M,11.00M,-70.00M,-59.00M,,-39.00M,74.00M,-27.00M,1.735B,-610.00M,51.00M,1.176B,11.00M,,-3.00M,-70.00M,,
2003-06,249.00M,,,,,,,572.00M,-87.00M,-95.00M,-25.00M,,,,-207.00M,614.00M,,,861.00M,-629.00M,232.00M,-4.00M,,-4.00M,4.00M,-93.00M,-89.00M,,-34.00M,34.00M,-93.00M,985.00M,753.00M,-3.00M,1.735B,4.00M,,-4.00M,-93.00M,,
2003-03,237.00M,,,,,,,633.00M,61.00M,-86.00M,130.00M,,,,105.00M,975.00M,,,1.142B,-2.464B,-1.322B,-4.00M,,-4.00M,9.00M,-53.00M,-44.00M,,-34.00M,31.00M,-51.00M,1.379B,-398.00M,4.00M,985.00M,9.00M,,-4.00M,-53.00M,,
2002-12,186.00M,,,,,35.00M,,1.387B,-33.00M,254.00M,-1.709B,-22.00M,609.00M,,-1.019B,603.00M,-12.00M,-12.00M,-4.813B,4.372B,-453.00M,-3.00M,,-3.00M,13.00M,-82.00M,-69.00M,,-29.00M,15.00M,-86.00M,1.291B,64.00M,24.00M,1.379B,13.00M,0.00,-3.00M,-82.00M,,
2002-09,240.00M,,,,,-61.00M,,-207.00M,-24.00M,-94.00M,624.00M,-24.00M,624.00M,,1.012B,984.00M,-1.00M,-1.00M,494.00M,-896.00M,-403.00M,29.00M,,29.00M,7.00M,-89.00M,-82.00M,,-29.00M,21.00M,-61.00M,761.00M,520.00M,10.00M,1.291B,7.00M,254.00M,-225.00M,-89.00M,,
2002-06,212.00M,,,,,27.00M,,-630.00M,-12.00M,-86.00M,582.00M,-12.00M,582.00M,,968.00M,577.00M,-8.00M,-8.00M,699.00M,-1.044B,-353.00M,-3.00M,,-3.00M,8.00M,-42.00M,-34.00M,,-30.00M,26.00M,-41.00M,523.00M,183.00M,55.00M,761.00M,8.00M,0.00,-3.00M,-42.00M,,
