,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,238.00M,,-203.00M,-1.00M,-212.00M,144.00M,9.00M,153.00M,153.00M,,,,6.00M,6.00M,,,,,,,40.00M,104.00M,350.00M,,2018-03,-155.00M,,,6.00M,-10.00M,24.00M,-460.00M,,2018-03,-39.00M,,-39.00M,7.00M,-93.00M,-86.00M,,,,-10.00M,-12.00M,-14.00M,2018-03,1.086B,-70.00M,,1.016B,,2018-03,7.00M,,-39.00M,-93.00M,,,2018-03,AOR,Restated
2017-12,-1.461B,,-215.00M,,-186.00M,120.00M,-25.00M,95.00M,95.00M,,,1.554B,8.00M,58.00M,,,,,,,288.00M,576.00M,874.00M,,2017-12,-35.00M,,,9.00M,-83.00M,271.00M,-217.00M,,2017-12,870.00M,-1.541B,-671.00M,,-2.00M,-2.00M,,,,-10.00M,-33.00M,-924.00M,2017-12,1.371B,-294.00M,9.00M,1.086B,,2017-12,,870.00M,-1.541B,-2.00M,,,2017-12,AOR,Restated
2017-09,186.00M,0.00,29.00M,,60.00M,-14.00M,28.00M,14.00M,14.00M,,,-3.00M,11.00M,-14.00M,,,,,,,179.00M,216.00M,662.00M,,2017-09,353.00M,,,28.00M,58.00M,270.00M,123.00M,,2017-09,-638.00M,187.00M,-451.00M,,0.00,0.00,,,,-9.00M,-35.00M,-232.00M,2017-09,1.24B,659.00M,-2.00M,1.371B,,2017-09,,-638.00M,187.00M,0.00,,,2017-09,AOR,Restated
2017-06,99.00M,,-31.00M,,-40.00M,272.00M,21.00M,293.00M,293.00M,,,63.00M,8.00M,14.00M,,,,,,,-270.00M,-53.00M,141.00M,,2017-06,-327.00M,,,27.00M,-31.00M,33.00M,-264.00M,,2017-06,753.00M,-353.00M,400.00M,,,,,,,-10.00M,-127.00M,171.00M,2017-06,1.027B,214.00M,-1.00M,1.24B,,2017-06,,753.00M,-353.00M,,,,2017-06,AOR,Restated
2017-03,-169.00M,,38.00M,,36.00M,269.00M,30.00M,299.00M,299.00M,,,,8.00M,15.00M,,,,,,,-288.00M,15.00M,-67.00M,,2017-03,-245.00M,,,2.00M,-15.00M,36.00M,-281.00M,,2017-03,193.00M,-177.00M,16.00M,,0.00,0.00,,,,-9.00M,-28.00M,-153.00M,2017-03,1.386B,-352.00M,-7.00M,1.027B,,2017-03,,193.00M,-177.00M,0.00,,,2017-03,AOR,Restated
2016-12,-864.00M,,-14.00M,,67.00M,-44.00M,-63.00M,-107.00M,-107.00M,,,540.00M,-13.00M,-9.00M,,,,,,,273.00M,404.00M,167.00M,,2016-12,146.00M,,,-16.00M,8.00M,122.00M,-502.00M,,2016-12,-825.00M,207.00M,-618.00M,0.00,,0.00,0.00,0.00,,-10.00M,83.00M,-181.00M,2016-12,1.703B,-570.00M,7.00M,860.00M,,2016-12,0.00,-825.00M,207.00M,0.00,,,2016-12,AOR,Restated
2016-09,128.00M,,37.00M,,123.00M,311.00M,49.00M,360.00M,360.00M,,,16.00M,7.00M,13.00M,,,,,,,119.00M,136.00M,930.00M,,2016-09,-222.00M,,,17.00M,-25.00M,65.00M,215.00M,,2016-09,2.014B,-1.848B,166.00M,1.00M,,1.00M,0.00,0.00,,-9.00M,-237.00M,-57.00M,2016-09,1.162B,544.00M,-3.00M,1.703B,,2016-09,1.00M,2.014B,-1.848B,0.00,,,2016-09,AOR,Restated
2016-06,-267.00M,,43.00M,,153.00M,228.00M,56.00M,284.00M,284.00M,,,49.00M,8.00M,28.00M,,,,,,,46.00M,-69.00M,257.00M,,2016-06,-178.00M,,,3.00M,-6.00M,-97.00M,-327.00M,,2016-06,3.162B,-3.189B,-27.00M,,,,-226.00M,-226.00M,,-9.00M,-101.00M,-266.00M,2016-06,1.659B,-304.00M,3.00M,1.162B,,2016-06,,3.162B,-3.189B,-226.00M,,,2016-06,AOR,Restated
2016-03,47.00M,,-50.00M,,-46.00M,326.00M,26.00M,352.00M,352.00M,,,146.00M,8.00M,1.00M,,,,,,,19.00M,,554.00M,,2016-03,-291.00M,,,-5.00M,-10.00M,160.00M,-143.00M,,2016-03,61.00M,-316.00M,-255.00M,,,,,,,-48.00M,39.00M,-264.00M,2016-03,1.518B,147.00M,-6.00M,1.659B,,2016-03,,61.00M,-316.00M,,,,2016-03,AOR,Restated
2015-12,-6.253B,,55.00M,,25.00M,187.00M,83.00M,270.00M,270.00M,,,4.653B,2.00M,56.00M,,,,,,,1.294B,,-43.00M,,2015-12,-100.00M,,,36.00M,-38.00M,102.00M,-296.00M,,2015-12,325.00M,-408.00M,-83.00M,0.00,-84.00M,-84.00M,,,,-49.00M,-135.00M,-406.00M,2015-12,2.265B,-493.00M,-5.00M,1.322B,,2015-12,0.00,325.00M,-408.00M,-84.00M,,,2015-12,AOR,Restated
2015-09,67.00M,,-6.00M,,-10.00M,395.00M,36.00M,431.00M,431.00M,,,263.00M,13.00M,-2.00M,,,,,,,164.00M,,934.00M,,2015-09,-346.00M,,,5.00M,-5.00M,-61.00M,-372.00M,,2015-09,50.00M,-292.00M,-242.00M,0.00,-167.00M,-167.00M,,,,-50.00M,4.00M,-455.00M,2015-09,2.146B,107.00M,12.00M,2.265B,,2015-09,0.00,50.00M,-292.00M,-167.00M,,,2015-09,AOR,Restated
2015-06,-9.00M,,-75.00M,,-68.00M,406.00M,13.00M,419.00M,419.00M,,,0.00,13.00M,-3.00M,,,,,,,-176.00M,,198.00M,,2015-06,-331.00M,,,0.00,-338.00M,78.00M,-590.00M,,2015-06,381.00M,-568.00M,-187.00M,0.00,-107.00M,-107.00M,0.00,0.00,,-51.00M,734.00M,389.00M,2015-06,2.164B,-3.00M,-15.00M,2.146B,,2015-06,0.00,381.00M,-568.00M,-107.00M,,,2015-06,AOR,Restated
2015-03,-136.00M,,261.00M,,247.00M,408.00M,19.00M,427.00M,427.00M,,,0.00,11.00M,-4.00M,,,,,,,-332.00M,,260.00M,,2015-03,-252.00M,,,0.00,-45.00M,24.00M,-270.00M,,2015-03,248.00M,-94.00M,154.00M,1.00M,-79.00M,-78.00M,,,,-51.00M,15.00M,40.00M,2015-03,2.116B,30.00M,18.00M,2.164B,,2015-03,1.00M,248.00M,-94.00M,-79.00M,,,2015-03,AOR,Restated
2014-12,97.00M,,-309.00M,,-288.00M,440.00M,12.00M,452.00M,452.00M,,,27.00M,10.00M,-3.00M,,,,,,,318.00M,,396.00M,,2014-12,-250.00M,,,,-120.00M,432.00M,55.00M,,2014-12,107.00M,-519.00M,-412.00M,6.00M,-39.00M,-33.00M,,,,-56.00M,225.00M,-276.00M,2014-12,1.953B,175.00M,-12.00M,2.116B,,2014-12,6.00M,107.00M,-519.00M,-39.00M,,,2014-12,AOR,Restated
2014-09,182.00M,,-287.00M,,-291.00M,388.00M,30.00M,418.00M,418.00M,,,70.00M,8.00M,0.00,,,,,,,345.00M,,744.00M,,2014-09,-168.00M,,,,-1.08B,49.00M,-1.205B,,2014-09,570.00M,-339.00M,231.00M,7.00M,0.00,7.00M,,,,-49.00M,718.00M,907.00M,2014-09,1.481B,446.00M,26.00M,1.953B,,2014-09,7.00M,570.00M,-339.00M,0.00,,,2014-09,AOR,Restated
2014-06,-80.00M,,10.00M,,14.00M,395.00M,9.00M,404.00M,404.00M,,,,16.00M,-4.00M,,,,,,,-421.00M,,-21.00M,,2014-06,-270.00M,,,,-1.621B,15.00M,-1.877B,,2014-06,2.322B,-2.096B,226.00M,5.00M,0.00,5.00M,,,,-50.00M,37.00M,218.00M,2014-06,3.187B,-1.68B,-26.00M,1.481B,,2014-06,5.00M,2.322B,-2.096B,0.00,,,2014-06,AOR,Restated
2014-03,-67.00M,,525.00M,,525.00M,346.00M,13.00M,359.00M,359.00M,,,,8.00M,-5.00M,,,,,,,-448.00M,,391.00M,,2014-03,-237.00M,,,,-218.00M,584.00M,124.00M,,2014-03,1.564B,-873.00M,691.00M,3.00M,0.00,3.00M,,,,-41.00M,-237.00M,416.00M,2014-03,2.254B,931.00M,2.00M,3.187B,,2014-03,3.00M,1.564B,-873.00M,0.00,,,2014-03,AOR,Restated
2013-12,-290.00M,,-25.00M,,-20.00M,318.00M,-26.00M,292.00M,292.00M,,,558.00M,6.00M,-11.00M,,,,,,,-140.00M,,447.00M,,2013-12,-406.00M,,,,-120.00M,25.00M,-497.00M,,2013-12,172.00M,-67.00M,105.00M,2.00M,0.00,2.00M,,,,-41.00M,110.00M,176.00M,2013-12,2.129B,126.00M,-1.00M,2.254B,,2013-12,2.00M,172.00M,-67.00M,0.00,,,2013-12,AOR,Restated
2013-09,138.00M,,15.00M,,8.00M,338.00M,-49.00M,289.00M,289.00M,,,0.00,8.00M,4.00M,,,,,,,410.00M,,901.00M,,2013-09,-300.00M,,,,-335.00M,-21.00M,-656.00M,,2013-09,133.00M,-52.00M,81.00M,5.00M,0.00,5.00M,,,,-40.00M,469.00M,515.00M,2013-09,1.368B,760.00M,1.00M,2.129B,,2013-09,5.00M,133.00M,-52.00M,0.00,,,2013-09,AOR,Restated
2013-06,131.00M,,-143.00M,,-161.00M,323.00M,93.00M,416.00M,416.00M,,,,6.00M,-13.00M,,,,,,,-352.00M,,46.00M,,2013-06,-468.00M,,,,-21.00M,-35.00M,-539.00M,,2013-06,736.00M,-597.00M,139.00M,8.00M,-5.00M,3.00M,,,,-42.00M,56.00M,156.00M,2013-06,1.707B,-337.00M,-2.00M,1.368B,,2013-06,8.00M,736.00M,-597.00M,-5.00M,,,2013-06,AOR,Restated
2013-03,-331.00M,,317.00M,,319.00M,313.00M,31.00M,344.00M,344.00M,,,,18.00M,-13.00M,,,,,,,-470.00M,,-124.00M,,2013-03,-813.00M,,,,-18.00M,5.00M,-836.00M,,2013-03,736.00M,-219.00M,517.00M,1.00M,-20.00M,-19.00M,,,,-31.00M,113.00M,580.00M,2013-03,2.087B,-380.00M,0.00,1.707B,,2013-03,1.00M,736.00M,-219.00M,-20.00M,,,2013-03,AOR,Restated
2012-12,254.00M,,-236.00M,,-221.00M,257.00M,38.00M,295.00M,295.00M,,,,14.00M,6.00M,,,,,,,270.00M,,91.00M,,2012-12,-923.00M,,,,917.00M,85.00M,67.00M,,2012-12,624.00M,-305.00M,319.00M,0.00,0.00,0.00,,,,-22.00M,23.00M,320.00M,2012-12,1.61B,478.00M,-1.00M,2.087B,,2012-12,0.00,624.00M,-305.00M,0.00,,,2012-12,AOR,Restated
2012-09,8.00M,,286.00M,,290.00M,252.00M,27.00M,279.00M,279.00M,,,,9.00M,8.00M,,,,,,,-153.00M,,473.00M,,2012-09,-881.00M,,,,-40.00M,156.00M,-774.00M,,2012-09,1.614B,-834.00M,780.00M,0.00,0.00,0.00,,,,-23.00M,7.00M,764.00M,2012-09,1.149B,463.00M,-2.00M,1.61B,,2012-09,0.00,1.614B,-834.00M,0.00,,,2012-09,AOR,Restated
2012-06,259.00M,,-113.00M,,-112.00M,244.00M,39.00M,283.00M,283.00M,,,,18.00M,9.00M,,,,,,,195.00M,,661.00M,,2012-06,-954.00M,,,,0.00,-49.00M,-1.012B,,2012-06,512.00M,-87.00M,425.00M,0.00,0.00,0.00,,,,-3.00M,66.00M,488.00M,2012-06,1.014B,137.00M,-2.00M,1.149B,,2012-06,0.00,512.00M,-87.00M,0.00,,,2012-06,AOR,Restated
2012-03,-206.00M,,187.00M,,187.00M,236.00M,42.00M,278.00M,278.00M,,,,0.00,8.00M,,,,,,,-350.00M,,-76.00M,,2012-03,-639.00M,,,,0.00,103.00M,-543.00M,,2012-03,415.00M,-34.00M,381.00M,0.00,0.00,0.00,,,,-2.00M,148.00M,527.00M,2012-03,1.105B,-92.00M,1.00M,1.014B,,2012-03,0.00,415.00M,-34.00M,0.00,,,2012-03,AOR,Restated
2011-12,-109.00M,,,-8.00M,-132.00M,239.00M,49.00M,288.00M,288.00M,,-39.00M,,,-9.00M,,,,,,,-237.00M,,498.00M,,2011-12,-947.00M,,-14.00M,2.00M,-91.00M,156.00M,-886.00M,,2011-12,514.00M,,471.00M,0.00,-52.00M,-52.00M,,,7.00M,-2.00M,-51.00M,366.00M,2011-12,1.127B,-22.00M,0.00,1.105B,,2011-12,0.00,514.00M,-5.493B,-52.00M,,,2011-12,AOR,Restated
2011-09,-55.00M,,,8.00M,40.00M,249.00M,26.00M,275.00M,275.00M,,9.00M,,,21.00M,,,,,,,69.00M,,359.00M,,2011-09,-543.00M,,14.00M,-21.00M,-284.00M,-271.00M,-1.102B,,2011-09,612.00M,,-1.005B,2.00M,-248.00M,-246.00M,,,-2.00M,-2.00M,1.188B,-65.00M,2011-09,1.939B,-808.00M,-4.00M,1.127B,,2011-09,2.00M,1.912B,-1.30B,-248.00M,,,2011-09,AOR,Restated
2011-06,621.00M,,,-9.00M,17.00M,231.00M,44.00M,275.00M,275.00M,,22.00M,,,12.00M,,,,,,,-854.00M,,93.00M,,2011-06,-620.00M,,,,-68.00M,-140.00M,-831.00M,,2011-06,2.512B,,40.00M,,0.00,0.00,,,-3.00M,-3.00M,-73.00M,-36.00M,2011-06,2.711B,-774.00M,2.00M,1.939B,,2011-06,,2.512B,,0.00,,,2011-06,AOR,Restated
2011-03,-260.00M,,,9.00M,9.00M,216.00M,48.00M,264.00M,264.00M,,8.00M,,,8.00M,,,,,,,187.00M,,216.00M,,2011-03,-219.00M,,,,,1.00M,-228.00M,,2011-03,1.286B,,-75.00M,,-130.00M,-130.00M,,,-2.00M,-2.00M,-25.00M,-232.00M,2011-03,2.951B,-244.00M,4.00M,2.711B,,2011-03,,1.286B,,-130.00M,,,2011-03,AOR,Restated
2010-12,-15.00M,,,19.00M,-91.00M,258.00M,21.00M,279.00M,279.00M,,-53.00M,25.00M,,-21.00M,,,,,,,417.00M,,482.00M,,2010-12,-194.00M,,,8.00M,-887.00M,50.00M,-1.053B,,2010-12,232.00M,,3.00M,-50.00M,0.00,-50.00M,,,7.00M,-2.00M,125.00M,76.00M,2010-12,3.447B,-495.00M,-1.00M,2.951B,,2010-12,-50.00M,232.00M,-758.00M,0.00,,,2010-12,AOR,Restated
2010-09,223.00M,,,-10.00M,-10.00M,191.00M,-18.00M,173.00M,173.00M,,38.00M,0.00,,38.00M,,,,,,,88.00M,,536.00M,,2010-09,-171.00M,,,-8.00M,-1.00M,1.00M,-185.00M,,2010-09,1.111B,,1.041B,0.00,-130.00M,-130.00M,,,-2.00M,-2.00M,13.00M,922.00M,2010-09,2.168B,1.273B,6.00M,3.447B,,2010-09,0.00,1.111B,0.00,-130.00M,,,2010-09,AOR,
2010-06,210.00M,,,-4.00M,-4.00M,217.00M,1.00M,218.00M,218.00M,-74.00M,7.00M,0.00,,143.00M,,,,,,,-121.00M,,491.00M,,2010-06,-156.00M,,,-9.00M,-141.00M,102.00M,-191.00M,,2010-06,1.431B,,1.401B,50.00M,-50.00M,0.00,,,-3.00M,-3.00M,-1.337B,61.00M,2010-06,1.813B,361.00M,-6.00M,2.168B,,2010-06,50.00M,1.431B,,-50.00M,,,2010-06,AOR,Restated
2010-03,58.00M,,,-5.00M,-5.00M,212.00M,0.00,212.00M,212.00M,74.00M,8.00M,0.00,,-128.00M,,,,,,,,,114.00M,,2010-03,-219.00M,,,-25.00M,,27.00M,-194.00M,,2010-03,10.00M,,-419.00M,2.00M,0.00,2.00M,,,-2.00M,-2.00M,11.00M,-408.00M,2010-03,2.304B,-488.00M,-3.00M,1.813B,,2010-03,2.00M,10.00M,,0.00,,,2010-03,AOR,Restated
2009-12,33.00M,,0.00,-8.00M,-2.00M,260.00M,46.00M,306.00M,306.00M,128.00M,15.00M,,,384.00M,,,,,,,,,826.00M,,2009-12,-184.00M,,,10.00M,-71.00M,15.00M,-227.00M,,2009-12,326.00M,,-318.00M,51.00M,-250.00M,-199.00M,,,-6.00M,-6.00M,-20.00M,-543.00M,2009-12,2.25B,56.00M,-2.00M,2.304B,,2009-12,51.00M,49.00M,277.00M,-250.00M,,,2009-12,AOR,Restated
2009-09,278.00M,128.00M,-128.00M,-6.00M,-234.00M,212.00M,73.00M,285.00M,285.00M,116.00M,21.00M,,,158.00M,,,,,,,,,558.00M,,2009-09,-254.00M,,,-48.00M,273.00M,-15.00M,-227.00M,,2009-09,-21.00M,,-21.00M,-49.00M,-250.00M,-299.00M,,,-6.00M,-6.00M,-39.00M,-365.00M,2009-09,2.282B,-34.00M,2.00M,2.25B,,2009-09,-49.00M,23.00M,-44.00M,-250.00M,,,2009-09,AOR,Restated
2009-06,432.00M,-128.00M,,-5.00M,-233.00M,213.00M,58.00M,271.00M,271.00M,146.00M,18.00M,,,-46.00M,,,,,,,,,583.00M,,2009-06,-141.00M,,,,-345.00M,-16.00M,-241.00M,,2009-06,797.00M,,797.00M,50.00M,0.00,50.00M,,,-7.00M,-7.00M,-91.00M,749.00M,2009-06,1.188B,1.091B,3.00M,2.282B,,2009-06,50.00M,820.00M,-23.00M,0.00,,,2009-06,AOR,Restated
2009-03,198.00M,,,-22.00M,282.00M,169.00M,-24.00M,145.00M,145.00M,299.00M,16.00M,,,-568.00M,,,,,,,,,139.00M,,2009-03,-233.00M,,,,,3.00M,-259.00M,,2009-03,-210.00M,,-210.00M,0.00,,0.00,,,-14.00M,-14.00M,40.00M,-184.00M,2009-03,1.494B,-304.00M,-2.00M,1.188B,,2009-03,0.00,0.00,-210.00M,,,,2009-03,AOR,Restated
2008-12,260.00M,,,-44.00M,-299.00M,649.00M,-231.00M,418.00M,92.00M,335.00M,63.00M,,,-426.00M,,,,,,,165.00M,230.00M,395.00M,,2008-12,-250.00M,-14.00M,635.00M,,0.00,104.00M,-340.00M,,2008-12,-306.00M,,-124.00M,1.00M,0.00,1.00M,,,-55.00M,-14.00M,51.00M,-86.00M,2008-12,1.483B,12.00M,-1.00M,1.494B,,2008-12,1.00M,20.00M,-326.00M,0.00,,,2008-12,AOR,Restated
2008-09,789.00M,,,-32.00M,-183.00M,-322.00M,117.00M,-205.00M,121.00M,427.00M,-33.00M,,,-57.00M,,,,,,-17.00M,-202.00M,-230.00M,648.00M,,2008-09,-240.00M,14.00M,-635.00M,,17.00M,-22.00M,-210.00M,,2008-09,206.00M,,24.00M,0.00,-130.00M,-130.00M,,,28.00M,-13.00M,-49.00M,-168.00M,2008-09,1.263B,227.00M,-7.00M,1.483B,,2008-09,0.00,-10.00M,216.00M,-130.00M,,,2008-09,,
2008-06,127.00M,0.00,,26.00M,-270.00M,161.00M,-66.00M,95.00M,95.00M,-49.00M,15.00M,,,-99.00M,,,,,,8.00M,582.00M,,376.00M,,2008-06,-245.00M,,,,-17.00M,261.00M,10.00M,,2008-06,-52.00M,,-52.00M,6.00M,0.00,6.00M,,,-14.00M,-14.00M,51.00M,-9.00M,2008-06,834.00M,426.00M,3.00M,1.263B,,2008-06,6.00M,10.00M,-62.00M,0.00,-3.00M,,2008-06,,Restated
2008-03,49.00M,,,6.00M,-8.00M,161.00M,-51.00M,110.00M,110.00M,49.00M,18.00M,,,132.00M,,,,,,9.00M,-299.00M,,60.00M,,2008-03,-164.00M,,,,,2.00M,-132.00M,,2008-03,-154.00M,,-154.00M,2.00M,-55.00M,-53.00M,,,-14.00M,-14.00M,-3.00M,-224.00M,2008-03,1.132B,-302.00M,4.00M,834.00M,,2008-03,2.00M,,-154.00M,-55.00M,3.00M,,2008-03,,Restated
2007-12,104.00M,,,,21.00M,,,,72.00M,127.00M,,,,-48.00M,,,,,,,123.00M,,541.00M,,2007-12,-333.00M,-57.00M,252.00M,,,11.00M,-95.00M,,2007-12,,,-347.00M,,-85.00M,-78.00M,,,,-14.00M,0.00,-439.00M,2007-12,1.171B,-18.00M,-3.00M,1.132B,,2007-12,,,,-85.00M,,,2007-12,AOR,Restated
2007-09,268.00M,,,,-22.00M,,,,151.00M,90.00M,,,,35.00M,,,,,,,-5.00M,6.00M,523.00M,,2007-09,-104.00M,28.00M,-76.00M,,,4.00M,-60.00M,,2007-09,,,-13.00M,,-53.00M,-53.00M,,,,-13.00M,-5.00M,-84.00M,2007-09,771.00M,379.00M,3.00M,1.171B,,2007-09,,,,-53.00M,,,2007-09,,
