,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2017-12,27.90M,,27.90M,91.30M,84.30M,482.80M,222.40M,41.30M,,130.70M,905.10M,772.70M,962.20M,15.78B,-4.542B,11.23B,396.10M,69.70M,,13.28B,14.19B,477.30M,,477.30M,,477.30M,320.20M,95.00M,855.70M,1.271B,1.271B,,,400.80M,2.149B,4.011B,,4.011B,1.478B,1.478B,504.00M,200.00M,,306.40M,7.657B,9.806B,2.30M,2.346B,1.846B,11.10M,,,,-0.50M,4.182B
2017-09,9.20M,,9.20M,336.10M,,336.10M,220.60M,,,185.60M,751.50M,,,,,10.93B,458.60M,21.40M,,13.36B,14.11B,478.10M,,478.10M,,478.10M,390.30M,95.00M,105.20M,590.50M,590.50M,39.40M,39.40M,362.10M,1.470B,4.255B,,4.255B,2.775B,2.775B,481.30M,200.00M,,296.10M,8.291B,9.761B,2.30M,2.325B,1.838B,10.70M,,,,-0.40M,4.154B
2017-06,7.30M,,7.30M,424.90M,,424.90M,201.60M,,,180.90M,814.70M,,,,,10.61B,354.50M,18.60M,,12.93B,13.74B,381.10M,,381.10M,,381.10M,368.60M,,5.20M,373.80M,373.80M,,,453.30M,1.208B,4.354B,,4.354B,2.681B,2.681B,482.70M,200.00M,,288.30M,8.285B,9.493B,2.30M,2.229B,1.830B,10.50M,,,,-0.40M,4.050B
2017-03,8.40M,,8.40M,424.90M,,424.90M,187.70M,,,128.80M,749.80M,,,,,10.45B,346.80M,14.90M,,12.72B,13.46B,369.50M,,369.50M,,369.50M,302.80M,,4.60M,307.40M,307.40M,,,488.10M,1.165B,4.316B,,4.316B,2.626B,2.626B,481.70M,200.00M,,297.90M,8.203B,9.368B,2.30M,2.206B,1.699B,10.10M,,,,-0.40M,3.897B
2016-12,8.20M,,8.20M,111.70M,89.00M,493.30M,222.30M,,,153.30M,877.10M,787.80M,,14.73B,-4.454B,10.28B,337.60M,22.60M,,12.50B,13.37B,445.30M,,445.30M,,445.30M,244.10M,0.00,4.60M,248.70M,248.70M,,,468.00M,1.162B,4.316B,,4.316B,2.570B,2.570B,489.90M,200.00M,,279.30M,8.150B,9.312B,2.30M,2.177B,1.693B,10.00M,,,,-0.40M,3.862B
2016-09,84.70M,,84.70M,491.50M,,491.50M,219.90M,,,162.00M,958.10M,,,,,9.920B,329.60M,9.40M,,12.07B,13.03B,365.10M,,365.10M,,365.10M,238.30M,,314.00M,552.30M,552.30M,,,452.30M,1.370B,3.817B,,3.817B,2.531B,2.531B,455.30M,200.00M,,300.20M,7.600B,8.970B,2.30M,2.181B,1.686B,9.80M,,,,-0.40M,3.859B
2016-06,6.50M,,6.50M,316.30M,,316.30M,209.10M,,,170.40M,702.30M,,,,,9.846B,324.80M,10.90M,,11.98B,12.69B,353.00M,,353.00M,,353.00M,220.60M,,314.00M,534.60M,534.60M,,,485.60M,1.373B,3.588B,,3.588B,2.474B,2.474B,452.20M,200.00M,,297.30M,7.322B,8.695B,2.30M,2.116B,1.682B,9.60M,,,,-0.40M,3.790B
2016-03,4.80M,,4.80M,390.60M,,390.60M,197.20M,,,175.90M,768.50M,,,,,9.627B,323.50M,10.70M,,11.77B,12.54B,323.80M,,323.80M,,323.80M,213.40M,,313.40M,526.80M,526.80M,,,497.90M,1.348B,3.523B,,3.523B,2.425B,2.425B,446.50M,200.00M,,310.20M,7.222B,8.570B,1.10M,2.099B,1.674B,8.70M,,,,-0.40M,3.765B
2015-12,5.80M,,5.80M,93.80M,53.50M,397.60M,223.50M,,,199.90M,826.80M,860.80M,,13.77B,-4.252B,9.519B,346.30M,14.60M,,11.67B,12.50B,402.40M,,402.40M,,402.40M,159.80M,,313.40M,473.20M,473.20M,53.20M,53.20M,430.50M,1.359B,3.522B,,3.522B,2.381B,2.381B,451.80M,200.00M,,306.00M,7.212B,8.571B,2.30M,2.069B,1.662B,8.50M,,,,-0.40M,3.724B
2015-09,139.20M,,139.20M,427.30M,,427.30M,211.50M,,,309.70M,1.088B,,,,,9.366B,353.10M,35.70M,,11.47B,12.56B,438.30M,,438.30M,,438.30M,109.10M,,3.00M,112.10M,112.10M,,,440.40M,990.80M,3.856B,,3.856B,2.462B,2.462B,416.40M,200.90M,,333.00M,7.622B,8.612B,1.10M,2.097B,1.656B,8.30M,,,,-0.60M,3.745B
2015-06,54.80M,,54.80M,297.30M,,297.30M,185.20M,435.50M,,71.10M,1.044B,,,,,9.174B,349.90M,38.20M,,11.27B,12.31B,374.90M,,374.90M,,374.90M,120.90M,,33.50M,154.40M,154.40M,,,462.20M,991.50M,3.717B,,3.717B,2.449B,2.449B,417.40M,200.90M,,342.80M,7.499B,8.491B,1.10M,1.979B,1.649B,8.00M,,,,-0.60M,3.621B
2015-03,97.60M,,97.60M,361.60M,,361.60M,167.40M,227.60M,,59.00M,913.20M,,,,,9.05B,343.90M,41.20M,,11.17B,12.08B,356.90M,,356.90M,,356.90M,41.50M,,183.00M,224.50M,224.50M,,,441.70M,1.023B,3.607B,,3.607B,2.367B,2.367B,417.70M,201.70M,,259.70M,7.258B,8.281B,1.10M,1.974B,1.632B,8.90M,,,,-0.60M,3.597B
2014-12,56.90M,,56.90M,88.20M,81.60M,427.30M,223.80M,,150.10M,185.00M,1.043B,788.10M,,13.14B,-4.202B,8.938B,344.90M,21.50M,,11.02B,12.06B,427.90M,,427.90M,,427.90M,141.30M,,183.00M,324.30M,324.30M,,,462.50M,1.215B,3.584B,,3.584B,2.321B,2.321B,421.70M,201.80M,,260.10M,7.208B,8.423B,1.10M,1.938B,1.509B,8.90M,,,,-0.60M,3.439B
2014-09,11.00M,,11.00M,84.30M,249.10M,398.00M,204.20M,294.40M,,54.70M,962.30M,495.40M,,12.66B,-3.896B,8.764B,343.30M,55.20M,,10.63B,11.59B,471.10M,,471.10M,,471.10M,353.80M,,492.80M,846.60M,846.60M,,,424.20M,1.742B,2.800B,,2.800B,2.290B,2.290B,201.30M,201.70M,,267.10M,6.215B,7.957B,1.10M,1.934B,1.509B,8.70M,,,,-0.20M,3.436B
2014-06,16.20M,,16.20M,85.90M,318.60M,482.00M,172.80M,289.70M,,49.40M,1.010B,488.20M,160.30M,12.40B,-3.839B,8.566B,338.60M,67.90M,,10.38B,11.39B,475.60M,,475.60M,,475.60M,307.90M,,509.00M,816.90M,816.90M,,,440.70M,1.733B,2.830B,,2.830B,2.190B,2.190B,202.10M,201.70M,,253.70M,6.114B,7.848B,1.10M,1.838B,1.507B,8.40M,,,,-0.20M,3.337B
2014-03,14.50M,,14.50M,106.60M,311.70M,496.60M,151.00M,209.70M,,64.40M,936.20M,482.60M,478.20M,12.22B,-3.790B,8.426B,332.90M,68.60M,,10.18B,11.12B,388.10M,,388.10M,,388.10M,221.30M,,358.80M,580.10M,580.10M,,,416.00M,1.384B,2.981B,,2.981B,2.142B,2.142B,203.00M,201.70M,,262.20M,6.199B,7.584B,1.10M,1.832B,1.506B,8.00M,,,,-0.20M,3.332B
2013-12,9.80M,,9.80M,81.80M,99.10M,473.30M,211.80M,,136.70M,179.60M,1.011B,733.20M,,12.31B,-3.980B,8.326B,329.60M,85.80M,,10.10B,11.11B,365.00M,,365.00M,,365.00M,279.40M,,358.50M,637.90M,637.90M,,,430.40M,1.433B,2.978B,,2.978B,2.113B,2.113B,206.60M,201.80M,,273.90M,6.196B,7.629B,1.10M,1.781B,1.508B,8.00M,,,,-0.20M,3.281B
2013-09,17.70M,,17.70M,78.10M,188.60M,331.40M,220.50M,119.00M,131.20M,60.30M,880.10M,456.10M,479.30M,11.83B,-3.689B,8.141B,324.70M,99.10M,,10.10B,10.98B,368.70M,,368.70M,,368.70M,237.30M,,48.40M,285.70M,285.70M,,,398.40M,1.053B,3.105B,,3.105B,2.064B,2.064B,356.60M,201.80M,0.00,271.90M,6.460B,7.513B,1.10M,1.767B,1.507B,7.80M,,,,-0.80M,3.267B
2013-06,11.50M,,11.50M,85.00M,190.10M,344.40M,191.20M,125.70M,142.30M,78.30M,893.40M,454.30M,421.10M,11.66B,-3.632B,8.027B,321.30M,111.90M,,9.994B,10.89B,391.10M,,391.10M,,391.10M,223.10M,,1.50M,224.60M,224.60M,,,456.80M,1.072B,3.141B,,3.141B,1.991B,1.991B,359.20M,201.80M,0.00,275.80M,6.453B,7.525B,1.10M,1.662B,1.506B,7.50M,,,,-0.80M,3.160B
2013-03,53.40M,,53.40M,98.90M,220.60M,393.30M,173.70M,157.50M,92.50M,,870.40M,451.90M,347.30M,11.49B,-3.573B,7.914B,321.60M,108.90M,,9.864B,10.73B,368.60M,,368.60M,,368.60M,243.40M,,1.50M,244.90M,244.90M,,,424.60M,1.038B,3.122B,,3.122B,1.901B,1.901B,360.30M,201.80M,0.00,257.30M,6.348B,7.386B,1.10M,1.648B,1.504B,7.20M,,,,-0.80M,3.146B
2012-12,21.20M,,21.20M,94.90M,212.10M,385.70M,203.90M,129.80M,170.20M,83.50M,994.30M,686.90M,230.60M,11.58B,-3.744B,7.838B,319.00M,105.30M,,9.791B,10.79B,339.30M,,339.30M,48.00M,387.30M,217.50M,,1.50M,219.00M,219.00M,48.00M,48.00M,365.70M,1.02B,3.137B,,3.137B,1.934B,1.934B,364.00M,146.90M,60.00M,262.50M,6.484B,7.504B,1.10M,1.631B,1.511B,7.30M,,,,-0.80M,3.135B
2012-09,41.10M,0.00,41.10M,93.90M,239.70M,437.30M,209.20M,70.80M,90.00M,92.90M,1.029B,537.30M,481.50M,10.74B,-3.352B,7.385B,314.10M,98.10M,,9.222B,10.25B,418.00M,37.40M,455.40M,46.60M,502.00M,70.40M,,1.40M,71.80M,71.80M,,,371.70M,945.50M,2.828B,,2.828B,1.837B,1.837B,310.80M,146.80M,60.00M,269.10M,6.043B,6.988B,1.10M,1.612B,1.512B,8.50M,,,,-0.80M,3.116B
2012-06,30.80M,0.00,30.80M,229.00M,,335.50M,205.80M,72.20M,82.90M,98.90M,920.40M,494.70M,378.30M,10.55B,-3.299B,7.248B,308.40M,76.80M,,9.014B,9.934B,337.60M,46.30M,383.90M,46.60M,430.50M,162.80M,,1.40M,164.20M,164.20M,,,362.60M,957.30M,2.753B,,2.753B,1.736B,1.736B,309.90M,146.90M,60.00M,245.10M,5.816B,6.773B,1.10M,1.511B,1.511B,8.30M,,,,-0.80M,3.014B
2012-03,30.90M,,30.90M,184.90M,,282.00M,200.10M,91.80M,,109.00M,780.60M,421.60M,294.80M,10.33B,-3.252B,7.081B,303.70M,82.20M,,8.848B,9.628B,263.90M,39.70M,303.60M,46.60M,350.20M,57.00M,,1.40M,58.40M,58.40M,,,364.70M,773.30M,2.728B,,2.728B,1.638B,1.638B,309.60M,146.90M,60.00M,248.90M,5.710B,6.484B,1.10M,1.495B,1.51B,8.00M,,,,-0.80M,2.998B
2011-12,11.40M,,11.40M,88.10M,117.50M,317.20M,218.10M,77.90M,22.80M,103.60M,870.60M,622.60M,25.00M,10.45B,-3.415B,7.033B,300.70M,91.90M,,8.817B,9.688B,267.80M,,267.80M,46.60M,314.40M,102.80M,,1.40M,104.20M,104.20M,46.90M,46.90M,389.70M,855.20M,2.703B,,2.703B,1.592B,1.592B,312.70M,146.90M,60.00M,259.40M,5.673B,6.528B,1.10M,1.510B,1.511B,8.30M,,,,-0.80M,3.013B
2011-09,45.70M,0.00,45.70M,345.40M,,449.50M,205.10M,132.10M,,92.00M,947.10M,405.40M,218.80M,10.11B,-3.176B,6.938B,299.20M,93.40M,,8.534B,9.481B,314.60M,37.80M,352.40M,46.60M,399.00M,22.10M,,1.40M,23.50M,23.50M,,,351.90M,774.40M,2.704B,,2.704B,1.561B,1.561B,235.90M,146.90M,60.00M,251.60M,5.558B,6.333B,1.10M,1.500B,1.509B,8.20M,,,,-0.60M,3.002B
2011-06,77.10M,0.00,77.10M,249.40M,,321.50M,185.30M,185.70M,,79.50M,877.80M,391.90M,185.90M,9.984B,-3.117B,6.866B,296.10M,121.90M,,8.423B,9.301B,305.80M,45.80M,351.60M,46.60M,398.20M,0.00,,1.40M,1.40M,1.40M,,,360.50M,760.10M,2.704B,,2.704B,1.478B,1.478B,241.80M,147.10M,60.00M,212.30M,5.467B,6.227B,1.10M,1.425B,1.510B,8.10M,,,,-0.60M,2.927B
2011-03,126.10M,,126.10M,333.60M,,404.50M,170.20M,192.10M,,84.10M,977.00M,271.10M,178.50M,9.890B,-3.066B,6.823B,292.20M,130.90M,,8.424B,9.400B,300.20M,37.70M,337.90M,46.70M,384.60M,32.40M,,1.30M,33.70M,33.70M,,,360.60M,778.90M,2.704B,,2.704B,1.473B,1.473B,299.20M,187.10M,,268.50M,5.514B,6.293B,1.10M,1.421B,1.508B,7.80M,,,,-1.40M,2.920B
2010-12,159.30M,,159.30M,120.50M,213.10M,415.90M,233.00M,175.50M,,109.00M,1.093B,466.70M,436.00M,9.909B,-3.178B,6.731B,289.20M,137.70M,,8.190B,9.283B,336.30M,45.30M,381.60M,46.70M,428.30M,47.40M,,1.30M,48.70M,48.70M,,,389.70M,866.70M,2.703B,,2.703B,1.434B,1.434B,303.80M,2.00M,,208.90M,5.277B,6.144B,184.90M,1.395B,1.507B,7.60M,183.80M,,,-1.40M,3.137B
2010-09,137.00M,30.60M,167.60M,139.30M,175.90M,510.80M,240.10M,,,249.10M,1.168B,9.117B,467.30M,9.584B,-3.027B,6.557B,287.20M,139.70M,1.074B,8.058B,9.226B,295.10M,36.10M,331.20M,46.80M,378.00M,0.00,,1.40M,1.40M,1.40M,,,312.50M,691.90M,2.704B,,2.704B,1.385B,1.385B,338.80M,2.00M,60.00M,972.90M,5.460B,6.152B,1.10M,1.391B,1.505B,,,,,-1.70M,3.072B
2010-06,171.10M,34.90M,206.00M,114.90M,125.40M,465.70M,217.00M,,,265.40M,1.154B,8.801B,601.00M,9.402B,-2.978B,6.424B,286.00M,144.00M,1.035B,7.890B,9.044B,289.90M,75.40M,365.30M,48.20M,413.50M,0.00,,201.40M,201.40M,201.40M,,,279.20M,894.10M,2.504B,,2.504B,1.243B,1.243B,360.60M,2.10M,60.00M,1.017B,5.184B,6.079B,1.10M,1.286B,1.503B,,,,,-2.30M,2.963B
2010-03,140.20M,28.20M,168.40M,253.40M,94.80M,641.20M,191.00M,,,263.90M,1.264B,8.664B,613.20M,9.278B,-2.949B,6.328B,285.70M,155.20M,1.042B,7.811B,9.075B,259.80M,,259.80M,68.90M,328.70M,350.30M,,201.50M,551.80M,551.80M,,,375.00M,1.256B,2.205B,,2.205B,1.202B,1.202B,358.30M,2.10M,60.00M,1.034B,4.860B,6.115B,1.10M,1.282B,1.501B,,,,,-1.40M,2.958B
2009-12,175.30M,23.70M,199.00M,501.90M,,671.60M,238.50M,,,280.90M,1.39B,8.883B,404.00M,9.287B,-3.094B,6.193B,281.50M,172.30M,999.30M,7.646B,9.036B,331.90M,77.70M,409.60M,51.10M,460.70M,190.00M,,101.50M,291.50M,291.50M,,,324.40M,1.077B,2.404B,,2.404B,1.184B,1.184B,323.90M,2.10M,60.00M,1.028B,5.001B,6.078B,1.10M,1.282B,1.499B,,,,,-1.40M,2.956B
2009-09,176.70M,23.40M,200.10M,170.60M,74.50M,578.70M,244.50M,,,211.10M,1.234B,8.190B,788.20M,8.978B,-2.941B,6.038B,275.00M,179.00M,1.030B,7.521B,8.756B,328.10M,,328.10M,38.90M,367.00M,0.00,,271.50M,271.50M,271.50M,,,354.30M,992.80M,2.156B,,2.156B,1.132B,1.132B,469.40M,2.10M,60.00M,999.90M,4.817B,5.810B,1.10M,1.270B,1.498B,,,,,-1.00M,2.944B
2009-06,246.20M,23.70M,269.90M,309.30M,,439.30M,216.20M,,,212.50M,1.138B,8.038B,657.00M,8.694B,-2.878B,5.816B,267.10M,187.20M,926.80M,7.197B,8.335B,314.90M,50.30M,365.20M,,365.20M,237.50M,,236.50M,474.00M,474.00M,,,307.40M,1.147B,1.648B,,1.648B,1.066B,1.066B,511.00M,2.10M,60.00M,873.50M,4.158B,5.305B,1.10M,1.355B,1.497B,,,,,-1.40M,3.028B
2009-03,283.70M,269.90M,553.60M,138.80M,170.40M,554.00M,181.40M,,,1.167B,2.666B,7.429B,594.60M,8.023B,-2.807B,5.216B,,,356.40M,5.573B,8.239B,359.80M,40.40M,400.20M,,400.20M,100.80M,,236.40M,337.20M,337.20M,,,315.20M,1.053B,1.648B,,1.648B,1.020B,1.020B,516.40M,2.10M,60.00M,899.90M,4.144B,5.197B,184.90M,1.367B,1.497B,,183.80M,,,-1.50M,3.040B
2008-12,346.90M,18.10M,365.00M,233.90M,138.60M,626.40M,242.50M,,,211.70M,1.446B,7.823B,506.00M,8.329B,-2.975B,5.354B,256.00M,213.30M,933.10M,6.756B,8.202B,425.10M,,425.10M,52.50M,477.60M,86.10M,,136.40M,222.50M,222.50M,,,338.10M,1.038B,1.748B,,1.748B,971.20M,971.20M,513.90M,2.10M,60.00M,,3.293B,5.192B,1.10M,1.336B,1.495B,,,,,-1.40M,3.007B
2008-09,379.40M,,379.40M,230.30M,,321.10M,241.60M,,,176.50M,1.119B,7.325B,518.10M,7.843B,-2.726B,5.117B,,302.40M,758.40M,6.178B,7.297B,396.40M,,396.40M,298.90M,695.30M,,,,354.70M,354.70M,,,,1.05B,1.255B,,1.255B,860.40M,860.40M,,2.10M,243.80M,,2.359B,4.481B,1.10M,1.324B,1.496B,,,,,-7.70M,2.813B
2008-06,573.90M,,573.90M,217.00M,,319.30M,176.30M,,,306.60M,1.376B,7.242B,440.20M,7.682B,-2.690B,4.992B,,306.80M,728.60M,6.028B,7.404B,355.50M,,355.50M,374.60M,730.10M,,,,345.60M,345.60M,,,,1.076B,1.403B,,1.403B,856.10M,856.10M,,2.10M,243.80M,,2.503B,4.657B,1.10M,1.254B,1.494B,,,,,-4.80M,2.745B
2008-03,632.40M,,632.40M,344.10M,,472.20M,142.80M,,,154.70M,1.402B,7.255B,255.60M,7.510B,-2.728B,4.783B,,296.50M,707.80M,5.787B,7.189B,333.90M,,333.90M,346.30M,680.20M,,,,223.10M,223.10M,,,,903.30M,1.404B,,1.404B,838.40M,838.40M,,3.90M,243.80M,,2.486B,4.466B,1.10M,1.232B,1.493B,,,,,-6.70M,2.720B
2007-12,745.60M,,745.60M,195.30M,,346.90M,208.30M,,,171.50M,1.472B,7.177B,195.40M,7.372B,-2.692B,4.680B,,307.90M,729.60M,5.717B,7.190B,346.70M,,346.70M,338.90M,685.60M,,,,251.40M,251.40M,,,,937.00M,1.404B,,1.404B,822.90M,822.90M,,3.90M,243.80M,,2.471B,4.505B,1.10M,1.205B,1.483B,,,,,-8.50M,2.681B
2007-09,108.10M,,108.10M,274.20M,,382.10M,216.90M,,,142.80M,849.90M,7.466B,185.60M,7.652B,-2.906B,4.746B,,232.90M,1.099B,6.077B,6.927B,298.40M,,298.40M,294.90M,593.30M,,,,161.00M,161.00M,,,,754.30M,1.594B,,1.594B,770.80M,770.80M,,4.60M,243.80M,,2.608B,4.411B,1.10M,1.047B,1.481B,,,,,-17.40M,2.512B
2007-06,125.30M,,125.30M,160.40M,,254.70M,188.00M,,,182.40M,750.40M,7.374B,197.40M,7.571B,-2.872B,4.699B,,232.70M,1.069B,6.001B,6.752B,305.50M,,305.50M,275.40M,580.90M,,,,345.70M,345.70M,,,,926.60M,1.296B,,1.296B,757.10M,757.10M,,4.90M,243.80M,,2.296B,4.250B,1.10M,962.80M,1.550B,,,,,-17.60M,2.496B
2007-03,110.20M,,110.20M,225.00M,,337.90M,110.30M,,,231.20M,789.60M,7.294B,161.20M,7.455B,-2.834B,4.621B,,225.70M,1.083B,5.929B,6.719B,292.40M,,292.40M,286.50M,578.90M,,,,263.40M,263.40M,,,,842.30M,1.296B,,1.296B,749.80M,749.80M,,4.90M,243.80M,,2.289B,4.150B,1.10M,950.20M,1.630B,,,,,-17.70M,2.564B
2006-12,265.20M,,265.20M,229.30M,,349.80M,178.20M,,,836.70M,1.630B,7.094B,138.30M,7.232B,-2.744B,4.489B,,228.80M,736.60M,5.454B,7.084B,294.10M,,294.10M,479.90M,774.00M,,,,373.40M,373.40M,,,,1.147B,1.323B,,1.323B,758.30M,758.30M,,4.90M,243.80M,,2.325B,4.428B,1.20M,923.60M,1.743B,,,,,-16.50M,2.651B
2006-09,119.90M,,119.90M,233.30M,,335.00M,180.70M,,,484.60M,1.120B,7.242B,138.10M,7.380B,-2.866B,4.515B,,276.00M,1.042B,5.833B,6.953B,249.20M,,249.20M,483.90M,733.10M,,,,362.70M,362.70M,,,,1.096B,1.483B,,1.483B,684.90M,684.90M,,4.80M,243.80M,,2.411B,4.47B,1.20M,763.70M,1.741B,,,,,-27.20M,2.478B
