,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,3.630B,3.630B,3.033B,596.50M,105.40M,,,62.30M,15.40M,-46.90M,174.80M,421.70M,15.40M,62.30M,-46.90M,,-46.90M,374.80M,90.90M,284.70M,,-20.60M,264.10M,264.10M,506.50M,69.40M,437.10M,1.15,,,1.15,1.15,1.14,,,1.14,1.14,230.20M,231.50M,0.6
2017-12,4.176B,4.176B,3.359B,817.60M,121.50M,,,76.10M,11.70M,-70.00M,191.20M,626.40M,11.70M,76.10M,-70.00M,,-70.00M,576.50M,289.50M,287.80M,,-33.40M,254.40M,254.40M,722.30M,69.70M,652.60M,1.1,,,1.1,1.1,1.09,,,1.09,1.09,231.40M,232.40M,0.6
2017-09,3.720B,3.720B,3.081B,638.30M,99.50M,,,65.00M,12.60M,-52.40M,168.10M,470.20M,12.60M,65.00M,-52.40M,,-52.40M,417.80M,132.00M,286.90M,,-23.30M,263.60M,263.60M,551.40M,68.60M,482.80M,1.14,,,1.14,1.14,1.13,,,1.13,1.13,231.20M,232.70M,0.55
2017-06,3.790B,3.790B,3.037B,752.70M,110.10M,,,62.80M,11.50M,-51.30M,181.20M,571.50M,11.50M,62.80M,-51.30M,,-51.30M,520.20M,166.70M,355.10M,,-26.50M,328.60M,328.60M,654.10M,71.10M,583.00M,1.41,,,1.41,1.41,1.4,,,1.4,1.4,232.10M,234.00M,0.55
2017-03,3.587B,3.587B,2.990B,597.00M,108.60M,,,59.30M,13.90M,-45.40M,181.30M,415.70M,13.90M,59.30M,-45.40M,,-45.40M,370.30M,108.00M,262.40M,,-20.60M,241.80M,241.80M,502.30M,72.70M,429.60M,1.03,,,1.03,1.03,1.02,,,1.02,1.02,234.60M,236.50M,0.55
2016-12,4.242B,4.242B,3.425B,816.90M,120.80M,,,96.60M,12.00M,-90.20M,193.40M,623.50M,12.00M,96.60M,-90.20M,,-90.20M,561.80M,182.80M,380.40M,,-30.10M,350.30M,350.30M,731.00M,72.60M,658.40M,1.47,,,1.47,1.47,1.47,,,1.47,1.47,236.40M,238.00M,0.55
2016-09,3.791B,3.791B,3.161B,630.30M,104.10M,,,52.90M,10.90M,-42.00M,177.20M,453.10M,10.90M,52.90M,-42.00M,,-42.00M,411.10M,134.30M,278.20M,,-24.40M,253.80M,253.80M,537.10M,73.10M,464.00M,1.06,,,1.06,1.06,1.06,,,1.06,1.06,237.40M,238.70M,0.55
2016-06,3.885B,3.885B,3.139B,745.70M,110.90M,,,54.30M,9.50M,-44.80M,183.90M,561.80M,9.50M,54.30M,-44.80M,,-44.80M,517.00M,167.90M,351.90M,,-25.80M,326.10M,326.10M,644.30M,73.00M,571.30M,1.36,,,1.36,1.36,1.36,,,1.36,1.36,237.70M,239.00M,0.55
2016-03,3.499B,3.499B,2.925B,574.40M,108.10M,,,50.30M,10.20M,-40.10M,182.30M,392.10M,10.20M,50.30M,-40.10M,,-40.10M,352.00M,115.50M,236.30M,,-17.90M,218.40M,218.40M,476.50M,74.20M,402.30M,0.9,,,0.9,0.9,0.9,,,0.9,0.9,240.00M,241.10M,0.5
2015-12,4.153B,4.153B,3.390B,763.70M,115.80M,,,47.10M,10.30M,-36.80M,188.20M,575.50M,10.30M,47.10M,-36.80M,,-36.80M,538.70M,176.70M,364.20M,,-32.60M,331.60M,331.60M,658.20M,72.40M,585.80M,1.35,,,1.35,1.35,1.35,,,1.35,1.35,242.70M,243.40M,0.5
2015-09,3.707B,3.707B,3.103B,603.80M,103.70M,,,45.60M,9.70M,-35.90M,175.50M,428.30M,9.70M,45.60M,-35.90M,,-35.90M,392.40M,128.90M,266.70M,,-27.40M,239.30M,239.30M,509.80M,71.70M,438.00M,0.97,,,0.97,0.97,0.97,,,0.97,0.97,243.20M,244.40M,0.5
2015-06,3.805B,3.805B,3.084B,721.40M,110.10M,,,44.70M,10.10M,-34.60M,182.80M,538.60M,10.10M,44.70M,-34.60M,,-34.60M,504.00M,165.30M,342.70M,,-28.80M,313.90M,313.90M,621.50M,72.80M,548.70M,1.27,,,1.27,1.27,1.26,,,1.26,1.26,244.50M,245.70M,0.5
2015-03,3.469B,3.469B,2.915B,554.00M,102.10M,,,43.60M,9.40M,-34.20M,176.30M,377.70M,9.40M,43.60M,-34.20M,,-34.20M,343.50M,112.70M,229.80M,,-20.70M,209.10M,209.10M,461.30M,74.20M,387.10M,0.84,,,0.84,0.84,0.83,,,0.83,0.83,246.40M,247.40M,0.5
2014-12,4.195B,4.195B,4.371B,-176.30M,-1.050B,,,41.80M,11.80M,-30.00M,-755.70M,579.40M,11.80M,41.80M,-30.00M,,-30.00M,549.40M,182.20M,373.00M,,-43.50M,329.50M,329.50M,668.20M,77.00M,591.20M,1.3,,,1.3,1.3,1.3,,,1.3,1.3,248.80M,249.30M,0.5
2014-09,3.750B,3.750B,2.813B,936.40M,502.80M,,,42.20M,10.80M,-31.40M,502.80M,433.60M,10.80M,42.20M,-31.40M,,-31.40M,402.20M,134.40M,273.60M,,-29.80M,243.80M,243.80M,518.50M,74.10M,444.40M,0.95,,,0.95,0.95,0.95,,,0.95,0.95,251.40M,252.40M,0.5
2014-06,3.871B,3.871B,2.795B,1.076B,527.90M,,,45.50M,11.80M,-33.70M,527.90M,548.40M,11.80M,45.50M,-33.70M,,-33.70M,514.70M,160.30M,358.40M,,-33.20M,325.20M,325.20M,632.60M,72.40M,560.20M,1.24,,,1.24,1.24,1.23,,,1.23,1.23,256.20M,258.20M,0.5
2014-03,3.502B,3.502B,2.623B,879.40M,496.70M,,,47.70M,8.70M,-39.00M,496.70M,382.70M,8.70M,47.70M,-39.00M,,-39.00M,343.70M,116.30M,228.00M,,-22.50M,205.50M,205.50M,462.30M,70.90M,391.40M,0.78,,,0.78,0.78,0.77,,,0.77,0.77,259.10M,261.40M,0.4
2013-12,4.058B,4.058B,2.991B,1.067B,544.00M,,,48.40M,8.60M,-39.80M,544.00M,523.00M,8.60M,48.40M,-39.80M,,-39.80M,511.30M,176.30M,340.40M,,-40.00M,300.40M,300.40M,631.60M,71.90M,559.70M,1.13,,,1.13,1.13,1.13,,,1.13,1.13,258.60M,260.40M,0.4
2013-09,3.490B,3.490B,2.585B,905.30M,497.80M,,-28.10M,50.50M,7.70M,-42.80M,497.80M,407.50M,7.70M,50.50M,-42.80M,-28.10M,-42.80M,336.60M,116.20M,224.70M,,-28.70M,196.00M,214.41M,458.10M,71.00M,387.10M,0.74,,,0.8113,0.74,0.74,,,0.8108,0.74,258.20M,259.90M,0.4
2013-06,3.637B,3.637B,2.607B,1.030B,506.90M,,0.00,49.20M,8.50M,-40.70M,506.90M,523.00M,8.50M,49.20M,-40.70M,,-40.70M,482.30M,163.60M,321.60M,,-32.10M,289.50M,289.50M,602.30M,70.80M,531.50M,1.09,,,1.09,1.09,1.09,,,1.09,1.09,257.70M,259.20M,0.4
2013-03,3.399B,3.399B,2.541B,857.90M,486.20M,,0.00,49.00M,8.10M,-40.90M,486.20M,371.70M,8.10M,49.00M,-40.90M,,-40.90M,330.80M,109.20M,224.80M,,-19.70M,205.10M,205.10M,450.90M,71.10M,379.80M,0.76,,,0.76,0.76,0.76,,,0.76,0.76,261.00M,263.20M,0.4
2012-12,3.945B,3.945B,2.915B,1.029B,481.30M,,,49.40M,9.10M,-40.30M,481.30M,548.00M,9.10M,49.40M,-40.30M,,-40.30M,507.70M,137.20M,343.60M,,-36.50M,307.10M,307.10M,629.20M,72.10M,557.10M,1.13,,,1.13,1.13,1.12,,,1.12,1.12,264.40M,265.50M,0.3
2012-09,3.407B,3.407B,2.516B,890.80M,503.50M,,0.00,47.80M,7.50M,-40.30M,503.50M,387.30M,7.50M,47.80M,-40.30M,,-40.30M,347.00M,118.70M,233.60M,,-29.70M,203.90M,203.90M,466.70M,71.90M,394.80M,0.75,,,0.75,0.75,0.74,,,0.74,0.74,266.60M,268.50M,0.3
2012-06,3.561B,3.561B,2.541B,1.020B,513.30M,,,44.00M,9.10M,-34.90M,513.30M,506.40M,9.10M,44.00M,-34.90M,,-34.90M,471.50M,161.90M,314.20M,,-31.50M,282.70M,282.70M,584.90M,69.40M,515.50M,1.03,,,1.03,1.03,1.02,,,1.02,1.02,269.00M,271.80M,0.3
2012-03,3.307B,3.307B,2.434B,872.90M,510.40M,,,38.50M,9.30M,-29.20M,510.40M,362.50M,9.30M,38.50M,-29.20M,,-29.20M,333.30M,109.30M,226.00M,,-21.40M,204.60M,204.60M,441.10M,69.30M,371.80M,0.73,,,0.73,0.73,0.72,,,0.72,0.72,273.30M,277.50M,0.3
2011-12,3.853B,3.853B,2.881B,971.80M,484.40M,,,39.50M,9.20M,-30.30M,484.40M,487.40M,9.20M,39.50M,-30.30M,,-30.30M,457.10M,156.80M,307.20M,,-35.30M,271.90M,271.90M,566.70M,70.10M,496.60M,0.97,,,0.97,0.97,0.96,,,0.96,0.96,276.60M,280.30M,0.25
2011-09,3.381B,3.381B,2.505B,876.20M,502.80M,,,39.80M,7.90M,-31.90M,502.80M,373.40M,7.90M,39.80M,-31.90M,,-31.90M,341.50M,117.10M,228.90M,,-25.20M,203.70M,203.70M,451.00M,69.70M,381.30M,0.73,0.0,,0.73,0.73,0.72,0.0,,0.72,0.72,277.10M,281.40M,0.25
2011-06,3.487B,3.487B,2.473B,1.015B,526.50M,,,36.90M,9.30M,-27.60M,526.50M,488.10M,9.30M,36.90M,-27.60M,,-27.60M,460.50M,158.10M,307.20M,,-32.10M,275.10M,275.10M,566.10M,68.70M,497.40M,0.98,0.0,,0.98,0.98,0.96,0.0,,0.96,0.96,278.70M,283.70M,0.25
2011-03,3.151B,3.151B,2.418B,733.00M,410.90M,,,41.90M,9.80M,-32.10M,410.90M,322.10M,9.80M,41.90M,-32.10M,,-32.10M,290.00M,73.90M,217.10M,,-15.20M,201.90M,201.90M,397.10M,65.20M,331.90M,0.7,0.0,,0.7,0.7,0.69,0.0,,0.69,0.69,283.60M,289.20M,0.25
2010-12,3.587B,3.587B,2.688B,899.10M,459.50M,,,38.80M,6.70M,-32.10M,459.50M,439.60M,6.70M,38.80M,-32.10M,,-32.10M,407.50M,139.40M,278.50M,,-32.00M,246.50M,246.50M,513.70M,67.40M,446.30M,0.84,,,0.84,0.84,0.82,,,0.82,0.82,290.30M,293.30M,0.2
2010-09,2.995B,2.995B,2.211B,783.80M,469.70M,,,36.10M,6.30M,-29.80M,469.70M,314.10M,6.30M,36.10M,-29.80M,,-29.80M,284.30M,96.90M,195.60M,,-21.00M,174.60M,174.60M,382.80M,62.40M,320.40M,0.58,0.0,,0.58,0.58,0.57,0.0,,0.57,0.57,299.30M,303.50M,0.2
2010-06,3.041B,3.041B,2.153B,887.80M,472.40M,,,29.90M,6.20M,-23.70M,472.40M,415.40M,6.20M,29.90M,-23.70M,,-23.70M,391.70M,133.20M,268.80M,,-25.50M,243.30M,243.30M,482.80M,61.20M,421.60M,0.8,0.0,,0.8,0.8,0.79,0.0,,0.79,0.79,302.30M,307.00M,0.2
2010-03,2.92B,2.92B,2.162B,757.60M,466.60M,,,29.80M,5.70M,-24.10M,466.60M,291.00M,5.70M,29.80M,-24.10M,,-24.10M,266.90M,90.70M,180.90M,,-17.50M,163.40M,163.40M,358.70M,62.00M,296.70M,0.53,0.0,,0.53,0.53,0.52,0.0,,0.52,0.52,306.40M,311.00M,0.2
2009-12,3.266B,3.266B,2.373B,893.00M,493.40M,,,34.20M,5.60M,-28.60M,493.40M,399.60M,5.60M,34.20M,-28.60M,,-28.60M,371.00M,124.70M,256.60M,,-27.10M,229.50M,229.50M,474.20M,69.00M,405.20M,0.73,0.0,,0.73,0.73,0.73,0.0,,0.73,0.73,308.80M,313.10M,0.15
2009-09,2.838B,2.838B,2.052B,785.30M,490.50M,,,33.80M,4.90M,-28.90M,490.50M,294.80M,4.90M,33.80M,-28.90M,,-28.90M,265.90M,90.50M,182.70M,,-17.10M,165.60M,165.60M,359.80M,60.10M,299.70M,0.53,0.0,,0.53,0.53,0.53,0.0,,0.53,0.53,308.60M,311.60M,0.15
2009-06,2.871B,2.871B,2.012B,858.90M,460.80M,,,27.40M,5.50M,-21.90M,460.80M,398.10M,5.50M,27.40M,-21.90M,,-21.90M,376.20M,129.70M,253.80M,,-20.40M,233.40M,233.40M,461.50M,57.90M,403.60M,0.75,0.0,,0.75,0.75,0.75,0.0,,0.75,0.75,308.10M,308.60M,0.15
2009-03,2.747B,2.747B,2.014B,732.80M,450.40M,,,26.80M,5.40M,-21.40M,450.40M,282.40M,5.40M,26.80M,-21.40M,,-21.40M,261.00M,88.70M,178.20M,,-13.70M,164.50M,164.50M,343.60M,55.80M,287.80M,0.53,0.0,,0.53,0.53,0.53,0.0,,0.53,0.53,307.50M,307.60M,0.15
2008-12,3.371B,3.371B,2.411B,960.00M,511.60M,,,32.70M,8.80M,-23.90M,511.60M,448.40M,8.80M,32.70M,-23.90M,,-23.90M,424.50M,142.10M,298.40M,,-27.40M,271.00M,271.00M,516.90M,59.70M,457.20M,0.88,0.0,,0.88,0.88,0.86,0.0,,0.86,0.86,307.00M,309.40M,0.15
2008-09,3.316B,3.316B,2.406B,910.60M,537.20M,,,35.10M,14.40M,-20.70M,537.20M,373.40M,14.40M,35.10M,-20.70M,,-20.70M,352.70M,118.20M,241.30M,,-27.70M,213.60M,213.60M,448.30M,60.50M,387.80M,0.68,0.0,,0.68,0.68,0.68,0.0,,0.68,0.68,309.10M,310.30M,0.15
2008-06,3.477B,3.477B,2.416B,1.061B,543.80M,,,31.40M,12.70M,-18.70M,543.80M,516.80M,12.70M,31.40M,-18.70M,,-18.70M,498.10M,167.20M,341.90M,,-34.90M,307.00M,307.00M,588.00M,58.50M,529.50M,0.96,0.0,,0.96,0.96,0.95,0.0,,0.95,0.95,317.50M,319.60M,0.15
2008-03,3.195B,3.195B,2.327B,868.50M,517.70M,,,25.40M,14.40M,-11.00M,517.70M,350.80M,14.40M,25.40M,-11.00M,,-11.00M,339.80M,115.20M,232.70M,,-24.00M,208.70M,208.70M,422.40M,57.20M,365.20M,0.65,0.0,,0.65,0.65,0.64,0.0,,0.64,0.64,318.30M,320.10M,0.15
2007-12,3.626B,3.626B,,,-5.914B,,,,,,-5.914B,531.80M,,,,,,517.60M,175.50M,424.70M,,-40.90M,313.80M,313.80M,569.10M,4.40M,564.70M,0.93,0.0,,0.93,0.93,0.93,0.0,,0.93,0.93,320.98M,323.55M,0.15
2007-09,3.101B,3.101B,,,2.751B,,,,,,2.751B,350.20M,,,,8.00M,,330.90M,112.10M,202.20M,,-24.60M,202.20M,202.20M,419.90M,69.70M,350.20M,0.62,0.0,,0.62,0.62,0.62,0.0,,0.62,0.62,326.13M,326.13M,0.15
2007-06,3.126B,3.126B,,,2.664B,,,,,,2.664B,461.60M,,,,12.50M,,439.40M,148.80M,276.70M,,-26.40M,276.70M,276.70M,529.90M,68.30M,461.60M,0.85,0.0,,0.85,0.85,0.84,0.0,,0.84,0.84,325.53M,329.40M,0.15
2007-03,2.841B,2.841B,,,2.525B,,,,,,2.525B,315.50M,,,,5.20M,,297.20M,100.50M,183.00M,,-18.90M,183.00M,183.00M,381.70M,66.20M,315.50M,0.55,0.0,,0.55,0.55,0.55,0.0,,0.55,0.55,332.73M,332.73M,0.125
2006-12,3.216B,3.216B,,,2.742B,,,,,,2.742B,474.20M,,,,12.10M,,450.00M,151.40M,277.20M,,-33.50M,277.20M,277.20M,545.10M,70.90M,474.20M,0.82,0.0,,0.82,0.82,0.81,0.0,,0.81,0.81,335.90M,340.74M,0.125
2006-09,2.774B,2.774B,,,2.467B,,,,,,2.467B,307.40M,,,,6.30M,,280.70M,92.90M,177.10M,,-17.00M,177.10M,177.10M,373.40M,66.00M,307.40M,0.52,0.0,,0.52,0.52,0.52,0.0,,0.52,0.52,340.58M,340.58M,0.125
2006-06,2.823B,2.823B,,,2.406B,,,,,,2.406B,417.40M,,,,6.30M,,391.90M,131.70M,244.10M,,-22.40M,244.10M,244.10M,481.70M,64.30M,417.40M,0.72,0.0,,0.72,0.72,0.71,0.0,,0.71,0.71,339.03M,343.80M,0.125
2006-03,2.563B,2.563B,,,2.278B,,,,,,2.278B,284.40M,,,,4.90M,,269.30M,90.90M,165.70M,,-17.60M,165.70M,165.70M,344.30M,59.90M,284.40M,0.47,0.0,,0.47,0.47,0.465,0.0,,0.465,0.465,352.55M,356.34M,0.125
2005-12,2.939B,2.939B,,,2.513B,,,,,,2.513B,426.10M,,,,10.40M,,409.60M,137.90M,252.60M,,-29.50M,252.60M,252.60M,492.70M,66.60M,426.10M,0.705,0.0,,0.705,0.705,0.705,0.0,,0.705,0.705,357.13M,357.13M,0.125
2005-09,2.523B,2.523B,,,2.248B,,,,,,2.248B,274.50M,,,,6.90M,,258.20M,86.90M,161.70M,,-16.50M,161.70M,161.70M,337.20M,62.70M,274.50M,0.45,0.0,,0.45,0.45,0.45,0.0,,0.45,0.45,359.33M,359.33M,0.1125
2005-06,2.616B,2.616B,,,2.234B,,,,,,2.234B,382.00M,,,,5.00M,,367.70M,124.30M,225.80M,,-22.60M,225.80M,225.80M,447.20M,65.20M,382.00M,0.62,0.0,,0.62,0.62,0.62,0.0,,0.62,0.62,364.19M,364.19M,0.1125
2005-03,2.403B,2.403B,,,2.146B,,,,,,2.146B,257.30M,,,,5.20M,,245.20M,86.10M,150.50M,,-13.80M,150.50M,150.50M,325.00M,67.70M,257.30M,0.41,0.0,,0.41,0.41,0.41,0.0,,0.41,0.41,367.07M,367.07M,0.1125
2004-12,2.789B,2.789B,,,2.394B,,,,,,2.394B,394.90M,,,,6.60M,,384.90M,129.40M,236.50M,,-25.60M,236.50M,236.50M,465.80M,70.90M,394.90M,0.645,0.0,,0.645,0.645,0.64,0.0,,0.64,0.64,364.56M,367.91M,0.1125
2004-09,2.319B,2.319B,,,2.072B,,,,,,2.072B,247.40M,,,,3.20M,,238.60M,80.30M,145.30M,,-16.20M,145.30M,145.30M,317.60M,70.20M,247.40M,0.395,0.0,,0.395,0.395,0.395,0.0,,0.395,0.395,367.85M,367.85M,0.1125
2004-06,2.408B,2.408B,,,2.064B,,,,,,2.064B,343.70M,,,,4.90M,,336.40M,113.10M,206.10M,,-22.10M,206.10M,206.10M,415.00M,71.30M,343.70M,0.55,0.0,,0.55,0.55,0.55,0.0,,0.55,0.55,374.73M,374.73M,0.1125
2004-03,2.231B,2.231B,,,2.002B,,,,,,2.002B,229.30M,,,,2.50M,,218.90M,73.60M,135.60M,,-12.20M,135.60M,135.60M,306.20M,76.90M,229.30M,0.36,0.0,,0.36,0.36,0.36,0.0,,0.36,0.36,376.67M,376.67M,0.1125
2003-12,2.506B,2.506B,,,2.209B,,,,,,2.209B,297.49M,,,,6.752M,,333.22M,91.72M,176.40M,,-26.07M,176.40M,176.40M,365.72M,68.24M,297.49M,0.465,0.0,,0.465,0.465,0.465,0.0,,0.465,0.465,379.91M,379.91M,0.1
2003-09,2.029B,2.029B,,,1.794B,,,,,,1.794B,234.41M,,,,3.996M,,210.78M,75.51M,135.27M,,-16.10M,135.27M,135.27M,287.11M,52.70M,234.41M,0.36,0.0,,0.36,0.36,0.36,0.0,,0.36,0.36,375.75M,375.75M,0.1
2003-06,2.150B,2.150B,,,1.813B,,,,,,1.813B,336.64M,,,,1.865M,,323.69M,110.56M,190.75M,,-24.26M,190.75M,190.75M,364.70M,28.05M,336.64M,0.51,0.0,,0.51,0.51,0.51,0.0,,0.51,0.51,374.01M,374.01M,0.1
2003-03,1.937B,1.937B,,,1.735B,,,,,,1.735B,202.20M,,,,2.50M,,193.90M,67.10M,115.50M,,-13.80M,115.50M,115.50M,274.40M,72.20M,202.20M,0.31,0.0,,0.31,0.31,0.31,0.0,,0.31,0.31,372.58M,372.58M,0.1
2002-12,2.119B,2.119B,,,1.904B,,,,,,1.904B,214.36M,,,,5.388M,,206.69M,58.03M,128.52M,,-25.53M,128.52M,128.52M,268.38M,54.02M,214.36M,0.35,0.0,,0.35,0.35,0.35,0.0,,0.35,0.35,367.70M,367.70M,0.1
2002-09,1.768B,1.768B,,,1.557B,,,,,,1.557B,211.39M,,,,2.436M,,205.83M,69.70M,126.10M,,-12.46M,126.10M,126.10M,263.09M,51.70M,211.39M,0.34,0.0,,0.34,0.34,0.34,0.0,,0.34,0.34,370.89M,370.89M,0.1
2002-06,1.917B,1.917B,,,1.586B,,,,,,1.586B,330.49M,,,,3.454M,,324.55M,122.01M,187.32M,,-18.67M,187.32M,187.32M,380.47M,49.98M,330.49M,0.505,0.0,,0.505,0.505,0.5,0.0,,0.5,0.5,370.92M,374.63M,0.1
2002-03,1.732B,1.732B,,,1.504B,,,,,,1.504B,228.86M,,,,2.522M,,217.54M,79.86M,128.57M,,-11.63M,128.57M,128.57M,277.97M,49.11M,228.86M,0.345,0.0,,0.345,0.345,0.34,0.0,,0.34,0.34,372.66M,378.14M,0.1
2001-12,1.970B,1.970B,,,1.667B,,,,,,1.667B,303.58M,,,,6.856M,,248.54M,112.45M,164.14M,,-18.92M,164.14M,164.14M,367.84M,64.26M,303.58M,0.315,0.0,,0.315,0.315,0.315,0.0,,0.315,0.315,522.97M,522.97M,0.1
2001-09,1.571B,1.571B,,,1.389B,,,,,,1.389B,182.21M,,,,2.521M,,164.09M,64.34M,92.36M,,-9.916M,92.36M,92.36M,250.16M,67.95M,182.21M,0.25,0.0,,0.25,0.25,0.25,0.0,,0.25,0.25,369.42M,369.42M,0.1
2001-06,1.747B,1.747B,,,1.456B,,,,,,1.456B,291.11M,,,,2.88M,,271.67M,107.61M,151.37M,,-15.57M,151.37M,151.37M,357.01M,65.91M,291.11M,0.415,0.0,,0.415,0.415,0.405,0.0,,0.405,0.405,364.74M,373.74M,0.1
2001-03,1.601B,1.601B,,,1.410B,,,,,,1.410B,191.28M,,,,0.41M,,170.98M,67.72M,95.28M,,-8.382M,95.28M,95.28M,251.22M,59.93M,191.28M,0.26,0.0,,0.26,0.26,0.26,0.0,,0.26,0.26,366.46M,366.46M,0.0875
2000-12,1.802B,1.802B,,,1.524B,,-6.612M,,,,1.357B,278.43M,,,,4.302M,,242.07M,99.86M,142.21M,,-15.06M,142.21M,146.17M,337.08M,58.65M,278.43M,0.34,0.0,,0.3495,0.34,0.33,0.0,,0.3392,0.33,418.25M,431.68M,0.0875
