,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2017-03,262.40M,,,,,42.30M,30.40M,72.70M,72.70M,,,19.30M,,0.90M,779.50M,-213.50M,,-1.118B,,,1.00M,-550.60M,-195.30M,-32.10M,,,-19.20M,6.10M,,-45.20M,,-1.40M,-1.40M,,-234.70M,-234.70M,-130.80M,-130.80M,3.10M,-22.80M,-386.60M,3.002B,-627.10M,67.10M,2.442B,,,,-234.70M,-64.80M,-53.20M
2016-12,380.40M,,,,,43.10M,29.50M,72.60M,72.60M,,-3.20M,23.60M,,41.80M,-1.195B,122.60M,,1.848B,,,325.70M,1.102B,1.617B,-65.00M,,,-40.30M,9.10M,,-96.20M,0.00,0.00,0.00,,-138.40M,-138.40M,-131.20M,-131.20M,4.60M,-56.70M,-321.70M,1.937B,1.199B,-133.20M,3.002B,,0.00,0.00,-138.40M,142.80M,58.20M
2016-09,278.10M,,,,,44.20M,28.90M,73.10M,73.10M,,-12.20M,23.50M,,8.10M,-73.20M,-23.80M,,307.50M,,,132.30M,342.80M,713.40M,-22.60M,,,-1.50M,198.90M,,174.80M,0.00,12.10M,12.10M,,-80.30M,-80.30M,-131.30M,-131.30M,3.80M,-70.20M,-265.90M,1.306B,622.30M,8.60M,1.937B,,0.00,0.00,-80.30M,65.10M,51.70M
2016-06,351.90M,,,,,44.50M,28.50M,73.00M,73.00M,,,23.30M,,-37.50M,-127.70M,141.20M,,138.30M,,,-486.20M,-334.40M,76.30M,-36.50M,,,-180.40M,-227.00M,,-443.90M,389.60M,-26.60M,363.00M,,-176.40M,-176.40M,-120.70M,-120.70M,11.70M,-122.90M,-45.30M,1.747B,-412.90M,-28.70M,1.306B,,1.390B,-1.00B,-176.40M,227.00M,65.30M
2016-03,236.30M,,,,,45.90M,28.30M,74.20M,74.20M,,,23.00M,,19.60M,1.019B,-329.70M,,-1.552B,,,55.30M,-807.10M,-454.00M,-41.40M,,,-86.60M,11.70M,,-116.30M,,13.30M,13.30M,,-207.10M,-207.10M,-122.20M,-122.20M,6.70M,-56.10M,-365.40M,2.605B,-935.70M,77.80M,1.747B,,,,-207.10M,135.50M,41.50M
2015-12,364.20M,,,,,43.90M,28.50M,72.40M,72.40M,,-3.80M,24.00M,22.80M,22.50M,-996.20M,338.80M,,1.576B,,,338.10M,1.257B,1.759B,-57.10M,,,-24.10M,-13.60M,,-94.80M,0.00,-4.70M,-4.70M,,-219.60M,-219.60M,-122.80M,-122.80M,8.70M,-95.90M,-434.30M,1.428B,1.230B,-51.90M,2.605B,,0.00,0.00,-219.60M,137.70M,48.60M
2015-09,266.70M,,,,,45.40M,26.30M,71.70M,71.70M,,-1.80M,26.10M,-8.50M,26.90M,59.80M,19.90M,,-130.70M,,,162.70M,111.70M,492.80M,-38.90M,,,-11.20M,3.80M,,-46.30M,,2.50M,2.50M,,-101.30M,-101.30M,-123.40M,-123.40M,5.40M,-39.30M,-256.10M,1.356B,190.40M,-118.90M,1.428B,,,,-101.30M,72.10M,32.50M
2015-06,342.70M,,,,,45.60M,27.20M,72.80M,72.80M,,-1.80M,24.70M,-3.40M,0.30M,-594.50M,-101.50M,,696.30M,,,-249.60M,-249.30M,186.00M,-68.50M,,,-2.20M,9.30M,3.90M,-57.50M,0.00,-1.60M,-1.60M,,-135.90M,-135.90M,-124.30M,-124.30M,2.30M,-87.90M,-347.40M,1.527B,-218.90M,48.20M,1.356B,,0.00,0.00,-135.90M,186.00M,57.60M
2015-03,229.80M,,,,,46.90M,27.30M,74.20M,74.20M,,-1.80M,24.60M,-10.90M,5.60M,467.30M,-336.80M,,-697.80M,,,7.80M,-559.50M,-238.00M,-38.20M,,,-22.80M,,-3.90M,-64.90M,,2.70M,2.70M,,-270.70M,-270.70M,-126.20M,-126.20M,3.70M,-28.00M,-418.50M,2.388B,-721.40M,-140.00M,1.527B,,,,-270.70M,144.30M,35.20M
2014-12,373.00M,,,,,47.00M,30.00M,77.00M,77.00M,,,24.00M,-9.40M,0.30M,-560.50M,319.30M,,955.50M,,,271.40M,985.70M,1.443B,-74.70M,,,-9.60M,21.00M,-6.50M,-69.80M,747.60M,-25.20M,722.40M,,-198.20M,-198.20M,-127.30M,-127.30M,24.70M,-82.20M,339.40M,837.70M,1.713B,-162.60M,2.388B,,,0.00,-198.20M,189.20M,41.50M
2014-09,273.60M,,,,,47.20M,26.90M,74.10M,74.10M,,,25.60M,-5.20M,-2.50M,158.40M,-117.70M,,-323.70M,,,138.00M,-145.00M,220.60M,-46.80M,,,-15.10M,,-3.00M,-64.90M,-252.70M,9.00M,-243.70M,,-287.00M,-287.00M,-128.90M,-128.90M,5.60M,-51.10M,-705.10M,1.535B,-549.40M,-147.60M,837.70M,,,-252.70M,-287.00M,75.40M,46.60M
2014-06,358.50M,,,,,46.60M,25.80M,72.40M,72.40M,,,22.30M,-6.20M,0.40M,-452.40M,-27.30M,,592.60M,,,-317.50M,-204.60M,242.80M,-49.00M,,,-38.30M,-11.90M,9.50M,-89.70M,,16.60M,16.60M,,-555.70M,-555.70M,-105.90M,-105.90M,4.20M,-94.70M,-735.50M,2.082B,-582.40M,35.00M,1.535B,,,,-555.70M,179.60M,58.90M
2014-03,228.00M,,,,,46.50M,24.40M,70.90M,70.90M,,,21.60M,-8.80M,0.30M,627.40M,-188.50M,,-993.10M,,,-188.10M,-742.30M,-430.30M,-42.50M,,,-11.90M,11.90M,,-42.50M,,1.70M,1.70M,,-22.10M,-22.10M,-105.90M,-105.90M,4.80M,-35.40M,-156.90M,2.710B,-629.70M,1.30M,2.082B,,,,-22.10M,165.90M,41.60M
2013-12,340.40M,,,-0.40M,-0.40M,47.40M,24.50M,71.90M,71.90M,,-1.80M,21.40M,-3.60M,-5.10M,-49.20M,-21.10M,,905.50M,,,170.30M,1.006B,1.449B,-88.70M,,123.30M,-6.30M,-17.30M,,-95.70M,0.00,-12.90M,-12.90M,,-4.00M,-4.00M,-105.80M,-105.80M,7.50M,-20.30M,-135.50M,1.522B,1.218B,-28.90M,2.710B,,,0.00,-4.00M,137.20M,58.00M
2013-09,224.70M,,,-0.30M,-0.30M,45.30M,25.70M,71.00M,71.00M,,-1.90M,20.20M,-5.40M,12.90M,159.60M,-69.10M,,-370.30M,,,261.30M,-18.50M,293.40M,-54.30M,,-54.30M,-4.30M,3.40M,,-55.20M,0.00,5.60M,5.60M,,-15.20M,-15.20M,-105.90M,-105.90M,9.80M,-64.70M,-170.40M,1.400B,67.80M,53.80M,1.522B,,,0.00,-15.20M,58.10M,38.50M
2013-06,321.70M,,,1.60M,1.60M,45.60M,25.20M,70.80M,70.80M,,-1.80M,22.60M,-16.00M,4.80M,-409.90M,-102.10M,,588.30M,,,-200.20M,-123.90M,276.20M,-30.80M,,-30.80M,-21.30M,11.20M,,-40.90M,-406.70M,1.50M,-405.20M,,-282.60M,-282.60M,-106.70M,-106.70M,12.60M,-47.70M,-829.60M,2.072B,-594.30M,-77.60M,1.400B,,,-406.70M,-282.60M,168.40M,55.50M
2013-03,224.80M,,,-0.90M,-0.90M,45.70M,25.40M,71.10M,71.10M,,-1.80M,22.10M,-12.80M,7.50M,544.30M,-221.60M,,-886.90M,,,52.40M,-511.80M,-209.70M,-38.20M,,-38.20M,-0.90M,2.70M,,-36.40M,,5.40M,5.40M,,-273.50M,-273.50M,0.00,0.00,22.40M,-38.60M,-284.30M,2.678B,-530.40M,-76.10M,2.072B,,,,-273.50M,108.70M,40.80M
2012-12,343.60M,,,1.60M,1.60M,46.20M,25.90M,72.10M,72.10M,,5.50M,17.70M,-5.50M,23.40M,-656.80M,210.40M,,825.20M,,,312.30M,691.10M,1.151B,-67.60M,,158.70M,-15.40M,0.20M,,-82.80M,0.00,-4.70M,-4.70M,,-134.90M,-134.90M,-162.40M,-162.40M,11.60M,-39.10M,-329.50M,1.956B,738.90M,-16.90M,2.678B,,0.00,0.00,-134.90M,33.60M,50.70M
2012-09,233.70M,,,-1.30M,-1.30M,44.60M,27.30M,71.90M,71.90M,,-1.80M,18.70M,-22.30M,-5.40M,-132.50M,15.70M,,-125.60M,,,83.30M,-159.10M,142.80M,-45.90M,,-45.90M,-12.10M,-0.50M,,-58.50M,526.40M,-1.50M,524.90M,,-195.70M,-195.70M,-81.90M,-81.90M,30.00M,-112.60M,164.70M,1.665B,249.00M,42.00M,1.956B,,526.40M,0.00,-195.70M,50.50M,39.70M
2012-06,314.20M,,,-0.90M,-0.90M,45.50M,23.90M,69.40M,69.40M,,-1.90M,18.10M,-46.10M,-29.90M,-225.90M,-57.70M,,360.40M,,,-272.60M,-195.80M,157.80M,-67.20M,,-67.20M,-74.80M,-9.90M,,-151.90M,746.80M,1.00M,747.80M,,-551.20M,-551.20M,-83.70M,-83.70M,87.20M,-3.10M,197.00M,1.503B,202.90M,-40.30M,1.665B,,746.80M,0.00,-551.20M,114.00M,34.00M
2012-03,226.00M,,,0.60M,0.60M,45.30M,24.00M,69.30M,69.30M,,-1.80M,26.30M,-11.40M,13.10M,796.50M,-163.60M,,-932.20M,,,-11.70M,-311.00M,-0.50M,-45.60M,,-45.60M,-30.40M,18.80M,,-57.20M,,1.90M,1.90M,,-254.70M,-254.70M,-69.80M,-69.80M,90.40M,-20.10M,-252.30M,1.781B,-310.00M,31.50M,1.503B,,,,-254.70M,123.00M,41.10M
2011-12,307.20M,,,119.60M,119.60M,46.40M,23.70M,70.10M,70.10M,,0.90M,21.80M,-3.00M,-130.90M,-556.50M,155.00M,,1.043B,,266.40M,24.80M,933.10M,1.315B,-71.30M,,-71.30M,-88.90M,-1.70M,,-161.90M,-0.30M,-7.40M,-7.70M,-104.70M,-131.10M,-235.80M,,-70.10M,,-64.90M,-261.00M,900.60M,891.90M,-11.30M,1.781B,-104.70M,-0.30M,0.00,-131.10M,,
2011-09,228.80M,,,2.20M,2.20M,45.90M,23.80M,69.70M,69.70M,,-0.90M,19.80M,-6.90M,26.40M,-214.40M,-92.30M,,32.30M,,125.00M,58.70M,-90.70M,263.10M,-33.10M,,-33.10M,-53.10M,15.50M,,-70.70M,0.30M,-45.80M,-45.50M,16.90M,-52.30M,-35.40M,,-69.80M,,-39.90M,-190.60M,986.30M,1.80M,-87.50M,900.60M,16.90M,-9.80M,0.00,-52.30M,,
2011-06,307.30M,,,-2.20M,-2.20M,45.50M,23.20M,68.70M,68.70M,,0.00,16.50M,-16.20M,0.30M,-430.10M,87.20M,,158.90M,,-320.60M,44.00M,-460.60M,-85.70M,-42.00M,,-42.00M,-50.30M,-10.30M,,-102.60M,-0.10M,0.40M,0.30M,60.40M,-332.40M,-272.00M,,-71.30M,,-21.10M,-364.10M,1.512B,-552.40M,26.50M,986.30M,60.40M,0.40M,-0.10M,-332.40M,,
2011-03,217.10M,,,-119.60M,-119.60M,44.50M,20.70M,65.20M,65.20M,,0.00,16.40M,-4.30M,12.10M,729.60M,-203.10M,,-971.90M,,-70.80M,163.60M,-352.60M,-176.90M,-39.10M,,-39.10M,-211.40M,11.10M,,-239.40M,,9.70M,9.70M,27.40M,-333.20M,-305.80M,,-57.90M,,-36.00M,-390.00M,2.289B,-806.30M,29.80M,1.512B,27.40M,9.70M,,-333.20M,,
2010-12,278.50M,,,-7.20M,-7.20M,47.30M,20.10M,67.40M,67.40M,,0.00,17.40M,-28.20M,-2.50M,-435.80M,-209.70M,,1.102B,267.10M,112.10M,273.80M,1.110B,1.444B,-55.60M,,-55.60M,-36.70M,7.80M,,-84.50M,-0.30M,1.90M,1.60M,-105.20M,-729.00M,-834.20M,,-60.50M,,-24.60M,-794.60M,1.689B,565.40M,34.00M,2.289B,-105.20M,-33.40M,0.00,-729.00M,69.70M,37.00M
2010-09,195.50M,,,6.70M,6.70M,44.40M,18.00M,62.40M,62.40M,,0.00,16.90M,-1.40M,-43.50M,-25.40M,255.20M,,-147.70M,-267.10M,100.90M,40.90M,-43.20M,214.10M,-35.00M,,-35.00M,-39.00M,5.30M,,-68.70M,991.60M,11.00M,1.003B,11.20M,-1.50M,9.70M,,-60.80M,,-23.10M,928.40M,533.70M,1.074B,81.80M,1.689B,11.20M,1.001B,1.20M,-1.50M,44.40M,26.00M
2010-06,268.80M,,,-8.30M,-8.30M,44.80M,16.40M,61.20M,61.20M,,,15.90M,-15.00M,0.90M,-108.80M,-100.30M,,115.30M,,-147.30M,23.80M,-217.30M,107.30M,-37.90M,,-37.90M,-56.80M,-2.10M,,-96.80M,-61.80M,24.90M,-36.90M,83.40M,-315.90M,-232.50M,,-61.50M,,-11.00M,-341.90M,900.40M,-331.40M,-35.30M,533.70M,83.40M,22.10M,-61.80M,-315.90M,104.70M,70.10M
2010-03,180.90M,,,1.60M,1.60M,45.70M,16.30M,62.00M,62.00M,,,19.10M,0.00,19.10M,277.60M,-154.90M,,-613.80M,,-65.70M,18.00M,-538.80M,-277.90M,-25.20M,,-25.20M,-19.60M,1.10M,,-43.70M,-5.90M,-2.80M,-8.70M,10.60M,-249.60M,-239.00M,,-46.90M,,-34.60M,-329.20M,1.587B,-650.80M,-35.80M,900.40M,10.60M,,-5.90M,-249.60M,74.50M,7.70M
2009-12,256.60M,,,-41.60M,-41.60M,53.90M,15.10M,69.00M,69.00M,,,21.90M,0.00,21.90M,-711.90M,101.00M,,1.188B,,287.80M,96.10M,961.50M,1.278B,-37.20M,,-37.20M,-24.80M,13.50M,,-48.50M,0.70M,-155.40M,-154.70M,8.50M,-1.70M,6.80M,,-46.80M,,-62.60M,-257.30M,597.40M,972.70M,16.90M,1.587B,8.50M,-155.90M,1.20M,-1.70M,,
2009-09,182.80M,,,-5.70M,-5.70M,45.40M,14.70M,60.10M,60.10M,,,21.00M,0.00,21.00M,226.90M,-101.60M,,-116.10M,,42.50M,29.20M,80.90M,343.70M,-30.10M,,-30.10M,-50.20M,20.30M,,-60.00M,-177.60M,133.40M,-44.20M,4.00M,-4.70M,-0.70M,,-46.80M,,-8.20M,-99.90M,399.90M,183.80M,13.70M,597.40M,4.00M,430.50M,-474.70M,-4.70M,,
2009-06,253.80M,,,-0.30M,-0.30M,44.40M,13.50M,57.90M,57.90M,,,21.20M,0.00,21.20M,164.00M,99.40M,,5.20M,,-312.40M,39.90M,-3.90M,337.80M,-40.00M,,-40.00M,-60.70M,4.40M,,-96.30M,-305.00M,-3.80M,-308.80M,5.90M,-6.80M,-0.90M,,-46.80M,,-42.40M,-398.90M,412.40M,-157.40M,144.90M,399.90M,5.90M,-280.30M,-0.20M,-6.80M,-86.20M,-18.40M
2009-03,178.20M,,,-2.90M,-2.90M,42.80M,13.00M,55.80M,55.80M,,,14.50M,,14.50M,731.90M,15.10M,,-1.088B,,-93.80M,-39.50M,-474.10M,-228.40M,-23.30M,,-23.30M,-1.70M,3.80M,,-21.20M,-336.30M,28.30M,-308.00M,0.20M,-1.80M,-1.60M,,-46.70M,,-15.60M,-371.90M,1.097B,-621.50M,-63.40M,412.40M,0.20M,505.50M,-841.80M,-1.80M,86.20M,18.40M
2008-12,298.40M,,,-2.60M,-2.60M,45.10M,14.60M,59.70M,59.70M,,,15.00M,0.00,15.00M,,,,,,,,774.90M,1.160B,-60.60M,,-60.60M,27.20M,-43.70M,,-77.10M,-114.90M,-50.20M,-165.10M,8.20M,-0.80M,7.40M,,-46.70M,,-97.70M,-302.10M,530.60M,780.60M,-213.90M,1.097B,8.20M,-168.20M,-2.00M,-0.80M,,
2008-09,241.40M,,,-5.60M,-5.60M,46.80M,13.70M,60.50M,60.50M,,,16.50M,-3.30M,13.20M,,,,,,,,10.40M,325.90M,-58.90M,,-58.90M,-179.30M,20.90M,,-217.30M,113.00M,44.60M,157.60M,14.10M,-438.20M,-424.10M,,-48.00M,,-40.00M,-354.50M,915.80M,-245.90M,-139.30M,530.60M,14.10M,157.60M,0.00,-438.20M,,
2008-06,341.90M,,,-5.80M,-5.80M,45.90M,12.60M,58.50M,58.50M,,,12.60M,-5.50M,7.10M,,,,,,,,9.60M,416.10M,-50.50M,,-50.50M,-121.10M,3.50M,,-168.10M,0.60M,3.30M,3.90M,30.50M,-91.80M,-61.30M,,-48.20M,,-33.70M,-139.30M,813.90M,108.70M,-6.80M,915.80M,30.50M,11.30M,0.00,-91.80M,,
2008-03,232.70M,,,-0.70M,-0.70M,45.00M,12.20M,57.20M,57.20M,,,15.20M,-4.10M,11.10M,,,,,,,,-809.20M,-507.60M,-42.20M,,-42.20M,-89.00M,-3.70M,,-134.90M,1.70M,7.40M,9.10M,33.20M,-316.00M,-282.80M,,-49.10M,,-17.70M,-340.50M,1.793B,-983.00M,3.70M,813.90M,33.20M,1.70M,0.00,-316.00M,,
2007-12,424.70M,,,,-69.50M,45.90M,-41.50M,4.40M,4.40M,,,,,55.80M,-281.00M,,121.60M,924.80M,,-156.00M,408.30M,994.00M,1.431B,-62.20M,,-62.20M,,335.40M,,-45.50M,,,-4.10M,32.50M,-53.20M,-20.70M,,-49.10M,,-73.50M,-147.40M,577.20M,1.238B,-21.70M,1.793B,32.50M,,,-53.20M,,
2007-09,202.20M,,,,19.60M,40.80M,28.90M,69.70M,69.70M,,,,,6.70M,-327.40M,,-38.70M,24.40M,,144.70M,115.00M,-82.00M,216.20M,-59.60M,,-59.60M,,-183.00M,,-242.60M,,,3.80M,2.10M,-89.70M,-87.60M,,-49.50M,,-5.40M,-138.70M,772.40M,-165.10M,-30.10M,577.20M,2.10M,,,-89.70M,,
2007-06,276.70M,,,,20.50M,39.00M,29.30M,68.30M,68.30M,,,,,-2.60M,-187.60M,,-6.40M,371.50M,,-1.80M,-239.80M,-64.10M,298.80M,-66.30M,,-66.30M,,-135.70M,,-202.00M,,,-0.70M,18.10M,-305.00M,-286.90M,,-41.60M,,-22.20M,-351.40M,1.028B,-254.60M,-1.30M,772.40M,18.10M,,,-305.00M,,
2007-03,183.00M,,,,19.40M,38.50M,27.70M,66.20M,66.20M,,,,,-8.40M,287.30M,,-76.50M,-870.40M,,31.30M,21.80M,-606.50M,-346.30M,-34.90M,,-34.90M,,133.10M,,98.20M,,,1.50M,48.20M,-451.80M,-403.60M,,-42.60M,,-7.10M,-451.80M,1.740B,-699.90M,-11.30M,1.028B,48.20M,,,-451.80M,,
2006-12,277.20M,,,,21.70M,40.70M,30.20M,70.90M,70.90M,,,,,-6.50M,-354.80M,,-22.70M,1.097B,,122.40M,145.40M,987.60M,1.351B,-58.10M,,-58.10M,0.00,-176.50M,0.10M,-234.50M,,,-2.30M,131.30M,-262.40M,-131.10M,,-42.70M,,-6.00M,-182.10M,808.30M,934.30M,-3.10M,1.740B,131.30M,,,-262.40M,,
2006-09,177.10M,,,,10.70M,37.80M,28.20M,66.00M,66.00M,,,,,-1.60M,-112.20M,,-17.50M,-165.30M,,93.70M,152.80M,-48.50M,203.70M,-46.50M,,-46.50M,31.40M,-73.50M,-0.10M,-88.70M,,,-167.60M,13.10M,-123.60M,-110.50M,,-43.30M,,-14.20M,-335.60M,1.092B,-220.60M,-63.10M,808.30M,13.10M,,,-123.60M,,
