,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2016-03,1.747B,2.70M,1.75B,6.321B,,6.321B,1.362B,1.362B,,1.112B,10.55B,,,1.924B,-1.234B,690.10M,9.044B,401.00M,9.445B,137.90M,,249.10M,10.52B,21.07B,8.406B,274.10M,8.680B,,8.680B,,,1.039B,1.039B,1.252B,1.252B,1.968B,12.94B,3.613B,,3.613B,489.00M,489.00M,531.80M,203.50M,915.80M,5.221B,18.16B,59.60M,10.28B,811.10M,7.822B,-949.30M,2.376B
2015-12,2.605B,14.50M,2.620B,7.221B,,7.221B,1.123B,1.123B,,1.017B,11.98B,,,1.899B,-1.207B,692.70M,8.676B,344.80M,9.021B,136.60M,,279.70M,10.13B,22.11B,9.812B,319.10M,10.13B,,10.13B,,,1.007B,1.007B,1.284B,1.284B,1.798B,14.22B,3.564B,,3.564B,469.10M,469.10M,437.00M,167.90M,800.50M,5.002B,19.22B,59.60M,10.18B,859.90M,7.630B,-1.015B,2.452B
2015-09,1.428B,2.50M,1.43B,6.314B,,6.314B,1.455B,1.455B,,1.054B,10.25B,,,1.919B,-1.228B,691.30M,8.683B,338.90M,9.022B,136.50M,,355.10M,10.20B,20.46B,8.336B,240.70M,8.577B,,8.577B,,,1.013B,1.013B,1.182B,1.182B,1.615B,12.39B,3.602B,,3.602B,613.50M,613.50M,425.60M,178.50M,772.60M,5.167B,17.55B,59.60M,9.969B,857.30M,7.426B,-981.60M,2.478B
2015-06,1.356B,6.10M,1.362B,6.502B,,6.502B,1.511B,1.511B,,1.125B,10.50B,,,1.951B,-1.245B,706.60M,8.766B,358.80M,9.125B,136.20M,,307.50M,10.28B,20.78B,8.622B,176.90M,8.799B,,8.799B,,,1.019B,1.019B,1.219B,1.219B,1.511B,12.55B,3.548B,,3.548B,651.70M,651.70M,437.20M,180.00M,763.10M,5.143B,17.69B,59.60M,9.852B,865.90M,7.372B,-759.20M,2.647B
2015-03,1.527B,5.70M,1.532B,5.840B,,5.840B,1.410B,1.410B,,1.122B,9.905B,,,1.894B,-1.212B,681.50M,8.640B,367.20M,9.007B,142.20M,,335.40M,10.17B,20.07B,7.850B,226.50M,8.077B,,8.077B,,,9.90M,9.90M,1.153B,1.153B,1.781B,11.02B,4.594B,,4.594B,643.30M,643.30M,443.20M,177.40M,802.60M,6.217B,17.24B,59.60M,9.662B,852.00M,7.247B,-936.70M,2.390B
2014-12,2.388B,2.20M,2.390B,6.525B,,6.525B,1.167B,1.167B,,998.10M,11.08B,,,1.929B,-1.221B,708.00M,8.822B,389.40M,9.212B,148.20M,,280.90M,10.35B,21.43B,8.798B,301.10M,9.099B,,9.099B,,,7.60M,7.60M,1.181B,1.181B,1.774B,12.06B,4.542B,,4.542B,543.90M,543.90M,471.30M,185.70M,774.30M,6.046B,18.11B,59.60M,9.577B,818.60M,6.987B,-618.20M,2.85B
2014-09,837.70M,12.60M,850.30M,6.136B,,6.136B,1.528B,1.528B,,1.053B,9.567B,,,1.972B,-1.258B,713.60M,8.875B,387.00M,9.262B,153.60M,,272.00M,10.40B,19.97B,7.449B,275.70M,7.724B,,7.724B,,,31.60M,31.60M,1.131B,1.131B,2.189B,11.08B,3.779B,,3.779B,732.80M,732.80M,473.10M,190.20M,680.00M,5.382B,16.46B,59.60M,9.374B,842.60M,6.817B,-420.10M,3.038B
2014-06,1.535B,9.90M,1.545B,6.499B,,6.499B,1.463B,1.463B,,1.040B,10.55B,,,2.014B,-1.277B,737.20M,9.092B,402.10M,9.494B,155.90M,,285.30M,10.67B,21.22B,8.015B,162.10M,8.178B,,8.178B,,,277.80M,277.80M,1.170B,1.170B,2.186B,11.81B,3.785B,,3.785B,745.10M,745.10M,492.30M,195.70M,733.70M,5.460B,17.27B,59.60M,9.257B,854.30M,6.618B,-96.50M,3.456B
2014-03,2.082B,7.00M,2.089B,6.007B,,6.007B,1.489B,1.489B,,992.30M,10.58B,,,1.987B,-1.255B,732.00M,8.987B,384.70M,9.371B,133.50M,,274.40M,10.51B,21.09B,7.403B,221.90M,7.625B,,7.625B,,,260.60M,260.60M,1.154B,1.154B,2.409B,11.45B,3.779B,,3.779B,740.80M,740.80M,487.80M,200.90M,713.00M,5.433B,16.88B,59.60M,9.061B,847.80M,6.08B,-169.70M,3.718B
2013-12,2.710B,18.20M,2.729B,6.633B,,6.633B,1.288B,1.288B,,1.003B,11.65B,,,1.968B,-1.230B,737.40M,8.916B,386.00M,9.302B,131.80M,,275.20M,10.45B,22.10B,8.359B,293.30M,8.652B,,8.652B,,,6.30M,6.30M,1.242B,1.242B,2.377B,12.28B,4.033B,,4.033B,832.60M,832.60M,485.50M,202.00M,685.10M,5.753B,18.03B,59.60M,8.961B,817.10M,6.064B,-191.60M,3.582B
2013-09,1.522B,12.90M,1.534B,6.578B,,6.578B,1.328B,1.328B,,1.025B,10.47B,,,1.928B,-1.227B,701.60M,8.869B,398.10M,9.267B,152.20M,,284.50M,10.41B,20.87B,7.533B,234.90M,7.768B,,7.768B,,,18.60M,18.60M,1.280B,1.280B,2.168B,11.24B,4.035B,,4.035B,879.30M,879.30M,467.70M,194.70M,718.00M,5.827B,17.06B,59.60M,8.767B,810.90M,6.076B,-220.60M,3.340B
2013-06,1.400B,14.70M,1.415B,6.637B,,6.637B,1.258B,1.258B,,978.50M,10.29B,,,1.905B,-1.218B,687.10M,8.708B,407.40M,9.115B,147.40M,,287.20M,10.24B,20.52B,7.798B,197.40M,7.995B,,7.995B,,,13.10M,13.10M,1.205B,1.205B,2.014B,11.23B,4.038B,,4.038B,864.90M,864.90M,453.60M,196.70M,689.50M,5.789B,17.02B,59.60M,8.676B,804.70M,6.088B,-397.40M,3.056B
2013-03,2.072B,18.50M,2.090B,6.313B,,6.313B,1.189B,1.189B,,1.009B,10.60B,,,1.913B,-1.205B,708.00M,8.714B,434.90M,9.149B,154.40M,,295.90M,10.31B,20.91B,7.295B,238.30M,7.533B,,7.533B,,,12.00M,12.00M,1.244B,1.244B,2.154B,10.94B,4.446B,,4.446B,944.00M,944.00M,485.00M,191.50M,725.10M,6.307B,17.25B,59.60M,8.493B,844.60M,5.924B,-300.40M,3.173B
2012-12,2.678B,20.60M,2.699B,6.958B,,6.958B,1.008B,1.008B,,995.90M,11.66B,,,1.959B,-1.235B,723.80M,8.844B,456.10M,9.300B,155.20M,,311.20M,10.49B,22.15B,8.297B,264.40M,8.561B,,8.561B,,,6.80M,6.80M,1.232B,1.232B,2.076B,11.88B,4.448B,,4.448B,933.00M,933.00M,495.50M,198.40M,739.90M,6.320B,18.20B,59.60M,8.394B,836.60M,5.700B,-129.50M,3.461B
2012-09,1.956B,16.50M,1.973B,6.260B,,6.260B,700.20M,700.20M,,1.464B,10.40B,,,1.935B,-1.235B,700.00M,8.729B,446.80M,9.175B,192.50M,,333.00M,10.40B,20.80B,7.430B,128.50M,7.559B,,7.559B,,,11.50M,11.50M,1.192B,1.192B,1.940B,10.70B,4.451B,,4.451B,948.40M,948.40M,684.80M,,653.40M,6.052B,16.75B,59.60M,8.168B,919.00M,5.667B,-120.70M,3.359B
2012-06,1.665B,14.70M,1.68B,6.042B,,6.042B,698.70M,698.70M,,1.437B,9.858B,,,1.898B,-1.200B,698.20M,8.600B,445.10M,9.045B,185.80M,,320.30M,10.25B,20.11B,7.461B,111.80M,7.573B,,7.573B,,,12.80M,12.80M,1.279B,1.279B,1.825B,10.69B,3.926B,,3.926B,919.60M,919.60M,673.90M,,627.20M,5.473B,16.16B,59.60M,8.046B,952.80M,5.572B,-216.20M,3.270B
2012-03,1.503B,5.80M,1.508B,5.932B,,5.932B,708.70M,708.70M,,1.471B,9.620B,,,1.889B,-1.201B,687.40M,8.574B,462.80M,9.037B,185.90M,,292.40M,10.20B,19.82B,7.230B,185.70M,7.416B,,7.416B,,,12.10M,12.10M,1.290B,1.290B,2.149B,10.87B,3.181B,,3.181B,896.40M,896.40M,701.50M,,598.60M,4.676B,15.54B,59.60M,7.845B,1.004B,5.233B,-96.20M,3.579B
2011-12,1.781B,23.80M,1.805B,6.632B,,6.632B,1.018B,1.018B,,967.00M,10.42B,,,1.869B,-1.186B,682.90M,8.456B,468.40M,8.925B,184.20M,,292.10M,10.08B,20.51B,8.06B,237.00M,8.297B,,8.297B,,,10.20M,10.20M,1.225B,1.225B,2.138B,11.67B,3.183B,,3.183B,867.60M,867.60M,475.50M,202.10M,602.00M,4.855B,16.53B,59.60M,7.724B,1.044B,5.131B,-191.70M,3.504B
2011-09,900.60M,11.40M,912.00M,5.971B,,5.971B,799.10M,799.10M,,1.292B,8.975B,,,1.835B,-1.203B,632.10M,8.398B,436.00M,8.834B,199.00M,0.00,296.70M,9.961B,18.94B,6.948B,159.70M,7.108B,,7.108B,,,17.40M,17.40M,1.224B,1.224B,1.851B,10.20B,3.184B,,3.184B,833.30M,833.30M,659.50M,,611.30M,4.629B,14.83B,59.60M,7.522B,1.201B,5.172B,-164.60M,3.447B
2011-06,986.30M,17.00M,1.003B,5.981B,,5.981B,782.40M,782.40M,,1.268B,9.034B,,,1.891B,-1.228B,663.40M,8.502B,442.70M,8.945B,209.60M,0.00,304.20M,10.12B,19.16B,7.156B,138.70M,7.294B,,7.294B,,,65.70M,65.70M,1.234B,1.234B,1.761B,10.35B,3.147B,,3.147B,824.40M,824.40M,681.60M,,594.20M,4.566B,14.92B,59.60M,7.388B,1.186B,5.154B,73.90M,3.554B
2011-03,1.512B,5.60M,1.518B,5.471B,,5.471B,803.10M,803.10M,,1.374B,9.166B,,,1.877B,-1.216B,661.60M,8.393B,448.60M,8.842B,204.10M,0.00,294.90M,10.00B,19.17B,6.918B,147.50M,7.066B,,7.066B,,,64.10M,64.10M,1.250B,1.250B,2.018B,10.40B,3.115B,,3.115B,800.40M,800.40M,674.20M,,657.20M,4.573B,14.97B,59.60M,7.183B,1.253B,4.986B,14.70M,3.525B
2010-12,2.289B,11.30M,2.30B,5.977B,,5.977B,707.60M,707.60M,,1.209B,10.19B,,,1.822B,-1.168B,653.30M,7.809B,278.20M,8.087B,299.10M,14.20M,318.10M,9.372B,19.57B,7.727B,176.30M,7.903B,,7.903B,,,51.60M,51.60M,1.187B,1.187B,1.881B,11.02B,3.125B,,3.125B,747.70M,747.70M,513.70M,,576.50M,4.449B,15.47B,59.60M,7.052B,1.272B,4.697B,-106.40M,3.580B
2010-09,1.689B,9.00M,1.698B,5.517B,,5.517B,750.60M,750.60M,,1.166B,9.132B,,,1.816B,-1.179B,637.40M,7.727B,256.30M,7.983B,280.00M,12.00M,238.10M,9.150B,18.28B,6.593B,179.90M,6.772B,,6.772B,,,316.10M,316.10M,1.102B,1.102B,1.594B,9.784B,2.905B,,2.905B,560.30M,560.30M,482.70M,,433.70M,3.899B,13.68B,59.60M,6.864B,1.364B,4.112B,-58.30M,4.117B
2010-06,533.70M,9.40M,543.10M,5.141B,,5.141B,711.10M,711.10M,,1.06B,7.455B,,,1.749B,-1.120B,628.50M,7.471B,230.10M,7.701B,291.30M,22.60M,231.00M,8.874B,16.33B,6.352B,113.90M,6.465B,,6.465B,,,305.80M,305.80M,1.074B,1.074B,1.374B,9.220B,1.902B,,1.902B,559.40M,559.40M,442.30M,,439.00M,2.90B,12.12B,59.60M,6.750B,1.383B,4.146B,-278.90M,3.767B
2010-03,900.40M,8.00M,908.40M,5.184B,,5.184B,673.90M,673.90M,,1.084B,7.851B,,,1.769B,-1.121B,647.50M,7.541B,242.00M,7.783B,275.10M,38.20M,234.60M,8.978B,16.83B,6.406B,144.30M,6.551B,,6.551B,,,29.90M,29.90M,1.023B,1.023B,1.632B,9.235B,2.215B,,2.215B,536.50M,536.50M,458.80M,,462.00M,3.214B,12.45B,59.60M,6.567B,1.415B,3.967B,-153.50M,3.922B
2009-12,1.587B,7.80M,1.595B,5.574B,,5.574B,607.60M,607.60M,,1.012B,8.788B,,,1.824B,-1.147B,677.30M,7.641B,220.80M,7.862B,299.40M,40.00M,253.50M,9.132B,17.92B,7.144B,156.70M,7.301B,,7.301B,,,37.10M,37.10M,1.059B,1.059B,1.686B,10.08B,2.221B,,2.221B,488.10M,488.10M,472.70M,,462.00M,3.171B,13.25B,59.60M,6.465B,1.408B,3.730B,-8.00M,4.195B
2009-09,597.40M,15.90M,613.30M,4.812B,,4.812B,669.00M,669.00M,,1.015B,7.110B,,,1.857B,-1.163B,694.30M,7.564B,216.00M,7.780B,315.80M,33.60M,268.30M,9.092B,16.20B,5.893B,104.50M,5.998B,,5.998B,,,176.80M,176.80M,1.001B,1.001B,1.429B,8.605B,2.236B,,2.236B,422.00M,422.00M,437.30M,,466.40M,3.124B,11.73B,59.60M,6.283B,1.440B,3.757B,8.90M,4.035B
2009-06,399.90M,12.00M,411.90M,4.940B,,4.940B,614.10M,614.10M,,933.50M,6.900B,,,1.814B,-1.109B,704.80M,7.447B,215.00M,7.662B,315.20M,31.90M,272.10M,8.986B,15.89B,5.894B,66.60M,5.960B,,5.960B,,,44.10M,44.10M,934.30M,934.30M,1.390B,8.329B,2.414B,,2.414B,402.80M,402.80M,421.30M,,459.40M,3.276B,11.60B,59.60M,6.164B,1.449B,3.780B,-32.90M,3.860B
2009-03,412.40M,14.80M,427.20M,4.883B,,4.883B,636.80M,636.80M,,992.90M,6.940B,,,1.728B,-1.038B,690.10M,7.128B,211.70M,7.340B,299.70M,36.60M,254.80M,8.621B,15.56B,5.636B,84.10M,5.720B,,5.720B,,,46.30M,46.30M,949.40M,949.40M,1.576B,8.292B,2.718B,,2.718B,385.10M,385.10M,394.50M,,439.90M,3.543B,11.83B,59.60M,5.981B,1.435B,3.782B,-363.10M,3.331B
2008-12,1.097B,15.10M,1.112B,5.776B,,5.776B,672.00M,672.00M,,1.005B,8.565B,,,1.751B,-1.031B,719.60M,7.220B,221.00M,7.441B,297.30M,45.20M,250.20M,8.754B,17.32B,6.881B,201.10M,7.082B,,7.082B,,,18.90M,18.90M,1.006B,1.006B,1.648B,9.754B,3.054B,,3.054B,312.10M,312.10M,230.60M,,444.40M,3.811B,13.56B,59.60M,5.860B,1.629B,3.778B,-247.30M,3.523B
2008-09,530.60M,22.00M,552.60M,5.906B,,5.906B,890.60M,890.60M,,1.002B,8.351B,,,1.823B,-1.104B,719.60M,7.403B,214.20M,7.617B,,36.50M,614.50M,8.988B,17.34B,6.643B,,6.643B,,6.643B,,,179.90M,179.90M,1.122B,1.122B,1.704B,9.650B,3.054B,,3.054B,237.30M,237.30M,250.20M,,486.40M,3.778B,13.43B,59.60M,5.664B,1.583B,3.783B,137.70M,3.661B
2008-06,915.80M,43.30M,959.10M,7.231B,,7.231B,,,1.343B,,9.534B,1.871B,,1.871B,-1.138B,732.80M,7.610B,219.30M,7.829B,,36.70M,551.30M,9.15B,18.68B,7.404B,,7.404B,168.60M,7.572B,,,26.00M,26.00M,1.236B,1.236B,1.511B,10.35B,3.055B,,3.055B,217.90M,217.90M,266.00M,,537.80M,3.810B,14.16B,59.60M,5.497B,1.566B,3.358B,498.10M,4.262B
2008-03,813.90M,49.00M,862.90M,7.115B,,7.115B,,,1.490B,,9.468B,,,1.832B,-1.108B,724.50M,7.46B,218.00M,7.678B,,30.90M,535.70M,8.969B,18.44B,7.120B,,7.120B,218.00M,7.338B,,,22.80M,22.80M,1.226B,1.226B,1.757B,10.34B,3.055B,,3.055B,187.30M,187.30M,276.30M,,539.40M,3.782B,14.12B,59.60M,5.238B,1.623B,3.367B,483.00M,4.037B
2007-12,1.793B,47.80M,1.841B,7.391B,,7.391B,,,1.272B,,10.50B,1.766B,,1.766B,-1.060B,706.70M,7.318B,195.70M,7.514B,,40.50M,506.10M,8.768B,19.27B,8.080B,,8.080B,250.70M,8.331B,,,14.60M,14.60M,1.123B,1.123B,1.759B,11.23B,3.055B,,3.055B,174.80M,174.80M,242.10M,,481.20M,3.711B,14.94B,59.60M,5.078B,1.620B,3.096B,430.70M,4.092B
2007-09,577.20M,58.00M,635.20M,7.155B,,7.155B,,,1.259B,,9.049B,,,1.792B,-1.101B,690.50M,7.317B,172.00M,7.489B,,399.80M,505.00M,9.084B,18.13B,7.098B,,7.098B,164.80M,7.263B,,,18.10M,18.10M,1.191B,1.191B,1.551B,10.02B,3.057B,,3.057B,519.50M,519.50M,218.80M,,443.00M,4.019B,14.04B,59.60M,4.813B,1.613B,3.084B,470.20M,3.872B
2007-06,772.40M,48.40M,820.80M,6.628B,,6.628B,,,1.189B,,8.638B,,,1.708B,-1.046B,661.90M,7.074B,137.10M,7.212B,,361.60M,489.20M,8.724B,17.36B,6.926B,,6.926B,131.90M,7.058B,,,11.80M,11.80M,1.078B,1.078B,1.408B,9.555B,3.055B,,3.055B,495.10M,495.10M,197.70M,,372.90M,3.923B,13.48B,59.60M,4.660B,1.597B,2.997B,367.00M,3.686B
