,NetIncome,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,140.00M,,,,204.00M,204.00M,23.00M,,12.00M,291.00M,-127.00M,51.00M,,,114.00M,329.00M,,708.00M,,-477.00M,,-27.00M,,,-75.00M,-552.00M,,188.00M,,188.00M,33.00M,,33.00M,,,101.00M,,-103.00M,,118.00M,,227.00M,274.00M,,501.00M,,33.00M,680.00M,-492.00M,,,,,AOR,Restated
2018-03,241.00M,,,,279.00M,279.00M,37.00M,,10.00M,7.00M,228.00M,-92.00M,,,-2.00M,141.00M,,708.00M,,-451.00M,,-29.00M,,,-5.00M,-456.00M,,-131.00M,,-131.00M,3.00M,,3.00M,,,-101.00M,,-101.00M,,-229.00M,,204.00M,23.00M,,227.00M,,3.00M,250.00M,-381.00M,,,,,AOR,Restated
2017-12,-2.00M,,,,229.00M,229.00M,219.00M,,4.00M,-251.00M,115.00M,55.00M,,,100.00M,19.00M,,506.00M,,-494.00M,,-37.00M,,0.00,-20.00M,-514.00M,,427.00M,,199.00M,3.00M,,3.00M,,,,,-95.00M,,39.00M,,173.00M,31.00M,,204.00M,,3.00M,532.00M,-105.00M,,,,,AOR,Restated
2017-09,172.00M,,,,193.00M,193.00M,66.00M,,31.00M,31.00M,-205.00M,-43.00M,,,-165.00M,-382.00M,,80.00M,,-486.00M,,-24.00M,,0.00,-62.00M,-548.00M,,290.00M,,290.00M,4.00M,,4.00M,,,,,-94.00M,,200.00M,,441.00M,-268.00M,,173.00M,,4.00M,650.00M,-360.00M,,,,,AOR,Restated
2017-06,93.00M,,,,197.00M,197.00M,42.00M,,26.00M,117.00M,-157.00M,77.00M,,,78.00M,115.00M,,473.00M,,-421.00M,,-40.00M,,,-39.00M,-460.00M,,-14.00M,,-14.00M,73.00M,,73.00M,,,94.00M,,-94.00M,,-35.00M,,463.00M,-22.00M,,441.00M,,73.00M,2.00M,-16.00M,,,,,AOR,Restated
2017-03,199.00M,,,,262.00M,262.00M,90.00M,,21.00M,37.00M,201.00M,-40.00M,,,-124.00M,74.00M,,646.00M,,-379.00M,,-14.00M,,,33.00M,-346.00M,,-3.00M,,-3.00M,3.00M,,3.00M,,,-94.00M,,-94.00M,,-94.00M,,257.00M,206.00M,,463.00M,,3.00M,496.00M,-499.00M,,,,,AOR,Restated
2016-12,78.00M,,,,214.00M,214.00M,45.00M,,-2.00M,-206.00M,111.00M,83.00M,,,123.00M,111.00M,,388.00M,,-468.00M,,-20.00M,,,-49.00M,-517.00M,,120.00M,,120.00M,3.00M,,3.00M,,,,,-87.00M,,18.00M,,368.00M,-111.00M,,257.00M,,3.00M,633.00M,-513.00M,,,,,AOR,Restated
2016-09,186.00M,,,,183.00M,183.00M,92.00M,,21.00M,-46.00M,-163.00M,-3.00M,,,-130.00M,-342.00M,,140.00M,,-443.00M,,-36.00M,,,-44.00M,-487.00M,,393.00M,,393.00M,3.00M,,3.00M,,,,,-87.00M,,309.00M,,406.00M,-38.00M,,368.00M,,3.00M,573.00M,-180.00M,,,,,AOR,Restated
2016-06,125.00M,,,,176.00M,176.00M,59.00M,,12.00M,81.00M,-76.00M,27.00M,,,65.00M,97.00M,,469.00M,,-440.00M,,-30.00M,,,-27.00M,-467.00M,,282.00M,,282.00M,3.00M,,3.00M,,,86.00M,,-87.00M,,198.00M,,206.00M,200.00M,,406.00M,,3.00M,48.00M,234.00M,,,,,AOR,Restated
2016-03,164.00M,,,,238.00M,238.00M,68.00M,,21.00M,16.00M,274.00M,-48.00M,,,-101.00M,141.00M,,632.00M,,-428.00M,,-21.00M,,,-16.00M,-444.00M,,-247.00M,,-247.00M,63.00M,,63.00M,,,-86.00M,,-86.00M,,-270.00M,,288.00M,-82.00M,,206.00M,,63.00M,44.00M,-291.00M,,,,,AOR,Restated
2015-12,107.00M,,,,186.00M,186.00M,37.00M,,-24.00M,-99.00M,93.00M,8.00M,,,116.00M,118.00M,,220.00M,,-477.00M,,-15.00M,,,-93.00M,-724.00M,,678.00M,,678.00M,3.00M,,3.00M,,,,,-81.00M,,600.00M,,150.00M,96.00M,,288.00M,,3.00M,759.00M,-81.00M,,,,,AOR,Restated
2015-09,148.00M,,,,173.00M,173.00M,75.00M,,40.00M,25.00M,-181.00M,1.00M,,,-123.00M,-278.00M,,158.00M,,-471.00M,,-44.00M,,,-87.00M,-558.00M,,140.00M,,140.00M,13.00M,,13.00M,,,,,-80.00M,,73.00M,,477.00M,-327.00M,,150.00M,,13.00M,164.00M,-24.00M,,,,,AOR,Restated
2015-06,68.00M,,,,169.00M,169.00M,36.00M,,42.00M,242.00M,-143.00M,1.00M,,,87.00M,187.00M,,502.00M,,-338.00M,,-11.00M,,,-22.00M,-360.00M,,-129.00M,,-129.00M,23.00M,,23.00M,,,80.00M,,-81.00M,,-187.00M,,522.00M,-45.00M,,477.00M,,23.00M,-61.00M,-68.00M,,,,,AOR,Restated
2015-03,202.00M,,,,222.00M,222.00M,99.00M,,42.00M,-48.00M,378.00M,-36.00M,,,-99.00M,195.00M,,760.00M,,-393.00M,,-45.00M,,,-29.00M,-422.00M,,53.00M,,53.00M,4.00M,,4.00M,,,-80.00M,,-80.00M,,-23.00M,,207.00M,315.00M,,522.00M,,4.00M,140.00M,-87.00M,,,,,AOR,Restated
2014-12,97.00M,,-44.00M,-44.00M,182.00M,182.00M,49.00M,,-6.00M,-142.00M,125.00M,64.00M,,,114.00M,161.00M,,519.00M,,-456.00M,,-4.00M,,,-95.00M,-551.00M,,-136.00M,,-136.00M,3.00M,,3.00M,,,,,-75.00M,,-244.00M,,493.00M,-276.00M,,249.00M,,3.00M,146.00M,-282.00M,,,,,AOR,Restated
2014-09,94.00M,,5.00M,5.00M,153.00M,153.00M,41.00M,,26.00M,125.00M,-269.00M,-16.00M,,,-134.00M,-294.00M,,25.00M,,-488.00M,,-26.00M,,,-76.00M,-564.00M,,745.00M,,745.00M,3.00M,,3.00M,,,,,-74.00M,,674.00M,,358.00M,135.00M,,493.00M,,3.00M,947.00M,-202.00M,,,,,AOR,Restated
2014-06,84.00M,,3.00M,3.00M,151.00M,151.00M,35.00M,,19.00M,299.00M,-237.00M,-103.00M,,,75.00M,34.00M,,326.00M,,-381.00M,,-22.00M,,,-56.00M,-437.00M,,-219.00M,,-219.00M,4.00M,,4.00M,,,72.00M,,-74.00M,,-289.00M,,758.00M,-400.00M,,358.00M,,4.00M,62.00M,-281.00M,,,,,AOR,Restated
2014-03,204.00M,,4.00M,4.00M,199.00M,199.00M,102.00M,,19.00M,-313.00M,345.00M,105.00M,,,-54.00M,83.00M,,611.00M,,-318.00M,,-14.00M,,,-28.00M,-346.00M,,360.00M,,360.00M,33.00M,,33.00M,,,-72.00M,,-72.00M,,321.00M,,172.00M,586.00M,,758.00M,,33.00M,396.00M,-36.00M,,,,,AOR,Restated
2013-12,102.00M,,-96.00M,-96.00M,165.00M,165.00M,55.00M,,-37.00M,-254.00M,208.00M,36.00M,,,57.00M,47.00M,,303.00M,,-443.00M,,-18.00M,,,-85.00M,-528.00M,,201.00M,,201.00M,4.00M,,4.00M,,,,,-68.00M,,137.00M,,260.00M,-88.00M,,172.00M,,4.00M,247.00M,-46.00M,,,,,AOR,Restated
2013-09,127.00M,,4.00M,4.00M,145.00M,145.00M,78.00M,,27.00M,49.00M,-259.00M,-44.00M,,,-104.00M,-358.00M,,23.00M,,-335.00M,,-15.00M,,,-53.00M,-388.00M,,154.00M,,154.00M,4.00M,,4.00M,,,,,-70.00M,,88.00M,,537.00M,-277.00M,,260.00M,,4.00M,426.00M,-272.00M,,,,,AOR,Restated
2013-06,81.00M,,28.00M,28.00M,137.00M,137.00M,48.00M,,13.00M,188.00M,-194.00M,157.00M,,,-88.00M,63.00M,,370.00M,,-320.00M,,-14.00M,,,-3.00M,-323.00M,,-32.00M,,-32.00M,4.00M,,4.00M,,,67.00M,,-68.00M,,-96.00M,,586.00M,-49.00M,,537.00M,,4.00M,397.00M,-429.00M,,,,,AOR,Restated
2013-03,144.00M,,-21.00M,-21.00M,181.00M,181.00M,87.00M,,88.00M,-103.00M,447.00M,-145.00M,,,47.00M,246.00M,,725.00M,,-283.00M,,-9.00M,,,-10.00M,-293.00M,,104.00M,,104.00M,24.00M,,24.00M,,,-67.00M,,-67.00M,,61.00M,,93.00M,493.00M,,586.00M,,24.00M,140.00M,-36.00M,,,,,AOR,Restated
2012-12,67.00M,,28.00M,28.00M,158.00M,158.00M,34.00M,,-35.00M,-246.00M,187.00M,232.00M,,,-175.00M,-2.00M,,307.00M,,-383.00M,,-17.00M,,,-29.00M,-412.00M,,131.00M,,131.00M,3.00M,,3.00M,,,188.00M,,-64.00M,,70.00M,,128.00M,-35.00M,,93.00M,,3.00M,525.00M,-394.00M,,,,,AOR,Restated
2012-09,149.00M,,30.00M,30.00M,138.00M,138.00M,91.00M,,16.00M,-47.00M,-218.00M,-195.00M,,,27.00M,-433.00M,,-9.00M,,-298.00M,,-12.00M,,,-30.00M,-328.00M,,337.00M,,337.00M,4.00M,,4.00M,0.00,0.00,-63.00M,,-63.00M,,278.00M,,187.00M,-59.00M,,128.00M,,4.00M,510.00M,-173.00M,0.00,,,,AOR,Restated
2012-06,101.00M,,29.00M,29.00M,130.00M,130.00M,60.00M,,16.00M,47.00M,-177.00M,126.00M,,,-24.00M,-28.00M,,308.00M,,-294.00M,,-13.00M,,,-3.00M,-297.00M,,-141.00M,,-141.00M,22.00M,,22.00M,,,-63.00M,,-63.00M,,-182.00M,,358.00M,-171.00M,,187.00M,,22.00M,385.00M,-526.00M,,,,,AOR,Restated
2012-03,67.00M,,28.00M,28.00M,172.00M,172.00M,42.00M,,19.00M,99.00M,312.00M,-198.00M,,,94.00M,307.00M,,635.00M,,-301.00M,,-7.00M,,,-12.00M,-313.00M,,-64.00M,,-64.00M,1.00M,,1.00M,,,-62.00M,,-62.00M,,-125.00M,,161.00M,197.00M,,358.00M,,1.00M,405.00M,-469.00M,,,,,AOR,Restated
2011-12,41.00M,,-230.00M,-230.00M,142.00M,142.00M,18.00M,,-32.00M,-176.00M,92.00M,213.00M,-133.00M,-51.00M,16.00M,-39.00M,,-26.00M,,-269.00M,,-11.00M,,,-37.00M,-306.00M,,-81.00M,,-81.00M,3.00M,,3.00M,,,159.00M,,-52.00M,0.00,-130.00M,,623.00M,-462.00M,,161.00M,,3.00M,40.00M,-121.00M,,,,,AOR,Restated
2011-09,140.00M,,24.00M,24.00M,120.00M,120.00M,75.00M,,26.00M,80.00M,-310.00M,-215.00M,118.00M,51.00M,-130.00M,-406.00M,,-21.00M,,-268.00M,,-43.00M,,,-13.00M,-281.00M,,15.00M,,15.00M,4.00M,,4.00M,,,-53.00M,,-53.00M,-35.00M,-69.00M,,994.00M,-371.00M,,623.00M,,4.00M,37.00M,-22.00M,,,,,AOR,Restated
2011-06,101.00M,,23.00M,23.00M,122.00M,122.00M,1.00M,,18.00M,191.00M,-258.00M,96.00M,15.00M,,66.00M,110.00M,,375.00M,,-208.00M,,,,,-35.00M,-243.00M,,98.00M,,98.00M,22.00M,,22.00M,,,-53.00M,,-53.00M,-6.00M,61.00M,,801.00M,191.00M,,994.00M,,22.00M,383.00M,-285.00M,,,,,AOR,Restated
2011-03,135.00M,,21.00M,21.00M,162.00M,162.00M,73.00M,,21.00M,24.00M,462.00M,-98.00M,,,41.00M,429.00M,,841.00M,,-191.00M,,,,,-37.00M,-228.00M,,-6.00M,,-6.00M,,,,,,-53.00M,,-53.00M,-2.00M,-61.00M,,247.00M,554.00M,,801.00M,,,13.00M,-19.00M,,,,,AOR,Restated
2010-12,25.00M,,-248.00M,-248.00M,140.00M,140.00M,22.00M,,-15.00M,-313.00M,221.00M,211.00M,-127.00M,,-12.00M,-20.00M,,-39.00M,,-253.00M,,,10.00M,,-34.00M,-277.00M,,92.00M,,92.00M,3.00M,,3.00M,-226.00M,-226.00M,103.00M,8.00M,-51.00M,49.00M,-133.00M,,696.00M,-448.00M,,247.00M,,3.00M,554.00M,-462.00M,-226.00M,,,,AOR,Restated
2010-09,146.00M,,63.00M,63.00M,133.00M,133.00M,98.00M,,13.00M,41.00M,-318.00M,-186.00M,127.00M,,-167.00M,-503.00M,,-50.00M,,-187.00M,,,0.00,,-49.00M,-236.00M,,499.00M,,499.00M,2.00M,,2.00M,-13.00M,-13.00M,-34.00M,-3.00M,-37.00M,-5.00M,446.00M,,536.00M,160.00M,,696.00M,,2.00M,589.00M,-90.00M,-13.00M,,,,AOR,Restated
2010-06,84.00M,,21.00M,21.00M,131.00M,131.00M,65.00M,,20.00M,126.00M,-230.00M,111.00M,,,63.00M,70.00M,,391.00M,,-234.00M,,,0.00,,-44.00M,-278.00M,,-283.00M,,-283.00M,5.00M,,5.00M,,,-35.00M,-5.00M,-40.00M,-14.00M,-332.00M,,755.00M,-219.00M,,536.00M,,5.00M,41.00M,-324.00M,,,,,AOR,Restated
2010-03,88.00M,,-86.00M,-86.00M,172.00M,172.00M,42.00M,,21.00M,74.00M,460.00M,-121.00M,,,7.00M,420.00M,,657.00M,,-190.00M,,,-10.00M,,-12.00M,-212.00M,,285.00M,,285.00M,,,,,,-34.00M,,-34.00M,-30.00M,221.00M,,90.00M,665.00M,,755.00M,,,325.00M,-40.00M,,,,,AOR,Restated
2009-12,11.00M,,30.00M,108.00M,148.00M,148.00M,-9.00M,-31.00M,-83.00M,-337.00M,208.00M,180.00M,-121.00M,,86.00M,16.00M,,214.00M,,-168.00M,,33.00M,,,-92.00M,-260.00M,,-5.00M,,35.00M,2.00M,,2.00M,0.00,0.00,-29.00M,-3.00M,-32.00M,-51.00M,-46.00M,,181.00M,-87.00M,,90.00M,,2.00M,81.00M,-86.00M,0.00,,,,AOR,Restated
2009-09,75.00M,,30.00M,30.00M,128.00M,128.00M,37.00M,12.00M,17.00M,90.00M,-389.00M,-205.00M,121.00M,,-82.00M,-465.00M,,-166.00M,,-216.00M,-7.00M,-15.00M,,-6.00M,-13.00M,-242.00M,,-433.00M,,-433.00M,2.00M,,2.00M,-4.00M,-4.00M,-28.00M,-2.00M,-30.00M,31.00M,-434.00M,,1.023B,-842.00M,,181.00M,,2.00M,203.00M,-636.00M,-4.00M,,,,AOR,Restated
2009-06,80.00M,-1.00M,-174.00M,-253.00M,121.00M,121.00M,45.00M,9.00M,-3.00M,275.00M,-299.00M,96.00M,,,123.00M,195.00M,,194.00M,,-237.00M,7.00M,-1.00M,,6.00M,-17.00M,-241.00M,,290.00M,,290.00M,2.00M,,2.00M,,,-28.00M,-3.00M,-31.00M,-15.00M,246.00M,,822.00M,199.00M,,1.023B,,2.00M,473.00M,-183.00M,,,,,AOR,Restated
2009-03,74.00M,1.00M,33.00M,34.00M,173.00M,173.00M,49.00M,10.00M,19.00M,-160.00M,566.00M,-127.00M,,,-32.00M,247.00M,,606.00M,,-197.00M,,-17.00M,,,5.00M,-192.00M,,228.00M,,228.00M,3.00M,,3.00M,,,-29.00M,-3.00M,-32.00M,,199.00M,,207.00M,613.00M,,822.00M,,3.00M,500.00M,-272.00M,,,,,AOR,Restated
2008-12,66.00M,-1.00M,144.00M,90.00M,589.00M,125.00M,9.00M,44.00M,-33.00M,-258.00M,322.00M,-15.00M,-122.00M,42.00M,104.00M,73.00M,,374.00M,,-315.00M,2.00M,479.00M,,,12.00M,-301.00M,,232.00M,,-12.00M,3.00M,,3.00M,,,-82.00M,-11.00M,-22.00M,10.00M,-22.00M,,162.00M,51.00M,,207.00M,,3.00M,1.288B,-1.056B,,,,,,Restated
2008-09,236.00M,,-51.00M,-1.00M,-301.00M,163.00M,36.00M,-23.00M,-157.00M,-9.00M,-532.00M,-15.00M,157.00M,-42.00M,-281.00M,-722.00M,,-468.00M,,-159.00M,1.00M,-498.00M,,-7.00M,-29.00M,-194.00M,,80.00M,,324.00M,2.00M,,2.00M,,,41.00M,6.00M,-24.00M,-5.00M,297.00M,,527.00M,-365.00M,,162.00M,,2.00M,-482.00M,562.00M,,,,,,
2008-06,-105.00M,-1.00M,32.00M,25.00M,128.00M,128.00M,15.00M,12.00M,154.00M,207.00M,-387.00M,118.00M,,,9.00M,-53.00M,,176.00M,,-191.00M,,-6.00M,,2.00M,-3.00M,-192.00M,,-272.00M,,-272.00M,2.00M,,2.00M,,,-21.00M,-2.00M,-23.00M,-5.00M,-298.00M,,841.00M,-314.00M,,527.00M,,2.00M,-11.00M,-261.00M,,,,,,Restated
2008-03,105.00M,1.00M,19.00M,-255.00M,173.00M,173.00M,66.00M,11.00M,3.00M,-20.00M,526.00M,-124.00M,,,-10.00M,372.00M,,475.00M,,-161.00M,,-6.00M,,5.00M,4.00M,-152.00M,,192.00M,,192.00M,2.00M,,2.00M,,,-20.00M,-4.00M,-24.00M,,170.00M,,348.00M,493.00M,,841.00M,,2.00M,493.00M,-301.00M,,,,,,Restated
2007-12,-124.00M,,,-6.00M,,97.00M,-142.00M,,423.00M,-303.00M,176.00M,46.00M,-163.00M,6.00M,133.00M,-105.00M,,143.00M,,-750.00M,21.00M,-729.00M,,,-7.00M,-736.00M,,,,-293.00M,2.00M,0.00,2.00M,,,,,-14.00M,1.00M,-304.00M,,1.245B,-897.00M,0.00,348.00M,,2.00M,,,0.00,14.00M,432.00M,,,
2007-09,84.00M,,,-29.00M,,138.00M,49.00M,,-304.00M,50.00M,-378.00M,-84.00M,122.00M,-10.00M,-155.00M,-455.00M,,-517.00M,,-163.00M,80.00M,-83.00M,,,-2.00M,-85.00M,,,,-14.00M,2.00M,0.00,2.00M,,,,,-14.00M,-18.00M,-44.00M,,1.891B,-646.00M,0.00,1.245B,,2.00M,,,0.00,,,,,
2007-06,36.00M,,,-141.00M,,138.00M,15.00M,,23.00M,268.00M,-325.00M,-5.00M,14.00M,75.00M,-12.00M,15.00M,,86.00M,,-112.00M,1.436B,1.324B,,-18.00M,167.00M,1.473B,,,,-276.00M,4.00M,0.00,4.00M,,,,,-14.00M,1.00M,-285.00M,,616.00M,1.274B,1.00M,1.891B,,4.00M,,,0.00,-8.00M,-1.00M,,,
2007-03,-211.00M,,,238.00M,,172.00M,-143.00M,,242.00M,-466.00M,517.00M,-2.00M,27.00M,-102.00M,43.00M,17.00M,,315.00M,,-266.00M,180.00M,-86.00M,,18.00M,74.00M,6.00M,,,,-17.00M,7.00M,-32.00M,-25.00M,,,,,-14.00M,-1.00M,-57.00M,,351.00M,264.00M,1.00M,616.00M,,7.00M,,,-32.00M,8.00M,1.00M,,,
2006-12,-29.00M,,,56.00M,,158.00M,-48.00M,,4.00M,-341.00M,141.00M,73.00M,-102.00M,204.00M,134.00M,109.00M,,250.00M,,-152.00M,,-83.00M,,-3.00M,-227.00M,-313.00M,,,,-33.00M,-10.00M,,-10.00M,,,,,-3.00M,1.00M,-45.00M,,459.00M,-108.00M,0.00,351.00M,,-10.00M,,,,,,,,
2006-09,-101.00M,,,37.00M,,106.00M,-39.00M,,297.00M,210.00M,-349.00M,-11.00M,123.00M,-28.00M,-305.00M,-360.00M,,-60.00M,,-198.00M,,-198.00M,,126.00M,-114.00M,-186.00M,,,,-151.00M,13.00M,,13.00M,,,,,-2.00M,-6.00M,-146.00M,,851.00M,-392.00M,0.00,459.00M,,13.00M,,,,,,,,
2006-06,75.00M,,,22.00M,,139.00M,-155.00M,,32.00M,216.00M,-274.00M,44.00M,5.00M,126.00M,95.00M,212.00M,,325.00M,,-191.00M,,-191.00M,,-129.00M,106.00M,-214.00M,,,,-17.00M,3.00M,,3.00M,,,,,-3.00M,-1.00M,-18.00M,,758.00M,93.00M,0.00,851.00M,,3.00M,,,,,,,,
2006-03,-24.00M,,,-86.00M,,173.00M,-29.00M,,156.00M,-176.00M,377.00M,-149.00M,-26.00M,-63.00M,18.00M,-19.00M,,171.00M,,-129.00M,,-129.00M,,129.00M,-36.00M,-36.00M,,,,-216.00M,2.00M,,2.00M,,,,,-3.00M,-8.00M,-225.00M,,847.00M,-90.00M,1.00M,758.00M,,2.00M,,,,,,,,
2005-12,-3.00M,,,-1.161B,,126.00M,-85.00M,,1.225B,-293.00M,106.00M,23.00M,,-94.00M,151.00M,-107.00M,,-5.00M,,-158.00M,2.00M,-156.00M,,-152.00M,213.00M,-95.00M,,,,168.00M,6.00M,,6.00M,,,,,-3.00M,-15.00M,156.00M,,793.00M,56.00M,-2.00M,847.00M,,6.00M,,,,,,,,
2005-09,-263.00M,,,679.00M,,121.00M,-156.00M,,-31.00M,60.00M,-463.00M,124.00M,-11.00M,54.00M,10.00M,-226.00M,,124.00M,,-155.00M,0.00,-155.00M,,50.00M,-184.00M,-289.00M,,,,-47.00M,6.00M,,6.00M,,,,,-2.00M,-12.00M,-55.00M,,1.013B,-220.00M,0.00,793.00M,,6.00M,,,,,,,,
2005-06,30.00M,,,-57.00M,,122.00M,42.00M,,31.00M,239.00M,-306.00M,48.00M,40.00M,107.00M,-78.00M,50.00M,,218.00M,,-131.00M,38.00M,-93.00M,,-1.00M,-8.00M,-102.00M,,,,-297.00M,277.00M,,277.00M,,,,,-4.00M,-20.00M,-44.00M,,940.00M,72.00M,1.00M,1.013B,,277.00M,,,,,,,,
2005-03,152.00M,,,-102.00M,,156.00M,,,,-317.00M,418.00M,-25.00M,-29.00M,-59.00M,68.00M,56.00M,,262.00M,,-149.00M,21.00M,-128.00M,,109.00M,11.00M,-8.00M,,,,23.00M,6.00M,,6.00M,,,,,-2.00M,-10.00M,17.00M,,669.00M,271.00M,,940.00M,,6.00M,,,,,,,,
