,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,666.00M,,,,11.00M,,107.00M,107.00M,,,,,-96.00M,,-351.00M,251.00M,-100.00M,1.238B,,-58.00M,,-58.00M,,15.00M,,916.00M,,-57.00M,,-57.00M,2.00M,-584.00M,-582.00M,,,,,-142.00M,,,1.557B,,13.39B,3.711B,,17.10B,,2.00M,2.488B,-2.545B,-584.00M,,,,AOR,Restated
2017-12,387.00M,,,,13.00M,,104.00M,104.00M,,,,,403.00M,,581.00M,-443.00M,138.00M,1.624B,,-57.00M,,-57.00M,,16.00M,,-4.287B,,-399.00M,,-399.00M,1.00M,-555.00M,-554.00M,,,,,-137.00M,,,1.522B,,14.53B,-1.141B,,13.39B,,564.00M,846.00M,-1.245B,-1.13B,,,,AOR,Restated
2017-09,602.00M,,,,15.00M,,101.00M,101.00M,46.00M,,,,-75.00M,,355.00M,-62.00M,293.00M,1.552B,,-58.00M,,-58.00M,,46.00M,,-2.917B,,272.00M,,272.00M,2.00M,-556.00M,-554.00M,,,,,-139.00M,,,2.85B,,13.04B,1.485B,,14.53B,,2.00M,1.338B,-1.066B,-556.00M,,,,AOR,Restated
2017-06,546.00M,,,,13.00M,,95.00M,95.00M,-46.00M,,,,22.00M,,24.00M,-178.00M,-154.00M,1.019B,,-56.00M,,-56.00M,,41.00M,,-2.575B,,-420.00M,,-420.00M,1.00M,-450.00M,-449.00M,,,,,-124.00M,,,-1.664B,,16.26B,-3.22B,,13.04B,,1.00M,1.707B,-2.127B,-450.00M,,,,AOR,Restated
2017-03,564.00M,,,,14.00M,,93.00M,93.00M,,,,,11.00M,,-338.00M,181.00M,-157.00M,1.013B,,-47.00M,,-47.00M,,25.00M,,988.00M,,1.37B,,1.37B,1.00M,-520.00M,-519.00M,,,,,-127.00M,,,2.253B,,12.01B,4.254B,,16.26B,,1.00M,2.295B,-925.00M,-520.00M,,,,AOR,Restated
2016-12,563.00M,,,,17.00M,,89.00M,89.00M,,,,,-6.00M,,439.00M,-291.00M,148.00M,1.292B,,-47.00M,,-47.00M,,892.00M,848.00M,-2.295B,,-1.31B,,-1.31B,2.00M,-478.00M,-476.00M,,,,,-128.00M,,,837.00M,,12.08B,-166.00M,,12.01B,,2.00M,66.00M,-1.376B,-478.00M,,,,AOR,Restated
2016-09,639.00M,,,,14.00M,,86.00M,86.00M,-121.00M,,,,80.00M,,259.00M,15.00M,274.00M,1.317B,,-46.00M,,-46.00M,,795.00M,-849.00M,-2.007B,,2.143B,,2.143B,0.00,-581.00M,-581.00M,,,,,-132.00M,,,2.149B,,10.62B,1.459B,,12.08B,,0.00,2.22B,-77.00M,-581.00M,,,,AOR,Restated
2016-06,616.00M,,,,13.00M,,92.00M,92.00M,121.00M,,,,35.00M,,-653.00M,122.00M,-531.00M,658.00M,,-40.00M,,-40.00M,,-574.00M,912.00M,-1.578B,,-109.00M,,-109.00M,4.00M,-426.00M,-422.00M,,,,,-125.00M,,,-598.00M,,12.14B,-1.518B,,10.62B,,4.00M,877.00M,-986.00M,-426.00M,,,,AOR,Restated
2016-03,575.00M,,,,13.00M,,84.00M,84.00M,,,,,4.00M,,189.00M,-33.00M,156.00M,1.158B,,-46.00M,,-46.00M,,146.00M,-911.00M,982.00M,,49.00M,,49.00M,1.00M,-423.00M,-422.00M,,,,,-129.00M,,,423.00M,,9.572B,2.563B,,12.14B,,1.00M,1.029B,-980.00M,-423.00M,,,,AOR,Restated
2015-12,500.00M,,,,13.00M,,100.00M,100.00M,,,,,-25.00M,,167.00M,-92.00M,75.00M,1.044B,,-48.00M,-1.00M,-49.00M,,-506.00M,-1.00M,-3.08B,,924.00M,0.00,924.00M,2.00M,-435.00M,-433.00M,,,,,-130.00M,,,1.358B,,10.25B,-678.00M,,9.572B,,2.00M,1.255B,-331.00M,-435.00M,,,,AOR,Restated
2015-09,612.00M,,,,10.00M,,98.00M,98.00M,19.00M,,,,148.00M,,106.00M,-70.00M,36.00M,1.147B,,-31.00M,1.00M,-30.00M,,66.00M,656.00M,-747.00M,,-322.00M,-144.00M,-466.00M,0.00,-435.00M,-435.00M,,,,,-131.00M,,,-745.00M,,10.60B,-345.00M,,10.25B,,0.00,1.01B,-1.332B,-435.00M,,,,AOR,Restated
2015-06,599.00M,,,,-13.00M,,98.00M,98.00M,-19.00M,,,,99.00M,,-327.00M,-35.00M,-362.00M,600.00M,,-47.00M,,-47.00M,,41.00M,-645.00M,-2.294B,,1.162B,-22.00M,1.14B,2.00M,-425.00M,-423.00M,,,,,-135.00M,,,475.00M,,11.81B,-1.219B,,10.60B,,2.00M,2.05B,-888.00M,-425.00M,,,,AOR,Restated
2015-03,586.00M,,,,-36.00M,,95.00M,95.00M,,,,,-35.00M,,216.00M,-40.00M,176.00M,1.063B,,-41.00M,,-41.00M,,1.168B,-3.00M,3.253B,,366.00M,53.00M,419.00M,1.00M,-420.00M,-419.00M,,,,,-119.00M,,,214.00M,,7.284B,4.53B,,11.81B,,1.00M,1.449B,-1.083B,-420.00M,,,,AOR,Restated
2014-12,404.00M,,,,-14.00M,,95.00M,95.00M,,,,,205.00M,,113.00M,-144.00M,-31.00M,1.00B,,-43.00M,0.00,-43.00M,,26.00M,-3.00M,-2.872B,,1.611B,-26.00M,1.585B,1.00M,-399.00M,-398.00M,,,,,-119.00M,,,1.774B,,7.382B,-98.00M,,7.284B,,1.00M,1.699B,-88.00M,-399.00M,,,,AOR,Restated
2014-09,644.00M,,,,-12.00M,,93.00M,93.00M,,,,,42.00M,,77.00M,-24.00M,53.00M,1.055B,,-29.00M,0.00,-29.00M,,-102.00M,202.00M,-1.627B,,849.00M,19.00M,868.00M,2.00M,-622.00M,-620.00M,,,,,-120.00M,,,1.075B,,6.879B,503.00M,,7.382B,,2.00M,1.947B,-1.098B,-622.00M,,,,AOR,Restated
2014-06,644.00M,,,,-17.00M,,91.00M,91.00M,,,,,64.00M,,-351.00M,-29.00M,-380.00M,642.00M,,-30.00M,,-30.00M,,-100.00M,858.00M,-1.509B,,-140.00M,-4.00M,-144.00M,1.00M,-178.00M,-177.00M,,,,,-122.00M,,,-985.00M,,8.731B,-1.852B,,6.879B,,1.00M,1.00B,-1.14B,-178.00M,,,,AOR,Restated
2014-03,631.00M,,,,-13.00M,,90.00M,90.00M,,,,,75.00M,,234.00M,-41.00M,193.00M,1.129B,,-43.00M,,-43.00M,,1.143B,-981.00M,1.811B,,-303.00M,-16.00M,-319.00M,1.00M,-365.00M,-364.00M,,,,,-106.00M,,,-763.00M,,6.554B,2.177B,,8.731B,,1.00M,2.049B,-2.352B,-365.00M,,,,AOR,Restated
2013-12,602.00M,,,-13.00M,-6.00M,-247.00M,87.00M,87.00M,-154.00M,,-45.00M,,732.00M,,17.00M,-140.00M,-123.00M,982.00M,,-54.00M,0.00,-54.00M,0.00,-45.00M,1.00M,-3.261B,,1.795B,15.00M,1.81B,1.00M,-346.00M,-345.00M,,,,,-105.00M,,0.00,3.21B,,5.623B,931.00M,,6.554B,,1.00M,1.896B,-101.00M,-346.00M,1.348B,975.00M,,AOR,Restated
2013-09,593.00M,,,5.00M,-20.00M,84.00M,84.00M,84.00M,-9.00M,,14.00M,,64.00M,,-585.00M,-26.00M,-611.00M,448.00M,,-60.00M,,-60.00M,,-98.00M,354.00M,-1.134B,,614.00M,-137.00M,477.00M,5.00M,-349.00M,-344.00M,,,,,-107.00M,,0.00,565.00M,,5.744B,-121.00M,,5.623B,,5.00M,1.048B,-434.00M,-349.00M,-798.00M,-521.00M,,AOR,Restated
2013-06,602.00M,,,4.00M,-47.00M,95.00M,95.00M,95.00M,42.00M,,14.00M,,-35.00M,,-318.00M,2.00M,-316.00M,595.00M,,-58.00M,0.00,-58.00M,0.00,247.00M,-58.00M,-1.393B,,-1.204B,-72.00M,-1.276B,2.00M,-340.00M,-338.00M,,,,,-108.00M,,-9.00M,-1.525B,,8.067B,-2.323B,,5.744B,,2.00M,1.00B,-2.204B,-340.00M,685.00M,290.00M,,AOR,
2013-03,673.00M,,,4.00M,-50.00M,68.00M,68.00M,68.00M,121.00M,,17.00M,,-25.00M,,617.00M,-88.00M,529.00M,1.492B,,-59.00M,,-59.00M,,907.00M,-325.00M,2.625B,,1.551B,-37.00M,1.514B,5.00M,-261.00M,-256.00M,,,,,-79.00M,,,1.366B,,2.584B,5.483B,,8.067B,,5.00M,2.45B,-899.00M,-261.00M,113.00M,231.00M,,AOR,
2012-11,550.72M,0.494M,-8.033M,,153.55M,,299.00M,299.00M,-13.00M,154.01M,10.89M,,-612.10M,,101.37M,17.66M,119.04M,881.80M,,-39.32M,0.485M,-38.83M,-49.00M,2.615B,-2.483B,-3.652B,,646.10M,33.86M,679.96M,9.769M,-402.10M,-392.34M,,,,158.88M,-50.12M,,-176.51M,458.89M,,6.238B,-2.312B,,3.926B,,569.77M,750.38M,-304.42M,-402.10M,333.23M,304.87M,,AOR,Restated
2012-08,626.69M,0.00,3.207M,,-277.71M,,-4.43M,-4.43M,33.35M,-51.97M,11.86M,,-40.10M,,205.15M,-12.79M,192.36M,656.43M,,-48.69M,0.00,-48.69M,0.00,-1.615B,1.454B,-318.35M,,195.58M,250.14M,445.72M,1.629M,-352.43M,-350.80M,,,,-51.89M,-51.89M,,0.00,787.46M,,5.112B,1.126B,,6.238B,,1.629M,3.100B,-2.654B,-352.43M,315.78M,260.21M,,AOR,
2012-05,536.59M,0.00,2.403M,,2.398M,,-12.06M,-12.06M,38.66M,-49.06M,10.71M,,-38.35M,,-145.41M,-122.32M,-267.73M,492.10M,,-29.62M,0.00,-29.62M,0.00,-1.323B,-1.712B,-2.853B,,256.22M,0.00,256.22M,12.17M,-447.17M,-435.00M,,,,-53.47M,-53.47M,,-4.625M,1.157B,,6.315B,-1.203B,,5.112B,,12.17M,1.00B,-743.78M,-447.17M,606.01M,347.36M,,AOR,
2012-02,631.01M,-0.494M,2.423M,,2.762M,,-15.51M,-15.51M,87.00M,-52.98M,13.53M,,-39.45M,,187.89M,5.45M,193.34M,1.011B,,-26.37M,0.515M,-25.86M,0.00,185.31M,1.195B,1.130B,,987.09M,-50.00M,937.09M,2.431M,-14.30M,-11.86M,,,,-53.51M,-53.51M,,-109.87M,1.324B,,2.850B,3.465B,,6.315B,,2.431M,999.77M,-62.68M,-14.30M,45.99M,290.56M,,AOR,
2011-11,512.87M,-0.242M,-3.622M,,16.21M,,215.07M,215.07M,-119.85M,191.29M,10.31M,,-322.40M,,231.09M,-54.34M,176.75M,841.89M,,-40.95M,2.987M,-37.96M,0.158M,2.713B,-3.505B,-4.184B,,554.03M,-50.00M,504.03M,5.072M,-228.44M,-223.37M,,,,69.71M,-40.29M,,,2.235B,,3.958B,-1.108B,,2.85B,,5.072M,1.20B,-745.97M,-228.44M,270.64M,296.63M,,AOR,Restated
2011-08,648.82M,3.119M,3.615M,,6.665M,,40.44M,40.44M,145.18M,-67.53M,11.05M,,-56.48M,,-320.73M,-25.72M,-346.45M,537.68M,,-20.18M,0.00,-20.18M,0.00,-2.160B,77.14M,-2.228B,,-249.62M,0.00,-249.62M,10.78M,-202.46M,-191.69M,,,,-29.21M,-29.21M,,,1.875B,,3.773B,184.56M,,3.958B,,10.78M,1.00B,-1.250B,-202.46M,258.28M,310.31M,,AOR,Restated
2011-05,600.42M,0.00,0.148M,,-5.937M,,-10.52M,-10.52M,94.17M,-63.41M,10.76M,,-52.64M,,57.97M,101.80M,159.76M,960.80M,,-34.28M,0.00,-34.28M,-35.11M,-1.158B,-338.30M,-1.620B,,-2.895B,0.00,-2.895B,6.222M,-0.094M,6.128M,,,,-29.48M,-29.48M,,1.819B,-739.36M,,5.171B,-1.398B,,3.773B,,6.222M,1.00B,-3.895B,-0.094M,338.87M,351.31M,,AOR,Restated
2011-02,464.89M,0.123M,-0.141M,,-15.94M,,1.006M,1.006M,112.51M,-60.35M,11.88M,,-48.48M,,369.67M,-43.73M,325.94M,1.258B,,-15.59M,0.013M,-15.57M,-366.05M,-185.74M,884.95M,-78.07M,,184.97M,100.00M,284.97M,0.931M,-5.004M,-4.073M,,,,-11.03M,-11.03M,,-1.819B,-1.107B,,5.099B,72.69M,,5.171B,,0.931M,500.00M,-215.03M,-5.004M,38.21M,383.76M,,AOR,Restated
2010-11,349.85M,0.07M,19.13M,,142.20M,,45.92M,45.92M,49.87M,137.49M,7.446M,,-86.06M,,560.11M,29.38M,589.49M,1.511B,,-25.46M,0.00,-25.46M,0.00,-3.861B,-672.52M,-4.489B,,3.777M,0.00,3.777M,,0.145M,1.145M,,-0.442M,-0.442M,,-10.54M,0.00,-0.737M,160.48M,,7.916B,-2.817B,,5.099B,,,799.57M,-795.80M,-0.297M,56.97M,326.82M,,AOR,Restated
2010-08,260.62M,2.089M,-18.95M,,-37.19M,,42.33M,42.33M,78.08M,-137.49M,8.631M,,-128.86M,,-786.00M,29.88M,-756.12M,262.96M,,-12.08M,-0.144M,-12.22M,0.00,-150.90M,-6.438M,-1.119B,,-602.48M,0.00,-602.48M,,-2.676M,-2.676M,,0.00,0.00,,-10.96M,-172.00M,-0.184M,-1.563B,,10.34B,-2.420B,,7.916B,,,0.00,-602.48M,-2.676M,55.04M,359.90M,,AOR,
2010-05,258.07M,-0.192M,0.00,,-98.86M,,41.32M,41.32M,85.97M,42.06M,9.63M,,51.70M,,428.00M,-90.22M,337.78M,1.309B,,-9.635M,0.144M,-9.491M,0.00,-532.31M,2.991B,1.655B,,-4.080B,0.00,-4.080B,,-0.086M,-0.086M,,-1.225B,-1.225B,,-22.21M,,0.921M,-5.356B,,12.73B,-2.393B,,10.34B,,,1.253B,-5.334B,-1.225B,42.85M,395.36M,,AOR,Restated
2010-02,-103.54M,0.033M,-0.18M,,-0.147M,,42.43M,42.43M,-100.92M,-42.06M,11.29M,,-30.77M,,110.90M,-170.05M,-59.16M,1.135B,,-7.826M,,-7.826M,0.00,978.34M,-1.794B,-1.115B,,-2.465B,0.00,-2.465B,,-5.383M,-5.383M,,,,,-801.29M,,,-312.98M,,13.02B,-292.40M,,12.73B,,,750.00M,-3.215B,-5.383M,14.14M,369.92M,,AOR,Restated
2009-11,352.54M,6.059M,0.00,,6.059M,,35.90M,35.90M,62.46M,-23.62M,9.372M,18.49M,4.243M,244.73M,-90.17M,-13.75M,140.80M,1.002B,,-12.14M,0.002M,-12.14M,,2.209B,-141.02M,-1.941B,,633.28M,0.00,633.28M,-0.018M,-1.037M,-1.055M,75.87M,,75.87M,,-26.30M,-75.87M,,3.132B,,10.83B,2.192B,,13.02B,,75.85M,698.19M,-64.91M,-1.037M,382.16M,336.88M,,AOR,Restated
2009-08,577.45M,0.44M,7.422M,,7.862M,,51.50M,51.50M,118.47M,-34.16M,9.649M,-8.88M,-33.39M,-169.24M,-217.47M,-33.62M,-420.33M,682.57M,,-11.72M,-0.266M,-11.99M,,3.266M,3.072B,-342.87M,,368.42M,-500.00M,-131.58M,533.84M,-3.751M,530.09M,0.00,,0.00,,-25.07M,0.00,,793.71M,,9.695B,1.133B,,10.83B,,533.84M,400.00M,-531.58M,-3.751M,232.95M,285.88M,,AOR,Restated
2009-05,225.80M,-0.049M,1.012M,,0.963M,,56.47M,56.47M,-46.17M,-40.20M,14.14M,2.06M,-24.00M,79.65M,515.44M,-66.82M,528.27M,1.385B,,-11.81M,0.374M,-11.43M,,-200.86M,-344.41M,-556.70M,,-5.263M,-1.875B,-1.880B,,-0.436M,-0.436M,1.149B,,1.149B,,-20.40M,75.87M,,142.12M,,8.724B,970.62M,,9.695B,,1.149B,-1.875B,-5.263M,-0.436M,298.88M,643.67M,,AOR,Restated
2009-02,120.39M,-0.014M,0.805M,,0.791M,,59.62M,59.62M,-196.76M,-35.40M,11.08M,-11.67M,-36.00M,386.41M,-753.36M,9.469M,-357.48M,528.38M,,-18.13M,1.139M,-16.99M,,-72.99M,-3.230B,-3.320B,,-302.46M,1.875B,1.573B,,-6.161M,-6.161M,,,,,-29.26M,,,1.345B,,10.17B,-1.447B,,8.724B,,,1.875B,-302.46M,-6.161M,,,,,Restated
2008-11,432.34M,,12.50M,,25.13M,,58.28M,58.28M,-175.52M,,,,-974.77M,,,,641.60M,1.631B,,-15.12M,,-15.12M,-0.198M,-84.72M,-3.762B,-3.862B,,-118.60M,500.00M,381.40M,,,-1.09M,,,,,-29.20M,,,1.919B,,10.48B,-311.58M,0.00,10.17B,,,,-377.91M,,,,,,Restated
2008-08,180.05M,,-114.27M,,6.338M,,66.05M,66.05M,-63.97M,,,,336.56M,,,,781.80M,1.307B,,-32.98M,,-32.98M,-90.55M,332.58M,-2.103B,-1.894B,,-35.37M,0.00,-35.37M,,,-2.762M,,,,,-29.29M,,,2.121B,,8.949B,1.534B,0.00,10.48B,,,,-35.37M,,,,,,
2008-05,234.15M,,152.06M,,184.52M,,52.08M,52.08M,-57.27M,,,,61.64M,,,,269.51M,744.63M,,-25.08M,,-25.08M,,-2.884B,3.109B,200.59M,,-85.96M,-550.34M,-636.30M,,,-1.993M,,,,,-29.25M,,,-829.54M,,8.834B,115.68M,-1.092M,8.949B,,,,-85.96M,,,,,,
2008-02,81.21M,,,,,,54.99M,54.99M,34.40M,,,,537.68M,,,,113.35M,821.64M,,-20.36M,,-20.36M,,2.554B,-3.109B,-576.00M,,-157.68M,-208.97M,-366.65M,,,-0.993M,,,,,-29.22M,,,-175.05M,,8.787B,70.58M,-23.50M,8.834B,,,,-157.68M,,,,,,
2007-11,-56.48M,,,,11.04M,,57.38M,57.38M,-177.10M,,,,751.50M,,,,110.96M,697.30M,,-31.00M,,-31.00M,0.00,8.312B,-10.18B,-1.896B,,-229.29M,-83.11M,-312.39M,,,,,,,,-29.15M,,0.00,1.388B,,8.601B,188.83M,-2.50M,8.787B,,,0.00,-229.29M,,,,,,
2007-08,202.24M,,,,-0.968M,,62.12M,62.12M,-34.34M,,,,226.82M,,,,382.97M,838.84M,,-28.35M,,-28.35M,0.00,-7.731M,-85.58M,-121.67M,,1.410B,-1.191B,218.82M,,,,,,,,-350.00M,,273.14M,-22.67M,,7.893B,694.50M,13.32M,8.601B,,,2.103B,-693.40M,,,,,,
2007-05,209.24M,,,,-1.351M,,58.79M,58.79M,-24.14M,,,,203.29M,,,,-453.59M,-7.767M,,-30.92M,,-30.92M,-5.00M,-886.31M,498.88M,-423.34M,,-563.58M,921.97M,358.39M,,,,,,,,0.00,,,5.821B,,2.503B,5.390B,0.056M,7.893B,,,,-563.58M,,,,,,
2007-02,233.63M,,,,-0.422M,,56.35M,56.35M,17.37M,,,,195.39M,,,,7.334M,509.65M,,-28.00M,,-28.00M,,873.91M,,845.91M,,,-3.544B,-3.544B,,,,,,,,-500.00M,,,273.12M,,874.36M,1.629B,-0.011M,2.503B,,,,,,,,,,
