,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2014-09,7.382B,,7.382B,,,7.382B,,,,,,,661.00M,284.00M,177.00M,461.00M,67.37B,1.644B,,65.72B,3.995B,73.11B,80.60B,,,,,2.856B,2.856B,139.00M,139.00M,139.00M,2.995B,20.92B,1.00M,20.92B,45.38B,66.30B,69.30B,,565.00M,11.18B,3.775B,4.151B,560.00M,-70.00M,11.30B,,AOR,Restated
2014-06,6.879B,,6.879B,,,6.879B,,,,,,,665.00M,284.00M,179.00M,463.00M,65.88B,1.614B,,64.26B,4.07B,71.75B,78.94B,,,,,2.934B,2.934B,120.00M,120.00M,120.00M,3.054B,20.06B,1.00M,20.06B,44.44B,64.50B,67.56B,,565.00M,10.66B,3.758B,3.529B,560.00M,-72.00M,11.38B,,AOR,Restated
2014-03,8.731B,,8.731B,,,8.731B,,,,,,,668.00M,284.00M,182.00M,466.00M,63.85B,1.591B,,62.26B,3.964B,69.69B,79.58B,,,,,3.273B,3.273B,124.00M,124.00M,124.00M,3.397B,20.18B,1.00M,20.18B,44.98B,65.17B,68.56B,,565.00M,10.14B,3.739B,3.351B,560.00M,-70.00M,11.02B,,AOR,Restated
2013-12,6.554B,,6.554B,,,6.554B,43.00M,547.00M,1.126B,2.00M,1.718B,-1.064B,654.00M,284.00M,185.00M,469.00M,65.77B,1.648B,,64.12B,4.991B,72.60B,79.34B,,,,,2.958B,2.958B,140.00M,140.00M,140.00M,3.098B,20.47B,1.00M,20.47B,44.96B,65.43B,68.53B,,565.00M,9.611B,3.687B,2.986B,560.00M,-68.00M,10.81B,,AOR,Restated
2013-09,5.623B,,5.623B,,,5.623B,,,,,,,639.00M,284.00M,188.00M,472.00M,62.74B,1.598B,,61.14B,5.014B,69.74B,75.54B,,,,,3.036B,3.036B,124.00M,124.00M,124.00M,3.16B,18.66B,2.00M,18.66B,43.12B,61.78B,64.94B,,565.00M,9.115B,3.671B,2.64B,560.00M,-109.00M,10.60B,,AOR,Restated
2013-06,5.744B,,5.744B,,,5.744B,,,,,,,607.00M,284.00M,191.00M,475.00M,61.70B,1.556B,,60.15B,4.943B,68.66B,74.94B,,,,,3.633B,3.633B,262.00M,262.00M,262.00M,3.895B,18.03B,2.00M,18.03B,42.57B,60.60B,64.50B,,565.00M,8.629B,3.65B,2.289B,560.00M,-107.00M,10.45B,,AOR,
2013-03,8.067B,,8.067B,,,8.067B,,,,,,,572.00M,286.00M,187.00M,473.00M,60.38B,1.634B,,58.75B,5.27B,67.59B,76.14B,,,,,3.926B,3.926B,290.00M,290.00M,290.00M,4.216B,19.23B,1.00M,19.23B,42.39B,61.62B,65.84B,,566.00M,8.136B,3.632B,1.951B,560.00M,-84.00M,10.30B,,AOR,
2012-11,3.926B,0.00,3.926B,,,3.926B,42.00M,516.00M,1.043B,2.00M,1.603B,-1.069B,534.00M,286.00M,190.00M,476.00M,61.02B,1.725B,,59.29B,6.221B,69.01B,75.28B,,,,,3.337B,3.337B,284.00M,284.00M,284.00M,3.621B,19.73B,2.00M,19.73B,42.16B,61.88B,65.50B,,565.00M,7.373B,3.593B,1.678B,560.00M,-75.00M,9.778B,,AOR,Restated
2012-08,6.238B,0.25M,6.238B,,,6.238B,,,,,,,519.62M,287.04M,192.18M,479.22M,53.26B,1.688B,,51.58B,6.468B,67.37B,73.91B,,,,,2.948B,2.948B,250.14M,250.14M,250.14M,3.198B,19.25B,,19.25B,42.32B,61.56B,64.76B,,5.526M,6.878B,3.570B,1.277B,,-31.33M,9.146B,,AOR,
2012-05,5.112B,0.25M,5.112B,,,5.112B,,,,,,,492.44M,255.42M,184.50M,439.92M,57.06B,1.869B,,55.19B,6.652B,65.17B,72.08B,,,,,2.609B,2.609B,0.00,0.00,0.00,2.609B,19.02B,,19.02B,41.55B,60.58B,63.18B,,5.523M,6.303B,3.555B,924.22M,,-41.02M,8.899B,,AOR,
2012-02,6.315B,,6.315B,,,6.315B,,,,,,,486.52M,255.42M,186.23M,441.65M,45.92B,1.979B,,43.94B,6.270B,63.81B,70.49B,,,,,2.755B,2.755B,0.00,0.00,0.00,2.755B,18.75B,,18.75B,40.15B,58.90B,61.66B,,5.515M,5.821B,3.528B,477.05M,,-48.60M,8.829B,,AOR,
2011-11,2.85B,0.00,2.85B,,,2.85B,42.00M,502.00M,917.00M,6.00M,1.467B,-984.00M,483.00M,255.00M,188.00M,443.00M,57.67B,2.205B,,55.46B,6.206B,64.98B,69.12B,,,,,2.96B,2.96B,50.00M,50.00M,50.00M,3.01B,18.28B,2.00M,18.29B,39.58B,57.86B,60.88B,,5.00M,5.243B,3.508B,462.00M,,-52.00M,8.242B,,AOR,Restated
2011-08,3.958B,0.00,3.958B,,,3.958B,,,,,,,465.87M,255.42M,189.30M,444.72M,54.08B,2.273B,,51.81B,5.952B,60.83B,65.73B,,,,,2.315B,2.315B,100.00M,100.00M,100.00M,2.415B,17.72B,,17.72B,37.59B,55.31B,57.72B,,5.495M,4.763B,3.493B,235.44M,,-19.98M,8.006B,,AOR,Restated
2011-05,3.773B,0.00,3.773B,,,3.773B,,,,,,,471.11M,255.42M,191.30M,446.72M,52.51B,2.632B,,49.88B,5.557B,58.65B,63.44B,,,,,2.657B,2.657B,100.00M,100.00M,100.00M,2.757B,17.94B,,17.94B,35.22B,53.16B,55.91B,,5.484M,4.148B,3.470B,32.98M,,-66.36M,7.523B,,AOR,Restated
2011-02,5.171B,375.00M,5.546B,,,5.546B,,,,,,,458.95M,255.42M,193.29M,448.71M,51.66B,3.033B,,48.63B,5.616B,57.66B,63.51B,,,,,2.658B,2.658B,100.00M,100.00M,100.00M,2.758B,18.99B,,18.99B,34.86B,53.85B,56.61B,,5.48M,3.580B,3.453B,32.89M,,-106.28M,6.899B,,AOR,Restated
2010-11,5.099B,375.00M,5.474B,0.00,0.00,5.474B,41.82M,496.35M,812.58M,6.118M,1.357B,-896.13M,460.73M,255.42M,188.97M,444.39M,48.84B,3.304B,,45.53B,5.450B,54.32B,60.78B,,,0.00,0.00,2.209B,2.209B,,,,2.209B,17.71B,,17.71B,34.41B,52.12B,54.33B,,5.471M,3.126B,3.435B,27.88M,,-82.55M,6.457B,,AOR,Restated
2010-05,10.34B,375.00M,10.71B,0.00,0.00,10.71B,,,,,,,469.00M,255.42M,192.30M,447.72M,50.02B,3.931B,,46.09B,1.446B,51.13B,62.15B,,,,,2.782B,2.782B,,,,2.782B,18.31B,,18.31B,35.02B,53.33B,56.12B,,5.462M,2.538B,3.594B,25.11M,,-73.94M,6.038B,,AOR,Restated
2010-02,12.73B,175.00M,12.90B,0.00,0.00,12.90B,,,,,,,482.83M,255.42M,193.97M,449.39M,50.09B,4.207B,,45.89B,912.58M,50.41B,66.82B,,,,,2.360B,2.360B,,,,2.360B,22.39B,,22.39B,35.05B,57.44B,59.80B,,1.167B,2.363B,3.585B,25.02M,1.161B,-74.04M,7.015B,,AOR,Restated
2009-11,13.02B,1.35B,14.37B,1.692B,1.692B,16.06B,41.82M,494.51M,774.02M,6.118M,1.316B,-817.17M,499.30M,255.42M,195.64M,451.06M,23.63B,1.758B,,21.87B,6.385B,30.66B,46.02B,,,808.76M,808.76M,2.256B,3.064B,,,,3.064B,2.428B,,2.428B,32.09B,34.52B,37.59B,,1.164B,3.873B,3.573B,19.64M,1.158B,-154.82M,8.436B,,AOR,Restated
2009-08,10.83B,,10.83B,2.120B,2.120B,12.95B,,,,,,,518.10M,255.42M,197.56M,452.98M,25.49B,1.832B,,23.66B,3.267B,29.75B,42.70B,,234.62M,,234.62M,2.062B,2.296B,0.00,0.00,0.00,2.296B,1.795B,,1.795B,29.57B,31.36B,34.31B,,1.160B,3.706B,3.564B,18.60M,1.155B,-24.97M,8.386B,,AOR,Restated
2009-05,9.695B,,9.695B,1.955B,1.955B,11.65B,,,,,,,531.17M,255.42M,199.48M,454.90M,27.44B,1.986B,,25.46B,1.529B,29.87B,41.52B,,235.93M,,235.93M,2.277B,2.513B,500.00M,500.00M,500.00M,3.013B,1.427B,,1.427B,29.15B,30.58B,34.10B,,1.157B,3.296B,3.030B,14.85M,1.152B,-52.54M,7.416B,,AOR,Restated
2009-02,8.724B,,8.724B,150.10M,150.10M,8.874B,,,,,,,544.22M,,,456.82M,28.03B,1.879B,,26.16B,1.303B,31.73B,40.61B,,252.16M,,252.16M,,252.16M,2.375B,2.375B,2.375B,2.627B,1.433B,,1.433B,28.33B,29.77B,34.61B,,4.828M,3.137B,2.938B,14.42M,,-66.08M,5.999B,,,Restated
2008-11,10.17B,0.00,10.17B,2.234B,2.234B,12.40B,43.20M,510.30M,490.18M,258.30M,1.302B,-749.48M,552.50M,255.42M,203.32M,458.74M,25.22B,1.375B,,23.84B,1.228B,27.49B,39.89B,,,473.00M,473.00M,2.738B,3.211B,500.00M,500.00M,500.00M,3.711B,1.735B,,1.735B,28.53B,30.27B,33.98B,,4.805M,3.047B,2.939B,8.257M,,-66.34M,5.916B,,,Restated
2008-08,6.932B,,6.932B,133.03M,133.03M,10.61B,,,,,,,563.87M,,,309.58M,21.77B,959.77M,,20.81B,1.199B,26.71B,37.32B,,252.00M,,252.00M,,252.00M,,,,252.00M,1.854B,,1.854B,26.96B,28.81B,31.32B,,4.802M,3.117B,2.925B,7.167M,,-38.98M,6.000B,,,
2008-05,6.000B,,6.000B,131.39M,131.39M,8.897B,,,,,,,556.03M,,,311.45M,1.770B,846.78M,,923.01M,1.055B,25.34B,34.23B,,244.34M,,244.34M,,244.34M,,,,244.34M,1.890B,,1.890B,24.77B,26.66B,28.38B,,4.796M,2.966B,2.909B,4.405M,,-25.43M,5.850B,,,
2008-02,4.357B,,4.357B,122.76M,122.76M,8.409B,,,,,,,567.48M,,,313.32M,21.04B,860.38M,,20.18B,892.51M,28.92B,37.33B,,248.48M,,248.48M,,248.48M,250.00M,250.00M,250.00M,498.48M,1.976B,,1.976B,24.94B,26.92B,31.67B,,4.793M,2.761B,2.886B,2.412M,,5.191M,5.654B,,,
2007-11,1.804B,,1.804B,123.29M,123.29M,8.198B,,,,,,,575.23M,,,315.19M,20.83B,759.92M,,20.07B,525.44M,29.18B,37.38B,,264.96M,,264.96M,,264.96M,250.00M,250.00M,250.00M,514.96M,2.134B,,2.134B,24.71B,26.85B,31.78B,,4.777M,2.718B,2.846B,1.419M,,32.03M,5.599B,,,
2007-08,1.140B,,1.140B,126.49M,126.49M,8.714B,,,,,,,656.98M,,,739.85M,22.41B,,-792.88M,21.61B,418.95M,27.43B,36.14B,,256.32M,,256.32M,,256.32M,3.213B,3.213B,3.213B,3.469B,2.358B,,2.358B,22.98B,25.34B,30.47B,,4.773M,2.804B,2.826B,,,33.31M,5.667B,,,
2007-05,359.21M,,359.21M,139.62M,139.62M,8.017B,,,,,,,658.20M,,,735.70M,22.80B,788.75M,,22.02B,96.66M,27.66B,35.67B,,236.20M,,236.20M,,236.20M,4.072B,4.072B,4.072B,4.308B,948.23M,,948.23M,23.13B,24.07B,29.89B,,0.10M,2.951B,2.699B,,,130.30M,5.780B,,,
2007-02,314.10M,,314.10M,105.31M,105.31M,2.593B,,,,,,,657.84M,,,730.87M,22.63B,,-793.85M,21.83B,86.15M,27.17B,29.76B,,150.68M,,150.68M,,150.68M,3.172B,3.172B,3.172B,3.323B,1.506B,,1.506B,17.66B,19.17B,24.24B,,0.10M,2.742B,2.658B,,,128.60M,5.529B,,,
2006-11,334.04M,,334.04M,123.96M,123.96M,982.99M,,,,,,,660.90M,,,734.90M,23.76B,832.48M,,22.93B,84.41M,28.08B,29.07B,,135.46M,,135.46M,,135.46M,6.740B,6.740B,6.740B,6.875B,1.508B,,1.508B,13.34B,14.85B,23.29B,,0.10M,3.008B,2.636B,,,129.99M,5.775B,,,
