,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,1.475B,1.475B,513.26M,962.07M,,,252.17M,151.18M,0.623M,-0.596M,,,,,403.96M,558.10M,,,,-0.596M,,558.46M,166.16M,392.30M,,392.30M,392.71M,587.17M,29.07M,558.10M,,1.32,0.00,1.321,1.32,,1.26,0.00,1.261,1.26,,297.79M,311.46M,,,,
2003-09,530.00M,530.00M,213.76M,316.24M,,,100.07M,113.49M,0.81M,,,,,,214.38M,101.87M,,,,,,111.00M,34.41M,76.59M,,76.59M,76.59M,119.49M,17.62M,101.87M,,0.26,0.00,0.26,0.26,,0.25,0.00,0.25,0.25,,294.84M,307.78M,,,,
2003-06,353.38M,353.38M,149.96M,203.42M,,,89.84M,91.12M,0.68M,,,,,,181.65M,21.77M,,,,,,26.62M,8.253M,18.37M,,18.37M,18.37M,35.00M,13.22M,21.77M,,0.065,0.00,0.065,0.065,,0.06,0.00,0.06,0.06,,289.91M,299.63M,,,,
2003-03,462.89M,462.89M,164.57M,298.32M,,,107.25M,108.83M,0.264M,-71.62M,,,,,283.35M,14.97M,,,,-71.62M,,14.46M,4.574M,9.143M,-0.747M,9.143M,58.12M,32.64M,17.67M,14.97M,,0.04,0.00,0.2107,0.04,,0.03,0.00,0.1984,0.03,,286.84M,290.84M,,,,
2002-12,1.234B,1.234B,565.11M,668.62M,,,181.74M,106.13M,2.245M,-9.378M,,,,,290.11M,378.50M,,,,-9.378M,,364.68M,113.05M,250.22M,-1.413M,250.22M,256.69M,403.46M,24.96M,378.50M,,0.895,0.00,0.9178,0.895,,0.845,0.00,0.8669,0.845,,283.78M,296.05M,,,,
2002-09,453.49M,453.49M,198.89M,254.60M,,,82.97M,98.14M,2.246M,,,,,,183.35M,71.25M,,,,,,72.42M,22.45M,50.23M,0.262M,50.23M,50.23M,96.31M,25.07M,71.25M,,0.19,0.00,0.19,0.19,,0.17,0.00,0.17,0.17,,279.69M,293.24M,,,,
2002-06,331.90M,331.90M,141.36M,190.53M,,,91.04M,90.97M,2.245M,,,,,0.02M,184.27M,6.262M,,,,,,9.429M,2.923M,7.404M,0.898M,7.404M,7.404M,30.57M,24.31M,6.262M,,0.035,0.00,0.035,0.035,,0.025,0.00,0.025,0.025,,277.50M,290.44M,,,,
2002-03,469.69M,469.69M,199.97M,269.72M,,,88.02M,101.97M,6.109M,-6.252M,,,,,196.10M,73.62M,,,,-6.252M,,69.93M,21.68M,47.30M,-0.956M,47.30M,51.61M,100.98M,27.35M,73.62M,,0.19,0.00,0.2056,0.19,,0.165,0.00,0.1800,0.165,,275.91M,288.05M,,,,
2001-12,832.88M,832.88M,400.85M,432.02M,,,125.71M,97.41M,6.359M,-14.05M,,,,,229.47M,202.55M,,,,-14.05M,,192.02M,59.52M,132.29M,-0.199M,132.29M,141.99M,230.81M,28.26M,202.55M,,0.505,0.00,0.5404,0.505,,0.46,0.00,0.4938,0.46,,274.21M,286.80M,,,,
2001-09,240.16M,240.16M,117.76M,122.40M,,,70.42M,97.56M,6.475M,,,,,,174.45M,-52.06M,,,,,,-48.00M,-14.88M,-32.82M,0.294M,-32.82M,-32.82M,-24.12M,27.94M,-52.06M,,-0.10,0.00,-0.10,-0.10,,-0.12,0.00,-0.12,-0.12,,273.30M,274.61M,,,,
2001-06,181.95M,181.95M,89.03M,92.92M,,,64.02M,90.80M,6.475M,,,,,,161.30M,-68.38M,,,,,,-65.66M,-20.36M,-45.25M,0.052M,-45.25M,-45.25M,-41.02M,27.36M,-68.38M,,-0.145,0.00,-0.145,-0.145,,-0.165,0.00,-0.165,-0.165,,271.46M,272.76M,,,,
2001-03,307.26M,307.26M,115.97M,191.29M,,,73.55M,107.46M,,,,,,,152.77M,38.52M,,,,,,-25.60M,-7.717M,-17.88M,-0.702M,-17.88M,-17.88M,77.23M,19.40M,38.52M,,-0.125,0.00,-0.125,-0.125,,-0.125,0.00,-0.125,-0.125,,315.06M,315.06M,,,,
2000-12,640.32M,640.32M,292.14M,348.18M,,,93.87M,110.25M,,,,,,,222.81M,125.37M,,,,,,127.68M,39.70M,87.98M,-0.382M,87.98M,87.98M,144.06M,18.69M,125.37M,,0.36,0.00,0.36,0.36,,0.315,0.00,0.315,0.315,,264.68M,277.81M,,,,
2000-09,219.90M,219.90M,106.93M,112.97M,,,64.56M,92.01M,,,,,,,173.12M,-60.15M,,,,,,-56.28M,-17.38M,-38.91M,-0.233M,-38.91M,-38.91M,-43.60M,16.56M,-60.15M,,-0.135,0.00,-0.135,-0.135,,-0.15,0.00,-0.15,-0.15,,261.38M,262.69M,,,,
2000-06,154.80M,154.80M,67.54M,87.26M,,,57.40M,79.21M,,,,,,,151.64M,-64.38M,,,,,,-61.04M,-18.77M,-42.27M,-0.498M,-42.27M,-42.27M,-49.35M,15.02M,-64.38M,,-0.1635,,-0.1635,-0.1635,,-0.1635,,-0.1635,-0.1635,,258.55M,258.55M,,,,
2000-03,294.31M,294.31M,131.87M,162.44M,,,65.43M,73.76M,,,,,,,154.51M,7.927M,,,,,,5.193M,1.742M,3.451M,-0.521M,3.451M,3.451M,23.25M,15.32M,7.927M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,256.60M,271.92M,,,,
1999-12,600.70M,600.70M,291.30M,309.40M,,,95.70M,73.40M,,,,,,,179.80M,129.60M,,,,,,134.10M,41.20M,92.90M,0.20M,92.90M,92.90M,140.30M,10.70M,129.60M,,0.37,0.00,0.37,0.37,,0.345,0.00,0.345,0.345,,253.30M,269.91M,,,,
1999-09,338.90M,338.90M,167.90M,171.00M,,,68.10M,68.40M,,,,,,,147.30M,23.70M,,,,,,26.70M,8.60M,18.10M,-0.10M,18.10M,18.10M,34.50M,10.80M,23.70M,,0.075,0.00,0.075,0.075,,0.07,0.00,0.07,0.07,,249.67M,262.43M,,,,
1999-06,186.12M,186.12M,78.20M,107.92M,,,51.40M,47.50M,,,,,,,108.80M,-0.88M,,,,,,3.40M,1.10M,2.30M,0.10M,2.30M,2.30M,9.02M,9.90M,-0.88M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,245.82M,256.48M,,,,
1999-03,277.80M,277.80M,122.90M,154.90M,,,60.40M,55.70M,,2.70M,,,,,125.50M,29.40M,,,,2.70M,,32.10M,10.20M,21.90M,0.10M,21.90M,20.06M,38.80M,9.40M,29.40M,,0.09,0.00,0.0824,0.09,,0.0825,0.00,0.0756,0.0825,,243.40M,266.01M,,,,
1998-12,520.20M,520.20M,260.90M,259.30M,,,79.60M,61.80M,,3.90M,,,,,156.80M,102.50M,,,,3.90M,,106.30M,33.80M,72.50M,-0.10M,72.50M,69.84M,117.90M,15.40M,102.50M,,0.30,0.00,0.2890,0.30,,0.29,0.00,0.2794,0.29,,241.67M,250.00M,,,,
1998-09,245.80M,245.80M,126.90M,118.90M,,,49.90M,48.30M,,-38.00M,,,,,106.50M,12.40M,,,,-38.00M,,-25.90M,-0.60M,-25.30M,-0.10M,-25.30M,11.82M,20.70M,8.30M,12.40M,,-0.105,0.00,0.0491,-0.105,,-0.105,0.00,0.0491,-0.105,,240.95M,240.95M,,,,
1998-06,178.20M,178.20M,80.20M,98.00M,,,49.10M,36.20M,,0.50M,,,,,92.70M,5.30M,,,,0.50M,,5.60M,1.90M,3.70M,-0.20M,3.70M,3.370M,12.70M,7.40M,5.30M,,0.015,0.00,0.0137,0.015,,0.015,0.00,0.0137,0.015,,246.67M,246.67M,,,,
1998-03,204.10M,204.10M,97.50M,106.60M,,,42.70M,36.90M,,2.50M,,,,,86.10M,20.50M,,,,2.50M,,23.00M,7.60M,15.40M,,15.40M,13.73M,27.00M,6.50M,20.50M,,0.0625,0.00,0.0556,0.0625,,0.0625,0.00,0.0557,0.0625,,241.46M,245.12M,,,,
1997-12,391.20M,391.20M,204.20M,187.00M,,,62.60M,45.40M,,15.10M,,,,,114.60M,72.40M,,,,15.10M,,87.50M,28.90M,58.60M,,58.60M,48.49M,79.00M,6.60M,72.40M,,0.25,0.00,0.2069,0.25,,0.24,0.00,0.1986,0.24,,234.40M,244.17M,,,,
1997-09,189.80M,189.80M,95.30M,94.50M,,,42.20M,36.30M,,-7.70M,,,,,86.80M,7.70M,,,,-7.70M,,,,,,,,16.00M,7.80M,7.70M,,,,,,,,,,,,223.16M,223.16M,,,,
1997-06,123.70M,123.70M,56.30M,67.40M,,,38.50M,27.70M,,2.60M,,,,,72.20M,-4.80M,,,,2.60M,,-2.30M,-0.80M,-1.50M,,-1.50M,-3.196M,1.20M,6.00M,-4.80M,,-0.005,0.00,-0.0128,-0.005,,-0.005,0.00,-0.0128,-0.005,,217.29M,217.29M,,,,
1997-03,192.00M,192.00M,81.60M,110.40M,,,51.60M,43.00M,,4.40M,,,,,102.50M,7.90M,,,,4.40M,,12.50M,3.80M,8.70M,0.00,8.70M,5.638M,15.80M,7.90M,7.90M,,0.045,0.00,0.0298,0.045,,0.04,0.00,0.0263,0.04,,202.00M,224.13M,,,,
1996-12,271.10M,271.10M,130.10M,141.00M,,,46.00M,33.80M,,0.90M,,,,,85.20M,55.80M,,,,0.90M,,56.70M,20.00M,36.70M,,36.70M,36.12M,61.20M,5.40M,55.80M,,0.17,0.00,0.1673,0.17,,0.165,0.00,0.1624,0.165,,215.88M,222.42M,,,,
1996-09,129.30M,129.30M,59.30M,70.00M,,,30.90M,28.70M,,1.90M,,,,,64.80M,5.20M,,,,1.90M,,8.20M,2.30M,5.90M,1.10M,5.90M,4.533M,10.40M,5.20M,5.20M,,0.015,0.00,0.0088,0.015,,0.015,0.00,0.0088,0.015,,219.72M,219.72M,,,,
1996-06,80.60M,80.60M,35.00M,45.60M,,,22.10M,25.30M,,6.10M,,,,,51.90M,-6.30M,,,,6.10M,,,-0.10M,0.00,0.20M,0.20M,,-1.80M,4.50M,-6.30M,,,,,,,,,,,,212.46M,212.46M,,,,
1996-03,118.50M,118.50M,50.70M,67.80M,,,123.10M,,,1.20M,,,,,58.30M,9.50M,,,,1.20M,,10.70M,3.40M,7.30M,0.00,7.30M,6.481M,14.60M,5.10M,9.50M,,0.035,0.00,0.0311,0.035,,0.035,0.00,0.0311,0.035,,210.05M,210.05M,,,,
1995-12,239.70M,239.70M,123.30M,116.40M,,,41.60M,30.00M,,2.50M,,,,,75.30M,41.10M,,,,2.50M,,43.00M,13.70M,29.30M,-0.60M,29.30M,27.60M,45.00M,3.90M,41.10M,,0.135,0.00,0.1272,0.135,,0.135,0.00,0.1272,0.135,,217.04M,217.04M,,,,
1995-09,93.70M,93.70M,44.50M,49.20M,,,22.20M,20.70M,,1.20M,,,,,46.40M,2.80M,,,,1.20M,,4.30M,1.30M,3.00M,0.30M,3.00M,2.163M,6.50M,3.70M,2.80M,,0.015,0.00,0.0108,0.015,,0.015,0.00,0.0108,0.015,,200.00M,200.00M,,,,
1995-06,80.00M,80.00M,39.60M,40.40M,,,17.90M,19.30M,,1.20M,,,,,40.40M,0.00,,,,1.20M,,1.20M,0.40M,0.80M,,0.80M,0.00,3.20M,3.20M,0.00,,0.005,0.00,0.00,0.005,,0.005,0.00,0.00,0.005,,160.00M,160.00M,,,,
1995-03,116.10M,116.10M,50.90M,65.20M,,,95.50M,,,1.80M,,,,,48.00M,17.20M,,,,1.80M,,19.70M,6.30M,13.40M,0.50M,13.40M,12.18M,20.30M,3.10M,17.20M,,0.055,0.00,0.0498,0.055,,0.055,0.00,0.0498,0.055,,234.95M,234.95M,,,,
1994-12,216.70M,216.70M,124.20M,92.50M,,,35.60M,20.80M,,0.80M,,,,,59.10M,33.40M,,,,0.80M,,34.80M,11.00M,23.80M,0.70M,23.80M,23.25M,36.20M,2.80M,33.40M,,0.12,0.00,0.1172,0.12,,0.12,0.00,0.1172,0.12,,198.33M,198.33M,,,,
1994-09,86.30M,86.30M,41.80M,44.50M,,,19.40M,15.90M,,1.40M,,,,,37.90M,6.60M,,,,1.40M,,9.30M,2.60M,6.70M,1.30M,6.70M,5.691M,9.20M,2.60M,6.60M,,0.035,0.00,0.0297,0.035,,0.035,0.00,0.0297,0.035,,191.43M,191.43M,,,,
1994-06,74.20M,74.20M,35.80M,38.40M,,,14.80M,13.80M,,9.30M,,,,,30.90M,7.50M,,,,9.30M,,16.90M,5.10M,11.80M,0.10M,11.80M,5.307M,9.80M,2.30M,7.50M,,0.06,0.00,0.0270,0.06,,0.06,0.00,0.0270,0.06,,196.67M,196.67M,,,,
1994-03,107.20M,107.20M,54.20M,53.00M,,,-28.20M,,,1.10M,,,,,36.80M,16.20M,,,,1.10M,,16.40M,5.20M,11.20M,-0.90M,11.20M,10.45M,18.60M,2.40M,16.20M,,0.06,0.00,0.0560,0.06,,0.045,0.00,0.0419,0.045,,186.21M,240.45M,,,,
1993-12,149.50M,149.50M,82.80M,66.70M,,,40.50M,,,0.80M,,,,,42.30M,24.40M,,,,0.80M,,25.70M,7.60M,18.10M,0.50M,18.10M,17.54M,26.60M,2.20M,24.40M,,0.09,0.00,0.0872,0.09,,0.09,0.00,0.0872,0.09,,201.11M,201.11M,,,,
1993-09,82.10M,82.10M,40.10M,42.00M,,,30.20M,,,1.20M,,,,,31.90M,10.10M,,,,1.20M,,11.50M,3.50M,8.00M,0.20M,8.00M,7.165M,12.00M,1.90M,10.10M,,0.04,0.00,0.0358,0.04,,0.04,0.00,0.0358,0.04,,200.00M,200.00M,,,,
1993-06,79.50M,79.50M,40.20M,39.30M,,,28.10M,,,0.70M,,,,,29.50M,9.80M,,,,0.70M,,10.60M,3.30M,7.30M,,7.30M,6.818M,11.20M,1.40M,9.80M,,0.04,0.00,0.0374,0.04,,0.04,0.00,0.0374,0.04,,182.50M,182.50M,,,,
1993-03,86.60M,86.60M,43.40M,43.20M,,,29.40M,,,0.70M,,,,,31.50M,11.70M,,,,0.70M,,12.40M,3.80M,8.60M,0.10M,8.60M,8.115M,13.80M,2.10M,11.70M,,0.04,0.00,0.0377,0.04,,0.04,0.00,0.0377,0.04,,213.89M,213.89M,,,,
1992-12,107.10M,107.10M,60.40M,46.70M,,,29.50M,,,0.60M,,,,,30.50M,16.20M,,,,0.60M,,17.40M,5.10M,12.30M,0.50M,12.30M,11.88M,17.20M,1.00M,16.20M,,0.065,0.00,0.0628,0.065,,0.065,0.00,0.0628,0.065,,189.23M,189.23M,,,,
1992-09,54.60M,54.60M,27.60M,27.00M,,,20.10M,,,0.90M,,,,,20.40M,6.60M,,,,0.90M,,7.40M,2.20M,5.20M,,5.20M,4.568M,6.90M,0.30M,6.60M,,0.03,0.00,0.0264,0.03,,0.03,0.00,0.0264,0.03,,173.33M,173.33M,,,,
1992-06,45.20M,45.20M,23.30M,21.90M,,,15.40M,,,0.40M,,,,,16.00M,5.90M,,,,0.40M,,6.30M,2.20M,4.10M,,4.10M,3.840M,6.50M,0.60M,5.90M,,0.025,0.00,0.0234,0.025,,0.025,0.00,0.0234,0.025,,164.00M,164.00M,,,,
1992-03,45.40M,45.40M,23.30M,22.10M,,,15.00M,,,0.60M,,,,,15.40M,6.70M,,,,0.60M,,7.30M,2.50M,4.80M,,4.80M,4.405M,7.10M,0.40M,6.70M,,0.03,0.00,0.0275,0.03,,0.03,0.00,0.0275,0.03,,157.98M,157.98M,,,,
1991-12,59.10M,59.10M,32.60M,26.50M,,,15.60M,,,0.20M,,,,,16.10M,10.40M,,,,0.20M,,10.50M,3.70M,6.80M,,6.80M,6.670M,11.00M,0.60M,10.40M,,0.04,0.00,0.0392,0.04,,0.04,0.00,0.0392,0.04,,170.00M,170.00M,,,,
1991-09,33.00M,33.00M,16.80M,16.20M,,,11.90M,,,0.30M,,,,,12.40M,3.80M,,,,0.30M,,4.20M,1.50M,2.70M,,2.70M,2.507M,4.30M,0.40M,3.80M,,0.02,0.00,0.0186,0.02,,0.02,0.00,0.0186,0.02,,135.00M,135.00M,,,,
1991-06,23.90M,23.90M,12.60M,11.30M,,,9.00M,,,0.40M,,,,,9.30M,2.00M,,,,0.40M,,2.40M,0.80M,1.60M,,1.60M,1.333M,2.30M,0.30M,2.00M,,0.01,0.00,0.0083,0.01,,0.01,0.00,0.0083,0.01,,160.00M,160.00M,,,,
1991-03,25.20M,25.20M,14.40M,10.80M,,,7.30M,,,0.20M,,,,,7.70M,3.10M,,,,0.20M,,3.20M,1.00M,2.20M,,2.20M,2.062M,3.50M,0.40M,3.10M,,0.015,0.00,0.0141,0.015,,0.015,0.00,0.0141,0.015,,146.67M,146.67M,,,,
1990-12,35.20M,35.20M,19.50M,15.70M,,,9.50M,,,0.20M,,,,,9.80M,5.90M,,,,0.20M,,6.10M,2.10M,4.00M,,4.00M,3.869M,6.30M,0.40M,5.90M,,0.03,0.00,0.0290,0.03,,0.03,0.00,0.0290,0.03,,133.33M,133.33M,,,,
1990-09,24.30M,24.30M,14.00M,10.30M,,,7.60M,,,0.40M,,,,,8.00M,2.30M,,,,0.40M,,2.60M,0.90M,1.70M,,1.70M,1.438M,2.70M,0.40M,2.30M,,0.015,0.00,0.0127,0.015,,0.015,0.00,0.0127,0.015,,113.33M,113.33M,,,,
1990-06,17.00M,17.00M,9.20M,7.80M,,,6.10M,,,0.40M,,,,,6.40M,1.40M,,,,0.40M,,1.90M,0.70M,1.20M,,1.20M,0.9474M,1.70M,0.30M,1.40M,,0.01,0.00,0.0079,0.01,,0.01,0.00,0.0079,0.01,,120.00M,120.00M,,,,
1990-03,17.90M,17.90M,9.40M,8.50M,,,6.40M,,,0.50M,,,,,6.70M,1.80M,,,,0.50M,,2.30M,0.90M,1.40M,,1.40M,1.096M,2.10M,0.30M,1.80M,,0.01,0.00,0.0078,0.01,,0.01,0.00,0.0078,0.01,,139.05M,139.05M,,,,
1989-12,23.50M,23.50M,12.30M,11.20M,,,6.80M,,,0.20M,,,,,7.10M,4.10M,,,,0.20M,,4.30M,1.50M,2.80M,,2.80M,2.670M,4.40M,0.30M,4.10M,,0.02,0.00,0.0191,0.02,,0.02,0.00,0.0191,0.02,,140.00M,140.00M,,,,
1989-09,17.30M,17.30M,,,,,,,,,,,,,,17.30M,,,,,,,,1.10M,,1.10M,,17.30M,,17.30M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,149.57M,149.57M,,,,
1989-06,13.70M,13.70M,,,,,,,,,,,,,,13.70M,,,,,,,,0.80M,,0.80M,,13.70M,,13.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,149.57M,149.57M,,,,
