,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,1.496B,,,,365.00M,365.00M,54.40M,,23.90M,-90.70M,,,-510.10M,,1.339B,,-611.30M,52.80M,52.80M,131.60M,,-63.90M,-490.80M,,499.30M,239.70M,739.00M,,-1.607B,-1.607B,-786.10M,-786.10M,91.70M,-1.60M,-1.564B,,2.468B,-716.20M,-128.30M,1.624B,,,500.50M,-1.20M,-1.607B,,AOR,Restated
2018-03,1.375B,,,,362.90M,362.90M,29.20M,,39.80M,-54.90M,,,-107.20M,,1.645B,,-552.80M,71.70M,71.70M,163.00M,,-41.00M,-359.10M,,498.10M,556.00M,1.054B,,-1.633B,-1.633B,-797.50M,-797.50M,75.30M,-5.20M,-1.306B,,2.464B,-20.10M,24.30M,2.468B,,,1.500B,-1.002B,-1.633B,,AOR,Restated
2017-12,698.70M,-90.60M,,-90.60M,342.80M,342.80M,-412.00M,,34.00M,1.118B,,,-582.10M,,1.109B,,-640.40M,13.50M,13.50M,84.90M,,-62.00M,-604.00M,,954.70M,-216.00M,738.70M,,-748.30M,-748.30M,-801.80M,-801.80M,83.70M,-19.40M,-747.10M,,2.671B,-241.80M,34.40M,2.464B,,,2.197B,-1.242B,-748.30M,,AOR,Restated
2017-09,1.884B,-1.065B,,-1.065B,355.80M,355.80M,225.10M,,39.50M,120.90M,,,124.70M,,1.684B,,-416.90M,59.20M,59.20M,1.578B,,-45.70M,1.175B,,-3.20M,-55.80M,-59.00M,,-2.082B,-2.082B,-755.30M,-755.30M,82.50M,3.50M,-2.81B,,2.392B,49.20M,76.20M,2.671B,,,0.40M,-3.60M,-2.082B,,AOR,Restated
2017-06,1.395B,,,,339.50M,339.50M,64.60M,,21.30M,-76.00M,,,-531.10M,,1.213B,,-368.70M,28.80M,28.80M,289.10M,,-96.00M,-146.80M,,535.70M,-9.30M,526.40M,,-1.108B,-1.108B,-761.50M,-761.50M,174.40M,1.90M,-1.166B,,2.412B,-99.90M,98.70M,2.392B,,,537.10M,-1.40M,-1.108B,,AOR,Restated
2017-03,1.215B,,,,325.30M,325.30M,85.90M,,22.70M,-112.70M,,,8.00M,,1.544B,,-427.70M,65.30M,65.30M,542.70M,,-42.20M,138.10M,,1.591B,-769.20M,821.70M,,-748.00M,-748.00M,-770.60M,-770.60M,116.20M,-6.50M,-587.20M,,1.223B,1.095B,54.70M,2.412B,,,1.993B,-402.10M,-748.00M,,AOR,Restated
2016-12,1.193B,-102.60M,,-102.60M,378.90M,378.90M,-163.90M,,29.20M,10.40M,,,-530.50M,,814.90M,,-671.50M,27.70M,27.70M,500.00M,,-27.10M,-170.90M,,403.50M,456.70M,860.20M,,-1.509B,-1.509B,-773.00M,-773.00M,49.50M,0.90M,-1.371B,,2.267B,-727.20M,-142.10M,1.223B,,,406.80M,-3.30M,-1.509B,,AOR,Restated
2016-09,1.275B,-208.10M,,-208.10M,370.60M,370.60M,-216.00M,,34.30M,211.00M,,,783.90M,,2.251B,,-405.30M,16.80M,16.80M,87.10M,,-49.70M,-351.10M,,-5.10M,-80.00M,-85.10M,,-1.970B,-1.970B,-745.10M,-745.10M,36.10M,-11.80M,-2.776B,,3.128B,-875.70M,14.40M,2.267B,,,0.60M,-5.70M,-1.970B,,AOR,Restated
2016-06,1.093B,,,,383.30M,383.30M,-190.30M,,27.30M,238.70M,,,-303.50M,,1.248B,,-352.50M,25.30M,25.30M,144.40M,,-20.90M,-203.70M,,2.771B,146.70M,2.918B,,-3.381B,-3.381B,-759.30M,-759.30M,82.50M,3.00M,-1.137B,,3.310B,-92.10M,-90.00M,3.128B,,,3.371B,-600.40M,-3.381B,,AOR,Restated
2016-03,1.125B,,,,383.70M,383.70M,31.60M,,40.50M,-52.50M,,,217.10M,,1.745B,,-391.80M,13.10M,13.10M,134.60M,,-11.80M,-255.90M,,-212.80M,-809.60M,-1.022B,,-4.312B,-4.312B,-780.80M,-780.80M,131.30M,4.90M,-5.979B,,7.686B,-4.489B,114.00M,3.310B,,,0.70M,-213.50M,-4.312B,,AOR,Restated
2015-12,1.206B,,,,389.70M,389.70M,-16.60M,,33.30M,52.20M,,,-122.20M,,1.379B,,-592.70M,,,63.70M,,10.10M,-305.80M,,5.989B,458.30M,6.448B,,-1.545B,-1.545B,-813.90M,-813.90M,146.30M,-15.20M,4.220B,,2.452B,5.292B,-59.50M,7.686B,,,5.991B,-1.60M,-1.545B,,AOR,Restated
2015-09,1.309B,,,,387.70M,387.70M,-0.10M,,29.00M,27.20M,,,194.40M,,1.947B,,-412.70M,,,38.20M,,-44.00M,-418.50M,,-4.80M,170.20M,165.40M,,-2.392B,-2.392B,-789.10M,-789.10M,35.70M,1.70M,-2.979B,,3.998B,-1.450B,-96.30M,2.452B,,,1.40M,-6.20M,-2.392B,,AOR,Restated
2015-06,1.202B,,,,392.20M,392.20M,2.80M,,27.70M,19.20M,,,-130.80M,,1.514B,,-415.90M,,,51.00M,,18.40M,-346.50M,,3.726B,-293.80M,3.432B,,-1.555B,-1.555B,-811.00M,-811.00M,36.60M,-14.70M,1.088B,,1.635B,2.255B,109.10M,3.998B,,,4.227B,-501.40M,-1.555B,,AOR,Restated
2015-03,811.50M,,,,386.10M,386.10M,12.50M,,20.00M,242.90M,,,226.50M,,1.700B,,-392.60M,,,47.60M,,-4.20M,-349.20M,,-544.80M,255.00M,-289.80M,,-606.40M,-606.40M,-816.30M,-816.30M,98.60M,20.60M,-1.593B,,2.078B,-243.00M,-200.10M,1.635B,,,0.50M,-545.30M,-606.40M,,AOR,Restated
2014-12,1.098B,,,,407.50M,407.50M,52.10M,,37.70M,15.80M,,,-107.50M,,1.503B,,-766.10M,,,2.80M,,377.50M,-299.00M,,3.20M,120.40M,123.60M,,-1.111B,-1.111B,-820.80M,-820.80M,34.10M,2.50M,-1.772B,,2.826B,-567.70M,-180.20M,2.078B,,,4.20M,-1.00M,-1.111B,,AOR,Restated
2014-09,1.068B,,,,413.40M,413.40M,-104.00M,,23.30M,290.00M,,,141.80M,,1.833B,,-658.90M,,,71.90M,,-195.60M,-782.60M,,-6.00M,153.60M,147.60M,,-944.40M,-944.40M,-793.00M,-793.00M,39.60M,7.80M,-1.542B,,3.671B,-492.10M,-352.70M,2.826B,,,0.00,-6.00M,-944.40M,,AOR,Restated
2014-06,1.387B,,,,413.20M,413.20M,-14.80M,,26.50M,9.00M,,,-334.00M,,1.487B,,-589.60M,,,79.20M,,-104.70M,-615.10M,,995.30M,236.40M,1.467B,,-703.50M,-703.50M,-800.60M,-800.60M,75.30M,13.00M,51.00M,,2.744B,922.90M,3.90M,3.671B,,,1.536B,-541.10M,-703.50M,,AOR,Restated
2014-03,1.205B,,,,410.40M,410.40M,-24.00M,,25.30M,54.70M,,,236.10M,,1.907B,,-568.80M,,,78.70M,,-118.10M,-608.20M,,,,-235.10M,,-439.50M,-439.50M,-801.70M,-801.70M,86.40M,34.80M,-1.355B,,2.799B,-56.00M,1.10M,2.744B,,,,,-439.50M,,AOR,Restated
2013-12,1.397B,,,,408.60M,408.60M,11.80M,,20.20M,-51.70M,,,87.60M,,1.874B,,-904.00M,,,132.40M,,-236.00M,-1.008B,,,,626.40M,,-504.70M,-504.70M,-803.80M,-803.80M,29.70M,4.90M,-647.50M,,2.544B,218.40M,36.00M,2.799B,,,,,-504.70M,,AOR,Restated
2013-09,1.522B,,,,394.50M,394.50M,18.70M,,22.70M,-8.00M,,,100.40M,,2.050B,,-687.10M,,,77.10M,,24.40M,-585.60M,,,,-67.80M,,-501.10M,-501.10M,-767.50M,-767.50M,25.20M,9.60M,-1.302B,,2.278B,163.30M,102.60M,2.544B,,,,,-501.10M,,AOR,Restated
2013-06,1.396B,,,,390.90M,390.90M,-28.10M,,23.40M,19.50M,,,-292.40M,,1.510B,,-599.40M,,,4.10M,,39.20M,-556.10M,,,,599.10M,,-432.60M,-432.60M,-771.10M,-771.10M,65.50M,14.10M,-525.00M,,1.869B,428.70M,-19.60M,2.278B,,,,,-432.60M,,AOR,Restated
2013-03,1.270B,,,,391.10M,391.10M,22.80M,,22.80M,67.00M,,,-87.00M,,1.687B,,-634.20M,,,45.50M,,64.20M,-524.50M,,,,-622.40M,,-339.40M,-339.40M,-772.20M,-772.20M,112.90M,52.20M,-1.569B,,2.336B,-406.50M,-60.30M,1.869B,,,,,-339.40M,,AOR,Restated
2012-12,1.396B,,,,386.00M,386.00M,14.80M,,23.20M,-96.30M,,,126.30M,,1.850B,,-995.60M,,,125.50M,,-290.50M,-1.161B,,,,413.50M,,-380.90M,-380.90M,-771.20M,-771.20M,95.60M,36.40M,-606.60M,,2.178B,82.90M,74.70M,2.336B,,,,,-380.90M,,AOR,Restated
2012-09,1.455B,,,,371.90M,371.90M,84.30M,,22.50M,32.00M,,,33.70M,,1.999B,,-753.20M,,,47.80M,,-18.30M,-723.70M,,,,-379.30M,,-651.00M,-651.00M,-703.80M,-703.80M,83.30M,32.70M,-1.618B,,2.485B,-342.40M,36.30M,2.178B,,,,,-651.00M,,AOR,Restated
2012-06,1.347B,,,,365.90M,365.90M,12.80M,,21.20M,21.20M,,,-285.00M,,1.483B,,-712.00M,,,53.20M,,-26.80M,-685.60M,,,,903.20M,,-770.60M,-770.60M,-709.30M,-709.30M,65.30M,17.70M,-493.70M,,2.289B,303.80M,-108.30M,2.485B,,,,,-770.60M,,AOR,Restated
2012-03,1.267B,,,,364.70M,364.70M,22.60M,,26.50M,-48.90M,,,1.90M,,1.634B,,-588.40M,,,9.70M,,-18.70M,-597.40M,,,,267.20M,,-812.60M,-812.60M,-712.30M,-712.30M,84.40M,41.90M,-1.131B,,2.336B,-95.30M,48.70M,2.289B,,,,,-812.60M,,AOR,Restated
2011-12,1.377B,,,,367.50M,367.50M,3.00M,,20.90M,-31.60M,,,48.20M,,1.785B,,-938.40M,,,72.20M,,-32.60M,-898.80M,,-192.20M,260.60M,68.40M,,-369.70M,-369.70M,-715.40M,-715.40M,68.60M,31.10M,-917.00M,,2.389B,-31.20M,-21.90M,2.336B,,,431.80M,,-369.70M,,AOR,Restated
2011-09,1.507B,,,,358.30M,358.30M,159.70M,,21.20M,-1.40M,,,124.50M,,2.170B,,-692.30M,,,54.10M,,-61.60M,-699.80M,,935.50M,-515.30M,420.20M,,-874.80M,-874.80M,-627.20M,-627.20M,79.50M,24.00M,-978.30M,,2.07B,491.50M,-172.70M,2.389B,,,420.20M,,-874.80M,,AOR,Restated
2011-06,1.410B,,,,350.10M,350.10M,38.70M,,20.10M,-39.90M,,,-136.40M,,1.643B,,-590.40M,,,207.50M,,-70.20M,-453.10M,,,86.00M,86.00M,,-748.00M,-748.00M,-632.00M,-632.00M,124.20M,44.40M,-1.125B,,1.940B,64.30M,65.80M,2.07B,,,86.00M,,-748.00M,,AOR,Restated
2011-03,1.209B,,,,339.10M,339.10M,-13.00M,,24.00M,-9.70M,,,3.70M,,1.553B,,-508.70M,,,-8.80M,,-1.70M,-519.20M,,,429.30M,429.30M,,-1.371B,-1.371B,-635.10M,-635.10M,61.70M,2.40M,-1.512B,,2.387B,-478.40M,31.30M,1.940B,,,429.30M,,-1.371B,,AOR,Restated
2010-12,1.242B,,,,334.10M,334.10M,-81.20M,-12.10M,18.40M,35.90M,,,188.40M,,1.726B,,-816.10M,,1.319B,37.50M,,-50.30M,-828.90M,,784.30M,-749.00M,35.30M,,-542.00M,-542.00M,-643.50M,-643.50M,100.10M,40.00M,-1.010B,,2.495B,-113.20M,5.20M,2.387B,,,1.180B,,-542.00M,,AOR,Restated
2010-09,3.704B,,,,312.70M,312.70M,12.10M,3.60M,20.00M,-2.232B,,,124.30M,,1.944B,,-523.10M,,-523.10M,86.30M,,-9.20M,-446.00M,,-273.20M,752.10M,478.90M,,-798.10M,-798.10M,-583.50M,-583.50M,107.10M,7.70M,-787.90M,,1.666B,710.50M,119.00M,2.495B,,,478.90M,,-798.10M,,AOR,Restated
2010-06,-1.090B,,,,311.50M,311.50M,-0.30M,6.80M,18.80M,2.372B,,,-370.10M,,1.249B,,-394.50M,,-394.50M,35.90M,,-32.10M,-390.70M,,224.00M,,224.00M,,-881.20M,-881.20M,-589.10M,-589.10M,95.20M,28.80M,-1.122B,,2.007B,-264.30M,-77.50M,1.666B,,,273.20M,,-881.20M,,AOR,Restated
2010-03,1.090B,,,,317.90M,317.90M,-6.30M,30.80M,25.90M,36.20M,,,-71.60M,,1.423B,,-401.80M,,-401.80M,34.80M,,-23.40M,-390.40M,,49.20M,,49.20M,,-477.20M,-477.20M,-592.00M,-592.00M,160.70M,50.90M,-808.40M,,1.796B,223.90M,-12.60M,2.007B,,,,,-477.20M,,AOR,Restated
2009-12,1.217B,,-94.90M,0.00,317.70M,317.70M,54.50M,-62.00M,27.00M,-388.50M,,,212.50M,,1.378B,,-633.20M,,1.319B,139.90M,0.00,-49.20M,-542.50M,,-140.30M,,-425.70M,,-423.70M,-423.70M,-593.10M,-593.10M,174.50M,60.70M,-1.207B,,2.201B,-371.80M,-33.20M,1.796B,,,1.169B,,-423.70M,,AOR,Restated
2009-09,1.261B,,94.30M,-0.60M,311.90M,311.90M,59.40M,-1.50M,25.90M,-29.20M,,,195.30M,,1.822B,,-470.80M,,-470.80M,42.10M,46.60M,-59.20M,-441.30M,,-99.00M,,-99.00M,,-768.70M,-768.70M,-541.20M,-541.20M,40.50M,-19.70M,-1.388B,,2.161B,-7.20M,47.60M,2.201B,,,-744.00M,,-768.70M,,AOR,Restated
2009-06,1.094B,,-94.30M,-17.80M,304.40M,304.40M,38.80M,1.20M,29.60M,-9.20M,,,-20.60M,,1.420B,,-434.40M,,-434.40M,24.20M,88.50M,18.80M,-302.90M,,276.90M,,276.90M,,-792.50M,-792.50M,-547.80M,-547.80M,79.60M,-22.10M,-1.006B,,1.979B,111.30M,70.60M,2.161B,,,276.90M,,-792.50M,,AOR,Restated
2009-03,979.50M,,,-76.50M,282.20M,282.20M,50.30M,1.20M,30.40M,79.80M,,,-216.20M,,1.131B,,-413.70M,,-413.70M,54.10M,9.80M,-18.80M,-368.60M,,467.10M,,467.10M,,-812.50M,-812.50M,-553.40M,-553.40M,37.50M,41.60M,-819.70M,,2.063B,-57.60M,-27.10M,1.979B,,,467.10M,,-812.50M,,AOR,Restated
2008-12,985.30M,,,0.00,277.80M,277.80M,104.80M,,25.30M,23.20M,,,47.90M,,1.470B,,-713.70M,,-713.70M,105.40M,0.00,-27.40M,-635.70M,,41.40M,,308.10M,,-98.00M,-98.00M,-557.70M,-557.70M,94.90M,60.50M,-192.20M,,1.487B,642.40M,-66.20M,2.063B,,,3.007B,,-98.00M,,AOR,Restated
2008-09,1.191B,,,0.00,311.00M,311.00M,17.60M,,26.40M,14.70M,,,145.40M,,1.706B,,-534.90M,,-534.90M,45.00M,0.00,-7.20M,-497.10M,,-782.30M,,-782.30M,,-1.023B,-1.023B,-417.70M,-417.70M,206.60M,48.10M,-1.968B,,2.342B,-758.90M,-96.40M,1.487B,,,-782.30M,,-1.023B,,,Restated
2008-06,1.190B,,,-160.10M,314.30M,314.30M,-33.70M,,25.70M,13.10M,,,-87.80M,,1.262B,,-482.00M,,-482.00M,109.00M,229.40M,-30.80M,-174.40M,,-575.60M,,-575.60M,,-787.10M,-787.10M,-421.60M,-421.60M,138.10M,-26.50M,-1.673B,,2.922B,-585.10M,5.40M,2.342B,,,-575.60M,,-787.10M,,,Restated
2008-03,946.10M,,,,304.70M,304.70M,12.80M,,35.10M,39.50M,,,140.30M,,1.478B,,-405.10M,,-405.10M,72.40M,0.00,15.20M,-317.50M,,2.096B,,2.096B,,-2.011B,-2.011B,-426.40M,-426.40M,108.60M,-47.80M,-281.40M,,1.981B,879.60M,61.30M,2.922B,,,2.096B,,-2.011B,,,Restated
2007-12,1.273B,,,-26.80M,302.50M,302.50M,33.40M,,,-2.176B,,33.20M,-3.00M,68.60M,1.285B,,-724.50M,,-724.50M,769.90M,,-610.10M,-758.80M,,,,1.524B,-967.20M,-1.397B,-2.364B,,,,-82.30M,-1.55B,,2.992B,-1.024B,12.90M,1.981B,,-967.20M,,,-1.397B,,,Restated
2007-09,1.071B,,,32.30M,297.00M,297.00M,-16.80M,,,88.20M,,177.60M,177.60M,-68.60M,1.581B,,-399.80M,,-399.80M,12.10M,,653.30M,459.70M,,,,-654.90M,261.20M,-881.50M,-620.30M,,,,25.30M,-1.250B,,2.133B,790.70M,68.90M,2.992B,,261.20M,,,-881.50M,,,
2007-06,-711.70M,,,4.30M,303.10M,303.10M,-35.40M,,,1.646B,,-124.40M,-124.40M,,1.082B,,-413.40M,,-413.40M,-0.50M,,-31.60M,-445.50M,,,,-626.90M,335.60M,-696.40M,-360.80M,,,,28.70M,-959.00M,,2.429B,-322.20M,26.50M,2.133B,,335.60M,,,-696.40M,,,
2007-03,762.40M,,,-78.40M,311.50M,311.50M,-20.30M,,,39.60M,,-86.40M,-86.40M,,928.40M,,-408.90M,,-408.90M,1.90M,,1.50M,-405.50M,,,,330.20M,370.40M,-968.40M,-598.00M,,,,30.40M,-237.40M,,2.128B,285.50M,15.00M,2.429B,,370.40M,,,-968.40M,,,
2006-12,1.242B,,,3.90M,315.50M,315.50M,64.10M,,,38.40M,,316.00M,152.80M,-479.60M,1.337B,,-655.10M,,-339.40M,-211.70M,,35.80M,-524.00M,,,,-926.80M,373.50M,-1.127B,-753.50M,,,,23.40M,-2.873B,,4.115B,-2.061B,73.90M,2.128B,,373.50M,,,-1.127B,,,
2006-09,843.30M,,,290.20M,314.00M,314.00M,-47.20M,,,43.70M,,240.00M,240.00M,-173.40M,1.511B,,-415.40M,,-415.40M,-12.30M,,-304.10M,-442.10M,,,,-312.80M,233.30M,-8.70M,224.60M,,,,-6.80M,-95.00M,,3.148B,973.50M,0.80M,4.115B,,233.30M,,,-8.70M,,,
2006-06,834.10M,,,-197.40M,315.00M,315.00M,20.30M,,,49.60M,,-142.10M,-142.10M,,879.50M,,-382.20M,,-382.20M,6.00M,,271.90M,-104.30M,,,,-701.40M,119.30M,-842.30M,-723.00M,,,,-20.20M,-1.445B,,3.670B,-669.40M,148.10M,3.148B,,119.30M,,,-842.30M,,,
2006-03,625.30M,,,-23.20M,305.40M,305.40M,-3.80M,,,125.00M,,-413.90M,-413.90M,,614.80M,,-289.20M,,-289.20M,-20.60M,,106.10M,-203.70M,,,,-323.70M,249.60M,-981.40M,-731.80M,,,,8.60M,-1.047B,,4.261B,-635.80M,44.80M,3.670B,,249.60M,,,-981.40M,,,
2005-12,608.50M,,,159.60M,317.00M,317.00M,-1.10M,,,-41.70M,,-326.60M,85.70M,,1.128B,,-631.90M,259.10M,-372.80M,-343.50M,,29.40M,-686.90M,,,,2.219B,186.10M,-73.40M,112.70M,,,,112.40M,1.602B,,2.297B,2.044B,,4.253B,,186.10M,,,-73.40M,,,
2005-09,735.40M,,,94.90M,309.50M,309.50M,-5.20M,,,-58.60M,,387.30M,387.30M,,1.463B,,-372.40M,-11.80M,-384.20M,,,-97.70M,-481.90M,,,,-406.80M,280.30M,-117.30M,163.00M,,,,-1.10M,-244.90M,,1.561B,736.50M,,2.297B,,280.30M,,,-117.30M,,,
2005-06,530.40M,,,-1.40M,306.50M,306.50M,9.20M,,,45.10M,,62.70M,62.70M,,952.50M,,-360.10M,11.80M,-348.30M,8.80M,,-24.30M,-363.80M,,,,158.00M,72.70M,-597.30M,-524.60M,,,,-18.00M,-384.60M,,1.356B,204.10M,,1.561B,,72.70M,,,-597.30M,,,
2005-03,727.90M,,,-93.50M,316.50M,316.50M,-34.50M,,,,,-123.40M,-123.40M,,793.00M,,-242.40M,,-242.40M,-8.80M,,-34.00M,-285.20M,,,,-358.20M,229.00M,-414.00M,-185.00M,,,,12.10M,-531.10M,,1.380B,-23.30M,,1.356B,,229.00M,,,-414.00M,,,
2004-12,397.90M,,,,318.40M,318.40M,-123.20M,,,315.80M,,-151.80M,38.50M,,947.40M,,-623.80M,-94.80M,-718.60M,,,229.90M,-638.40M,,,,-35.80M,272.20M,-10.00M,262.20M,,,,-17.50M,-486.10M,,1.557B,-177.10M,,1.380B,,272.20M,,,-10.00M,,,
2004-09,778.40M,,,,293.20M,293.20M,-48.10M,,,30.20M,,217.10M,217.10M,,1.271B,,-311.70M,14.30M,-297.40M,,,-13.70M,-311.10M,,,,-342.30M,78.10M,-77.20M,0.90M,,,,7.80M,-333.60M,,930.80M,626.10M,,1.557B,,78.10M,,,-77.20M,,,
2004-06,590.70M,,,,292.20M,292.20M,12.50M,,,32.50M,,-107.60M,-107.60M,,820.30M,,-303.50M,43.30M,-260.20M,,,-26.10M,-286.30M,,,,-425.80M,230.20M,-242.30M,-12.10M,,,,-134.90M,-572.80M,,969.60M,-38.80M,,930.80M,,230.20M,,,-242.30M,,,
2004-03,511.50M,,,,297.20M,297.20M,-13.10M,,,27.20M,,42.30M,42.30M,,865.10M,,-180.30M,37.20M,-143.10M,,,-4.20M,-147.30M,,,,-11.60M,,-291.50M,-291.50M,,,,62.10M,-241.00M,,492.80M,476.80M,,969.60M,,,,,-291.50M,,,
2003-12,125.70M,,,0.00,315.60M,315.60M,-37.70M,,,572.90M,,215.10M,24.10M,,1.001B,,-805.20M,371.70M,-433.50M,,,-31.00M,-464.50M,,,,30.10M,68.70M,-225.50M,-156.80M,,,,-60.50M,-690.70M,,647.40M,-154.60M,,492.80M,,68.70M,,,-225.50M,,,
2003-09,547.40M,,,0.00,274.90M,274.90M,131.80M,,,26.40M,,49.70M,49.70M,,1.030B,,-257.50M,9.90M,-247.60M,,,-16.90M,-264.50M,,,,-530.80M,27.40M,-139.50M,-112.10M,,,,4.20M,-638.70M,,520.40M,127.00M,,647.40M,,27.40M,,,-139.50M,,,
