,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-04,2.276B,,,2.678B,2.678B,-50.00M,1.845B,265.00M,1.134B,547.00M,-3.534B,,,-1.853B,,5.161B,-1.818B,198.00M,-1.62B,0.00,,-62.00M,-1.682B,-2.521B,2.501B,-20.00M,,-539.00M,-539.00M,-1.533B,-1.533B,-394.00M,-2.486B,7.014B,993.00M,143.00M,8.15B,,0.00,-2.521B,-539.00M,,
2018-01,2.363B,0.00,1.004B,2.702B,2.702B,-535.00M,0.00,1.066B,-545.00M,6.306B,-1.084B,,,4.677B,,11.28B,-3.143B,77.00M,-3.066B,-3.00M,,-156.00M,-3.225B,-5.194B,144.00M,-5.05B,,-1.64B,-1.64B,-1.51B,-1.51B,-259.00M,-8.459B,7.32B,-407.00M,101.00M,7.014B,,0.00,-5.194B,-1.64B,,
2017-10,1.904B,0.00,1.344B,2.658B,2.658B,137.00M,0.00,160.00M,-1.114B,-6.679B,7.29B,,,-503.00M,,5.70B,-2.485B,89.00M,-2.396B,25.00M,,59.00M,-2.312B,-776.00M,1.86B,1.084B,,-2.209B,-2.209B,-1.526B,-1.526B,-134.00M,-2.785B,6.763B,603.00M,-46.00M,7.32B,,5.973B,-6.749B,-2.209B,,
2017-07,3.104B,0.00,788.00M,2.618B,2.618B,92.00M,0.00,154.00M,-141.00M,167.00M,-807.00M,,,-781.00M,,5.975B,-2.433B,16.00M,-2.417B,737.00M,,-1.00M,-1.681B,-1.161B,662.00M,-499.00M,,-2.262B,-2.262B,-1.539B,-1.539B,-359.00M,-4.659B,6.835B,-365.00M,293.00M,6.763B,,1.503B,-2.664B,-2.262B,,
2017-04,3.152B,,,2.551B,2.551B,2.00M,0.00,-170.00M,726.00M,66.00M,-942.00M,,,-150.00M,,5.385B,-1.99B,196.00M,-1.794B,-88.00M,,21.00M,-1.861B,-1.513B,1.482B,-31.00M,,-2.185B,-2.185B,-1.549B,-1.549B,-207.00M,-3.972B,7.144B,-448.00M,139.00M,6.835B,,,-1.513B,-2.185B,,
2017-01,3.986B,,,2.706B,2.706B,-406.00M,,593.00M,-673.00M,6.537B,-851.00M,,,5.013B,,11.89B,-3.16B,-327.00M,-3.487B,605.00M,0.00,36.00M,-2.846B,-12.00M,-3.975B,-3.987B,,-2.044B,-2.044B,-1.534B,-1.534B,-235.00M,-7.80B,5.939B,1.246B,-227.00M,7.144B,,3.00M,-15.00M,-2.044B,,
2016-10,3.202B,,,2.469B,2.469B,1.134B,,-26.00M,-172.00M,-6.571B,4.814B,,,-1.929B,,4.85B,-2.84B,523.00M,-2.317B,-2.406B,-1.901B,-10.00M,-6.634B,-10.00M,3.159B,3.149B,,-1.402B,-1.402B,-1.549B,-1.549B,-256.00M,-58.00M,7.676B,-1.842B,105.00M,5.939B,,4.00M,-14.00M,-1.402B,,
2016-07,3.889B,,,2.517B,2.517B,155.00M,,-328.00M,-51.00M,791.00M,1.765B,,,2.505B,,8.738B,-2.41B,171.00M,-2.239B,0.00,,-58.00M,-2.297B,-10.00M,-1.922B,-1.932B,,-2.117B,-2.117B,-1.56B,-1.56B,-173.00M,-5.782B,7.597B,659.00M,-580.00M,7.676B,,3.00M,-13.00M,-2.117B,,
2016-04,3.216B,,,2.388B,2.388B,-122.00M,,-33.00M,494.00M,264.00M,-14.00M,,,744.00M,,6.193B,-2.209B,89.00M,-2.12B,0.00,,1.00M,-2.119B,-1.886B,1.065B,-821.00M,,-2.735B,-2.735B,-1.573B,-1.573B,-303.00M,-5.432B,8.705B,-1.358B,250.00M,7.597B,,127.00M,-2.013B,-2.735B,,
2016-01,4.748B,,,2.431B,2.431B,315.00M,,766.00M,-802.00M,5.934B,-845.00M,,,4.287B,,12.55B,-3.254B,273.00M,-2.981B,0.00,0.00,-127.00M,-3.108B,-12.00M,-2.302B,-2.314B,,-2.392B,-2.392B,-1.566B,-1.566B,-754.00M,-7.026B,6.99B,2.413B,-698.00M,8.705B,,-2.00M,-10.00M,-2.392B,,
2015-10,3.414B,,,2.365B,2.365B,-591.00M,,112.00M,100.00M,-6.41B,5.913B,,,-397.00M,,4.903B,-3.179B,75.00M,-3.104B,0.00,0.00,139.00M,-2.965B,-1.264B,3.263B,1.999B,,-437.00M,-437.00M,-1.571B,-1.571B,-476.00M,-485.00M,5.751B,1.453B,-214.00M,6.99B,,-1.00M,-1.263B,-437.00M,,
2015-07,3.635B,,,2.339B,2.339B,-237.00M,,293.00M,-99.00M,1.248B,-1.523B,,,-374.00M,,5.656B,-2.841B,219.00M,-2.622B,246.00M,,-113.00M,-2.489B,-2.245B,1.015B,-1.23B,,-1.003B,-1.003B,-1.578B,-1.578B,-1.268B,-5.079B,7.759B,-1.912B,-96.00M,5.751B,,-1.00M,-2.244B,-1.003B,,
2015-04,3.283B,,,2.319B,2.319B,-159.00M,,239.00M,782.00M,-1.475B,-543.00M,,,-1.236B,,4.446B,-2.203B,68.00M,-2.135B,,,22.00M,-2.113B,-872.00M,-741.00M,-1.613B,,-280.00M,-280.00M,-1.579B,-1.579B,-223.00M,-3.695B,9.135B,-1.362B,-14.00M,7.759B,,43.00M,-915.00M,-280.00M,,
2015-01,5.188B,,,2.292B,2.292B,-270.00M,,193.00M,-1.028B,5.70B,1.019B,,,5.691B,,13.09B,-3.931B,111.00M,-3.82B,0.00,,-148.00M,-3.968B,33.00M,-4.445B,-4.412B,,0.00,0.00,-1.546B,-1.546B,-255.00M,-6.213B,6.718B,2.913B,-496.00M,9.135B,,54.00M,-21.00M,0.00,,
2014-10,3.826B,,,2.354B,2.354B,-312.00M,,-75.00M,-245.00M,-6.526B,4.548B,,,-2.223B,,3.57B,-3.13B,369.00M,-2.761B,0.00,,-56.00M,-2.817B,-460.00M,2.287B,1.827B,,-82.00M,-82.00M,-1.545B,-1.545B,-303.00M,-103.00M,6.184B,650.00M,-116.00M,6.718B,,555.00M,-1.015B,-82.00M,,
2014-07,4.089B,,,2.277B,2.277B,53.00M,,124.00M,91.00M,20.00M,-693.00M,,,-582.00M,,5.961B,-2.956B,42.00M,-2.914B,671.00M,,24.00M,-2.219B,-1.248B,-1.00M,-1.249B,,-307.00M,-307.00M,-1.547B,-1.547B,-475.00M,-3.578B,6.012B,164.00M,8.00M,6.184B,,46.00M,-1.294B,-307.00M,,
2014-04,3.711B,,,2.25B,2.25B,26.00M,,543.00M,613.00M,-423.00M,-781.00M,,,-591.00M,,5.939B,-2.157B,48.00M,-2.109B,,,-12.00M,-2.121B,2.945B,-4.129B,-1.184B,,-626.00M,-626.00M,-1.547B,-1.547B,-1.82B,-5.177B,7.281B,-1.359B,90.00M,6.012B,,4.519B,-1.574B,-626.00M,,
2014-01,4.544B,,,2.27B,2.27B,-873.00M,,473.00M,-757.00M,4.563B,-283.00M,,,3.523B,,9.937B,-3.609B,206.00M,-3.403B,,,18.00M,-3.385B,-6.00M,-5.135B,-5.141B,,-877.00M,-877.00M,-1.514B,-1.514B,-221.00M,-7.753B,8.736B,-1.201B,-254.00M,7.281B,,19.00M,-25.00M,-877.00M,,
2013-10,3.87B,,,2.198B,2.198B,119.00M,,631.00M,-254.00M,-6.799B,2.304B,,,-4.749B,,2.069B,-3.44B,409.00M,-3.031B,0.00,,-73.00M,-3.104B,170.00M,4.177B,4.347B,,-1.71B,-1.71B,-1.533B,-1.533B,-264.00M,840.00M,9.016B,-195.00M,-85.00M,8.736B,,1.727B,-1.557B,-1.71B,,
2013-07,4.205B,,,2.215B,2.215B,347.00M,,184.00M,-122.00M,-15.00M,-457.00M,,,-594.00M,,6.357B,-3.098B,77.00M,-3.021B,0.00,,-34.00M,-3.055B,-1.949B,2.42B,471.00M,,-1.85B,-1.85B,-1.543B,-1.543B,-199.00M,-3.121B,8.855B,181.00M,-20.00M,9.016B,,349.00M,-2.298B,-1.85B,,
2013-04,3.932B,,,2.187B,2.187B,128.00M,,-350.00M,567.00M,584.00M,-2.154B,,,-1.003B,,4.894B,-2.968B,35.00M,-2.933B,,,-49.00M,-2.982B,3.889B,-551.00M,3.338B,,-2.246B,-2.246B,-1.549B,-1.549B,-298.00M,-755.00M,7.781B,1.157B,-83.00M,8.855B,,4.977B,-1.088B,-2.246B,,
2013-01,5.863B,,,2.174B,2.174B,-412.00M,,464.00M,-1.115B,3.70B,-990.00M,,,1.595B,,9.684B,-3.977B,189.00M,-3.788B,716.00M,,-213.00M,-3.285B,-827.00M,-1.946B,-2.773B,,-2.943B,-2.943B,-1.327B,-1.327B,-209.00M,-7.252B,8.643B,-853.00M,-9.00M,7.781B,,12.00M,-839.00M,-2.943B,,
2012-10,3.786B,,,2.071B,2.071B,438.00M,,542.00M,-127.00M,-6.696B,4.298B,,,-2.525B,,4.312B,-3.399B,185.00M,-3.214B,-716.00M,,276.00M,-3.654B,-1.00M,2.639B,2.638B,,-1.228B,-1.228B,-1.336B,-1.336B,10.00M,84.00M,7.935B,742.00M,-34.00M,8.643B,,49.00M,-50.00M,-1.228B,,
2012-07,4.161B,,,2.127B,2.127B,-10.00M,,9.00M,134.00M,387.00M,-647.00M,,,-126.00M,,6.161B,-3.147B,108.00M,-3.039B,,,-223.00M,-3.262B,101.00M,298.00M,399.00M,,-1.84B,-1.84B,-1.346B,-1.346B,-184.00M,-2.971B,8.117B,-72.00M,-110.00M,7.935B,,145.00M,-44.00M,-1.84B,,
2012-04,3.894B,,,2.106B,2.106B,-149.00M,,-413.00M,494.00M,-150.00M,-348.00M,,,-4.00M,,5.434B,-2.375B,50.00M,-2.325B,,,-111.00M,-2.436B,-540.00M,1.763B,1.223B,,-1.589B,-1.589B,-1.352B,-1.352B,-89.00M,-1.807B,6.55B,1.191B,376.00M,8.117B,,5.00M,-545.00M,-1.589B,,
2012-01,5.392B,,,2.039B,2.039B,-292.00M,,443.00M,-1.295B,3.63B,1.424B,,,3.759B,,11.34B,-3.967B,226.00M,-3.741B,-11.00M,,-43.00M,-3.795B,-277.00M,-5.539B,-5.816B,,-1.341B,-1.341B,-1.248B,-1.248B,231.00M,-8.174B,7.063B,-628.00M,115.00M,6.55B,,42.00M,-319.00M,-1.341B,,
2011-10,3.501B,,,2.04B,2.04B,861.00M,,230.00M,180.00M,-6.351B,2.745B,,,-3.426B,,3.206B,-3.872B,242.00M,-3.63B,-36.00M,,-256.00M,-3.922B,-311.00M,3.222B,2.911B,,-1.417B,-1.417B,-1.259B,-1.259B,-313.00M,-78.00M,8.102B,-794.00M,-245.00M,7.063B,,59.00M,-370.00M,-1.417B,,
2011-07,3.937B,,,2.042B,2.042B,261.00M,,224.00M,-22.00M,707.00M,585.00M,,,1.27B,,7.734B,-3.282B,18.00M,-3.264B,-3.501B,,-258.00M,-7.023B,-1.81B,2.908B,1.098B,,-1.411B,-1.411B,-1.267B,-1.267B,-292.00M,-1.872B,9.40B,-1.161B,-137.00M,8.102B,,28.00M,-1.838B,-1.411B,,
2011-04,3.578B,,,1.985B,1.985B,220.00M,,-429.00M,341.00M,-1.713B,-2.008B,,,-3.38B,,1.974B,-2.389B,94.00M,-2.295B,,,426.00M,-1.869B,2.864B,2.428B,5.292B,,-2.129B,-2.129B,-1.274B,-1.274B,-223.00M,1.666B,7.395B,1.771B,234.00M,9.40B,,4.921B,-2.057B,-2.129B,,
2011-01,5.178B,,,2.006B,2.006B,,,236.00M,-643.00M,4.791B,-841.00M,,,3.307B,,11.38B,-3.38B,247.00M,-3.133B,-70.00M,,299.00M,-2.904B,-490.00M,-6.317B,-6.807B,,-3.804B,-3.804B,-1.076B,-1.076B,-11.00M,-11.70B,10.62B,-3.224B,3.00M,7.395B,,13.00M,-503.00M,-3.804B,,
2010-10,3.59B,,,1.887B,1.887B,,,1.013B,334.00M,-5.91B,1.332B,,,-4.244B,,2.246B,-3.765B,116.00M,-3.649B,-24.00M,,-35.00M,-3.708B,4.012B,2.70B,6.712B,,-3.86B,-3.86B,-1.101B,-1.101B,-36.00M,1.715B,10.20B,253.00M,168.00M,10.62B,,4.95B,-938.00M,-3.86B,,
2010-07,3.747B,,,1.884B,1.884B,,,534.00M,-327.00M,109.00M,3.099B,,,2.881B,,9.046B,-2.991B,3.00M,-2.988B,-108.00M,,-249.00M,-3.345B,1.86B,-179.00M,1.681B,,-4.145B,-4.145B,-1.124B,-1.124B,-293.00M,-3.881B,8.516B,1.82B,-141.00M,10.20B,,4.462B,-2.602B,-4.145B,,
2010-04,3.444B,,,1.864B,1.864B,,,-696.00M,-97.00M,-2.195B,-1.347B,,,-3.639B,,973.00M,-2.563B,123.00M,-2.44B,,,204.00M,-2.236B,1.934B,4.299B,6.233B,,-2.967B,-2.967B,-1.136B,-1.136B,-294.00M,1.836B,7.907B,573.00M,36.00M,8.516B,,1.971B,-37.00M,-2.967B,,
2010-01,4.99B,,,1.902B,1.902B,,,142.00M,-837.00M,5.481B,2.635B,,,7.279B,,13.81B,-3.299B,1.002B,-2.297B,,,-662.00M,-2.959B,-1.499B,-4.508B,-6.007B,,-2.171B,-2.171B,-1.038B,-1.038B,-49.00M,-9.265B,6.003B,1.585B,319.00M,7.907B,,81.00M,-1.58B,-2.171B,,
2009-10,3.265B,,,1.798B,1.798B,,,420.00M,-35.00M,-4.66B,1.757B,,,-2.938B,,2.545B,-3.141B,,-3.141B,,,228.00M,-2.913B,-2.195B,4.129B,1.934B,,-2.313B,-2.313B,-1.05B,-1.05B,-63.00M,-1.492B,7.997B,-1.86B,-134.00M,6.003B,,2.509B,-4.704B,-2.313B,,
2009-07,3.56B,,,1.757B,1.757B,,,-52.00M,156.00M,1.239B,-336.00M,,,1.059B,,6.324B,-3.137B,-132.00M,-3.269B,,,204.00M,-3.065B,1.471B,-388.00M,1.083B,,-1.906B,-1.906B,-1.062B,-1.062B,-46.00M,-1.931B,6.578B,1.328B,91.00M,7.997B,,1.503B,-32.00M,-1.906B,,
2009-04,3.147B,,,1.70B,1.70B,,,-192.00M,419.00M,153.00M,-1.656B,,,-1.084B,,3.571B,-2.607B,132.00M,-2.475B,,,-208.00M,-2.683B,1.39B,-266.00M,1.124B,,-886.00M,-886.00M,-1.067B,-1.067B,-674.00M,-1.503B,7.275B,-615.00M,-82.00M,6.578B,,1.453B,-63.00M,-886.00M,,
2009-01,3.907B,,,1.685B,1.685B,,,115.00M,-495.00M,5.471B,1.457B,,,6.433B,,12.72B,-3.325B,-65.00M,-3.39B,-1.502B,,947.00M,-3.945B,323.00M,-6.694B,-6.371B,,0.00,0.00,-932.00M,-932.00M,432.00M,-6.871B,5.92B,1.905B,-550.00M,7.275B,,-1.951B,-675.00M,0.00,,
2008-10,3.145B,,,1.688B,1.688B,,,418.00M,-184.00M,-5.75B,945.00M,,,-4.989B,,262.00M,-3.10B,287.00M,-2.813B,838.00M,,-295.00M,-2.27B,-83.00M,3.588B,3.505B,,-1.337B,-1.337B,-936.00M,-936.00M,101.00M,1.333B,6.941B,-675.00M,-346.00M,5.92B,,3.869B,-364.00M,-1.337B,,
2008-07,3.531B,,,1.738B,1.738B,,,80.00M,128.00M,308.00M,600.00M,,,1.036B,,6.385B,-2.627B,366.00M,-2.261B,-74.00M,,41.00M,-2.294B,-1.573B,-1.531B,-3.104B,,-809.00M,-809.00M,-938.00M,-938.00M,-320.00M,-5.171B,8.072B,-1.08B,-51.00M,6.941B,,2.127B,-4.339B,-809.00M,,
2008-04,3.151B,,,1.628B,1.628B,,,139.00M,450.00M,-213.00M,-1.376B,,,-1.139B,,3.779B,-2.447B,126.00M,-2.321B,,,88.00M,-2.233B,2.16B,892.00M,3.052B,,-1.375B,-1.375B,-940.00M,-940.00M,54.00M,791.00M,5.569B,2.337B,166.00M,8.072B,,2.521B,-361.00M,-1.375B,,
2008-01,4.516B,,,1.661B,1.661B,,,183.00M,-595.00M,4.262B,1.00B,,,4.667B,,11.02B,-4.041B,479.00M,-3.562B,-877.00M,,-8.00M,-4.447B,805.00M,-4.105B,-3.30B,,-2.412B,-2.412B,-879.00M,-879.00M,47.00M,-6.544B,5.547B,28.00M,-6.00M,5.569B,,-3.281B,-2.395B,-2.412B,,
2007-10,2.855B,,,1.596B,1.596B,,,220.00M,-224.00M,-4.973B,3.951B,,,-1.246B,,3.425B,-3.925B,159.00M,-3.766B,-251.00M,,-26.00M,-4.043B,2.913B,994.00M,3.907B,,-2.795B,-2.795B,-896.00M,-896.00M,-234.00M,-18.00M,6.094B,-636.00M,89.00M,5.547B,,10.63B,-1.236B,-2.795B,,
2007-07,3.072B,,,1.572B,1.572B,,,-369.00M,193.00M,1.216B,-1.333B,,,76.00M,,4.351B,-3.814B,149.00M,-3.665B,-1.00M,,-72.00M,-3.738B,-2.555B,3.499B,944.00M,,-1.541B,-1.541B,-903.00M,-903.00M,-159.00M,-1.659B,6.563B,-1.046B,183.00M,6.094B,,-1.34B,-3.203B,-1.541B,,
2007-04,2.826B,,,1.488B,1.488B,,,470.00M,62.00M,-1.28B,-1.719B,,,-2.937B,,1.847B,-3.157B,170.00M,-2.987B,-466.00M,,11.00M,-3.442B,938.00M,1.988B,2.926B,,-943.00M,-943.00M,-908.00M,-908.00M,-276.00M,799.00M,7.373B,-796.00M,-14.00M,6.563B,,5.158B,-2.232B,-943.00M,,
2007-01,3.95B,,,1.446B,1.446B,,,884.00M,-317.00M,4.924B,-806.00M,,,3.801B,0.00,10.17B,-4.249B,132.00M,-4.117B,0.00,,365.00M,-3.752B,2.666B,-5.393B,-2.727B,,-1.718B,-1.718B,-684.00M,-684.00M,-86.00M,-5.215B,5.908B,1.203B,50.00M,7.767B,,-283.00M,-1.251B,-1.718B,,
2006-10,2.594B,,,1.371B,1.371B,,,870.00M,-31.00M,-6.332B,4.332B,,,-2.031B,1.00M,2.805B,-4.605B,168.00M,-4.437B,610.00M,,-124.00M,-3.952B,-700.00M,1.903B,1.203B,,0.00,0.00,-710.00M,-710.00M,-31.00M,462.00M,6.617B,-685.00M,-24.00M,5.908B,,3.253B,-2.05B,0.00,,
2006-07,2.985B,,,1.348B,1.348B,,,-344.00M,-85.00M,-125.00M,-261.00M,,,-471.00M,2.00M,3.52B,-3.602B,-163.00M,-3.765B,0.00,,-85.00M,-3.796B,-392.00M,2.409B,2.017B,,0.00,0.00,-710.00M,-710.00M,-306.00M,1.001B,5.858B,725.00M,34.00M,6.617B,,2.945B,-1.04B,0.00,,
2006-04,2.66B,,,1.294B,1.294B,,,-99.00M,219.00M,259.00M,-545.00M,,,-67.00M,-48.00M,3.74B,-3.21B,257.00M,-2.953B,-68.00M,,67.00M,-2.963B,-473.00M,-112.00M,-585.00M,,0.00,0.00,-698.00M,-698.00M,-87.00M,-1.37B,6.414B,-593.00M,37.00M,5.858B,,1.284B,-1.757B,0.00,,
2006-01,3.621B,,,1.186B,1.186B,,,17.00M,-370.00M,4.921B,856.00M,,,5.407B,25.00M,10.13B,-4.15B,306.00M,-3.844B,-294.00M,,55.00M,-4.091B,504.00M,-3.666B,-3.162B,,0.00,0.00,-624.00M,-624.00M,266.00M,-3.52B,4.535B,2.516B,-31.00M,7.02B,,-2.211B,-247.00M,0.00,1.332B,333.00M
2005-10,2.422B,,,1.174B,1.174B,,,789.00M,-146.00M,-5.564B,2.927B,,,-2.783B,44.00M,1.646B,-3.925B,736.00M,-3.189B,-307.00M,,-409.00M,-3.964B,4.259B,-2.28B,1.979B,,0.00,0.00,-625.00M,-625.00M,-193.00M,1.161B,5.673B,-1.157B,19.00M,4.535B,,2.66B,-681.00M,0.00,1.293B,427.00M
2005-07,2.904B,,,1.153B,1.153B,,,-149.00M,-135.00M,799.00M,-446.00M,,,218.00M,-171.00M,3.955B,-3.683B,,-3.683B,0.00,,11.00M,-3.635B,1.467B,2.037B,3.504B,,-2.165B,-2.165B,-627.00M,-627.00M,-266.00M,446.00M,4.955B,766.00M,-48.00M,5.673B,,7.242B,-533.00M,-2.165B,2.527B,291.00M
2005-04,2.461B,,,1.132B,1.132B,,,-44.00M,185.00M,-1.917B,696.00M,,,-1.036B,,2.513B,-2.772B,,-2.772B,0.00,,276.00M,-2.496B,-1.508B,3.205B,1.697B,,-1.415B,-1.415B,-635.00M,-635.00M,-156.00M,-509.00M,5.488B,-492.00M,-41.00M,4.955B,,0.00,-1.508B,-1.415B,810.00M,339.00M
2005-01,3.379B,,,1.024B,1.024B,,,77.00M,-258.00M,4.117B,-871.00M,,,2.988B,,7.596B,-3.543B,,-2.618B,0.00,,-742.00M,-3.419B,747.00M,-3.758B,-3.011B,,-151.00M,-151.00M,-550.00M,-550.00M,218.00M,-3.494B,4.639B,683.00M,166.00M,5.488B,,-3.301B,-254.00M,-151.00M,996.00M,245.00M
2004-10,2.286B,,,1.093B,1.093B,,,283.00M,-114.00M,-5.342B,4.369B,,,-1.087B,,2.575B,-3.566B,,-3.566B,0.00,,368.00M,-3.198B,1.294B,743.00M,2.037B,,-890.00M,-890.00M,-552.00M,-552.00M,-70.00M,525.00M,4.709B,-98.00M,28.00M,4.639B,,3.54B,-1.503B,-890.00M,1.249B,483.00M
2004-07,2.651B,,,1.031B,1.031B,,,-119.00M,-67.00M,340.00M,170.00M,,,443.00M,,4.006B,-3.049B,,-3.049B,0.00,,97.00M,-2.952B,-522.00M,2.665B,2.143B,,-1.565B,-1.565B,-554.00M,-554.00M,-141.00M,-117.00M,3.828B,937.00M,-56.00M,4.709B,,2.684B,-541.00M,-1.565B,2.375B,142.00M
2004-04,2.166B,,,1.037B,1.037B,,,147.00M,137.00M,-1.63B,-990.00M,,,-2.483B,,867.00M,-2.645B,,-2.645B,-315.00M,,178.00M,-2.782B,1.978B,894.00M,2.872B,,-1.943B,-1.943B,-558.00M,-558.00M,106.00M,477.00M,5.199B,-1.438B,67.00M,3.828B,,2.909B,-37.00M,-1.943B,973.00M,293.00M
