,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.314B,101.20M,1.416B,1.137B,1.137B,198.20M,,,88.70M,2.840B,,,,,,,1.060B,-748.20M,312.20M,3.663B,1.541B,5.204B,107.20M,,136.60M,91.90M,5.912B,8.752B,,22.50M,4.40M,85.10M,,112.00M,312.30M,424.30M,11.70M,,89.90M,299.90M,389.80M,,389.80M,883.70M,883.70M,,33.30M,1.844B,,4.934B,,4.934B,363.20M,126.00M,587.80M,,260.40M,,217.20M,,420.80M,6.448B,8.292B,,3.40M,8.205B,538.60M,8.199B,,,-304.80M,242.90M,,AOR,Restated
2018-03,1.277B,100.50M,1.378B,1.207B,1.207B,151.20M,,,82.40M,2.819B,,,,,,,1.053B,-731.80M,321.60M,3.832B,1.642B,5.473B,100.40M,,142.50M,101.10M,6.195B,9.014B,,32.00M,4.80M,86.70M,,123.50M,314.90M,438.40M,9.90M,,89.90M,299.70M,389.60M,,389.60M,1.026B,1.026B,,,1.921B,,5.118B,,5.118B,382.20M,127.80M,611.70M,,256.00M,,220.30M,,525.30M,6.673B,8.594B,,3.40M,7.913B,506.60M,8.171B,,,-51.90M,199.70M,,AOR,Restated
2017-12,1.072B,111.80M,1.183B,1.147B,1.147B,186.60M,,,63.50M,2.581B,0.00,,,790.30M,,240.80M,1.031B,-706.00M,325.10M,3.753B,1.632B,5.385B,99.10M,,143.80M,26.40M,6.014B,8.594B,,21.80M,6.20M,79.20M,,107.20M,358.20M,465.40M,8.10M,,129.90M,299.50M,429.40M,,429.40M,905.80M,905.80M,,2.00M,2.063B,,5.111B,,5.111B,341.60M,140.00M,584.70M,,244.50M,3.50M,212.80M,,413.80M,6.646B,8.709B,,3.40M,7.465B,528.60M,8.153B,,,-172.20M,-327.70M,,AOR,Restated
2017-09,962.80M,108.30M,1.071B,1.007B,1.007B,164.80M,,,35.70M,2.279B,,,,,,,1.014B,-681.90M,332.10M,3.722B,1.633B,5.355B,83.40M,,170.20M,45.80M,6.026B,8.305B,,29.20M,5.30M,49.80M,,84.30M,272.10M,356.40M,9.80M,,314.80M,299.30M,614.10M,,614.10M,814.70M,814.70M,,,1.983B,,5.107B,,5.107B,452.60M,135.50M,692.70M,,268.30M,,212.30M,,360.60M,6.479B,8.462B,,3.40M,7.513B,495.60M,8.124B,,,-257.80M,-369.10M,,AOR,Restated
2017-06,3.281B,86.30M,3.367B,916.50M,916.50M,183.00M,,,51.20M,4.559B,,,,,,,975.40M,-645.70M,329.70M,1.054B,287.10M,1.342B,80.70M,,135.30M,44.50M,1.977B,6.536B,,25.00M,4.40M,53.60M,,83.00M,267.60M,350.60M,10.20M,,,,,,,771.90M,771.90M,,,1.237B,,4.887B,,4.887B,107.60M,132.20M,342.60M,,259.40M,,212.30M,,236.70M,5.767B,7.004B,,3.40M,7.270B,465.50M,8.109B,,,-309.70M,-679.80M,,AOR,Restated
2017-03,2.130B,132.80M,2.262B,953.50M,953.50M,249.20M,,,20.40M,3.486B,,,,,,,949.60M,-620.50M,329.10M,1.030B,289.80M,1.319B,86.90M,,135.10M,35.40M,1.950B,5.436B,,24.10M,4.50M,40.30M,,68.90M,226.50M,295.40M,10.10M,,213.80M,,213.80M,,213.80M,848.50M,848.50M,,,1.424B,,3.862B,,3.862B,105.00M,132.50M,334.80M,,272.50M,,202.90M,,229.70M,4.736B,6.160B,,3.40M,7.031B,447.00M,8.051B,,,-357.30M,-927.10M,,AOR,Restated
2016-12,2.052B,173.40M,2.225B,887.40M,887.40M,112.70M,,,28.10M,3.253B,0.00,,,688.30M,,233.10M,921.40M,-595.50M,325.90M,1.024B,296.40M,1.32B,26.30M,,316.10M,42.40M,2.074B,5.327B,,28.40M,78.50M,16.80M,,123.70M,1.124B,1.248B,11.10M,,0.00,300.00M,300.00M,,300.00M,712.30M,712.30M,,,2.428B,,3.063B,,3.063B,104.30M,134.10M,336.70M,,264.10M,,197.70M,,227.30M,3.926B,6.355B,,3.40M,6.689B,477.20M,8.030B,,,-364.90M,-1.225B,,AOR,Restated
2016-09,1.746B,311.80M,2.058B,831.40M,831.40M,103.10M,,0.00,24.50M,3.017B,,,,,,,911.30M,-581.70M,329.60M,1.041B,307.80M,1.349B,18.60M,,169.60M,63.60M,2.002B,5.019B,,28.00M,7.10M,7.90M,,43.00M,250.60M,293.60M,21.70M,,,299.90M,299.90M,,299.90M,679.50M,679.50M,0.00,,1.402B,,3.118B,,3.118B,107.50M,135.00M,341.40M,,256.10M,,206.60M,,224.30M,3.975B,5.377B,,3.40M,7.261B,450.40M,7.974B,,,-305.70M,-564.50M,,AOR,Restated
2016-06,1.674B,352.50M,2.027B,843.70M,843.70M,126.10M,,0.00,33.50M,3.030B,,,,,,,883.60M,-560.60M,323.00M,1.047B,319.20M,1.366B,16.20M,,167.20M,70.60M,2.015B,5.045B,,35.60M,6.70M,21.70M,,64.00M,270.30M,334.30M,25.10M,,,,,,,718.00M,718.00M,0.00,,1.146B,,3.420B,,3.420B,111.40M,134.10M,343.50M,,248.00M,,230.50M,,222.20M,4.268B,5.414B,,3.40M,7.078B,457.30M,7.822B,,,-316.80M,-600.00M,,AOR,Restated
2016-03,1.576B,490.60M,2.067B,852.10M,852.10M,143.30M,,0.00,23.20M,3.085B,,,,,,,852.10M,-541.60M,310.50M,1.051B,329.20M,1.380B,30.30M,,176.20M,65.60M,2.030B,5.115B,,14.40M,6.80M,41.50M,,62.70M,242.00M,304.70M,18.80M,,,,,,,787.30M,787.30M,0.00,,1.152B,,3.429B,,3.429B,118.60M,135.10M,352.60M,,270.00M,,230.10M,,229.70M,4.314B,5.466B,,3.40M,6.895B,431.70M,7.610B,,,-301.50M,-581.60M,,AOR,Restated
2015-12,1.757B,474.80M,2.232B,802.00M,802.00M,150.20M,,29.30M,29.40M,3.243B,0.00,,,604.50M,,220.80M,825.30M,-518.90M,306.40M,976.30M,299.10M,1.275B,28.70M,,137.70M,45.30M,1.860B,5.103B,,22.20M,78.20M,11.50M,,111.90M,267.00M,378.90M,19.70M,,,,,,,659.80M,676.50M,16.70M,,1.218B,,3.381B,,3.381B,83.80M,132.50M,314.70M,,261.70M,,232.00M,,230.90M,4.218B,5.436B,,3.40M,6.709B,451.30M,7.389B,,,-339.50M,-565.00M,,AOR,Restated
2015-09,1.471B,470.20M,1.941B,720.50M,720.50M,126.70M,,36.60M,37.00M,2.862B,,,,,,,807.50M,-501.40M,306.10M,990.00M,308.80M,1.299B,25.80M,,132.70M,76.00M,1.911B,4.773B,,17.60M,6.70M,12.00M,,36.30M,222.20M,258.50M,23.80M,,,,,,,644.50M,660.00M,15.50M,,1.050B,,3.124B,,3.124B,84.30M,128.40M,312.20M,,230.10M,,229.70M,,265.40M,3.963B,5.013B,,3.40M,6.632B,424.80M,7.210B,,,-320.30M,-469.90M,,AOR,Restated
2015-06,1.539B,508.90M,2.048B,801.30M,801.30M,126.90M,,39.60M,48.70M,3.064B,,,,,,,794.00M,-489.40M,304.60M,1.007B,322.60M,1.329B,22.20M,,145.70M,75.90M,1.936B,5.000B,,16.60M,6.30M,23.50M,,46.40M,242.60M,289.00M,28.90M,,,,,,,709.40M,727.00M,17.60M,,1.125B,,3.106B,,3.106B,90.10M,132.40M,324.00M,,245.50M,,227.80M,,266.40M,3.978B,5.103B,,3.40M,6.468B,396.70M,6.919B,,,-280.80M,-331.20M,,AOR,Restated
2015-03,1.510B,485.50M,1.995B,842.70M,842.70M,127.20M,,36.80M,37.20M,3.039B,,,,,,,766.90M,-467.60M,299.30M,988.00M,328.00M,1.316B,23.40M,,154.70M,84.20M,1.937B,4.976B,,21.10M,3.90M,50.40M,,75.40M,220.10M,295.50M,22.10M,,,,,,,759.00M,780.30M,21.30M,,1.138B,,3.095B,,3.095B,90.00M,132.30M,324.10M,,251.10M,,227.50M,,281.00M,3.984B,5.122B,,3.40M,6.276B,370.60M,6.702B,,,-322.40M,-373.70M,,AOR,Restated
2014-12,1.220B,458.10M,1.678B,792.40M,792.40M,125.30M,,43.90M,47.20M,2.686B,0.00,,,533.10M,,220.70M,753.80M,-451.50M,302.30M,1.021B,345.50M,1.367B,21.60M,,167.80M,65.00M,1.983B,4.669B,,19.40M,75.00M,16.10M,,110.50M,239.00M,349.50M,21.50M,,,,,,,641.60M,659.10M,17.50M,,1.200B,,2.547B,,2.547B,95.70M,132.20M,332.10M,,244.80M,,230.70M,,272.80M,3.426B,4.626B,,3.40M,6.044B,383.90M,6.384B,,,-235.20M,-187.80M,,AOR,Restated
2014-09,1.941B,164.80M,2.106B,712.20M,712.20M,154.30M,,46.90M,42.90M,3.062B,,,,,,,730.50M,-427.00M,303.50M,1.000B,349.80M,1.350B,20.00M,,136.00M,67.00M,1.932B,4.994B,,17.60M,4.90M,22.10M,,44.60M,212.80M,257.40M,19.10M,,,,,,,633.10M,641.40M,8.30M,,1.042B,,2.536B,,2.536B,114.80M,123.20M,344.20M,,166.10M,,229.60M,137.60M,260.60M,3.472B,4.513B,,3.40M,5.936B,402.30M,5.958B,,,-133.60M,250.70M,,AOR,Restated
2014-06,1.777B,182.00M,1.959B,758.30M,758.30M,148.60M,,49.70M,28.40M,2.944B,,,,,,,713.20M,-414.90M,298.30M,955.20M,310.50M,1.266B,17.30M,,130.90M,74.00M,1.842B,4.787B,,20.40M,4.40M,33.20M,,58.00M,242.70M,300.70M,26.60M,,,,,,,684.20M,685.80M,1.60M,,1.093B,,2.104B,,2.104B,112.20M,120.80M,341.50M,,161.70M,,228.50M,122.60M,257.20M,3.019B,4.113B,,3.40M,5.781B,385.00M,5.676B,,,-47.30M,445.40M,,AOR,Restated
2014-03,1.792B,177.30M,1.970B,737.90M,737.90M,99.80M,75.40M,43.40M,19.80M,2.946B,,,,,,,673.50M,-391.20M,282.30M,656.60M,212.80M,869.40M,39.90M,,149.30M,56.20M,1.408B,4.353B,,16.50M,4.10M,0.40M,,21.00M,222.90M,243.90M,27.10M,,,,,,,716.50M,718.90M,2.40M,,1.027B,,2.098B,,2.098B,72.40M,110.60M,291.20M,,170.10M,,8.00M,106.50M,237.10M,2.933B,3.960B,,3.40M,5.522B,371.20M,5.450B,,,-61.30M,385.30M,,AOR,Restated
2013-12,1.920B,186.80M,2.106B,694.20M,694.20M,88.10M,,53.90M,26.30M,2.969B,0.00,,,455.20M,,199.20M,654.40M,-375.70M,278.70M,665.20M,221.60M,886.80M,37.50M,,148.70M,64.30M,1.426B,4.395B,,16.40M,65.50M,47.50M,,129.40M,217.30M,346.70M,27.60M,,,,,,,620.10M,624.10M,4.00M,,1.141B,,2.102B,,2.102B,59.10M,109.20M,274.60M,,164.00M,,10.90M,80.00M,252.10M,2.906B,4.047B,,3.40M,5.302B,405.80M,5.320B,,,-54.60M,337.00M,,AOR,Restated
2013-09,1.835B,209.60M,2.045B,592.00M,592.00M,86.00M,,46.70M,12.80M,2.782B,,,,,,,643.30M,-359.00M,284.30M,630.80M,198.20M,829.00M,35.90M,,165.10M,48.90M,1.372B,4.154B,,10.00M,3.90M,3.60M,,17.50M,167.80M,185.30M,28.40M,,,,,,,583.90M,584.90M,,,897.20M,,2.099B,,2.099B,54.50M,105.20M,266.30M,,212.50M,,10.40M,81.50M,251.90M,2.965B,3.863B,,3.40M,5.211B,377.10M,5.209B,,,-100.20M,281.50M,,AOR,Restated
2013-06,1.633B,17.90M,1.651B,607.70M,607.70M,136.80M,,36.50M,10.80M,2.443B,,,,,,,630.80M,-343.40M,287.40M,619.80M,202.00M,821.80M,35.10M,,152.50M,45.80M,1.352B,3.794B,,14.90M,3.40M,2.40M,,20.70M,165.60M,186.30M,36.10M,,,,,,,607.30M,608.30M,,,897.10M,,1.605B,,1.605B,54.40M,104.80M,264.90M,,206.80M,,9.20M,78.70M,232.50M,2.440B,3.338B,,3.40M,5.082B,358.70M,4.847B,,,-149.90M,447.60M,,AOR,Restated
2013-03,1.758B,11.60M,1.770B,637.20M,637.20M,65.90M,,32.10M,15.50M,2.520B,,,,,,,624.20M,-328.10M,296.10M,623.80M,212.70M,836.50M,40.00M,,158.20M,50.30M,1.391B,3.911B,,16.10M,2.50M,5.90M,,24.50M,162.70M,187.20M,111.90M,,,31.90M,31.90M,,31.90M,646.00M,647.00M,,,1.013B,,1.610B,,1.610B,55.90M,102.80M,265.50M,,219.10M,,7.80M,75.30M,212.90M,2.433B,3.446B,,3.40M,4.902B,342.80M,4.652B,,,-138.80M,457.10M,,AOR,Restated
2012-12,1.755B,17.90M,1.773B,621.80M,621.80M,79.10M,,38.70M,12.80M,2.526B,0.00,,,423.90M,,197.50M,621.40M,-314.30M,307.10M,637.10M,226.50M,863.60M,38.30M,,168.50M,47.70M,1.435B,3.961B,,14.30M,47.70M,56.10M,,118.10M,180.30M,298.40M,55.80M,,,63.80M,63.80M,,63.80M,567.30M,567.30M,0.00,,1.165B,,1.607B,,1.607B,58.10M,94.90M,263.20M,,213.30M,,11.40M,72.30M,195.50M,2.399B,3.564B,,3.40M,4.713B,365.10M,4.614B,,,-82.10M,385.20M,,AOR,Restated
2012-09,1.518B,22.70M,1.541B,549.60M,549.60M,58.50M,,46.10M,10.40M,2.206B,,,,,,,613.50M,-297.90M,315.60M,646.30M,233.30M,879.60M,40.90M,,156.80M,63.60M,1.456B,3.662B,,14.60M,2.80M,22.90M,57.10M,97.40M,80.80M,178.20M,,,,,95.60M,,95.60M,525.70M,525.70M,0.00,,982.90M,,1.612B,,1.612B,197.10M,203.70M,400.80M,,194.50M,,79.70M,,34.60M,2.288B,3.271B,,3.40M,4.634B,375.50M,4.616B,,,-85.80M,311.60M,,AOR,Restated
2012-06,824.10M,15.40M,839.50M,530.50M,530.50M,102.20M,,39.60M,7.60M,1.519B,,,,,,,604.00M,-286.60M,317.40M,638.10M,238.00M,876.10M,44.20M,,150.90M,55.90M,1.444B,2.964B,,18.00M,2.50M,18.70M,49.20M,88.40M,39.60M,128.00M,,,,,127.50M,,127.50M,569.80M,569.80M,0.00,46.50M,995.20M,,1.111B,,1.111B,189.10M,204.00M,393.10M,,189.10M,,79.70M,,43.10M,1.790B,2.785B,,3.40M,4.486B,367.80M,4.638B,,,-120.80M,99.10M,,AOR,Restated
2012-03,814.70M,13.30M,828.00M,589.20M,589.20M,,,41.40M,68.00M,1.527B,,,,,,,599.10M,-274.30M,324.80M,656.30M,249.30M,905.60M,,,147.30M,90.10M,1.468B,2.994B,,16.80M,2.10M,12.60M,,31.50M,266.20M,297.70M,,,,,99.40M,,99.40M,609.30M,610.60M,,,1.012B,,1.137B,,1.137B,60.80M,95.90M,156.70M,,,,77.90M,,528.20M,1.822B,2.834B,,3.40M,4.35B,357.00M,4.549B,,,-78.70M,82.70M,,AOR,Restated
2011-12,760.00M,14.80M,774.80M,489.80M,489.80M,72.20M,,82.20M,5.40M,1.424B,0.00,,,389.20M,,195.80M,585.00M,-258.20M,326.80M,642.90M,253.60M,896.50M,37.20M,,146.40M,32.60M,1.452B,2.876B,,16.40M,38.20M,23.40M,,78.00M,202.90M,280.90M,27.10M,,,,71.30M,,71.30M,538.00M,539.70M,,90.00M,1.134B,,1.172B,,1.172B,49.60M,97.70M,256.10M,,187.50M,,10.60M,60.50M,159.50M,1.900B,3.034B,,3.40M,4.176B,394.50M,4.636B,,,-107.50M,-169.00M,,AOR,Restated
2011-09,854.20M,13.30M,867.50M,400.50M,400.50M,,,42.20M,49.80M,1.36B,,,,,,,568.10M,-244.40M,323.70M,451.10M,153.00M,604.10M,,,172.10M,61.40M,1.161B,2.521B,,,,,,,,311.20M,,,,,43.10M,,43.10M,480.60M,480.60M,,,834.90M,,1.201B,,1.201B,31.10M,96.40M,127.50M,,,,9.80M,,532.20M,1.861B,2.696B,,3.40M,4.147B,386.70M,4.651B,,,-70.50M,-184.00M,,AOR,Restated
2011-06,938.50M,11.00M,949.50M,492.60M,492.60M,,,44.30M,56.70M,1.543B,,,,,,,557.90M,-232.70M,325.20M,470.40M,166.80M,637.20M,,,181.10M,58.00M,1.202B,2.745B,,8.60M,1.90M,12.30M,64.30M,87.10M,215.00M,302.10M,,,,,15.00M,,15.00M,534.90M,534.90M,,,852.00M,,1.228B,,1.228B,35.00M,96.00M,131.00M,,,,9.50M,,550.20M,1.909B,2.761B,,3.40M,4.049B,369.10M,4.449B,,,1.50M,-26.10M,,AOR,Restated
2011-03,719.50M,6.70M,726.20M,503.40M,503.40M,,,42.20M,67.80M,1.340B,,,,,,,538.90M,-214.30M,324.60M,463.30M,167.70M,631.00M,,,176.50M,52.70M,1.185B,2.524B,,,,,,,,273.90M,,,0.00,13.10M,13.10M,,13.10M,554.00M,554.00M,,,841.00M,,1.221B,,1.221B,35.00M,95.30M,130.30M,,,,8.70M,,555.20M,1.907B,2.748B,,3.40M,3.892B,367.20M,4.485B,,,-9.40M,-231.90M,,AOR,Restated
2010-12,659.60M,12.70M,672.30M,497.50M,497.50M,122.10M,,45.30M,5.80M,1.343B,0.00,,,331.50M,,188.60M,520.10M,-200.80M,319.30M,465.50M,168.80M,634.30M,30.80M,,187.90M,25.00M,1.197B,2.540B,,14.30M,27.90M,26.90M,,69.10M,283.20M,352.30M,,,,,11.30M,,11.30M,508.10M,510.80M,,49.90M,933.80M,,1.228B,,1.228B,36.90M,197.00M,233.90M,33.70M,132.80M,,11.20M,,276.20M,1.905B,2.839B,,3.40M,3.736B,391.50M,4.407B,,,-33.40M,-309.60M,,AOR,Restated
2010-09,793.70M,10.80M,804.50M,410.60M,410.60M,,,47.10M,39.20M,1.301B,,,,,,,505.00M,-197.50M,307.50M,355.20M,93.30M,448.50M,,,227.80M,63.00M,1.047B,2.348B,,,,,,,,321.00M,,,15.00M,9.40M,24.40M,,24.40M,447.20M,447.20M,,,792.60M,,1.236B,,1.236B,15.90M,96.90M,112.80M,,,,10.10M,,504.80M,1.853B,2.646B,,3.40M,3.650B,384.10M,4.321B,,,-24.60M,-307.70M,,AOR,Restated
2010-06,485.90M,7.70M,493.60M,389.10M,389.10M,,,42.50M,34.80M,960.00M,,,,,,,481.40M,-183.10M,298.30M,345.10M,93.10M,438.20M,,,208.20M,53.00M,997.70M,1.958B,,,,,,,,248.60M,,,356.40M,7.50M,363.90M,,363.90M,481.70M,481.70M,,,1.094B,,742.50M,,742.50M,21.10M,99.40M,120.50M,,,,8.20M,,492.40M,1.355B,2.450B,,3.40M,3.539B,372.70M,4.332B,,,-83.30M,-500.10M,,AOR,Restated
