,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,669.00M,-363.00M,,,783.00M,420.00M,1.368B,547.00M,1.915B,1.915B,504.00M,0.00,-1.796B,-390.00M,-496.00M,-556.00M,,-346.00M,-1.788B,-288.00M,-987.00M,,-1.557B,1.147B,-327.00M,-83.00M,2.349B,,3.806B,6.003B,,-6.82B,-770.00M,-7.59B,,8.00M,2.00M,,,-1.193B,-1.193B,-239.00M,-9.014B,,32.00B,-3.962B,-493.00M,27.54B,,35.00M,,343.00M,-7.163B,8.00M,,AOR,Restated
2018-03,-1.113B,63.00M,,0.00,642.00M,705.00M,1.272B,602.00M,1.874B,1.874B,-50.00M,,4.00M,752.00M,-1.019B,-224.00M,,-299.00M,-790.00M,-5.00M,312.00M,,-1.887B,624.00M,-1.166B,-97.00M,12.00M,,743.00M,-566.00M,,-9.057B,-1.281B,-10.34B,,-8.00M,-8.00M,,,-1.043B,-1.043B,-501.00M,-11.90B,,44.72B,-12.93B,208.00M,32.00B,,-779.00M,,199.00M,-9.256B,-8.00M,,AOR,Restated
2017-12,-10.87B,,,0.00,,1.775B,617.00M,149.00M,766.00M,766.00M,-1.538B,1.603B,12.47B,-5.25B,2.05B,1.69B,,1.688B,178.00M,1.204B,3.662B,,-1.607B,1.762B,191.00M,-36.00M,3.509B,,-2.641B,2.635B,,-5.26B,1.168B,-4.092B,,2.62B,70.00M,,,-2.233B,-2.233B,556.00M,-2.161B,,40.45B,-3.264B,-362.00M,36.82B,,-7.40B,,1.542B,-6.802B,2.62B,,AOR,Restated
2017-09,1.191B,,,0.00,,0.00,1.397B,630.00M,2.027B,2.027B,-699.00M,947.00M,-1.304B,-820.00M,-1.084B,738.00M,,-544.00M,-1.71B,405.00M,857.00M,,-1.923B,1.602B,-176.00M,-145.00M,-525.00M,,1.478B,435.00M,,-4.212B,-281.00M,-4.493B,,112.00M,112.00M,,,-2.085B,-2.085B,328.00M,-6.142B,,44.56B,-4.825B,715.00M,40.45B,,25.00M,,301.00M,-4.513B,112.00M,,AOR,Restated
2017-06,1.019B,,,,,,1.125B,544.00M,1.669B,1.669B,-247.00M,,916.00M,0.00,173.00M,-38.00M,,-1.138B,-1.003B,-237.00M,2.117B,,-1.966B,1.354B,-469.00M,-143.00M,-1.612B,,1.887B,-400.00M,,3.471B,35.00M,3.506B,,-2.732B,-1.154B,,,-2.248B,-2.248B,-9.00M,97.00M,,42.04B,2.112B,405.00M,44.56B,,298.00M,,8.71B,-5.239B,-2.732B,,AOR,Restated
2017-03,-187.00M,,,0.00,,0.00,1.193B,539.00M,1.732B,1.732B,-324.00M,,-440.00M,2.168B,-815.00M,-309.00M,,-1.249B,-205.00M,-658.00M,-82.00M,,-1.60B,812.00M,-658.00M,-130.00M,-886.00M,,5.62B,2.709B,,-8.34B,777.00M,-7.563B,,,-1.578B,,,-2.084B,-2.084B,-960.00M,-10.28B,,50.38B,-8.475B,133.00M,42.04B,,-824.00M,,326.00M,-8.666B,,,AOR,Restated
2016-12,2.047B,,,0.00,,-824.00M,1.356B,,3.429B,3.429B,-2.377B,,5.879B,697.00M,1.779B,2.924B,,,2.783B,-624.00M,3.033B,,-2.839B,1.021B,-1.069B,,-1.257B,,5.442B,7.632B,,-7.954B,-114.00M,-8.068B,,,-3.46B,,,-2.195B,-2.195B,-2.342B,-15.57B,,52.53B,-3.59B,-977.00M,48.78B,,1.314B,,314.00M,-8.268B,,,AOR,Restated
2016-09,2.027B,,,0.00,,0.00,1.136B,,1.136B,1.136B,572.00M,,-209.00M,-1.116B,35.00M,-613.00M,,,-1.694B,-870.00M,962.00M,,-2.057B,2.181B,124.00M,,-1.06B,,1.705B,9.735B,,-4.71B,-1.779B,-6.489B,,,-3.677B,,,-2.103B,-2.103B,-156.00M,-11.42B,,52.12B,552.00M,-145.00M,52.53B,,1.275B,,323.00M,-5.033B,,,AOR,Restated
2016-06,2.909B,,,0.00,,0.00,1.295B,,1.295B,1.295B,830.00M,,-4.396B,866.00M,-1.138B,-248.00M,,,-520.00M,-3.597B,-3.479B,,-1.496B,906.00M,-590.00M,,5.364B,,6.573B,-15.00M,,-30.69B,-225.00M,-30.92B,,,-7.966B,,,-2.274B,-2.274B,399.00M,-41.36B,,75.08B,-22.90B,-55.00M,52.12B,,21.95B,,396.00M,-31.09B,,,AOR,Restated
2016-03,228.00M,,,0.00,,0.00,1.21B,,1.21B,1.21B,-158.00M,,204.00M,1.013B,-1.491B,890.00M,,,412.00M,-1.252B,644.00M,,-1.556B,316.00M,-1.24B,,39.00M,,-10.61B,31.78B,,-13.92B,983.00M,-12.94B,,,-6.326B,,,-2.234B,-2.234B,-508.00M,-22.12B,,90.88B,-15.83B,31.00M,75.08B,,-26.14B,,459.00M,-14.38B,,,AOR,Restated
2015-12,6.301B,,,,,,1.293B,,1.293B,1.293B,-2.017B,,993.00M,-961.00M,1.452B,-648.00M,,,-157.00M,332.00M,6.745B,,-3.28B,614.00M,-1.888B,,-8.76B,,-17.04B,-283.00M,,-9.874B,-7.84B,-17.71B,,,-1.734B,,,-2.334B,-2.334B,-208.00M,-26.25B,,83.87B,-13.44B,52.00M,70.48B,,6.348B,,957.00M,-10.83B,,,AOR,Restated
2015-09,2.506B,,,0.00,,0.00,1.265B,,1.265B,1.265B,90.00M,,543.00M,-694.00M,-617.00M,-580.00M,,,-1.891B,-1.752B,761.00M,,-1.584B,1.125B,-459.00M,,517.00M,,3.174B,43.22B,,-13.11B,-14.55B,-27.66B,,,136.00M,,,-2.326B,-2.326B,-1.239B,-31.10B,,78.36B,6.137B,-629.00M,83.87B,,-6.751B,,-142.00M,-12.97B,,,AOR,Restated
2015-06,-1.36B,,,0.00,,0.00,1.188B,,1.188B,1.188B,46.00M,,1.975B,-998.00M,-884.00M,962.00M,,,-920.00M,5.366B,6.295B,,-1.727B,914.00M,-813.00M,,200.00M,,2.236B,12.71B,,-5.676B,-2.261B,-7.937B,,,260.00M,,,-2.316B,-2.316B,-117.00M,-10.46B,,68.74B,8.685B,939.00M,78.36B,,145.00M,,4.774B,-10.45B,,,AOR,Restated
2015-03,-13.57B,,,0.00,,0.00,1.101B,,1.101B,1.101B,2.264B,,11.14B,2.601B,-265.00M,-1.271B,,,1.065B,4.088B,6.09B,,-1.496B,367.00M,-1.129B,,-1.701B,,8.435B,3.839B,,-4.426B,189.00M,-4.237B,,,239.00M,,,-2.319B,-2.319B,-43.00M,-8.246B,,91.02B,-18.46B,-3.826B,68.74B,,-20.14B,,8.362B,-12.79B,,,AOR,Restated
2014-12,5.152B,,,0.00,,0.00,1.133B,,1.133B,1.133B,425.00M,,720.00M,-1.222B,1.896B,-546.00M,,,128.00M,6.599B,11.46B,,-2.157B,493.00M,-1.664B,,22.00M,,19.20B,-3.115B,,-22.66B,-340.00M,-23.00B,-2.842B,1.359B,-2.701B,,,-2.209B,-2.209B,-378.00M,-5.877B,,85.60B,-13.45B,-2.132B,70.02B,,-15.92B,-2.842B,-21.91B,-756.00M,1.359B,,AOR,Restated
2014-09,3.537B,,,0.00,,0.00,1.425B,,1.425B,1.425B,894.00M,,-342.00M,-715.00M,-440.00M,-351.00M,,,-1.506B,1.169B,6.035B,,-1.284B,944.00M,-340.00M,,34.00M,,457.00M,-1.801B,,1.986B,-2.148B,-162.00M,2.842B,-1.359B,2.864B,,,-2.211B,-2.211B,-196.00M,1.287B,,81.85B,5.312B,-1.556B,85.60B,,-209.00M,2.842B,15.10B,-13.11B,-1.359B,,AOR,Restated
2014-06,3.545B,,,0.00,,0.00,206.00M,,206.00M,206.00M,-172.00M,,-1.706B,-458.00M,-883.00M,310.00M,,,-1.031B,3.556B,5.249B,,-332.00M,222.00M,-110.00M,,-83.00M,,-329.00M,-1.91B,,-1.528B,-591.00M,-2.119B,,,-44.00M,,,-2.209B,-2.209B,-144.00M,-3.865B,,86.73B,-5.009B,123.00M,81.85B,,-4.483B,,11.49B,-13.02B,,,AOR,Restated
2014-03,2.999B,,,0.00,,0.00,2.189B,,2.189B,2.189B,-2.029B,,792.00M,482.00M,-1.445B,637.00M,,,-326.00M,352.00M,4.961B,,-3.361B,1.264B,-2.097B,,-1.434B,,5.338B,1.792B,,-1.574B,-3.33B,-4.904B,,,-1.337B,,,-2.223B,-2.223B,66.00M,-8.501B,,88.79B,-2.126B,73.00M,86.73B,,-378.00M,,9.95B,-11.52B,,,AOR,Restated
2013-12,3.206B,,,0.00,,0.00,-1.95B,,-1.95B,-1.95B,-1.497B,,494.00M,-681.00M,427.00M,445.00M,,,191.00M,14.16B,11.35B,,3.375B,-1.403B,1.972B,,-5.692B,,15.32B,-2.905B,,956.00M,-4.099B,-3.143B,,-1.782B,-1.782B,0.00,0.00,-1.926B,-1.926B,-943.00M,-6.578B,,86.46B,-7.60B,243.00M,79.17B,,-9.465B,0.00,-871.00M,1.827B,-1.782B,,AOR,Restated
2013-09,3.191B,,,0.00,,0.00,2.577B,,2.577B,2.577B,-267.00M,,-120.00M,-27.00M,-343.00M,-675.00M,,,-1.045B,106.00M,5.231B,,-2.912B,1.559B,-1.353B,,-7.716B,,4.239B,-4.923B,,4.426B,-2.781B,1.645B,0.00,-7.496B,-1.896B,0.00,0.00,-1.94B,-1.94B,11.00M,-2.179B,,,10.04B,-327.00M,86.46B,,-14.00M,0.00,13.26B,-8.83B,-7.496B,,AOR,Restated
2013-06,3.133B,,,,,,2.266B,,2.266B,2.266B,-265.00M,,828.00M,-339.00M,-475.00M,1.216B,,,402.00M,-53.00M,7.321B,,-3.573B,1.731B,-1.842B,,545.00M,,6.76B,5.46B,,-11.47B,2.681B,-8.788B,,,-3.867B,990.00M,990.00M,-1.972B,-1.972B,-261.00M,-13.86B,,89.73B,-12.98B,3.00M,,,20.00M,990.00M,11.69B,-23.16B,,,AOR,Restated
2013-03,3.527B,,,0.00,,0.00,2.309B,,2.309B,2.309B,-1.511B,,-2.004B,562.00M,-977.00M,1.348B,,,933.00M,-101.00M,4.61B,,-3.644B,829.00M,-2.815B,,23.35B,,10.86B,31.48B,,-9.181B,-9.849B,-19.03B,,,-1.733B,,,-1.983B,-1.983B,-195.00M,-22.96B,,77.46B,12.98B,-714.00M,89.73B,,-158.00M,,14.28B,-23.46B,,,AOR,Restated
2012-12,4.011B,,,0.00,,0.00,2.493B,,2.493B,2.493B,403.00M,,3.949B,-993.00M,675.00M,-563.00M,,,-881.00M,174.00M,11.25B,,-4.619B,1.348B,-3.271B,,2.473B,,-299.00M,-1.233B,,-12.73B,-1.571B,-14.30B,,,-1.884B,0.00,0.00,-1.788B,-1.788B,-175.00M,-18.17B,,85.46B,-8.229B,35.00M,77.27B,,-81.00M,0.00,20.81B,-33.54B,,,AOR,Restated
2012-09,3.491B,,,0.00,,0.00,2.287B,,2.287B,2.287B,-1.362B,,1.856B,-4.00M,-304.00M,-1.334B,,,-1.642B,109.00M,5.861B,,-3.202B,2.119B,-1.083B,,-34.00M,,8.898B,7.897B,,-2.037B,71.00M,-1.966B,,,-1.775B,1.733B,1.733B,-1.80B,-1.80B,-367.00M,-4.175B,,74.30B,9.585B,1.581B,85.46B,,2.00M,1.733B,15.50B,-17.54B,,,AOR,Restated
2012-06,3.105B,,,0.00,,0.00,2.192B,,2.192B,2.192B,-245.00M,,2.87B,-345.00M,-212.00M,-417.00M,,,-974.00M,60.00M,7.751B,,-4.012B,898.00M,-3.114B,,-171.00M,,2.671B,-681.00M,,-12.81B,83.00M,-12.72B,,,-632.00M,2.227B,2.227B,-1.802B,-1.802B,-2.20B,-15.13B,,83.65B,-8.054B,-1.30B,74.30B,,8.00M,2.227B,14.73B,-27.54B,,,AOR,Restated
2012-03,3.034B,,,0.00,,0.00,2.22B,,2.22B,2.22B,52.00M,,337.00M,463.00M,-1.433B,957.00M,,,-13.00M,-27.00M,6.466B,,-3.286B,1.819B,-1.467B,,-106.00M,,6.866B,5.319B,,-10.90B,-814.00M,-11.71B,,,127.00M,,,-1.799B,-1.799B,-216.00M,-13.60B,,84.62B,-1.934B,962.00M,83.65B,,-120.00M,,14.43B,-25.33B,,,AOR,Restated
2011-12,3.685B,,,,,,,,,2.042B,2.009B,,283.00M,-3.903B,1.24B,-1.256B,,679.00M,-3.24B,427.00M,9.136B,,-3.586B,1.23B,-2.356B,,-8.702B,,69.00M,-2.535B,,-12.84B,6.721B,-6.115B,,,125.00M,0.00,-3.30B,,-1.662B,-719.00M,-11.58B,,91.50B,-5.158B,-1.902B,84.44B,,,0.00,12.68B,-24.74B,,,AOR,Restated
2011-09,3.33B,,,,,,,,,2.35B,957.00M,,1.344B,3.19B,-196.00M,137.00M,,-244.00M,2.887B,147.00M,9.083B,,-2.513B,1.132B,-1.381B,,1.628B,,1.571B,1.643B,,-6.877B,778.00M,-6.099B,,,-886.00M,0.00,0.00,,-1.668B,-367.00M,-9.02B,,91.21B,1.706B,-1.419B,91.50B,,,0.00,8.347B,-14.45B,,,AOR,Restated
2011-06,3.644B,,,,,,,,,2.302B,-1.77B,,5.495B,-2.082B,-924.00M,-53.00M,,-1.557B,-4.616B,457.00M,7.444B,,-3.369B,1.732B,-1.637B,,388.00M,,5.188B,3.489B,,-630.00M,-569.00M,-1.199B,,,-301.00M,0.00,0.00,,-1.564B,-631.00M,-3.695B,,82.32B,7.238B,1.652B,91.21B,,,0.00,12.73B,-13.93B,,,AOR,Restated
2011-03,3.492B,,,,,,,,,2.292B,-1.40B,,-94.00M,2.125B,-1.288B,1.23B,,1.122B,3.189B,217.00M,7.696B,,-3.169B,1.773B,-1.396B,,4.361B,,14.48B,17.28B,,-14.86B,-979.00M,-15.84B,,,-394.00M,,,,-1.564B,-4.728B,-22.57B,,79.08B,2.41B,828.00M,82.32B,,,,16.75B,-32.59B,,,AOR,Restated
2010-12,2.723B,,,,,,,,,2.337B,2.755B,,2.006B,-749.00M,460.00M,-1.452B,,1.291B,-450.00M,-983.00M,9.649B,,-5.41B,4.111B,-1.299B,,-361.00M,,-1.838B,-2.106B,,-1.234B,758.00M,-476.00M,,,-825.00M,,,,-1.356B,-5.585B,-7.86B,,78.51B,-459.00M,892.00M,78.94B,,,,20.90B,-20.14B,,,AOR,Restated
2010-09,3.264B,,,,,,,,,2.611B,-175.00M,,2.143B,-203.00M,-640.00M,615.00M,,161.00M,-67.00M,535.00M,9.948B,,-1.399B,604.00M,-795.00M,,-448.00M,,8.208B,6.808B,,-10.89B,-762.00M,-11.66B,,,-616.00M,,,,-1.147B,941.00M,-12.89B,,73.97B,3.864B,680.00M,78.51B,,,,-1.406B,-10.25B,,,AOR,Restated
2010-06,3.293B,,,,,,,,,2.373B,-1.979B,,3.735B,378.00M,336.00M,-189.00M,,-709.00M,-184.00M,195.00M,9.433B,,-1.715B,905.00M,-810.00M,,835.00M,,8.575B,8.725B,,-10.98B,536.00M,-10.44B,,,98.00M,,,,-1.144B,-1.043B,-12.80B,,69.75B,5.363B,-1.149B,73.97B,,,,16.74B,-27.18B,,,AOR,Restated
2010-03,2.364B,,,,,,,,,2.465B,329.00M,,-994.00M,514.00M,186.00M,666.00M,,-743.00M,623.00M,120.00M,7.094B,,-1.276B,1.588B,312.00M,,1.824B,,17.08B,19.01B,,-24.58B,-1.76B,-26.34B,,,80.00M,,,,-1.143B,-594.00M,-28.04B,,72.44B,-1.936B,-756.00M,69.75B,,,,16.01B,-42.36B,,,AOR,Restated
2009-12,2.854B,,,,,,,,2.726B,2.726B,-3.074B,,2.843B,-6.929B,751.00M,916.00M,,-306.00M,-5.568B,81.00M,10.49B,,-2.826B,2.789B,-37.00M,,-1.546B,,7.437B,7.339B,,-3.643B,-2.537B,-6.18B,,,125.00M,,,,-1.141B,-880.00M,-7.945B,,61.56B,9.883B,1.003B,72.44B,,,,12.57B,7.367B,,,AOR,Restated
2009-09,2.459B,,,,,,,,2.658B,2.658B,1.431B,,-11.38B,8.015B,140.00M,-371.00M,,5.459B,13.24B,-18.00M,8.394B,,-1.349B,1.084B,-265.00M,,623.00M,,7.461B,7.837B,,-5.078B,-614.00M,-5.692B,,,14.00M,,,,-1.14B,-181.00M,-6.999B,,52.50B,9.232B,-174.00M,61.56B,,,,20.38B,-49.04B,,,AOR,Restated
2009-06,2.916B,,,,,,,,2.504B,2.504B,-622.00M,,6.91B,235.00M,368.00M,688.00M,,-4.929B,-3.638B,1.00M,5.735B,,-1.899B,1.422B,-477.00M,,1.166B,,10.47B,11.16B,,2.244B,-9.344B,-7.10B,,,239.00M,,,,-3.355B,-1.345B,-11.56B,,47.01B,5.333B,155.00M,52.50B,,,,18.73B,-16.48B,,,AOR,Restated
2009-03,2.914B,,,,,,,,2.731B,2.731B,-528.00M,,-7.007B,1.952B,-158.00M,-1.672B,,-724.00M,-602.00M,-45.00M,-201.00M,,-2.56B,1.183B,-1.377B,,1.893B,,15.48B,16.04B,,515.00M,-13.62B,-13.10B,,,245.00M,,,,-3.35B,-798.00M,-17.01B,,48.37B,-1.166B,-189.00M,47.01B,,,,31.16B,-30.65B,,,AOR,Restated
2008-12,4.98B,,,,,,,,3.265B,3.265B,-3.08B,,10.04B,1.32B,1.046B,-652.00M,,-4.261B,-2.547B,462.00M,20.35B,,-4.526B,3.668B,-858.00M,,-562.00M,,19.21B,17.37B,,13.94B,-30.21B,-16.28B,,,12.44B,,,,-3.10B,-1.112B,-5.144B,,16.48B,32.57B,,48.37B,,,,37.87B,-23.94B,,,AOR,Restated
2008-09,4.312B,,,,,,,,2.861B,2.861B,2.106B,,165.00M,-502.00M,184.00M,-1.414B,,2.487B,755.00M,12.00M,10.21B,,-3.419B,1.961B,-1.458B,,-12.23B,,2.171B,-11.68B,,27.72B,-25.29B,2.43B,,,-135.00M,,,,-3.093B,-587.00M,-1.384B,,19.33B,-2.85B,,16.48B,,,,38.02B,-10.29B,,,AOR,Restated
2008-06,5.072B,,,,,,,,2.673B,2.673B,682.00M,,322.00M,-948.00M,-537.00M,634.00M,,4.492B,3.641B,118.00M,11.16B,,-4.347B,2.113B,-2.234B,,-1.878B,,-14.56B,-18.78B,,11.01B,4.795B,15.80B,,,-679.00M,,,,-3.105B,-661.00M,11.35B,,15.59B,3.741B,,19.33B,,,,25.53B,-14.52B,,,AOR,Restated
2008-03,4.304B,,,,,,,,2.682B,2.682B,-990.00M,,47.00M,106.00M,-1.412B,369.00M,,109.00M,-828.00M,367.00M,6.925B,,-3.718B,3.212B,-506.00M,,-8.454B,,-12.36B,-21.68B,,15.59B,2.201B,17.79B,,,-864.00M,,,,-3.11B,498.00M,14.31B,,16.03B,-444.00M,,15.59B,,,,35.83B,-20.24B,,,AOR,Restated
2007-12,7.743B,,,,,,,,2.844B,2.844B,-171.00M,,136.00M,-709.00M,455.00M,1.668B,,6.982B,8.396B,-719.00M,15.10B,,-5.688B,1.239B,-4.449B,,-13.13B,,-11.30B,-28.02B,,-22.21B,308.00M,-21.90B,,-5.099B,-5.099B,,,,-2.841B,38.81B,8.967B,,19.99B,-3.957B,,16.03B,,,,19.08B,-41.28B,-5.099B,,AOR,Restated
2007-09,5.089B,,,,,,,,2.58B,2.58B,131.00M,,2.676B,-895.00M,-609.00M,-2.18B,,1.24B,-2.444B,694.00M,9.865B,,-3.18B,2.423B,-757.00M,,9.732B,,-20.02B,-11.73B,,20.49B,6.883B,27.38B,,-5.828B,-5.828B,,,,-2.883B,-12.64B,5.999B,,15.85B,4.137B,,19.99B,,,,29.08B,-8.589B,-5.828B,,AOR,Restated
2007-06,5.613B,,,,,,,,2.411B,2.411B,608.00M,,178.00M,-747.00M,-253.00M,315.00M,,1.078B,393.00M,3.158B,13.42B,,-4.184B,2.08B,-2.104B,,-6.45B,,-10.99B,-22.58B,,18.15B,1.808B,19.96B,,-1.392B,-1.445B,,,,-2.882B,-9.759B,5.753B,,19.26B,-3.409B,,15.85B,,,,18.15B,,-1.392B,,AOR,Restated
2007-03,4.928B,,,,,,,,2.44B,2.44B,89.00M,,-3.906B,1.483B,-1.155B,-800.00M,,680.00M,208.00M,247.00M,4.942B,,-4.751B,2.715B,-2.036B,,-4.621B,,-265.00M,-7.176B,,34.22B,-8.691B,25.53B,,,53.00M,,,,-2.886B,-15.47B,7.218B,,14.28B,4.984B,,19.26B,,,,34.22B,,,,AOR,Restated
