,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2005-03,34.03B,34.35B,15.54B,18.81B,9.675B,9.675B,-216.00M,902.00M,3.671B,,-3.671B,,10.58B,8.231B,,3.671B,-3.671B,-216.00M,-3.671B,4.344B,784.00M,3.56B,405.00M,,,,3.965B,3.737B,10.30B,2.28B,8.015B,,0.34,0.03,,0.3567,0.37,,0.33,0.03,,0.3467,0.37,,10.60B,10.60B,0.22,,AOR,Restated
2004-12,25.17B,25.58B,18.09B,7.493B,-3.147B,-3.147B,-189.00M,1.144B,3.016B,,-3.016B,,-2.003B,9.496B,,3.016B,-3.016B,-189.00M,-3.016B,6.291B,878.00M,5.413B,,,,,5.972B,5.576B,11.50B,2.19B,9.307B,,0.52,0.05,,0.5354,0.57,,0.51,0.05,,0.5254,0.56,,10.54B,10.59B,0.22,,AOR,Restated
2004-09,38.15B,38.34B,15.93B,22.41B,13.26B,13.26B,-269.00M,785.00M,2.974B,,-2.974B,,14.04B,8.365B,,2.974B,-2.974B,-269.00M,-2.974B,5.122B,1.051B,4.071B,,,,,4.071B,4.285B,10.20B,2.104B,8.096B,,0.39,0.00,,0.4102,0.39,,0.38,0.00,,0.4002,0.38,,10.57B,10.61B,0.20,,AOR,Restated
2004-06,36.46B,36.78B,15.12B,21.66B,13.23B,13.23B,-186.00M,1.004B,2.784B,,-2.784B,,14.23B,7.423B,,2.784B,-2.784B,-186.00M,-2.784B,4.453B,702.00M,3.751B,,,,,3.751B,3.908B,9.294B,2.057B,7.237B,,0.36,0.00,,0.3751,0.36,,0.36,0.00,,0.3750,0.36,,10.39B,10.43B,0.20,,AOR,Restated
2004-03,33.46B,33.59B,12.62B,20.97B,12.66B,12.66B,-83.00M,955.00M,2.843B,,-2.843B,,13.62B,7.357B,,2.843B,-2.843B,-83.00M,-2.843B,4.431B,1.065B,3.366B,,,,,3.366B,3.429B,9.271B,1.997B,7.274B,,0.33,0.00,,0.3362,0.33,,0.33,0.00,,0.3362,0.33,,10.14B,10.19B,0.20,,AOR,Restated
2003-12,15.47B,15.66B,15.21B,452.00M,-6.28B,-6.28B,-89.00M,953.00M,2.458B,,-2.458B,,-5.327B,5.779B,,2.458B,-2.458B,-89.00M,-2.458B,3.232B,495.00M,2.737B,,0.00,,,4.794B,2.812B,7.43B,1.74B,5.69B,,0.33,0.15,0.00,0.3375,0.48,,0.33,0.14,0.0001,0.3375,0.47,,10.06B,10.10B,0.20,,AOR,Restated
2003-09,33.19B,33.39B,12.29B,21.10B,12.12B,12.12B,-77.00M,1.061B,2.723B,,-2.723B,,13.18B,7.92B,,2.723B,-2.723B,-77.00M,-2.723B,5.12B,1.099B,4.021B,,-372.00M,,,3.649B,4.081B,9.584B,1.741B,7.843B,,0.36,0.00,0.00,0.3660,0.36,,0.36,0.00,-0.0371,0.3660,0.36,,10.03B,10.08B,0.19,,AOR,Restated
2003-06,33.22B,33.37B,12.42B,20.95B,12.20B,12.20B,-72.00M,978.00M,2.683B,,-2.683B,,13.18B,7.765B,,2.683B,-2.683B,-72.00M,-2.683B,5.01B,1.216B,3.794B,,0.00,,,3.794B,3.849B,9.411B,1.718B,7.693B,,0.38,0.00,0.00,0.3854,0.38,,0.38,0.00,0.00,0.3854,0.38,,10.01B,10.07B,0.19,,AOR,Restated
2003-03,30.40B,30.46B,11.28B,19.18B,11.50B,11.50B,-70.00M,760.00M,2.596B,,-2.596B,,12.26B,6.915B,,2.596B,-2.596B,-70.00M,-2.596B,4.249B,1.035B,3.214B,,-215.00M,,,2.999B,3.267B,8.51B,1.665B,6.845B,,0.30,0.00,0.00,0.3053,0.30,,0.30,0.00,-0.0215,0.3053,0.30,,9.983B,10.04B,0.19,,AOR,Restated
2002-12,35.10B,35.51B,14.40B,21.11B,14.40B,14.40B,-76.00M,997.00M,2.626B,,-2.626B,,15.39B,5.715B,,2.626B,-2.626B,-76.00M,-2.626B,3.013B,-89.00M,3.102B,,0.00,,,3.102B,3.148B,7.483B,1.844B,5.639B,,0.31,0.00,0.00,0.3146,0.31,,0.31,0.00,0.0001,0.3145,0.31,,9.965B,10.03B,0.19,,AOR,Restated
2002-09,32.26B,32.72B,12.24B,20.48B,11.72B,11.72B,-84.00M,640.00M,2.773B,,-2.773B,,12.36B,8.121B,,2.773B,-2.773B,-84.00M,-2.773B,5.264B,1.177B,4.087B,,0.00,,,4.087B,4.152B,9.731B,1.694B,8.037B,,0.41,0.00,0.00,0.4166,0.41,,0.41,0.00,0.00,0.4165,0.41,,9.951B,10.02B,0.18,,AOR,Restated
2002-06,33.25B,33.33B,13.86B,19.47B,10.54B,10.54B,-90.00M,785.00M,2.443B,,-2.443B,,11.33B,8.14B,,2.443B,-2.443B,-90.00M,-2.443B,5.607B,1.181B,4.426B,,0.00,,,4.426B,4.497B,9.72B,1.67B,8.05B,,0.45,0.00,0.00,0.4571,0.45,,0.44,0.00,0.00,0.4471,0.44,,9.942B,10.03B,0.18,,AOR,Restated
2002-03,30.47B,30.52B,12.35B,18.17B,10.06B,10.06B,-76.00M,662.00M,2.374B,,-2.374B,,10.72B,7.457B,,2.374B,-2.374B,-76.00M,-2.374B,5.007B,1.489B,3.518B,,-1.015B,,,2.503B,3.571B,8.684B,1.303B,7.381B,,0.25,0.00,0.00,0.2554,0.25,,0.25,0.00,-0.1022,0.2553,0.25,,9.931B,10.03B,0.18,,AOR,Restated
2001-12,34.47B,34.48B,12.85B,21.62B,12.62B,12.62B,-86.00M,935.00M,2.639B,,-2.639B,,13.55B,8.072B,,2.639B,-2.639B,-86.00M,-2.639B,5.347B,1.414B,3.933B,,0.00,,,3.933B,3.996B,10.21B,2.22B,7.986B,,0.40,0.00,0.00,0.4064,0.40,,0.40,0.00,-0.0000,0.4063,0.40,,9.923B,10.03B,0.18,,AOR,Restated
2001-09,29.45B,29.47B,11.74B,17.73B,10.06B,10.06B,-59.00M,567.00M,2.64B,,-2.64B,,10.62B,7.103B,,2.64B,-2.64B,-59.00M,-2.64B,4.404B,1.123B,3.281B,,0.00,,,3.281B,3.325B,8.802B,1.758B,7.044B,,0.33,0.00,0.00,0.3344,0.33,,0.33,0.00,0.00,0.3344,0.33,,9.933B,10.04B,0.16,,AOR,Restated
2001-06,31.82B,31.98B,12.71B,19.27B,10.47B,10.47B,-101.00M,496.00M,2.707B,,-2.707B,,10.96B,8.304B,,2.707B,-2.707B,-101.00M,-2.707B,5.496B,1.599B,3.897B,,0.00,,,3.897B,3.969B,9.789B,1.586B,8.203B,,0.39,0.00,0.00,0.3972,0.39,,0.39,0.00,0.00,0.3971,0.39,,9.936B,10.06B,0.16,,AOR,Restated
2001-03,30.43B,30.49B,11.79B,18.70B,10.58B,10.58B,-102.00M,483.00M,3.076B,,-3.076B,,11.07B,7.632B,,3.076B,-3.076B,-102.00M,-3.076B,4.454B,1.437B,3.017B,,-444.00M,,,2.573B,3.086B,9.091B,1.561B,7.53B,,0.26,0.00,0.00,0.2670,0.26,,0.26,0.00,-0.0447,0.2669,0.26,,9.934B,10.07B,0.16,,AOR,Restated
2000-12,34.86B,34.98B,13.70B,21.28B,12.45B,12.45B,-122.00M,640.00M,3.065B,,-3.065B,,13.09B,8.195B,,3.065B,-3.065B,-122.00M,-3.065B,5.008B,1.423B,3.585B,,0.00,,,3.585B,3.672B,8.774B,701.00M,8.073B,,0.36,0.00,0.00,0.3688,0.36,,0.36,0.00,0.00,0.3687,0.36,,9.924B,10.08B,0.16,,AOR,Restated
2000-09,31.90B,32.01B,13.06B,18.96B,10.99B,10.99B,-110.00M,463.00M,2.859B,,-2.859B,,11.46B,7.499B,,2.859B,-2.859B,-110.00M,-2.859B,4.53B,1.35B,3.18B,,0.00,,,3.18B,3.257B,9.222B,1.833B,7.389B,,0.32,0.00,0.00,0.3278,0.32,,0.32,0.00,0.00,0.3277,0.32,,9.906B,10.07B,0.1367,,AOR,Restated
2000-06,32.73B,32.86B,13.21B,19.66B,11.22B,11.22B,-97.00M,421.00M,3.014B,,-3.014B,,11.64B,8.01B,,3.014B,-3.014B,-97.00M,-3.014B,4.899B,1.521B,3.378B,,0.00,,,3.378B,3.445B,9.811B,1.898B,7.913B,,0.34,0.00,0.00,0.3468,0.34,,0.34,0.00,0.00,0.3467,0.34,,9.892B,10.06B,0.1367,,AOR,Restated
2000-03,29.92B,30.00B,11.86B,18.14B,10.73B,10.73B,-98.00M,521.00M,2.782B,,-2.782B,,11.25B,6.889B,,2.782B,-2.782B,-98.00M,-2.782B,4.009B,1.417B,2.592B,,0.00,,,2.592B,2.655B,8.744B,1.953B,6.791B,,0.26,0.00,0.00,0.2664,0.26,,0.26,0.00,0.00,0.2663,0.26,,9.87B,10.03B,0.1367,,AOR,Restated
1999-12,32.45B,32.86B,14.04B,18.82B,10.78B,10.78B,-111.00M,623.00M,2.891B,,-2.891B,,11.40B,7.417B,,2.891B,-2.891B,-111.00M,-2.891B,4.415B,1.326B,3.089B,,,,,3.089B,3.167B,9.14B,1.834B,7.306B,,0.31,0.00,,0.3179,0.31,,0.31,0.00,,0.3178,0.31,,9.848B,10.01B,0.1367,,,Restated
1999-09,27.11B,27.20B,11.20B,16.00B,9.411B,9.411B,-92.00M,227.00M,2.455B,,-2.455B,,9.638B,6.365B,,2.455B,-2.455B,-92.00M,-2.455B,3.818B,1.165B,2.653B,,,,,2.653B,2.717B,7.948B,1.675B,6.273B,,0.27,0.00,,0.2765,0.27,,0.27,0.00,,0.2764,0.27,,9.839B,9.999B,0.1167,,,Restated
1999-06,27.20B,27.41B,11.16B,16.25B,9.199B,9.199B,-108.00M,442.00M,2.404B,,-2.404B,,9.641B,6.612B,,2.404B,-2.404B,-108.00M,-2.404B,4.10B,1.28B,2.82B,,,,,2.82B,2.894B,8.173B,1.669B,6.504B,,0.29,0.00,,0.2976,0.29,,0.28,0.00,,0.2874,0.28,,9.83B,9.992B,0.1167,,,Restated
1999-03,24.06B,24.06B,9.567B,14.50B,2.619B,2.619B,,379.00M,2.263B,,-2.263B,-103.00M,2.895B,11.60B,,2.263B,-2.263B,-6.093B,-2.263B,3.244B,1.089B,2.155B,,,,,2.155B,2.155B,7.02B,1.513B,5.507B,,0.22,,,0.22,0.22,,0.22,,,0.22,0.22,,9.817B,9.982B,0.1167,,,Restated
1998-12,28.46B,29.10B,15.31B,13.80B,,8.439B,-732.00M,,,,,,6.807B,6.99B,,,,-732.00M,,3.629B,958.00M,2.671B,,,,,2.671B,3.210B,9.35B,2.625B,6.725B,,0.27,0.00,,0.3239,0.27,,0.27,0.00,,0.3239,0.27,,10.00B,10.00B,0.1167,,,Restated
1998-09,23.98B,23.98B,8.907B,15.07B,,8.249B,158.00M,,,,,,9.401B,5.67B,,,,158.00M,,3.399B,1.115B,2.284B,,,-68.00M,,2.284B,2.178B,6.822B,1.152B,5.67B,,0.23,0.00,,0.2193,0.23,,0.23,0.00,,0.2193,0.23,,9.930B,9.930B,0.10,,,
1998-06,24.93B,24.93B,9.678B,15.25B,,8.425B,142.00M,,,,,,9.431B,5.819B,,,,142.00M,,3.534B,1.084B,2.45B,,,-61.00M,,2.45B,2.352B,6.825B,660.00M,5.819B,,0.25,0.00,,0.2400,0.25,,0.25,0.00,,0.2400,0.25,,9.80B,9.80B,0.10,,,
1998-03,22.46B,22.46B,8.042B,14.42B,,7.978B,167.00M,,,,,,9.401B,5.016B,,,,167.00M,,2.915B,1.024B,1.891B,,,-56.00M,,1.891B,1.783B,6.439B,1.423B,5.016B,,0.19,0.00,,0.1791,0.19,,0.19,0.00,,0.1791,0.19,,9.953B,9.953B,0.10,,,
1997-12,24.88B,24.88B,11.68B,13.20B,,9.015B,1.819B,,,,,,10.12B,3.084B,,,,1.819B,,2.525B,175.00M,2.35B,,,-66.00M,,2.35B,657.07M,4.186B,1.102B,3.084B,,0.2333,0.00,,0.0646,0.2333,,0.2333,0.00,,0.0646,0.2333,,10.04B,10.04B,0.10,,,
1997-09,21.81B,21.81B,8.311B,13.50B,,7.58B,185.00M,,,,,,8.629B,4.866B,,,,185.00M,,2.864B,850.00M,2.014B,,,-67.00M,,2.014B,1.884B,5.915B,1.049B,4.866B,,0.21,0.00,,0.1964,0.21,,0.20,0.00,,0.1871,0.20,,9.590B,10.07B,0.0867,,,
1997-06,21.86B,21.86B,8.645B,13.22B,,7.069B,137.00M,,,,,,8.048B,5.167B,,,,137.00M,,3.231B,1.069B,2.162B,,,-52.00M,,2.162B,2.070B,6.146B,979.00M,5.167B,,0.22,0.00,,0.2107,0.22,,0.22,0.00,,0.2107,0.22,,9.827B,9.827B,0.0867,,,
1997-03,20.00B,20.00B,7.375B,12.62B,,7.285B,159.00M,,,,,,8.237B,4.386B,,,,159.00M,,2.559B,882.00M,1.677B,,,-55.00M,,1.677B,1.573B,5.338B,952.00M,4.386B,,0.17,0.00,,0.1594,0.17,,0.17,0.00,,0.1594,0.17,,9.865B,9.865B,0.0867,,,
1996-12,22.85B,22.85B,8.558B,14.29B,,8.227B,146.00M,,,,,,9.216B,5.074B,,,,146.00M,,2.955B,888.00M,2.067B,,,-81.00M,,2.067B,1.965B,6.063B,989.00M,5.074B,,0.2033,0.00,,0.1940,0.2033,,0.20,0.00,,0.1907,0.20,,10.94B,10.94B,0.0867,,,
1996-09,19.86B,19.86B,7.415B,12.45B,,6.944B,160.00M,,,,,,7.916B,4.53B,,,,160.00M,,2.698B,910.00M,1.788B,,,-67.00M,,1.788B,1.682B,5.502B,972.00M,4.53B,,0.18,0.00,,0.1693,0.18,,0.18,0.00,,0.1693,0.18,,9.933B,9.933B,0.0767,,,
1996-06,18.90B,18.90B,7.072B,11.83B,,6.246B,165.00M,,,,,,7.178B,4.651B,,,,165.00M,,2.835B,927.00M,1.908B,,,-61.00M,,1.908B,1.797B,5.583B,932.00M,4.651B,,0.19,0.00,,0.1789,0.19,,0.19,0.00,,0.1789,0.19,,10.04B,10.04B,0.0767,,,
1996-03,16.93B,16.93B,6.041B,10.89B,,5.912B,167.00M,,,,,,6.804B,4.086B,,,,167.00M,,2.318B,801.00M,1.517B,,,-60.00M,,1.517B,1.408B,4.978B,892.00M,4.086B,,0.15,0.00,,0.1392,0.15,,0.15,0.00,,0.1392,0.15,,10.11B,10.11B,0.0767,,,
1995-12,19.55B,19.55B,8.036B,11.51B,,6.104B,205.00M,,,,,,7.082B,4.429B,,,,205.00M,,2.672B,807.00M,1.865B,,,-79.00M,,1.865B,1.722B,5.407B,978.00M,4.429B,,0.18,0.00,,0.1662,0.18,,0.18,0.00,,0.1662,0.18,,10.36B,10.36B,0.0767,,,
1995-09,17.15B,17.15B,6.423B,10.73B,,5.715B,190.00M,,,,,,6.574B,4.154B,,,,190.00M,,2.393B,783.00M,1.61B,,,-40.00M,,1.61B,1.482B,5.013B,859.00M,4.154B,,0.16,0.00,,0.1473,0.16,,0.16,0.00,,0.1473,0.16,,10.06B,10.06B,0.0683,,,
1995-06,17.63B,17.63B,7.09B,10.54B,,5.358B,179.00M,,,,,,6.253B,4.287B,,,,179.00M,,2.59B,864.00M,1.726B,,,-46.00M,,1.726B,1.607B,5.182B,895.00M,4.287B,,0.17,0.00,,0.1583,0.17,,0.17,0.00,,0.1583,0.17,,10.15B,10.15B,0.0683,,,
1995-03,14.95B,14.95B,5.827B,9.121B,,4.654B,178.00M,,,,,,5.516B,3.605B,,,,178.00M,,2.082B,710.00M,1.372B,,,-39.00M,,1.372B,1.255B,4.467B,862.00M,3.605B,,0.14,0.00,,0.1280,0.14,,0.14,0.00,,0.1280,0.14,,9.80B,9.80B,0.0683,,,
1994-12,13.31B,13.31B,7.908B,5.406B,,3.938B,264.00M,,,,,,4.821B,585.00M,,,,264.00M,,2.976B,1.019B,1.957B,,,-50.00M,,768.00M,1.783B,1.468B,883.00M,585.00M,,0.1867,-0.115,,0.1702,0.0717,,0.1867,-0.115,,0.1702,0.0717,,10.56B,10.56B,0.0683,,,
1994-09,15.96B,15.96B,6.122B,9.841B,,4.662B,190.00M,,,,,,5.465B,4.376B,,,,190.00M,,1.938B,570.00M,1.368B,,,-33.00M,,1.368B,1.234B,5.179B,803.00M,4.376B,,0.13,0.00,,0.1173,0.13,,0.13,0.00,,0.1173,0.13,,10.52B,10.52B,0.0599,,,
1994-06,16.02B,16.02B,6.489B,9.529B,,4.383B,178.00M,,,,,,5.17B,4.359B,,,,178.00M,,2.229B,707.00M,1.522B,,,-56.00M,,1.522B,1.400B,5.146B,787.00M,4.359B,,0.15,0.00,,0.1380,0.15,,0.15,0.00,,0.1380,0.15,,10.15B,10.15B,0.0599,,,
1994-03,14.02B,14.02B,5.236B,8.785B,,4.384B,161.00M,,,,,,5.118B,3.667B,,,,161.00M,,1.518B,450.00M,1.068B,,,-31.00M,,1.068B,954.73M,4.401B,734.00M,3.667B,,0.10,0.00,,0.0894,0.10,,0.10,0.00,,0.0894,0.10,,10.68B,10.68B,0.0599,,,
1993-12,17.89B,17.89B,11.89B,6.001B,,1.366B,195.00M,,,,,,2.397B,3.604B,,,,195.00M,,2.084B,607.00M,1.477B,0.00,0.00,-40.00M,,1.477B,1.339B,4.635B,1.031B,3.604B,,0.1183,0.0267,0.00,0.1037,0.15,,0.1183,0.0267,-0.0021,0.1052,0.15,,9.458B,10.51B,0.0599,,,
1993-09,14.67B,14.67B,9.118B,5.551B,,1.009B,189.00M,,,,,,1.752B,3.799B,,,,189.00M,,1.91B,704.00M,1.206B,,,-62.00M,,1.206B,1.087B,4.587B,788.00M,3.799B,,0.12,0.00,,0.1081,0.12,,0.12,0.00,,0.1081,0.12,,10.05B,10.05B,0.0524,,,
1993-06,14.57B,14.57B,7.075B,7.491B,,4.229B,195.00M,,,,,,4.95B,2.541B,,,,195.00M,,978.00M,322.00M,656.00M,678.00M,,-29.00M,,1.334B,525.20M,3.275B,734.00M,2.541B,,0.07,0.07,,0.0563,0.14,,0.07,0.07,,0.0563,0.14,,9.529B,9.529B,0.0524,,,
1993-03,12.70B,12.70B,5.178B,7.522B,,3.778B,156.00M,,,,,,4.486B,3.036B,,,,156.00M,,1.603B,518.00M,1.085B,75.00M,,-20.00M,,1.16B,979.41M,3.744B,708.00M,3.036B,,0.11,0.01,,0.0991,0.12,,0.11,0.01,,0.0991,0.12,,9.667B,9.667B,0.0524,,,
1992-12,12.58B,12.58B,4.821B,7.761B,,4.158B,126.00M,,,,,,4.829B,2.932B,,,,126.00M,,1.262B,341.00M,921.00M,,,-14.00M,,1.341B,829.05M,3.603B,671.00M,2.932B,,0.09,0.04,,0.0811,0.13,,0.09,0.04,,0.0811,0.13,,10.32B,10.32B,0.0524,,,
1992-09,15.14B,15.14B,7.264B,7.873B,,4.054B,313.00M,,,,,,4.841B,3.032B,,,,313.00M,,1.63B,520.00M,1.11B,,,-9.00M,,1.11B,896.85M,3.819B,787.00M,3.032B,,0.11,0.00,,0.0889,0.11,,0.11,0.00,,0.0889,0.11,,10.09B,10.09B,0.0491,,,
1992-06,15.19B,15.19B,7.378B,7.81B,,3.799B,202.00M,,,,,,4.446B,3.364B,,,,202.00M,,1.823B,607.00M,1.216B,,,-18.00M,,1.216B,1.081B,4.011B,647.00M,3.364B,,0.12,0.00,,0.1067,0.12,,0.12,0.00,,0.1067,0.12,,10.13B,10.13B,0.0458,,,
1992-03,13.37B,13.37B,6.099B,7.268B,,3.496B,158.00M,,,,,,4.209B,3.059B,,,,158.00M,,1.558B,500.00M,1.058B,,,-12.00M,,1.058B,950.71M,3.772B,713.00M,3.059B,,0.10,0.00,,0.0899,0.10,,0.10,0.00,,0.0899,0.10,,10.58B,10.58B,0.0458,,,
1991-12,17.35B,17.35B,9.757B,7.592B,,3.352B,202.00M,,,,,,4.126B,3.466B,,,,202.00M,,1.774B,511.00M,1.263B,,,-26.00M,,-536.00M,1.119B,4.24B,774.00M,3.466B,,0.12,-0.17,,0.1054,-0.05,,0.12,-0.17,,0.1054,-0.05,,9.857B,9.857B,0.0458,,,
1991-09,14.29B,14.29B,7.019B,7.271B,,3.475B,288.00M,,,,,,4.18B,3.091B,,,,288.00M,,1.525B,483.00M,1.042B,,,,,1.042B,845.22M,3.796B,705.00M,3.091B,,0.10,0.00,,0.0811,0.10,,0.10,0.00,,0.0811,0.10,,10.42B,10.42B,0.0425,,,
1991-06,14.60B,14.60B,7.089B,7.512B,,3.573B,173.00M,,,,,,4.241B,3.271B,,,,173.00M,,1.649B,518.00M,1.131B,,,-19.00M,,1.131B,1.012B,3.939B,668.00M,3.271B,,0.11,0.00,,0.0985,0.11,,0.11,0.00,,0.0985,0.11,,10.28B,10.28B,0.0425,,,
1991-03,13.14B,13.14B,5.875B,7.264B,,3.352B,194.00M,,,,,,4.037B,3.227B,,,,194.00M,,1.488B,489.00M,999.00M,,,-27.00M,,999.00M,868.75M,3.912B,685.00M,3.227B,,0.10,0.00,,0.0870,0.10,,0.10,0.00,,0.0870,0.10,,9.99B,9.99B,0.0425,,,
1990-12,16.97B,16.97B,8.961B,8.006B,,3.856B,286.00M,,,,,,4.499B,3.507B,,,,286.00M,,1.692B,453.00M,1.239B,,,-32.00M,,1.239B,1.030B,4.15B,643.00M,3.507B,,0.12,0.00,,0.0996,0.12,,0.12,0.00,,0.0996,0.12,,10.28B,10.28B,0.0425,,,
1990-09,14.05B,14.05B,6.895B,7.155B,,3.273B,160.00M,,,,,,3.947B,3.208B,,,,160.00M,,1.472B,446.00M,1.026B,,,-16.00M,,1.026B,914.48M,3.882B,674.00M,3.208B,,0.10,0.00,,0.0891,0.10,,0.10,0.00,,0.0891,0.10,,10.26B,10.26B,0.0391,,,
1990-06,14.21B,14.21B,6.993B,7.221B,,3.351B,138.00M,,,,,,3.922B,3.299B,,,,138.00M,,1.601B,513.00M,1.088B,,,-20.00M,,1.088B,994.22M,3.87B,571.00M,3.299B,,0.10,0.00,,0.0914,0.10,,0.10,0.00,,0.0914,0.10,,10.88B,10.88B,0.0391,,,
1990-03,12.43B,12.43B,6.027B,6.404B,,2.929B,168.00M,,,,,,3.549B,2.855B,,,,168.00M,,1.382B,432.00M,950.00M,,,-14.00M,,950.00M,834.52M,3.475B,620.00M,2.855B,,0.09,0.00,,0.0791,0.09,,0.09,0.00,,0.0791,0.09,,10.56B,10.56B,0.0391,,,
1989-12,15.95B,15.95B,8.37B,7.58B,,3.792B,211.00M,,,,,,4.344B,3.236B,,,,211.00M,,1.679B,506.00M,1.173B,,,-28.00M,,1.173B,1.026B,3.788B,552.00M,3.236B,,0.10,0.00,,0.0876,0.10,,0.10,0.00,,0.0876,0.10,,11.85B,11.85B,0.0391,,,
1989-09,12.83B,12.83B,6.544B,6.284B,,2.833B,156.00M,,,,,,3.401B,2.883B,,,,156.00M,,1.381B,436.00M,945.00M,,,-20.00M,,945.00M,838.25M,3.451B,568.00M,2.883B,,0.09,0.00,,0.0798,0.09,,0.09,0.00,,0.0798,0.09,,10.50B,10.50B,0.0341,,,
1989-06,13.43B,13.43B,7.195B,6.236B,,3.178B,100.00M,,,,,,3.178B,3.058B,,,,100.00M,,1.383B,411.00M,972.00M,,,-23.00M,,972.00M,901.72M,3.058B,,3.058B,,0.09,0.00,,0.0835,0.09,,0.09,0.00,,0.0835,0.09,,10.80B,10.80B,0.0341,,,
1989-03,11.90B,11.90B,,,,,,,,,,,,11.90B,,,,,,,,849.00M,,,,,849.00M,,11.90B,,11.90B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,10.85B,10.85B,0.0341,,,
1988-12,12.27B,12.27B,,,,,,,,,,,,-28.22B,,,,,,,,1.011B,,,,,1.011B,,-28.22B,,-28.22B,,,,,,,,,,,,,,10.84B,10.84B,0.0341,,,
1988-09,9.306B,9.306B,,,,,,,,,,,,9.306B,,,,,,,,815.00M,,,,,815.00M,,9.306B,,9.306B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,10.85B,10.85B,0.0291,,,
1988-06,9.245B,9.245B,,,,,,,,,,,,9.245B,,,,,,,,835.00M,,,,,835.00M,,9.245B,,9.245B,,0.08,0.00,,0.08,0.08,,0.08,0.00,,0.08,0.08,,10.85B,10.85B,0.0291,,,
1988-03,7.975B,7.975B,,,,,,,,,,,,7.975B,,,,,,,,725.00M,,,,,725.00M,,7.975B,,7.975B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,11.00B,11.00B,0.0291,,,
1987-12,12.04B,12.04B,,,,,,,,,,,,-23.60B,,,,,,,,353.00M,,,,,353.00M,,-23.60B,,-23.60B,,,,,,,,,,,,,,10.85B,10.85B,0.0291,,,
1987-09,9.404B,9.404B,,,,,,,,,,,,9.404B,,,,,,,,703.00M,,,,,703.00M,,9.404B,,9.404B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,10.98B,10.98B,0.0275,,,
1987-06,9.56B,9.56B,,,,,,,,,,,,9.56B,,,,,,,,720.00M,,,,,720.00M,,9.56B,,9.56B,,0.07,0.00,,0.07,0.07,,0.07,0.00,,0.07,0.07,,10.95B,10.95B,0.0275,,,
1987-03,8.315B,8.315B,,,,,,,,,,,,8.315B,,,,,,,,343.00M,,,,,343.00M,,8.315B,,8.315B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,10.98B,10.98B,0.0262,,,
1986-12,12.27B,12.27B,,,,,,,,,,,,-19.88B,,,,,,,,730.00M,,,,,730.00M,,-19.88B,,-19.88B,,,,,,,,,,,,,,10.95B,10.95B,0.0262,,,
1986-09,9.278B,9.278B,,,,,,,,,,,,9.278B,,,,,,,,604.00M,,,,,604.00M,,9.278B,,9.278B,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,10.97B,10.97B,0.0241,,,
1986-06,7.79B,7.79B,,,,,,,,,,,,7.79B,,,,,,,,612.00M,,,,,612.00M,,7.79B,,7.79B,,0.06,0.00,,0.06,0.06,,0.06,0.00,,0.06,0.06,,10.95B,10.95B,0.0241,,,
1986-03,5.88B,5.88B,,,,,,,,,,,,5.88B,,,,,,,,537.00M,,,,,537.00M,,5.88B,,5.88B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,10.95B,10.95B,0.0241,,,
1985-12,8.725B,8.725B,,,,,,,,,,,,-16.62B,,,,,,,,660.00M,,,,,660.00M,,-16.62B,,-16.62B,,,,,,,,,,,,,,10.95B,10.95B,0.0241,,,
1985-09,6.52B,6.52B,,,,,,,,,,,,6.52B,,,,,,,,575.00M,,,,,575.00M,,6.52B,,6.52B,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,10.95B,10.95B,,,,
