,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-06,4.166B,4.181B,2.384B,1.797B,,,51.00M,228.00M,220.00M,,-220.00M,,673.00M,1.124B,,220.00M,-220.00M,64.00M,-220.00M,968.00M,329.00M,639.00M,,,,16.00M,639.00M,602.03M,1.723B,535.00M,1.188B,0.71,,,0.6676,0.71,0.71,,,0.668,0.71,872.00M,880.00M,0.49
2012-03,3.589B,3.604B,2.172B,1.432B,,,31.00M,225.00M,211.00M,,-211.00M,,666.00M,766.00M,,211.00M,-211.00M,29.00M,-211.00M,584.00M,200.00M,384.00M,,,,16.00M,384.00M,359.65M,1.324B,529.00M,795.00M,0.42,,,0.392,0.42,0.42,,,0.3922,0.42,868.00M,877.00M,0.4725
2011-12,3.626B,3.696B,5.291B,-1.595B,,,43.00M,215.00M,219.00M,,-198.00M,,-2.184B,589.00M,,219.00M,-198.00M,-18.00M,-198.00M,373.00M,96.00M,277.00M,,,,16.00M,277.00M,245.07M,1.11B,518.00M,592.00M,0.3,,,0.2631,0.3,0.29,,,0.2534,0.29,866.00M,873.00M,0.4725
2011-09,5.428B,5.428B,2.123B,3.305B,,,41.00M,239.00M,217.00M,,-217.00M,,1.653B,1.652B,,217.00M,-217.00M,41.00M,-217.00M,1.476B,543.00M,933.00M,,,,17.00M,933.00M,907.08M,2.212B,519.00M,1.693B,1.07,0.0,,1.04,1.07,1.06,0.0,,1.03,1.06,860.00M,868.00M,0.4725
2011-06,4.521B,4.521B,1.818B,2.703B,,,32.00M,227.00M,199.00M,,-199.00M,,1.567B,1.136B,,199.00M,-199.00M,32.00M,-199.00M,969.00M,349.00M,620.00M,,,,16.00M,620.00M,599.53M,1.678B,510.00M,1.168B,0.71,0.0,,0.6861,0.71,0.7,0.0,,0.6762,0.7,855.00M,862.00M,0.4725
2011-03,4.012B,4.012B,1.576B,2.436B,,,37.00M,220.00M,222.00M,,-222.00M,,1.582B,854.00M,,222.00M,-222.00M,37.00M,-222.00M,669.00M,231.00M,438.00M,,,,16.00M,438.00M,413.80M,1.392B,501.00M,891.00M,0.5,0.0,,0.4715,0.5,0.49,0.0,,0.4617,0.49,848.00M,854.00M,0.455
2010-12,3.771B,3.771B,1.554B,2.217B,,,29.00M,207.00M,229.00M,,-229.00M,,1.747B,470.00M,,229.00M,-229.00M,29.00M,-229.00M,270.00M,101.00M,169.00M,,,,16.00M,169.00M,150.85M,953.00M,454.00M,499.00M,0.17,0.0,,0.1484,0.17,0.17,0.0,,0.1486,0.17,841.00M,849.00M,0.455
2010-09,5.32B,5.32B,2.179B,3.141B,,,42.00M,236.00M,225.00M,,-225.00M,,1.682B,1.459B,,225.00M,-225.00M,42.00M,-225.00M,1.276B,442.00M,834.00M,,,,17.00M,834.00M,806.55M,2.01B,509.00M,1.501B,0.98,0.0,,0.9472,0.98,0.97,0.0,,0.9374,0.97,836.00M,842.00M,0.455
2010-06,4.208B,4.208B,1.757B,2.451B,,,41.00M,214.00M,219.00M,,-219.00M,,1.50B,951.00M,,219.00M,-219.00M,41.00M,-219.00M,773.00M,247.00M,526.00M,,,,16.00M,526.00M,498.10M,1.438B,446.00M,992.00M,0.62,0.0,,0.5863,0.62,0.61,0.0,,0.5765,0.61,828.00M,833.00M,0.455
2010-03,4.157B,4.157B,1.772B,2.385B,,,47.00M,212.00M,222.00M,,-222.00M,,1.463B,922.00M,,222.00M,-222.00M,47.00M,-222.00M,747.00M,236.00M,511.00M,,,,16.00M,511.00M,478.85M,1.391B,422.00M,969.00M,0.6,0.0,,0.5609,0.6,0.6,0.0,,0.561,0.6,823.00M,825.00M,0.4375
2009-12,3.510B,3.510B,1.429B,2.081B,,,70.31M,197.15M,220.10M,5.209M,-214.89M,,1.604B,476.85M,5.209M,220.10M,-214.89M,70.31M,-214.89M,332.27M,67.17M,265.11M,,,,16.42M,265.11M,209.01M,1.030B,477.15M,552.37M,0.3,0.0,,0.2308,0.3,0.3,0.0,,0.2308,0.3,810.98M,810.98M,0.4375
2009-09,4.681B,4.681B,1.900B,2.781B,,,47.17M,212.88M,226.34M,6.013M,-220.33M,820.89M,1.366B,1.415B,6.013M,226.34M,-220.33M,47.17M,-220.33M,1.242B,435.95M,806.17M,,,,16.20M,806.17M,775.55M,1.884B,415.50M,1.468B,0.99,0.0,,0.9517,0.99,0.99,0.0,,0.9517,0.99,798.42M,800.18M,0.4375
2009-06,3.885B,3.885B,1.582B,2.303B,0.00,,62.29M,208.09M,232.83M,4.87M,-227.96M,,1.417B,886.19M,4.87M,232.83M,-227.96M,62.29M,-227.96M,720.52M,225.72M,494.81M,,,,16.20M,494.81M,452.03M,1.392B,438.52M,953.36M,0.61,0.0,,0.5559,0.61,0.6,0.0,,0.546,0.6,790.75M,792.07M,0.4375
2009-03,3.666B,3.666B,1.514B,2.152B,202.00M,,38.23M,199.88M,225.73M,6.908M,-218.82M,,1.663B,489.68M,6.908M,225.73M,-218.82M,38.23M,-218.82M,309.08M,167.17M,141.92M,,,,16.20M,141.92M,117.07M,991.64M,456.83M,534.81M,0.16,0.0,,0.1281,0.16,0.16,0.0,,0.1282,0.16,779.86M,781.64M,0.42
2008-12,3.802B,3.802B,1.738B,2.065B,,,-0.745M,194.39M,200.88M,12.26M,-188.61M,,1.596B,469.15M,12.26M,200.88M,-188.61M,-0.745M,-188.61M,279.79M,77.40M,202.39M,,,,16.42M,202.39M,202.93M,918.97M,438.30M,480.66M,0.24,0.0,,0.2407,0.24,0.24,0.0,,0.2407,0.24,776.11M,779.65M,0.42
2008-09,5.426B,5.426B,2.531B,2.895B,0.00,,35.77M,215.30M,219.07M,9.744M,-209.32M,,1.491B,1.405B,9.744M,219.07M,-209.32M,35.77M,-209.32M,1.231B,434.52M,796.63M,,,,16.20M,796.63M,773.48M,1.884B,433.91M,1.450B,1.01,0.0,,0.98,1.01,1.0,0.0,,0.9702,1.0,772.62M,776.90M,0.42
2008-06,4.215B,4.215B,1.819B,2.396B,0.00,,-38.78M,198.04M,228.95M,1.188M,-227.76M,,1.472B,924.07M,1.188M,228.95M,-227.76M,-38.78M,-227.76M,657.53M,224.95M,432.58M,,,,16.20M,432.58M,458.09M,1.311B,424.10M,886.48M,0.54,0.0,,0.5732,0.54,0.54,0.0,,0.573,0.54,769.12M,773.14M,0.42
2008-03,3.683B,3.683B,1.545B,2.138B,0.00,,52.75M,189.27M,217.11M,9.805M,-207.30M,,1.430B,708.09M,9.805M,217.11M,-207.30M,52.75M,-207.30M,553.54M,178.14M,375.40M,,,,16.20M,375.40M,339.62M,1.178B,407.69M,770.65M,0.47,0.0,,0.4233,0.47,0.47,0.0,,0.4236,0.47,766.15M,770.32M,0.4025
2007-12,3.340B,3.340B,1.413B,1.928B,,,23.35M,166.67M,212.79M,13.15M,-199.64M,,1.519B,409.03M,13.15M,212.79M,-199.64M,23.35M,-199.64M,232.74M,28.58M,204.16M,,,,,204.16M,183.68M,823.05M,377.52M,445.53M,0.26,0.0,,0.2331,0.26,0.26,0.0,,0.2333,0.26,760.30M,766.45M,0.4025
2007-09,4.832B,4.832B,2.020B,2.812B,,,46.82M,206.76M,232.79M,11.64M,-221.15M,651.13M,1.430B,1.382B,11.64M,232.79M,-221.15M,46.82M,-221.15M,1.207B,445.26M,762.00M,,,,,762.00M,732.44M,1.816B,375.96M,1.440B,1.0,0.0,,0.961,1.0,1.0,0.0,,0.9612,1.0,758.31M,762.39M,0.4025
2007-06,3.772B,3.772B,1.558B,2.214B,,,3.593M,184.53M,222.58M,9.66M,-212.92M,586.38M,1.370B,844.06M,9.66M,222.58M,-212.92M,3.593M,-212.92M,634.73M,205.58M,429.15M,,,,,429.15M,426.72M,1.226B,368.61M,857.31M,0.57,0.0,,0.5668,0.57,0.56,0.0,,0.5568,0.56,755.14M,759.85M,0.4025
2007-03,3.409B,3.409B,1.381B,2.028B,,,0.196M,183.04M,,,,847.37M,1.337B,691.33M,,,,0.196M,,494.27M,155.58M,338.69M,,,,,338.69M,338.55M,1.055B,363.90M,691.33M,0.45,0.0,,0.4498,0.45,0.45,0.0,,0.4498,0.45,750.26M,755.35M,0.3875
2006-12,3.152B,3.152B,1.231B,1.921B,,,-18.18M,177.17M,231.92M,15.34M,-216.58M,669.28M,1.452B,468.93M,15.34M,231.92M,-216.58M,-18.18M,-216.58M,234.17M,45.98M,188.18M,,,,,188.18M,202.79M,827.52M,361.43M,466.09M,0.26,0.0,,0.2796,0.26,0.25,0.0,,0.2695,0.25,744.40M,751.05M,0.3875
2006-09,4.549B,4.549B,1.865B,2.684B,,,-11.47M,186.63M,215.74M,12.75M,-202.99M,603.35M,1.327B,1.358B,12.75M,215.74M,-202.99M,-11.47M,-202.99M,1.143B,405.27M,737.98M,,,,,737.98M,745.39M,1.723B,363.52M,1.359B,0.99,0.0,,1.0,0.99,0.99,0.0,,0.9999,0.99,742.88M,747.56M,0.3875
2006-06,3.592B,3.592B,1.446B,2.145B,,,4.038M,179.20M,211.34M,6.237M,-205.10M,587.92M,1.338B,807.06M,6.237M,211.34M,-205.10M,4.038M,-205.10M,606.00M,220.78M,385.22M,,,,,385.22M,382.66M,1.161B,344.10M,817.34M,0.52,0.0,,0.5165,0.52,0.52,0.0,,0.5166,0.52,742.52M,746.39M,0.3875
2006-03,3.063B,3.063B,1.153B,1.910B,,,-22.90M,175.00M,,,,846.08M,1.320B,590.29M,,,,-22.90M,,369.57M,107.96M,261.61M,,,-9.015M,,261.61M,277.82M,942.24M,351.95M,590.29M,0.35,0.0,,0.3718,0.35,0.35,0.0,,0.3717,0.35,742.20M,747.04M,0.3725
2005-12,3.289B,3.289B,1.391B,1.899B,,,-48.70M,175.27M,195.83M,15.40M,-180.43M,664.28M,1.495B,403.96M,15.40M,195.83M,-180.43M,-48.70M,-180.43M,174.83M,21.23M,153.60M,5.416M,,,,159.02M,196.38M,717.79M,347.13M,370.66M,0.22,0.0,,0.2777,0.22,0.22,0.0,,0.2772,0.22,742.04M,747.86M,0.3725
2005-09,4.358B,4.358B,1.756B,2.602B,,,-9.494M,179.05M,194.11M,9.104M,-185.00M,641.10M,1.325B,1.277B,9.104M,194.11M,-185.00M,-9.494M,-185.00M,1.082B,351.44M,731.04M,-8.84M,,,,722.20M,737.46M,1.640B,363.67M,1.277B,0.97,0.0,,0.9786,0.97,0.97,0.0,,0.9786,0.97,743.21M,747.82M,0.3725
2005-06,3.120B,3.120B,1.117B,2.003B,,,-12.81M,162.80M,,,,832.17M,1.281B,721.39M,,,,-12.81M,,535.26M,146.45M,388.82M,-1.995M,,-7.402M,,386.82M,398.12M,1.066B,344.13M,721.39M,0.52,0.0,,0.5325,0.52,0.52,0.0,,0.5324,0.52,746.82M,751.02M,0.3725
2005-03,2.787B,2.787B,962.84M,1.824B,,,-10.06M,162.88M,,,,810.52M,1.265B,559.68M,,,,-10.06M,,393.43M,75.89M,317.54M,5.419M,,-7.402M,,322.96M,325.66M,902.75M,343.07M,559.68M,0.43,0.0,,0.4409,0.43,0.42,0.0,,0.4308,0.43,744.02M,748.67M,0.3575
2004-12,2.547B,2.547B,825.16M,1.722B,,,-45.62M,152.77M,,,,-81.69M,1.332B,389.98M,,,,-45.62M,,198.56M,-2.69M,201.25M,,,,,204.25M,228.62M,617.14M,294.16M,322.98M,0.27,0.0,,0.3069,0.27,0.27,0.0,,0.3067,0.27,741.83M,745.19M,0.3575
2004-09,3.441B,3.441B,1.170B,2.271B,,,-11.28M,161.16M,,,,755.28M,1.158B,1.113B,,,,-11.28M,,950.09M,305.62M,644.47M,,,-7.402M,,644.47M,652.13M,1.410B,297.07M,1.113B,0.87,0.0,,0.8804,0.87,0.87,0.0,,0.8803,0.87,739.34M,743.70M,0.3575
2004-06,3.009B,3.009B,1.088B,1.921B,,,-19.55M,154.58M,,,,837.88M,1.226B,694.92M,,,,-19.55M,,511.15M,159.02M,352.13M,,,-9.539M,,352.13M,365.60M,963.22M,268.30M,694.92M,0.48,0.0,,0.4982,0.48,0.47,0.0,,0.4881,0.47,738.18M,742.45M,0.35
2004-03,2.732B,2.732B,958.53M,1.774B,,,-17.55M,158.48M,,,,751.51M,1.151B,623.14M,,,,-17.55M,,454.20M,123.06M,331.14M,,,-36.64M,,331.14M,343.94M,924.60M,301.46M,623.14M,0.45,0.0,,0.4674,0.45,0.45,0.0,,0.4673,0.45,736.64M,741.60M,0.35
2003-12,2.520B,2.520B,3.061B,-540.38M,,,-76.84M,139.17M,,,,,-881.73M,341.35M,,,,-170.84M,,151.10M,25.62M,125.48M,,,,,125.48M,189.29M,476.47M,327.12M,149.35M,0.17,0.0,,0.2569,0.17,0.17,0.0,,0.2564,0.17,734.61M,738.99M,0.35
2003-09,3.301B,3.301B,1.075B,2.226B,,,-35.30M,155.26M,,,,715.77M,1.132B,1.094B,,,,-35.30M,,898.05M,279.22M,618.84M,,,-41.87M,,618.84M,643.16M,1.391B,296.64M,1.094B,0.85,0.0,,0.8833,0.85,0.84,0.0,,0.8731,0.84,729.82M,734.86M,0.35
2003-06,2.824B,2.824B,852.74M,1.971B,,,-8.723M,142.74M,,,,788.97M,1.19B,781.22M,,,,-8.723M,,617.65M,185.76M,431.89M,,,-45.42M,,431.89M,437.99M,1.084B,303.10M,781.22M,0.6,0.0,,0.6084,0.6,0.59,0.0,,0.5984,0.59,724.63M,730.29M,0.3425
2003-03,2.548B,2.548B,825.31M,1.723B,,,-31.30M,148.83M,,,,723.58M,1.117B,605.65M,,,,-31.30M,,418.60M,121.17M,297.43M,,,-44.34M,,297.43M,319.67M,899.80M,294.15M,605.65M,0.41,0.0,,0.4409,0.41,0.41,0.0,,0.4407,0.41,718.94M,724.89M,0.3425
