,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,635.07M,15.27B,15.90B,3.193B,,3.493B,288.21M,19.68B,16.36B,,17.03B,23.59B,,218.02M,,38.74M,256.76M,2.727M,259.49M,396.83M,,,396.83M,396.83M,656.32M,236.56M,,236.56M,18.03M,,11.88B,2.001B,12.48M,,,14.15B,15.22B,,0.691M,9.686B,2.166B,3.322B,-160.89M,8.369B,,AOR,Restated
2017-09,585.40M,16.41B,16.99B,3.439B,,3.854B,314.95M,21.16B,16.41B,,17.20B,23.94B,,269.23M,,54.71M,323.94M,7.564M,331.50M,,,,,,331.50M,633.34M,,633.34M,21.77M,,12.50B,1.993B,16.01M,,,15.16B,15.97B,,0.691M,9.167B,2.158B,3.272B,-84.25M,7.969B,,AOR,Restated
2017-06,469.20M,16.43B,16.90B,2.868B,,3.035B,281.34M,20.21B,16.43B,,16.98B,22.52B,,262.46M,,86.93M,349.39M,2.632M,352.02M,,,,,,352.02M,633.28M,,633.28M,23.28M,,10.53B,1.745B,18.66M,,,12.95B,13.94B,,0.691M,9.858B,2.151B,3.272B,-151.97M,8.585B,,AOR,Restated
2017-03,468.24M,16.30B,16.76B,2.758B,,2.893B,215.75M,19.87B,16.30B,,16.81B,22.19B,,207.59M,,272.47M,480.06M,12.34M,492.40M,,,,,,492.40M,633.23M,,633.23M,23.20M,,10.47B,1.705B,19.43M,,,12.85B,13.85B,,0.691M,9.663B,2.142B,3.272B,-185.52M,8.348B,,AOR,Restated
2016-12,481.92M,15.67B,16.15B,2.504B,,2.682B,191.77M,19.02B,15.67B,,16.19B,21.32B,,190.99M,,27.93M,218.91M,3.537M,222.45M,,,,,,222.45M,633.18M,,633.18M,21.28M,,10.38B,1.578B,22.06M,,,12.64B,13.25B,,0.689M,9.423B,2.141B,3.272B,-216.76M,8.075B,,AOR,Restated
2016-09,435.80M,15.80B,16.23B,2.632B,,2.802B,232.92M,19.27B,15.80B,,16.44B,21.66B,,262.66M,,76.81M,339.48M,12.34M,351.82M,,,,,,351.82M,633.12M,,633.12M,23.57M,,10.47B,1.702B,35.22M,,,12.86B,13.62B,,0.688M,9.100B,2.129B,3.265B,75.83M,8.041B,,AOR,Restated
2016-06,429.29M,15.81B,16.24B,2.412B,,2.607B,219.05M,19.07B,15.81B,,16.39B,21.28B,,224.38M,,86.00M,310.38M,3.537M,313.92M,,,,,,313.92M,633.07M,,633.07M,23.37M,,10.35B,1.496B,41.73M,,,12.54B,13.30B,,0.688M,8.853B,2.121B,3.072B,84.00M,7.985B,,AOR,Restated
2016-03,328.94M,15.63B,15.96B,2.395B,,2.619B,176.74M,18.76B,15.63B,,16.16B,20.86B,,179.07M,,54.98M,234.06M,12.34M,246.40M,,,,,,246.40M,638.37M,,638.37M,20.74M,,10.04B,1.589B,43.72M,,,12.33B,13.02B,,0.688M,8.745B,2.112B,2.972B,-45.30M,7.840B,,AOR,Restated
2015-12,283.66M,15.61B,15.89B,2.377B,,2.636B,164.97M,18.69B,15.61B,,16.20B,20.55B,,173.09M,,15.31M,188.40M,3.537M,191.94M,,,,,,191.94M,632.96M,,632.96M,13.54M,,10.01B,1.613B,40.70M,,,12.31B,12.94B,,0.686M,8.622B,2.104B,2.886B,-231.76M,7.609B,,AOR,Restated
2015-09,401.23M,16.58B,16.98B,2.495B,,2.766B,193.12M,19.94B,16.58B,,17.18B,21.68B,,199.53M,,65.15M,264.68M,12.34M,277.02M,,,,,,277.02M,638.37M,,638.37M,83.14M,,10.05B,1.717B,52.25M,,752.69M,13.29B,14.20B,,0.686M,8.314B,2.095B,2.811B,-112.23M,7.486B,,AOR,Restated
2015-06,338.90M,17.00B,17.34B,2.128B,,2.334B,179.45M,19.85B,17.00B,,17.51B,21.48B,,160.25M,,72.83M,233.08M,3.537M,236.62M,,,,,,236.62M,638.37M,,638.37M,78.55M,,9.872B,1.562B,40.82M,,759.73M,12.95B,13.76B,,0.685M,8.267B,2.085B,2.611B,-14.82M,7.727B,,AOR,Restated
2015-03,398.58M,16.77B,17.17B,2.185B,,2.345B,135.04M,19.65B,16.77B,,17.28B,21.27B,,200.26M,,76.07M,276.34M,12.34M,288.68M,,,,,,288.68M,638.36M,,638.36M,78.42M,,9.727B,1.675B,47.26M,,603.60M,12.77B,13.60B,,0.685M,8.100B,2.074B,2.561B,52.97M,7.667B,,AOR,Restated
2014-12,437.47M,16.40B,16.83B,2.069B,,2.254B,154.18M,19.24B,16.40B,,16.86B,20.82B,,139.84M,,41.09M,180.93M,3.537M,184.47M,,,,,,184.47M,638.36M,,638.36M,3.932M,,9.809B,1.729B,47.02M,,421.55M,12.65B,13.37B,,0.683M,7.819B,2.069B,2.486B,48.32M,7.451B,,AOR,Restated
2014-09,401.80M,16.65B,17.05B,2.482B,,2.669B,180.74M,19.90B,16.65B,,17.18B,21.49B,,216.03M,,97.06M,313.09M,18.31M,331.40M,250.00M,,,250.00M,250.00M,581.40M,638.36M,,638.36M,3.506M,,9.866B,1.832B,31.46M,,404.41M,12.78B,14.11B,,0.683M,7.522B,2.060B,2.386B,185.40M,7.382B,,AOR,Restated
2014-06,341.57M,16.79B,17.13B,2.237B,,2.379B,150.21M,19.66B,16.79B,,17.32B,21.19B,,217.04M,,88.46M,305.50M,6.133M,311.64M,249.98M,,,249.98M,249.98M,561.62M,638.36M,,638.36M,3.337M,,9.759B,1.678B,33.31M,,375.91M,12.49B,13.87B,,0.683M,7.281B,2.053B,2.311B,299.30M,7.323B,,AOR,Restated
2014-03,385.40M,15.94B,16.32B,2.080B,,2.217B,78.30M,18.62B,15.94B,,16.45B,20.11B,,116.88M,,95.32M,212.20M,12.09M,224.30M,,,,,,224.30M,488.33M,,488.33M,2.706M,,9.668B,1.659B,37.08M,,315.17M,12.17B,13.07B,,0.682M,7.025B,2.036B,2.236B,211.21M,7.038B,,AOR,Restated
2013-12,611.38M,15.48B,16.09B,1.994B,,2.172B,81.78M,18.34B,15.48B,,15.95B,19.81B,,116.39M,,53.87M,170.25M,4.781M,175.04M,249.96M,,,249.96M,249.96M,424.99M,238.36M,,238.36M,2.692M,,9.739B,1.580B,35.42M,,93.38M,11.69B,12.84B,,0.68M,6.766B,2.030B,1.986B,157.73M,6.968B,,AOR,Restated
2013-09,589.53M,15.13B,15.72B,2.360B,,2.412B,90.64M,18.23B,15.13B,208.14M,15.73B,20.03B,,224.87M,,52.54M,277.41M,12.09M,289.50M,,,,,,289.50M,488.30M,,488.30M,2.592M,,9.805B,1.622B,46.46M,,91.27M,12.06B,13.31B,,0.679M,6.437B,2.013B,1.914B,180.20M,6.717B,,AOR,Restated
2013-06,439.14M,15.06B,15.50B,2.167B,,2.235B,76.42M,17.81B,15.06B,258.13M,15.57B,19.56B,,191.93M,,115.36M,307.29M,4.791M,312.08M,,,,,,312.08M,528.29M,,528.29M,2.592M,,9.900B,1.445B,52.10M,,,11.93B,12.94B,,0.678M,6.226B,2.003B,1.814B,207.16M,6.623B,,AOR,Restated
2013-03,524.14M,15.50B,16.03B,2.007B,,2.048B,64.85M,18.14B,15.50B,225.88M,15.97B,19.80B,,165.36M,,49.96M,215.33M,12.09M,227.42M,,,,,,227.42M,818.17M,,818.17M,2.587M,,9.896B,1.371B,64.18M,,,12.15B,12.99B,,0.676M,5.973B,1.979B,1.603B,466.44M,6.817B,,AOR,Restated
2012-12,537.05M,15.44B,15.98B,1.897B,,1.965B,71.11M,18.02B,15.44B,262.02M,15.91B,19.78B,,162.78M,,48.83M,211.61M,4.781M,216.39M,,,,,,216.39M,1.009B,,1.009B,2.755M,,10.13B,1.323B,79.47M,,0.00,12.55B,13.04B,,0.671M,5.613B,1.946B,1.364B,537.05M,6.733B,,AOR,Restated
2012-09,478.56M,973.56M,1.452B,1.205B,,1.225B,106.87M,2.784B,15.45B,260.81M,15.93B,19.67B,,228.64M,,329.90M,558.54M,12.09M,570.63M,,,,,,570.63M,488.25M,,488.25M,,105.87M,9.847B,1.370B,79.15M,,,11.89B,12.88B,,0.67M,5.579B,1.936B,1.324B,593.80M,6.785B,,AOR,Restated
2012-06,398.85M,947.60M,1.346B,971.60M,,1.012B,76.58M,2.435B,15.04B,294.68M,15.52B,18.90B,,78.37M,,329.90M,408.26M,4.781M,413.04M,,,,,,413.04M,488.24M,,488.24M,,,9.891B,1.242B,79.85M,,,11.70B,12.49B,,0.669M,5.353B,1.924B,1.299B,438.14M,6.417B,,AOR,Restated
2012-03,472.05M,943.57M,1.416B,1.045B,,1.090B,80.90M,2.587B,15.07B,295.11M,15.58B,19.17B,,49.75M,,329.90M,379.64M,12.09M,391.74M,,,,,,391.74M,488.22M,,488.22M,,,10.03B,1.431B,63.55M,,,12.01B,12.83B,,0.667M,5.164B,1.901B,1.199B,464.20M,6.331B,,AOR,Restated
2011-12,448.65M,14.79B,15.24B,1.658B,,1.700B,85.41M,17.02B,14.79B,332.78M,15.26B,18.89B,,60.78M,,8.793M,69.57M,4.781M,74.35M,,,,,,74.35M,818.11M,,818.11M,2.528M,,10.18B,1.413B,69.73M,,,12.48B,12.82B,,0.665M,4.885B,1.893B,1.074B,366.98M,6.071B,,AOR,Restated
2011-09,443.71M,834.87M,1.279B,1.010B,,1.156B,83.95M,2.519B,14.68B,198.69M,15.18B,18.74B,,32.15M,,329.90M,362.05M,12.09M,374.14M,,,0.00,0.00,0.00,374.14M,488.20M,,488.20M,,,9.980B,1.381B,77.74M,,,11.93B,12.64B,,0.664M,4.869B,1.884B,1.066B,402.95M,6.092B,,AOR,Restated
2011-06,411.52M,784.68M,1.196B,1.007B,,1.166B,95.21M,2.458B,14.84B,129.60M,15.43B,19.00B,,20.14M,,329.90M,350.03M,4.789M,354.82M,,,40.00M,40.00M,40.00M,394.82M,488.19M,,488.19M,,,10.15B,1.348B,54.31M,,,12.04B,12.85B,,0.664M,4.832B,1.878B,1.019B,460.40M,6.153B,,AOR,Restated
2011-03,284.15M,653.60M,937.75M,969.64M,,1.177B,117.46M,2.232B,14.50B,134.57M,15.30B,18.79B,,26.82M,,329.90M,356.72M,12.10M,368.82M,,,40.00M,40.00M,40.00M,408.82M,488.18M,,488.18M,,,9.969B,1.453B,50.94M,,,11.96B,12.88B,,0.662M,4.727B,1.868B,1.019B,337.34M,5.914B,,AOR,Restated
2010-12,258.41M,785.28M,1.044B,844.83M,,992.82M,133.01M,2.170B,14.50B,149.10M,15.05B,18.41B,,47.52M,,,47.52M,4.793M,52.31M,,,50.00M,50.00M,50.00M,102.31M,818.06M,,818.06M,,,9.340B,1.455B,58.47M,,,11.67B,12.12B,,0.66M,5.069B,1.863B,981.48M,332.26M,6.284B,,AOR,Restated
2010-06,191.45M,381.93M,573.38M,968.20M,,1.064B,118.28M,1.756B,14.33B,170.22M,14.90B,18.21B,,50.82M,,329.90M,380.72M,4.892M,385.61M,,,133.00M,133.00M,133.00M,518.61M,488.14M,,488.14M,,,9.238B,1.420B,76.60M,,,11.22B,12.17B,,0.66M,4.645B,1.853B,830.04M,366.87M,6.036B,,AOR,Restated
2010-03,214.16M,592.46M,806.62M,981.52M,,1.130B,106.42M,2.043B,14.25B,172.51M,14.79B,18.16B,,42.69M,,,42.69M,12.09M,54.78M,,,,,,54.78M,818.03M,,818.03M,,,9.299B,1.454B,,,,11.57B,12.12B,,0.66M,4.516B,1.849B,629.96M,300.98M,6.037B,,AOR,Restated
2009-12,247.60M,673.13M,920.73M,978.85M,,1.124B,108.03M,2.153B,14.13B,174.17M,14.64B,18.00B,,53.01M,,,53.01M,9.885M,62.90M,,,199.97M,199.97M,199.97M,262.87M,818.01M,,818.01M,,,8.938B,1.415B,57.35M,,,11.23B,11.90B,,0.658M,4.567B,1.845B,582.93M,272.04M,6.102B,,AOR,Restated
2009-09,,1.340B,1.340B,979.13M,,1.024B,104.36M,2.469B,14.21B,245.47M,14.71B,18.13B,,51.68M,,,51.68M,12.82M,64.50M,,,,,,64.50M,1.018B,,1.018B,,157.30M,8.890B,1.467B,,,,11.53B,12.04B,,0.658M,4.398B,1.836B,482.82M,332.56M,6.085B,,AOR,Restated
2009-06,,1.107B,1.107B,983.37M,,1.073B,79.63M,2.260B,13.11B,346.28M,13.57B,17.33B,,44.28M,,,44.28M,9.885M,54.17M,,,,,,54.17M,1.018B,,1.018B,,,8.816B,1.357B,,,,11.19B,11.78B,,0.657M,4.199B,1.832B,441.75M,-43.88M,5.545B,,AOR,Restated
2009-03,467.25M,1.173B,1.640B,917.27M,,999.49M,74.05M,2.714B,12.54B,380.77M,13.05B,16.72B,,49.64M,,,49.64M,12.82M,62.46M,,,,,,62.46M,1.018B,,1.018B,,,8.775B,1.363B,,,,11.16B,11.69B,,0.657M,3.898B,1.828B,392.33M,-294.64M,5.040B,,AOR,Restated
2008-12,205.69M,1.890B,2.095B,908.11M,,940.40M,79.38M,3.115B,12.83B,442.37M,13.34B,16.85B,,51.14M,,,51.14M,11.22M,62.36M,,,,,,62.36M,1.179B,,1.179B,,,8.841B,1.336B,,,,11.36B,11.89B,,0.656M,3.819B,1.825B,392.33M,-291.85M,4.960B,,AOR,Restated
2008-09,223.63M,1.202B,1.425B,951.57M,,1.007B,72.02M,2.505B,13.09B,380.73M,13.72B,17.37B,,50.11M,,,50.11M,16.82M,66.93M,,,,,,66.93M,1.179B,,1.179B,,,9.248B,1.418B,,,,11.84B,12.33B,,0.656M,3.865B,1.821B,392.33M,-258.56M,5.037B,,AOR,Restated
2008-06,225.88M,1.261B,1.487B,1.946B,-972.87M,998.64M,84.25M,2.570B,13.65B,369.22M,14.24B,17.79B,,48.62M,,,48.62M,11.22M,59.83M,,,,,,59.83M,1.179B,,1.179B,,,9.078B,1.410B,,,,11.67B,12.23B,,0.655M,4.128B,1.816B,367.32M,-9.895M,5.568B,,AOR,Restated
2008-03,217.97M,2.272B,2.490B,960.66M,660.16M,1.621B,88.29M,4.199B,14.12B,290.70M,15.31B,18.05B,,49.52M,,,49.52M,16.82M,66.34M,,,,,,66.34M,1.179B,,1.179B,,,9.277B,1.496B,,,,11.95B,12.41B,,0.655M,4.005B,1.811B,342.42M,159.16M,5.633B,,AOR,Restated
2007-12,250.57M,2.226B,2.476B,989.92M,,1.037B,88.24M,3.602B,14.02B,227.82M,14.52B,18.00B,,68.49M,,,68.49M,11.22M,79.71M,,,,,,79.71M,1.179B,,1.179B,,,9.041B,1.567B,,,,11.79B,12.31B,,0.654M,3.957B,1.806B,241.58M,163.16M,5.685B,,AOR,Restated
2007-09,206.06M,2.666B,2.872B,994.31M,824.54M,1.819B,42.33M,4.734B,14.07B,144.52M,15.13B,17.86B,,29.65M,0.00,,29.65M,19.97M,49.62M,,,,,,49.62M,1.395B,,1.395B,,,8.974B,1.558B,,,,11.93B,12.25B,,0.653M,3.975B,1.799B,240.42M,78.49M,5.612B,,AOR,Restated
2007-06,187.79M,2.437B,2.625B,1.092B,740.22M,1.832B,51.86M,4.508B,13.63B,227.96M,14.67B,17.48B,,30.62M,0.00,,30.62M,14.37M,44.99M,,,,,,44.99M,1.395B,,1.395B,,,8.911B,1.506B,,,,11.81B,12.15B,,0.653M,3.758B,1.791B,200.08M,-12.17M,5.338B,,AOR,Restated
2007-03,160.21M,1.541B,1.701B,1.133B,785.32M,1.918B,62.65M,3.682B,13.29B,204.48M,14.22B,17.07B,,-5.634M,59.16M,,53.52M,9.041M,62.56M,,,,,,62.56M,995.64M,,995.64M,,,8.901B,1.591B,,,,11.49B,11.88B,,0.651M,3.506B,1.777B,181.04M,94.55M,5.197B,,AOR,Restated
2006-12,249.87M,1.306B,1.556B,1.910B,,1.910B,67.76M,3.534B,13.24B,220.05M,14.13B,17.11B,,57.52M,43.00M,,100.53M,,100.53M,,,,,,100.53M,995.60M,,995.60M,,,9.012B,1.612B,,,,11.62B,12.00B,,0.65M,2.988B,1.770B,0.00,348.54M,5.108B,,AOR,Restated
2006-09,209.76M,1.338B,1.548B,1.126B,852.48M,1.978B,63.01M,3.590B,13.04B,218.14M,13.85B,16.84B,,22.30M,16.12M,,38.42M,9.041M,47.46M,,,,,,47.46M,995.57M,,995.57M,,,9.074B,1.637B,,,,11.71B,12.02B,,0.65M,2.797B,1.759B,,266.78M,4.824B,,AOR,Restated
2006-06,175.42M,1.097B,1.273B,1.130B,963.88M,2.094B,75.04M,3.441B,12.69B,275.47M,13.41B,16.54B,,74.02M,0.024M,,74.05M,10.04M,84.09M,,,,,,84.09M,995.53M,,995.53M,,,9.294B,1.581B,,,,11.87B,12.16B,,0.649M,2.559B,1.757B,,62.53M,4.379B,,AOR,Restated
2006-03,166.36M,983.71M,1.150B,1.207B,1.007B,2.214B,83.43M,3.448B,12.67B,238.66M,13.40B,16.59B,,70.80M,,,70.80M,9.041M,79.84M,,,,,,79.84M,995.49M,,995.49M,,,9.432B,1.598B,,,,12.03B,12.33B,,0.649M,2.347B,1.751B,,167.85M,4.266B,,AOR,Restated
2005-12,107.28M,1.444B,1.551B,1.189B,1.049B,2.238B,84.80M,3.873B,12.58B,234.56M,13.32B,16.47B,,50.35M,0.00,,50.35M,10.04M,60.40M,,,,,,60.40M,995.46M,,995.46M,,,9.450B,1.596B,,,,12.04B,12.33B,,0.646M,2.186B,1.732B,,221.15M,4.140B,,AOR,Restated
2005-09,135.58M,642.93M,778.51M,1.291B,1.112B,2.403B,77.48M,3.259B,11.80B,195.11M,12.48B,15.78B,,72.58M,0.00,,72.58M,9.041M,81.62M,,,,,,81.62M,995.42M,,995.42M,,,9.248B,1.663B,,,,11.91B,12.18B,,0.571M,2.355B,1.017B,22.95M,269.69M,3.601B,,AOR,Restated
2005-06,112.95M,581.83M,694.78M,1.302B,1.082B,2.383B,80.21M,3.158B,11.62B,163.34M,12.22B,15.42B,,37.05M,0.00,,37.05M,10.04M,47.09M,,,,,,47.09M,995.38M,,995.38M,,,8.413B,1.573B,,,,10.98B,11.34B,,0.569M,2.779B,997.63M,22.95M,334.27M,4.082B,,AOR,Restated
2005-03,151.52M,428.53M,580.05M,1.282B,1.197B,2.479B,80.01M,3.139B,11.15B,209.63M,11.66B,15.05B,,52.03M,29.38M,,81.41M,9.229M,90.64M,,,,,,90.64M,995.35M,,995.35M,,,8.373B,1.597B,,,,10.96B,11.29B,,0.568M,2.591B,993.47M,22.95M,200.11M,3.756B,,AOR,Restated
2004-12,,,,1.314B,,1.314B,,1.314B,,,13.30B,15.07B,,,,,,16.43M,16.43M,,,,,,16.43M,1.245B,,1.245B,,,7.836B,1.596B,,,,10.68B,11.36B,,0.566M,2.430B,983.02M,22.95M,,3.712B,,AOR,Restated
2004-09,178.97M,526.17M,705.14M,1.250B,1.247B,2.497B,75.81M,3.278B,10.71B,213.69M,11.26B,14.70B,,36.14M,65.03M,,101.17M,4.028M,105.20M,,,70.00M,70.00M,70.00M,175.20M,995.66M,,995.66M,,,7.994B,1.681B,,,,10.67B,11.17B,,0.566M,2.343B,978.61M,22.95M,242.61M,3.534B,,AOR,Restated
2004-06,104.59M,831.68M,936.26M,1.208B,1.280B,2.489B,79.15M,3.504B,10.02B,232.30M,10.53B,13.91B,,32.49M,72.38M,,104.87M,13.71M,118.58M,,,70.00M,70.00M,70.00M,188.58M,995.61M,,995.61M,,,7.481B,1.643B,,,,10.12B,10.54B,,0.565M,2.337B,974.68M,22.95M,80.47M,3.365B,,AOR,Restated
2004-03,101.19M,579.57M,680.76M,1.185B,1.260B,2.444B,94.64M,3.220B,9.977B,135.87M,10.48B,13.72B,,35.12M,35.68M,,70.81M,4.169M,74.98M,,,70.00M,70.00M,70.00M,144.98M,995.56M,,995.56M,,,7.241B,1.619B,,,,9.855B,10.36B,,0.564M,2.078B,966.70M,22.95M,346.94M,3.365B,,AOR,Restated
2003-12,184.86M,151.85M,336.71M,1.048B,1.284B,2.332B,98.38M,2.767B,9.033B,145.27M,9.482B,12.69B,,46.04M,41.31M,,87.34M,13.70M,101.04M,,,,,,101.04M,665.62M,,665.62M,,,6.952B,1.500B,,,,9.118B,9.525B,,0.561M,1.958B,954.66M,22.95M,280.08M,3.165B,,AOR,Restated
2003-09,141.64M,395.50M,537.14M,946.46M,1.190B,2.137B,89.13M,2.763B,8.695B,147.93M,9.161B,12.09B,,80.50M,3.11M,,83.61M,3.83M,87.44M,,,70.00M,70.00M,70.00M,157.44M,659.07M,,659.07M,,,6.379B,1.383B,,,,8.421B,9.066B,,0.56M,1.841B,946.88M,22.95M,267.09M,3.027B,,AOR,Restated
2003-06,134.91M,212.67M,347.58M,890.66M,1.152B,2.042B,88.06M,2.478B,8.270B,98.20M,8.678B,11.42B,,99.97M,-13.36M,,86.61M,13.42M,100.03M,,,70.00M,70.00M,70.00M,170.03M,449.03M,,449.03M,,,5.995B,1.248B,,210.00M,,7.692B,8.155B,,0.559M,1.746B,938.55M,22.95M,393.79M,3.055B,,AOR,Restated
2003-03,153.72M,242.24M,395.96M,816.05M,1.097B,1.913B,75.42M,2.384B,7.372B,143.41M,7.738B,10.37B,,70.93M,9.607M,,80.54M,3.744M,84.28M,,,70.00M,70.00M,70.00M,154.28M,658.98M,,658.98M,,,5.671B,1.093B,,,,7.423B,7.881B,,0.514M,1.641B,619.41M,22.95M,251.53M,2.489B,,AOR,Restated
2002-12,,,,673.38M,,673.38M,,673.38M,,,8.898B,9.865B,,,,,,,,,,,,,,938.94M,,938.94M,,,,872.34M,,,,1.811B,7.496B,,0.513M,1.551B,618.52M,22.95M,,2.369B,,AOR,Restated
