,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,210.32M,24.90M,24.90M,,,,8.95M,8.336M,17.29M,-0.685M,63.22M,24.41M,-24.60M,,-142.94M,-72.39M,195.64M,,,-1.117B,,-55.42M,,,,,,0.00,0.00,-53.24M,-53.24M,-9.383M,-14.24M,-76.87M,,635.07M,63.36M,2.163M,700.59M,,,,,0.00,,2.422M,,AOR,Restated
2017-12,584.81M,-33.66M,-33.66M,,,,11.21M,7.286M,18.50M,353.92M,-4.614M,-49.28M,-28.56M,,49.62M,-465.13M,118.48M,,,-1.991B,,31.92M,,,,,,-50.00M,-50.00M,-53.36M,-53.36M,0.34M,-0.199M,-103.21M,,585.40M,47.18M,2.493M,635.07M,,,,,-50.00M,106.16M,15.88M,,AOR,Restated
2017-09,-639.37M,-41.54M,-41.54M,,,,12.18M,7.286M,19.47M,-746.49M,-19.58M,-6.573M,-23.12M,,-54.86M,1.057B,409.86M,,,-1.315B,,-235.04M,,,,,,0.00,0.00,-51.30M,-51.30M,0.197M,-0.30M,-51.40M,,469.20M,123.41M,-7.224M,585.40M,,,,,0.00,0.929M,2.28M,,AOR,Restated
2017-06,245.67M,-25.27M,-25.27M,,,,10.73M,8.224M,18.95M,-96.92M,-72.58M,52.26M,-20.03M,,-74.76M,-4.417M,252.55M,,,-1.506B,,-195.17M,,,,,,0.00,0.00,-51.30M,-51.30M,0.782M,-0.89M,-51.41M,,468.24M,5.967M,-5.002M,469.20M,,,,,0.00,48.18M,17.71M,,AOR,Restated
2017-03,291.64M,-52.73M,-52.73M,,,,11.75M,7.501M,19.25M,-213.52M,-22.49M,13.67M,-11.00M,,13.00M,118.27M,381.81M,,,-1.500B,,-334.29M,,,,,,,,-51.28M,-51.28M,-6.629M,-11.52M,-69.43M,,481.92M,-21.90M,8.22M,468.24M,,,,,,9.593M,0.105M,,AOR,Restated
2016-12,373.57M,-34.00M,-34.00M,,,,11.01M,6.039M,17.05M,93.35M,9.777M,-59.29M,-4.65M,,109.16M,57.14M,422.85M,,0.00,-1.550B,,-326.90M,,,,,-5.315M,-7.06M,-12.38M,-51.09M,-51.09M,,-0.578M,-53.29M,,435.80M,42.66M,3.463M,481.92M,,-5.315M,,,-7.06M,2.564M,17.78M,,AOR,Restated
2016-09,295.39M,-0.38M,-0.38M,,,,14.03M,6.097M,20.12M,-198.89M,-14.43M,38.98M,-16.77M,,-180.87M,-49.57M,277.18M,,47.72M,-1.421B,,-34.37M,,,,,2.632M,-192.87M,-190.24M,-47.46M,-47.46M,,-0.927M,-238.62M,,429.29M,4.191M,2.317M,435.80M,,2.632M,,,-192.87M,-1.833M,0.035M,,AOR,Restated
2016-06,155.69M,-32.66M,-32.66M,,,,11.77M,6.221M,17.99M,-29.40M,-55.96M,41.25M,-22.70M,,13.93M,141.68M,308.09M,,,-1.238B,,-88.42M,,,,,2.532M,-100.44M,-97.91M,-48.13M,-48.13M,,-0.759M,-146.80M,,328.94M,72.86M,27.48M,429.29M,,2.532M,,,-100.44M,36.90M,17.82M,,AOR,Restated
2016-03,171.69M,74.26M,74.26M,,,,12.36M,8.041M,20.40M,-29.14M,50.37M,5.254M,6.181M,,12.18M,93.22M,375.48M,,,-1.320B,,-208.18M,,,,,0.151M,-85.91M,-85.76M,-48.71M,-48.71M,,-8.331M,-142.80M,,283.66M,24.49M,20.79M,328.94M,,0.151M,,,-85.91M,5.00M,0.37M,,AOR,Restated
2015-12,357.28M,-10.51M,-10.51M,,,,12.13M,5.087M,17.22M,172.45M,43.56M,-26.38M,-0.24M,,-19.32M,-68.95M,306.39M,,0.00,-327.43M,,-312.01M,,,,,-9.896M,-75.08M,-84.97M,-49.20M,-49.20M,,,-132.18M,,401.23M,-137.80M,20.23M,283.66M,,-9.896M,,,-75.08M,41.62M,17.93M,,AOR,Restated
2015-09,88.55M,159.97M,159.97M,,,,13.26M,5.786M,19.04M,-445.60M,-62.83M,53.39M,0.115M,,-10.73M,-21.66M,270.20M,,3.934M,32.56M,,50.57M,,,,,4.428M,-200.00M,-195.57M,-41.70M,-41.70M,,,-237.27M,,338.90M,83.50M,-21.18M,401.23M,,4.428M,,,-200.00M,29.88M,0.132M,,AOR,Restated
2015-06,209.06M,24.18M,24.18M,,,,12.18M,5.194M,17.38M,50.61M,-21.42M,-64.46M,-6.078M,,0.56M,-79.28M,181.07M,,,-171.42M,,-154.52M,,,,,5.466M,-49.94M,-44.48M,-41.96M,-41.96M,,,-86.43M,,398.58M,-59.88M,0.203M,338.90M,,5.466M,,,-49.94M,69.09M,17.78M,,AOR,Restated
2015-03,322.98M,10.50M,10.50M,,,,13.33M,5.17M,18.50M,-177.54M,-24.90M,81.17M,-6.762M,,32.17M,-10.02M,350.57M,,,-275.94M,,-265.15M,,,,,0.002M,-75.04M,-75.04M,-42.25M,-42.25M,,,-117.29M,,437.47M,-31.87M,-7.032M,398.58M,,0.002M,,,-75.04M,24.27M,0.132M,,AOR,Restated
2014-12,297.96M,-13.35M,-13.35M,,,,11.21M,6.477M,17.68M,395.86M,28.44M,-73.68M,-15.03M,,-110.52M,-183.42M,128.82M,,0.00,369.26M,,425.47M,,-250.00M,,-250.00M,2.374M,-100.08M,-97.71M,-42.88M,-42.88M,,-125.87M,-516.45M,,401.80M,37.84M,-2.167M,437.47M,,2.374M,0.00,,-100.08M,6.895M,24.27M,,AOR,Restated
2014-09,301.25M,9.448M,9.448M,,,,10.96M,4.952M,15.91M,-307.15M,-42.21M,1.438M,-21.24M,,24.76M,-18.83M,335.51M,,0.00,-141.10M,,-104.36M,,0.00,,0.00,2.322M,-74.99M,-72.67M,-33.97M,-33.97M,,-75.33M,-181.98M,,341.57M,49.18M,11.05M,401.80M,,2.322M,0.00,,-74.99M,49.32M,0.132M,,AOR,Restated
2014-06,297.92M,-59.02M,-59.02M,,,,13.51M,5.341M,18.85M,-164.70M,-71.96M,99.37M,-5.513M,,-32.91M,-39.26M,223.34M,,,-700.70M,,-695.26M,,400.00M,,400.00M,11.02M,-74.97M,-63.95M,-34.32M,-34.32M,,130.50M,432.24M,,385.40M,-39.68M,-4.149M,341.57M,,11.02M,400.00M,,-74.97M,80.98M,14.84M,,AOR,Restated
2014-03,302.02M,-21.13M,-21.13M,,,,13.59M,4.427M,18.01M,-54.95M,5.758M,1.176M,2.313M,,-23.96M,59.59M,367.10M,,,-401.51M,,-384.44M,,,,,2.121M,-249.98M,-247.86M,-34.74M,-34.74M,,70.70M,-211.90M,,611.38M,-229.24M,3.264M,385.40M,,2.121M,,,-249.98M,16.26M,0.174M,,AOR,Restated
2013-12,366.75M,-94.63M,-94.63M,,,,16.19M,16.76M,32.95M,463.91M,8.413M,-108.74M,-5.212M,,10.90M,-40.02M,273.30M,,,-299.07M,,-278.67M,,0.00,,0.00,-0.172M,-71.96M,-72.13M,-35.96M,-35.96M,,143.00M,34.91M,,589.53M,29.53M,-7.683M,611.38M,,-0.172M,,0.00,-71.96M,4.384M,14.87M,,AOR,Restated
2013-09,238.53M,-44.96M,-44.96M,,,,14.79M,4.923M,19.71M,-119.22M,-1.876M,33.94M,-4.343M,,6.754M,167.10M,386.02M,,,-157.87M,,-152.64M,,-40.00M,,-40.00M,5.103M,-100.00M,-94.90M,-23.17M,-23.17M,,87.50M,-70.57M,,439.14M,162.81M,-12.41M,589.53M,,5.103M,-40.00M,0.00,-100.00M,-1.82M,0.243M,,AOR,Restated
2013-06,275.64M,-33.90M,-33.90M,,,,16.91M,4.551M,21.46M,-147.98M,-27.18M,25.58M,-18.99M,,-31.05M,-93.03M,179.58M,,,230.66M,,255.10M,,-289.90M,,-289.90M,19.65M,-211.32M,-191.67M,-23.32M,-23.32M,,,-504.88M,,524.14M,-70.20M,-14.80M,439.14M,,19.65M,40.00M,-329.90M,-211.32M,47.55M,17.28M,,AOR,Restated
2013-03,384.34M,-126.74M,-126.74M,,,,18.62M,5.614M,24.23M,-81.58M,8.03M,4.188M,-17.36M,,-43.81M,-56.17M,259.36M,,,-97.80M,,-47.79M,,,,,26.92M,-238.63M,-211.71M,-24.23M,-24.23M,,,-235.94M,,537.05M,-24.37M,11.46M,524.14M,,26.92M,,,-238.63M,19.19M,6.001M,,AOR,Restated
2012-12,58.78M,-19.52M,-19.52M,,,,16.06M,9.158M,25.22M,-36.38M,30.97M,-64.58M,-17.01M,,-69.02M,120.00M,215.20M,,,-97.39M,,-96.68M,,0.00,,0.00,1.605M,-39.96M,-38.36M,-24.74M,-24.74M,,,-63.09M,,478.56M,55.42M,3.074M,537.05M,,1.605M,0.00,0.00,-39.96M,5.291M,21.07M,,AOR,Restated
2012-09,250.92M,-62.74M,-62.74M,,,,14.84M,9.452M,24.29M,-230.35M,10.16M,138.24M,-18.27M,,3.655M,-37.55M,174.93M,,,-95.98M,,-63.96M,,0.00,,0.00,1.913M,-25.03M,-23.11M,-24.90M,-24.90M,,,-48.01M,,398.85M,62.96M,16.75M,478.56M,,1.913M,,0.00,-25.03M,30.66M,5.851M,,AOR,Restated
2012-06,214.55M,16.58M,16.58M,,,,16.21M,7.652M,23.86M,41.10M,13.80M,30.02M,-15.97M,,117.50M,-116.22M,138.77M,,,-110.16M,,-97.37M,,0.00,,0.00,15.34M,-100.00M,-84.66M,-25.13M,-25.13M,,,-109.78M,,472.05M,-68.38M,-4.817M,398.85M,,15.34M,0.00,0.00,-100.00M,12.62M,20.39M,,AOR,Restated
2012-03,304.70M,-98.72M,-98.72M,,,,14.78M,5.722M,20.50M,54.74M,3.727M,-3.122M,-12.52M,,24.65M,-60.75M,165.74M,,,-14.76M,,-6.536M,,,,,2.611M,-125.00M,-122.39M,-25.64M,-25.64M,,,-148.03M,,448.65M,11.17M,12.22M,472.05M,,2.611M,,,-125.00M,11.18M,5.698M,,AOR,Restated
2011-12,41.04M,-137.28M,-137.28M,,,,13.50M,4.74M,18.24M,97.35M,15.14M,94.41M,,,-145.16M,190.86M,171.08M,,0.00,-221.05M,,-113.00M,,0.00,,0.00,3.761M,-8.251M,-4.49M,,-25.79M,,,-30.28M,,443.71M,27.81M,-22.86M,448.65M,,3.761M,,0.00,-8.251M,-5.919M,20.26M,,AOR,Restated
2011-09,63.05M,137.67M,137.67M,,,,8.826M,5.295M,14.12M,8.267M,10.13M,-61.57M,,0.394M,49.39M,-6.936M,207.91M,,0.00,-67.19M,,-67.19M,,-40.00M,,-40.00M,0.951M,-46.63M,-45.68M,,-25.94M,,,-111.61M,,411.52M,29.11M,3.072M,443.71M,,0.951M,,-50.00M,-46.63M,-6.627M,5.607M,,AOR,Restated
2011-06,131.31M,4.845M,4.845M,,,,12.83M,4.212M,17.04M,14.80M,22.32M,-24.48M,,-0.176M,-78.58M,-2.559M,150.64M,,0.00,-5.031M,,-5.031M,,0.00,,0.00,5.879M,0.00,5.879M,,-26.08M,,,-20.20M,,284.15M,125.41M,1.969M,411.52M,,5.879M,,,0.00,0.622M,20.26M,,AOR,Restated
2011-03,-315.89M,-12.16M,-12.16M,,,,12.76M,3.446M,16.21M,-175.73M,17.03M,-3.444M,,-0.218M,88.93M,499.95M,188.11M,,-63.10M,-18.61M,,-81.71M,,-10.00M,,-10.00M,1.678M,-37.61M,-35.93M,,-26.04M,,,-71.98M,,258.41M,34.42M,-8.68M,284.15M,,1.678M,,,-37.61M,11.92M,5.519M,,AOR,Restated
2010-12,302.53M,-32.59M,-32.59M,,,,9.917M,2.857M,12.77M,-11.58M,6.439M,-29.24M,,0.789M,9.885M,-154.85M,127.86M,,0.00,-44.47M,,35.38M,,-33.00M,,-33.00M,1.617M,-51.71M,-50.10M,,-26.06M,,,-109.16M,,201.14M,54.08M,3.186M,258.41M,,1.617M,-33.00M,0.00,-51.71M,-36.72M,20.18M,,AOR,Restated
2010-09,174.20M,-38.30M,-38.30M,,,,14.86M,4.799M,19.66M,76.79M,-17.46M,29.32M,,-0.22M,-33.68M,142.20M,297.77M,,0.00,-100.92M,,-100.92M,,-50.00M,,-50.00M,0.60M,-99.73M,-99.13M,,-26.57M,,,-175.70M,,191.45M,21.14M,-11.46M,201.14M,,0.60M,83.00M,-133.00M,-99.73M,0.877M,5.66M,,AOR,
2010-06,156.67M,41.69M,41.69M,,,,10.46M,3.589M,14.05M,2.624M,-13.10M,-11.85M,,-0.434M,70.05M,9.09M,221.51M,,0.00,-159.21M,,-159.21M,,133.00M,,133.00M,0.128M,-200.08M,-199.95M,,-27.56M,,,-94.51M,,214.16M,-32.20M,9.499M,191.45M,,0.128M,,133.00M,-200.08M,23.08M,20.16M,,AOR,Restated
2010-03,-22.65M,-72.72M,-72.72M,,,,10.93M,3.541M,14.47M,-7.759M,0.41M,6.789M,,-0.135M,-72.04M,352.23M,271.33M,,0.00,-45.26M,,-45.26M,,-200.00M,,-200.00M,0.721M,-47.03M,-46.31M,,-28.28M,,,-274.60M,,247.60M,-48.52M,15.08M,214.16M,,0.721M,,-200.00M,-47.03M,12.76M,14.20M,,AOR,Restated
2009-12,197.23M,-8.30M,-8.30M,,,,19.43M,3.057M,0.00,-4.597M,,87.08M,,,-119.35M,-25.34M,186.07M,,,-76.14M,-3.522M,-79.66M,,0.00,,0.00,5.782M,-100.10M,-94.32M,,-28.67M,,,-122.99M,,265.08M,-16.58M,-0.90M,247.60M,,5.782M,,0.00,-100.10M,41.07M,20.14M,,AOR,Restated
2009-09,228.62M,-31.06M,-31.06M,,,,5.96M,3.534M,0.00,10.97M,,5.771M,,-1.148M,-80.16M,107.69M,314.74M,,,-467.49M,13.97M,-453.52M,,-83.03M,,-83.03M,1.114M,-41.08M,-39.96M,,-29.10M,,83.03M,-69.06M,,472.30M,-207.84M,0.616M,265.08M,,1.114M,,-83.03M,-41.08M,2.983M,14.19M,,AOR,Restated
2009-06,272.59M,41.68M,41.68M,,,,4.439M,3.62M,-65.14M,-27.21M,,9.228M,,1.148M,44.23M,-153.76M,103.42M,,,-62.40M,,-62.40M,,83.03M,,83.03M,0.256M,-49.42M,-49.16M,,-29.55M,,-83.03M,-78.71M,,467.25M,-37.68M,42.74M,472.30M,,0.256M,,83.03M,-49.42M,40.64M,19.81M,,AOR,Restated
2009-03,108.56M,,,,,,2.536M,3.136M,-13.13M,-32.14M,,44.99M,,,41.05M,79.41M,180.51M,,,223.22M,,223.22M,,-83.03M,,-83.03M,0.132M,0.00,0.132M,,-29.54M,,,-112.43M,,205.69M,291.29M,-29.74M,467.25M,,0.132M,,-83.03M,0.00,27.14M,18.32M,,AOR,Restated
2008-12,-16.59M,234.52M,234.52M,,,,5.921M,2.794M,8.715M,12.92M,,-79.23M,,,157.23M,-171.33M,55.31M,,,-173.62M,158.51M,-15.12M,,,,0.00,0.352M,-0.001M,0.351M,,-29.48M,,,-29.13M,,223.63M,11.06M,-29.00M,205.69M,,0.352M,,,-0.001M,-3.286M,-53.00M,,AOR,Restated
2008-09,-233.13M,461.31M,461.31M,,,,4.95M,2.941M,-144.92M,9.685M,,59.19M,,,-37.08M,307.27M,375.40M,,,-143.11M,-158.51M,-301.62M,,,,0.00,2.053M,-24.77M,-22.71M,,-29.46M,,,-52.18M,,225.88M,21.61M,-23.86M,223.63M,,2.053M,,,-24.77M,-97.42M,13.94M,,AOR,Restated
2008-06,153.03M,-136.38M,-136.38M,,,,4.068M,2.891M,159.77M,-18.23M,,-90.80M,56.13M,3.012M,-52.26M,-209.92M,-18.36M,,,80.33M,,80.33M,,,,,,-22.56M,-22.56M,,-29.68M,,,-52.24M,,217.97M,9.722M,-1.815M,225.88M,,,,,-22.56M,67.49M,25.14M,,AOR,Restated
2008-03,77.93M,136.38M,136.38M,,,,0.496M,7.679M,8.175M,31.74M,,,-56.13M,-3.012M,49.44M,28.16M,250.65M,,,-153.62M,,-153.62M,,,,,,-103.41M,-103.41M,,-29.99M,,,-133.41M,,250.57M,-36.37M,3.777M,217.97M,,,,,-103.41M,33.22M,13.93M,,AOR,Restated
2007-12,12.24M,64.96M,64.96M,,,,-1.839M,3.614M,1.775M,6.53M,,,-83.99M,,26.15M,156.76M,235.74M,,,10.22M,58.68M,68.91M,,-216.50M,,-216.50M,3.461M,-1.164M,2.297M,,-30.39M,,,-244.59M,,206.06M,60.06M,-15.55M,250.57M,,3.461M,0.00,,-1.164M,14.82M,30.27M,,AOR,Restated
2007-09,246.59M,-18.58M,-18.58M,,,-26.40M,-6.591M,13.50M,75.81M,46.23M,,,83.99M,,-205.35M,78.55M,355.96M,,,-240.55M,-27.38M,-267.93M,,0.00,,0.00,3.332M,-40.34M,-37.01M,,-30.04M,,,-67.05M,,187.79M,20.98M,-2.711M,206.06M,,3.332M,0.00,,-40.34M,107.44M,18.49M,,AOR,Restated
2007-06,282.87M,-132.67M,-132.67M,,,7.337M,-1.337M,,100.78M,113.59M,,120.54M,,,-145.34M,-156.56M,100.43M,,,-446.63M,27.38M,-419.25M,,395.64M,,395.64M,9.715M,-19.04M,-9.324M,,-30.22M,,,356.09M,,160.21M,37.27M,-9.685M,187.79M,,9.715M,395.64M,,-19.04M,160.31M,34.38M,,AOR,Restated
2007-03,297.58M,,,,,19.07M,1.337M,,-169.68M,-10.81M,,-120.54M,,,145.34M,13.99M,162.30M,,,-34.74M,,-34.74M,,,,,1.725M,-181.04M,-179.32M,,-30.74M,,,-210.05M,,249.87M,-82.49M,-7.169M,160.21M,,1.725M,,,-181.04M,,,,AOR,Restated
2006-12,206.35M,,,-19.34M,-19.34M,-19.69M,2.605M,,-14.80M,8.921M,,374.93M,-135.98M,366.14M,-627.03M,-13.02M,142.11M,,,-110.80M,-1.396M,-112.20M,,0.00,,0.00,5.754M,,5.754M,,-15.61M,,,-9.855M,,209.76M,20.05M,20.06M,249.87M,,5.754M,0.00,,,,,,AOR,Restated
2006-09,245.68M,,,19.34M,19.34M,-0.851M,6.053M,,-91.29M,194.18M,,-348.92M,135.98M,-366.14M,386.92M,2.017M,180.94M,,,-759.89M,612.51M,-147.37M,,0.00,,0.00,-0.545M,0.00,-0.545M,,-7.798M,,,-8.343M,,175.42M,25.23M,9.112M,209.76M,,-0.545M,0.00,,0.00,,,,AOR,Restated
2006-06,220.40M,,,,,-0.292M,5.948M,,-57.58M,139.35M,,-22.80M,,,-133.41M,-16.85M,151.62M,,,-108.94M,-40.86M,-149.80M,,0.00,,0.00,2.659M,0.00,2.659M,,-7.792M,,,-5.133M,,166.36M,-3.308M,12.37M,175.42M,,2.659M,0.00,,0.00,,,,AOR,Restated
2006-03,168.40M,,,,,-4.693M,7.34M,,-40.73M,32.91M,,-1.584M,,,,31.33M,161.64M,,,462.81M,-581.58M,-118.78M,,,,,15.76M,0.00,15.76M,,-7.787M,,,7.972M,,107.28M,50.84M,8.253M,166.36M,,15.76M,,,0.00,,,,AOR,Restated
2005-12,-162.20M,,,7.795M,7.795M,-31.78M,7.795M,,-93.10M,222.74M,,-63.31M,-17.99M,204.96M,,346.40M,74.90M,,,-1.558B,717.29M,-840.37M,,250.00M,,250.00M,715.26M,,715.26M,,-6.809M,,,746.71M,,135.58M,-18.75M,-9.553M,107.28M,,715.26M,,0.00,,,,,AOR,Restated
2005-09,-417.74M,,,8.297M,8.297M,-30.08M,8.297M,,-136.00M,13.50M,,90.00M,-64.90M,905.79M,,944.38M,377.15M,,,442.88M,-788.06M,-345.18M,,0.00,,0.00,5.841M,,5.841M,,-6.216M,,,-0.375M,,112.95M,31.60M,-8.965M,135.58M,,5.841M,,0.00,,,,,AOR,Restated
2005-06,194.18M,,,11.37M,11.37M,3.466M,3.666M,,-287.81M,86.36M,,-19.34M,24.07M,277.34M,,368.43M,293.30M,,,-358.42M,39.76M,-318.66M,,0.00,,0.00,1.047M,,1.047M,,-6.202M,,,-5.155M,,151.52M,-30.52M,-8.051M,112.95M,,1.047M,,0.00,,,,,AOR,Restated
2005-03,167.10M,,,,,-12.65M,7.702M,,118.30M,43.92M,,0.842M,,,,44.76M,325.22M,,,-138.47M,31.17M,-107.30M,,-250.00M,,-250.00M,10.44M,,10.44M,,-6.198M,,,-245.75M,,184.93M,-27.84M,-5.572M,151.52M,,10.44M,,-250.00M,,,,,AOR,Restated
2004-12,93.33M,,,,,-27.94M,-17.95M,,-1.441B,114.20M,,86.05M,,,,1.569B,200.30M,,,-320.55M,-73.92M,-394.47M,,176.65M,,176.65M,1.104M,,1.104M,,-5.616M,,,172.14M,,178.97M,-22.04M,28.00M,184.93M,,1.104M,246.65M,-70.00M,,,,,AOR,Restated
2004-09,11.46M,,,,,12.14M,4.354M,,-94.15M,-6.703M,,570.96M,,,,564.26M,498.06M,,,-447.57M,49.22M,-398.34M,,0.00,,0.00,0.703M,,0.703M,,-5.608M,,,-4.905M,,104.59M,94.82M,-20.44M,178.97M,,0.703M,0.00,0.00,,,,,AOR,Restated
2004-06,263.97M,,,,,-17.76M,7.119M,,-143.72M,-23.79M,,307.05M,,,,283.26M,392.87M,,,-294.00M,-101.16M,-395.15M,,0.00,,0.00,7.986M,,7.986M,,-5.605M,,,2.381M,,101.19M,0.101M,3.294M,104.59M,,7.986M,0.00,0.00,,,,,AOR,Restated
2004-03,126.10M,,,,,2.41M,6.479M,,-56.19M,-136.08M,,456.93M,,,,320.85M,399.64M,,,-913.19M,101.16M,-812.04M,,320.00M,,320.00M,12.04M,,12.04M,,-5.592M,,,326.45M,,184.86M,-85.94M,2.278M,101.19M,,12.04M,320.00M,0.00,,,,,AOR,Restated
2003-12,121.78M,,,10.64M,10.64M,-17.53M,7.826M,,-1.861B,-175.50M,,604.02M,-146.39M,1.937B,,2.219B,480.66M,,,-257.05M,-208.69M,-465.73M,,,,,7.781M,,7.781M,,-5.01M,,,2.771M,,141.64M,17.70M,25.53M,184.86M,,7.781M,,,,,,,AOR,Restated
