,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2014-06,86.60M,,0.00,2.60M,,52.00M,52.00M,-22.30M,,4.30M,1.60M,-188.90M,-61.10M,,124.90M,,-77.70M,7.30M,-195.50M,-70.40M,,-11.70M,,,0.00,0.00,-11.70M,,-48.10M,-48.10M,,0.00,0.00,-7.30M,-7.30M,2.70M,55.00M,2.30M,,306.70M,-79.80M,0.70M,227.60M,,,0.00,-48.10M,0.00,102.40M,83.70M,,AOR,Restated
2014-03,50.90M,,0.00,5.40M,,52.00M,52.00M,-22.10M,,3.30M,1.60M,113.20M,-6.50M,,21.50M,,52.00M,-25.00M,155.20M,246.30M,,-9.30M,,,0.00,-20.90M,-30.20M,,-83.40M,-83.40M,,,,-7.30M,-7.30M,0.10M,-6.40M,-97.00M,,188.10M,119.10M,-0.50M,306.70M,,,0.00,-83.40M,,9.50M,16.10M,,AOR,Restated
2013-12,60.00M,,,8.50M,,51.90M,51.90M,-27.40M,,2.30M,3.30M,-142.90M,-28.30M,,-8.70M,,17.10M,59.70M,-103.10M,-4.50M,,-16.60M,,,0.00,,-16.60M,,-165.40M,-165.40M,0.00,-0.10M,-0.10M,-7.30M,-7.30M,0.00,31.90M,-140.90M,,350.20M,-162.00M,-0.10M,188.10M,,0.00,0.00,-165.40M,-0.10M,18.20M,98.10M,,AOR,Restated
2013-09,-2.20M,,,41.30M,,52.00M,52.00M,2.20M,,40.30M,1.90M,81.00M,24.80M,,-99.00M,,29.20M,-7.80M,28.20M,163.70M,,-10.50M,,,0.00,,-10.50M,,-348.50M,-348.50M,424.70M,0.00,424.70M,0.00,0.00,0.00,-59.30M,16.90M,,179.30M,170.10M,0.80M,350.20M,,424.70M,188.60M,-537.10M,0.00,13.40M,26.80M,,AOR,Restated
2013-06,46.70M,,,10.30M,,52.30M,52.30M,-9.40M,,2.10M,2.30M,-127.70M,-20.10M,,129.60M,,-39.80M,-47.20M,-105.20M,-0.90M,,-11.20M,,,,,-11.20M,,43.70M,43.70M,,0.00,0.00,0.00,0.00,0.00,1.50M,45.20M,,147.10M,33.10M,-0.90M,179.30M,,,1.410B,-1.366B,0.00,49.20M,126.50M,,AOR,Restated
2013-03,28.30M,,,3.90M,,52.00M,52.00M,-14.10M,,1.90M,3.00M,18.80M,-43.90M,,124.20M,,57.60M,-23.70M,133.00M,208.00M,,-8.80M,,,,,-8.80M,,-93.10M,-93.10M,,-0.10M,-0.10M,0.00,0.00,0.00,3.70M,-89.50M,,37.90M,109.70M,-0.50M,147.10M,,,,-93.10M,-0.10M,1.70M,16.20M,,AOR,Restated
2012-12,33.30M,,,7.80M,,51.10M,51.10M,-8.20M,,4.10M,2.90M,9.90M,32.20M,,-171.90M,,-49.20M,38.30M,-140.70M,-49.70M,,-16.00M,,,,,-16.30M,,-106.30M,-106.30M,0.00,-0.30M,-0.30M,,,,17.90M,-88.70M,,193.00M,-154.70M,-0.40M,37.90M,,0.00,33.00M,-139.30M,-0.30M,41.30M,137.10M,,AOR,Restated
2012-09,38.00M,,,0.00,,53.40M,53.40M,-16.10M,,6.50M,2.80M,-40.10M,-25.20M,,2.20M,,37.90M,3.00M,-22.20M,62.40M,,-9.70M,,,,,-9.70M,,0.00,0.00,0.00,-0.10M,-0.10M,,,,-19.10M,-19.20M,,158.70M,33.50M,0.80M,193.00M,,0.00,0.00,0.00,-0.10M,43.50M,14.20M,,AOR,
2012-06,36.80M,,,0.00,,53.20M,53.20M,-15.40M,,5.80M,3.00M,-141.10M,25.10M,,167.50M,,-30.50M,-22.30M,-1.30M,81.70M,,-7.40M,,,,,-7.40M,,0.00,0.00,,0.00,0.00,,,,48.30M,48.30M,,36.50M,122.60M,-0.40M,158.70M,,,108.00M,-108.00M,0.00,38.10M,135.10M,,AOR,
2012-03,10.90M,,,9.40M,,52.50M,52.50M,-16.60M,,5.70M,5.90M,160.90M,-25.00M,,3.00M,,39.70M,-23.80M,154.80M,223.00M,,-8.30M,,,,,-8.30M,,-202.20M,-202.20M,,-0.30M,-0.30M,,,,-75.90M,-278.40M,,99.90M,-63.70M,0.30M,36.50M,,,283.70M,-485.90M,-0.30M,0.30M,16.30M,,AOR,
2011-12,17.10M,7.00M,,126.20M,,204.90M,204.90M,-10.20M,,19.50M,15.10M,-183.40M,-29.00M,,-19.80M,,39.60M,34.30M,-158.30M,43.20M,,-45.70M,,,-10.30M,36.20M,-19.80M,,-320.20M,-320.20M,,-0.40M,-0.40M,,,,370.10M,49.50M,,25.90M,72.90M,1.10M,99.90M,,,2.47B,-2.790B,-0.40M,,136.30M,,,Restated
2011-09,39.00M,-4.80M,,-123.70M,,-102.40M,-102.40M,17.50M,-7.70M,-8.10M,0.60M,86.10M,56.00M,,-194.60M,,4.30M,26.50M,-21.70M,-35.90M,,16.70M,,,6.60M,-33.00M,-9.70M,,160.10M,160.10M,,0.20M,0.20M,,,,-131.90M,28.40M,,44.60M,-17.20M,-1.50M,25.90M,,,-1.93B,2.090B,0.20M,,18.40M,,,
2011-06,-34.80M,1.80M,,117.50M,,50.80M,50.80M,-9.40M,3.70M,4.10M,0.00,-100.30M,-40.20M,,121.90M,,-65.70M,-37.40M,-121.70M,11.10M,,-8.30M,,,0.00,-2.00M,-10.30M,,-16.70M,-16.70M,,-0.20M,-0.20M,,,,-12.90M,-29.80M,,73.70M,-29.00M,-0.10M,44.60M,,,1.623B,-1.640B,-0.20M,,150.50M,,,
2011-03,-4.20M,3.00M,,6.20M,,51.60M,51.60M,-8.10M,4.00M,4.00M,-0.60M,14.20M,-15.80M,,72.70M,,61.40M,10.90M,143.40M,196.30M,,-8.40M,,,-6.60M,-1.20M,-16.20M,,-143.40M,-143.40M,,,,,,,-0.10M,-143.50M,,36.60M,36.60M,0.50M,73.70M,,,307.00M,-450.40M,,,27.70M,,,
2010-12,-29.20M,56.20M,,54.90M,,209.40M,209.40M,-4.30M,,11.50M,17.40M,-81.50M,-34.90M,,269.30M,,77.80M,-65.40M,165.30M,59.90M,,-41.50M,,,-84.10M,83.10M,-42.50M,,-339.00M,-339.00M,,0.00,0.00,,,,290.90M,-48.10M,,67.00M,-30.70M,0.30M,36.60M,,,1.271B,-1.610B,0.00,,155.30M,,,Restated
2010-09,4.80M,-16.30M,,-7.10M,,-105.10M,-105.10M,29.30M,-9.00M,-8.40M,-17.40M,110.80M,54.70M,,-298.90M,,-61.60M,28.90M,-166.10M,103.50M,,10.50M,,,39.40M,-77.00M,-27.10M,,266.20M,266.20M,,,,,,,-302.00M,-35.80M,,26.10M,40.60M,0.30M,67.00M,,,-249.80M,516.00M,,,44.30M,,,
2010-06,-7.00M,22.60M,,22.60M,,52.70M,52.70M,-14.70M,4.50M,4.10M,8.60M,-147.50M,-46.00M,,125.00M,,-13.80M,-32.90M,-115.20M,-53.00M,,-6.30M,,,-19.20M,-5.90M,-31.40M,,43.30M,43.30M,,0.00,0.00,,,,,43.30M,,67.70M,-41.10M,-0.50M,26.10M,,,249.80M,-206.50M,0.00,,132.50M,,,
2010-03,2.20M,-6.30M,,-15.50M,,52.40M,52.40M,-14.60M,4.50M,4.30M,8.80M,36.70M,-8.70M,,173.90M,,75.40M,4.00M,281.30M,313.30M,,-4.20M,,,-20.20M,,-24.40M,,-309.50M,-309.50M,,,,,,,,-309.50M,,88.00M,-20.60M,0.30M,67.70M,,,0.00,-309.50M,,,44.90M,,,
2007-06,80.09M,,,,,11.08M,11.08M,-0.225M,-0.006M,,-2.366M,-73.90M,-7.655M,,30.31M,,,2.798M,-48.44M,40.12M,,-12.08M,-12.08M,0.00,245.97M,-305.29M,-71.40M,,0.835M,0.835M,,0.00,0.00,,0.00,,40.76M,41.60M,,185.37M,10.32M,0.50M,196.19M,,,,,0.00,,,,AOR,
2007-03,76.78M,,,,,10.05M,10.05M,,-0.004M,,-0.481M,14.65M,-21.10M,,71.54M,,,3.026M,68.11M,154.46M,,-13.80M,-13.80M,-4.741M,137.38M,-218.66M,-99.82M,,-9.583M,-9.583M,,-16.14M,-16.14M,,,,8.298M,-17.42M,,148.08M,37.22M,0.071M,185.37M,,,,,-16.14M,,,,AOR,
2006-12,53.56M,,,,,9.058M,9.058M,-10.05M,-0.021M,,0.808M,-37.35M,23.42M,7.428M,10.53M,,,-42.38M,-38.35M,15.01M,,-45.48M,-45.48M,-178.10M,88.50M,-63.89M,-198.96M,,6.713M,6.713M,,0.102M,0.102M,,0.00,,22.29M,29.10M,,303.18M,-154.85M,-0.246M,148.08M,,,,,0.102M,,,,AOR,
2006-09,77.73M,,,,,6.39M,6.39M,-1.624M,-0.037M,,1.386M,-42.25M,-27.76M,-7.428M,23.40M,,,48.35M,-5.69M,78.16M,,-9.464M,-9.464M,-2.646M,165.08M,-48.48M,104.49M,,0.625M,0.625M,,-15.80M,-15.80M,,0.00,,16.18M,0.999M,,119.53M,183.65M,-0.001M,303.18M,,,,,-15.80M,,,,AOR,
2006-06,73.11M,,,,,6.111M,6.111M,-2.055M,-0.049M,,1.708M,-29.92M,0.519M,,-4.732M,,,-7.184M,-41.32M,37.51M,,-9.277M,-9.277M,0.00,91.20M,-43.68M,38.24M,,-0.97M,-0.97M,,-109.29M,-109.29M,,-40.72M,,20.20M,-130.79M,,174.38M,-55.04M,0.193M,119.53M,,,,,-109.29M,,,,AOR,Restated
2006-03,61.68M,,,,,6.579M,6.579M,,-0.042M,,-5.20M,-22.67M,-13.99M,,74.45M,,,-14.76M,23.02M,86.04M,,-21.35M,-21.35M,0.00,97.65M,-119.68M,-43.37M,,-3.58M,-3.58M,,-102.68M,-102.68M,,,,36.73M,-69.53M,,201.25M,-26.86M,-0.007M,174.38M,,,,,-102.68M,,,,AOR,Restated
2005-12,70.51M,,,,,5.641M,5.641M,1.059M,-0.074M,,0.458M,31.76M,15.16M,-1.189M,-42.40M,,,-15.62M,-12.29M,65.30M,,-9.947M,-9.947M,0.00,43.50M,-95.11M,-61.56M,,2.569M,2.569M,,-42.20M,-42.20M,,0.00,,5.105M,-34.53M,,231.96M,-30.79M,0.08M,201.25M,,,,,-42.20M,,,,AOR,Restated
2005-09,73.12M,,,,,5.443M,5.443M,0.00,-0.036M,,3.384M,-39.78M,-43.79M,-1.08M,62.57M,,,7.063M,-15.02M,66.90M,,-16.49M,-16.49M,0.00,142.05M,-35.29M,90.28M,,-42.37M,-42.37M,,-6.885M,-6.885M,,0.00,,7.97M,-41.28M,,115.90M,115.89M,0.17M,231.96M,,,,,-6.885M,,,,AOR,Restated
2005-06,67.06M,,,,,5.301M,5.301M,0.00,0.019M,,5.438M,-57.85M,-9.518M,1.028M,19.42M,,,-18.86M,-65.77M,12.05M,,-8.575M,-8.575M,,245.75M,-206.66M,30.52M,,21.60M,21.60M,-7.845M,-93.54M,-101.38M,,-35.11M,,15.27M,-99.64M,,173.04M,-57.06M,-0.074M,115.90M,,-7.845M,,,-93.54M,,,,AOR,Restated
2005-03,61.40M,,,,,5.108M,5.108M,,0.038M,,5.219M,8.986M,7.809M,1.241M,40.88M,,,28.73M,87.65M,159.41M,,-14.05M,-14.05M,,-49.20M,,-63.26M,,34.62M,34.62M,7.845M,-115.67M,-107.82M,,,,1.342M,-71.86M,,148.80M,24.30M,-0.061M,173.04M,,7.845M,,,-115.67M,,,,AOR,Restated
2004-12,62.70M,,,,,4.639M,4.639M,,0.064M,,2.681M,-33.92M,1.229M,-1.895M,-23.61M,,,-5.976M,-64.17M,8.129M,,-5.593M,-5.593M,,-48.75M,0.00,-54.34M,,-40.23M,-40.23M,8.857M,0.00,8.857M,,0.00,,,-31.37M,,226.20M,-77.58M,0.184M,148.80M,,8.857M,,,0.00,,,,AOR,Restated
2004-09,65.18M,,,,,4.445M,4.445M,,0.057M,,0.389M,-31.10M,-25.54M,-2.152M,-7.255M,,,6.385M,-59.66M,10.41M,,-7.547M,-7.547M,,-16.57M,-2.321M,-26.44M,,40.23M,40.23M,2.227M,-15.86M,-13.63M,,0.00,,,26.59M,,215.42M,10.57M,0.216M,226.20M,,2.227M,,,-15.86M,,,,AOR,Restated
2004-06,58.28M,,,,,4.057M,4.057M,,0.106M,,2.315M,-42.89M,-16.35M,0.207M,34.49M,,,1.737M,-22.80M,41.95M,,-6.146M,-6.146M,,-34.34M,,-40.49M,,-1.387M,-1.387M,3.91M,-64.86M,-60.95M,,-30.03M,,,-92.36M,,306.40M,-90.90M,-0.09M,215.42M,,3.91M,,,-64.86M,,,,AOR,Restated
2004-03,55.29M,,,,,3.857M,3.857M,,0.165M,,14.55M,-27.97M,11.33M,0.933M,54.21M,,,11.35M,49.85M,123.71M,,-2.827M,-2.827M,,-15.85M,,-18.68M,,-35.58M,-35.58M,19.87M,-5.293M,14.58M,,,,,-21.00M,,222.42M,84.03M,-0.053M,306.40M,,19.87M,,,-5.293M,,,,AOR,Restated
2003-12,44.55M,,,,,3.849M,3.849M,0.642M,0.243M,,5.464M,11.53M,6.06M,1.476M,-88.30M,,,2.431M,-66.81M,-12.05M,,-3.042M,-3.042M,-0.439M,-39.38M,2.404M,-40.46M,,36.97M,36.97M,9.676M,0.00,9.676M,,0.00,,,46.64M,,228.15M,-5.867M,0.145M,222.42M,,9.676M,,,0.00,,,,AOR,Restated
2003-09,44.60M,,,,,3.759M,3.759M,0.00,0.289M,,4.017M,-96.19M,-26.36M,-0.825M,67.85M,,,21.96M,-33.56M,19.11M,,-2.706M,-2.706M,-0.816M,28.67M,-20.49M,4.658M,,0.00,0.00,6.191M,-0.351M,5.84M,,-24.87M,,,-19.03M,,223.37M,4.738M,0.038M,228.15M,,6.191M,,,-0.351M,,,,AOR,Restated
2003-06,43.62M,,,,,3.635M,3.635M,0.249M,0.258M,,18.26M,-19.16M,-17.21M,-1.495M,48.16M,,,-25.46M,-15.18M,50.85M,,-3.725M,-3.725M,-1.028M,42.20M,2.00M,39.45M,,0.00,0.00,3.882M,-55.06M,-51.18M,,0.00,,,-51.18M,,184.26M,39.12M,0.00,223.37M,,3.882M,,,-55.06M,,,,AOR,Restated
2003-03,42.41M,,,,,3.892M,3.892M,0.882M,0.241M,,8.516M,-1.901M,20.49M,1.062M,-13.73M,,,5.659M,11.58M,67.52M,,-1.907M,-1.907M,-1.335M,-24.99M,2.60M,-25.64M,,0.00,0.00,6.143M,-20.91M,-14.77M,,,,,-14.77M,,157.14M,27.12M,0.00,184.26M,,6.143M,,,-20.91M,,,,AOR,Restated
