,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,10.77B,11.78B,9.142B,2.633B,511.00M,,511.00M,,,,,79.00M,,-79.00M,438.00M,949.00M,1.684B,,79.00M,-79.00M,-219.00M,-79.00M,1.386B,350.00M,1.036B,,,1.036B,1.214B,1.465B,,1.465B,,1.49,,,1.746,1.49,,1.49,,,1.745,1.49,,695.00M,697.00M,0.305,,AOR,Restated
2018-03,8.967B,9.968B,8.287B,1.681B,427.00M,,427.00M,,,,,92.00M,,-92.00M,410.00M,837.00M,844.00M,,92.00M,-92.00M,-20.00M,-92.00M,732.00M,175.00M,557.00M,,,557.00M,543.30M,824.00M,,824.00M,,0.79,,,0.7705,0.79,,0.79,,,0.7706,0.79,,704.00M,706.00M,0.305,,AOR,Restated
2017-12,9.224B,10.23B,8.232B,1.996B,456.00M,,456.00M,,,,,99.00M,,-99.00M,379.00M,835.00M,1.161B,,99.00M,-99.00M,-19.00M,-99.00M,1.043B,745.00M,298.00M,,,298.00M,298.00M,1.142B,,1.142B,,0.4228,,,0.4228,0.4228,,0.42,,,0.42,0.42,,708.00M,711.00M,0.305,,AOR,Restated
2017-09,10.17B,11.06B,8.308B,2.753B,499.00M,,499.00M,,,,,100.00M,,-100.00M,431.00M,930.00M,1.823B,,100.00M,-100.00M,53.00M,-100.00M,1.776B,617.00M,1.159B,,,1.159B,1.159B,1.876B,,1.876B,,1.62,,,1.62,1.62,,1.61,,,1.61,1.61,,716.00M,719.00M,0.305,,AOR,Restated
2017-06,9.955B,10.75B,7.871B,2.876B,467.00M,,467.00M,,,,,103.00M,,-103.00M,427.00M,894.00M,1.982B,,103.00M,-103.00M,-48.00M,-103.00M,1.831B,645.00M,1.186B,,,1.186B,1.186B,1.934B,,1.934B,,1.63,,,1.63,1.63,,1.62,,,1.62,1.62,,728.00M,731.00M,0.2025,,AOR,Restated
2017-03,8.341B,9.101B,7.328B,1.773B,404.00M,,404.00M,,,,,94.00M,,-94.00M,370.00M,774.00M,999.00M,,94.00M,-94.00M,-56.00M,-94.00M,849.00M,288.00M,561.00M,,,561.00M,561.00M,943.00M,,943.00M,,0.77,,,0.77,0.77,,0.77,,,0.77,0.77,,728.00M,731.00M,0.2025,,AOR,Restated
2016-12,10.20B,9.269B,7.629B,1.64B,460.00M,,460.00M,,,,,93.00M,,-93.00M,116.00M,576.00M,1.064B,,93.00M,-93.00M,-302.00M,-93.00M,669.00M,225.00M,444.00M,,,444.00M,444.00M,762.00M,,762.00M,,0.85,,,0.85,0.85,,0.84,,,0.84,0.84,,730.00M,734.00M,0.2025,,AOR,Restated
2016-09,9.238B,10.48B,7.521B,2.962B,466.00M,,466.00M,,,,,95.00M,,-95.00M,527.00M,993.00M,1.969B,,95.00M,-95.00M,26.00M,-95.00M,1.90B,641.00M,1.259B,,,1.259B,1.259B,1.995B,,1.995B,,1.70,,,1.70,1.70,,1.69,,,1.69,1.69,,740.00M,744.00M,0.2025,,AOR,Restated
2016-06,9.135B,10.45B,7.102B,3.345B,437.00M,,437.00M,,,,,93.00M,,-93.00M,485.00M,922.00M,2.423B,,93.00M,-93.00M,20.00M,-93.00M,2.35B,804.00M,1.546B,,,1.546B,1.546B,2.443B,,2.443B,,2.04,,,2.04,2.04,,2.03,,,2.03,2.03,,758.00M,763.00M,0.135,,AOR,Restated
2016-03,7.924B,9.251B,6.83B,2.421B,388.00M,,388.00M,,,,,107.00M,,-107.00M,493.00M,881.00M,1.54B,,107.00M,-107.00M,1.00M,-107.00M,1.434B,488.00M,946.00M,,,946.00M,946.00M,1.541B,,1.541B,,1.22,,,1.22,1.22,,1.21,,,1.21,1.21,,774.00M,780.00M,0.135,,AOR,Restated
2015-12,8.318B,9.502B,6.99B,2.512B,402.00M,,402.00M,,,,,102.00M,,-102.00M,393.00M,795.00M,1.717B,,102.00M,-102.00M,-82.00M,-102.00M,1.533B,553.00M,980.00M,,,980.00M,980.00M,1.635B,,1.635B,,1.26,,,1.26,1.26,,1.25,,,1.25,1.25,,779.00M,783.00M,0.135,,AOR,Restated
2015-09,9.791B,11.11B,7.866B,3.241B,463.00M,,463.00M,,,,,121.00M,,-121.00M,565.00M,1.028B,2.213B,,121.00M,-121.00M,-20.00M,-121.00M,2.072B,757.00M,1.315B,,,1.315B,1.315B,2.193B,,2.193B,,1.67,,,1.67,1.67,,1.65,,,1.65,1.65,,788.00M,795.00M,0.135,,AOR,Restated
2015-06,9.346B,10.71B,7.239B,3.468B,421.00M,,421.00M,,,,,127.00M,,-127.00M,573.00M,994.00M,2.474B,,127.00M,-127.00M,19.00M,-127.00M,2.366B,881.00M,1.485B,,,1.485B,1.485B,2.493B,,2.493B,,1.85,,,1.85,1.85,,1.83,,,1.83,1.83,,803.00M,811.00M,0.09,,AOR,Restated
2015-03,8.14B,9.388B,7.102B,2.286B,386.00M,,386.00M,,,,,131.00M,,-131.00M,502.00M,888.00M,1.398B,,131.00M,-131.00M,-81.00M,-131.00M,1.186B,440.00M,746.00M,,,746.00M,746.00M,1.317B,,1.317B,,0.91,,,0.91,0.91,,0.90,,,0.90,0.90,,818.00M,826.00M,0.09,,AOR,Restated
2014-12,8.478B,9.647B,9.502B,145.00M,411.00M,,411.00M,,,,-67.00M,137.00M,,-137.00M,495.00M,906.00M,-761.00M,,137.00M,-137.00M,-242.00M,-137.00M,-1.14B,-428.00M,-712.00M,,,-712.00M,-670.15M,-1.003B,,-1.003B,,-0.86,,,-0.8092,-0.86,,-0.86,,,-0.8098,-0.86,,824.00M,833.00M,0.09,,AOR,Restated
2014-09,10.02B,11.18B,8.782B,2.396B,476.00M,,476.00M,,,,-570.00M,154.00M,,-154.00M,515.00M,991.00M,1.405B,,154.00M,-154.00M,-672.00M,-154.00M,579.00M,222.00M,357.00M,,,357.00M,708.45M,733.00M,,733.00M,,0.43,,,0.8514,0.43,,0.42,,,0.8369,0.42,,834.00M,843.00M,0.09,,AOR,Restated
2014-06,9.496B,10.62B,8.164B,2.457B,440.00M,,440.00M,,,,-30.00M,173.00M,,-173.00M,408.00M,848.00M,1.609B,,173.00M,-173.00M,-138.00M,-173.00M,1.298B,497.00M,801.00M,,,801.00M,819.51M,1.471B,,1.471B,,0.95,,,0.9720,0.95,,0.94,,,0.9618,0.94,,841.00M,850.00M,0.06,,AOR,Restated
2014-03,7.894B,8.916B,7.495B,1.421B,373.00M,,373.00M,,,,-67.00M,186.00M,,-186.00M,379.00M,752.00M,669.00M,,186.00M,-186.00M,-148.00M,-186.00M,335.00M,122.00M,213.00M,,,213.00M,255.60M,521.00M,,521.00M,,0.25,,,0.3005,0.25,,0.25,,,0.2999,0.25,,844.00M,853.00M,0.06,,AOR,Restated
2013-12,8.112B,9.076B,7.464B,1.612B,391.00M,,391.00M,,,,-160.00M,206.00M,,-206.00M,360.00M,751.00M,861.00M,,206.00M,-206.00M,-180.00M,-206.00M,475.00M,-8.004B,8.479B,,,8.479B,8.583B,681.00M,,681.00M,,10.02,,,10.14,10.02,,9.89,,,10.01,9.89,,846.00M,858.00M,0.06,,AOR,Restated
2013-09,9.483B,10.49B,7.935B,2.555B,447.00M,,447.00M,,,,-106.00M,213.00M,,-213.00M,439.00M,886.00M,1.669B,,213.00M,-213.00M,-93.00M,-213.00M,1.363B,-6.00M,1.369B,,,1.369B,1.438B,1.576B,,1.576B,,1.61,,,1.691,1.61,,1.59,,,1.670,1.59,,851.00M,861.00M,0.06,,AOR,Restated
2013-06,8.726B,9.707B,7.986B,1.721B,408.00M,,408.00M,,,,-34.00M,213.00M,,-213.00M,365.00M,773.00M,948.00M,,213.00M,-213.00M,-49.00M,-213.00M,686.00M,1.00M,685.00M,,,685.00M,718.95M,899.00M,,899.00M,,0.81,,,0.8499,0.81,,0.80,,,0.8395,0.80,,850.00M,859.00M,,,AOR,Restated
2013-03,7.558B,8.50B,7.463B,1.037B,357.00M,,357.00M,,,,-102.00M,220.00M,,-220.00M,356.00M,713.00M,324.00M,,220.00M,-220.00M,-101.00M,-220.00M,3.00M,-4.00M,7.00M,,,7.00M,73.30M,223.00M,,223.00M,,0.01,,,0.0882,0.01,,0.01,,,0.0875,0.01,,848.00M,855.00M,,,AOR,Restated
2012-12,7.664B,8.602B,7.393B,1.209B,377.00M,,377.00M,,,,-228.00M,234.00M,,-234.00M,359.00M,736.00M,473.00M,,234.00M,-234.00M,-228.00M,-234.00M,11.00M,5.00M,6.00M,,,6.00M,154.20M,245.00M,,245.00M,,0.01,,,0.1854,0.01,,0.01,,,0.1837,0.01,,845.00M,853.00M,,,AOR,Restated
2012-09,8.917B,9.923B,7.605B,2.318B,440.00M,,440.00M,,,,-161.00M,243.00M,,-243.00M,421.00M,861.00M,1.457B,,243.00M,-243.00M,-162.00M,-243.00M,1.052B,5.00M,1.047B,,,1.047B,1.207B,1.295B,,1.295B,,1.24,,,1.429,1.24,,1.23,,,1.419,1.23,,846.00M,850.00M,,,AOR,Restated
2012-06,8.693B,9.732B,8.616B,1.116B,393.00M,,393.00M,,,,-193.00M,256.00M,,-256.00M,396.00M,789.00M,327.00M,,256.00M,-256.00M,-235.00M,-256.00M,-164.00M,4.00M,-168.00M,,,-168.00M,-42.55M,92.00M,,92.00M,,-0.20,,,-0.0515,-0.20,,-0.20,,,-0.0515,-0.20,,845.00M,845.00M,,,AOR,Restated
2012-03,7.47B,8.413B,7.247B,1.166B,380.00M,,380.00M,,,,12.00M,272.00M,,-272.00M,416.00M,796.00M,370.00M,,272.00M,-272.00M,29.00M,-272.00M,127.00M,3.00M,124.00M,,,124.00M,112.28M,399.00M,,399.00M,,0.15,,,0.1361,0.15,,0.15,,,0.1362,0.15,,843.00M,847.00M,,,AOR,Restated
2011-12,4.568B,8.399B,13.33B,-4.929B,393.00M,,-4.965B,,,,58.00M,411.00M,,-411.00M,363.00M,-5.743B,814.00M,,411.00M,-411.00M,14.00M,-411.00M,417.00M,-8.00M,425.00M,,,425.00M,387.30M,828.00M,,828.00M,,0.51,0.00,,0.4650,0.51,,0.50,0.00,,0.4553,0.50,,838.00M,844.00M,,,AOR,Restated
2011-09,9.816B,9.816B,5.781B,4.035B,480.00M,1.884B,2.364B,,414.00M,,-87.00M,229.00M,,-229.00M,424.00M,3.172B,863.00M,,229.00M,-229.00M,-87.00M,-229.00M,547.00M,-2.00M,549.00M,,,549.00M,605.55M,1.16B,384.00M,776.00M,,0.66,0.00,,0.7275,0.66,,0.65,0.00,,0.7170,0.65,,838.00M,844.00M,,,AOR,Restated
2011-06,9.153B,9.153B,5.548B,3.605B,440.00M,1.747B,2.187B,,394.00M,,-197.00M,233.00M,,-233.00M,412.00M,2.98B,625.00M,,233.00M,-233.00M,-197.00M,-233.00M,195.00M,-3.00M,198.00M,,,198.00M,326.05M,809.00M,381.00M,428.00M,,0.24,0.00,,0.3928,0.24,,0.23,0.00,,0.3817,0.23,,838.00M,844.00M,,,AOR,Restated
2011-03,7.747B,7.747B,4.931B,2.816B,369.00M,1.727B,2.096B,,391.00M,,-83.00M,221.00M,,-221.00M,429.00M,2.901B,-85.00M,,221.00M,-221.00M,-83.00M,-221.00M,-389.00M,-71.00M,-318.00M,,,-318.00M,-250.15M,208.00M,376.00M,-168.00M,,-0.38,0.00,,-0.2989,-0.38,,-0.38,0.00,,-0.2989,-0.38,,837.00M,837.00M,,,AOR,Restated
2010-12,4.142B,7.789B,13.05B,-5.257B,364.00M,,-4.954B,,,,86.00M,435.00M,,-435.00M,434.00M,-5.659B,402.00M,,435.00M,-435.00M,53.00M,-435.00M,20.00M,1.00M,19.00M,,,19.00M,-62.70M,455.00M,,455.00M,,0.02,,,-0.0780,0.02,,0.02,,,-0.0766,0.02,,834.00M,846.00M,,,AOR,Restated
2010-09,8.95B,8.95B,4.675B,4.275B,404.00M,1.854B,2.258B,,423.00M,,-594.00M,249.00M,,-249.00M,433.00M,3.066B,1.209B,,249.00M,-249.00M,-594.00M,-249.00M,366.00M,3.00M,363.00M,,,363.00M,952.13M,990.00M,375.00M,615.00M,,0.43,0.00,,1.136,0.43,,0.43,0.00,,1.130,0.43,,835.00M,842.00M,,,AOR,Restated
2010-06,8.168B,8.168B,4.283B,3.885B,377.00M,1.792B,2.169B,,425.00M,,-211.00M,255.00M,,-255.00M,403.00M,2.951B,934.00M,,255.00M,-255.00M,-211.00M,-255.00M,468.00M,1.00M,467.00M,,,467.00M,677.55M,1.102B,379.00M,723.00M,,0.56,0.00,,0.8125,0.56,,0.55,0.00,,0.8001,0.55,,834.00M,842.00M,,,AOR,Restated
2010-03,6.848B,6.848B,3.929B,2.919B,364.00M,1.672B,2.036B,,425.00M,,-122.00M,246.00M,,-246.00M,376.00M,2.797B,122.00M,,246.00M,-246.00M,-122.00M,-246.00M,-246.00M,10.00M,-256.00M,,,-256.00M,-176.70M,385.00M,385.00M,0.00,,-0.31,0.00,,-0.2147,-0.31,,-0.31,0.00,,-0.2147,-0.31,,832.00M,832.00M,,,AOR,Restated
2009-12,6.805B,6.805B,2.351B,4.454B,336.00M,3.282B,3.618B,,,,-1.731B,261.00M,4.00M,-257.00M,,2.821B,1.633B,4.00M,261.00M,-257.00M,-1.731B,-257.00M,-355.00M,-330.00M,-25.00M,,,-25.00M,1.100B,290.00M,384.00M,-94.00M,,-0.03,0.00,,1.326,-0.03,,-0.03,0.00,,1.326,-0.03,,830.00M,830.00M,,,AOR,Restated
2009-09,7.574B,7.574B,4.35B,3.224B,384.00M,1.722B,2.106B,,463.00M,,-299.00M,217.00M,4.00M,-213.00M,400.00M,2.891B,333.00M,4.00M,217.00M,-213.00M,-299.00M,-213.00M,-179.00M,-18.00M,-161.00M,,,-161.00M,107.93M,423.00M,385.00M,38.00M,,-0.19,0.00,,0.1348,-0.19,,-0.19,0.00,,0.1348,-0.19,,828.00M,828.00M,,,AOR,Restated
2009-06,7.00B,7.00B,3.764B,3.236B,329.00M,2.077B,2.406B,,434.00M,,3.00M,324.00M,9.00M,-315.00M,388.00M,3.177B,59.00M,9.00M,324.00M,-315.00M,3.00M,-315.00M,-253.00M,4.00M,-257.00M,,,-257.00M,-258.95M,454.00M,383.00M,71.00M,,-0.31,0.00,,-0.3124,-0.31,,-0.31,0.00,,-0.3124,-0.31,,827.00M,827.00M,,,AOR,Restated
2009-03,6.684B,6.684B,3.355B,3.329B,356.00M,1.706B,2.062B,,437.00M,,-112.00M,308.00M,10.00M,-298.00M,393.00M,2.839B,490.00M,10.00M,308.00M,-298.00M,-112.00M,-298.00M,-794.00M,0.00,-794.00M,,,-794.00M,-682.00M,-102.00M,384.00M,-486.00M,,-0.96,0.00,,-0.8242,-0.96,,-0.96,0.00,,-0.8242,-0.96,,825.00M,825.00M,,,AOR,Restated
2008-12,6.713B,6.713B,4.717B,1.996B,298.00M,2.122B,2.42B,,,,-2.172B,257.00M,19.00M,-238.00M,,2.464B,-468.00M,19.00M,257.00M,-238.00M,-2.172B,-238.00M,-1.438B,0.00,-1.438B,,,-1.438B,734.00M,-807.00M,374.00M,-1.181B,,-0.17,0.00,,3.005,-0.17,,-0.17,0.00,,3.005,-0.17,,684.00M,684.00M,,,AOR,Restated
2008-09,5.719B,5.719B,3.311B,2.408B,259.00M,1.086B,1.345B,,249.00M,,-86.00M,140.00M,21.00M,-119.00M,117.00M,1.755B,653.00M,21.00M,140.00M,-119.00M,-86.00M,-119.00M,-50.00M,0.00,-50.00M,,,-50.00M,36.00M,383.00M,293.00M,90.00M,,-0.13,0.00,,0.0872,-0.13,,-0.13,0.00,,0.0872,-0.13,,396.00M,396.00M,,,AOR,Restated
2008-06,5.499B,5.499B,3.062B,2.437B,248.00M,1.092B,1.34B,,240.00M,,-1.26B,141.00M,25.00M,-116.00M,102.00M,1.744B,693.00M,25.00M,141.00M,-116.00M,-1.26B,-116.00M,-1.163B,-119.00M,-1.044B,,,-1.044B,87.07M,-720.00M,302.00M,-1.022B,,-2.64,0.00,,0.2162,-2.64,,-2.64,0.00,,0.2162,-2.64,,396.00M,396.00M,,,AOR,Restated
2008-03,4.766B,4.766B,2.725B,2.041B,225.00M,1.091B,1.316B,,231.00M,,-6.125B,147.00M,27.00M,-120.00M,111.00M,1.724B,317.00M,27.00M,147.00M,-120.00M,-6.125B,-120.00M,-6.39B,0.00,-6.39B,,,-6.39B,-265.00M,-5.946B,297.00M,-6.243B,,-16.15,0.00,,-0.6699,-16.15,,-16.15,0.00,,-0.6699,-16.15,,395.67M,395.67M,,,AOR,Restated
2007-12,4.683B,4.683B,2.551B,2.132B,212.00M,1.07B,1.282B,,235.00M,,1.211B,138.00M,39.00M,-99.00M,94.00M,1.664B,468.00M,39.00M,138.00M,-99.00M,1.211B,-99.00M,-105.00M,-35.00M,-70.00M,,,-70.00M,-877.33M,321.00M,288.00M,33.00M,,1.00,0.00,,-1.112,1.00,,0.39,0.00,,-1.645,0.39,,382.30M,396.80M,,,AOR,Restated
2007-09,5.227B,5.227B,2.458B,2.769B,248.00M,1.109B,1.357B,,238.00M,,0.00,132.00M,42.00M,-90.00M,186.00M,1.84B,929.00M,42.00M,132.00M,-90.00M,,-90.00M,363.00M,143.00M,220.00M,,,220.00M,220.00M,792.00M,297.00M,495.00M,,0.56,0.00,,0.56,0.56,,0.56,0.00,,0.56,0.56,,393.50M,395.10M,,,AOR,Restated
2007-06,5.003B,5.003B,2.218B,2.785B,253.00M,1.039B,1.292B,,238.00M,,7.00M,182.00M,37.00M,-145.00M,239.00M,1.819B,966.00M,37.00M,182.00M,-145.00M,7.00M,-145.00M,1.691B,99.00M,1.592B,,,1.592B,1.585B,2.161B,288.00M,1.873B,,7.66,0.00,,7.640,7.66,,5.61,0.00,,5.591,5.61,,330.00M,340.40M,,,AOR,Restated
2007-03,4.241B,4.241B,926.00M,3.315B,220.00M,971.00M,1.191B,,260.00M,,29.00M,200.00M,10.00M,-190.00M,1.158B,2.64B,675.00M,10.00M,200.00M,-190.00M,29.00M,-190.00M,-130.00M,0.00,-130.00M,,,-130.00M,-159.00M,361.00M,291.00M,70.00M,,-0.66,0.00,,-0.8070,-0.66,,-0.66,0.00,,-0.8070,-0.66,,197.30M,197.30M,,,AOR,Restated
2006-12,4.246B,4.246B,,,,,1.44B,,,,-7.00M,,,,2.436B,4.24B,6.00M,,,,-7.00M,,-2.706B,-725.00M,-1.981B,,0.00,-1.981B,-1.976B,370.00M,364.00M,6.00M,,-10.05,0.00,,-10.02,-10.05,,-10.05,0.00,,-10.02,-10.05,,197.37M,197.37M,,,AOR,Restated
2006-09,4.751B,4.751B,,,,,1.50B,,,,-31.00M,,,,2.79B,4.583B,168.00M,,,,-31.00M,,29.00M,-23.00M,52.00M,,,52.00M,70.60M,461.00M,293.00M,168.00M,,0.26,0.00,,0.353,0.26,,0.22,0.00,,0.2987,0.22,,200.00M,236.36M,,,AOR,Restated
2006-06,4.741B,4.741B,,,,,412.00M,,,,19.00M,,,,3.642B,4.372B,369.00M,,,,19.00M,,-2.201B,4.00M,-2.205B,,,-2.205B,-2.216B,687.00M,318.00M,369.00M,,-11.18,0.00,,-11.24,-11.18,,-11.18,0.00,,-11.24,-11.18,,197.23M,197.23M,,,AOR,Restated
2006-03,3.719B,3.719B,,,,,553.00M,,,,0.00,,,,3.35B,4.204B,-485.00M,,,,,,-2.09B,-21.00M,-2.069B,,2.00M,-2.069B,-2.069B,-184.00M,301.00M,-485.00M,,-10.68,0.00,,-10.68,-10.68,,-10.68,0.00,,-10.68,-10.68,,193.91M,193.91M,,,AOR,Restated
2005-12,4.217B,4.217B,,,,,5.629B,,,,0.00,,,,-1.054B,4.892B,-675.00M,,,,0.00,,-1.137B,98.00M,-1.235B,,3.00M,-1.235B,-1.235B,-358.00M,317.00M,-675.00M,,-6.68,0.00,,-6.68,-6.68,,-6.68,0.00,,-6.68,-6.68,,189.47M,189.47M,,,AOR,Restated
2005-09,4.308B,4.308B,,,,,491.00M,,,,0.00,,,,3.74B,4.548B,-240.00M,,,,,,-1.107B,23.00M,-1.13B,,4.00M,-1.13B,-1.13B,77.00M,317.00M,-240.00M,,-6.73,0.00,,-6.73,-6.73,,-6.73,0.00,,-6.73,-6.73,,168.50M,168.50M,,,AOR,Restated
2005-06,4.249B,4.249B,,,,,497.00M,,,,3.00M,,,,3.555B,4.378B,-129.00M,,,,3.00M,,-400.00M,-18.00M,-382.00M,,6.00M,-382.00M,-384.86M,197.00M,326.00M,-129.00M,,-2.64,0.00,,-2.659,-2.64,,-2.64,0.00,,-2.659,-2.64,,146.97M,146.97M,,,AOR,Restated
2005-03,3.706B,3.706B,,,,,487.00M,,,,-4.00M,,,,3.863B,4.663B,-957.00M,,,,-4.00M,,-1.215B,-144.00M,-1.071B,,5.00M,-1.071B,-1.067B,-644.00M,313.00M,-957.00M,,-7.64,0.00,,-7.615,-7.64,,-7.64,0.00,,-7.615,-7.64,,140.84M,140.84M,,,AOR,Restated
2004-12,3.874B,3.874B,,,,,,,,,147.00M,,,,,6.13B,-2.256B,,,,147.00M,,-2.313B,-107.00M,-2.206B,,5.00M,-2.206B,-2.346B,-2.256B,,-2.256B,,-17.01,0.00,,-18.06,-17.01,,-17.01,0.00,,-18.05,-17.01,,133.37M,135.25M,,,AOR,Restated
2004-09,3.871B,3.871B,,,,,469.00M,,,,-25.00M,,,,3.514B,4.294B,-423.00M,,,,-25.00M,,-652.00M,-6.00M,-646.00M,,5.00M,-646.00M,-621.23M,-112.00M,311.00M,-423.00M,,-5.16,0.00,,-4.964,-5.16,,-5.16,0.00,,-4.964,-5.16,,126.15M,126.15M,,,AOR,Restated
