,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.886B,520.00M,2.406B,2.427B,,2.427B,1.589B,1.219B,,,,7.641B,,,,43.22B,-15.10B,28.12B,9.794B,4.839B,14.63B,,804.00M,4.594B,48.16B,55.80B,,3.749B,,3.749B,3.957B,7.706B,,,1.342B,,1.342B,9.159B,9.159B,1.062B,19.27B,8.562B,,8.562B,,3.692B,3.692B,,9.052B,2.365B,23.67B,42.94B,,0.00,8.851B,11.81B,196.00M,,-7.606B,12.86B,,AOR,Restated
2018-03,1.447B,523.00M,1.97B,2.568B,,2.568B,1.146B,2.04B,,,,7.724B,,,,41.68B,-14.58B,27.10B,9.794B,4.843B,14.64B,,1.175B,3.446B,46.35B,54.08B,,3.351B,,3.351B,4.319B,7.67B,,,2.289B,,2.289B,8.991B,8.991B,1.062B,20.01B,6.36B,,6.36B,,3.636B,3.636B,,9.193B,2.32B,21.51B,41.52B,,0.00,8.465B,11.97B,194.00M,,-7.681B,12.56B,,AOR,Restated
2017-12,1.814B,825.00M,2.639B,2.377B,,2.377B,1.329B,1.459B,,,,7.804B,,7.665B,1.16B,40.66B,-14.10B,26.56B,9.794B,4.847B,14.64B,,1.354B,3.309B,45.87B,53.67B,,3.634B,,3.634B,4.89B,8.524B,,2.242B,2.242B,0.00,2.242B,7.126B,7.126B,1.067B,18.96B,6.592B,0.00,6.592B,,3.559B,3.559B,,9.81B,2.221B,22.18B,41.14B,,0.00,8.256B,12.05B,158.00M,,-7.621B,12.53B,,AOR,Restated
2017-09,1.478B,960.00M,2.438B,2.399B,,2.399B,1.136B,1.11B,,,,7.083B,,,,39.67B,-13.77B,25.90B,9.794B,4.851B,14.64B,,1.422B,2.878B,44.84B,51.93B,,3.059B,,3.059B,4.926B,7.985B,,,1.224B,,1.224B,7.287B,7.287B,,16.50B,7.584B,,7.584B,,2.281B,2.281B,,9.565B,2.001B,21.43B,37.93B,,0.00,9.502B,12.13B,158.00M,,-7.476B,14.00B,,AOR,Restated
2017-06,2.241B,747.00M,2.988B,2.164B,,2.164B,938.00M,1.087B,,,,7.177B,,,,38.70B,-13.34B,25.37B,9.794B,4.855B,14.65B,,2.077B,2.545B,44.64B,51.82B,,2.726B,,2.726B,4.716B,7.442B,,,1.098B,,1.098B,8.091B,8.091B,,16.63B,7.916B,,7.916B,,2.281B,2.281B,,9.623B,1.885B,21.70B,38.34B,,0.00,8.905B,12.28B,156.00M,,-7.549B,13.48B,,AOR,Restated
2017-03,1.907B,743.00M,2.65B,2.307B,,2.307B,855.00M,1.068B,,,,6.88B,,,,37.75B,-12.93B,24.82B,9.794B,4.855B,14.65B,,2.75B,2.363B,44.58B,51.46B,,2.353B,,2.353B,4.454B,6.807B,,,1.04B,,1.04B,8.106B,8.106B,,15.95B,8.187B,,8.187B,,2.261B,2.261B,,10.29B,1.822B,22.56B,38.51B,,0.00,8.226B,12.44B,153.00M,,-7.571B,12.94B,,AOR,Restated
2016-12,2.762B,487.00M,3.249B,2.064B,,2.064B,891.00M,1.247B,,,,7.451B,,6.581B,1.059B,36.83B,-12.46B,24.38B,9.794B,4.844B,14.64B,,3.064B,1.733B,43.81B,51.26B,,2.572B,,2.572B,4.831B,7.403B,,,1.131B,,1.131B,6.274B,6.274B,431.00M,15.24B,6.201B,,6.201B,,2.278B,2.278B,,13.38B,1.878B,23.74B,38.97B,,0.00,7.903B,12.29B,274.00M,,-7.636B,12.29B,,AOR,Restated
2016-09,1.638B,1.514B,3.152B,1.996B,,1.996B,775.00M,910.00M,,,,7.329B,,,,36.21B,-12.11B,24.10B,9.794B,4.848B,14.64B,,3.15B,1.722B,43.62B,50.95B,,2.567B,,2.567B,3.994B,6.561B,,1.092B,1.092B,,1.092B,6.77B,6.77B,724.00M,15.15B,6.473B,,6.473B,,2.275B,2.275B,,12.59B,1.956B,23.29B,38.44B,,0.00,11.11B,8.887B,274.00M,,-7.212B,12.51B,,AOR,Restated
2016-06,1.662B,1.289B,2.951B,2.102B,,2.102B,795.00M,1.017B,,,,7.638B,,,,35.69B,-11.71B,23.98B,9.794B,4.852B,14.65B,,3.797B,1.578B,44.00B,51.63B,,2.956B,,2.956B,3.74B,6.696B,,1.115B,1.115B,,1.115B,7.544B,7.544B,895.00M,16.25B,6.689B,,6.689B,,2.294B,2.294B,,12.58B,2.015B,23.57B,39.82B,,0.00,10.00B,9.361B,272.00M,,-7.279B,11.81B,,AOR,Restated
2016-03,1.708B,1.206B,2.914B,2.179B,454.00M,2.633B,693.00M,887.00M,,,,9.306B,,,,34.74B,-11.31B,23.42B,9.794B,4.856B,14.65B,,4.489B,1.475B,44.04B,53.34B,,2.732B,,2.732B,3.622B,6.354B,,1.531B,1.531B,,1.531B,7.593B,7.593B,2.63B,18.11B,6.92B,,6.92B,,2.276B,2.276B,,12.70B,2.091B,23.98B,42.09B,,0.00,8.462B,10.34B,270.00M,,-7.279B,11.25B,,AOR,Restated
2015-12,1.972B,1.465B,3.437B,2.02B,,2.02B,697.00M,915.00M,,,,9.056B,,5.862B,879.00M,33.91B,-10.87B,23.04B,9.794B,4.861B,14.66B,,4.956B,1.428B,44.08B,53.13B,,2.743B,,2.743B,4.501B,7.244B,,1.563B,1.563B,,1.563B,6.138B,6.138B,2.581B,17.53B,6.766B,,6.766B,,2.246B,2.246B,,13.86B,1.891B,24.76B,42.28B,,0.00,5.562B,12.94B,373.00M,,-7.275B,10.85B,,AOR,Restated
2015-09,2.369B,1.442B,3.811B,1.974B,381.00M,2.355B,695.00M,816.00M,,2.71B,,11.97B,,,,33.17B,-10.56B,22.61B,9.794B,4.589B,14.38B,,2.834B,1.848B,41.67B,53.65B,,2.688B,,2.688B,4.169B,6.857B,,1.705B,1.705B,,1.705B,6.852B,6.852B,2.194B,17.61B,7.096B,,7.096B,,2.265B,2.265B,,13.87B,2.465B,25.69B,43.30B,,0.00,6.748B,11.28B,372.00M,,-7.316B,10.34B,,AOR,Restated
2015-06,2.293B,1.494B,3.787B,1.966B,134.00M,2.10B,881.00M,815.00M,,2.892B,,11.44B,,,,32.62B,-10.14B,22.48B,9.794B,4.594B,14.39B,,3.374B,1.098B,41.34B,52.78B,,2.803B,,2.803B,3.58B,6.383B,,1.659B,1.659B,,1.659B,7.60B,7.60B,1.44B,17.08B,7.598B,,7.598B,,2.347B,2.347B,,13.87B,2.322B,26.14B,43.22B,,0.00,5.54B,11.68B,370.00M,,-7.288B,9.563B,,AOR,Restated
2015-03,2.122B,1.447B,3.569B,2.057B,383.00M,2.44B,801.00M,790.00M,,3.091B,,12.27B,,,,31.79B,-9.765B,22.02B,9.794B,4.599B,14.39B,,4.051B,1.019B,41.49B,53.75B,,2.492B,,2.492B,3.613B,6.105B,,1.261B,1.261B,,1.261B,7.441B,7.441B,2.512B,17.32B,8.305B,,8.305B,,2.455B,2.455B,,14.17B,2.457B,27.39B,44.71B,,0.00,4.127B,12.58B,365.00M,,-7.294B,9.046B,,AOR,Restated
2014-12,2.088B,1.217B,3.305B,2.297B,925.00M,3.222B,852.00M,701.00M,,,,9.158B,,5.198B,617.00M,31.27B,-9.34B,21.93B,9.794B,4.603B,14.40B,,7.595B,926.00M,44.85B,54.00B,,2.622B,,2.622B,4.393B,7.015B,,1.184B,1.184B,,1.184B,5.876B,5.876B,2.772B,16.85B,8.477B,,8.477B,,2.602B,2.602B,,15.14B,2.128B,28.34B,45.19B,,0.00,3.456B,12.98B,313.00M,,-7.311B,8.813B,,AOR,Restated
2014-09,2.51B,1.852B,4.362B,2.135B,,2.135B,942.00M,1.22B,149.00M,2.187B,,11.00B,,,,30.68B,-8.959B,21.72B,9.794B,4.614B,14.41B,,3.696B,1.119B,40.94B,51.94B,,2.577B,687.00M,3.264B,3.201B,6.465B,,,1.169B,,1.169B,6.576B,6.576B,603.00M,14.81B,8.97B,,8.97B,,2.386B,2.386B,,11.53B,1.946B,24.83B,39.64B,,0.00,4.244B,13.46B,312.00M,,-5.10B,12.30B,,AOR,Restated
2014-06,3.362B,719.00M,4.081B,2.104B,,2.104B,961.00M,1.221B,121.00M,2.029B,,10.52B,,,,30.60B,-8.548B,22.05B,9.794B,4.625B,14.42B,,4.102B,1.105B,41.67B,52.19B,,2.536B,790.00M,3.326B,2.57B,5.896B,,,1.233B,,1.233B,7.477B,7.477B,603.00M,15.21B,9.089B,,9.089B,,2.432B,2.432B,,11.52B,1.735B,24.78B,39.99B,,0.00,3.962B,13.69B,309.00M,,-5.137B,12.20B,,AOR,Restated
2014-03,2.699B,959.00M,3.658B,2.042B,,2.042B,948.00M,1.209B,125.00M,1.764B,,9.746B,,,,30.14B,-8.167B,21.97B,9.794B,4.642B,14.44B,,4.854B,1.159B,42.42B,52.17B,,2.341B,810.00M,3.151B,2.292B,5.443B,,,1.578B,,1.578B,7.385B,7.385B,604.00M,15.01B,9.466B,,9.466B,,2.527B,2.527B,,11.81B,1.712B,25.52B,40.53B,,0.00,3.211B,13.88B,307.00M,,-5.139B,11.64B,,AOR,Restated
2013-12,2.844B,959.00M,3.803B,1.609B,3.00M,1.612B,1.063B,852.00M,,1.736B,,9.651B,,4.596B,381.00M,29.65B,-7.792B,21.85B,9.794B,4.658B,14.45B,,4.992B,1.303B,42.60B,52.25B,,2.30B,,2.30B,4.176B,6.476B,,1.547B,1.547B,,1.547B,5.983B,5.983B,146.00M,14.15B,9.795B,,9.795B,,2.559B,2.559B,,12.39B,1.711B,26.46B,40.61B,,0.00,3.049B,13.98B,258.00M,,-5.13B,11.64B,,AOR,Restated
2013-09,3.018B,959.00M,3.977B,1.969B,,1.969B,1.032B,1.355B,213.00M,405.00M,,8.951B,,,,28.78B,-7.478B,21.30B,9.794B,4.675B,14.47B,,,1.28B,37.05B,46.00B,,2.592B,697.00M,3.289B,2.34B,5.629B,,,1.823B,,1.823B,6.137B,6.137B,545.00M,14.13B,10.08B,,10.08B,1.993B,2.568B,4.561B,,15.38B,1.709B,31.73B,45.86B,,0.00,-5.379B,14.10B,256.00M,,-8.324B,137.00M,,AOR,Restated
2013-06,2.965B,958.00M,3.923B,2.084B,,2.084B,962.00M,1.302B,173.00M,451.00M,,8.895B,,,,28.34B,-7.286B,21.05B,9.794B,4.692B,14.49B,,,1.342B,36.88B,45.77B,,2.571B,789.00M,3.36B,2.168B,5.528B,,,1.695B,,1.695B,6.948B,6.948B,604.00M,14.78B,10.53B,,10.53B,2.037B,2.582B,4.619B,,15.36B,1.68B,32.18B,46.96B,,0.00,-6.748B,14.15B,255.00M,,-8.331B,-1.184B,,AOR,Restated
2013-03,2.636B,958.00M,3.594B,1.994B,,1.994B,995.00M,1.304B,291.00M,463.00M,,8.641B,,,,27.73B,-6.938B,20.79B,9.794B,4.709B,14.50B,,,1.131B,36.43B,45.07B,,2.405B,735.00M,3.14B,2.096B,5.236B,,,1.593B,,1.593B,6.635B,6.635B,604.00M,14.07B,10.72B,,10.72B,2.047B,2.616B,4.663B,,15.86B,1.694B,32.94B,47.01B,,0.00,-7.382B,14.12B,255.00M,,-8.426B,-1.943B,,AOR,Restated
2012-12,2.416B,958.00M,3.374B,1.693B,,1.693B,1.023B,1.344B,375.00M,463.00M,,8.272B,,4.254B,253.00M,27.37B,-6.656B,20.71B,9.794B,4.679B,14.47B,,0.00,1.092B,36.28B,44.55B,,2.293B,585.00M,2.878B,2.808B,5.686B,,,1.627B,,1.627B,5.502B,5.502B,455.00M,13.27B,11.08B,,11.08B,2.047B,2.628B,4.675B,,16.00B,1.649B,33.41B,46.68B,,0.00,-7.389B,14.07B,234.00M,,-8.577B,-2.131B,,AOR,Restated
2012-09,2.274B,959.00M,3.233B,1.785B,,1.785B,403.00M,1.876B,401.00M,465.00M,,8.163B,,,,26.94B,-6.337B,20.60B,9.794B,4.697B,14.49B,,,1.099B,36.19B,44.35B,,2.325B,638.00M,2.963B,985.00M,3.948B,,,1.546B,,1.546B,5.848B,5.848B,391.00M,13.22B,11.11B,,11.11B,2.049B,2.617B,4.666B,,13.69B,1.711B,31.18B,44.40B,,0.00,-7.395B,14.04B,234.00M,,-6.464B,-48.00M,,AOR,Restated
2012-06,2.539B,959.00M,3.498B,1.828B,,1.828B,393.00M,1.882B,368.00M,488.00M,,8.457B,,,,26.75B,-6.141B,20.61B,9.794B,4.716B,14.51B,,,1.144B,36.26B,44.72B,,2.175B,722.00M,2.897B,1.641B,4.538B,,,1.779B,,1.779B,6.671B,6.671B,476.00M,14.69B,11.22B,,11.22B,2.071B,2.651B,4.722B,,13.61B,1.606B,31.16B,45.86B,,0.00,-8.442B,14.03B,234.00M,,-6.49B,-1.135B,,AOR,Restated
2012-03,2.911B,959.00M,3.87B,1.807B,,1.807B,364.00M,1.475B,375.00M,408.00M,,8.299B,,,,26.13B,-5.797B,20.33B,9.794B,4.733B,14.53B,,,1.031B,35.89B,44.19B,,1.998B,704.00M,2.702B,1.041B,3.743B,,,1.855B,,1.855B,6.488B,6.488B,489.00M,13.65B,11.52B,,11.52B,1.959B,2.68B,4.639B,,13.90B,1.489B,31.55B,45.20B,,0.00,-8.274B,14.02B,234.00M,,-6.518B,-1.011B,,AOR,Restated
2011-12,2.657B,958.00M,3.615B,1.563B,,1.563B,535.00M,1.25B,305.00M,461.00M,,7.729B,,3.49B,77.00M,25.70B,-5.472B,20.22B,9.794B,4.751B,14.54B,,,1.002B,35.77B,43.50B,,1.60B,594.00M,2.194B,2.916B,5.11B,,,1.944B,,1.944B,5.329B,5.329B,318.00M,12.70B,11.85B,,11.85B,2.028B,2.70B,4.728B,,14.20B,1.419B,32.19B,44.90B,,0.00,-8.398B,14.00B,231.00M,,-6.766B,-1.396B,,AOR,Restated
2011-09,2.307B,958.00M,3.265B,1.816B,,1.816B,380.00M,1.067B,405.00M,396.00M,,7.329B,,,,25.43B,-5.172B,20.26B,9.794B,4.697B,14.49B,,,960.00M,35.71B,43.04B,,1.641B,597.00M,2.238B,861.00M,3.099B,,,1.937B,,1.937B,5.773B,5.773B,,12.01B,12.56B,,12.56B,1.967B,2.604B,4.571B,,11.25B,1.424B,29.80B,41.81B,,0.00,-8.823B,13.98B,214.00M,,-3.724B,1.222B,,AOR,Restated
2011-06,2.855B,967.00M,3.822B,1.885B,,1.885B,403.00M,1.179B,432.00M,342.00M,,8.063B,,,,25.14B,-4.82B,20.32B,9.794B,4.714B,14.51B,,,992.00M,35.82B,43.88B,,1.90B,766.00M,2.666B,727.00M,3.393B,,,1.635B,,1.635B,6.688B,6.688B,,12.80B,13.03B,,13.03B,1.913B,2.662B,4.575B,,11.31B,1.383B,30.29B,43.09B,,0.00,-9.372B,13.96B,214.00M,,-3.593B,785.00M,,AOR,Restated
2011-03,2.881B,958.00M,3.839B,1.848B,,1.848B,349.00M,1.286B,390.00M,281.00M,,7.993B,,,,24.83B,-4.499B,20.33B,9.794B,4.731B,14.52B,,,1.03B,35.89B,43.88B,,1.907B,759.00M,2.666B,613.00M,3.279B,,,1.723B,,1.723B,6.262B,6.262B,,12.26B,13.45B,,13.45B,1.851B,2.693B,4.544B,,11.49B,1.386B,30.86B,43.12B,,0.00,-9.57B,13.94B,214.00M,,-3.403B,758.00M,,AOR,Restated
2010-12,2.892B,718.00M,3.61B,1.456B,,1.456B,318.00M,1.159B,409.00M,355.00M,,7.307B,3.171B,,,24.47B,-4.164B,20.31B,9.794B,4.749B,14.54B,,,1.031B,35.88B,43.19B,,1.713B,579.00M,2.292B,654.00M,2.946B,,,2.073B,,2.073B,4.996B,4.996B,,11.38B,13.18B,,13.18B,1.924B,2.777B,4.701B,,11.49B,1.533B,30.91B,42.29B,,0.00,-9.252B,13.93B,199.00M,,-3.578B,897.00M,,AOR,Restated
2010-09,3.436B,439.00M,3.875B,1.512B,,1.512B,278.00M,1.071B,418.00M,167.00M,,7.321B,,,,24.02B,-3.836B,20.18B,9.794B,4.766B,14.56B,,,1.088B,35.83B,43.15B,,1.661B,592.00M,2.253B,608.00M,2.861B,,,2.302B,,2.302B,5.377B,5.377B,,11.82B,13.06B,,13.06B,1.734B,2.916B,4.65B,,11.38B,1.522B,30.62B,42.44B,,0.00,-9.271B,13.90B,198.00M,,-3.716B,715.00M,,AOR,Restated
2010-06,4.434B,0.00,4.434B,1.645B,,1.645B,285.00M,859.00M,409.00M,236.00M,,7.868B,,,,23.94B,-3.542B,20.40B,9.794B,4.786B,14.58B,,,965.00M,35.94B,43.81B,,1.63B,721.00M,2.351B,699.00M,3.05B,,,1.555B,,1.555B,6.176B,6.176B,,11.89B,14.23B,,14.23B,1.803B,3.014B,4.817B,,11.32B,1.353B,31.72B,43.61B,,0.00,-9.634B,13.88B,198.00M,,-3.853B,199.00M,,AOR,Restated
2010-03,4.913B,0.00,4.913B,1.533B,,1.533B,319.00M,976.00M,456.00M,164.00M,,8.361B,23.73B,,,23.73B,-3.247B,20.48B,9.794B,4.805B,14.60B,,,898.00M,35.98B,44.34B,,1.505B,705.00M,2.21B,1.755B,3.965B,,,5.657B,,5.657B,1.602B,1.602B,,11.22B,15.25B,,15.25B,1.731B,3.128B,4.859B,,11.61B,1.319B,33.04B,44.27B,,0.00,-10.10B,13.86B,181.00M,,-3.502B,72.00M,,AOR,Restated
2009-12,4.607B,71.00M,4.678B,1.353B,,1.353B,327.00M,853.00M,423.00M,357.00M,,7.991B,3.127B,,,23.36B,-2.924B,20.43B,9.787B,4.829B,14.62B,,,749.00M,35.80B,43.79B,,1.249B,525.00M,1.774B,765.00M,2.539B,,,1.533B,,1.533B,4.688B,4.688B,,9.797B,15.66B,,15.66B,1.917B,3.198B,5.115B,,11.74B,1.222B,33.75B,43.54B,,0.00,-9.845B,13.83B,174.00M,,-3.563B,245.00M,,AOR,Restated
2009-09,5.396B,92.00M,5.488B,1.469B,,1.469B,356.00M,780.00M,478.00M,291.00M,,8.862B,,,,23.24B,-2.584B,20.66B,9.778B,4.864B,14.64B,,,691.00M,35.99B,44.85B,,1.483B,540.00M,2.023B,1.484B,3.507B,,,4.552B,,4.552B,1.535B,1.535B,,9.594B,16.66B,,16.66B,1.861B,3.365B,5.226B,,11.22B,1.261B,34.36B,43.95B,,0.00,-9.82B,13.79B,164.00M,,-2.907B,900.00M,,AOR,Restated
2009-06,4.851B,91.00M,4.942B,1.41B,,1.41B,372.00M,898.00M,361.00M,316.00M,,8.299B,,,,23.16B,-2.243B,20.92B,9.737B,4.888B,14.62B,,,640.00M,36.18B,44.48B,,1.58B,673.00M,2.253B,1.49B,3.743B,,,5.826B,,5.826B,1.58B,1.58B,,11.15B,14.77B,,14.77B,1.886B,3.367B,5.253B,,11.10B,1.223B,32.35B,43.50B,,0.00,-9.659B,13.76B,163.00M,,-2.963B,980.00M,,AOR,Restated
2009-03,4.441B,67.00M,4.508B,1.419B,404.00M,1.823B,380.00M,627.00M,387.00M,332.00M,,8.057B,,,,22.79B,-1.898B,20.90B,9.729B,4.918B,14.65B,,,795.00M,36.34B,44.40B,,1.648B,591.00M,2.239B,1.543B,3.782B,,,6.14B,,6.14B,1.605B,1.605B,,11.53B,14.74B,,14.74B,1.901B,3.428B,5.329B,,11.00B,1.272B,32.35B,43.88B,,0.00,-9.402B,13.74B,154.00M,,-3.663B,519.00M,,AOR,Restated
2008-12,4.255B,212.00M,4.467B,1.513B,1.139B,2.652B,388.00M,637.00M,429.00M,401.00M,,8.974B,3.948B,18.24B,,22.18B,-1.558B,20.63B,9.731B,4.944B,14.68B,,,808.00M,36.11B,45.08B,,1.604B,565.00M,2.169B,1.507B,3.676B,,,5.792B,,5.792B,1.624B,1.624B,,11.09B,15.41B,,15.41B,1.981B,3.489B,5.47B,,10.90B,1.342B,33.12B,44.21B,,0.00,-8.608B,13.71B,152.00M,,-4.08B,874.00M,,AOR,Restated
