,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2017-10,11.04B,60.54B,71.59B,4.206B,,5.038B,9.244B,661.00M,1.00M,1.007B,24.00M,1.693B,,,1.555B,84.08B,4.854B,7.677B,,12.53B,-9.329B,3.202B,30.23B,2.677B,32.91B,,,4.876B,,4.006B,1.448B,46.44B,130.52B,1.155B,86.00M,1.241B,,1.241B,,5.491B,4.748B,10.24B,10.24B,10.92B,10.92B,4.20B,29.28B,25.68B,25.68B,,7.645B,7.645B,,1.476B,35.69B,64.97B,44.87B,20.65B,,,31.00M,65.55B
2017-07,11.71B,58.78B,70.49B,5.146B,,4.856B,10.00B,589.00M,1.00M,1.003B,23.00M,1.616B,,,1.593B,83.70B,4.926B,7.893B,,12.82B,-9.497B,3.322B,29.77B,2.539B,32.30B,,,4.738B,,4.239B,1.511B,46.12B,129.82B,1.385B,98.00M,1.483B,,1.483B,,3.245B,4.747B,7.992B,7.992B,10.82B,10.82B,4.392B,27.58B,25.72B,25.72B,,7.673B,7.673B,0.00,1.45B,36.10B,63.68B,45.25B,20.84B,,,46.00M,66.14B
2017-04,8.116B,59.86B,67.97B,4.635B,,4.639B,9.274B,495.00M,,847.00M,24.00M,1.366B,,,1.348B,79.96B,4.848B,7.856B,,12.70B,-9.309B,3.395B,29.52B,2.704B,32.22B,,,4.568B,,4.351B,1.454B,45.99B,125.95B,1.219B,20.00M,1.239B,,1.239B,0.00,2.00B,2.248B,4.248B,4.248B,10.34B,10.34B,4.062B,22.72B,28.22B,28.22B,,6.978B,6.978B,0.00,1.482B,37.85B,60.57B,45.00B,20.72B,,,-342.00M,65.38B
2017-01,10.90B,60.95B,71.84B,4.458B,,4.496B,8.954B,409.00M,1.00M,835.00M,19.00M,1.264B,,,1.329B,83.39B,4.80B,7.838B,,12.64B,-9.216B,3.422B,26.82B,2.117B,28.94B,,,4.664B,,4.293B,1.538B,42.86B,126.25B,957.00M,57.00M,1.014B,,1.014B,0.00,300.00M,4.151B,4.451B,4.451B,10.24B,10.24B,4.478B,22.71B,30.47B,30.47B,,6.843B,6.843B,7.00M,1.383B,39.72B,62.43B,44.58B,20.03B,,,-801.00M,63.81B
2016-10,8.583B,62.38B,70.97B,4.805B,,4.541B,9.346B,348.00M,,809.00M,19.00M,1.176B,,,1.651B,83.14B,4.819B,7.849B,,12.67B,-9.169B,3.499B,26.82B,2.297B,29.12B,,,4.784B,,4.057B,1.686B,43.15B,126.29B,996.00M,32.00M,1.028B,,1.028B,0.00,,4.155B,4.155B,4.155B,10.22B,10.22B,5.20B,23.22B,30.63B,30.63B,,6.736B,6.736B,7.00M,1.404B,39.66B,62.87B,44.24B,19.69B,,,-524.00M,63.41B
2016-07,7.631B,58.12B,65.76B,5.847B,,4.272B,10.12B,327.00M,0.00,872.00M,18.00M,1.217B,,,1.627B,78.72B,4.778B,7.785B,,12.56B,-9.057B,3.506B,26.62B,2.501B,29.13B,,,4.158B,,4.299B,1.844B,42.93B,121.65B,1.056B,517.00M,1.573B,,1.573B,1.00M,0.00,4.159B,4.16B,4.16B,10.16B,10.16B,6.072B,24.91B,24.48B,24.48B,,6.317B,6.317B,-1.00M,1.431B,33.16B,58.07B,44.52B,19.40B,,,-326.00M,63.59B
2016-04,8.895B,54.62B,63.51B,4.047B,,4.716B,8.763B,342.00M,0.00,982.00M,19.00M,1.343B,,2.723B,2.23B,78.57B,4.706B,7.936B,,12.64B,-9.113B,3.529B,26.76B,2.744B,29.51B,976.00M,,3.90B,,1.345B,827.00M,40.08B,118.65B,1.007B,152.00M,1.159B,,1.159B,,,4.164B,4.164B,4.164B,9.662B,9.662B,6.273B,24.00B,24.43B,24.43B,,5.61B,5.61B,0.00,1.361B,32.29B,56.30B,44.14B,18.45B,,,-227.00M,62.36B
2016-01,6.314B,54.06B,60.38B,4.302B,,4.514B,8.816B,323.00M,1.00M,1.01B,28.00M,1.362B,,2.834B,1.618B,75.00B,4.573B,7.809B,,12.38B,-8.996B,3.386B,24.96B,2.322B,27.28B,964.00M,,3.903B,,1.371B,733.00M,37.64B,112.64B,962.00M,370.00M,1.332B,,1.332B,,,3.008B,3.008B,3.008B,9.796B,9.796B,5.996B,22.80B,21.59B,21.59B,,5.389B,5.389B,7.00M,1.279B,28.96B,51.76B,43.86B,17.82B,,,-807.00M,60.87B
2015-10,5.758B,53.35B,59.11B,4.712B,,4.506B,9.218B,347.00M,1.00M,1.095B,39.00M,1.482B,,2.706B,1.433B,73.95B,4.561B,7.892B,,12.45B,-9.107B,3.346B,24.88B,2.292B,27.17B,928.00M,,4.037B,,1.583B,759.00M,37.83B,111.77B,1.119B,122.00M,1.241B,,1.241B,,,3.027B,3.027B,3.027B,9.821B,9.821B,5.40B,22.10B,21.59B,21.59B,,5.341B,5.341B,8.00M,1.263B,29.69B,51.79B,43.64B,16.59B,,,-252.00M,59.98B
2015-07,6.877B,53.54B,60.42B,5.344B,,4.491B,9.835B,372.00M,2.00M,1.203B,50.00M,1.627B,,,1.49B,73.37B,4.495B,7.932B,,12.43B,-9.095B,3.332B,24.47B,2.376B,26.84B,,,3.858B,,4.454B,1.516B,40.00B,113.37B,1.104B,62.00M,1.166B,,1.166B,3.00M,,3.894B,3.897B,3.897B,9.824B,9.824B,5.476B,23.41B,21.46B,21.46B,,5.359B,5.359B,9.00M,1.562B,30.25B,53.67B,43.59B,16.04B,,,61.00M,59.70B
2015-04,3.87B,50.55B,54.42B,4.889B,,4.248B,9.137B,532.00M,2.00M,1.182B,44.00M,1.76B,,2.539B,1.476B,69.33B,4.465B,7.996B,,12.46B,-9.185B,3.276B,24.40B,2.626B,27.02B,873.00M,,3.506B,,1.437B,765.00M,36.88B,106.21B,1.118B,80.00M,1.198B,,1.198B,,500.00M,3.918B,4.418B,4.418B,9.371B,9.371B,5.532B,23.24B,16.59B,16.59B,,4.81B,4.81B,10.00M,1.444B,24.13B,47.38B,43.13B,15.50B,,,187.00M,58.82B
2015-01,4.797B,48.22B,53.02B,4.541B,,4.21B,8.751B,539.00M,2.00M,1.31B,39.00M,1.89B,,2.654B,1.565B,67.88B,4.457B,8.003B,,12.46B,-9.248B,3.212B,24.38B,2.755B,27.14B,857.00M,,3.549B,,1.448B,837.00M,37.04B,104.92B,988.00M,0.00,988.00M,,988.00M,,,855.00M,855.00M,855.00M,9.369B,9.369B,6.128B,20.03B,19.67B,19.67B,,4.652B,4.652B,15.00M,1.403B,27.16B,47.19B,42.68B,14.85B,,,186.00M,57.72B
2014-10,4.387B,47.72B,52.11B,4.375B,,4.265B,8.64B,448.00M,3.00M,1.189B,36.00M,1.676B,,2.689B,1.284B,66.40B,4.471B,7.998B,,12.47B,-9.236B,3.233B,24.36B,3.066B,27.43B,886.00M,,3.691B,,1.553B,789.00M,37.58B,103.98B,1.022B,94.00M,1.116B,,1.116B,,,1.357B,1.357B,1.357B,9.449B,9.449B,5.496B,20.06B,19.62B,19.62B,,4.295B,4.295B,7.00M,1.793B,27.21B,47.26B,41.98B,14.27B,,,451.00M,56.71B
2014-07,6.726B,45.35B,52.07B,5.157B,,4.153B,9.31B,350.00M,5.00M,1.201B,35.00M,1.591B,,2.808B,1.331B,67.11B,4.468B,8.052B,,12.52B,-9.268B,3.252B,24.24B,3.28B,27.52B,899.00M,,3.918B,,1.70B,668.00M,37.96B,105.07B,1.032B,159.00M,1.191B,,1.191B,8.00M,,500.00M,508.00M,508.00M,9.478B,9.478B,5.451B,19.81B,20.34B,20.34B,,4.664B,4.664B,7.00M,1.748B,28.60B,48.41B,41.88B,14.09B,,,677.00M,56.65B
2014-04,6.241B,44.23B,50.47B,4.443B,,4.071B,8.514B,312.00M,5.00M,1.173B,38.00M,1.528B,,2.504B,1.273B,64.29B,4.496B,8.06B,,12.56B,-9.246B,3.31B,24.08B,3.461B,27.54B,923.00M,,3.537B,,1.54B,721.00M,37.57B,101.86B,1.051B,0.00,1.051B,,1.051B,8.00M,,500.00M,508.00M,508.00M,9.198B,9.198B,4.945B,18.52B,20.38B,20.38B,,3.953B,3.953B,9.00M,1.678B,27.54B,46.06B,41.24B,13.85B,,,697.00M,55.79B
2014-01,5.339B,41.73B,47.06B,4.378B,,4.016B,8.394B,325.00M,6.00M,1.177B,40.00M,1.548B,,2.419B,1.263B,60.69B,4.386B,8.071B,,12.46B,-9.223B,3.234B,24.09B,3.693B,27.78B,916.00M,,3.628B,,1.492B,689.00M,37.74B,98.43B,891.00M,0.00,891.00M,,891.00M,10.00M,1.00B,3.751B,4.761B,4.761B,9.35B,9.35B,5.536B,22.94B,12.38B,12.38B,,3.894B,3.894B,15.00M,1.637B,19.40B,42.34B,41.44B,13.93B,,,703.00M,56.07B
2013-10,5.254B,42.95B,48.20B,5.188B,,4.132B,9.32B,337.00M,7.00M,1.083B,39.00M,1.466B,,2.333B,1.476B,62.80B,4.34B,8.019B,,12.36B,-9.086B,3.273B,23.80B,3.835B,27.64B,884.00M,,3.893B,,1.496B,760.00M,37.94B,100.74B,1.025B,0.00,1.025B,,1.025B,10.00M,,3.269B,3.279B,3.279B,9.212B,9.212B,5.441B,21.73B,12.95B,12.95B,,3.995B,3.995B,12.00M,1.587B,20.10B,41.83B,42.17B,15.96B,,,772.00M,58.90B
2013-07,7.925B,42.68B,50.61B,5.47B,,4.037B,9.507B,361.00M,24.00M,1.052B,39.00M,1.476B,,2.616B,1.312B,65.52B,4.426B,7.96B,,12.39B,-9.064B,3.322B,21.92B,3.403B,25.32B,833.00M,,3.911B,,1.539B,743.00M,35.67B,101.19B,1.029B,192.00M,1.221B,,1.221B,10.00M,,3.273B,3.283B,3.283B,9.262B,9.262B,5.048B,22.00B,12.93B,12.93B,,4.161B,4.161B,8.00M,1.23B,20.07B,42.06B,42.30B,16.22B,,,608.00M,59.12B
2013-04,5.122B,42.27B,47.39B,4.942B,,3.878B,8.82B,334.00M,38.00M,1.057B,40.00M,1.469B,,2.377B,1.363B,61.42B,4.437B,7.843B,,12.28B,-8.95B,3.33B,21.64B,3.408B,25.05B,835.00M,,3.838B,,1.787B,829.00M,35.67B,97.08B,957.00M,0.00,957.00M,,957.00M,13.00M,,3.279B,3.292B,3.292B,9.055B,9.055B,4.749B,21.06B,12.96B,12.96B,,3.63B,3.63B,10.00M,1.134B,19.22B,40.29B,40.43B,15.67B,,,689.00M,56.79B
2013-01,6.847B,39.53B,46.38B,4.462B,,3.894B,8.356B,361.00M,24.00M,1.146B,43.00M,1.574B,,2.297B,2.122B,60.72B,4.491B,7.894B,,12.38B,-8.982B,3.403B,21.36B,3.542B,24.90B,869.00M,,3.837B,,1.807B,834.00M,35.65B,96.38B,890.00M,87.00M,977.00M,,977.00M,37.00M,,,37.00M,37.00M,9.108B,9.108B,4.907B,17.95B,16.25B,16.25B,,4.213B,4.213B,10.00M,1.096B,22.90B,40.85B,39.97B,14.65B,,,898.00M,55.52B
2012-10,4.773B,40.23B,45.00B,3.942B,,3.726B,7.668B,338.00M,36.00M,1.286B,49.00M,1.709B,,2.253B,1.277B,57.91B,4.458B,7.792B,,12.25B,-8.841B,3.409B,20.44B,3.449B,23.89B,830.00M,,3.695B,,2.061B,849.00M,34.74B,92.64B,889.00M,200.00M,1.089B,,1.089B,55.00M,,,55.00M,55.00M,8.721B,8.721B,4.539B,17.11B,16.27B,16.27B,,3.902B,3.902B,15.00M,1.077B,22.83B,39.94B,39.29B,12.56B,,,833.00M,52.69B
2012-07,9.799B,38.92B,48.72B,4.369B,,3.661B,8.03B,340.00M,35.00M,1.227B,61.00M,1.663B,,2.294B,1.23B,61.93B,4.363B,7.62B,,11.98B,-8.581B,3.402B,17.00B,1.959B,18.96B,858.00M,,3.585B,,2.27B,754.00M,29.83B,91.76B,859.00M,276.00M,1.135B,,1.135B,31.00M,,,31.00M,31.00M,8.852B,8.852B,4.785B,17.73B,16.30B,16.30B,,4.028B,4.028B,15.00M,558.00M,22.73B,40.46B,39.27B,11.35B,,,661.00M,51.29B
2012-04,6.461B,41.95B,48.41B,3.98B,1.029B,2.68B,7.689B,316.00M,37.00M,1.066B,78.00M,1.497B,,2.104B,1.51B,61.21B,4.547B,7.52B,,12.07B,-8.433B,3.634B,17.01B,2.134B,19.14B,841.00M,680.00M,2.838B,,2.063B,746.00M,29.94B,91.15B,903.00M,453.00M,1.356B,,1.356B,83.00M,0.00,,83.00M,83.00M,8.568B,8.568B,4.491B,17.12B,16.29B,16.29B,,4.08B,4.08B,21.00M,588.00M,22.65B,39.78B,39.51B,10.87B,,,978.00M,51.36B
2012-01,8.561B,38.18B,46.74B,3.876B,932.00M,2.615B,7.423B,346.00M,36.00M,1.128B,80.00M,1.59B,,2.102B,1.441B,59.30B,4.608B,7.408B,,12.02B,-8.305B,3.711B,16.84B,2.236B,19.08B,864.00M,631.00M,2.841B,,2.055B,782.00M,29.96B,89.26B,791.00M,495.00M,1.286B,,1.286B,105.00M,500.00M,,605.00M,605.00M,8.534B,8.534B,4.612B,17.60B,16.30B,16.30B,,3.928B,3.928B,19.00M,613.00M,22.40B,39.99B,38.91B,9.49B,,,850.00M,49.25B
2011-10,4.747B,39.64B,44.39B,4.30B,861.00M,2.439B,7.60B,388.00M,43.00M,1.121B,70.00M,1.622B,,2.158B,1.499B,57.27B,4.616B,7.264B,,11.88B,-8.127B,3.753B,16.82B,2.369B,19.19B,898.00M,504.00M,2.705B,,1.895B,750.00M,29.70B,86.96B,908.00M,455.00M,1.363B,,1.363B,89.00M,500.00M,,589.00M,589.00M,8.444B,8.444B,4.508B,17.46B,16.26B,16.26B,,3.952B,3.952B,26.00M,572.00M,22.29B,39.75B,38.30B,7.91B,,,981.00M,47.19B
2011-07,7.662B,36.92B,44.58B,4.698B,,3.111B,7.809B,401.00M,52.00M,962.00M,71.00M,1.486B,,2.41B,941.00M,57.23B,4.76B,7.306B,,12.07B,-8.15B,3.916B,16.82B,2.541B,19.36B,796.00M,,3.488B,,1.864B,441.00M,29.86B,87.10B,876.00M,120.00M,996.00M,,996.00M,88.00M,500.00M,,588.00M,588.00M,8.025B,8.025B,4.734B,17.51B,16.23B,16.23B,,4.182B,4.182B,33.00M,723.00M,22.33B,39.84B,38.65B,7.284B,,,1.294B,47.23B
2011-04,6.635B,36.73B,43.37B,4.413B,,,4.413B,464.00M,28.00M,890.00M,60.00M,1.442B,,2.12B,3.862B,55.20B,4.773B,7.166B,,11.94B,-7.916B,4.023B,16.88B,2.702B,19.58B,837.00M,667.00M,1.412B,,2.034B,1.591B,30.15B,85.35B,799.00M,78.00M,877.00M,,877.00M,68.00M,513.00M,,581.00M,581.00M,7.771B,7.771B,3.917B,16.11B,16.17B,16.17B,,3.928B,3.928B,43.00M,772.00M,22.03B,38.14B,38.64B,7.217B,,,1.307B,47.16B
2011-01,4.924B,35.30B,40.23B,4.62B,,,4.62B,504.00M,29.00M,1.005B,64.00M,1.602B,,2.054B,3.561B,52.07B,4.555B,7.192B,,11.75B,-7.716B,4.031B,16.75B,2.799B,19.54B,824.00M,655.00M,1.343B,,2.06B,1.457B,29.92B,81.98B,796.00M,163.00M,959.00M,,959.00M,,,3.089B,3.089B,3.089B,7.878B,7.878B,3.972B,18.50B,12.15B,12.15B,,3.929B,3.929B,45.00M,741.00M,17.79B,36.30B,38.30B,6.363B,,,976.00M,45.64B
2010-10,3.796B,35.13B,38.92B,4.471B,,,4.471B,505.00M,54.00M,900.00M,64.00M,1.523B,,1.992B,3.495B,50.41B,4.519B,7.048B,,11.57B,-7.583B,3.984B,16.74B,3.176B,19.92B,779.00M,621.00M,1.265B,,1.881B,1.161B,29.61B,80.02B,945.00M,126.00M,1.071B,,1.071B,,,3.064B,3.064B,3.064B,7.42B,7.42B,4.068B,18.12B,12.21B,12.21B,,3.316B,3.316B,20.00M,730.00M,17.20B,35.32B,37.69B,6.034B,,,950.00M,44.68B
2010-07,4.581B,35.28B,39.86B,4.929B,501.00M,1.802B,7.232B,378.00M,50.00M,847.00M,52.00M,1.327B,,2.126B,875.00M,51.42B,4.47B,6.838B,,11.31B,-7.367B,3.941B,16.67B,3.274B,19.95B,756.00M,675.00M,1.939B,,2.079B,371.00M,29.71B,81.13B,895.00M,90.00M,985.00M,,985.00M,59.00M,0.00,3.037B,3.096B,3.096B,7.664B,7.664B,4.359B,19.23B,12.19B,12.19B,,3.419B,3.419B,18.00M,652.00M,17.61B,36.84B,37.79B,5.851B,,,623.00M,44.27B
2010-04,3.961B,35.14B,39.11B,4.078B,,,4.078B,347.00M,43.00M,810.00M,50.00M,1.25B,,2.277B,3.047B,49.76B,4.527B,7.11B,,11.64B,-7.643B,3.994B,16.67B,3.448B,20.12B,763.00M,744.00M,1.126B,,1.80B,991.00M,29.53B,79.29B,902.00M,167.00M,1.069B,,1.069B,,,3.127B,3.127B,3.127B,7.154B,7.154B,4.38B,18.44B,12.12B,12.12B,,3.149B,3.149B,22.00M,679.00M,17.00B,35.44B,37.58B,5.57B,,,676.00M,43.83B
2010-01,4.71B,34.93B,39.64B,4.237B,,,4.237B,394.00M,36.00M,745.00M,40.00M,1.215B,,2.233B,2.816B,50.14B,4.505B,7.302B,,11.81B,-7.849B,3.958B,14.42B,2.661B,17.08B,769.00M,726.00M,1.044B,,1.786B,897.00M,26.26B,76.40B,750.00M,103.00M,853.00M,,853.00M,,,,,,6.751B,6.751B,4.594B,14.40B,15.19B,15.19B,,2.906B,2.906B,20.00M,425.00M,20.47B,34.87B,35.69B,5.086B,,,739.00M,41.51B
2009-10,4.774B,30.59B,35.36B,3.159B,,,3.159B,314.00M,33.00M,710.00M,32.00M,1.089B,,2.205B,2.879B,44.70B,4.501B,7.555B,,12.06B,-8.08B,3.976B,12.94B,1.552B,14.49B,728.00M,712.00M,1.043B,,2.112B,918.00M,23.98B,68.68B,729.00M,97.00M,826.00M,,826.00M,,,,,,6.397B,6.397B,3.676B,13.16B,10.27B,10.27B,,2.874B,2.874B,24.00M,590.00M,15.49B,28.65B,34.80B,4.354B,,,845.00M,40.00B
2009-07,5.718B,29.28B,35.00B,3.177B,,,3.177B,316.00M,33.00M,692.00M,33.00M,1.074B,,2.32B,2.605B,44.18B,4.618B,7.59B,,12.21B,-8.165B,4.043B,12.92B,1.702B,14.63B,709.00M,537.00M,966.00M,,2.122B,947.00M,23.95B,68.13B,675.00M,166.00M,841.00M,,841.00M,,,,,,6.438B,6.438B,3.841B,13.66B,10.30B,10.30B,,2.955B,2.955B,30.00M,539.00M,15.80B,29.45B,34.34B,3.868B,,,435.00M,38.65B
