,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-01,11.89B,11.89B,4.389B,7.498B,2.235B,483.00M,2.718B,1.549B,60.00M,,-98.00M,247.00M,396.00M,149.00M,4.327B,3.171B,396.00M,247.00M,149.00M,-88.00M,149.00M,3.232B,12.01B,-8.778B,,-8.778B,-8.750B,4.025B,546.00M,3.479B,-1.78,,,-1.774,-1.78,-1.78,,,-1.774,-1.78,4.924B,4.924B,0.29
2017-10,12.14B,12.14B,4.709B,7.427B,2.334B,557.00M,2.891B,1.567B,61.00M,,-152.00M,235.00M,379.00M,144.00M,4.519B,2.908B,379.00M,235.00M,144.00M,-90.00M,144.00M,2.962B,568.00M,2.394B,,2.394B,2.462B,3.763B,566.00M,3.197B,0.48,,,0.4937,0.48,0.48,,,0.4936,0.48,4.959B,4.994B,0.29
2017-07,12.13B,12.13B,4.587B,7.546B,2.318B,495.00M,2.813B,1.499B,58.00M,,-142.00M,222.00M,360.00M,138.00M,4.37B,3.176B,360.00M,222.00M,138.00M,-134.00M,138.00M,3.18B,756.00M,2.424B,,2.424B,2.524B,3.98B,578.00M,3.402B,0.49,,,0.51,0.49,0.48,,,0.4999,0.48,4.995B,5.028B,0.29
2017-04,11.94B,11.94B,4.422B,7.518B,2.226B,487.00M,2.713B,1.507B,59.00M,,-70.00M,219.00M,354.00M,135.00M,4.279B,3.239B,354.00M,219.00M,135.00M,-183.00M,135.00M,3.191B,676.00M,2.515B,,2.515B,2.630B,3.97B,560.00M,3.41B,0.5,,,0.523,0.5,0.5,,,0.5228,0.5,5.005B,5.045B,0.29
2017-01,11.58B,11.58B,4.304B,7.276B,2.222B,456.00M,2.678B,1.508B,64.00M,,-133.00M,222.00M,329.00M,107.00M,4.25B,3.026B,329.00M,222.00M,107.00M,-170.00M,107.00M,2.963B,615.00M,2.348B,,2.348B,2.479B,3.734B,549.00M,3.185B,0.47,,,0.4962,0.47,0.47,,,0.4961,0.47,5.015B,5.04B,0.26
2016-10,12.35B,12.35B,4.468B,7.884B,2.418B,555.00M,2.973B,1.545B,78.00M,,-411.00M,198.00M,295.00M,97.00M,4.596B,3.288B,295.00M,198.00M,97.00M,-432.00M,97.00M,2.953B,631.00M,2.322B,,2.322B,2.673B,3.75B,599.00M,3.151B,0.46,,,0.5297,0.46,0.46,,,0.5292,0.46,5.027B,5.066B,0.26
2016-07,12.64B,12.64B,4.663B,7.975B,2.443B,533.00M,2.976B,1.601B,82.00M,,-13.00M,180.00M,273.00M,93.00M,4.659B,3.316B,273.00M,180.00M,93.00M,-15.00M,93.00M,3.394B,581.00M,2.813B,,2.813B,2.811B,4.178B,604.00M,3.574B,0.56,,,0.5597,0.56,0.56,,,0.5597,0.56,5.032B,5.067B,0.26
2016-04,12.00B,12.00B,4.279B,7.721B,2.447B,566.00M,3.013B,1.626B,81.00M,,-17.00M,175.00M,270.00M,95.00M,4.72B,3.001B,270.00M,175.00M,95.00M,-13.00M,95.00M,3.083B,734.00M,2.349B,,2.349B,2.350B,3.799B,541.00M,3.258B,0.47,,,0.4702,0.47,0.46,,,0.4602,0.46,5.032B,5.065B,0.26
2016-01,11.93B,11.93B,4.495B,7.432B,2.286B,176.00M,2.462B,1.509B,71.00M,,-96.00M,162.00M,237.00M,75.00M,4.042B,3.39B,237.00M,162.00M,75.00M,-159.00M,75.00M,3.306B,159.00M,3.147B,,3.147B,3.291B,3.966B,498.00M,3.468B,0.62,,,0.6484,0.62,0.62,,,0.6482,0.62,5.07B,5.097B,0.21
2015-10,12.68B,12.68B,4.85B,7.832B,2.443B,539.00M,2.982B,1.56B,69.00M,,-142.00M,159.00M,225.00M,66.00M,4.611B,3.221B,225.00M,159.00M,66.00M,-150.00M,66.00M,3.137B,707.00M,2.43B,,2.43B,2.549B,3.803B,507.00M,3.296B,0.48,,,0.5035,0.48,0.48,,,0.5033,0.48,5.08B,5.113B,0.21
2015-07,12.84B,12.84B,5.11B,7.733B,2.549B,536.00M,3.085B,1.548B,146.00M,,-73.00M,149.00M,211.00M,62.00M,4.779B,2.954B,211.00M,149.00M,62.00M,-83.00M,62.00M,2.933B,614.00M,2.319B,,2.319B,2.365B,3.725B,643.00M,3.082B,0.46,,,0.469,0.46,0.45,,,0.459,0.45,5.086B,5.122B,0.21
2015-04,12.14B,12.14B,4.612B,7.525B,2.449B,510.00M,2.959B,1.547B,70.00M,,-24.00M,139.00M,190.00M,51.00M,4.576B,2.949B,190.00M,139.00M,51.00M,35.00M,51.00M,3.035B,598.00M,2.437B,,2.437B,2.419B,3.744B,570.00M,3.174B,0.48,,,0.4764,0.48,0.47,,,0.4664,0.47,5.102B,5.148B,0.21
2015-01,11.94B,11.94B,4.846B,7.09B,2.308B,490.00M,2.798B,1.529B,72.00M,,-69.00M,139.00M,189.00M,50.00M,4.399B,2.691B,189.00M,139.00M,50.00M,132.00M,50.00M,2.873B,476.00M,2.397B,,2.397B,2.285B,3.642B,630.00M,3.012B,0.47,,,0.4482,0.47,0.46,,,0.4383,0.46,5.117B,5.16B,0.19
2014-10,12.24B,12.24B,4.912B,7.333B,2.515B,504.00M,3.019B,1.583B,71.00M,,-318.00M,139.00M,179.00M,40.00M,4.673B,2.66B,179.00M,139.00M,40.00M,-340.00M,40.00M,2.36B,532.00M,1.828B,,1.828B,2.095B,3.098B,599.00M,2.499B,0.36,,,0.4122,0.36,0.35,,,0.4017,0.35,5.112B,5.156B,0.19
2014-07,12.36B,12.36B,4.952B,7.405B,2.473B,508.00M,2.981B,1.593B,68.00M,,-82.00M,142.00M,183.00M,41.00M,4.642B,2.763B,183.00M,142.00M,41.00M,-26.00M,41.00M,2.778B,531.00M,2.247B,,2.247B,2.247B,3.548B,628.00M,2.92B,0.44,,,0.44,0.44,0.43,,,0.43,0.43,5.123B,5.191B,0.19
2014-04,11.54B,11.54B,4.539B,7.006B,2.342B,460.00M,2.802B,1.565B,71.00M,,-26.00M,146.00M,170.00M,24.00M,4.438B,2.568B,170.00M,146.00M,24.00M,50.00M,24.00M,2.642B,461.00M,2.181B,,2.181B,2.154B,3.396B,608.00M,2.788B,0.42,,,0.4147,0.42,0.42,,,0.4147,0.42,5.143B,5.18B,0.19
2014-01,11.16B,11.16B,5.204B,5.951B,2.277B,451.00M,2.728B,1.412B,71.00M,,-73.00M,136.00M,169.00M,33.00M,4.211B,1.74B,169.00M,136.00M,33.00M,-18.00M,33.00M,1.755B,326.00M,1.429B,,1.429B,1.450B,2.503B,612.00M,1.891B,0.27,,,0.274,0.27,0.27,,,0.274,0.27,5.294B,5.327B,0.17
2013-10,12.08B,12.08B,4.678B,7.407B,2.411B,515.00M,2.926B,1.724B,65.00M,,-237.00M,140.00M,169.00M,29.00M,4.715B,2.692B,169.00M,140.00M,29.00M,-181.00M,29.00M,2.54B,544.00M,1.996B,,1.996B,2.141B,3.271B,591.00M,2.68B,0.37,,,0.397,0.37,0.37,,,0.3968,0.37,5.378B,5.43B,0.17
2013-07,12.42B,12.42B,5.07B,7.347B,2.36B,590.00M,2.95B,1.517B,66.00M,,0.00,143.00M,171.00M,28.00M,4.533B,2.814B,171.00M,143.00M,28.00M,29.00M,28.00M,2.871B,601.00M,2.27B,,2.27B,2.259B,3.623B,609.00M,3.014B,0.42,,,0.4179,0.42,0.42,,,0.418,0.42,5.368B,5.437B,0.17
2013-04,12.22B,12.22B,4.705B,7.511B,2.375B,530.00M,2.905B,1.542B,89.00M,,-33.00M,145.00M,162.00M,17.00M,4.536B,2.975B,162.00M,145.00M,17.00M,-47.00M,17.00M,2.945B,467.00M,2.478B,,2.478B,2.513B,3.709B,619.00M,3.09B,0.47,,,0.4766,0.47,0.46,,,0.4666,0.46,5.329B,5.387B,0.17
2013-01,12.10B,12.10B,4.755B,7.343B,2.387B,584.00M,2.971B,1.452B,118.00M,,-13.00M,147.00M,160.00M,13.00M,4.541B,2.802B,160.00M,147.00M,13.00M,-35.00M,13.00M,2.78B,-363.00M,3.143B,,3.143B,3.153B,3.544B,617.00M,2.927B,0.59,,,0.592,0.59,0.59,,,0.5919,0.59,5.318B,5.357B,0.14
2012-10,11.88B,11.88B,4.637B,7.239B,2.416B,560.00M,2.976B,1.431B,122.00M,,-59.00M,148.00M,161.00M,13.00M,4.529B,2.71B,161.00M,148.00M,13.00M,-92.00M,13.00M,2.631B,539.00M,2.092B,,2.092B,2.151B,3.394B,615.00M,2.779B,0.39,,,0.4011,0.39,0.39,,,0.401,0.39,5.301B,5.334B,0.14
2012-07,11.69B,11.69B,4.605B,7.085B,2.417B,711.00M,3.128B,1.416B,91.00M,,-79.00M,147.00M,167.00M,20.00M,4.635B,2.45B,167.00M,147.00M,20.00M,-84.00M,20.00M,2.386B,469.00M,1.917B,,1.917B,1.986B,2.925B,392.00M,2.533B,0.36,,,0.373,0.36,0.36,,,0.3729,0.36,5.331B,5.362B,0.08
2012-04,11.59B,11.59B,4.419B,7.169B,2.383B,562.00M,2.945B,1.358B,96.00M,,-20.00M,151.00M,161.00M,10.00M,4.399B,2.77B,161.00M,151.00M,10.00M,-1.00M,10.00M,2.779B,614.00M,2.165B,,2.165B,2.160B,3.561B,631.00M,2.93B,0.4,,,0.399,0.4,0.4,,,0.399,0.4,5.388B,5.456B,0.08
2012-01,11.53B,11.53B,4.462B,7.065B,2.395B,497.00M,2.892B,1.339B,97.00M,,-3.00M,150.00M,158.00M,8.00M,4.328B,2.737B,158.00M,150.00M,8.00M,4.00M,8.00M,2.749B,567.00M,2.182B,,2.182B,2.186B,3.463B,564.00M,2.899B,0.41,,,0.4107,0.41,0.4,,,0.4007,0.4,5.368B,5.401B,0.06
2011-10,11.26B,11.26B,4.366B,6.89B,2.452B,552.00M,3.004B,1.375B,99.00M,,-202.00M,148.00M,164.00M,16.00M,4.478B,2.412B,164.00M,148.00M,16.00M,-183.00M,16.00M,2.245B,468.00M,1.777B,,1.777B,1.927B,3.014B,621.00M,2.393B,0.33,,,0.3578,0.33,0.33,,,0.3577,0.33,5.394B,5.407B,0.06
2011-07,11.20B,11.20B,4.334B,6.861B,2.52B,532.00M,3.052B,1.484B,101.00M,,-768.00M,148.00M,164.00M,16.00M,4.637B,2.224B,164.00M,148.00M,16.00M,-773.00M,16.00M,1.467B,235.00M,1.232B,,1.232B,1.853B,2.288B,673.00M,1.615B,0.22,,,0.3334,0.22,0.22,,,0.3334,0.22,5.481B,5.481B,0.06
2011-04,10.87B,10.87B,4.207B,6.659B,2.446B,466.00M,2.912B,1.43B,103.00M,,-31.00M,153.00M,161.00M,8.00M,4.445B,2.214B,161.00M,153.00M,8.00M,-19.00M,8.00M,2.203B,396.00M,1.807B,,1.807B,1.807B,2.929B,573.00M,2.356B,0.33,,,0.33,0.33,0.33,,,0.33,0.33,5.508B,5.537B,0.06
2011-01,10.41B,10.41B,4.146B,6.261B,2.444B,452.00M,2.896B,1.478B,203.00M,,0.00,161.00M,156.00M,-5.00M,4.577B,1.684B,156.00M,161.00M,-5.00M,51.00M,-5.00M,1.73B,209.00M,1.521B,,1.521B,1.481B,2.578B,687.00M,1.891B,0.27,,,0.2627,0.27,0.27,,,0.2628,0.27,5.531B,5.587B,
2010-10,10.75B,10.75B,3.995B,6.755B,2.402B,458.00M,2.86B,1.431B,113.00M,,0.00,166.00M,160.00M,-6.00M,4.404B,2.351B,160.00M,166.00M,-6.00M,80.00M,-6.00M,2.425B,495.00M,1.93B,,1.93B,1.844B,3.144B,553.00M,2.591B,0.34,,,0.3246,0.34,0.34,,,0.3249,0.34,5.595B,5.675B,
2010-07,10.84B,10.84B,4.043B,6.793B,2.368B,578.00M,2.946B,1.391B,131.00M,,0.00,169.00M,154.00M,-15.00M,4.468B,2.325B,154.00M,169.00M,-15.00M,108.00M,-15.00M,2.418B,483.00M,1.935B,,1.935B,1.935B,3.202B,615.00M,2.587B,0.34,,,0.34,0.34,0.33,,,0.33,0.33,5.69B,5.785B,
2010-04,10.37B,10.37B,3.738B,6.63B,2.278B,479.00M,2.757B,1.411B,117.00M,,0.00,182.00M,158.00M,-24.00M,4.285B,2.345B,158.00M,182.00M,-24.00M,82.00M,-24.00M,2.403B,211.00M,2.192B,,2.192B,2.135B,3.058B,473.00M,2.585B,0.38,,,0.37,0.38,0.37,,,0.3602,0.37,5.731B,5.869B,
2010-01,9.815B,9.815B,3.483B,6.332B,2.126B,451.00M,2.577B,1.247B,138.00M,,,158.00M,155.00M,-3.00M,3.962B,2.37B,155.00M,158.00M,-3.00M,-12.00M,-3.00M,2.355B,502.00M,1.853B,,1.853B,1.824B,3.026B,513.00M,2.513B,0.32,,,0.3149,0.32,0.32,,,0.315,0.32,5.741B,5.862B,
2009-10,9.021B,9.021B,3.133B,5.888B,2.01B,425.00M,2.435B,1.224B,105.00M,,,114.00M,168.00M,54.00M,3.764B,2.124B,168.00M,114.00M,54.00M,61.00M,54.00M,2.239B,452.00M,1.787B,,1.787B,1.749B,2.782B,429.00M,2.353B,0.31,,,0.3035,0.31,0.3,,,0.2936,0.3,5.767B,5.871B,
2009-07,8.535B,8.535B,3.074B,5.461B,2.009B,488.00M,2.497B,1.34B,164.00M,,,114.00M,170.00M,56.00M,4.001B,1.46B,170.00M,114.00M,56.00M,17.00M,56.00M,1.533B,452.00M,1.081B,,1.081B,1.058B,2.171B,524.00M,1.647B,0.19,,,0.186,0.19,0.19,,,0.186,0.19,5.78B,5.815B,
2009-04,8.162B,8.162B,2.933B,5.229B,1.956B,302.00M,2.258B,1.243B,121.00M,,,105.00M,194.00M,89.00M,3.622B,1.607B,194.00M,105.00M,89.00M,-9.00M,89.00M,1.687B,339.00M,1.348B,,1.348B,1.340B,2.218B,426.00M,1.792B,0.23,,,0.2286,0.23,0.23,,,0.2286,0.23,5.805B,5.818B,
2009-01,9.089B,9.089B,3.366B,5.723B,2.155B,380.00M,2.535B,1.279B,136.00M,,,63.00M,222.00M,159.00M,3.95B,1.773B,222.00M,63.00M,159.00M,-64.00M,159.00M,1.868B,364.00M,1.504B,,1.504B,1.547B,2.356B,425.00M,1.931B,0.26,,,0.2673,0.26,0.26,,,0.2673,0.26,5.848B,5.864B,
2008-10,10.33B,10.33B,3.65B,6.681B,2.283B,395.00M,2.678B,1.409B,112.00M,,,64.00M,259.00M,195.00M,4.199B,2.482B,259.00M,64.00M,195.00M,-72.00M,195.00M,2.605B,404.00M,2.201B,,2.201B,2.260B,3.062B,393.00M,2.669B,0.37,,,0.3801,0.37,0.37,,,0.3799,0.37,5.881B,5.972B,
2008-07,10.36B,10.36B,3.733B,6.631B,2.249B,354.00M,2.603B,1.35B,149.00M,,,64.00M,252.00M,188.00M,4.102B,2.529B,252.00M,64.00M,188.00M,-31.00M,188.00M,2.686B,672.00M,2.014B,,2.014B,2.018B,3.18B,430.00M,2.75B,0.35,,,0.3508,0.35,0.34,,,0.3407,0.34,5.902B,6.046B,
2008-04,9.791B,9.791B,3.521B,6.27B,2.205B,324.00M,2.529B,1.483B,117.00M,,,68.00M,269.00M,201.00M,4.129B,2.141B,269.00M,68.00M,201.00M,-33.00M,201.00M,2.309B,536.00M,1.773B,,1.773B,1.769B,2.813B,436.00M,2.377B,0.3,,,0.2994,0.3,0.29,,,0.2894,0.29,5.942B,6.069B,
2008-01,9.831B,9.831B,3.526B,6.305B,2.158B,367.00M,2.525B,1.26B,116.00M,,,91.00M,303.00M,212.00M,3.901B,2.404B,303.00M,91.00M,212.00M,22.00M,212.00M,2.638B,578.00M,2.06B,,2.06B,2.021B,3.186B,457.00M,2.729B,0.34,,,0.3335,0.34,0.33,,,0.3237,0.33,6.01B,6.202B,
2007-10,9.554B,9.554B,3.414B,6.14B,2.078B,342.00M,2.42B,1.235B,117.00M,,,96.00M,319.00M,223.00M,3.772B,2.368B,319.00M,96.00M,223.00M,31.00M,223.00M,2.622B,417.00M,2.205B,,2.205B,2.160B,3.139B,421.00M,2.718B,0.36,,,0.3525,0.36,0.35,,,0.3428,0.35,6.087B,6.33B,
2007-07,9.433B,9.433B,3.442B,5.991B,2.159B,69.00M,2.228B,1.351B,109.00M,,,94.00M,291.00M,197.00M,3.688B,2.303B,291.00M,94.00M,197.00M,31.00M,197.00M,2.531B,601.00M,1.93B,,1.93B,1.898B,2.999B,374.00M,2.625B,0.32,,,0.3147,0.32,0.31,,,0.3049,0.31,6.064B,6.295B,
2007-04,8.866B,8.866B,3.219B,5.647B,1.83B,378.00M,2.208B,1.145B,97.00M,0.00,0.00,94.00M,283.00M,189.00M,3.45B,2.197B,283.00M,94.00M,189.00M,33.00M,189.00M,2.419B,545.00M,1.874B,,1.874B,1.831B,2.862B,349.00M,2.513B,0.31,,,0.3029,0.31,0.3,,,0.2932,0.3,6.034B,6.244B,
2007-01,8.439B,8.439B,3.051B,5.388B,1.726B,340.00M,2.066B,1.096B,96.00M,10.00M,-10.00M,95.00M,267.00M,172.00M,3.258B,2.13B,267.00M,95.00M,172.00M,33.00M,172.00M,2.335B,414.00M,1.921B,,1.921B,1.879B,2.772B,342.00M,2.43B,0.32,,,0.3131,0.32,0.31,,,0.3033,0.31,6.057B,6.291B,
2006-10,8.184B,8.184B,2.951B,5.233B,1.686B,364.00M,2.05B,1.087B,105.00M,4.00M,-4.00M,94.00M,251.00M,157.00M,3.242B,1.991B,251.00M,94.00M,157.00M,28.00M,157.00M,2.176B,568.00M,1.608B,,1.608B,1.573B,2.618B,348.00M,2.27B,0.27,,,0.2641,0.27,0.26,,,0.2543,0.26,6.061B,6.199B,
2006-07,7.984B,7.984B,2.839B,5.145B,1.60B,311.00M,1.911B,1.065B,179.00M,2.00M,-2.00M,88.00M,231.00M,143.00M,3.155B,1.99B,231.00M,88.00M,143.00M,13.00M,143.00M,2.146B,602.00M,1.544B,,1.544B,1.508B,2.671B,437.00M,2.234B,0.26,,,0.2541,0.26,0.25,,,0.2442,0.25,6.08B,6.188B,
2006-04,7.322B,7.322B,2.596B,4.726B,1.547B,298.00M,1.845B,1.129B,99.00M,2.00M,-2.00M,60.00M,202.00M,142.00M,3.073B,1.653B,202.00M,60.00M,142.00M,17.00M,142.00M,1.812B,412.00M,1.40B,,1.40B,1.359B,2.216B,344.00M,1.872B,0.23,,,0.2234,0.23,0.22,,,0.2135,0.22,6.16B,6.289B,
2006-01,6.628B,6.628B,2.162B,4.466B,1.431B,282.00M,1.713B,966.00M,56.00M,4.00M,-4.00M,0.00,168.00M,168.00M,2.735B,1.731B,168.00M,0.00,168.00M,17.00M,168.00M,1.916B,541.00M,1.375B,,1.375B,1.352B,2.17B,254.00M,1.916B,0.22,,,0.2163,0.22,0.22,,,0.2163,0.22,6.146B,6.248B,
2005-10,6.55B,6.55B,2.14B,4.41B,1.453B,278.00M,1.731B,998.00M,59.00M,7.00M,-7.00M,0.00,154.00M,154.00M,2.788B,1.622B,154.00M,0.00,154.00M,-17.00M,154.00M,1.759B,498.00M,1.261B,,1.261B,1.269B,2.017B,258.00M,1.759B,0.2,,,0.2013,0.2,0.2,,,0.2012,0.2,6.245B,6.34B,
2005-07,6.581B,6.581B,2.113B,4.468B,1.269B,257.00M,1.526B,889.00M,56.00M,10.00M,-10.00M,,153.00M,153.00M,2.471B,1.997B,153.00M,,153.00M,3.00M,153.00M,2.153B,613.00M,1.54B,,1.54B,1.531B,1.796B,263.00M,1.533B,0.24,,,0.2387,0.24,0.24,,,0.2387,0.24,6.361B,6.48B,
2005-04,6.187B,6.187B,2.052B,4.135B,1.19B,244.00M,1.434B,829.00M,54.00M,6.00M,-6.00M,0.00,142.00M,142.00M,2.317B,1.818B,142.00M,0.00,142.00M,8.00M,142.00M,1.968B,563.00M,1.405B,,1.405B,1.399B,2.214B,246.00M,1.968B,0.22,,,0.219,0.22,0.21,,,0.209,0.21,6.435B,6.541B,
2005-01,6.062B,6.062B,2.009B,4.053B,1.142B,228.00M,1.37B,813.00M,57.00M,10.00M,-10.00M,,127.00M,127.00M,2.24B,1.813B,127.00M,,127.00M,17.00M,127.00M,1.957B,557.00M,1.40B,,1.40B,1.379B,2.073B,260.00M,1.813B,0.21,,,0.2067,0.21,0.21,,,0.2068,0.21,6.521B,6.652B,
2004-10,5.971B,5.971B,1.956B,4.015B,1.12B,230.00M,1.35B,817.00M,60.00M,18.00M,-18.00M,,130.00M,130.00M,2.227B,1.788B,130.00M,,130.00M,40.00M,130.00M,1.958B,562.00M,1.396B,,1.396B,1.365B,2.039B,251.00M,1.788B,0.21,,,0.2053,0.21,0.21,,,0.2054,0.21,6.635B,6.773B,
2004-07,5.926B,5.926B,1.871B,4.055B,1.18B,214.00M,1.394B,800.00M,60.00M,0.00,0.00,,124.00M,124.00M,2.254B,1.801B,124.00M,,124.00M,11.00M,124.00M,1.936B,556.00M,1.38B,0.00,1.38B,1.376B,2.055B,254.00M,1.801B,0.2042,,0.0,0.2036,0.2,0.1983,,-0.0004,0.1977,0.19,6.744B,6.943B,
2004-04,5.62B,5.62B,1.753B,3.867B,1.153B,231.00M,1.384B,869.00M,60.00M,27.00M,-27.00M,,127.00M,127.00M,2.313B,1.554B,127.00M,,127.00M,40.00M,127.00M,1.721B,510.00M,1.211B,0.00,1.211B,1.191B,1.713B,159.00M,1.554B,0.1777,,0.0,0.1748,0.18,0.1712,,0.0,0.1684,0.17,6.816B,7.074B,
