,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2015-12,402.00M,,,0.00,-139.00M,,36.00M,36.00M,,,29.00M,29.00M,,,,,,,,-234.00M,232.00M,,2015-12,-67.00M,,,263.00M,,5.00M,260.00M,2015-12,-4.00M,-303.00M,-307.00M,,-468.00M,-468.00M,,,-72.00M,,-72.00M,1.00M,-841.00M,,2015-12,190.00M,,323.00M,,2015-12,,0.00,-468.00M,-230.00M,-303.00M,,2015-12,AOR,Restated
2015-09,426.00M,,,15.00M,15.00M,,65.00M,65.00M,,,39.00M,39.00M,,,,,,,,-776.00M,-9.00M,,2015-09,-58.00M,,,7.00M,,-12.00M,-64.00M,2015-09,776.00M,-91.00M,685.00M,,-513.00M,-513.00M,,,-73.00M,,-73.00M,4.00M,117.00M,,2015-09,-187.00M,,133.00M,,2015-09,,781.00M,-513.00M,105.00M,140.00M,,2015-09,AOR,Restated
2015-06,332.00M,,,9.00M,9.00M,,66.00M,66.00M,,,43.00M,43.00M,,,,,,,,14.00M,-18.00M,,2015-06,-29.00M,,,-16.00M,,1.00M,-44.00M,2015-06,-4.00M,394.00M,390.00M,,-783.00M,-783.00M,,,-75.00M,,-75.00M,12.00M,-413.00M,,2015-06,-11.00M,,320.00M,,2015-06,,0.00,-783.00M,121.00M,46.00M,,2015-06,AOR,Restated
2015-03,394.00M,,,13.00M,13.00M,,68.00M,68.00M,,,46.00M,46.00M,,,,,,,,-104.00M,,,2015-03,-17.00M,,,19.00M,,3.00M,2.00M,2015-03,1.174B,-616.00M,558.00M,,-1.049B,-1.049B,,,-80.00M,,-80.00M,-25.00M,-516.00M,,2015-03,-97.00M,,331.00M,,2015-03,,1.178B,-1.049B,4.00M,117.00M,,2015-03,AOR,Restated
2014-12,199.00M,,,1.00M,-10.00M,,40.00M,40.00M,,-52.00M,20.00M,-32.00M,,,,,,,,-109.00M,307.00M,,2014-12,-66.00M,,,-8.00M,12.00M,-7.00M,-133.00M,2014-12,1.564B,185.00M,1.749B,,-765.00M,-152.00M,,,-78.00M,,-78.00M,-2.00M,-604.00M,,2014-12,250.00M,,428.00M,,2014-12,,1.568B,-765.00M,-227.00M,-661.00M,,2014-12,AOR,Restated
2014-09,72.00M,,,28.00M,28.00M,,68.00M,68.00M,,52.00M,33.00M,85.00M,,,,,,,,-610.00M,21.00M,,2014-09,-43.00M,,,-29.00M,-3.00M,4.00M,-319.00M,2014-09,671.00M,50.00M,721.00M,,-362.00M,-362.00M,,,-69.00M,,-69.00M,22.00M,349.00M,,2014-09,-306.00M,,178.00M,,2014-09,,1.729B,-362.00M,15.00M,480.00M,,2014-09,AOR,Restated
2014-06,418.00M,,,16.00M,16.00M,,71.00M,71.00M,,,44.00M,44.00M,,,,,,,,-504.00M,78.00M,,2014-06,-41.00M,,,-26.00M,3.00M,-6.00M,-84.00M,2014-06,-103.00M,-59.00M,-162.00M,,-436.00M,-436.00M,,,-70.00M,,-70.00M,81.00M,134.00M,,2014-06,173.00M,,484.00M,,2014-06,,0.00,-436.00M,195.00M,78.00M,,2014-06,AOR,Restated
2014-03,462.00M,,,12.00M,12.00M,,71.00M,71.00M,,,40.00M,40.00M,,,,,,,,-37.00M,-47.00M,,2014-03,-28.00M,,,-33.00M,,5.00M,-65.00M,2014-03,-4.00M,-35.00M,-39.00M,,-2.032B,-2.032B,,,-75.00M,,-75.00M,-22.00M,-522.00M,,2014-03,-86.00M,,311.00M,,2014-03,,0.00,-2.032B,17.00M,103.00M,,2014-03,AOR,Restated
2013-12,422.00M,,,13.00M,10.00M,,73.00M,73.00M,,,59.00M,59.00M,,,,,,,,-617.00M,173.00M,,2013-12,-100.00M,,,-53.00M,-13.00M,,-156.00M,2013-12,-4.00M,134.00M,130.00M,,-321.00M,-321.00M,,,-72.00M,,-72.00M,17.00M,-226.00M,,2013-12,171.00M,,397.00M,,2013-12,,,-321.00M,-196.00M,-283.00M,,2013-12,AOR,Restated
2013-09,431.00M,,,21.00M,21.00M,,70.00M,70.00M,,0.00,57.00M,57.00M,,,,,,,,-189.00M,-121.00M,,2013-09,-44.00M,,,179.00M,2.00M,,114.00M,2013-09,-4.00M,-111.00M,-115.00M,,-285.00M,-285.00M,,,-73.00M,,-73.00M,6.00M,-439.00M,,2013-09,-56.00M,,226.00M,,2013-09,,0.00,-285.00M,-9.00M,103.00M,,2013-09,AOR,Restated
2013-06,422.00M,,,12.00M,12.00M,,31.00M,31.00M,,,46.00M,46.00M,,,,,,,,-112.00M,65.00M,,2013-06,-34.00M,,,-130.00M,6.00M,,-176.00M,2013-06,-5.00M,-98.00M,-103.00M,,-290.00M,-290.00M,,,-74.00M,,-74.00M,12.00M,-415.00M,,2013-06,-127.00M,,282.00M,,2013-06,,,-290.00M,178.00M,76.00M,,2013-06,AOR,Restated
2013-03,463.00M,,,11.00M,11.00M,,116.00M,116.00M,,,60.00M,60.00M,,,,,,,,-40.00M,-23.00M,,2013-03,-34.00M,,,-28.00M,12.00M,,-54.00M,2013-03,-4.00M,550.00M,546.00M,,-1.289B,-1.289B,,,-81.00M,,-81.00M,-66.00M,-832.00M,,2013-03,-299.00M,,409.00M,,2013-03,,0.00,-1.289B,27.00M,104.00M,,2013-03,AOR,Restated
2012-12,277.00M,,,15.00M,13.00M,,-48.00M,-48.00M,,0.00,29.00M,-117.00M,,,,,,,,-736.00M,335.00M,,2012-12,-61.00M,,,-110.00M,2.00M,,-232.00M,2012-12,-5.00M,0.00,-5.00M,,-298.00M,-298.00M,,,-77.00M,,-77.00M,10.00M,-342.00M,,2012-12,-239.00M,,708.00M,,2012-12,,-1.00M,-298.00M,-353.00M,-365.00M,,2012-12,AOR,Restated
2012-09,385.00M,,,14.00M,11.00M,,116.00M,116.00M,,0.00,38.00M,38.00M,,,,,,,,-313.00M,-15.00M,,2012-09,-55.00M,,,29.00M,5.00M,,-25.00M,2012-09,-888.00M,0.00,-888.00M,,-275.00M,-275.00M,,,-64.00M,,-64.00M,20.00M,-1.138B,,2012-09,-941.00M,,947.00M,,2012-09,,0.00,-275.00M,80.00M,169.00M,,2012-09,AOR,Restated
2012-06,452.00M,,,13.00M,13.00M,,119.00M,119.00M,,0.00,39.00M,39.00M,,,,,,,,-10.00M,-1.00M,,2012-06,-49.00M,,,-4.00M,2.00M,2.00M,-54.00M,2012-06,872.00M,0.00,872.00M,,-304.00M,-304.00M,,,-66.00M,,-66.00M,-1.00M,536.00M,,2012-06,1.094B,,1.888B,,2012-06,,877.00M,-304.00M,252.00M,93.00M,,2012-06,AOR,Restated
2012-03,394.00M,,,6.00M,-19.00M,,119.00M,119.00M,,11.00M,41.00M,52.00M,,,,,,,,109.00M,-9.00M,,2012-03,-35.00M,,,-103.00M,4.00M,-2.00M,-140.00M,2012-03,-15.00M,0.00,-15.00M,,-260.00M,-260.00M,,,-69.00M,,-69.00M,-64.00M,-372.00M,,2012-03,134.00M,,794.00M,,2012-03,,690.00M,-260.00M,21.00M,103.00M,,2012-03,AOR,Restated
2011-12,,,,10.00M,22.00M,,83.00M,83.00M,,0.00,29.00M,-922.00M,,,,,,,,-903.00M,,,2011-12,-93.00M,,,-76.00M,49.00M,,-140.00M,2011-12,-7.00M,,-7.00M,,-162.00M,-162.00M,,,,,-66.00M,5.00M,-216.00M,,2011-12,-287.00M,,660.00M,,2011-12,,-4.00M,-162.00M,-171.00M,-313.00M,,2011-12,AOR,Restated
2011-09,,,,19.00M,19.00M,,134.00M,134.00M,,0.00,35.00M,338.00M,,,,,,,,-440.00M,,,2011-09,-57.00M,,,-18.00M,5.00M,-8.00M,-78.00M,2011-09,-5.00M,,-5.00M,,-350.00M,-350.00M,,,,,-67.00M,2.00M,-407.00M,,2011-09,-399.00M,,947.00M,,2011-09,,0.00,-350.00M,13.00M,103.00M,,2011-09,AOR,Restated
2011-06,,,,5.00M,5.00M,,139.00M,139.00M,,0.00,41.00M,395.00M,,,,,,,,120.00M,,,2011-06,-54.00M,,,-2.00M,-16.00M,4.00M,-68.00M,2011-06,-1.00M,,-1.00M,,-250.00M,-250.00M,,,,,-36.00M,-6.00M,-258.00M,,2011-06,374.00M,,1.346B,,2011-06,,4.00M,-250.00M,139.00M,106.00M,,2011-06,AOR,Restated
2011-03,,,,16.00M,16.00M,,139.00M,139.00M,,0.00,34.00M,202.00M,,,,,,,,503.00M,,,2011-03,-41.00M,,,-40.00M,-26.00M,4.00M,-103.00M,2011-03,-6.00M,,-6.00M,,-250.00M,-250.00M,,,,,-37.00M,-16.00M,-299.00M,,2011-03,492.00M,,972.00M,,2011-03,,0.00,-250.00M,19.00M,104.00M,,2011-03,AOR,Restated
2010-12,822.00M,,,4.00M,7.00M,,76.00M,76.00M,,,29.00M,-425.00M,,,,,,,,-607.00M,,,2010-12,-91.00M,,,-81.00M,45.00M,,-168.00M,2010-12,-557.00M,,-557.00M,,0.00,0.00,,,,,-34.00M,3.00M,-585.00M,,2010-12,-592.00M,,480.00M,,2010-12,,594.00M,0.00,-47.00M,-375.00M,,2010-12,AOR,Restated
2010-09,,,,13.00M,13.00M,,139.00M,139.00M,,,37.00M,317.00M,,,,,,,,-183.00M,,,2010-09,-63.00M,,,15.00M,-4.00M,,-52.00M,2010-09,-4.00M,,-4.00M,,36.00M,36.00M,,,,,-34.00M,-36.00M,-37.00M,,2010-09,234.00M,,1.072B,,2010-09,,3.00M,36.00M,15.00M,111.00M,,2010-09,AOR,
2010-06,26.00M,,,7.00M,45.00M,,144.00M,144.00M,,,37.00M,91.00M,,,,,,,,174.00M,,,2010-06,-59.00M,,,-5.00M,-10.00M,,-74.00M,2010-06,-466.00M,,-466.00M,,-11.00M,-11.00M,,,,,-37.00M,2.00M,-511.00M,,2010-06,-35.00M,,838.00M,,2010-06,,497.00M,-11.00M,14.00M,132.00M,,2010-06,AOR,Restated
2010-03,-26.00M,,,11.00M,11.00M,,141.00M,141.00M,,,33.00M,33.00M,,,,,,,,542.00M,,,2010-03,-41.00M,,,-2.00M,-31.00M,,-74.00M,2010-03,-21.00M,,-21.00M,,-25.00M,-25.00M,,,,,-37.00M,-390.00M,-471.00M,,2010-03,156.00M,,873.00M,,2010-03,,,-25.00M,18.00M,132.00M,,2010-03,AOR,Restated
2009-12,58.80M,,,7.90M,-13.50M,,147.40M,147.40M,,178.30M,27.40M,7.70M,,,,,,,,-258.80M,,,2009-12,-76.10M,,,114.50M,-29.70M,-72.40M,-63.70M,2009-12,-4.00M,0.80M,-3.20M,,0.00,0.00,,,,,-33.80M,-27.90M,-64.90M,,2009-12,242.90M,,716.70M,,2009-12,,0.00,0.00,-41.40M,-395.00M,,2009-12,AOR,Restated
2009-09,207.60M,,,12.30M,12.30M,,147.40M,147.40M,,31.70M,41.40M,150.00M,,,,,,,,-417.80M,,,2009-09,-46.20M,,,-2.50M,-0.80M,49.80M,0.30M,2009-09,-1.60M,-2.30M,-3.90M,,-2.20M,-2.20M,,,,,-34.90M,0.40M,-40.60M,,2009-09,132.30M,,473.80M,,2009-09,,0.00,-2.20M,-31.00M,129.80M,,2009-09,AOR,Restated
2009-06,15.40M,,,3.10M,32.90M,,145.20M,145.20M,,,33.90M,0.00,,,,,,,,189.40M,,,2009-06,-65.10M,,,-2.60M,-11.20M,0.80M,-78.10M,2009-06,-180.40M,,-180.40M,,-12.50M,-12.50M,,,,,-44.20M,0.30M,-236.80M,,2009-06,101.90M,,341.50M,,2009-06,,681.30M,-12.50M,25.00M,96.20M,,2009-06,AOR,Restated
2009-03,-55.30M,,,12.70M,12.70M,,142.30M,142.30M,,,32.90M,-300.00M,,,,,,,,145.90M,,,2009-03,-74.20M,,,-6.70M,-48.10M,21.30M,-107.70M,2009-03,137.30M,,137.30M,,-4.00M,-4.00M,,,,,-184.40M,0.40M,-50.70M,,2009-03,-179.90M,,239.60M,,2009-03,,293.10M,-4.00M,47.40M,169.00M,,2009-03,AOR,Restated
2008-12,136.10M,,,,-4.00M,,150.70M,150.70M,,,,-12.77B,,,,,,,-215.30M,-185.00M,,,2008-12,-124.50M,-366.70M,-17.10M,-93.20M,181.40M,204.00M,-199.00M,2008-12,,,-187.00M,-31.20M,-0.80M,-32.00M,,,,,-181.10M,1.50M,-367.40M,,2008-12,-133.60M,,419.50M,,2008-12,-31.20M,,-0.80M,,,,2008-12,AOR,Restated
2008-09,-12.46B,,,,-128.90M,,139.70M,139.70M,,,,12.77B,,,,,,,-223.70M,-223.70M,,,2008-09,-129.40M,6.30M,-123.10M,-63.60M,20.10M,0.20M,-166.40M,2008-09,,,-5.30M,0.00,-0.90M,-0.90M,,,,,-181.10M,1.60M,-185.70M,,2008-09,-260.80M,,553.10M,,2008-09,0.00,,-0.90M,,,,2008-09,,
2008-06,408.40M,,,,7.30M,,123.40M,123.40M,,,,39.10M,,,,,,,17.40M,17.40M,,,2008-06,-131.40M,170.90M,39.50M,-1.838B,-20.00M,-13.00M,-1.831B,2008-06,,,-4.70M,0.80M,-32.80M,-32.00M,,,,,-174.40M,1.80M,-209.30M,,2008-06,-1.445B,,813.90M,,2008-06,0.80M,,-32.80M,,,,2008-06,,
2008-03,244.30M,,,,7.30M,,117.80M,117.80M,,,,33.10M,,,,,,,624.30M,624.30M,,,2008-03,-88.80M,189.50M,100.70M,-48.40M,-9.00M,-0.70M,42.60M,2008-03,,,-8.70M,30.40M,-11.90M,18.50M,,,,,-168.80M,1.60M,-157.40M,,2008-03,912.00M,,2.259B,,2008-03,30.40M,,-11.90M,,,,2008-03,,
2007-12,270.00M,,,,50.80M,,119.20M,119.20M,,,,-56.00M,,,,,,,-514.80M,-441.70M,3.10M,,2007-12,-166.90M,-346.30M,-44.10M,91.60M,27.60M,391.10M,-2.90M,2007-12,,,-4.40M,-195.20M,0.00,-195.20M,,,,,-167.90M,0.30M,-165.50M,,2007-12,120.90M,,1.347B,,2007-12,-195.20M,,0.00,,,,2007-12,,Restated
2007-09,343.30M,,,,18.30M,,111.80M,111.80M,,,,24.30M,,,,,,,-133.50M,-133.50M,1.70M,,2007-09,-95.60M,346.30M,250.70M,-325.10M,22.90M,-37.70M,-89.20M,2007-09,,,-4.40M,63.50M,-1.749B,-1.686B,,,,,-158.50M,1.10M,-1.848B,,2007-09,-1.571B,,1.226B,,2007-09,63.50M,,-1.749B,,,,2007-09,,
2007-06,404.00M,,,,1.00M,,109.50M,109.50M,,,,37.90M,,,,,,,129.60M,129.60M,,,2007-06,-111.50M,-243.70M,-355.20M,24.10M,-12.70M,22.90M,-320.90M,2007-06,,,-664.40M,56.10M,-180.00M,-123.90M,,,,,-160.00M,5.40M,-942.90M,,2007-06,-581.80M,,2.797B,,2007-06,56.10M,,-180.00M,,,,2007-06,,
2007-03,213.50M,,,,5.40M,,115.20M,115.20M,,,,18.60M,,,,,,,495.30M,495.30M,,,2007-03,-95.10M,243.70M,148.60M,-28.10M,-31.10M,188.50M,277.90M,2007-03,,,676.10M,75.60M,-1.422B,-1.346B,,,,,-153.90M,2.40M,-821.90M,,2007-03,304.00M,,3.379B,,2007-03,75.60M,,-1.422B,,,,2007-03,,
2006-12,335.00M,,,,64.80M,,118.80M,118.80M,,,,77.80M,,,,,,,-237.50M,-412.70M,-40.10M,,2006-12,-198.40M,,-55.90M,-52.10M,-58.90M,45.50M,-121.40M,2006-12,,,-4.10M,33.10M,-0.10M,33.00M,,,,,-153.30M,0.20M,-124.20M,,2006-12,-102.00M,,3.075B,,2006-12,33.10M,,-0.10M,,,,2006-12,,
2006-09,601.20M,,,,6.50M,,109.50M,109.50M,,,,20.90M,,,,,,,53.80M,53.80M,-384.60M,,2006-09,-82.50M,,-82.50M,-60.00M,-48.60M,19.20M,-171.90M,2006-09,,,-5.40M,20.50M,-0.40M,20.10M,,,,,-135.90M,0.60M,-120.60M,,2006-09,114.80M,,3.177B,,2006-09,20.50M,,-0.40M,,,,2006-09,,
2006-06,497.40M,,,,-1.60M,,93.50M,93.50M,,,,30.80M,,,,,,,36.60M,36.60M,33.00M,,2006-06,-50.70M,,-50.70M,1.315B,,42.50M,1.272B,2006-06,,,-83.10M,19.80M,0.00,19.80M,,,,,-124.10M,0.70M,-186.70M,,2006-06,1.775B,,3.062B,,2006-06,19.80M,,0.00,,,,2006-06,,
2006-03,226.90M,,,,8.30M,,123.10M,123.10M,,,,,,,,,,,289.50M,289.50M,,,2006-03,-62.50M,,-62.50M,-58.40M,,-42.80M,-163.70M,2006-03,,,-758.90M,17.70M,-5.70M,12.00M,,,,,-105.80M,0.10M,-852.60M,,2006-03,-368.50M,,1.287B,,2006-03,17.70M,,-5.70M,,,,2006-03,,
