,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2015-03,681.00M,89.00M,89.00M,,,,7.00M,36.00M,-77.00M,427.00M,-32.00M,132.00M,,,,339.00M,1.075B,,,0.00,-867.00M,-153.00M,-1.02B,800.00M,,800.00M,,-347.00M,-347.00M,,,,-214.00M,,-214.00M,39.00M,55.00M,333.00M,655.00M,388.00M,-95.00M,948.00M,,800.00M,,-347.00M,96.00M,48.00M
2014-12,555.00M,210.00M,210.00M,,,,104.00M,29.00M,386.00M,-402.00M,-48.00M,347.00M,,,,-10.00M,1.274B,,,-594.00M,-95.00M,-127.00M,-816.00M,-1.827B,1.827B,0.00,,-422.00M,-422.00M,,,,-216.00M,,-216.00M,33.00M,67.00M,-537.00M,806.00M,-79.00M,-72.00M,655.00M,,-1.827B,1.827B,-422.00M,99.00M,78.00M
2014-09,785.00M,120.00M,120.00M,,,,-76.00M,44.00M,-159.00M,-232.00M,130.00M,22.00M,,,,412.00M,1.126B,,,0.00,-200.00M,-29.00M,-229.00M,849.00M,-850.00M,-1.00M,,-450.00M,-450.00M,,,,-218.00M,,-218.00M,19.00M,35.00M,-615.00M,594.00M,282.00M,-70.00M,806.00M,,850.00M,-851.00M,-450.00M,102.00M,52.00M
2014-06,779.00M,73.00M,73.00M,,,,117.00M,62.00M,-57.00M,-452.00M,-119.00M,60.00M,,,,-128.00M,846.00M,,,-172.00M,-716.00M,-68.00M,-956.00M,750.00M,-551.00M,199.00M,,-222.00M,-222.00M,,,,-214.00M,,-214.00M,35.00M,49.00M,-153.00M,847.00M,-263.00M,10.00M,594.00M,,1.25B,-1.051B,-222.00M,88.00M,83.00M
2014-03,734.00M,104.00M,104.00M,,,,0.00,53.00M,-21.00M,740.00M,-52.00M,63.00M,,,,380.00M,1.25B,,,,-453.00M,-50.00M,-503.00M,426.00M,-426.00M,0.00,,-335.00M,-335.00M,,,,-214.00M,,-214.00M,40.00M,37.00M,-472.00M,579.00M,275.00M,-7.00M,847.00M,,426.00M,-426.00M,-335.00M,60.00M,51.00M
2013-12,998.00M,-154.00M,-154.00M,,,,71.00M,61.00M,475.00M,287.00M,38.00M,179.00M,,,,-165.00M,1.286B,,,0.00,-1.098B,-205.00M,-1.303B,-1.721B,1.72B,-1.00M,,-54.00M,-54.00M,,,,-174.00M,,-174.00M,23.00M,45.00M,-161.00M,768.00M,-178.00M,-11.00M,579.00M,,-1.721B,1.72B,-54.00M,68.00M,84.00M
2013-09,916.00M,-40.00M,-40.00M,,,,71.00M,73.00M,115.00M,-30.00M,110.00M,-443.00M,,,,-207.00M,928.00M,,,0.00,-701.00M,-62.00M,-763.00M,151.00M,-150.00M,1.00M,,-21.00M,-21.00M,,,,-174.00M,,-174.00M,50.00M,38.00M,-106.00M,679.00M,59.00M,30.00M,768.00M,,151.00M,-150.00M,-21.00M,62.00M,52.00M
2013-06,891.00M,-104.00M,-104.00M,,,,63.00M,68.00M,-284.00M,-471.00M,-121.00M,300.00M,,,,261.00M,895.00M,,,-944.00M,105.00M,-71.00M,-910.00M,911.00M,-912.00M,-1.00M,,-58.00M,-58.00M,,,,-167.00M,,-167.00M,41.00M,30.00M,-155.00M,855.00M,-170.00M,-6.00M,679.00M,,911.00M,-912.00M,-58.00M,45.00M,86.00M
2013-03,953.00M,-206.00M,-206.00M,,,,35.00M,66.00M,-94.00M,400.00M,-58.00M,132.00M,,,,159.00M,913.00M,,,-33.00M,-1.378B,-55.00M,-1.466B,1.606B,-658.00M,948.00M,,-154.00M,-154.00M,,,,-2.00M,,-2.00M,21.00M,,813.00M,615.00M,260.00M,-20.00M,855.00M,,1.606B,-658.00M,-154.00M,43.00M,31.00M
2012-12,765.00M,-272.00M,-272.00M,,,,-53.00M,59.00M,471.00M,934.00M,-8.00M,-482.00M,,,,0.00,970.00M,,,0.00,-541.00M,-216.00M,-757.00M,850.00M,-851.00M,-1.00M,,0.00,0.00,,,,-331.00M,,-331.00M,53.00M,,-279.00M,690.00M,-66.00M,-9.00M,615.00M,,850.00M,-851.00M,0.00,115.00M,84.00M
2012-09,640.00M,60.00M,60.00M,,,,45.00M,58.00M,-178.00M,-298.00M,168.00M,191.00M,,,,1.017B,1.642B,,,-68.00M,-1.28B,-84.00M,-1.432B,551.00M,-551.00M,0.00,,0.00,0.00,,,,-166.00M,,-166.00M,18.00M,,-148.00M,617.00M,62.00M,11.00M,690.00M,,551.00M,-551.00M,0.00,64.00M,37.00M
2012-06,328.00M,394.00M,394.00M,,,,2.00M,58.00M,97.00M,-252.00M,-200.00M,81.00M,,,,-68.00M,811.00M,,,-5.00M,-478.00M,-152.00M,-635.00M,851.00M,-981.00M,-130.00M,,0.00,0.00,,,,-159.00M,,-159.00M,27.00M,,-262.00M,715.00M,-86.00M,-12.00M,617.00M,,851.00M,-981.00M,0.00,187.00M,82.00M
2012-03,973.00M,-260.00M,-260.00M,,,,-1.00M,45.00M,-55.00M,375.00M,-83.00M,-150.00M,,,,-130.00M,572.00M,,,-25.00M,-487.00M,-103.00M,-615.00M,681.00M,-400.00M,281.00M,,-11.00M,-11.00M,,,,-159.00M,,-159.00M,28.00M,,139.00M,614.00M,96.00M,5.00M,715.00M,,681.00M,-400.00M,-11.00M,72.00M,37.00M
2011-12,735.00M,-83.00M,-83.00M,,,,12.00M,47.00M,-132.00M,,18.00M,-446.00M,,-51.00M,,-107.00M,472.00M,,,-212.00M,-62.00M,-232.00M,-506.00M,,-5.238B,0.00,,-27.00M,-27.00M,,,,-117.00M,,-117.00M,,-82.00M,-87.00M,766.00M,-121.00M,-31.00M,614.00M,,1.253B,-1.253B,-27.00M,154.00M,83.00M
2011-09,-39.00M,760.00M,760.00M,,,,-42.00M,42.00M,239.00M,,104.00M,379.00M,,14.00M,,-25.00M,935.00M,,,-14.00M,-545.00M,-72.00M,-631.00M,,-150.00M,-150.00M,,-100.00M,-100.00M,,,,-119.00M,,-119.00M,,6.00M,-363.00M,833.00M,-59.00M,-8.00M,766.00M,,674.00M,-824.00M,-100.00M,41.00M,39.00M
2011-06,594.00M,73.00M,73.00M,,,,27.00M,34.00M,225.00M,,-163.00M,453.00M,,82.00M,-160.00M,78.00M,1.06B,,,-335.00M,-870.00M,-63.00M,-1.268B,,0.00,0.00,,0.00,0.00,,,,-111.00M,,-111.00M,,33.00M,-78.00M,1.115B,-286.00M,4.00M,833.00M,,1.911B,-1.911B,0.00,219.00M,81.00M
2011-03,250.00M,45.00M,45.00M,,,,18.00M,29.00M,29.00M,,7.00M,-92.00M,,-45.00M,160.00M,661.00M,1.003B,,,-45.00M,-471.00M,-115.00M,-631.00M,,100.00M,100.00M,,-68.00M,-68.00M,,,,-112.00M,,-112.00M,,43.00M,-37.00M,772.00M,335.00M,8.00M,1.115B,,1.40B,-1.30B,-68.00M,46.00M,31.00M
2010-12,1.001B,-305.00M,-305.00M,,,,132.00M,42.00M,69.00M,,154.00M,-4.00M,,-46.00M,-317.00M,-271.00M,771.00M,,,-1.139B,-185.00M,-189.00M,-1.513B,,1.141B,1.34B,,-235.00M,-235.00M,,,,-112.00M,,-112.00M,,21.00M,1.014B,487.00M,272.00M,13.00M,772.00M,,1.824B,-484.00M,-235.00M,138.00M,74.00M
2010-09,675.00M,50.00M,50.00M,,,,32.00M,42.00M,-374.00M,,244.00M,-105.00M,,54.00M,317.00M,762.00M,1.084B,,,,-917.00M,-284.00M,-1.201B,,0.00,0.00,,0.00,0.00,,,,-113.00M,,-113.00M,,22.00M,-91.00M,668.00M,-208.00M,27.00M,487.00M,,0.00,0.00,0.00,40.00M,29.00M
2010-06,677.00M,-9.00M,-9.00M,,,,14.00M,31.00M,447.00M,,-272.00M,188.00M,,-13.00M,-146.00M,-322.00M,868.00M,,,0.00,-948.00M,147.00M,-801.00M,,0.00,0.00,-5.00M,0.00,-5.00M,,,,-105.00M,,-105.00M,-7.00M,19.00M,-98.00M,726.00M,-31.00M,-27.00M,668.00M,-5.00M,175.00M,-175.00M,0.00,181.00M,72.00M
2010-03,755.00M,-168.00M,-168.00M,,,,-62.00M,30.00M,30.00M,,-139.00M,-111.00M,,53.00M,146.00M,268.00M,823.00M,,,0.00,-550.00M,-116.00M,-666.00M,,0.00,0.00,5.00M,0.00,5.00M,,,,-105.00M,,-105.00M,7.00M,,-93.00M,669.00M,64.00M,-7.00M,726.00M,5.00M,0.00,0.00,0.00,75.00M,29.00M
2009-12,953.00M,-373.00M,-373.00M,,,,103.00M,27.00M,-241.00M,38.00M,201.00M,255.00M,,-38.00M,399.00M,508.00M,1.003B,,,,-890.00M,103.00M,-787.00M,0.00,-200.00M,-200.00M,0.00,,0.00,,,,-105.00M,,-105.00M,6.00M,,-291.00M,742.00M,-75.00M,2.00M,669.00M,0.00,0.00,-200.00M,,,
2009-09,494.00M,223.00M,223.00M,,,,-54.00M,12.00M,12.00M,446.00M,184.00M,91.00M,,8.00M,-236.00M,335.00M,1.01B,,,,-817.00M,-5.00M,-822.00M,0.00,-16.00M,-16.00M,-1.00M,,-1.00M,,,,-104.00M,,-104.00M,6.00M,,-115.00M,654.00M,73.00M,15.00M,742.00M,-1.00M,0.00,-16.00M,,,
2009-06,535.00M,225.00M,225.00M,,,,-48.00M,12.00M,12.00M,-79.00M,-252.00M,-208.00M,,75.00M,-202.00M,36.00M,760.00M,,,,-1.056B,-63.00M,-1.119B,500.00M,-250.00M,250.00M,6.00M,,6.00M,,,,-88.00M,,-88.00M,2.00M,,170.00M,844.00M,-189.00M,-1.00M,654.00M,6.00M,500.00M,-250.00M,,,
2009-03,567.00M,121.00M,121.00M,,,,-20.00M,2.00M,2.00M,-405.00M,-109.00M,103.00M,,22.00M,39.00M,-108.00M,562.00M,,,,-468.00M,-28.00M,-496.00M,,,,5.00M,,5.00M,,,,-91.00M,,-91.00M,1.00M,,-85.00M,867.00M,-19.00M,-4.00M,844.00M,5.00M,,,,,
2008-12,20.00M,644.00M,644.00M,,,,-111.00M,-20.00M,-209.00M,-47.00M,147.00M,743.00M,,89.00M,273.00M,618.00M,961.00M,,,1.00M,-485.00M,-100.00M,-584.00M,50.00M,-54.00M,-4.00M,0.00,,0.00,,0.00,0.00,-86.00M,0.00,-86.00M,9.00M,,-69.00M,479.00M,308.00M,80.00M,867.00M,0.00,316.00M,-320.00M,0.00,,
2008-09,54.00M,510.00M,510.00M,,,,-42.00M,14.00M,14.00M,519.00M,135.00M,-172.00M,,71.00M,-242.00M,522.00M,1.058B,,,35.00M,-317.00M,-54.00M,-336.00M,0.00,-705.00M,-705.00M,0.00,,0.00,,0.00,0.00,-98.00M,0.00,-98.00M,8.00M,,-795.00M,582.00M,-73.00M,-30.00M,479.00M,0.00,-670.00M,-35.00M,0.00,,
2008-06,746.00M,126.00M,126.00M,,,,0.00,3.00M,-260.00M,-307.00M,-194.00M,68.00M,,-34.00M,369.00M,457.00M,1.067B,,,-2.557B,1.852B,-242.00M,-947.00M,895.00M,-295.00M,600.00M,5.00M,,5.00M,,-575.00M,-575.00M,-89.00M,-13.00M,-102.00M,26.00M,,-46.00M,511.00M,74.00M,-3.00M,582.00M,5.00M,600.00M,,-575.00M,,
2008-03,377.00M,353.00M,353.00M,,,,12.00M,2.00M,265.00M,-165.00M,-103.00M,19.00M,,86.00M,-400.00M,6.00M,1.015B,,,,-2.077B,-180.00M,-2.257B,300.00M,965.00M,1.265B,5.00M,,5.00M,,,,-89.00M,-11.00M,-100.00M,54.00M,,1.224B,510.00M,-18.00M,19.00M,511.00M,5.00M,1.265B,,,,
2007-12,572.00M,66.00M,66.00M,,,,42.00M,-1.00M,-7.00M,-148.00M,93.00M,279.00M,,18.00M,104.00M,145.00M,823.00M,,,0.00,-623.00M,-175.00M,-798.00M,0.00,35.00M,35.00M,0.00,,0.00,,,0.00,-88.00M,-12.00M,-100.00M,11.00M,24.00M,-30.00M,506.00M,-5.00M,9.00M,510.00M,0.00,,,,,
2007-09,656.00M,-5.00M,-5.00M,,,,-33.00M,1.00M,-306.00M,626.00M,-58.00M,136.00M,,9.00M,83.00M,1.171B,1.484B,,,0.00,-1.388B,-142.00M,-1.53B,0.00,0.00,0.00,9.00M,,9.00M,,,0.00,-90.00M,-11.00M,-101.00M,12.00M,-4.00M,-84.00M,621.00M,-130.00M,15.00M,506.00M,9.00M,,,,,
2007-06,649.00M,,,,,,53.00M,-6.00M,-175.00M,-544.00M,78.00M,106.00M,,,,637.00M,1.158B,,,0.00,-577.00M,-35.00M,-612.00M,0.00,-500.00M,-500.00M,-16.00M,,-16.00M,,,,-82.00M,-11.00M,-93.00M,42.00M,4.00M,-563.00M,639.00M,-17.00M,-1.00M,621.00M,-16.00M,,,,,
2007-03,701.00M,,,,,,-37.00M,,482.00M,221.00M,-78.00M,-53.00M,,,,90.00M,1.236B,,,,-1.523B,-67.00M,-1.59B,500.00M,,500.00M,16.00M,,16.00M,,,,-81.00M,-11.00M,-92.00M,,,424.00M,565.00M,70.00M,4.00M,639.00M,16.00M,,,,,
2006-12,665.00M,,,,-20.00M,-20.00M,-32.00M,,1.135B,498.00M,133.00M,-3.00M,-504.00M,-1.194B,,-944.00M,804.00M,,,372.00M,-1.222B,154.00M,-696.00M,0.00,0.00,0.00,17.00M,,17.00M,,,,-82.00M,-12.00M,-94.00M,,,-77.00M,544.00M,31.00M,-10.00M,565.00M,17.00M,-298.00M,300.00M,,,
2006-09,578.00M,,,,20.00M,20.00M,-31.00M,,-1.006B,-30.00M,92.00M,138.00M,504.00M,1.194B,,1.772B,1.333B,,,-372.00M,-2.589B,1.985B,-976.00M,0.00,-300.00M,-300.00M,21.00M,,21.00M,,,,-82.00M,-11.00M,-93.00M,,,-372.00M,552.00M,-15.00M,7.00M,544.00M,21.00M,298.00M,-300.00M,,,
2006-06,573.00M,,,,,,49.00M,,105.00M,389.00M,-230.00M,-4.00M,,,,155.00M,882.00M,,,,9.00M,-961.00M,-952.00M,298.00M,0.00,298.00M,11.00M,,11.00M,,,,-75.00M,-11.00M,-86.00M,,,223.00M,398.00M,153.00M,1.00M,552.00M,11.00M,,0.00,,,
2006-03,489.00M,,,,,,71.00M,,887.00M,-91.00M,-246.00M,-24.00M,,,,-361.00M,1.086B,,,,11.00M,-1.157B,-1.146B,,,0.00,26.00M,,26.00M,,,,-73.00M,-11.00M,-84.00M,,,-58.00M,512.00M,-118.00M,4.00M,398.00M,26.00M,,,,,
2005-12,236.00M,,,,,,-26.00M,,497.00M,166.00M,122.00M,-179.00M,,,,102.00M,809.00M,,,,3.419B,-5.566B,-2.147B,252.00M,-146.00M,106.00M,1.521B,,1.521B,,,,-66.00M,-12.00M,-78.00M,,,1.446B,409.00M,108.00M,-5.00M,512.00M,1.521B,,-146.00M,,,
2005-09,-112.00M,,,,,,-71.00M,-54.00M,3.014B,-1.274B,-6.00M,-304.00M,,,,-1.584B,1.193B,,,,-1.348B,-42.00M,-1.39B,10.00M,-1.00M,9.00M,28.00M,,28.00M,,,,-67.00M,-11.00M,-78.00M,,,-41.00M,651.00M,-238.00M,-4.00M,409.00M,28.00M,-1.00M,0.00,,,
2005-06,467.00M,,,,,,20.00M,23.00M,684.00M,-249.00M,-19.00M,110.00M,,,,-101.00M,1.093B,,,,-983.00M,33.00M,-950.00M,,0.00,0.00,21.00M,,21.00M,,,,-60.00M,-11.00M,-71.00M,,,-50.00M,574.00M,93.00M,-16.00M,651.00M,21.00M,0.00,,,,
2005-03,437.00M,,,,,,62.00M,31.00M,326.00M,-10.00M,-150.00M,574.00M,,,,357.00M,1.213B,,,,-1.076B,-30.00M,-1.106B,,1.00M,1.00M,43.00M,,43.00M,,,,-60.00M,-11.00M,-71.00M,,,-27.00M,498.00M,80.00M,-4.00M,574.00M,43.00M,1.00M,,,,
2004-12,278.00M,,,,27.00M,27.00M,-183.00M,27.00M,621.00M,-262.00M,124.00M,-69.00M,-586.00M,842.00M,,98.00M,868.00M,,,6.00M,-897.00M,-61.00M,-952.00M,-1.00M,1.00M,0.00,11.00M,,11.00M,,,,-60.00M,-12.00M,-72.00M,,0.00,-61.00M,623.00M,-145.00M,20.00M,498.00M,11.00M,-76.00M,-324.00M,,,
2004-09,4.00M,,,,26.00M,26.00M,26.00M,26.00M,-150.00M,-202.00M,-24.00M,-9.00M,-280.00M,2.395B,,1.875B,1.807B,,,0.00,-1.252B,-58.00M,-1.31B,0.00,-400.00M,-400.00M,15.00M,,15.00M,,,,-59.00M,-11.00M,-70.00M,,-75.00M,-530.00M,660.00M,-33.00M,-4.00M,623.00M,15.00M,75.00M,-75.00M,,,
