,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,1.988B,81.98B,83.97B,24.73B,,24.73B,2.60B,111.31B,15.69B,6.758B,22.44B,97.85B,,126.64B,168.78B,14.77B,,,2.039B,16.80B,16.80B,1.669B,,1.669B,1.669B,18.47B,13.09B,13.09B,468.00M,468.00M,,1.412B,63.14B,15.50B,,93.61B,117.49B,11.12B,28.96B,13.43B,1.727B,,,,-502.00M,51.29B
2017-12,728.00M,82.50B,83.23B,24.55B,,24.55B,2.529B,110.31B,15.54B,6.839B,22.38B,98.43B,,127.05B,167.02B,15.41B,,,1.737B,17.15B,17.15B,1.013B,,1.013B,1.013B,18.16B,11.86B,11.86B,699.00M,699.00M,,1.408B,63.18B,15.22B,,92.37B,115.85B,11.12B,27.47B,13.98B,1.944B,,,,543.00M,51.17B
2017-09,1.088B,86.68B,87.76B,24.54B,,24.54B,2.506B,114.81B,15.71B,6.897B,22.60B,98.40B,,127.40B,167.58B,15.00B,,,1.757B,16.76B,16.76B,1.02B,,1.02B,1.02B,17.78B,11.87B,11.87B,1.139B,1.139B,,1.408B,64.15B,15.46B,,94.02B,117.11B,11.12B,25.94B,14.22B,1.877B,,,,1.069B,50.47B
2017-06,1.297B,84.30B,85.59B,23.22B,,23.22B,2.592B,111.40B,15.43B,6.916B,22.35B,96.18B,,124.20B,162.99B,14.79B,,,1.546B,16.34B,16.34B,922.00M,,922.00M,922.00M,17.26B,11.98B,11.98B,1.122B,1.122B,,1.408B,60.39B,15.29B,,90.19B,112.64B,11.12B,26.01B,14.52B,1.675B,,,,370.00M,50.35B
2017-03,1.063B,83.59B,84.65B,22.84B,,22.84B,2.549B,110.03B,15.39B,7.019B,22.41B,95.61B,,123.59B,160.97B,14.87B,,,1.072B,15.94B,15.94B,300.00M,,300.00M,300.00M,16.24B,12.61B,12.61B,967.00M,967.00M,,1.404B,60.58B,14.86B,,90.42B,111.74B,11.12B,24.71B,14.80B,1.398B,,,,0.00,49.22B
2016-12,985.00M,83.12B,84.10B,22.73B,,22.73B,2.448B,109.28B,15.33B,7.118B,22.45B,95.24B,,122.78B,159.79B,14.25B,,,1.093B,15.35B,15.35B,500.00M,,500.00M,500.00M,15.85B,12.92B,12.92B,988.00M,988.00M,,1.403B,60.54B,14.78B,,90.63B,111.51B,11.12B,23.61B,15.34B,1.48B,,,,-314.00M,48.28B
2016-09,870.00M,84.91B,85.78B,22.14B,,22.14B,2.449B,110.36B,15.48B,7.359B,22.84B,97.30B,0.00,125.66B,161.81B,14.63B,,,1.141B,15.77B,15.77B,500.00M,,500.00M,500.00M,16.27B,12.93B,12.93B,1.418B,1.418B,,1.406B,61.35B,15.05B,,92.15B,113.44B,11.12B,22.00B,15.60B,1.55B,,,,1.197B,48.37B
2016-06,1.011B,83.58B,84.59B,21.97B,,21.97B,2.464B,109.02B,15.52B,7.779B,23.30B,96.12B,0.00,124.37B,160.20B,14.56B,,,1.143B,15.70B,15.70B,500.00M,,500.00M,500.00M,16.20B,12.94B,12.94B,1.409B,1.409B,,1.405B,60.82B,15.23B,,91.80B,112.98B,11.12B,20.64B,15.86B,1.577B,,,,1.181B,47.23B
2016-03,1.091B,80.92B,82.01B,20.77B,,20.77B,2.376B,105.16B,15.40B,8.345B,23.75B,93.75B,0.00,122.65B,156.64B,13.78B,,,1.004B,14.79B,14.79B,500.00M,,500.00M,500.00M,15.29B,12.94B,12.94B,1.142B,1.142B,,1.403B,60.21B,14.90B,,90.59B,110.75B,11.12B,19.92B,16.14B,1.648B,,,,367.00M,45.90B
2015-12,1.775B,54.03B,55.81B,16.90B,,16.90B,2.082B,74.79B,4.796B,1.282B,6.078B,63.61B,318.00M,73.51B,102.31B,10.48B,,,1.047B,11.52B,11.52B,0.00,,0.00,0.00,11.52B,9.696B,9.696B,,,,1.404B,37.30B,8.439B,,56.84B,73.17B,7.833B,19.48B,4.481B,1.922B,,,,-735.00M,29.14B
2015-09,1.038B,50.09B,51.12B,16.72B,,16.72B,2.059B,69.90B,,6.123B,6.123B,59.77B,395.00M,69.93B,97.76B,10.20B,,,1.012B,11.21B,11.21B,2.103B,,2.103B,2.103B,13.32B,4.466B,4.466B,,,,,37.56B,8.51B,,50.54B,68.63B,7.833B,18.80B,4.665B,1.974B,,,,-192.00M,29.13B
2015-06,790.00M,50.76B,51.55B,17.74B,,17.74B,2.238B,71.53B,,6.403B,6.403B,60.58B,285.00M,71.04B,99.84B,10.69B,,,1.081B,11.77B,11.77B,2.102B,,2.102B,2.102B,13.88B,4.466B,4.466B,,,,,38.23B,8.879B,,51.58B,70.28B,7.833B,18.27B,4.847B,1.999B,,,,607.00M,29.56B
2015-03,948.00M,52.95B,53.89B,16.83B,,16.83B,1.981B,72.70B,,5.956B,5.956B,61.05B,224.00M,70.74B,98.40B,10.39B,,,1.034B,11.43B,11.43B,2.552B,,2.552B,2.552B,13.98B,4.466B,4.466B,,,,,37.33B,8.182B,,49.97B,68.70B,7.833B,17.32B,5.037B,1.645B,,,,1.152B,29.70B
2014-12,655.00M,51.72B,52.37B,17.64B,,17.64B,2.026B,72.03B,,6.19B,6.19B,60.06B,295.00M,69.81B,98.25B,9.821B,,,1.331B,11.15B,11.15B,1.15B,,1.15B,1.15B,12.30B,3.666B,3.666B,,,,1.402B,38.32B,8.222B,,51.60B,68.66B,8.055B,16.64B,5.145B,1.448B,,,,1.191B,29.59B
2014-09,806.00M,51.90B,52.71B,16.36B,,16.36B,1.711B,70.78B,,5.916B,5.916B,60.49B,408.00M,70.41B,97.56B,9.633B,,,1.441B,11.07B,11.07B,1.851B,,1.851B,1.851B,12.92B,4.366B,4.366B,,,,,37.45B,8.02B,,49.83B,67.54B,8.278B,16.09B,5.099B,1.057B,,,,1.608B,30.02B
2014-06,594.00M,53.71B,54.30B,16.32B,,16.32B,1.867B,72.49B,,6.036B,6.036B,60.86B,234.00M,70.65B,97.45B,9.213B,,,1.441B,10.65B,10.65B,1.851B,,1.851B,1.851B,12.50B,4.366B,4.366B,,,,,37.18B,8.296B,,49.84B,67.12B,8.501B,15.30B,5.055B,630.00M,,,,2.095B,30.32B
2014-03,847.00M,52.14B,52.98B,15.74B,,15.74B,1.721B,70.44B,,5.899B,5.899B,59.34B,516.00M,68.68B,95.18B,8.952B,,,1.551B,10.50B,10.50B,1.901B,,1.901B,1.901B,12.40B,4.117B,4.117B,,,,,36.87B,7.791B,,48.77B,65.81B,8.724B,14.52B,5.037B,443.00M,,,,1.526B,29.37B
2013-12,579.00M,51.02B,51.60B,16.47B,,16.47B,1.675B,69.74B,,5.94B,5.94B,58.42B,616.00M,67.69B,94.51B,8.438B,,,1.633B,10.07B,10.07B,500.00M,1.401B,1.901B,1.901B,11.97B,4.116B,4.116B,,,,,37.44B,7.539B,,49.10B,65.68B,8.899B,13.79B,5.238B,255.00M,,,,1.152B,28.82B
2013-09,768.00M,50.30B,51.07B,16.80B,,16.80B,1.724B,69.60B,,6.019B,6.019B,57.91B,584.00M,67.50B,94.58B,8.544B,,12.00M,1.52B,10.08B,10.08B,1.902B,,1.902B,1.902B,11.98B,4.116B,4.116B,,,,,37.88B,7.794B,,49.79B,66.37B,9.073B,12.79B,5.20B,222.00M,,,,1.374B,28.22B
2013-06,679.00M,49.44B,50.12B,16.70B,,16.70B,1.819B,68.64B,,5.955B,5.955B,57.31B,753.00M,66.62B,93.69B,8.985B,,30.00M,1.665B,10.68B,10.68B,1.901B,,1.901B,1.901B,12.58B,4.116B,4.116B,,,,,37.34B,7.851B,,49.31B,66.39B,9.249B,11.88B,5.128B,219.00M,,,,1.26B,27.30B
2013-03,855.00M,50.84B,51.70B,15.92B,,15.92B,1.653B,69.26B,,5.492B,5.492B,58.99B,505.00M,67.42B,93.46B,9.103B,,43.00M,1.789B,10.94B,10.94B,1.402B,,1.402B,1.402B,12.34B,4.616B,4.616B,,,,,37.08B,7.019B,,48.72B,65.52B,9.423B,10.99B,5.095B,212.00M,,,,2.65B,27.94B
2012-12,615.00M,49.53B,50.15B,16.47B,,16.47B,1.617B,68.23B,,5.589B,5.589B,58.00B,453.00M,66.46B,92.54B,8.869B,,,1.795B,10.66B,10.66B,0.00,1.401B,1.401B,1.401B,12.06B,3.669B,3.669B,,,,,37.95B,6.864B,,48.48B,65.01B,9.591B,10.03B,5.179B,159.00M,,,,2.887B,27.53B
2012-09,690.00M,2.429B,3.119B,,,,1.613B,4.732B,,4.99B,4.99B,57.55B,344.00M,66.45B,93.51B,3.448B,,221.00M,5.275B,8.944B,8.944B,,1.402B,1.402B,1.402B,10.35B,3.36B,3.36B,,,804.00M,2.044B,38.20B,7.068B,,51.48B,66.54B,9.759B,9.268B,5.109B,187.00M,,,,3.014B,26.96B
2012-06,617.00M,2.26B,2.877B,4.985B,,4.985B,1.775B,9.637B,,4.826B,4.826B,55.50B,557.00M,63.74B,90.70B,4.182B,,162.00M,4.255B,8.599B,8.599B,,1.401B,1.401B,1.401B,10.00B,3.36B,3.36B,,,687.00M,2.253B,36.85B,7.044B,,50.19B,64.94B,9.927B,8.628B,5.075B,206.00M,,,,2.338B,25.76B
2012-03,715.00M,2.099B,2.814B,4.487B,,4.487B,1.643B,8.944B,,4.86B,4.86B,54.71B,568.00M,63.19B,89.75B,4.023B,,201.00M,3.724B,7.948B,7.948B,,1.531B,1.531B,1.531B,9.479B,3.36B,3.36B,,,690.00M,2.211B,37.25B,6.664B,,50.17B,64.32B,10.10B,8.30B,5.054B,227.00M,,,,2.209B,25.43B
2011-12,614.00M,44.27B,44.88B,17.02B,,17.02B,1.541B,63.45B,,5.475B,5.475B,53.71B,673.00M,61.68B,87.32B,8.44B,,159.00M,1.385B,9.984B,9.984B,,1.251B,1.251B,1.251B,11.24B,3.669B,3.669B,,,,,37.48B,6.334B,,47.48B,62.99B,10.10B,7.327B,5.326B,327.00M,,,,1.911B,24.33B
2011-09,766.00M,2.376B,3.142B,5.403B,,5.403B,1.582B,10.13B,,4.817B,4.817B,53.30B,623.00M,61.44B,88.72B,3.492B,,191.00M,4.979B,8.662B,8.662B,,1.25B,1.25B,1.25B,9.912B,3.36B,3.36B,,,653.00M,1.29B,38.48B,6.594B,,50.37B,64.97B,10.10B,6.761B,5.405B,350.00M,,,,1.839B,23.75B
2011-06,833.00M,2.38B,3.213B,4.923B,,4.923B,1.711B,9.847B,,4.858B,4.858B,53.39B,586.00M,61.47B,89.25B,4.203B,,23.00M,3.288B,7.514B,7.514B,,1.40B,1.40B,1.40B,8.914B,3.36B,3.36B,,,700.00M,1.61B,38.95B,6.913B,,51.53B,65.14B,10.10B,6.792B,5.484B,250.00M,,,,1.989B,24.11B
2011-03,1.115B,2.375B,3.49B,4.102B,,4.102B,1.54B,9.132B,,4.729B,4.729B,51.25B,703.00M,59.33B,86.22B,3.89B,,149.00M,3.041B,7.08B,7.08B,,1.401B,1.401B,1.401B,8.481B,3.358B,3.358B,,,494.00M,1.346B,38.84B,6.533B,,50.57B,62.84B,10.08B,6.185B,5.585B,251.00M,,,,1.782B,23.38B
2010-12,772.00M,1.983B,2.755B,4.233B,,4.233B,1.511B,8.499B,,4.664B,4.664B,49.72B,769.00M,57.57B,83.36B,3.282B,,116.00M,3.25B,6.648B,6.648B,,1.30B,1.30B,1.30B,7.948B,3.358B,3.358B,,,421.00M,1.518B,37.39B,6.33B,,49.02B,60.38B,10.16B,5.926B,5.623B,330.00M,,,,1.594B,22.97B
2010-06,668.00M,2.097B,2.765B,3.958B,,3.958B,1.904B,8.627B,,3.836B,3.836B,47.55B,1.105B,54.14B,80.16B,3.331B,,170.00M,2.941B,6.442B,6.442B,,147.00M,147.00M,147.00M,6.589B,3.158B,3.158B,,,308.00M,1.454B,37.06B,6.836B,,48.82B,58.75B,10.36B,4.25B,5.53B,29.00M,,,,1.294B,21.41B
2010-03,726.00M,2.052B,2.778B,3.685B,,3.685B,1.646B,8.109B,,3.883B,3.883B,46.72B,1.174B,53.34B,79.33B,3.147B,,223.00M,2.699B,6.069B,6.069B,,150.00M,150.00M,150.00M,6.219B,3.158B,3.158B,,,323.00M,1.639B,37.55B,6.437B,,49.11B,58.69B,10.47B,3.573B,5.494B,27.00M,,,,1.126B,20.64B
2009-12,669.00M,1.667B,2.336B,3.671B,,3.671B,1.521B,7.528B,,,3.931B,45.57B,1.154B,52.21B,77.98B,3.295B,,111.00M,2.503B,5.909B,5.909B,,161.00M,161.00M,161.00M,6.07B,3.158B,3.158B,,,332.00M,1.586B,37.78B,6.067B,,48.93B,58.31B,10.50B,2.818B,5.526B,3.00M,,,,823.00M,19.67B
2009-09,742.00M,1.853B,2.595B,3.626B,,3.626B,1.727B,7.948B,,3.772B,3.772B,44.88B,1.234B,51.48B,77.82B,3.083B,,156.00M,2.839B,6.078B,6.078B,,200.00M,200.00M,200.00M,6.278B,3.321B,3.321B,,,318.00M,1.574B,37.87B,6.369B,,49.45B,59.09B,10.61B,1.865B,5.481B,4.00M,,,,785.00M,18.73B
2009-06,654.00M,2.081B,2.735B,4.016B,,4.016B,1.911B,8.662B,,3.756B,3.756B,42.18B,1.579B,49.13B,75.66B,3.075B,,115.00M,3.339B,6.529B,6.529B,,216.00M,216.00M,216.00M,6.745B,3.322B,3.322B,,,314.00M,1.427B,37.27B,6.725B,,49.06B,59.09B,10.70B,1.397B,5.453B,2.00M,,,,-991.00M,16.56B
2009-03,844.00M,3.909B,4.753B,3.853B,,3.853B,1.593B,10.20B,,3.735B,3.735B,39.83B,1.952B,46.43B,73.13B,2.981B,,165.00M,3.858B,7.004B,7.004B,,466.00M,466.00M,466.00M,7.47B,2.802B,2.802B,,,333.00M,1.463B,36.93B,6.186B,,47.72B,58.41B,10.81B,641.00M,5.416B,1.00M,,,,-2.146B,14.72B
2008-12,867.00M,3.35B,4.217B,3.453B,,3.453B,1.539B,9.209B,,3.747B,3.747B,39.18B,1.835B,45.94B,72.06B,2.841B,,138.00M,3.375B,6.354B,6.354B,,471.00M,471.00M,471.00M,6.825B,2.806B,2.806B,,,345.00M,1.296B,37.18B,5.95B,,47.57B,57.61B,10.83B,74.00M,5.464B,3.00M,,,,-1.916B,14.45B
2008-09,479.00M,3.014B,3.493B,3.499B,,3.51B,1.77B,8.773B,,3.817B,3.817B,41.15B,1.457B,48.12B,75.16B,2.754B,,0.00,3.209B,5.963B,5.963B,,333.00M,333.00M,333.00M,6.296B,3.002B,3.002B,,,346.00M,2.095B,38.37B,6.459B,,50.28B,59.80B,10.91B,54.00M,5.415B,3.00M,,,,-1.023B,15.36B
2008-06,582.00M,3.137B,3.719B,4.086B,,4.086B,1.964B,9.769B,,3.612B,3.612B,43.33B,1.029B,52.82B,77.78B,4.766B,,28.00M,,4.794B,4.794B,,1.05B,1.05B,1.05B,5.844B,3.008B,3.008B,,,,2.118B,37.70B,7.054B,,49.88B,61.45B,10.93B,0.00,5.447B,,,,,-54.00M,16.33B
2008-03,511.00M,4.795B,5.306B,17.72B,,17.72B,1.742B,24.76B,2.763B,,2.763B,39.63B,1.054B,48.90B,73.92B,8.393B,,198.00M,,8.591B,8.591B,,1.341B,1.341B,1.341B,9.932B,2.114B,2.114B,,,362.00M,,37.81B,6.653B,,46.94B,57.18B,16.00M,9.358B,6.887B,,2.00M,,,474.00M,16.74B
2007-12,510.00M,2.631B,3.141B,3.54B,,3.54B,1.60B,8.281B,,2.838B,2.838B,41.41B,1.087B,46.20B,72.09B,2.843B,,111.00M,3.623B,6.577B,6.577B,,372.00M,372.00M,372.00M,6.949B,1.811B,1.811B,,,351.00M,2.109B,37.11B,6.227B,,47.61B,55.41B,16.00M,9.08B,6.812B,0.00,2.00M,,,769.00M,16.68B
2007-09,506.00M,2.94B,3.446B,17.54B,,17.54B,1.687B,22.68B,2.731B,,2.731B,38.12B,1.163B,47.20B,71.95B,8.989B,,174.00M,,9.163B,9.163B,,87.00M,87.00M,87.00M,9.25B,2.068B,2.068B,,,355.00M,,37.40B,6.542B,,46.36B,55.92B,16.00M,8.609B,6.754B,,2.00M,,,656.00M,16.04B
2007-06,621.00M,2.919B,3.54B,18.00B,,18.00B,1.854B,23.40B,2.731B,,2.731B,35.61B,1.163B,45.03B,71.02B,9.203B,,168.00M,,9.371B,9.371B,,85.00M,85.00M,85.00M,9.456B,2.063B,2.063B,,,363.00M,,36.64B,7.001B,,46.07B,55.84B,16.00M,8.053B,6.712B,,2.00M,,,403.00M,15.18B
2007-03,639.00M,2.658B,3.297B,18.06B,,18.06B,1.621B,22.98B,2.731B,,2.731B,34.52B,1.192B,43.86B,69.77B,8.003B,,265.00M,,8.268B,8.268B,,581.00M,581.00M,581.00M,8.849B,2.061B,2.061B,,,327.00M,,36.33B,6.67B,,45.39B,54.82B,16.00M,7.504B,6.661B,,2.00M,,,778.00M,14.96B
2006-12,565.00M,2.456B,3.021B,18.16B,,18.16B,1.586B,22.77B,2.731B,,2.731B,33.58B,1.165B,42.06B,67.14B,7.447B,,156.00M,,7.603B,7.603B,,578.00M,578.00M,578.00M,8.181B,1.56B,1.56B,,,335.00M,,36.04B,6.437B,,44.37B,52.86B,16.00M,6.906B,6.64B,,2.00M,,,716.00M,14.28B
2006-09,544.00M,3.826B,4.37B,18.61B,,18.61B,1.686B,24.67B,2.655B,,2.655B,33.50B,1.164B,40.74B,66.43B,7.078B,82.00M,166.00M,,7.326B,7.326B,,500.00M,500.00M,500.00M,7.826B,1.632B,1.632B,,,346.00M,,35.66B,6.676B,,44.32B,52.92B,15.00M,6.334B,6.594B,,2.00M,132.00M,436.00M,568.00M,13.51B
2006-06,552.00M,3.844B,4.396B,19.39B,,19.39B,1.708B,25.49B,2.703B,,2.703B,33.08B,1.243B,39.79B,65.39B,6.373B,82.00M,138.00M,,6.593B,6.593B,,800.00M,800.00M,800.00M,7.393B,1.62B,1.62B,,,348.00M,,36.08B,6.963B,,45.02B,52.92B,15.00M,5.849B,6.55B,,2.00M,,,52.00M,12.47B
2006-03,398.00M,3.139B,3.537B,19.48B,,19.48B,1.505B,24.52B,2.703B,,2.703B,31.48B,1.271B,39.04B,64.85B,6.922B,75.00M,179.00M,,7.176B,7.176B,,300.00M,300.00M,300.00M,7.476B,1.812B,1.812B,,,318.00M,,36.03B,6.554B,,44.71B,52.69B,15.00M,5.369B,6.523B,,2.00M,,,250.00M,12.16B
2005-12,512.00M,2.299B,2.811B,18.81B,,18.81B,1.346B,22.96B,2.703B,,2.703B,29.44B,1.314B,37.47B,62.44B,6.05B,,174.00M,,6.224B,6.224B,,300.00M,300.00M,300.00M,6.524B,1.811B,1.811B,,,350.00M,,35.58B,5.884B,,43.62B,50.63B,15.00M,4.965B,6.569B,,2.00M,,,332.00M,11.81B
2005-09,409.00M,2.863B,3.272B,19.37B,,19.37B,1.441B,24.08B,2.703B,,2.703B,28.54B,1.244B,35.34B,60.54B,5.937B,66.00M,,,6.003B,6.003B,,446.00M,446.00M,446.00M,6.449B,1.564B,1.564B,,,331.00M,,35.20B,6.238B,,43.33B,50.32B,14.00M,4.815B,5.044B,,2.00M,,,441.00M,10.23B
2005-06,651.00M,3.104B,3.755B,18.36B,,18.36B,1.434B,23.55B,2.703B,,2.703B,27.81B,1.134B,34.28B,58.12B,5.59B,66.00M,,,5.656B,5.656B,,147.00M,147.00M,147.00M,5.803B,1.849B,1.849B,,,347.00M,,32.62B,6.457B,,41.27B,47.62B,14.00M,5.005B,5.029B,,2.00M,,,552.00M,10.50B
2005-03,574.12M,2.656B,3.231B,18.50B,,18.50B,1.427B,23.15B,2.608B,,2.608B,26.15B,1.172B,32.73B,56.96B,5.638B,60.34M,,,5.699B,5.699B,,147.06M,147.06M,147.06M,5.846B,1.849B,1.849B,,,301.52M,,31.93B,6.527B,,40.61B,47.00B,14.27M,4.604B,5.003B,,2.30M,,,459.26M,9.965B
2004-12,498.00M,2.769B,3.267B,18.33B,,18.33B,1.355B,22.96B,2.70B,,2.70B,25.87B,1.173B,32.51B,56.18B,5.411B,60.00M,,,5.471B,5.471B,,146.00M,146.00M,146.00M,5.617B,1.849B,1.849B,,,343.00M,,31.99B,5.983B,,40.17B,46.34B,14.00M,4.249B,4.905B,,2.00M,,,734.00M,9.845B
2004-09,625.80M,4.588B,5.214B,17.82B,,17.82B,1.653B,24.68B,2.612B,,2.612B,26.34B,1.016B,32.09B,54.46B,4.446B,59.67M,,,4.506B,4.506B,,145.65M,145.65M,145.65M,4.652B,1.849B,1.849B,,,,,30.34B,6.466B,,38.66B,44.98B,14.14M,4.031B,4.896B,,2.30M,,,607.84M,9.480B
2004-06,663.24M,5.256B,5.919B,18.14B,,18.14B,1.652B,25.71B,2.614B,,2.614B,24.56B,1.115B,30.86B,53.65B,4.240B,59.56M,,,4.300B,4.300B,,545.74M,545.74M,545.74M,4.846B,1.849B,1.849B,,,,,28.95B,6.555B,,37.36B,44.43B,14.12M,4.105B,4.880B,,2.30M,,,305.54M,9.220B
2004-03,613.89M,3.933B,4.547B,17.72B,,17.72B,1.578B,23.85B,2.700B,,2.700B,24.39B,997.03M,30.18B,52.48B,3.910B,53.72M,,,3.963B,3.963B,,545.71M,545.71M,545.71M,4.509B,1.349B,1.349B,,,217.44M,,28.19B,6.930B,,36.69B,43.08B,14.08M,3.763B,4.864B,,2.30M,,,854.24M,9.397B
2003-12,,,,,,,,,,2.711B,2.711B,,,48.05B,49.32B,,,,,,,,546.00M,546.00M,546.00M,546.00M,1.824B,1.824B,,,,,27.16B,6.051B,,35.03B,40.49B,12.00M,3.381B,4.765B,,,,,,8.823B
