,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2016-06,977.30M,977.30M,729.87M,247.43M,59.78M,,-0.248M,20.29M,-20.29M,-3.446M,56.34M,191.10M,20.29M,-20.29M,4.746M,-20.29M,175.55M,53.44M,122.11M,,,-0.061M,122.05M,122.22M,267.05M,71.21M,195.84M,1.91,,,,1.913,1.91,1.9,,,,1.903,1.9,63.53M,63.80M,0.4
2016-03,788.73M,788.73M,643.48M,145.25M,58.35M,,-0.299M,20.03M,-20.03M,0.579M,58.93M,86.32M,20.03M,-20.03M,-1.523M,-20.03M,64.76M,19.71M,45.06M,,,-0.061M,44.99M,45.20M,153.21M,68.41M,84.80M,0.7,,,,0.7032,0.7,0.69,,,,0.6932,0.69,64.16M,64.35M,0.4
2015-12,844.56M,844.56M,654.55M,190.00M,49.63M,,-0.563M,18.94M,-18.94M,-12.31M,37.32M,152.68M,18.94M,-18.94M,-11.25M,-18.94M,122.49M,39.26M,83.22M,,,-0.038M,83.18M,83.57M,205.08M,63.65M,141.43M,1.27,0.0,,,1.276,1.27,1.26,0.0,,,1.266,1.26,65.47M,65.67M,0.4
2015-09,1.082B,1.082B,819.74M,262.50M,54.89M,,-2.087M,18.93M,-18.93M,26.03M,80.92M,181.58M,18.93M,-18.93M,2.402M,-18.93M,165.06M,47.48M,117.58M,,,-0.034M,117.54M,119.03M,248.96M,64.98M,183.99M,1.75,,,,1.7719999999999998,1.75,1.74,,,,1.7619999999999998,1.74,66.83M,67.11M,0.4
2015-06,921.42M,921.42M,721.27M,200.15M,56.78M,,-2.092M,19.09M,-19.09M,4.294M,61.08M,139.08M,19.09M,-19.09M,0.919M,-19.09M,120.91M,38.93M,81.98M,,,-0.041M,81.94M,83.36M,207.68M,67.69M,140.00M,1.23,,,,1.251,1.23,1.22,,,,1.2409999999999999,1.22,67.37M,67.63M,0.4
2015-03,691.35M,691.35M,617.09M,74.26M,49.45M,,-1.604M,19.33M,-19.33M,-2.364M,47.09M,27.18M,19.33M,-19.33M,-2.497M,-19.33M,5.347M,-0.812M,6.159M,,,-0.033M,6.126M,7.088M,91.95M,67.27M,24.68M,0.07,,,,0.0843,0.07,0.07,,,,0.0842,0.07,67.41M,67.68M,0.4
2014-12,856.37M,856.37M,691.04M,165.33M,50.01M,,-1.713M,21.10M,-21.10M,-4.962M,45.04M,120.29M,21.10M,-21.10M,-0.021M,-21.10M,99.16M,35.28M,63.89M,0.103M,,-0.034M,63.96M,64.96M,188.93M,68.67M,120.26M,0.95,0.0,,,0.9664,0.95,0.94,0.0,,,0.9563,0.94,67.39M,67.68M,0.4
2014-09,1.004B,1.004B,808.13M,195.59M,48.43M,,-26.12M,19.80M,-19.80M,5.092M,53.52M,142.07M,19.80M,-19.80M,-24.28M,-19.80M,97.99M,44.09M,53.90M,-0.069M,,-0.091M,53.74M,70.79M,185.73M,67.93M,117.80M,0.8,0.0,,,1.053,0.8,0.79,0.0,,,1.042,0.79,67.09M,67.50M,0.4
2014-06,669.22M,669.22M,533.62M,135.60M,36.57M,,-5.28M,12.95M,-12.95M,-2.485M,34.08M,101.52M,12.95M,-12.95M,-4.988M,-12.95M,83.59M,23.91M,59.68M,-0.056M,,-0.103M,59.52M,63.35M,140.21M,43.68M,96.53M,1.28,0.0,,,1.361,1.28,1.27,0.0,,,1.351,1.27,46.40M,46.53M,0.4
2014-03,428.63M,428.63M,402.79M,25.84M,34.25M,,-9.512M,12.20M,-12.20M,-2.026M,32.22M,-6.386M,12.20M,-12.20M,-12.98M,-12.20M,-31.56M,-8.424M,-23.14M,-0.015M,,1.535M,-21.62M,-14.63M,23.10M,42.47M,-19.36M,-0.47,0.0,,,-0.3194,-0.47,-0.47,0.0,,,-0.3194,-0.47,46.32M,46.32M,0.4
2013-12,545.00M,545.00M,443.96M,101.03M,37.46M,,0.00,12.83M,-12.83M,0.742M,38.20M,62.83M,12.83M,-12.83M,-0.116M,-12.83M,49.88M,14.43M,35.45M,-0.295M,,0.877M,36.03M,36.33M,106.38M,43.66M,62.72M,0.79,-0.01,,,0.79,0.78,0.78,-0.01,,,0.78,0.77,46.25M,46.36M,0.4
2013-09,665.32M,665.32M,522.21M,143.11M,37.14M,,-0.089M,13.52M,-13.52M,-2.964M,34.18M,108.93M,13.52M,-13.52M,-0.19M,-13.52M,95.22M,22.92M,72.31M,-0.271M,,-0.202M,71.84M,72.17M,152.85M,44.10M,108.74M,1.56,-0.01,,,1.561,1.55,1.55,-0.01,,,1.551,1.54,46.24M,46.35M,0.4
2013-06,561.33M,561.33M,454.33M,107.00M,37.84M,0.275M,0.00,13.62M,-13.62M,-0.757M,37.36M,69.64M,13.62M,-13.62M,0.544M,-13.62M,56.56M,15.10M,41.46M,0.105M,,-0.259M,41.31M,41.20M,113.13M,42.95M,70.18M,0.89,0.0,,,0.89,0.89,0.89,0.0,,,0.89,0.89,46.13M,46.26M,0.4
2013-03,383.91M,383.91M,371.09M,12.82M,37.65M,0.307M,,13.50M,-13.50M,-1.814M,36.14M,-23.32M,13.50M,-13.50M,-0.623M,-13.50M,-37.44M,-8.398M,-29.04M,-0.288M,,1.49M,-27.84M,-27.55M,19.10M,43.04M,-23.94M,-0.6,-0.01,,,-0.6,-0.61,-0.6,-0.01,,,-0.6,-0.61,46.03M,46.03M,0.4
2012-12,502.26M,502.26M,425.54M,76.72M,38.00M,,,13.37M,-13.37M,-1.504M,1.356M,75.37M,13.37M,-13.37M,-35.12M,-13.37M,26.88M,4.947M,21.93M,-0.205M,,-0.19M,21.53M,21.74M,84.47M,44.23M,40.25M,0.47,0.0,,,0.47,0.47,0.46,0.0,,,0.46,0.46,45.94M,46.09M,0.4
2012-09,592.27M,592.27M,468.25M,124.02M,32.10M,0.00,,13.22M,-13.22M,0.394M,32.49M,91.53M,13.22M,-13.22M,-0.62M,-13.22M,77.69M,13.70M,63.99M,-0.319M,,-0.747M,62.92M,63.24M,135.16M,44.25M,90.91M,1.37,-0.01,,,1.37,1.36,1.37,-0.01,,,1.37,1.36,45.86M,45.99M,0.4
2012-06,545.69M,545.69M,443.62M,102.07M,35.28M,9.24M,,13.26M,-13.26M,-1.69M,42.82M,59.24M,13.26M,-13.26M,0.042M,-13.26M,46.03M,8.553M,37.47M,0.334M,,-1.057M,36.75M,36.42M,103.62M,44.34M,59.28M,0.79,0.01,,,0.79,0.8,0.79,0.01,,,0.79,0.8,45.78M,45.90M,0.4
2012-03,393.97M,393.97M,370.15M,23.83M,33.03M,25.90M,,13.49M,-13.49M,0.223M,59.15M,-35.33M,13.49M,-13.49M,1.855M,-13.49M,-46.96M,-9.875M,-37.08M,-0.589M,,0.941M,-36.73M,-36.14M,10.93M,44.40M,-33.47M,-0.8,-0.01,,,-0.8,-0.81,-0.8,-0.01,,,-0.8,-0.81,45.73M,45.73M,0.4
2011-12,420.90M,420.90M,350.99M,69.91M,31.72M,15.13M,,13.30M,-13.30M,2.308M,49.16M,20.74M,13.30M,-13.30M,0.387M,-13.30M,7.834M,-0.85M,8.684M,6.399M,,-0.245M,14.84M,8.439M,64.87M,43.73M,21.13M,0.18,0.14,,,0.18,0.31,0.18,0.14,,,0.18,0.31,45.71M,45.82M,0.4
2011-09,502.39M,502.39M,390.49M,111.89M,32.77M,0.733M,-2.147M,13.40M,-13.40M,-1.625M,31.88M,80.01M,13.40M,-13.40M,-2.147M,-13.40M,64.47M,14.13M,50.34M,-0.004M,,-1.176M,49.16M,50.84M,121.08M,43.22M,77.86M,1.07,0.0,,,1.107,1.07,1.07,0.0,,,1.107,1.07,45.69M,45.80M,0.4
2011-06,462.39M,462.39M,364.85M,97.54M,31.00M,1.735M,-0.336M,13.72M,-13.72M,0.106M,32.84M,64.70M,13.72M,-13.72M,-0.336M,-13.72M,50.64M,13.83M,36.81M,-0.952M,,-0.055M,35.80M,37.00M,107.52M,43.16M,64.36M,0.8,-0.02,,,0.8054,0.78,0.8,-0.02,,,0.8053,0.78,45.63M,45.79M,0.4
2011-03,327.94M,327.94M,305.29M,22.66M,28.64M,0.972M,0.261M,18.16M,-18.16M,-2.509M,27.10M,-4.448M,18.16M,-18.16M,0.261M,-18.16M,-22.35M,-6.111M,-16.24M,-1.456M,,0.283M,-17.41M,-16.15M,39.11M,43.29M,-4.187M,-0.36,-0.03,,,-0.3642,-0.39,-0.36,-0.0319,,,-0.3642,-0.39,45.58M,45.58M,0.4
2010-12,297.83M,297.83M,227.33M,70.50M,32.06M,1.071M,,16.90M,-16.90M,0.732M,33.86M,36.64M,16.90M,-16.90M,-0.009M,-16.90M,19.73M,4.298M,15.44M,-0.227M,,-0.406M,14.80M,15.03M,82.22M,45.59M,36.63M,0.32,0.0,,,0.32,0.32,0.32,0.0,,,0.32,0.32,45.55M,45.72M,0.4
2010-09,509.40M,509.40M,395.59M,113.81M,31.24M,0.114M,0.545M,17.10M,-17.10M,-1.394M,29.96M,83.85M,17.10M,-17.10M,0.545M,-17.10M,67.30M,14.06M,53.23M,0.022M,,-1.266M,51.99M,51.54M,129.84M,45.45M,84.40M,1.13,0.0,,,1.121,1.13,1.13,0.0,,,1.121,1.13,45.53M,45.68M,0.4
2010-06,504.63M,504.63M,386.93M,117.70M,33.56M,0.022M,-1.334M,16.82M,-16.82M,-6.531M,27.05M,90.65M,16.82M,-16.82M,-1.334M,-16.82M,72.50M,17.54M,54.96M,-0.013M,,-0.549M,54.40M,55.42M,134.85M,45.53M,89.32M,1.18,0.0,,,1.202,1.18,1.18,0.0,,,1.202,1.18,45.46M,45.66M,0.4
2010-03,340.94M,340.94M,321.33M,19.61M,33.57M,0.013M,0.60M,17.62M,-17.62M,-1.107M,32.48M,-12.86M,17.62M,-17.62M,0.60M,-17.62M,-29.88M,-4.984M,-24.90M,0.148M,,0.568M,-24.18M,-24.83M,32.70M,44.97M,-12.26M,-0.54,0.0,,,-0.551,-0.54,-0.54,0.0,,,-0.551,-0.54,45.40M,45.40M,0.4
2009-12,374.69M,374.69M,314.96M,59.73M,32.54M,0.023M,-0.369M,18.10M,-18.10M,12.69M,45.26M,14.47M,18.10M,-18.10M,-0.369M,-18.10M,-4.00M,-1.296M,-2.704M,-0.211M,,-0.238M,-3.153M,-2.693M,60.22M,46.12M,14.10M,-0.08,0.0,,,-0.0744,-0.08,-0.08,0.0,,,-0.0745,-0.08,44.93M,45.12M,0.4
2009-09,487.97M,487.97M,370.22M,117.75M,32.93M,0.051M,1.196M,18.18M,-18.18M,-4.448M,28.54M,89.21M,18.18M,-18.18M,1.196M,-18.18M,72.23M,15.31M,56.92M,-0.052M,,-1.354M,55.51M,54.62M,136.31M,45.90M,90.41M,1.23,0.0,,,1.209,1.23,1.23,0.0,,,1.209,1.23,44.62M,44.81M,0.4
2009-06,465.38M,465.38M,353.67M,111.72M,36.77M,0.163M,1.34M,18.65M,-18.65M,1.843M,38.77M,72.94M,18.65M,-18.65M,1.34M,-18.65M,55.63M,15.54M,40.10M,0.487M,,-1.723M,38.86M,37.41M,119.04M,44.76M,74.28M,0.85,0.01,,,0.8283,0.86,0.85,0.01,,,0.8284,0.86,44.55M,44.75M,0.4
2009-03,374.56M,374.56M,326.03M,48.54M,37.16M,0.136M,-1.022M,18.52M,-18.52M,0.294M,37.59M,10.95M,18.52M,-18.52M,-1.022M,-18.52M,-8.599M,-2.174M,-6.425M,0.052M,,0.609M,-5.764M,-5.052M,52.54M,42.62M,9.926M,-0.14,0.0,,,-0.1218,-0.14,-0.14,0.0,,,-0.1218,-0.14,41.86M,41.86M,0.4
2008-12,469.09M,469.09M,364.96M,104.14M,33.88M,0.139M,-1.66M,19.66M,-19.66M,9.572M,43.59M,60.55M,19.66M,-19.66M,-1.66M,-19.66M,39.22M,12.61M,26.62M,-0.302M,,-1.055M,25.26M,26.69M,104.36M,45.47M,58.89M,0.61,-0.01,,,0.6372,0.6,0.61,-0.01,,,0.6371,0.6,41.44M,41.62M,0.4
2008-09,598.71M,598.71M,447.14M,151.57M,37.73M,0.145M,-0.766M,19.50M,-19.50M,-1.216M,36.66M,114.91M,19.50M,-19.50M,-0.766M,-19.50M,94.65M,26.17M,68.47M,-0.167M,,-1.981M,66.33M,67.05M,158.11M,43.96M,114.14M,1.58,0.0,,,1.5930000000000002,1.58,1.57,0.0,,,1.5830000000000002,1.57,41.38M,41.63M,0.4
2008-06,597.82M,597.82M,458.36M,139.47M,42.04M,0.134M,0.354M,19.30M,-19.30M,-7.587M,34.59M,104.88M,19.30M,-19.30M,0.354M,-19.30M,85.94M,26.32M,59.61M,5.462M,,-1.272M,63.80M,58.10M,148.01M,42.78M,105.24M,1.39,0.13,,,1.3840000000000001,1.52,1.38,0.13,,,1.374,1.51,41.33M,41.60M,0.345
2008-03,451.56M,451.56M,376.41M,75.15M,37.70M,0.178M,0.114M,15.84M,-15.84M,-5.586M,32.29M,42.86M,15.84M,-15.84M,0.114M,-15.84M,27.14M,6.874M,20.26M,-0.211M,,0.813M,20.86M,20.99M,81.90M,38.92M,42.97M,0.51,-0.01,,,0.5079,0.5,0.51,-0.01,,,0.508,0.5,41.32M,41.92M,0.345
2007-12,532.60M,532.60M,402.81M,129.79M,36.16M,0.31M,-10.19M,,,-6.609M,29.87M,99.92M,,,-10.19M,,85.48M,29.24M,56.24M,0.299M,,,56.54M,62.94M,145.56M,39.25M,106.31M,1.35,0.01,,,1.51,1.36,1.32,0.01,,,1.4780000000000002,1.33,41.82M,42.49M,0.345
2007-09,615.38M,615.38M,448.07M,167.31M,36.44M,0.17M,7.424M,,,-6.176M,30.43M,136.88M,,,7.424M,,120.89M,31.05M,89.84M,0.425M,,,90.27M,84.32M,174.56M,37.68M,136.88M,2.15,0.01,,,2.0180000000000002,2.16,2.12,0.01,,,1.99,2.13,41.82M,42.48M,0.345
2007-06,590.31M,590.31M,412.39M,177.92M,44.31M,0.186M,3.982M,,,-3.128M,41.37M,136.56M,,,3.982M,,120.71M,38.32M,82.39M,0.565M,,,82.95M,79.67M,173.98M,37.42M,136.56M,1.94,0.01,,,1.876,1.95,1.91,0.01,,,1.847,1.92,42.46M,43.14M,0.275
2007-03,459.68M,459.68M,365.48M,94.20M,38.27M,0.203M,5.171M,,,-2.491M,35.98M,58.21M,,,5.171M,,49.69M,16.79M,32.90M,0.085M,,,32.99M,29.48M,94.19M,35.98M,58.21M,0.74,0.0,,,0.6631,0.74,0.73,0.0,,,0.6542,0.73,44.55M,45.19M,0.275
2006-12,520.36M,520.36M,383.19M,137.17M,38.10M,0.257M,3.955M,,,-3.299M,35.06M,102.11M,,,3.955M,,92.16M,29.96M,62.20M,0.262M,,,62.47M,59.53M,140.85M,38.74M,102.11M,1.38,0.0,,,1.321,1.38,1.36,0.0,,,1.3019999999999998,1.36,45.13M,45.94M,0.275
2006-09,601.65M,601.65M,452.37M,149.29M,35.25M,0.175M,1.915M,,,-2.154M,33.28M,116.01M,,,1.915M,,105.70M,29.20M,76.50M,-0.344M,,,76.16M,75.12M,152.08M,36.07M,116.01M,1.69,-0.01,,,1.659,1.68,1.66,-0.01,,,1.63,1.65,45.28M,46.12M,0.275
2006-06,587.03M,587.03M,433.89M,153.14M,33.56M,0.14M,0.306M,,,,33.70M,119.44M,,,0.306M,,110.04M,34.16M,75.89M,-0.098M,,,75.79M,75.68M,153.38M,33.94M,119.44M,1.66,0.0,,,1.655,1.66,1.63,0.0,,,1.625,1.63,45.66M,46.62M,0.23
2006-03,482.92M,482.92M,398.60M,84.32M,36.16M,0.164M,5.734M,,,-3.64M,32.68M,51.63M,,,5.734M,,43.75M,13.85M,29.90M,1.104M,,,31.01M,25.98M,84.31M,32.68M,51.63M,0.66,0.02,,,0.5743,0.68,0.64,0.02,,,0.5562,0.66,45.75M,46.78M,0.23
2005-12,479.10M,479.10M,364.34M,114.76M,33.55M,0.132M,6.005M,,,-5.604M,28.08M,86.68M,,,6.005M,,76.71M,25.68M,51.03M,-3.274M,,,47.76M,47.04M,121.54M,34.85M,86.68M,1.1,-0.07,,,1.014,1.03,1.09,-0.07,,,1.005,1.02,46.19M,47.04M,0.23
2005-09,563.91M,563.91M,429.02M,134.89M,33.53M,0.189M,6.455M,,,-6.644M,27.07M,107.82M,,,6.455M,,96.86M,20.81M,76.05M,0.313M,,,76.36M,70.98M,143.49M,35.67M,107.82M,1.64,0.01,,,1.531,1.65,1.61,0.01,,,1.5030000000000001,1.62,46.35M,47.17M,0.23
2005-06,543.84M,543.84M,414.22M,129.62M,29.58M,0.193M,-0.964M,,,,29.77M,99.86M,,,-0.964M,,88.23M,25.45M,62.78M,-1.309M,,,61.47M,63.47M,134.30M,34.44M,99.86M,1.35,-0.03,,,1.365,1.32,1.33,-0.03,,,1.345,1.3,46.57M,47.17M,0.2
2005-03,389.73M,389.73M,340.06M,49.67M,31.83M,0.148M,3.993M,,,-1.758M,30.22M,19.45M,,,3.993M,,10.90M,2.286M,8.61M,-1.533M,,,7.077M,5.455M,52.74M,33.29M,19.45M,0.18,-0.03,,,0.113,0.15,0.18,-0.03,,,0.1139,0.15,47.06M,47.74M,0.2
2004-12,422.26M,422.26M,328.91M,93.36M,32.30M,0.355M,8.437M,,,-7.895M,24.76M,68.59M,,,8.437M,,58.18M,22.58M,35.60M,1.39M,,,36.99M,30.44M,101.56M,32.96M,68.59M,0.77,0.0,,,0.6625,0.77,0.77,0.0,,,0.6631,0.77,48.02M,48.30M,0.2
2004-09,495.69M,495.69M,384.29M,111.40M,30.83M,0.201M,1.577M,,,-2.199M,28.83M,82.58M,,,1.577M,,71.20M,17.77M,53.43M,0.572M,,,54.00M,52.25M,115.67M,33.09M,82.58M,1.11,0.01,,,1.085,1.12,1.1,0.01,,,1.0759999999999998,1.11,48.22M,48.57M,0.2
2004-06,462.27M,462.27M,356.31M,105.96M,32.78M,0.181M,1.707M,,,-1.429M,31.53M,74.43M,,,1.707M,,63.96M,18.98M,44.98M,-0.268M,,,44.72M,43.78M,107.62M,33.19M,74.43M,0.94,-0.01,,,0.9151,0.93,0.93,-0.01,,,0.9053,0.92,48.21M,48.57M,0.18
2004-03,340.15M,340.15M,304.28M,35.87M,31.59M,0.154M,0.608M,,,-0.20M,31.55M,4.322M,,,0.608M,,-5.558M,-1.665M,-3.893M,-2.652M,,,-6.545M,-4.319M,37.94M,33.61M,4.322M,-0.08,-0.06,,,-0.0888,-0.14,-0.08,-0.06,,,-0.0888,-0.14,48.33M,48.33M,0.18
2003-12,353.58M,353.58M,262.75M,90.83M,30.53M,0.197M,3.813M,,,-4.498M,26.23M,64.60M,,,3.813M,,53.23M,15.75M,37.48M,-8.139M,0.00,,29.34M,34.80M,100.39M,35.79M,64.60M,0.76,-0.16,0.0,,0.7056,0.6,0.76,-0.16,0.0003,,0.7056,0.6,49.35M,49.35M,0.18
2003-09,503.61M,503.61M,401.10M,102.51M,29.97M,0.245M,3.237M,,,-1.849M,28.36M,74.14M,,,3.237M,,64.62M,19.01M,45.62M,-0.095M,,,45.52M,43.33M,109.90M,35.76M,74.14M,0.93,0.0,,,0.8833,0.93,0.93,0.0,,,0.8836,0.93,48.92M,49.19M,0.18
2003-06,471.89M,471.89M,370.75M,101.13M,28.92M,0.112M,-2.715M,,,1.949M,30.98M,70.16M,,,-2.715M,,58.51M,18.71M,39.80M,-0.15M,,,39.65M,41.65M,104.76M,34.61M,70.16M,0.81,0.0,,,0.8478,0.81,0.81,0.0,,,0.8476,0.81,48.91M,49.11M,0.18
