,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-03,168.00M,,,,,,,66.00M,66.00M,-5.00M,,,,16.00M,-177.00M,-233.00M,,177.00M,,41.00M,34.00M,-158.00M,-18.00M,69.00M,,-60.00M,2.00M,-58.00M,,,-400.00M,-478.00M,,,,373.00M,107.00M,-226.00M,-119.00M,,-97.00M,,,156.00M,,796.00M,-253.00M,2.00M,545.00M,,107.00M,,,-226.00M,,,
2005-12,431.00M,,,,-129.00M,-207.00M,-14.00M,82.00M,82.00M,0.00,,,,122.00M,13.00M,35.00M,,-1.00M,,-15.00M,-70.00M,-38.00M,-237.00M,288.00M,,-163.00M,2.00M,204.00M,-7.00M,,611.00M,-422.00M,,,,523.00M,26.00M,-187.00M,-161.00M,,0.00,,4.00M,366.00M,,601.00M,232.00M,-3.00M,796.00M,,26.00M,,,-187.00M,,AOR,Restated
2005-09,-117.00M,,,,34.00M,70.00M,5.00M,75.00M,75.00M,12.00M,,,,9.00M,-53.00M,-115.00M,,-14.00M,,107.00M,12.00M,-63.00M,327.00M,277.00M,,-71.00M,4.00M,-67.00M,1.00M,,-325.00M,-397.00M,,,,262.00M,12.00M,-166.00M,-154.00M,,-47.00M,,1.00M,65.00M,,621.00M,-55.00M,1.00M,601.00M,,12.00M,,,-166.00M,,,
2005-06,118.00M,,,,27.00M,70.00M,5.00M,75.00M,75.00M,6.00M,,,,27.00M,-41.00M,-17.00M,,74.00M,52.00M,77.00M,0.00,145.00M,33.00M,431.00M,,-73.00M,,-73.00M,-23.00M,,114.00M,11.00M,,,,-184.00M,21.00M,-127.00M,-106.00M,,-47.00M,,9.00M,-331.00M,,524.00M,111.00M,-14.00M,621.00M,,21.00M,,,-127.00M,,,
2005-03,84.00M,,,,68.00M,67.00M,4.00M,71.00M,71.00M,-1.00M,,,,,-106.00M,-91.00M,,191.00M,-52.00M,-169.00M,84.00M,-143.00M,-39.00M,40.00M,,-58.00M,,-58.00M,,,-338.00M,-387.00M,,,,349.00M,47.00M,-117.00M,-70.00M,,-95.00M,,,183.00M,,697.00M,-164.00M,-9.00M,524.00M,,47.00M,,,-117.00M,,,
2004-12,124.00M,,,,-133.00M,20.00M,4.00M,24.00M,24.00M,4.00M,,,,67.00M,-83.00M,94.00M,,219.00M,-67.00M,-211.00M,25.00M,-23.00M,-31.00M,90.00M,,-52.00M,16.00M,214.00M,,-699.00M,639.00M,-116.00M,,,,105.00M,42.00M,-224.00M,-182.00M,,0.00,,,-77.00M,,802.00M,-103.00M,26.00M,697.00M,,42.00M,,,-224.00M,,AOR,Restated
2004-09,101.00M,,,,30.00M,82.00M,4.00M,86.00M,86.00M,4.00M,,,,8.00M,38.00M,-20.00M,,-47.00M,28.00M,141.00M,,140.00M,0.00,369.00M,,-69.00M,-23.00M,-92.00M,,0.00,-380.00M,-472.00M,,,,143.00M,53.00M,-120.00M,-67.00M,,-45.00M,,,31.00M,,866.00M,-72.00M,10.00M,802.00M,,53.00M,,,-120.00M,,,
2004-06,109.00M,,,,31.00M,82.00M,4.00M,86.00M,86.00M,21.00M,,,,1.00M,47.00M,-114.00M,,66.00M,-36.00M,148.00M,-46.00M,65.00M,16.00M,329.00M,,-64.00M,11.00M,-53.00M,,0.00,-178.00M,-231.00M,,,,89.00M,42.00M,-1.00M,41.00M,,-45.00M,,,85.00M,,685.00M,183.00M,-2.00M,866.00M,,42.00M,,,-1.00M,,,
2004-03,41.00M,,,,72.00M,81.00M,3.00M,84.00M,84.00M,,,,,9.00M,-110.00M,-161.00M,,168.00M,75.00M,-78.00M,46.00M,-60.00M,16.00M,162.00M,,-65.00M,12.00M,-53.00M,,38.00M,16.00M,1.00M,,,,-250.00M,50.00M,-70.00M,-20.00M,,-45.00M,,,-315.00M,,838.00M,-152.00M,-1.00M,685.00M,,50.00M,,,-70.00M,,,
2003-12,92.00M,,,,-180.00M,89.00M,5.00M,94.00M,94.00M,-83.00M,,,,112.00M,336.00M,213.00M,-42.00M,10.00M,,61.00M,,414.00M,,530.00M,,-97.00M,-98.00M,102.00M,,45.00M,483.00M,347.00M,,,,-399.00M,55.00M,0.00,55.00M,,-89.00M,,0.00,-619.00M,,232.00M,258.00M,21.00M,838.00M,,55.00M,,,0.00,,AOR,Restated
2003-09,49.00M,,,,78.00M,81.00M,4.00M,85.00M,85.00M,24.00M,,,,16.00M,-51.00M,59.00M,42.00M,3.00M,-100.00M,9.00M,,-38.00M,83.00M,297.00M,,-77.00M,28.00M,-49.00M,,,-403.00M,-452.00M,,,,-123.00M,9.00M,1.00M,10.00M,,-44.00M,,-8.00M,21.00M,,371.00M,-134.00M,-5.00M,232.00M,,9.00M,,,1.00M,,,
2003-06,85.00M,,,,50.00M,82.00M,4.00M,86.00M,86.00M,0.00,,,,-7.00M,9.00M,145.00M,,-131.00M,-56.00M,58.00M,,25.00M,-19.00M,220.00M,,-74.00M,85.00M,11.00M,,-1.00M,370.00M,380.00M,,,,-636.00M,1.00M,-21.00M,-20.00M,,-44.00M,,,-700.00M,,457.00M,-100.00M,14.00M,371.00M,,1.00M,,,-21.00M,,,
2003-03,66.00M,,,,37.00M,84.00M,5.00M,89.00M,89.00M,18.00M,,,,16.00M,-126.00M,-138.00M,,12.00M,156.00M,-128.00M,,-224.00M,-64.00M,-62.00M,,-49.00M,9.00M,-40.00M,,1.00M,-301.00M,-340.00M,,,,637.00M,2.00M,-44.00M,-42.00M,,-45.00M,,,550.00M,,307.00M,148.00M,2.00M,457.00M,,2.00M,,,-44.00M,,,
2002-12,622.00M,,,,-652.00M,87.00M,4.00M,91.00M,91.00M,276.00M,,,,120.00M,154.00M,141.00M,,-303.00M,126.00M,70.00M,-302.00M,-114.00M,,454.00M,,-85.00M,20.00M,230.00M,27.00M,,497.00M,5.00M,,,,-330.00M,4.00M,-44.00M,-40.00M,,-45.00M,,,-415.00M,,203.00M,44.00M,,307.00M,,4.00M,,,-44.00M,,AOR,Restated
2002-09,71.00M,,,,73.00M,86.00M,7.00M,93.00M,93.00M,34.00M,,,,-8.00M,-32.00M,8.00M,,-14.00M,-34.00M,-32.00M,-18.00M,-122.00M,,141.00M,,-64.00M,16.00M,-48.00M,-2.00M,,-276.00M,-326.00M,,,,-189.00M,1.00M,-40.00M,-39.00M,,0.00,,,-228.00M,,616.00M,-413.00M,,203.00M,,1.00M,,,-40.00M,,,
2002-06,-383.00M,,,,514.00M,75.00M,8.00M,83.00M,83.00M,-9.00M,,,,8.00M,-140.00M,60.00M,,72.00M,11.00M,36.00M,,39.00M,,252.00M,,-78.00M,0.00,-78.00M,,,-34.00M,-112.00M,,,,281.00M,3.00M,-97.00M,-94.00M,,-91.00M,,,96.00M,,380.00M,236.00M,,616.00M,,3.00M,,,-97.00M,,,
2002-03,57.00M,,,,40.00M,84.00M,7.00M,91.00M,91.00M,25.00M,,,,,-2.00M,-112.00M,,-129.00M,-103.00M,-74.00M,,-420.00M,,-207.00M,,-68.00M,26.00M,-42.00M,,,-214.00M,-256.00M,,,,680.00M,16.00M,-67.00M,-51.00M,,-46.00M,,,583.00M,,260.00M,120.00M,,380.00M,,16.00M,,,-67.00M,,,
2001-12,257.00M,,,,-800.00M,100.00M,23.00M,123.00M,123.00M,131.00M,,,,412.00M,186.00M,252.00M,,112.00M,144.00M,47.00M,,669.00M,,874.00M,,-133.00M,,482.00M,0.00,244.00M,530.00M,724.00M,,,,-1.591B,-24.00M,-3.00M,-27.00M,,-46.00M,,,-1.637B,,299.00M,-39.00M,,260.00M,,-24.00M,,,-3.00M,,AOR,Restated
2001-09,-330.00M,,,,357.00M,97.00M,32.00M,129.00M,129.00M,-61.00M,,,,-21.00M,18.00M,61.00M,,-40.00M,9.00M,8.00M,,56.00M,,130.00M,,-126.00M,,-126.00M,-46.00M,6.00M,-20.00M,-186.00M,,,,157.00M,3.00M,-2.00M,1.00M,,-46.00M,,,112.00M,,243.00M,56.00M,,299.00M,,3.00M,,,-2.00M,,,
2001-06,126.00M,,,,48.00M,105.00M,30.00M,135.00M,135.00M,13.00M,,,,11.00M,-5.00M,-20.00M,,-59.00M,-12.00M,-3.00M,,-99.00M,,234.00M,,-150.00M,,-150.00M,-392.00M,,-132.00M,-674.00M,,,,508.00M,8.00M,0.00,8.00M,,-46.00M,,,470.00M,,213.00M,30.00M,,243.00M,,8.00M,,,0.00,,,
2001-03,113.00M,,,,53.00M,98.00M,29.00M,127.00M,127.00M,13.00M,,,,-3.00M,-199.00M,-190.00M,,24.00M,-141.00M,-52.00M,,-558.00M,,-255.00M,,-123.00M,,-123.00M,-158.00M,,97.00M,-184.00M,,,,438.00M,13.00M,-42.00M,-29.00M,,-46.00M,,,363.00M,,289.00M,-76.00M,,213.00M,,13.00M,,,-42.00M,,,
2000-12,-218.00M,,,,-49.00M,382.00M,112.00M,124.00M,124.00M,0.00,,,,515.00M,159.00M,165.00M,,-8.00M,41.00M,82.00M,,233.00M,,642.00M,,-169.00M,,358.00M,-10.00M,-243.00M,244.00M,-178.00M,,,,-207.00M,-11.00M,-69.00M,-80.00M,,-46.00M,,,-319.00M,,144.00M,145.00M,,289.00M,,-11.00M,,,-69.00M,,,Restated
2000-09,158.00M,,,,10.00M,,,123.00M,123.00M,36.00M,,,,-13.00M,12.00M,60.00M,,-21.00M,-24.00M,-121.00M,,-94.00M,,220.00M,,-112.00M,,-112.00M,-84.00M,0.00,457.00M,261.00M,,,,-486.00M,3.00M,-37.00M,-34.00M,,-47.00M,,,-567.00M,,230.00M,-86.00M,,144.00M,,3.00M,,,-37.00M,,,
2000-06,179.00M,,,,10.00M,-94.00M,-27.00M,126.00M,126.00M,21.00M,,,,-6.00M,34.00M,-50.00M,,-101.00M,42.00M,-26.00M,,-101.00M,,229.00M,,-127.00M,,-127.00M,19.00M,-25.00M,-424.00M,-557.00M,,,,566.00M,3.00M,-97.00M,-94.00M,,-48.00M,,,424.00M,,134.00M,96.00M,,230.00M,,3.00M,,,-97.00M,,,
2000-03,158.00M,,,,7.00M,94.00M,27.00M,121.00M,121.00M,-48.00M,,,,2.00M,-136.00M,-170.00M,,-8.00M,-59.00M,65.00M,,-308.00M,,-68.00M,,-119.00M,,-119.00M,-19.00M,-109.00M,-201.00M,-448.00M,,,,634.00M,5.00M,-150.00M,-145.00M,,-48.00M,,,441.00M,,209.00M,-75.00M,,134.00M,,5.00M,,,-150.00M,,,
1999-12,201.00M,,,,-20.00M,,,122.00M,122.00M,20.00M,,,,-7.00M,70.00M,152.00M,,113.00M,-10.00M,-28.00M,,297.00M,,613.00M,,-182.00M,-205.00M,-387.00M,-841.00M,,-199.00M,-1.427B,,,,853.00M,3.00M,-239.00M,-236.00M,,-4.00M,,,613.00M,,410.00M,-201.00M,,209.00M,,3.00M,,,-239.00M,,,
1999-09,146.00M,,,,8.00M,,,111.00M,111.00M,8.00M,,,,-8.00M,47.00M,-38.00M,,22.00M,17.00M,53.00M,,101.00M,,366.00M,,-128.00M,-221.00M,-349.00M,-733.00M,,9.00M,-1.073B,,,,937.00M,4.00M,-34.00M,-30.00M,,-48.00M,,,859.00M,,258.00M,152.00M,,410.00M,,4.00M,,,-34.00M,,,
1999-06,1.777B,,,,-1.608B,,,108.00M,108.00M,35.00M,,,,-5.00M,-15.00M,-71.00M,,13.00M,-52.00M,-44.00M,,-169.00M,,138.00M,,-72.00M,-469.00M,-541.00M,,,-460.00M,-1.001B,,,,845.00M,17.00M,-105.00M,-88.00M,,-49.00M,,,708.00M,,0.00,-155.00M,,258.00M,,17.00M,,,-105.00M,,,
1999-03,145.00M,,,,7.00M,,,99.00M,99.00M,,,,,10.00M,-68.00M,-30.00M,,1.00M,-99.00M,-66.00M,,-262.00M,,-1.00M,,-150.00M,3.845B,3.695B,,,-151.00M,3.544B,,,,-2.745B,26.00M,-373.00M,-347.00M,,-91.00M,,,-3.183B,,53.00M,360.00M,,0.00,,26.00M,,,-373.00M,,,
1998-12,160.00M,,,,-71.00M,,,100.00M,100.00M,-16.00M,,,,23.00M,15.00M,67.00M,,58.00M,32.00M,38.00M,,210.00M,125.00M,531.00M,,285.00M,-43.00M,242.00M,,,-319.00M,-1.033B,,,,904.00M,27.00M,-431.00M,-404.00M,,-5.00M,,,495.00M,,60.00M,-7.00M,,53.00M,,27.00M,,,-431.00M,,,
1998-09,142.00M,,,,121.00M,,,93.00M,93.00M,-11.00M,,,,12.00M,-18.00M,-26.00M,,41.00M,-17.00M,35.00M,,15.00M,-125.00M,247.00M,,-564.00M,0.00,-564.00M,,,537.00M,-27.00M,,,,61.00M,5.00M,-281.00M,-276.00M,,-45.00M,,,-260.00M,,0.00,-40.00M,,60.00M,,5.00M,,,-281.00M,,,
1998-06,164.00M,,,,-71.00M,,,86.00M,86.00M,11.00M,,,,-5.00M,-25.00M,-44.00M,,-40.00M,-3.00M,71.00M,,-41.00M,,144.00M,,113.00M,160.00M,273.00M,,,-489.00M,-216.00M,,,,189.00M,9.00M,,9.00M,,-46.00M,,,152.00M,,0.00,80.00M,,0.00,,9.00M,,,,,,
1998-03,142.00M,,,,97.00M,,,82.00M,82.00M,,,,,-22.00M,-88.00M,-154.00M,,-13.00M,-123.00M,118.00M,,-260.00M,,39.00M,,-309.00M,,-309.00M,,,-57.00M,-366.00M,,,,321.00M,30.00M,,30.00M,,-47.00M,,,304.00M,,43.00M,-23.00M,,0.00,,30.00M,,,,,,
1997-12,150.00M,,,,-147.00M,,,87.00M,87.00M,,,,,-3.00M,104.00M,98.00M,,95.00M,69.00M,-155.00M,,211.00M,137.00M,503.00M,,-156.00M,0.00,-156.00M,,0.00,-78.00M,-234.00M,,,,-19.00M,6.00M,-198.00M,-192.00M,,-78.00M,,,-289.00M,,0.00,-20.00M,,43.00M,,6.00M,,,-198.00M,,,
1997-09,138.00M,,,,-35.00M,,,13.00M,13.00M,,,,,33.00M,1.00M,-16.00M,,-22.00M,-70.00M,25.00M,,-82.00M,-137.00M,-70.00M,,-426.00M,-22.00M,-448.00M,,32.00M,1.002B,586.00M,,,,-544.00M,5.00M,-18.00M,-13.00M,,-41.00M,,,-598.00M,,0.00,-82.00M,,0.00,,5.00M,,,-18.00M,,,
1997-06,145.00M,,,,63.00M,,,108.00M,108.00M,,,,,-4.00M,-53.00M,-33.00M,,-13.00M,-58.00M,28.00M,,-129.00M,,183.00M,,280.00M,22.00M,302.00M,,226.00M,-593.00M,-65.00M,,,,40.00M,11.00M,-106.00M,-95.00M,,-42.00M,,,-97.00M,,0.00,21.00M,,0.00,,11.00M,,,-106.00M,,,
1997-03,125.00M,,,,66.00M,,,102.00M,102.00M,,,,,-25.00M,-8.00M,-138.00M,,14.00M,-8.00M,-1.00M,,-141.00M,,127.00M,,-436.00M,549.00M,113.00M,,-7.00M,-181.00M,-75.00M,,,,72.00M,16.00M,-6.00M,10.00M,,-41.00M,,,41.00M,,47.00M,93.00M,,0.00,,16.00M,,,-6.00M,,,
1996-12,128.00M,,,,9.00M,,,-19.00M,-19.00M,,,,,-162.00M,-25.00M,117.00M,,78.00M,-5.00M,-102.00M,,63.00M,-390.00M,-356.00M,,-313.00M,0.00,-313.00M,,21.00M,644.00M,352.00M,,,,-526.00M,13.00M,-27.00M,-14.00M,,-37.00M,,483.00M,-94.00M,,0.00,-98.00M,,0.00,,13.00M,,,-27.00M,,,
1996-09,-35.00M,,,,59.00M,,,97.00M,97.00M,,,,,103.00M,-7.00M,-37.00M,,-5.00M,-56.00M,92.00M,,-13.00M,143.00M,354.00M,,-87.00M,180.00M,93.00M,,-6.00M,-215.00M,-128.00M,,,,-74.00M,4.00M,-122.00M,-118.00M,,-37.00M,,-12.00M,-241.00M,,0.00,-15.00M,,0.00,,4.00M,,,-122.00M,,,
1996-06,125.00M,,,,55.00M,,,97.00M,97.00M,,,,,-33.00M,30.00M,-31.00M,,7.00M,-22.00M,85.00M,,69.00M,58.00M,371.00M,,-74.00M,,-74.00M,,-2.00M,-384.00M,-460.00M,,,,246.00M,7.00M,-41.00M,-34.00M,,-37.00M,,12.00M,187.00M,,0.00,98.00M,,0.00,,7.00M,,,-41.00M,,,
1996-03,35.00M,,,,54.00M,,,92.00M,92.00M,,,,,76.00M,-31.00M,-82.00M,,-18.00M,-27.00M,-1.00M,,-159.00M,189.00M,287.00M,,-54.00M,,-54.00M,,-12.00M,-220.00M,-286.00M,,,,115.00M,18.00M,-110.00M,-92.00M,,-37.00M,,,-14.00M,,84.00M,-13.00M,,0.00,,18.00M,,,-110.00M,,,
1995-12,127.00M,,,,-23.00M,,,107.00M,107.00M,31.00M,,,,154.00M,49.00M,4.00M,,20.00M,-8.00M,-131.00M,,-66.00M,,330.00M,,-86.00M,-832.00M,-918.00M,,809.00M,-213.00M,-322.00M,,,,26.00M,10.00M,-7.00M,3.00M,,-33.00M,,19.00M,15.00M,,0.00,23.00M,-2.00M,0.00,,10.00M,,,-7.00M,,,
1995-09,122.00M,,,,53.00M,,,104.00M,104.00M,29.00M,,,,89.00M,-24.00M,16.00M,,21.00M,36.00M,40.00M,,89.00M,,486.00M,,-64.00M,433.00M,369.00M,,-1.258B,508.00M,-381.00M,,,,-88.00M,14.00M,0.00,14.00M,,-33.00M,,-41.00M,-148.00M,,0.00,-43.00M,1.00M,0.00,,14.00M,,,0.00,,,
1995-06,121.00M,,,,47.00M,,,102.00M,102.00M,21.00M,,,,68.00M,-42.00M,8.00M,,-39.00M,4.00M,-18.00M,,-87.00M,,272.00M,,-93.00M,279.00M,186.00M,,,-420.00M,-234.00M,,,,71.00M,11.00M,-56.00M,-45.00M,,-34.00M,,36.00M,28.00M,,0.00,66.00M,2.00M,0.00,,11.00M,,,-56.00M,,,
1995-03,109.00M,,,,51.00M,,,102.00M,102.00M,11.00M,,,,97.00M,-23.00M,-56.00M,,51.00M,-23.00M,-123.00M,,-174.00M,,196.00M,,-40.00M,120.00M,80.00M,,,-643.00M,-563.00M,,,,391.00M,7.00M,-37.00M,-30.00M,,-33.00M,,43.00M,371.00M,,49.00M,4.00M,-1.00M,0.00,,7.00M,,,-37.00M,,,
1994-12,112.00M,,,,56.00M,,,95.00M,95.00M,53.00M,,,,-159.00M,10.00M,37.00M,,22.00M,-15.00M,163.00M,,217.00M,,374.00M,,-104.00M,374.00M,270.00M,,-174.00M,-656.00M,-560.00M,,,,274.00M,1.00M,,-165.00M,,218.00M,,-185.00M,142.00M,,0.00,-44.00M,6.00M,0.00,,1.00M,,,,,,
1994-09,111.00M,,,,47.00M,,,157.00M,157.00M,12.00M,,,,73.00M,-32.00M,38.00M,,-2.00M,-30.00M,-39.00M,,-65.00M,,335.00M,,-67.00M,118.00M,51.00M,,-137.00M,-318.00M,-404.00M,,,,76.00M,2.00M,,2.00M,,-31.00M,,38.00M,85.00M,,0.00,16.00M,0.00,0.00,,2.00M,,,,,,
1994-06,110.00M,,,,46.00M,,,74.00M,74.00M,10.00M,,,,159.00M,-16.00M,15.00M,,-15.00M,12.00M,-47.00M,,-51.00M,,348.00M,,-71.00M,,-71.00M,,-165.00M,-130.00M,-366.00M,,,,30.00M,3.00M,,3.00M,,-32.00M,,50.00M,51.00M,,0.00,33.00M,12.00M,0.00,,3.00M,,,,,,
1994-03,100.00M,,,,51.00M,,,72.00M,72.00M,17.00M,,,,98.00M,-125.00M,-26.00M,,29.00M,-25.00M,15.00M,,-132.00M,,206.00M,,-60.00M,,-60.00M,,-104.00M,-120.00M,-284.00M,,,,96.00M,6.00M,,6.00M,,-31.00M,,18.00M,89.00M,,26.00M,11.00M,-11.00M,0.00,,6.00M,,,,,,
1993-12,102.50M,,,,53.00M,,,-36.50M,-36.50M,,,,,278.50M,20.90M,149.40M,,-20.20M,33.20M,-104.00M,,79.30M,,476.80M,,-88.80M,,-88.80M,,-254.90M,-155.10M,-498.80M,,,,4.70M,4.40M,,4.40M,,-27.60M,,14.80M,-3.70M,,0.00,-25.70M,2.00M,0.00,,4.40M,,,,,,
1993-09,99.50M,,,,45.90M,,,183.00M,183.00M,,,,,43.70M,8.10M,40.20M,,20.40M,-91.70M,12.30M,,-10.70M,,361.40M,,-62.10M,,-62.10M,,-95.20M,-160.90M,-318.20M,,,,-6.70M,2.30M,,2.30M,,-27.50M,,15.60M,-16.30M,,0.00,26.90M,-2.90M,0.00,,2.30M,,,,,,
1993-06,94.30M,,,,47.00M,,,68.90M,68.90M,-12.00M,,,,45.30M,-12.60M,33.50M,,91.80M,3.00M,-98.30M,,17.40M,,260.90M,,-58.30M,,-58.30M,,-54.60M,-267.10M,-380.00M,,,,86.10M,7.40M,,7.40M,,-27.50M,,24.70M,90.70M,,0.00,-28.40M,2.00M,0.00,,7.40M,,,,,,
1993-03,82.80M,,,,48.80M,,,65.40M,65.40M,12.00M,,,,146.10M,-43.10M,-47.20M,,16.20M,-23.90M,-56.80M,,-154.80M,,200.30M,,-42.60M,,-42.60M,,-151.40M,-111.50M,-305.50M,,,,115.10M,5.40M,,5.40M,,-27.50M,,33.30M,126.30M,,31.10M,21.10M,0.10M,0.00,,5.40M,,,,,,
1992-12,77.20M,,,,61.10M,,,205.30M,205.30M,,,,,25.30M,62.70M,52.50M,,-64.20M,-6.90M,-19.60M,,24.50M,,393.40M,,-58.70M,,-58.70M,,-48.10M,-134.60M,-241.40M,,,,-158.80M,18.90M,,18.90M,,-24.60M,,28.90M,-135.60M,,0.00,16.40M,-0.70M,0.00,,18.90M,,,,,,
1992-09,86.80M,,,,43.70M,,,64.90M,64.90M,,,,,90.90M,-14.10M,36.90M,,94.70M,-13.60M,-42.20M,,61.70M,,348.00M,,-45.90M,,-45.90M,,-79.40M,-318.20M,-443.50M,,,,112.70M,4.60M,,4.60M,,-24.50M,,3.60M,96.40M,,0.00,0.90M,-1.60M,0.00,,4.60M,,,,,,
1992-06,84.10M,,,,50.70M,,,66.60M,66.60M,,,,,118.70M,-13.20M,34.70M,,-61.50M,78.80M,-131.30M,,-92.50M,,227.60M,,-50.70M,,-50.70M,,-207.10M,-115.20M,-373.00M,,,,88.00M,2.60M,,2.60M,,-24.50M,,15.70M,81.80M,,0.00,-63.60M,0.80M,0.00,,2.60M,,,,,,
1992-03,76.00M,,,,40.50M,,,59.40M,59.40M,,,,,98.40M,-37.00M,-69.30M,,-19.40M,-80.50M,4.40M,,-201.80M,,72.50M,,-61.80M,,-61.80M,,-21.60M,-992.00M,-1.075B,,,,1.042B,7.60M,,7.60M,,-24.50M,,6.10M,1.031B,,50.10M,27.80M,1.00M,0.00,,7.60M,,,,,,
1991-12,83.30M,,,,47.60M,,,56.20M,56.20M,9.30M,,,,132.80M,106.90M,57.90M,,-3.10M,-5.50M,-52.20M,,104.00M,,433.20M,,-43.30M,2.10M,-41.20M,,-80.20M,-321.50M,-442.90M,,,,34.80M,5.40M,,5.40M,,-24.40M,,8.40M,24.20M,,0.00,14.50M,-1.90M,0.00,,5.40M,,,,,,
1991-09,75.70M,,,,41.00M,,,57.70M,57.70M,0.70M,,,,128.80M,45.00M,-56.80M,,19.00M,-66.40M,42.60M,,-16.60M,,287.30M,,-34.60M,6.70M,-27.90M,,-118.70M,-137.90M,-284.50M,,,,15.40M,3.80M,,3.80M,,-21.70M,,-1.10M,-3.60M,,0.00,-0.80M,1.20M,0.00,,3.80M,,,,,,
1991-06,74.10M,,,,51.30M,,,55.20M,55.20M,-5.10M,,,,79.40M,-1.30M,5.40M,,-7.80M,-14.50M,-84.20M,,-102.40M,,152.50M,,-40.40M,2.10M,-38.30M,,-112.10M,-65.00M,-215.40M,,,,45.90M,17.20M,,17.20M,,-21.70M,,16.10M,57.50M,,0.00,-5.40M,0.00,0.00,,17.20M,,,,,,
1991-03,66.40M,,,,38.00M,,,53.70M,53.70M,-1.20M,,,,112.10M,-73.70M,-71.10M,,-41.30M,-27.10M,-90.20M,,-303.40M,,-34.40M,,-37.30M,2.70M,-34.60M,,-108.40M,-125.60M,-268.60M,,,,281.80M,,,,,-21.60M,,19.30M,279.50M,,66.40M,-23.50M,-0.40M,0.00,,,,,,,,
1990-12,78.10M,,,,48.10M,,,54.30M,54.30M,-24.30M,,,,132.30M,-6.40M,82.60M,,-14.40M,-11.40M,-34.40M,,16.00M,,304.50M,,-56.40M,3.90M,-52.50M,,-5.70M,-269.20M,-327.40M,,,,94.30M,,-32.00M,-32.00M,,-21.50M,,10.80M,51.60M,,0.00,28.70M,-0.30M,0.00,,,,,-32.00M,,,
1990-09,66.60M,,,,38.20M,,,55.60M,55.60M,1.30M,,,,67.30M,-5.40M,-15.60M,,4.50M,-31.70M,25.90M,,-22.30M,,206.70M,,-42.00M,4.40M,-37.60M,,-58.60M,-198.30M,-294.50M,,,,151.30M,,-38.50M,-38.50M,,-21.90M,,1.00M,91.90M,,0.00,4.10M,0.90M,0.00,,,,,-38.50M,,,
1990-06,72.10M,,,,32.80M,,,52.60M,52.60M,8.70M,,,,98.80M,67.60M,11.20M,,24.30M,-3.00M,-73.80M,,26.30M,,291.30M,,-43.60M,2.30M,-41.30M,,-54.60M,-252.10M,-348.00M,,,,127.90M,,-28.10M,-28.10M,,-22.40M,,-0.70M,76.70M,,0.00,20.00M,0.20M,0.00,,,,,-28.10M,,,
1990-03,66.20M,,,,28.10M,,,57.50M,57.50M,5.80M,,,,85.40M,-126.90M,-51.60M,,11.90M,-27.80M,-73.90M,,-268.30M,,-25.30M,,-49.20M,2.60M,-46.60M,,-100.00M,-67.10M,-213.70M,,,,244.80M,,,,,-22.60M,,0.60M,222.80M,,29.30M,-16.20M,-0.30M,0.00,,,,,,,,
