,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,2.596B,2.596B,2.056B,540.00M,,,314.00M,13.00M,,,,,,380.00M,160.00M,,,,13.00M,,109.00M,17.00M,92.00M,-9.00M,,,83.00M,81.03M,102.00M,94.00M,8.00M,,0.34,-0.035,,,0.2998,0.305,,0.335,-0.035,,,0.2954,0.30,,272.91M,277.17M,0.1625,,AOR,Restated
2003-09,2.243B,2.243B,1.718B,525.00M,,,317.00M,-67.00M,,,,,,317.00M,208.00M,,,,-67.00M,,70.00M,23.00M,47.00M,,,,47.00M,91.99M,293.00M,85.00M,208.00M,,0.175,0.00,,,0.3408,0.175,,0.17,0.00,,,0.3344,0.17,,271.25M,273.66M,0.1625,,,
2003-06,2.53B,2.53B,1.959B,571.00M,,,349.00M,-24.00M,,,,,,349.00M,222.00M,,,,-24.00M,,130.00M,38.00M,85.00M,-22.00M,,,63.00M,101.98M,308.00M,86.00M,222.00M,,0.315,-0.08,,,0.3777,0.235,,0.31,-0.08,,,0.3723,0.23,,270.76M,272.51M,0.1625,,,
2003-03,2.399B,2.399B,1.862B,537.00M,,,351.00M,-13.00M,,,,,,351.00M,186.00M,,,,-13.00M,,-105.00M,33.00M,66.00M,,,-6.00M,66.00M,73.80M,275.00M,89.00M,186.00M,,0.24,0.00,,,0.2687,0.24,,0.24,0.00,,,0.2685,0.24,,271.98M,274.12M,0.1625,,,
2002-12,2.554B,2.554B,1.926B,628.00M,,,276.00M,4.00M,,,,,,362.00M,266.00M,,,,4.00M,,203.00M,62.00M,134.00M,,0.00,,131.00M,131.22M,222.00M,91.00M,131.00M,,0.485,-0.02,0.00,,0.4749,0.465,,0.48,-0.02,-0.0062,,0.4700,0.465,,274.56M,277.10M,0.1625,,AOR,Restated
2002-09,2.554B,2.554B,1.981B,573.00M,,,324.00M,-73.00M,,,,,,324.00M,249.00M,,,,-73.00M,,96.00M,19.00M,71.00M,,,,71.00M,129.55M,342.00M,93.00M,249.00M,,0.255,0.00,,,0.4674,0.255,,0.255,0.00,,,0.4654,0.255,,275.70M,278.29M,0.1625,,,
2002-06,2.824B,2.824B,2.175B,649.00M,,,375.00M,-26.00M,,,,,99.00M,474.00M,175.00M,,,,-26.00M,,175.00M,63.00M,105.00M,,,-7.00M,105.00M,121.64M,258.00M,83.00M,175.00M,,0.375,0.00,,,0.4346,0.375,,0.37,0.00,,,0.4288,0.37,,278.97M,283.20M,0.1625,,,
2002-03,2.418B,2.418B,1.879B,539.00M,,,360.00M,-10.00M,,,,,,360.00M,179.00M,,,,-10.00M,,86.00M,29.00M,57.00M,,,-6.00M,57.00M,63.63M,270.00M,91.00M,179.00M,,0.205,0.00,,,0.2286,0.205,,0.20,0.00,,,0.2233,0.20,,280.81M,283.92M,0.1625,,,
2001-12,3.183B,3.183B,2.538B,645.00M,,,408.00M,18.00M,,,,,,148.00M,497.00M,,,,18.00M,,441.00M,158.00M,257.00M,,,,257.00M,245.45M,183.00M,123.00M,60.00M,,0.91,0.00,,,0.8691,0.91,,0.905,0.00,,,0.8662,0.905,,282.49M,297.59M,0.1625,,AOR,Restated
2001-09,2.81B,2.81B,2.385B,425.00M,,,355.00M,-355.00M,,,,,,355.00M,70.00M,,,,-355.00M,,-399.00M,-69.00M,-330.00M,,,-6.00M,-330.00M,-36.39M,199.00M,129.00M,70.00M,,-1.17,0.00,,,-0.1303,-1.17,,-1.17,0.00,,,-0.1303,-1.17,,282.39M,282.39M,0.1625,,,
2001-06,3.288B,3.288B,2.524B,764.00M,,,414.00M,-35.00M,,,,,145.00M,559.00M,205.00M,,,,-35.00M,,205.00M,72.00M,126.00M,,,-7.00M,126.00M,148.71M,340.00M,135.00M,205.00M,,0.445,0.00,,,0.5255,0.445,,0.44,0.00,,,0.5192,0.44,,282.11M,286.82M,0.1625,,,
2001-03,3.04B,3.04B,2.215B,825.00M,,,378.00M,-42.00M,,,,,,476.00M,349.00M,,,,-42.00M,,179.00M,66.00M,113.00M,,,-6.00M,113.00M,139.51M,476.00M,127.00M,349.00M,,0.40,0.00,,,0.4942,0.40,,0.395,0.00,,,0.4879,0.395,,281.47M,285.50M,0.1625,,,
2000-12,3.312B,3.312B,2.509B,803.00M,,,380.00M,-457.00M,,,,,,417.00M,386.00M,,,,-457.00M,,-174.00M,18.00M,-218.00M,,0.00,,-218.00M,56.20M,27.00M,124.00M,-97.00M,,-0.75,0.205,0.00,,0.2156,-0.75,,-0.75,0.00,-0.0009,,0.2030,-0.75,,283.98M,287.73M,0.1625,,,Restated
2000-09,3.208B,3.208B,2.45B,758.00M,,,358.00M,-11.00M,,,,,,358.00M,400.00M,,,,-11.00M,,251.00M,93.00M,158.00M,,,-6.00M,158.00M,164.92M,523.00M,123.00M,400.00M,,0.55,0.00,,,0.5742,0.55,,0.54,0.00,,,0.5638,0.54,,286.37M,290.65M,0.1625,,,
2000-06,3.222B,3.222B,2.333B,889.00M,,,349.00M,,,,,,,475.00M,414.00M,,,,,,284.00M,105.00M,179.00M,,,-7.00M,179.00M,179.00M,540.00M,126.00M,414.00M,,0.625,0.00,,,0.625,0.625,,0.615,0.00,,,0.615,0.615,,287.96M,292.61M,0.1625,,,
2000-03,3.293B,3.293B,2.481B,812.00M,,,346.00M,-6.00M,,,,,,440.00M,372.00M,,,,-6.00M,,251.00M,93.00M,158.00M,,-59.00M,-6.00M,99.00M,161.78M,493.00M,121.00M,372.00M,,0.53,-0.20,0.00,,0.5429,0.33,,0.53,-0.20,-0.2017,,0.5427,0.33,,292.56M,297.64M,0.1625,,,
1999-12,3.509B,3.509B,2.555B,954.00M,,,455.00M,0.00,,,,,,577.00M,377.00M,,,,0.00,,273.00M,103.00M,170.00M,31.00M,,-7.00M,201.00M,170.00M,499.00M,122.00M,377.00M,,0.41,0.2586,,-0.0040,0.41,-4.79,,0.41,0.2586,,-0.0040,0.41,-4.79,,301.14M,308.72M,0.1625,,,
1999-09,2.709B,2.709B,1.998B,711.00M,,,310.00M,3.00M,,,,,,420.00M,291.00M,,,,3.00M,,236.00M,90.00M,146.00M,,,-6.00M,146.00M,144.14M,402.00M,111.00M,291.00M,,0.485,0.00,,,0.4788,0.485,,0.475,0.00,,,0.4690,0.475,,300.14M,306.81M,0.1625,,,
1999-06,2.887B,2.887B,2.113B,774.00M,,,352.00M,-2.00M,,,,,,460.00M,314.00M,,,,-2.00M,,259.00M,97.00M,162.00M,,,-7.00M,162.00M,163.25M,422.00M,108.00M,314.00M,,0.54,0.00,,,0.5442,0.54,,0.525,0.00,,,0.5291,0.525,,301.02M,308.19M,0.1625,,,
1999-03,2.749B,2.749B,2.137B,612.00M,,,233.00M,16.00M,,,,,,332.00M,280.00M,,,,16.00M,,236.00M,91.00M,145.00M,,,-6.00M,1.717B,135.17M,379.00M,99.00M,280.00M,,0.475,5.155,,5.155,0.4428,5.63,,0.465,5.035,,5.036,0.4335,5.50,,304.97M,312.18M,0.1625,,,
1998-12,2.786B,2.786B,2.047B,739.00M,,,360.00M,0.00,,,,,,460.00M,279.00M,,,,0.00,,193.00M,73.00M,120.00M,40.00M,,-7.00M,160.00M,120.00M,379.00M,100.00M,279.00M,,0.375,0.1531,,,0.375,-0.005,,0.375,0.1531,,,0.375,-0.005,,325.82M,334.33M,0.1425,,,
1998-09,2.352B,2.352B,1.74B,612.00M,,,258.00M,,,,,,,351.00M,261.00M,,,,,,178.00M,70.00M,108.00M,34.00M,,-6.00M,142.00M,108.00M,354.00M,93.00M,261.00M,,0.335,0.10,,,0.335,0.435,,0.325,0.10,,,0.325,0.425,,326.44M,334.12M,0.1425,,,
1998-06,2.484B,2.484B,1.831B,653.00M,,,262.00M,10.00M,,,,,,379.00M,274.00M,,,,10.00M,,202.00M,86.00M,116.00M,48.00M,,-7.00M,164.00M,110.00M,391.00M,86.00M,274.00M,,0.355,0.145,,,0.3367,0.50,,0.35,0.14,,,0.3321,0.49,,328.00M,334.69M,0.1425,,,
1998-03,2.252B,2.252B,1.683B,569.00M,,,247.00M,,,,,,,329.00M,240.00M,,,,,,164.00M,65.00M,99.00M,43.00M,,-6.00M,142.00M,99.00M,322.00M,82.00M,240.00M,,0.30,0.135,,,0.30,0.435,,0.295,0.13,,,0.295,0.425,,326.44M,334.12M,0.1425,,,
1997-12,2.595B,2.595B,1.774B,821.00M,,,242.00M,,,,,,,329.00M,492.00M,,,,,,169.00M,68.00M,101.00M,49.00M,,,150.00M,101.00M,579.00M,87.00M,492.00M,,0.305,0.155,,,0.305,0.46,,0.295,0.15,,,0.295,0.445,,323.22M,334.41M,0.125,,,
1997-09,1.95B,1.95B,1.483B,467.00M,,,226.00M,86.00M,,,,,,332.00M,135.00M,,,,86.00M,,149.00M,58.00M,91.00M,47.00M,,,138.00M,38.48M,241.00M,13.00M,135.00M,,0.275,0.14,,,0.1170,0.415,,0.27,0.135,,,0.1159,0.405,,332.53M,340.74M,0.125,,,
1997-06,2.667B,2.667B,1.622B,1.045B,,,380.00M,-137.00M,,,,,,488.00M,557.00M,,,,-137.00M,,240.00M,95.00M,145.00M,,,,145.00M,227.77M,665.00M,108.00M,557.00M,,0.44,0.00,,,0.6912,0.44,,0.43,0.00,,,0.6755,0.43,,329.55M,337.21M,0.125,,,
1997-03,2.551B,2.551B,1.554B,997.00M,,,362.00M,-140.00M,,,,,,464.00M,533.00M,,,,-140.00M,,210.00M,85.00M,125.00M,,,,125.00M,209.00M,635.00M,102.00M,533.00M,,0.375,0.00,,,0.627,0.375,,0.365,0.00,,,0.6103,0.365,,333.33M,342.47M,0.125,,,
1996-12,660.00M,660.00M,1.548B,-888.00M,,,-174.00M,,,,,,,-193.00M,-695.00M,,,,,,-74.00M,-26.00M,-48.00M,176.00M,,,128.00M,-48.00M,-714.00M,-19.00M,-695.00M,,-0.14,0.525,,,-0.14,0.385,,-0.14,0.525,,,-0.14,0.37,,321.59M,344.03M,0.11,,,
1996-09,2.248B,2.248B,1.298B,950.00M,,,335.00M,-134.00M,,,,,,432.00M,518.00M,,,,-134.00M,,201.00M,81.00M,120.00M,-155.00M,,,-35.00M,200.40M,615.00M,97.00M,518.00M,,0.36,-0.465,,,0.6012,-0.105,,0.35,-0.465,,,0.5797,-0.105,,333.33M,350.00M,0.11,,,
1996-06,2.384B,2.384B,1.423B,961.00M,,,342.00M,-130.00M,,,,,,439.00M,522.00M,,,,-130.00M,,209.00M,84.00M,125.00M,,,,125.00M,203.00M,619.00M,97.00M,522.00M,,0.37,0.00,,,0.6009,0.37,,0.365,0.00,,,0.5928,0.365,,337.84M,342.47M,0.11,,,
1996-03,2.214B,2.214B,1.301B,913.00M,,,331.00M,-198.00M,,,,,,423.00M,490.00M,,,,-198.00M,,,,109.00M,-74.00M,,,35.00M,227.80M,582.00M,92.00M,490.00M,,0.32,-0.215,,,0.6764,0.105,,0.315,-0.215,,,0.6544,0.10,,333.33M,350.00M,0.11,,,
1995-12,2.659B,2.659B,1.282B,1.377B,,,415.00M,-436.00M,,,,,,522.00M,855.00M,,,,-436.00M,,212.00M,85.00M,127.00M,,,-3.00M,127.00M,388.60M,962.00M,107.00M,855.00M,,0.3625,0.00,,,1.109,0.3625,,0.3625,0.00,,,1.109,0.3625,,350.53M,350.53M,0.0975,,,
1995-09,2.425B,2.425B,1.172B,1.253B,,,384.00M,-359.00M,,,,,,488.00M,765.00M,,,,-359.00M,,204.00M,82.00M,122.00M,,,-4.00M,122.00M,337.40M,869.00M,104.00M,765.00M,,0.355,0.00,,,0.9818,0.355,,0.355,0.00,,,0.9818,0.355,,343.66M,343.66M,0.0975,,,
1995-06,2.502B,2.502B,1.249B,1.253B,,,380.00M,-357.00M,,,,,,482.00M,771.00M,,,,-357.00M,,202.00M,81.00M,121.00M,,,-3.00M,121.00M,335.20M,873.00M,102.00M,771.00M,,0.35,0.00,,,0.9696,0.35,,0.35,0.00,,,0.9696,0.35,,345.71M,345.71M,0.0975,,,
1995-03,2.387B,2.387B,1.171B,1.216B,,,378.00M,-349.00M,,,,,,480.00M,736.00M,,,,-349.00M,,182.00M,73.00M,109.00M,,,-3.00M,109.00M,318.40M,838.00M,102.00M,736.00M,,0.315,0.00,,,0.9201,0.315,,0.315,0.00,,,0.9201,0.315,,346.03M,346.03M,0.0975,,,
1994-12,2.377B,2.377B,1.17B,1.207B,,,382.00M,-328.00M,,,,,,477.00M,730.00M,,,,-328.00M,,213.00M,101.00M,112.00M,,,,112.00M,308.80M,825.00M,95.00M,730.00M,,0.315,0.00,,,0.8743,0.315,,0.315,0.00,,,0.8576,0.315,,351.86M,362.71M,0.0875,,,
1994-09,2.381B,2.381B,1.237B,1.144B,,,368.00M,-325.00M,,,,,,469.00M,675.00M,,,,-325.00M,,182.00M,71.00M,111.00M,,,,111.00M,309.21M,832.00M,157.00M,675.00M,,0.31,0.00,,,0.8636,0.31,,0.31,0.00,,,0.8636,0.31,,358.06M,358.06M,0.0875,,,
1994-06,2.517B,2.517B,1.41B,1.107B,,,380.00M,-310.00M,,,,,,453.00M,654.00M,,,,-310.00M,,181.00M,71.00M,110.00M,,,,110.00M,298.40M,728.00M,74.00M,654.00M,,0.305,0.00,,,0.8274,0.305,,0.305,0.00,,,0.8274,0.305,,360.66M,360.66M,0.0875,,,
1994-03,2.408B,2.408B,1.354B,1.054B,,,361.00M,-298.00M,,,,,,433.00M,621.00M,,,,-298.00M,,165.00M,65.00M,100.00M,,,,100.00M,280.61M,693.00M,72.00M,621.00M,,0.275,0.00,,,0.7717,0.275,,0.275,0.00,,,0.7717,0.275,,363.64M,363.64M,0.0875,,,
1993-12,2.427B,2.427B,1.491B,936.20M,,,350.10M,-290.40M,,,,,,313.60M,622.60M,,,,-290.40M,,167.40M,64.90M,102.50M,,,,102.50M,280.31M,586.10M,-36.50M,622.60M,,0.2873,,,,0.7901,0.2873,,0.2873,,,,0.7901,0.2873,,353.65M,353.65M,0.0775,,,
1993-09,2.233B,2.233B,1.140B,1.093B,,,370.40M,-291.50M,,,,,,476.20M,616.60M,,,,-291.50M,,158.10M,58.60M,99.50M,,,,99.50M,282.96M,799.60M,183.00M,616.60M,,0.275,0.00,,,0.7820,0.275,,0.275,0.00,,,0.7820,0.275,,361.82M,361.82M,0.0775,,,
1993-06,2.253B,2.253B,1.222B,1.032B,,,364.20M,-281.80M,,,,,,431.40M,600.10M,,,,-281.80M,,153.40M,59.10M,94.30M,,,,94.30M,267.53M,669.00M,68.90M,600.10M,,0.265,0.00,,,0.7518,0.265,,0.265,0.00,,,0.7518,0.265,,355.85M,355.85M,0.0775,,,
1993-03,2.165B,2.165B,1.156B,1.009B,,,356.50M,-281.50M,,,,,,421.90M,587.20M,,,,-281.50M,,134.60M,51.80M,82.80M,,,,82.80M,255.97M,652.60M,65.40M,587.20M,,0.23,0.00,,,0.7110,0.23,,0.23,0.00,,,0.7110,0.23,,360.00M,360.00M,0.0775,,,
1992-12,2.160B,2.160B,1.029B,1.130B,,,331.40M,-291.70M,,,,,,536.70M,593.70M,,,,-291.70M,,122.20M,45.00M,77.20M,,,,-602.30M,261.48M,799.00M,205.30M,593.70M,,0.025,0.00,,,0.5475,0.025,,0.01,0.00,,,0.5325,0.01,,352.71M,352.71M,0.07,,,
1992-09,2.031B,2.031B,984.80M,1.046B,,,377.70M,-280.50M,,,,,,441.30M,605.00M,,,,-280.50M,,141.10M,54.30M,86.80M,,,,86.80M,259.35M,669.90M,64.90M,605.00M,,0.245,0.00,,,0.7320,0.245,,0.245,0.00,,,0.7320,0.245,,354.29M,354.29M,0.07,,,
1992-06,2.162B,2.162B,1.121B,1.040B,,,376.30M,-273.00M,,,,,,439.30M,601.10M,,,,-273.00M,,137.50M,53.40M,84.10M,,,,84.10M,251.08M,667.70M,66.60M,601.10M,,0.24,0.00,,,0.7165,0.24,,0.24,0.00,,,0.7165,0.24,,350.42M,350.42M,0.07,,,
1992-03,1.995B,1.995B,989.10M,1.006B,,,361.40M,-270.80M,,,,,,420.80M,585.20M,,,,-270.80M,,126.20M,50.20M,76.00M,,,,76.00M,239.08M,644.60M,59.40M,585.20M,,0.215,0.00,,,0.6763,0.215,,0.215,0.00,,,0.6763,0.215,,353.49M,353.49M,0.07,,,
1991-12,2.016B,2.016B,1.027B,989.30M,,,326.30M,-289.90M,,,,,,382.50M,606.80M,,,,-289.90M,,133.40M,50.10M,83.30M,,,,83.30M,264.32M,663.00M,56.20M,606.80M,,0.2387,,,,0.7642,0.2387,,0.2387,,,,0.7642,0.2387,,344.43M,344.43M,0.07,,,
1991-09,1.906B,1.906B,932.70M,973.40M,,,329.60M,-273.40M,,,,,,385.10M,588.30M,,,,-273.40M,,125.40M,49.70M,75.70M,,,,75.70M,240.74M,646.00M,57.70M,588.30M,,0.215,0.00,,,0.6837,0.215,,0.215,0.00,,,0.6837,0.215,,352.09M,352.09M,0.0625,,,
1991-06,2.009B,2.009B,1.055B,954.10M,,,345.20M,-261.00M,,,,,,381.50M,572.60M,,,,-261.00M,,123.90M,49.80M,74.10M,,,,74.10M,230.70M,627.80M,55.20M,572.60M,,0.215,0.00,,,0.6694,0.215,,0.215,0.00,,,0.6694,0.215,,344.65M,344.65M,0.0625,,,
1991-03,1.909B,1.909B,962.10M,946.60M,,,335.70M,-251.20M,,,,,,389.40M,557.20M,,,,-251.20M,,112.30M,45.90M,66.40M,,,,66.40M,217.12M,610.90M,53.70M,557.20M,,0.19,0.00,,,0.6213,0.19,,0.19,0.00,,,0.6213,0.19,,349.47M,349.47M,0.0625,,,
1990-12,2.145B,2.145B,1.199B,946.30M,,,315.70M,-248.40M,,,,,,370.00M,576.30M,,,,-248.40M,,130.30M,52.20M,78.10M,,,,78.10M,227.14M,630.60M,54.30M,576.30M,,0.225,0.00,,,0.6647,0.225,,0.225,0.00,,,0.6647,0.225,,338.94M,338.94M,0.0625,,,
1990-09,1.899B,1.899B,960.90M,938.40M,,,338.20M,-242.20M,,,,,,393.40M,545.00M,,,,-242.20M,,106.90M,40.30M,66.60M,,,,66.60M,217.49M,600.60M,55.60M,545.00M,,0.19,0.00,,,0.6205,0.19,,0.19,0.00,,,0.6205,0.19,,350.53M,350.53M,0.0625,,,
1990-06,1.989B,1.989B,1.028B,960.60M,,,349.60M,-246.60M,,,,,,404.70M,555.90M,,,,-246.60M,,116.40M,44.30M,72.10M,,,,72.10M,224.85M,611.00M,52.60M,555.90M,,0.20,0.00,,,0.6237,0.20,,0.20,0.00,,,0.6237,0.20,,360.50M,360.50M,0.0625,,,
1990-03,1.884B,1.884B,959.60M,924.30M,,,340.10M,-232.90M,,,,,,397.60M,526.70M,,,,-232.90M,,105.60M,39.40M,66.20M,,,,66.20M,212.20M,584.20M,57.50M,526.70M,,0.185,0.00,,,0.5930,0.185,,0.185,0.00,,,0.5930,0.185,,357.84M,357.84M,0.0625,,,
1989-12,1.025B,1.025B,,,,,,,,,,,,,-5.271B,,,,,,,,86.60M,,,,86.60M,,-5.271B,,-5.271B,,,,,,,,,,,,,,,,355.79M,355.79M,0.0625,,,
1989-09,1.735B,1.735B,,,,,,,,,,,,,1.735B,,,,,,,,59.50M,,,,59.50M,,1.735B,,1.735B,,0.165,0.00,,,0.165,0.165,,0.165,0.00,,,0.165,0.165,,355.24M,355.24M,0.0625,,,
1989-06,1.847B,1.847B,,,,,,,,,,,,,1.847B,,,,,,,,68.80M,,,,68.80M,,1.847B,,1.847B,,0.195,0.00,,,0.195,0.195,,0.195,0.00,,,0.195,0.195,,339.82M,339.82M,0.0625,,,
1989-03,1.825B,1.825B,,,,,,,,,,,,,1.825B,,,,,,,,63.30M,,,,63.30M,,1.825B,,1.825B,,0.185,0.00,,,0.185,0.185,,0.185,0.00,,,0.185,0.185,,339.82M,339.82M,0.0625,,,
1988-12,1.918B,1.918B,,,,,,,,,,,,,-3.636B,,,,,,,,72.00M,,,,72.00M,,-3.636B,,-3.636B,,,,,,,,,,,,,,,,339.82M,339.82M,0.0625,,,
1988-09,1.736B,1.736B,,,,,,,,,,,,,1.736B,,,,,,,,62.80M,,,,62.80M,,1.736B,,1.736B,,0.18,0.00,,,0.18,0.18,,0.18,0.00,,,0.18,0.18,,356.41M,356.41M,0.0625,,,
1988-06,1.811B,1.811B,,,,,,,,,,,,,1.811B,,,,,,,,68.90M,,,,68.90M,,1.811B,,1.811B,,0.195,0.00,,,0.195,0.195,,0.195,0.00,,,0.195,0.195,,356.41M,356.41M,0.0625,,,
1988-03,1.334B,1.334B,,,,,,,,,,,,,1.334B,,,,,,,,68.40M,,,,68.40M,,1.334B,,1.334B,,0.19,0.00,,,0.19,0.19,,0.19,0.00,,,0.19,0.19,,357.60M,357.60M,0.0625,,,
1987-12,1.382B,1.382B,,,,,,,,,,,,,-3.610B,,,,,,,,55.30M,-23.40M,,,31.90M,,-3.610B,,-3.610B,,,-0.0669,,,,-0.0669,,,-0.0669,,,,-0.0669,,349.85M,349.85M,0.0625,,,
1987-09,1.286B,1.286B,,,,,,,,,,,,,1.286B,,,,,,,,57.60M,23.40M,,,81.00M,,1.286B,,1.286B,,0.16,0.065,,,0.16,0.225,,0.16,0.065,,,0.16,0.225,,345.83M,345.83M,0.0625,,,
1987-06,1.352B,1.352B,,,,,,,,,,,,,1.352B,,,,,,,,86.70M,4.30M,,,91.00M,,1.352B,,1.352B,,0.255,0.015,,,0.255,0.27,,0.255,0.015,,,0.255,0.27,,345.83M,345.83M,0.0625,,,
1987-03,1.368B,1.368B,,,,,,,,,,,,,1.368B,,,,,,,,61.50M,-1.30M,,,60.20M,,1.368B,,1.368B,,0.185,-0.005,,,0.185,0.18,,0.185,-0.005,,,0.185,0.18,,345.83M,345.83M,0.0563,,,
1986-12,1.541B,1.541B,,,,,,,,,,,,,-3.081B,,,,,,,,65.90M,-4.90M,,,61.00M,,-3.081B,,-3.081B,,,-0.0150,,,,-0.0150,,,-0.0150,,,,-0.0150,,326.58M,326.58M,0.0563,,,
1986-09,1.339B,1.339B,,,,,,,,,,,,,1.339B,,,,,,,,65.20M,8.00M,,,73.20M,,1.339B,,1.339B,,0.20,0.025,,,0.20,0.225,,0.20,0.025,,,0.20,0.225,,329.89M,329.89M,0.0563,,,
1986-06,1.128B,1.128B,,,,,,,,,,,,,1.128B,,,,,,,,61.00M,0.30M,,,61.30M,,1.128B,,1.128B,,0.185,0.00,,,0.185,0.185,,0.185,0.00,,,0.185,0.185,,315.27M,315.27M,0.0563,,,
1986-03,1.015B,1.015B,,,,,,,,,,,,,1.015B,,,,,,,,49.50M,0.90M,,,50.40M,,1.015B,,1.015B,,0.155,0.005,,,0.155,0.16,,0.155,0.005,,,0.155,0.16,,328.54M,328.54M,0.0563,,,
1985-12,1.186B,1.186B,,,,,,,,,,,,,-2.560B,,,,,,,,58.00M,14.00M,,,72.00M,,-2.560B,,-2.560B,,,0.0448,,,,0.0448,,,0.0448,,,,0.0448,,312.58M,312.58M,0.0563,,,
1985-09,936.00M,936.00M,,,,,,,,,,,,,936.00M,,,,,,,,40.70M,13.70M,,,54.40M,,936.00M,,936.00M,,0.14,0.05,,,0.14,0.19,,0.14,0.05,,,0.14,0.19,,306.84M,306.84M,,,,
1985-06,994.80M,994.80M,,,,,,,,,,,,,994.80M,,,,,,,,38.90M,9.70M,,,48.60M,,994.80M,,994.80M,,0.135,0.035,,,0.135,0.17,,0.135,0.035,,,0.135,0.17,,272.10M,272.10M,,,,
1985-03,921.20M,921.20M,,,,,,,,,,,,,921.20M,,,,,,,,42.50M,6.10M,,,48.60M,,921.20M,,921.20M,,0.15,0.025,,,0.15,0.175,,0.15,0.025,,,0.15,0.175,,270.33M,270.33M,,,,
1984-12,887.50M,887.50M,,,,,,,,,,,,,-2.133B,,,,,,,,34.50M,,,,34.50M,,-2.133B,,-2.133B,,,,,,,,,,,,,,,,289.26M,289.26M,,,,
1984-09,744.40M,744.40M,,,,,,,,,,,,,744.40M,,,,,,,,25.30M,,,,25.30M,,744.40M,,744.40M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,270.30M,270.30M,,,,
1984-06,810.80M,810.80M,,,,,,,,,,,,,810.80M,,,,,,,,27.20M,,,,27.20M,,810.80M,,810.80M,,0.095,0.00,,,0.095,0.095,,0.095,0.00,,,0.095,0.095,,276.49M,276.49M,,,,
1984-03,778.40M,778.40M,,,,,,,,,,,,,778.40M,,,,,,,,26.50M,,,,26.50M,,778.40M,,778.40M,,0.09,0.00,,,0.09,0.09,,0.09,0.00,,,0.09,0.09,,275.87M,275.87M,,,,
