,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2001-06,77.96M,1.786B,1.864B,262.49M,1.506B,1.768B,94.49M,,,3.727B,,,,,,543.62M,-326.49M,217.13M,,918.99M,918.99M,,,88.09M,1.224B,4.951B,77.85M,,,77.85M,222.26M,300.11M,,,36.12M,,36.12M,157.08M,157.08M,1.288B,1.781B,310.19M,,310.19M,37.30M,,37.30M,,,1.447B,1.794B,3.575B,1.254M,856.28M,463.19M,18.18M,73.43M,1.376B
2001-03,82.15M,1.892B,1.974B,273.00M,2.069B,2.342B,86.08M,,,4.402B,,,,,,544.62M,-326.49M,218.13M,,928.36M,928.36M,,,88.68M,1.235B,5.637B,72.81M,,,72.81M,188.65M,261.46M,,,13.00M,,13.00M,163.11M,163.11M,1.850B,2.287B,362.56M,,362.56M,48.81M,,48.81M,,,1.623B,2.034B,4.322B,1.254M,804.30M,460.39M,24.26M,73.75M,1.315B
2000-12,98.86M,1.797B,1.896B,,,2.459B,,,91.08M,4.446B,,,,,,532.04M,-326.49M,205.56M,,846.74M,846.74M,,,88.26M,1.141B,5.586B,80.63M,,,80.63M,,80.63M,,,19.72M,,19.72M,,,2.182B,2.282B,334.96M,,334.96M,34.99M,,34.99M,,,1.682B,2.052B,4.334B,1.254M,753.53M,455.44M,37.03M,78.87M,1.252B
2000-09,93.93M,1.690B,1.784B,,,3.069B,,,92.95M,4.946B,,,,,,505.48M,-297.60M,207.88M,,857.96M,857.96M,,,89.49M,1.155B,6.101B,79.09M,,,79.09M,,79.09M,,,181.60M,,181.60M,,,4.085B,4.345B,466.22M,,466.22M,58.94M,,58.94M,,,,525.16M,4.870B,1.254M,709.44M,454.14M,39.63M,105.36M,1.231B
2000-06,72.51M,2.745B,2.817B,,,242.54M,,,98.75M,3.158B,,,,,,,,209.94M,,838.68M,838.68M,,,1.787B,2.836B,5.994B,66.99M,,,66.99M,,66.99M,,,271.30M,,271.30M,,,2.432B,2.770B,457.25M,,457.25M,42.96M,,42.96M,,,1.566B,2.066B,4.836B,1.254M,664.69M,456.49M,52.69M,87.80M,1.158B
2000-03,74.66M,4.768B,4.842B,,,244.99M,,,94.14M,5.182B,,,,,,,,203.86M,,798.90M,798.90M,,,74.65M,1.077B,6.259B,68.68M,,,68.68M,,68.68M,,,449.02M,,449.02M,,,2.786B,3.303B,434.38M,,434.38M,85.01M,,85.01M,,,1.285B,1.805B,5.108B,1.254M,619.67M,459.31M,64.70M,135.47M,1.151B
1999-12,80.55M,1.634B,1.714B,,,2.431B,,,89.38M,4.235B,,,,,,492.93M,-297.60M,195.33M,,802.07M,802.07M,,,75.26M,1.073B,5.308B,66.40M,,,66.40M,,66.40M,,,234.35M,,234.35M,,,1.954B,2.254B,472.82M,,472.82M,59.96M,,59.96M,,,1.430B,1.962B,4.217B,1.254M,576.51M,458.55M,70.32M,125.03M,1.091B
1999-09,75.90M,,75.90M,,,2.194B,,,1.718B,3.989B,,,,,,4.642B,-4.446B,195.70M,,797.80M,797.80M,,,81.00M,1.074B,5.063B,68.20M,,,68.20M,,68.20M,,,146.60M,,146.60M,,,3.253B,3.468B,534.40M,,534.40M,22.10M,,22.10M,,,18.40M,574.90M,4.043B,1.30M,541.60M,458.00M,62.40M,82.40M,1.021B
1999-06,62.40M,,62.40M,,,2.606B,,,1.330B,3.998B,,,,,,4.633B,-4.446B,186.90M,,652.40M,652.40M,,,496.20M,1.336B,5.334B,54.60M,,,54.60M,,54.60M,,,156.20M,,156.20M,,,3.573B,3.784B,390.90M,,390.90M,69.60M,,69.60M,,,14.90M,475.40M,4.259B,,506.40M,,,,1.074B
1999-03,81.50M,,81.50M,,,1.939B,,,1.549B,3.570B,,,,,,4.631B,-4.446B,184.90M,,608.70M,608.70M,,,82.80M,876.40M,4.446B,59.50M,,,59.50M,,59.50M,,,139.70M,,139.70M,,,2.916B,3.115B,355.10M,,355.10M,9.50M,,9.50M,,,19.50M,384.10M,3.500B,,472.10M,,,,946.50M
1998-12,71.60M,,71.60M,,,1.650B,,,1.377B,3.098B,,,,,,464.80M,-285.40M,179.40M,,595.20M,595.20M,,,85.84M,860.44M,3.958B,65.40M,,,65.40M,,65.40M,,,38.40M,,38.40M,,,2.564B,2.668B,389.60M,,389.60M,,,,,,14.74M,404.34M,3.073B,,438.60M,,,,885.80M
1998-09,87.80M,,87.80M,,,238.40M,,,90.50M,416.70M,,,,,,388.60M,-221.10M,167.50M,,488.60M,488.60M,,,3.024B,3.680B,4.097B,56.70M,,,56.70M,,56.70M,,,33.90M,,33.90M,,,2.826B,2.916B,333.60M,,333.60M,,,,,,20.80M,354.40M,3.271B,,409.10M,,,,826.40M
1998-06,65.70M,,65.70M,,,214.90M,,,92.40M,373.00M,,,,,,379.90M,-221.10M,158.80M,,485.20M,485.20M,,,2.914B,3.558B,3.931B,56.70M,,,56.70M,,56.70M,,,104.60M,,104.60M,,,1.364B,1.525B,302.20M,,302.20M,,,,,,1.306B,1.608B,3.133B,,380.20M,,,,797.50M
1998-03,83.10M,,83.10M,,,145.50M,,,86.50M,315.10M,,,,,,374.10M,-221.10M,153.00M,,482.50M,482.50M,,,2.570B,3.206B,3.521B,58.50M,,,58.50M,,58.50M,,,53.70M,,53.70M,,,1.167B,1.279B,343.60M,,343.60M,,,,,,1.136B,1.480B,2.759B,,351.50M,,,,762.10M
1997-12,89.40M,,89.40M,,,197.80M,,,91.30M,378.50M,,,,,,370.20M,-221.10M,149.10M,,405.70M,405.70M,,,2.703B,3.258B,3.636B,53.80M,,,53.80M,,53.80M,,,95.00M,,95.00M,,,2.458B,2.607B,252.00M,,252.00M,,,,,,8.40M,260.40M,2.867B,,324.50M,,,,769.30M
