,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,851.00M,,851.00M,2.259B,728.00M,352.00M,3.682B,7.953B,255.00M,4.301B,256.00M,18.65B,0.00,464.00M,5.082B,18.24B,1.096B,24.88B,-14.93B,9.948B,,,3.834B,5.388B,938.00M,20.11B,38.76B,,2.609B,343.00M,4.564B,7.516B,1.05B,8.566B,1.642B,1.642B,,1.642B,90.00M,90.00M,1.161B,11.72B,5.981B,5.981B,1.002B,1.002B,2.00M,53.00M,1.289B,8.325B,20.04B,,2.489B,18.13B,,,,,-1.911B,18.71B,,AOR,Restated
2018-03,797.00M,,797.00M,2.643B,494.00M,562.00M,4.277B,9.82B,259.00M,4.408B,312.00M,20.91B,0.00,473.00M,5.098B,18.19B,1.216B,24.98B,-14.86B,10.12B,,,3.97B,5.242B,859.00M,20.19B,41.10B,,3.34B,281.00M,4.959B,8.58B,1.112B,9.692B,2.343B,2.343B,,2.343B,194.00M,194.00M,847.00M,13.28B,6.657B,6.657B,1.037B,1.037B,5.00M,59.00M,1.325B,9.078B,22.36B,,2.428B,17.76B,,,,,-1.451B,18.73B,,AOR,Restated
2017-12,804.00M,0.00,804.00M,2.424B,419.00M,500.00M,3.762B,9.173B,232.00M,4.826B,372.00M,19.92B,0.00,541.00M,5.043B,17.98B,1.224B,24.79B,-14.66B,10.14B,2.374B,1.544B,3.918B,5.18B,802.00M,20.04B,39.96B,,3.894B,239.00M,5.352B,9.485B,997.00M,10.48B,870.00M,870.00M,,870.00M,519.00M,519.00M,464.00M,12.57B,6.623B,6.623B,1.053B,1.053B,9.00M,53.00M,1.342B,9.071B,21.64B,,2.398B,17.55B,,,,,-1.637B,18.31B,,AOR,Restated
2017-09,518.00M,261.00M,779.00M,2.385B,413.00M,511.00M,3.726B,8.326B,248.00M,5.04B,179.00M,19.14B,0.00,467.00M,4.974B,17.86B,1.166B,24.46B,-14.51B,9.956B,,,3.939B,5.179B,755.00M,19.83B,38.97B,,3.449B,,5.499B,8.948B,1.05B,9.998B,741.00M,741.00M,,741.00M,570.00M,570.00M,564.00M,11.87B,6.595B,6.595B,1.754B,1.754B,7.00M,53.00M,1.117B,9.519B,21.39B,,2.39B,17.02B,,,,,-1.843B,17.57B,,AOR,Restated
2017-06,433.00M,237.00M,670.00M,2.147B,358.00M,422.00M,3.267B,7.846B,285.00M,5.07B,175.00M,18.20B,0.00,453.00M,4.872B,17.62B,1.227B,24.17B,-14.23B,9.945B,,,3.866B,5.055B,750.00M,19.62B,37.82B,,2.926B,,5.364B,8.29B,1.26B,9.55B,924.00M,924.00M,,924.00M,366.00M,366.00M,581.00M,11.42B,6.056B,6.056B,1.606B,1.606B,7.00M,27.00M,1.289B,8.978B,20.40B,,2.376B,17.18B,,,,,-2.141B,17.41B,,AOR,Restated
2017-03,476.00M,272.00M,748.00M,2.231B,370.00M,1.206B,4.201B,8.664B,214.00M,5.376B,321.00M,20.49B,0.00,448.00M,4.715B,17.23B,1.228B,23.62B,-13.85B,9.771B,,,3.78B,4.896B,697.00M,19.14B,39.63B,,3.415B,,6.358B,9.773B,1.369B,11.14B,1.251B,1.251B,,1.251B,635.00M,635.00M,574.00M,13.60B,5.956B,5.956B,1.682B,1.682B,8.00M,26.00M,1.235B,8.899B,22.50B,,2.35B,17.34B,,,,,-2.574B,17.12B,,AOR,Restated
2016-12,619.00M,296.00M,915.00M,2.426B,380.00M,1.126B,4.405B,8.831B,268.00M,5.011B,451.00M,21.04B,0.00,445.00M,4.679B,17.16B,1.213B,23.50B,-13.74B,9.758B,2.246B,1.457B,3.703B,4.684B,579.00M,18.72B,39.77B,,3.606B,,6.01B,9.616B,1.414B,11.03B,427.00M,427.00M,,427.00M,1.065B,1.065B,651.00M,13.17B,6.504B,6.504B,1.669B,1.669B,8.00M,24.00M,1.218B,9.415B,22.59B,,2.327B,17.44B,,,,,-2.598B,17.17B,,AOR,Restated
2016-09,701.00M,256.00M,957.00M,2.757B,309.00M,1.213B,4.844B,7.228B,214.00M,5.397B,460.00M,20.54B,0.00,457.00M,4.754B,17.35B,1.091B,23.66B,-13.80B,9.853B,,,3.852B,4.959B,646.00M,19.31B,39.85B,,2.927B,,6.371B,9.298B,1.313B,10.61B,479.00M,479.00M,,479.00M,873.00M,873.00M,774.00M,12.74B,6.594B,6.594B,1.642B,1.642B,18.00M,40.00M,1.284B,9.56B,22.30B,,2.536B,17.19B,,,,,-2.19B,17.54B,,AOR,Restated
2016-06,334.00M,396.00M,730.00M,2.839B,336.00M,702.00M,4.528B,8.00B,211.00M,5.54B,185.00M,20.87B,0.00,457.00M,4.736B,17.32B,972.00M,23.48B,-13.68B,9.802B,,,3.865B,4.916B,648.00M,19.23B,40.10B,,2.77B,,6.09B,8.86B,1.287B,10.15B,1.825B,1.825B,,1.825B,369.00M,369.00M,1.437B,13.78B,5.561B,5.561B,1.685B,1.685B,14.00M,41.00M,1.364B,8.651B,22.43B,,2.714B,17.08B,,,,,-2.138B,17.66B,,AOR,Restated
2016-03,706.00M,525.00M,1.231B,2.539B,311.00M,1.488B,4.33B,7.914B,457.00M,5.271B,604.00M,20.97B,0.00,465.00M,4.768B,17.38B,970.00M,23.58B,-13.69B,9.891B,,,3.889B,4.53B,401.00M,18.71B,39.68B,,2.969B,,6.383B,9.352B,1.263B,10.62B,795.00M,795.00M,,795.00M,781.00M,781.00M,676.00M,12.87B,5.851B,5.851B,1.621B,1.621B,14.00M,,1.429B,8.901B,21.77B,,2.875B,16.97B,,,,,-1.947B,17.90B,,AOR,Restated
2015-12,910.00M,438.00M,1.348B,2.886B,360.00M,872.00M,4.66B,8.243B,406.00M,5.214B,687.00M,21.83B,0.00,454.00M,4.715B,17.16B,946.00M,23.27B,-13.42B,9.853B,2.185B,1.503B,3.688B,4.34B,447.00M,18.33B,40.16B,,3.474B,,6.704B,10.18B,1.472B,11.65B,98.00M,98.00M,,98.00M,1.152B,1.152B,605.00M,13.50B,5.779B,5.779B,1.563B,1.563B,16.00M,0.00,1.395B,8.737B,22.24B,,3.18B,16.86B,,,,,-2.146B,17.90B,,AOR,Restated
2015-09,720.00M,417.00M,1.137B,3.268B,479.00M,,3.739B,7.428B,,5.166B,2.594B,23.04B,0.00,443.00M,4.656B,17.07B,1.039B,23.21B,-13.31B,9.90B,,,3.213B,4.345B,374.00M,17.83B,40.88B,,3.072B,,5.80B,8.872B,3.268B,12.14B,953.00M,953.00M,,953.00M,,,1.037B,14.13B,5.829B,5.829B,1.678B,1.678B,15.00M,,1.362B,8.869B,23.00B,,3.412B,16.31B,,,,,-1.862B,17.86B,,AOR,Restated
2015-06,867.00M,309.00M,1.176B,3.33B,636.00M,,3.96B,7.845B,,4.732B,1.733B,22.59B,0.00,437.00M,4.664B,17.04B,908.00M,23.04B,-13.15B,9.897B,,,3.256B,4.422B,405.00M,17.98B,40.57B,,3.017B,,5.363B,8.38B,2.222B,10.60B,958.00M,958.00M,,958.00M,,,1.299B,12.86B,5.965B,5.965B,1.618B,1.618B,14.00M,,1.568B,9.151B,22.01B,,4.017B,16.23B,,,,,-1.705B,18.54B,,AOR,Restated
2015-03,890.00M,406.00M,1.296B,3.666B,468.00M,,4.123B,8.372B,,4.725B,2.599B,23.90B,0.00,434.00M,4.637B,16.83B,886.00M,22.79B,-12.96B,9.833B,,,3.124B,4.466B,396.00M,17.82B,41.72B,,3.142B,,5.848B,8.99B,3.228B,12.22B,866.00M,866.00M,,866.00M,,,1.151B,14.24B,5.575B,5.575B,1.614B,1.614B,33.00M,,1.534B,8.723B,22.96B,,4.584B,16.02B,,,,,-1.879B,18.72B,,AOR,Restated
2014-12,1.099B,515.00M,1.614B,4.236B,413.00M,1.605B,6.243B,9.374B,493.00M,4.877B,616.00M,26.03B,0.00,441.00M,4.668B,16.84B,819.00M,22.76B,-12.91B,9.851B,2.01B,1.382B,3.392B,4.377B,349.00M,17.97B,44.00B,,4.326B,,6.602B,10.93B,1.702B,12.63B,132.00M,132.00M,,132.00M,1.684B,1.684B,1.156B,15.60B,5.528B,5.528B,1.662B,1.662B,55.00M,,1.575B,8.765B,24.37B,,5.115B,15.70B,,,,,-1.241B,19.58B,,AOR,Restated
2014-09,4.539B,348.00M,4.887B,3.61B,383.00M,,3.981B,8.034B,,4.751B,2.76B,26.64B,0.00,409.00M,4.876B,17.49B,882.00M,23.66B,-13.66B,9.995B,,,732.00M,4.031B,424.00M,15.18B,41.82B,,3.134B,,5.745B,8.879B,3.362B,12.24B,195.00M,195.00M,,195.00M,,,1.315B,13.75B,5.346B,5.346B,1.522B,1.522B,35.00M,,941.00M,7.809B,21.56B,,5.541B,15.15B,,,,,-469.00M,20.23B,,AOR,Restated
2014-06,1.63B,366.00M,1.996B,5.617B,396.00M,,6.003B,9.024B,,4.363B,2.18B,24.66B,0.00,412.00M,4.939B,17.63B,821.00M,23.80B,-13.69B,10.11B,,,753.00M,3.958B,451.00M,15.27B,39.93B,,2.904B,,5.376B,8.28B,2.58B,10.86B,253.00M,253.00M,,253.00M,,,778.00M,11.89B,5.369B,5.369B,1.489B,1.489B,35.00M,,962.00M,7.82B,19.71B,,5.692B,14.56B,,,,,-70.00M,20.18B,,AOR,Restated
2014-03,1.083B,452.00M,1.535B,4.146B,539.00M,,4.671B,11.39B,,4.211B,2.714B,26.23B,0.00,408.00M,4.881B,17.52B,819.00M,23.63B,-13.53B,10.10B,,,758.00M,3.919B,439.00M,15.22B,41.44B,,3.653B,,5.084B,8.737B,3.443B,12.18B,320.00M,320.00M,,320.00M,,,956.00M,13.46B,5.353B,5.353B,1.48B,1.48B,39.00M,,1.093B,7.926B,21.38B,,5.995B,14.19B,,,,,-158.00M,20.02B,,AOR,Restated
2013-12,3.121B,433.00M,3.554B,4.522B,591.00M,,5.098B,11.44B,,3.961B,2.75B,28.53B,0.00,408.00M,4.877B,17.47B,773.00M,23.53B,-13.39B,10.14B,364.00M,197.00M,561.00M,4.046B,478.00M,15.22B,43.75B,,4.513B,,4.832B,9.345B,3.966B,13.31B,1.523B,1.523B,,1.523B,,,824.00M,15.66B,5.347B,5.347B,1.448B,1.448B,38.00M,,1.105B,7.90B,23.56B,,6.136B,14.08B,,,,,-57.00M,20.16B,,AOR,Restated
2013-09,3.252B,242.00M,3.494B,3.447B,,,3.447B,9.278B,,3.992B,2.784B,26.09B,0.00,406.00M,4.797B,17.46B,770.00M,23.44B,-13.31B,10.12B,552.00M,,552.00M,3.868B,813.00M,15.36B,41.45B,,2.942B,,4.734B,7.676B,1.795B,9.471B,1.52B,1.52B,,1.52B,,,2.762B,13.75B,5.364B,5.364B,1.282B,1.282B,28.00M,,1.483B,8.129B,21.88B,,6.108B,13.83B,,,,,-398.00M,19.54B,,AOR,Restated
2013-06,1.848B,181.00M,2.029B,3.52B,,,3.52B,10.19B,,3.754B,2.585B,25.04B,0.00,402.00M,4.694B,17.45B,810.00M,23.36B,-13.27B,10.09B,545.00M,,545.00M,3.865B,701.00M,15.20B,40.24B,,2.971B,,4.925B,7.896B,634.00M,8.53B,2.158B,2.158B,,2.158B,,,2.435B,13.12B,5.366B,5.366B,1.267B,1.267B,23.00M,,1.469B,8.102B,21.22B,,6.15B,13.48B,,,,,-638.00M,18.99B,,AOR,Restated
2013-03,1.448B,183.00M,1.631B,3.553B,,,3.553B,12.41B,,3.858B,3.426B,27.86B,0.00,389.00M,4.626B,17.29B,945.00M,23.25B,-13.13B,10.12B,544.00M,,544.00M,3.935B,760.00M,15.36B,43.23B,,3.474B,,5.005B,8.479B,1.798B,10.28B,3.489B,3.489B,,3.489B,,,2.376B,16.14B,5.374B,5.374B,1.256B,1.256B,23.00M,,1.478B,8.108B,24.25B,,6.175B,13.37B,,,,,-591.00M,18.95B,,AOR,Restated
2012-09,1.235B,507.00M,1.742B,3.003B,,,3.003B,13.70B,,,11.71B,30.15B,0.00,329.00M,4.697B,16.89B,1.058B,22.97B,-13.09B,9.883B,541.00M,,541.00M,4.182B,,14.61B,44.76B,,3.674B,,,3.674B,9.942B,13.62B,,3.946B,,3.946B,,,,17.56B,6.547B,6.547B,775.00M,775.00M,204.00M,,1.435B,8.757B,26.32B,,0.00,12.84B,6.13B,,,,-734.00M,18.24B,,AOR,
2012-06,1.291B,176.00M,1.467B,3.439B,,,3.439B,12.19B,,3.263B,2.901B,26.95B,0.00,325.00M,4.609B,16.73B,1.027B,22.69B,-12.88B,9.812B,603.00M,,603.00M,3.65B,752.00M,14.82B,41.77B,,2.474B,,4.166B,6.64B,1.206B,7.846B,3.785B,3.785B,,3.785B,,,2.995B,14.63B,6.535B,6.535B,1.001B,1.001B,200.00M,,1.44B,8.976B,23.60B,,6.102B,12.77B,,,,,-907.00M,17.97B,,AOR,Restated
2012-03,818.00M,428.00M,1.246B,3.078B,,,3.078B,13.23B,,,9.659B,27.22B,0.00,325.00M,4.597B,16.70B,1.012B,22.64B,-12.84B,9.80B,596.00M,,596.00M,3.705B,542.00M,14.64B,41.86B,,3.122B,,,3.122B,7.885B,11.01B,,3.787B,,3.787B,,,,14.79B,6.543B,6.543B,873.00M,873.00M,198.00M,,1.097B,8.513B,23.31B,,0.00,12.61B,6.17B,,,,-423.00M,18.35B,,AOR,
2011-12,864.00M,594.00M,1.458B,5.093B,,,5.093B,12.42B,,,8.258B,27.22B,0.00,308.00M,4.367B,16.17B,1.059B,21.90B,-12.30B,9.601B,591.00M,,591.00M,3.563B,537.00M,14.29B,41.52B,,4.136B,,,4.136B,8.257B,12.39B,,2.436B,,2.436B,,,,14.83B,6.762B,6.762B,897.00M,897.00M,188.00M,,863.00M,8.522B,23.35B,,0.00,12.32B,6.218B,,,,-563.00M,17.98B,,AOR,Restated
2011-09,1.32B,506.00M,1.826B,,,,10.34B,11.12B,,,3.995B,27.28B,0.00,307.00M,4.397B,16.22B,935.00M,21.86B,-12.20B,9.655B,607.00M,,607.00M,3.508B,399.00M,14.17B,41.45B,,7.371B,,,7.371B,4.289B,11.66B,,2.819B,,2.819B,,,,14.48B,6.678B,6.678B,836.00M,836.00M,26.00M,,1.046B,8.56B,23.04B,,0.00,12.35B,6.408B,,,,-374.00M,18.38B,,AOR,Restated
2011-06,615.00M,739.00M,1.354B,4.808B,,,4.808B,12.06B,,3.396B,2.884B,27.50B,0.00,305.00M,4.413B,16.24B,765.00M,21.73B,-12.23B,9.50B,602.00M,,602.00M,3.906B,840.00M,14.85B,42.35B,,2.581B,,4.259B,6.84B,1.566B,8.406B,2.053B,2.053B,,2.053B,,,2.759B,13.22B,8.266B,8.266B,1.018B,1.018B,30.00M,,1.012B,10.30B,23.51B,,6.636B,12.00B,,,,,176.00M,18.81B,,AOR,Restated
2011-03,858.00M,3.816B,4.674B,,,,10.43B,13.41B,,,741.00M,29.25B,0.00,302.00M,4.371B,16.05B,630.00M,21.35B,-12.03B,9.315B,594.00M,,594.00M,3.909B,693.00M,14.51B,43.76B,,7.703B,,,7.703B,3.252B,10.96B,,5.908B,,5.908B,,,,16.86B,8.35B,8.35B,517.00M,517.00M,28.00M,,1.353B,10.22B,27.08B,,0.00,11.72B,5.086B,,,,-152.00M,16.65B,,AOR,Restated
2010-12,526.00M,633.00M,1.159B,,,,10.62B,12.65B,,,3.919B,28.36B,0.00,298.00M,4.364B,15.84B,662.00M,21.16B,-11.97B,9.194B,587.00M,,587.00M,3.798B,674.00M,14.25B,42.61B,,8.141B,,,8.141B,4.085B,12.23B,,5.837B,,5.837B,,,,18.06B,6.848B,6.848B,546.00M,546.00M,18.00M,,1.249B,8.643B,26.71B,,0.00,11.24B,5.095B,,,,-451.00M,15.89B,,AOR,Restated
2010-09,862.00M,508.00M,1.37B,,,,8.174B,9.024B,,2.932B,586.00M,22.09B,0.00,289.00M,4.124B,15.48B,648.00M,20.54B,-11.64B,8.908B,531.00M,,531.00M,3.777B,734.00M,13.95B,36.04B,,7.025B,,,7.025B,3.141B,10.17B,,2.069B,,2.069B,,,,12.24B,6.834B,6.834B,395.00M,395.00M,19.00M,,1.185B,8.414B,20.65B,,0.00,10.60B,5.138B,,,,-375.00M,15.37B,,AOR,Restated
2010-06,1.046B,394.00M,1.44B,,,,6.122B,7.871B,,,2.961B,18.39B,0.00,277.00M,4.008B,15.11B,612.00M,20.00B,-11.29B,8.712B,523.00M,,523.00M,3.477B,702.00M,13.41B,31.81B,,5.538B,,,5.538B,2.577B,8.115B,,718.00M,,718.00M,,,,8.833B,6.83B,6.83B,439.00M,439.00M,22.00M,,1.075B,8.344B,17.18B,,0.00,10.36B,5.151B,,,,-899.00M,14.61B,,AOR,Restated
2010-03,1.659B,407.00M,2.066B,,,,5.876B,8.219B,,2.501B,538.00M,19.20B,0.00,262.00M,3.789B,14.58B,1.371B,20.01B,-11.36B,8.642B,519.00M,,519.00M,3.344B,621.00M,13.13B,32.33B,,6.406B,,,6.406B,2.319B,8.725B,,511.00M,,511.00M,,,,9.236B,6.91B,6.91B,425.00M,425.00M,25.00M,,986.00M,8.321B,17.56B,,0.00,10.01B,5.245B,,,,-512.00M,14.74B,,AOR,Restated
2009-12,1.317B,317.00M,1.634B,,,,7.075B,9.126B,,2.187B,366.00M,20.39B,0.00,261.00M,3.667B,14.19B,1.845B,19.96B,-11.32B,8.636B,524.00M,,524.00M,3.344B,637.00M,13.14B,33.53B,,6.832B,,,6.832B,2.301B,9.133B,,467.00M,,467.00M,,,,9.60B,7.398B,7.398B,553.00M,553.00M,30.00M,,1.183B,9.134B,18.73B,,0.00,9.686B,5.234B,,,,-155.00M,14.76B,,AOR,Restated
2009-09,2.39B,408.00M,2.798B,,,,6.60B,7.139B,,2.305B,313.00M,19.16B,0.00,254.00M,3.381B,13.35B,2.524B,19.51B,-11.14B,8.366B,531.00M,,531.00M,3.203B,606.00M,12.71B,31.86B,,5.812B,,,5.812B,2.431B,8.243B,,304.00M,,304.00M,,,,8.547B,7.573B,7.573B,316.00M,316.00M,36.00M,,1.182B,9.071B,17.62B,,0.00,9.185B,5.219B,,,,-197.00M,14.21B,,AOR,Restated
2009-06,1.055B,500.00M,1.555B,,,,7.311B,7.782B,,2.43B,330.00M,19.41B,0.00,240.00M,3.304B,13.05B,2.245B,18.84B,-10.89B,7.95B,532.00M,,532.00M,3.085B,607.00M,12.17B,31.58B,,5.786B,,,5.786B,2.695B,8.481B,,404.00M,,404.00M,,,,8.885B,7.592B,7.592B,308.00M,308.00M,26.00M,,1.144B,9.044B,17.93B,,0.00,8.778B,5.204B,,,,-355.00M,13.63B,,AOR,Restated
2009-03,2.188B,419.00M,2.607B,,,,7.236B,7.84B,,2.201B,430.00M,20.31B,0.00,229.00M,3.104B,12.58B,2.184B,18.09B,-10.51B,7.583B,493.00M,,493.00M,2.989B,596.00M,11.66B,31.98B,,6.45B,,,6.45B,2.663B,9.113B,,298.00M,,298.00M,,,,9.411B,7.751B,7.751B,644.00M,644.00M,,,742.00M,9.137B,18.55B,,0.00,8.866B,5.016B,,,,-455.00M,13.43B,,AOR,Restated
2008-12,2.248B,1.104B,3.352B,8.673B,,,8.673B,7.681B,,1.86B,538.00M,22.10B,0.00,229.00M,3.085B,12.37B,2.175B,17.86B,-10.45B,7.412B,501.00M,,501.00M,,3.884B,11.80B,33.90B,,6.762B,,,6.762B,3.727B,10.49B,,612.00M,,612.00M,,,,11.10B,7.751B,7.751B,620.00M,620.00M,,,735.00M,9.106B,20.21B,,0.00,8.947B,4.999B,,,,-252.00M,13.69B,,,Restated
2008-09,2.532B,453.00M,2.985B,8.884B,,,8.884B,8.333B,,2.285B,587.00M,23.07B,0.00,229.00M,3.072B,12.20B,2.168B,17.67B,-10.51B,7.155B,501.00M,,501.00M,,3.977B,11.63B,34.71B,,7.189B,,,7.189B,4.161B,11.35B,,751.00M,,751.00M,,,,12.10B,7.754B,7.754B,548.00M,548.00M,,,771.00M,9.073B,21.17B,,0.00,8.446B,5.001B,,,,86.00M,13.53B,,,
