,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,348.72M,348.72M,101.93M,246.80M,,11.12M,11.12M,,,,-0.068M,,56.28M,6.895M,-49.38M,,130.46M,116.34M,6.895M,56.28M,-49.38M,39.45M,-49.38M,106.41M,,106.41M,,,-5.97M,,100.44M,82.63M,282.02M,119.33M,162.69M,,1.52,,,,1.250,1.52,,1.52,,,,1.250,1.52,,66.05M,66.10M,1.86,,AOR,Restated
2018-03,347.26M,347.26M,102.73M,244.52M,,14.81M,14.81M,,,,-0.057M,,54.86M,5.909M,-48.95M,,133.92M,110.60M,5.909M,54.86M,-48.95M,34.99M,-48.95M,96.64M,,96.64M,,,-5.721M,,90.92M,89.30M,270.60M,119.10M,151.50M,,1.38,,,,1.356,1.38,,1.38,,,,1.356,1.38,,66.04M,66.08M,1.86,,AOR,Restated
2017-12,345.06M,345.06M,103.63M,241.44M,,10.66M,10.66M,,,,-2.211M,,55.56M,6.688M,-48.87M,,128.65M,112.79M,6.688M,55.56M,-48.87M,45.74M,-48.87M,109.66M,,109.66M,,,-6.049M,,103.61M,103.47M,283.21M,117.99M,165.22M,,1.57,,,,1.568,1.57,,1.57,,,,1.568,1.57,,66.04M,66.08M,1.75,,AOR,Restated
2017-09,344.37M,344.37M,104.14M,240.23M,,9.788M,9.788M,,,,-0.324M,,55.94M,5.79M,-50.15M,,127.24M,112.99M,5.79M,55.94M,-50.15M,22.19M,-50.15M,85.04M,,85.04M,,,-5.312M,,79.72M,78.25M,258.42M,117.45M,140.97M,,1.21,,,,1.188,1.21,,1.21,,,,1.188,1.21,,65.99M,66.08M,1.75,,AOR,Restated
2017-06,339.06M,339.06M,98.26M,240.80M,,10.34M,10.34M,,,,-0.274M,,56.81M,5.362M,-51.45M,,128.28M,112.52M,5.362M,56.81M,-51.45M,14.72M,-51.45M,75.80M,,75.80M,,,-5.036M,,70.76M,69.40M,250.55M,117.94M,132.61M,,1.08,,,,1.059,1.08,,1.08,,,,1.059,1.08,,65.73M,65.82M,1.75,,AOR,Restated
2017-03,335.40M,335.40M,99.51M,235.89M,,10.60M,10.60M,,,,-0.556M,,54.58M,6.764M,-47.82M,,126.10M,109.79M,6.764M,54.58M,-47.82M,125.58M,-47.82M,187.55M,,187.55M,,,-8.587M,,178.96M,162.04M,357.64M,115.50M,242.13M,,2.73,,,,2.472,2.73,,2.72,,,,2.463,2.72,,65.55M,65.86M,1.75,,AOR,Restated
2016-12,329.04M,329.04M,99.00M,230.04M,,12.22M,12.22M,,,,-0.857M,,54.93M,7.745M,-47.18M,,124.06M,105.98M,7.745M,54.93M,-47.18M,145.85M,-47.18M,204.65M,0.131M,204.52M,,,-8.948M,0.00,195.57M,59.57M,371.41M,111.84M,259.58M,,2.98,,,,0.9044,2.98,,2.98,,,,0.9074,2.98,,65.52M,65.62M,1.60,,AOR,Restated
2016-09,329.17M,329.17M,99.36M,229.81M,,9.647M,9.647M,,,,-0.495M,,56.69M,4.943M,-51.75M,,120.11M,109.70M,4.943M,56.69M,-51.75M,12.22M,-51.75M,70.16M,0.00,70.16M,,,-4.601M,,65.56M,62.91M,237.32M,110.47M,126.86M,,1.00,,,,0.9596,1.00,,1.00,,,,0.9596,1.00,,65.51M,65.62M,1.60,,AOR,Restated
2016-06,321.59M,321.59M,96.08M,225.51M,,9.698M,9.698M,,,,-0.267M,,55.57M,9.409M,-46.16M,,119.37M,106.14M,9.409M,55.57M,-46.16M,16.84M,-46.16M,76.82M,0.00,76.82M,,,-4.811M,,72.01M,69.47M,242.06M,109.67M,132.39M,,1.10,,,,1.061,1.10,,1.10,,,,1.061,1.10,,65.45M,65.58M,1.60,,AOR,Restated
2016-03,314.20M,314.20M,94.49M,219.71M,,9.182M,9.182M,,,,-0.828M,,52.47M,5.208M,-47.26M,,118.89M,100.82M,5.208M,52.47M,-47.26M,37.62M,-47.26M,91.19M,4.279M,86.91M,,,-5.071M,1.314M,81.84M,60.34M,253.36M,109.71M,143.65M,,1.19,,,,0.8614,1.19,,1.19,,,,0.8621,1.19,,65.41M,65.56M,1.60,,AOR,Restated
2015-12,310.75M,310.75M,92.14M,218.60M,,8.867M,8.867M,,,,-7.171M,,56.43M,4.323M,-52.10M,,125.34M,93.26M,4.323M,56.43M,-52.10M,44.60M,-52.10M,85.76M,,85.76M,,,-4.824M,1.314M,80.94M,57.72M,258.66M,116.48M,142.19M,,1.22,,,,0.8646,1.22,,1.22,,,,0.8658,1.22,,65.34M,65.57M,1.44,,AOR,Restated
2015-09,304.63M,304.63M,94.12M,210.51M,,11.13M,11.13M,,,,-0.381M,,50.05M,7.367M,-42.69M,,127.44M,83.07M,7.367M,50.05M,-42.69M,6.798M,-42.69M,47.18M,,47.18M,,,-3.545M,1.314M,43.64M,43.87M,213.54M,116.31M,97.24M,,0.65,,,,0.6535,0.65,,0.65,,,,0.6535,0.65,,65.14M,65.30M,1.44,,AOR,Restated
2015-06,296.16M,296.16M,90.08M,206.08M,,9.549M,9.549M,,,,-1.839M,,50.80M,3.254M,-47.55M,,123.28M,82.80M,3.254M,50.80M,-47.55M,15.28M,-47.55M,50.54M,0.00,50.54M,,,-3.674M,1.313M,46.87M,48.71M,215.08M,113.73M,101.34M,,0.70,,,,0.7284,0.70,,0.70,,,,0.7283,0.70,,64.81M,64.97M,1.44,,AOR,Restated
2015-03,282.87M,282.87M,87.17M,195.70M,,10.54M,10.54M,,,,-2.935M,,47.55M,4.199M,-43.35M,,117.45M,78.25M,4.199M,47.55M,-43.35M,29.85M,-43.35M,64.75M,0.00,64.75M,,,-4.076M,1.314M,60.68M,56.50M,219.21M,106.91M,112.30M,,0.92,,,,0.8549,0.92,,0.92,,,,0.8551,0.92,,64.19M,64.39M,1.44,,AOR,Restated
2014-12,279.27M,279.27M,88.62M,190.65M,,12.26M,12.26M,,,,-8.495M,,47.53M,3.126M,-44.40M,,118.96M,71.69M,3.126M,47.53M,-44.40M,17.52M,-44.40M,44.80M,,44.80M,,,-3.317M,1.314M,41.49M,42.34M,199.04M,106.70M,92.34M,,0.6340,0.00,,,0.6475,0.63,,0.6322,0.00,,,0.6456,0.63,,63.44M,63.46M,1.30,,AOR,Restated
2014-09,270.87M,270.87M,88.06M,182.81M,,11.48M,11.48M,,,,-3.908M,,45.83M,2.992M,-42.84M,,113.76M,69.05M,2.992M,45.83M,-42.84M,32.37M,-42.84M,58.58M,,58.58M,,,-3.72M,1.296M,54.86M,37.01M,206.70M,102.29M,104.41M,,0.85,,,,0.5662,0.85,,0.85,,,,0.5670,0.85,,62.89M,63.07M,1.30,,AOR,Restated
2014-06,259.79M,259.79M,83.56M,176.23M,,9.558M,9.558M,,,,-27.03M,,42.15M,2.814M,-39.34M,,110.85M,65.38M,2.814M,42.15M,-39.34M,-21.40M,-39.34M,4.646M,,4.646M,,,-2.125M,1.314M,2.521M,20.09M,148.09M,101.29M,46.80M,,0.02,,,,0.3039,0.02,,0.02,,,,0.3031,0.02,,61.88M,62.06M,1.30,,AOR,Restated
2014-03,161.01M,161.01M,52.31M,108.70M,,7.583M,7.583M,,,,-16.25M,,29.04M,2.879M,-26.16M,,57.90M,50.81M,2.879M,29.04M,-26.16M,1.76M,-26.16M,26.41M,,26.41M,,,-3.126M,1.368M,23.28M,28.98M,105.76M,50.31M,55.45M,,0.58,,,,0.7312,0.58,,0.58,,,,0.7302,0.58,,37.69M,37.93M,1.21,,AOR,Restated
2013-12,158.76M,158.76M,52.39M,106.37M,,6.832M,6.832M,,,,-5.799M,,29.86M,2.307M,-27.56M,,56.56M,49.80M,2.307M,29.86M,-27.56M,-2.229M,-27.56M,20.02M,,20.02M,16.88M,,-3.66M,1.368M,33.24M,20.13M,99.74M,49.86M,49.88M,,0.3998,0.4502,,,0.5006,0.85,,0.3998,0.4502,,,0.5004,0.85,,37.38M,37.45M,1.21,,AOR,Restated
2013-09,153.95M,153.95M,50.32M,103.63M,,6.263M,6.263M,48.23M,,,-0.415M,,29.19M,2.387M,-26.80M,,54.49M,49.14M,2.387M,29.19M,-26.80M,40.39M,-26.80M,62.72M,,62.72M,13.16M,,-5.719M,1.368M,70.16M,57.27M,140.14M,42.56M,91.91M,,1.51,0.33,,,1.517,1.84,,1.51,0.33,,,1.517,1.84,,37.32M,37.44M,1.21,,AOR,Restated
2013-06,150.82M,150.82M,48.30M,102.52M,,6.589M,6.589M,47.67M,,,0.856M,,29.33M,1.917M,-27.41M,,54.26M,48.26M,1.917M,29.33M,-27.41M,8.138M,-27.41M,28.98M,,28.98M,0.59M,,-3.261M,1.368M,26.31M,25.17M,109.34M,51.03M,58.31M,,0.65,0.02,,,0.6351,0.67,,0.65,0.02,,,0.6351,0.67,,37.29M,37.39M,1.21,,AOR,Restated
2013-03,148.00M,148.00M,48.03M,99.98M,,6.239M,6.239M,46.79M,2.93M,,-0.387M,,25.21M,5.023M,-20.19M,,55.96M,44.02M,5.023M,25.21M,-20.19M,5.327M,-20.19M,29.16M,,29.16M,0.542M,,-3.132M,1.368M,26.57M,25.30M,104.45M,50.07M,54.37M,,0.67,0.01,,,0.6504,0.68,,0.67,0.01,,,0.6504,0.68,,37.00M,37.09M,1.21,,AOR,Restated
2012-12,138.20M,138.20M,40.12M,98.08M,,8.133M,8.133M,,,,-4.563M,,37.51M,2.964M,-34.54M,,43.49M,54.59M,2.964M,37.51M,-34.54M,28.18M,-34.54M,48.23M,,48.23M,1.409M,,-4.479M,1.368M,45.16M,46.72M,122.08M,36.34M,85.74M,,1.22,0.00,,,1.303,1.22,,1.147,0.00,,,1.229,1.22,,35.92M,36.00M,1.10,,AOR,Restated
2012-09,137.59M,137.59M,46.72M,90.88M,,5.276M,5.276M,42.90M,2.927M,,-1.211M,,25.06M,3.003M,-22.06M,,51.10M,39.78M,3.003M,25.06M,-22.06M,2.336M,-22.06M,20.05M,,20.05M,0.172M,,-2.635M,1.368M,17.59M,18.20M,91.08M,45.97M,45.11M,,0.45,0.01,,,0.4721,0.46,,0.44,0.01,,,0.4620,0.45,,35.60M,35.70M,1.10,,AOR,Restated
2012-06,132.56M,132.56M,44.03M,88.53M,,5.764M,5.764M,41.80M,2.882M,,-1.45M,,24.66M,5.455M,-19.20M,,50.45M,38.09M,5.455M,24.66M,-19.20M,23.61M,-19.20M,42.49M,,42.49M,0.00,,-4.044M,1.368M,38.45M,39.39M,111.83M,44.68M,67.15M,,1.07,0.00,,,1.097,1.07,,1.07,0.00,,,1.097,1.07,,34.57M,34.71M,1.10,,AOR,Restated
2012-03,127.92M,127.92M,41.80M,86.11M,,5.40M,5.40M,40.73M,2.871M,,0.00,,24.66M,2.413M,-22.24M,,49.00M,37.11M,2.413M,24.66M,-22.24M,2.34M,-22.24M,17.20M,,17.20M,10.04M,,-3.151M,1.368M,24.09M,14.05M,85.56M,43.70M,41.86M,,0.39,0.28,,,0.39,0.67,,0.39,0.28,,,0.39,0.67,,34.03M,34.15M,1.10,,AOR,Restated
2011-12,119.52M,119.52M,43.08M,76.44M,,,1.907M,38.22M,,,8.184M,,25.08M,4.782M,-20.30M,,51.60M,24.84M,4.782M,25.08M,-20.30M,8.047M,-20.30M,12.58M,,12.58M,5.285M,,-2.564M,1.368M,15.30M,4.699M,87.36M,42.62M,37.66M,,0.27,0.15,,,0.1113,0.42,,0.27,0.15,,,0.1117,0.42,,33.52M,33.60M,1.04,,AOR,Restated
2011-09,119.17M,119.17M,40.85M,78.32M,,,6.13M,37.88M,,,-3.503M,,22.10M,2.741M,-19.36M,,44.01M,34.30M,2.741M,22.10M,-19.36M,-3.186M,-19.36M,11.76M,,11.76M,-0.679M,,-2.031M,1.367M,9.054M,12.01M,75.12M,41.26M,33.86M,,0.25,-0.02,,,0.3187,0.23,,0.25,-0.02,,,0.3186,0.23,,33.12M,33.21M,1.04,,AOR,Restated
2011-06,116.33M,116.33M,39.77M,76.56M,,,6.458M,37.25M,,,-2.989M,,22.71M,2.628M,-20.08M,,43.71M,32.85M,2.628M,22.71M,-20.08M,-2.263M,-20.08M,10.50M,,10.50M,5.551M,,-2.304M,1.475M,13.75M,10.14M,73.43M,40.22M,33.21M,,0.16,0.16,,,0.2206,0.32,,0.16,0.16,,,0.2205,0.32,,32.04M,32.14M,1.04,,AOR,Restated
2011-03,112.43M,112.43M,38.42M,74.01M,,,6.199M,36.66M,,,-2.851M,,21.81M,6.987M,-14.82M,,42.86M,31.15M,6.987M,21.81M,-14.82M,-4.224M,-14.82M,12.10M,,12.10M,0.404M,,-3.546M,0.543M,8.961M,10.41M,73.83M,39.92M,33.91M,,0.25,0.02,,,0.3089,0.27,,0.25,0.02,,,0.3087,0.27,,31.47M,31.55M,1.04,,AOR,Restated
2010-12,105.02M,105.02M,39.31M,65.71M,,,5.267M,35.15M,,,2.271M,,21.67M,7.111M,-14.56M,,45.25M,20.46M,7.111M,21.67M,-14.56M,1.583M,-14.56M,7.486M,,7.486M,1.142M,,-3.308M,0.542M,5.32M,2.702M,70.31M,41.15M,29.16M,,0.12,0.03,,,0.0719,0.15,,0.12,0.03,,,0.0720,0.15,,30.67M,30.74M,1.032,,AOR,Restated
2010-09,104.33M,104.33M,37.71M,66.62M,,,6.175M,31.53M,,,-2.792M,,21.02M,5.788M,-15.24M,,37.71M,28.92M,5.788M,21.02M,-15.24M,-3.418M,-15.24M,10.26M,,10.26M,0.166M,,-3.506M,0.543M,6.92M,8.569M,62.92M,31.64M,31.28M,,0.21,0.00,,,0.2711,0.21,,0.21,0.00,,,0.2710,0.21,,29.69M,29.76M,1.032,,AOR,Restated
2010-06,100.18M,100.18M,34.82M,65.37M,,,6.219M,31.16M,,,-0.853M,,20.16M,7.085M,-13.08M,,37.38M,27.99M,7.085M,20.16M,-13.08M,-1.213M,-13.08M,13.70M,,13.70M,0.165M,,-3.844M,0.543M,10.02M,10.41M,65.02M,31.16M,33.86M,,0.32,0.00,,,0.3389,0.32,,0.32,0.00,,,0.3389,0.32,,29.33M,29.40M,1.032,,AOR,Restated
2010-03,101.18M,101.18M,34.20M,66.98M,,,5.618M,,,,,,20.84M,7.855M,-12.98M,,36.10M,30.88M,7.855M,20.84M,-12.98M,-0.041M,-12.98M,17.86M,,17.86M,,,-4.189M,0.542M,13.67M,13.67M,69.18M,30.49M,38.69M,,0.45,0.00,,,0.45,0.45,,0.45,0.00,,,0.45,0.45,,28.97M,29.02M,1.032,,AOR,Restated
2009-12,100.95M,100.95M,36.64M,64.31M,,,9.927M,,,,2.434M,,22.34M,3.519M,-18.82M,,40.24M,24.06M,3.519M,22.34M,-18.82M,2.44M,-18.82M,,,7.686M,2.915M,,-3.647M,0.172M,6.954M,2.457M,59.86M,30.32M,29.54M,,0.11,0.10,,,0.0543,0.21,,0.11,0.10,,,0.0588,0.21,,28.42M,30.90M,1.03,,AOR,Restated
2009-09,101.69M,101.69M,36.11M,65.58M,,,6.086M,,,,-11.10M,,21.97M,3.471M,-18.50M,,35.93M,29.66M,3.471M,21.97M,-18.50M,-11.14M,-18.50M,,,0.025M,2.324M,,-3.588M,-22.98M,-1.239M,3.655M,59.50M,29.84M,29.66M,,0.71,0.08,,,0.9716,0.79,,0.66,0.08,,,0.9000,0.74,,27.59M,30.07M,1.03,,AOR,Restated
2009-06,103.63M,103.63M,33.83M,69.80M,,,5.852M,,,,0.00,,21.51M,2.867M,-18.64M,,34.76M,35.04M,2.867M,21.51M,-18.64M,0.158M,-18.64M,,,16.56M,0.892M,,-4.453M,1.584M,13.00M,12.11M,63.95M,28.90M,35.04M,,0.39,0.04,,,0.39,0.43,,0.39,0.04,,,0.39,0.43,,26.83M,26.85M,1.03,,AOR,Restated
2009-03,105.11M,105.11M,33.12M,71.99M,,,6.233M,,,,-5.699M,,20.20M,3.232M,-16.97M,,35.20M,36.79M,3.232M,20.20M,-16.97M,0.964M,-16.97M,,,20.78M,2.555M,,-4.942M,-23.87M,18.40M,15.56M,65.76M,28.96M,36.79M,,1.51,0.10,,,1.499,1.61,,1.44,0.09,,,1.430,1.53,,26.22M,28.69M,1.03,,AOR,Restated
2008-12,104.46M,104.46M,33.95M,70.51M,,,8.023M,,,,5.479M,,22.05M,3.295M,-18.75M,,35.87M,34.64M,3.295M,22.05M,-18.75M,5.974M,-18.75M,,,21.86M,4.104M,,-5.70M,2.31M,20.26M,12.60M,89.57M,27.85M,61.72M,,0.54,0.16,,,0.4040,0.70,,0.54,0.16,,,0.4040,0.70,,26.19M,26.19M,1.02,,AOR,Restated
2008-09,103.25M,103.25M,34.01M,69.24M,,,6.524M,,,,2.446M,,21.12M,2.841M,-18.28M,,34.24M,35.01M,2.841M,21.12M,-18.28M,2.781M,-18.28M,,,19.51M,-0.243M,,-5.535M,2.31M,13.73M,12.38M,62.72M,27.71M,35.01M,,0.46,-0.01,,,0.3967,0.45,,0.46,-0.01,,,0.3976,0.45,,25.11M,25.47M,1.02,,AOR,Restated
2008-06,101.55M,101.55M,32.96M,68.59M,,,6.512M,,,0.00,0.00,,20.76M,2.433M,-18.32M,20.76M,54.83M,13.75M,2.433M,20.76M,-18.32M,0.36M,-18.32M,,,16.55M,-0.228M,,-5.262M,2.311M,11.06M,11.28M,41.32M,27.56M,13.75M,,0.36,-0.01,,,0.36,0.35,,0.36,-0.01,,,0.36,0.35,,24.77M,25.15M,1.02,,AOR,Restated
2008-03,99.96M,99.96M,31.75M,68.21M,,,6.625M,,,0.00,0.00,,21.14M,2.768M,-18.37M,21.14M,54.53M,13.68M,2.768M,21.14M,-18.37M,6.63M,-18.37M,,,23.08M,-0.226M,,-5.759M,2.31M,17.09M,17.32M,40.44M,26.77M,13.68M,,0.61,-0.01,,,0.61,0.60,,0.60,-0.01,,,0.60,0.59,,24.75M,24.88M,1.02,,AOR,Restated
2007-12,99.64M,99.64M,33.01M,66.63M,,,7.754M,,,,9.483M,,21.25M,-3.507M,-24.76M,23.05M,59.42M,7.211M,-3.507M,21.25M,-24.76M,6.716M,-24.76M,,,5.48M,48.12M,,,2.31M,53.60M,-0.6840M,108.19M,28.61M,79.58M,,0.12,1.96,,,-0.1258,2.08,,0.12,1.91,,,-0.1222,2.03,,25.08M,25.45M,0.93,,AOR,Restated
2007-09,96.28M,96.28M,31.13M,65.15M,,,6.415M,,,,0.00,,19.46M,2.407M,-17.05M,20.16M,50.74M,14.40M,2.407M,19.46M,-17.05M,0.322M,-17.05M,,,12.04M,0.265M,,,2.311M,12.31M,12.04M,38.57M,24.17M,14.40M,,0.39,0.01,,,0.39,0.40,,0.38,0.01,,,0.38,0.39,,25.17M,25.56M,0.93,,AOR,Restated
2007-06,95.55M,95.55M,30.87M,64.68M,,,6.008M,,,,,,20.49M,2.865M,-17.63M,21.17M,51.81M,12.87M,2.865M,20.49M,-17.63M,0.463M,-17.63M,,,11.13M,1.058M,,,2.31M,12.19M,11.13M,37.50M,24.63M,12.87M,,0.36,0.04,,,0.36,0.40,,0.35,0.04,,,0.35,0.39,,24.49M,25.10M,0.93,,AOR,Restated
2007-03,90.71M,90.71M,29.59M,61.11M,,,6.096M,,,,,,18.27M,2.182M,-16.08M,18.94M,46.20M,14.92M,2.182M,18.27M,-16.08M,1.982M,-16.08M,,,13.77M,23.77M,,,2.243M,37.55M,13.77M,36.07M,21.16M,14.92M,,0.49,1.02,,,0.49,1.51,,0.48,0.98,,,0.48,1.46,,23.43M,24.21M,0.93,,AOR,Restated
2006-12,84.60M,83.47M,,,,7.066M,7.066M,,,,1.448M,-54.17M,,,,82.31M,54.17M,29.30M,,,,1.448M,,8.414M,0.20M,8.214M,9.223M,,-4.394M,2.377M,17.44M,6.800M,48.27M,18.97M,29.30M,,0.25,0.40,,,0.1895,0.65,,0.24,0.39,,,0.1814,0.63,,23.36M,24.14M,0.84,,AOR,Restated
2006-09,88.72M,88.72M,,,,5.289M,5.289M,,,,1.686M,,,,,30.57M,55.76M,32.96M,,,,1.686M,,11.28M,0.15M,11.13M,1.345M,,-5.051M,1.791M,12.48M,9.468M,52.86M,19.90M,32.96M,,0.40,0.06,,,0.3281,0.46,,0.39,0.06,,,0.3197,0.45,,23.14M,23.68M,0.84,,AOR,Restated
2006-06,84.55M,84.55M,,,,4.98M,4.98M,,,,0.648M,,,,,48.62M,73.51M,11.04M,,,,0.648M,,6.756M,0.138M,6.618M,15.89M,,-4.555M,0.489M,22.51M,5.983M,30.94M,19.91M,11.04M,,0.27,0.69,,,0.2423,0.96,,0.26,0.69,,,0.2327,0.95,,22.95M,23.23M,0.84,,AOR,Restated
2006-03,85.01M,83.06M,,,,4.899M,4.899M,,,,2.394M,-54.72M,,,,103.62M,73.13M,9.93M,,,,2.394M,,7.075M,0.037M,7.038M,3.284M,,-4.807M,-0.488M,10.32M,4.657M,29.25M,19.32M,9.93M,,0.29,0.14,,,0.1859,0.43,,0.29,0.14,,,0.1869,0.43,,22.87M,23.10M,0.84,,AOR,Restated
2005-12,33.72M,65.26M,,,,5.574M,5.574M,,,,2.133M,,,,,-135.41M,45.66M,19.60M,,,,-4.258M,,1.622M,0.152M,1.47M,3.743M,,-3.99M,3.418M,5.213M,-0.4631M,34.51M,14.90M,19.60M,,0.05,0.16,,,-0.0343,0.21,,0.03,0.16,,,-0.0524,0.19,,22.93M,23.46M,0.81,,AOR,Restated
