,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-03,64.75M,,-7.112M,-25.67M,-32.78M,,,106.91M,106.91M,-2.856M,,1.37M,-6.53M,,3.548M,21.74M,,0.346M,25.64M,162.55M,,-16.20M,,,-90.16M,-6.533M,49.73M,-286.86M,,219.73M,219.73M,174.59M,,174.59M,,,,-83.66M,-83.66M,15.61M,-10.18M,316.09M,,25.61M,193.59M,219.20M,,174.59M,756.56M,-536.83M,,-50.34M,,AOR,Restated
2014-12,44.80M,,-7.186M,-18.83M,-25.75M,,,106.70M,106.70M,-2.77M,,3.744M,-8.222M,,6.905M,-19.76M,,0.124M,-12.73M,135.15M,,-57.79M,,,-131.64M,-2.522M,9.287M,5.179M,,-130.10M,-130.10M,81.92M,,81.92M,,,,-83.17M,-83.17M,4.513M,-5.755M,-132.60M,,17.88M,7.733M,25.61M,,81.92M,356.08M,-486.18M,,-224.03M,,AOR,Restated
2014-09,58.58M,,-31.37M,-4.91M,-36.28M,,,102.29M,102.29M,-2.59M,,1.371M,-4.141M,,6.498M,34.69M,,0.728M,41.92M,169.17M,,-7.364M,,,-70.24M,-0.092M,3.119M,-416.20M,,165.65M,165.65M,171.13M,,171.13M,,,,-82.44M,-82.44M,1.023M,-8.404M,246.96M,,17.95M,-0.069M,17.88M,,171.13M,416.28M,-250.63M,,48.90M,,AOR,Restated
2014-06,4.646M,,-0.459M,-5.629M,-6.088M,,,101.29M,101.29M,-2.027M,,2.392M,-0.02M,,-0.362M,-5.832M,,0.573M,-5.621M,97.10M,,-3.013M,,,-560.28M,-2.825M,25.13M,-675.55M,,322.64M,322.64M,120.74M,,120.74M,,,,1.427M,1.427M,4.327M,-13.00M,436.13M,,19.92M,-1.972M,17.95M,,120.74M,1.087B,-764.62M,,17.99M,,AOR,Restated
2014-03,26.41M,,-7.908M,-10.53M,-18.43M,,,50.31M,50.31M,-1.938M,,1.233M,6.736M,,2.787M,15.13M,,0.092M,18.01M,91.89M,,-10.70M,,,-39.68M,-6.324M,38.01M,-60.59M,,-78.80M,-78.80M,157.60M,,157.60M,,,,-96.39M,-96.39M,1.176M,-13.46M,-29.88M,,18.49M,1.427M,19.92M,,157.60M,233.78M,-312.58M,,26.45M,,AOR,Restated
2013-12,36.90M,,-16.56M,-14.61M,-30.03M,,,49.86M,49.86M,-1.892M,,1.371M,3.261M,,-1.588M,-19.02M,19.69M,-0.177M,-1.095M,79.90M,,-28.55M,,,2.648M,1.342M,8.097M,-144.71M,,113.20M,113.20M,14.84M,,14.84M,,,,-46.52M,-46.52M,0.202M,-7.928M,73.79M,,9.509M,8.982M,18.49M,,14.84M,327.17M,-213.97M,,-180.11M,,AOR,Restated
2013-09,75.88M,,-12.66M,-38.61M,-51.09M,-95.18M,-5.932M,42.56M,42.56M,-1.888M,,1.011M,8.955M,,-0.802M,21.52M,-19.69M,-0.067M,0.966M,74.50M,,-11.72M,,,-57.64M,0.055M,6.878M,-27.31M,,-4.434M,-4.434M,0.00,,0.00,,,,-46.55M,-46.55M,0.566M,-7.482M,-57.90M,,20.22M,-10.71M,9.509M,,0.00,37.42M,-41.85M,,76.60M,,AOR,Restated
2013-06,29.58M,,0.00,-2.255M,-3.279M,48.03M,3.002M,51.03M,51.03M,-1.399M,,0.994M,0.00,,-0.962M,-10.88M,,-0.192M,-12.03M,64.89M,,-11.56M,,,-59.46M,-7.461M,-99.89M,-175.94M,,154.69M,154.69M,0.00,,0.00,,,,-46.45M,-46.45M,2.823M,-10.64M,100.42M,,30.84M,-10.63M,20.22M,,0.00,369.19M,-214.50M,,-23.86M,,AOR,Restated
2013-03,29.70M,,-3.27M,-0.391M,-3.661M,47.14M,2.93M,50.07M,50.07M,-1.377M,,1.132M,-0.844M,,1.764M,8.443M,,0.458M,10.66M,85.69M,,-5.091M,,,-48.12M,13.79M,72.45M,-105.74M,,-45.29M,-45.29M,122.90M,,122.90M,,,,-41.15M,-41.15M,1.367M,-5.549M,32.28M,,18.61M,12.24M,30.84M,,122.90M,235.28M,-280.57M,,23.86M,,AOR,Restated
2012-12,49.64M,,-0.298M,-46.89M,-44.84M,-125.67M,-8.681M,36.34M,36.34M,-1.319M,,1.261M,11.18M,,-5.835M,-13.81M,,1.28M,-18.36M,48.16M,,-25.19M,,,-94.72M,55.38M,-12.15M,-294.07M,,223.54M,223.54M,88.86M,,88.86M,,,,-40.81M,-40.81M,0.474M,-9.499M,262.57M,,1.943M,16.66M,18.61M,,88.86M,397.88M,-174.34M,,-164.15M,,AOR,Restated
2012-09,20.22M,,0.00,1.371M,2.582M,43.04M,2.927M,45.97M,45.97M,-1.29M,,0.955M,-0.456M,,0.767M,21.03M,,0.163M,21.96M,89.94M,,-11.50M,,,-47.12M,-38.12M,-10.16M,-201.89M,,59.57M,59.57M,97.91M,,97.91M,,,,-40.01M,-40.01M,0.769M,-8.483M,109.76M,,4.132M,-2.189M,1.943M,,97.91M,585.39M,-525.82M,,20.98M,,AOR,Restated
2012-06,42.49M,,-0.521M,-19.04M,-18.11M,41.80M,2.883M,44.68M,44.68M,-1.262M,,0.939M,-0.451M,,-1.857M,-9.477M,,0.278M,-11.06M,57.23M,,-6.867M,,,-188.07M,-25.20M,-2.912M,-272.13M,,110.02M,110.02M,139.35M,,139.35M,,,,-38.97M,-38.97M,0.467M,-5.583M,205.28M,,13.74M,-9.612M,4.132M,,139.35M,603.19M,-493.17M,,24.97M,,AOR,Restated
2012-03,27.24M,,-10.87M,0.862M,-10.01M,40.83M,2.871M,43.70M,43.70M,-1.256M,,0.986M,-0.466M,,-2.563M,14.61M,,-0.083M,11.96M,72.16M,,-1.811M,,,-15.24M,-4.09M,7.681M,-44.05M,,-18.59M,-18.59M,31.59M,,31.59M,,,,-36.46M,-36.46M,0.933M,-4.728M,-27.25M,,12.89M,0.855M,13.74M,,31.59M,159.39M,-177.98M,,22.60M,,AOR,Restated
2011-12,17.87M,5.051M,-8.975M,,3.429M,39.86M,2.756M,42.62M,42.62M,0.014M,,1.309M,-5.72M,,0.548M,-14.58M,,0.394M,-13.64M,45.88M,,142.79M,-15.97M,141.87M,,5.001M,105.12M,-167.27M,,99.24M,99.24M,66.92M,,66.92M,0.00,0.00,0.00,-138.62M,-35.83M,0.272M,-5.342M,125.26M,,9.02M,3.869M,12.89M,,66.92M,642.64M,-543.40M,0.00,89.69M,,AOR,Restated
2011-09,11.09M,0.802M,0.00,,1.369M,38.14M,3.128M,41.26M,41.26M,-1.633M,,0.562M,1.843M,,-1.023M,12.91M,,-0.034M,11.85M,66.34M,,-34.81M,0.00,-25.09M,,-1.243M,-72.34M,-108.39M,,-3.919M,-3.919M,88.42M,,88.42M,-0.218M,0.00,-0.218M,,-35.30M,0.731M,-7.45M,42.26M,,8.809M,0.211M,9.02M,,88.20M,226.62M,-230.54M,0.00,-43.59M,,AOR,Restated
2011-06,16.05M,-5.853M,0.00,,-5.60M,37.51M,2.706M,40.22M,40.22M,-1.713M,,0.629M,0.675M,,0.314M,-3.982M,,0.452M,-3.216M,47.04M,,-62.95M,15.97M,-56.21M,,27.78M,-46.74M,-65.93M,,-126.02M,-126.02M,130.16M,,130.16M,71.43M,-103.80M,-32.37M,33.00M,-34.50M,4.622M,-11.87M,-69.98M,,97.68M,-88.87M,8.809M,,201.58M,341.23M,-467.26M,-103.80M,19.43M,,AOR,Restated
2011-03,12.51M,0.00,-4.543M,,-4.543M,37.03M,2.884M,39.92M,39.92M,-1.462M,,0.427M,1.445M,,-1.011M,9.281M,,0.748M,9.018M,57.31M,,-78.73M,0.00,-60.57M,,-6.59M,1.136M,-84.19M,,110.25M,110.25M,38.44M,,38.44M,,,,-33.00M,-33.00M,1.361M,-6.243M,110.81M,,13.75M,83.93M,97.68M,,38.44M,304.19M,-193.94M,,24.16M,,AOR,Restated
2010-12,8.628M,,-1.149M,0.688M,-0.461M,36.33M,,41.15M,41.15M,0.079M,,0.891M,-3.373M,,-4.221M,-14.72M,,0.698M,-18.24M,27.25M,,207.90M,,218.80M,,4.47M,21.39M,-259.35M,,196.94M,196.94M,134.81M,,134.81M,0.00,0.00,0.00,-123.63M,-31.68M,1.657M,-70.54M,231.19M,,14.67M,-0.915M,13.75M,,134.81M,597.83M,-400.89M,0.00,83.50M,,AOR,Restated
2010-09,10.43M,0.00,0.00,0.626M,0.626M,31.64M,,31.64M,31.64M,-3.28M,,0.621M,-2.659M,,2.071M,16.04M,,0.724M,18.84M,58.87M,,-159.59M,0.00,-150.95M,,-0.048M,31.28M,-128.36M,,82.13M,82.13M,53.64M,,53.64M,0.00,0.00,0.00,,-31.11M,0.896M,-29.76M,75.79M,,8.367M,6.301M,14.67M,,53.64M,403.62M,-321.49M,0.00,,,AOR,Restated
2010-06,31.73M,0.00,-9.041M,0.401M,-8.63M,61.75M,,61.75M,61.75M,-0.513M,,1.739M,1.226M,,-0.621M,2.973M,,0.99M,3.342M,36.44M,,-44.81M,0.00,-40.38M,,90.02M,-90.87M,-45.66M,,6.93M,6.93M,45.69M,,45.69M,0.00,0.00,0.00,30.02M,-30.81M,1.118M,-27.65M,-4.723M,,22.31M,-13.94M,8.367M,,45.69M,50.17M,-43.24M,0.00,-19.76M,,AOR,Restated
2010-03,,,,,,,,,,,,,,,,,,,,52.98M,,-34.35M,,-27.47M,,-42.38M,-0.76M,-77.50M,,40.18M,40.18M,17.31M,,17.31M,,,,-30.02M,-30.02M,1.094M,-2.381M,26.17M,,20.66M,1.652M,22.31M,,17.31M,162.59M,-122.42M,,19.76M,,AOR,Restated
2009-12,,,,,,,,,,,,,,,,,,,,25.92M,,-85.60M,6.18M,-90.92M,,-3.588M,7.551M,-75.45M,,-10.65M,-10.65M,38.52M,0.00,38.52M,,-1.089M,-1.089M,,-29.84M,0.239M,-8.938M,-11.75M,,81.94M,-61.28M,20.66M,,38.52M,149.01M,-159.66M,-1.089M,-59.35M,,AOR,Restated
2009-09,,,,,,,,,,,,,,,,,,,,58.43M,,-33.17M,5.306M,10.22M,0.00,-17.74M,-3.261M,-48.86M,,26.87M,26.87M,84.16M,0.00,84.16M,,-58.04M,-58.04M,,-29.66M,0.158M,-16.55M,6.943M,,65.44M,16.51M,81.94M,,84.16M,77.18M,-50.30M,-58.04M,59.35M,,AOR,Restated
2009-06,,,,,,,,,,,,,,,,,,,,34.17M,,-36.43M,14.30M,-22.14M,,-68.41M,-0.496M,-91.04M,,17.12M,17.12M,75.83M,0.00,75.83M,,0.00,0.00,,-28.44M,0.103M,-7.512M,57.10M,,65.21M,0.223M,65.44M,,75.83M,61.88M,-44.76M,0.00,,,AOR,Restated
2009-03,,,,,,,,,,,,,,,,,,,,55.06M,,-37.24M,12.40M,-24.85M,,-3.701M,24.95M,-3.597M,,59.17M,59.17M,0.00,-20.27M,-20.27M,,-32.57M,-32.57M,,-29.17M,0.443M,-5.763M,-28.16M,,41.91M,23.30M,65.21M,,0.00,165.50M,-106.34M,-52.84M,,,AOR,Restated
2008-12,,,,,,,,,,,,,,,,,,,,38.19M,,-60.57M,13.10M,-15.73M,,24.99M,-18.57M,-41.05M,,50.53M,50.53M,9.097M,0.00,9.097M,,-10.06M,-10.06M,,-28.85M,0.043M,-9.389M,11.37M,,33.40M,8.505M,41.91M,,9.097M,331.38M,-280.84M,-10.06M,-46.93M,,AOR,Restated
2008-09,,,,,,,,,,,,,,,,,,,,53.32M,,-134.97M,44.98M,-89.99M,,-54.87M,-3.244M,-148.10M,,7.103M,7.103M,133.65M,0.00,133.65M,,0.00,0.00,,-27.58M,1.979M,-7.961M,107.20M,,21.00M,12.41M,33.40M,,133.65M,262.46M,-255.36M,0.00,12.39M,,AOR,Restated
2008-06,,,,,,,,,,,,,,,,,,,,42.50M,,-72.55M,0.00,-72.55M,,2.495M,0.208M,-69.85M,,79.73M,79.73M,0.00,0.00,0.00,,0.00,0.00,,-27.59M,2.211M,-16.36M,37.99M,,10.36M,10.64M,21.00M,,0.00,147.80M,-68.08M,0.00,18.66M,,AOR,Restated
2008-03,,,,,,,,,,,,,,,,,,,,47.24M,,-31.30M,0.00,-31.30M,,5.037M,0.245M,-26.02M,,27.78M,27.78M,,-13.72M,-13.72M,,0.00,0.00,,-25.47M,0.651M,-10.06M,-20.82M,,9.956M,0.401M,10.36M,,,154.83M,-127.05M,-13.72M,15.88M,,AOR,Restated
2007-12,,,,,,,,,,,,,,,,,,,,32.73M,,-75.24M,93.97M,57.54M,,-9.303M,-1.512M,7.915M,,16.64M,16.64M,0.00,-31.24M,-31.24M,,,,,-25.76M,0.535M,-1.104M,-40.93M,,10.24M,-0.283M,9.956M,,0.00,200.69M,-184.05M,-31.24M,-52.44M,,AOR,Restated
2007-09,,,,,,,,,,,,,,,,,,,,58.50M,,-158.49M,1.074M,-157.41M,,-11.87M,-0.291M,-169.57M,,141.82M,141.82M,0.00,-1.409M,-1.409M,,,,,-25.70M,2.021M,-8.002M,108.73M,,12.59M,-2.348M,10.24M,,0.00,220.11M,-78.29M,-1.409M,16.28M,,AOR,Restated
2007-06,,,,,,,,,,,,,,,,,,,,39.72M,,-185.81M,1.66M,-184.15M,,-2.681M,-3.746M,-190.57M,,-35.03M,-35.03M,213.67M,0.00,213.67M,,,,,-24.46M,0.58M,-6.364M,148.40M,,15.04M,-2.451M,12.59M,,213.67M,286.46M,-321.48M,0.00,22.20M,,AOR,Restated
2007-03,,,,,,,,,,,,,,,,,,,,59.93M,,-137.18M,121.37M,-15.81M,,-15.84M,6.016M,-25.64M,,64.59M,64.59M,,0.00,0.00,,,,,-21.72M,1.185M,-72.97M,-28.92M,,9.662M,5.376M,15.04M,,,159.14M,-94.55M,0.00,13.96M,,AOR,Restated
2006-12,17.44M,,,,,,,,,,,,-87.54M,,,,,,,21.40M,,-76.08M,,-37.99M,187.94M,0.00,-198.80M,-48.86M,,-314.85M,-314.85M,22.20M,0.00,22.20M,,,,,-21.89M,,175.61M,6.983M,,30.14M,-20.48M,9.662M,,168.11M,42.90M,-357.75M,0.00,,,AOR,Restated
2006-09,12.48M,,,,,,,,,,,,55.55M,,,,,,,68.03M,,-224.54M,,-224.54M,-187.94M,0.00,251.68M,-160.80M,,-18.52M,-18.52M,8.362M,5.073M,13.44M,,,,,-19.84M,,138.81M,113.89M,,9.022M,21.12M,30.14M,,8.362M,121.90M,-140.41M,5.073M,,,AOR,Restated
2006-06,22.51M,,,,,,,,,,,,4.13M,,,,,,,26.64M,,-13.18M,,-13.18M,,0.00,-16.31M,-29.49M,,13.56M,13.56M,17.32M,-1.604M,15.72M,,,,,-19.72M,,-7.101M,2.46M,,9.409M,-0.387M,9.022M,,17.32M,42.64M,-29.08M,-1.604M,,,AOR,Restated
2006-03,10.32M,,,,,,,,,,,,33.55M,,,,,,,43.87M,,-8.426M,,-8.426M,,,-65.31M,-73.73M,,52.84M,52.84M,4.678M,-3.469M,1.209M,,,,,-19.00M,,-10.11M,24.93M,,14.34M,-4.928M,9.409M,,4.678M,116.79M,-63.96M,-3.469M,,,AOR,Restated
