,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-09,101.83M,,101.83M,786.87M,,1.363B,376.33M,604.63M,236.76M,,325.97M,396.27M,3.121B,2.274B,2.392B,39.63B,-14.28B,25.34B,,1.680B,95.89M,,178.17M,30.01B,33.13B,,965.57M,139.33M,335.85M,1.441B,134.61M,1.575B,582.54M,582.54M,,582.54M,681.16M,2.839B,1.785B,10.91B,,10.91B,5.267B,266.68M,5.533B,,998.21M,217.03M,,,239.52M,20.74B,23.58B,,1.244B,2.797B,5.616B,,,,-109.98M,9.547B,,AOR,Restated
2013-06,58.82M,,58.82M,719.07M,,1.345B,272.26M,494.89M,264.25M,,158.35M,396.31M,2.818B,2.258B,2.299B,38.95B,-14.14B,24.81B,,1.623B,100.31M,,184.15M,29.45B,32.27B,,998.61M,139.24M,242.34M,1.380B,156.75M,1.537B,636.04M,636.04M,,636.04M,523.83M,2.697B,1.763B,10.82B,,10.82B,4.901B,261.68M,5.163B,,988.77M,222.58M,,,245.44M,20.27B,22.97B,,1.243B,2.573B,5.596B,,,,-111.84M,9.300B,,AOR,Restated
2013-03,112.96M,,112.96M,789.21M,,1.376B,231.27M,447.71M,246.08M,,93.19M,369.21M,2.705B,2.250B,2.137B,38.21B,-13.99B,24.22B,,1.664B,111.17M,,177.08M,28.88B,31.59B,,932.55M,133.24M,415.08M,1.481B,135.53M,1.616B,431.93M,431.93M,,431.93M,478.19M,2.527B,1.742B,10.64B,,10.64B,4.725B,259.20M,4.984B,,979.52M,230.27M,,,250.68M,19.91B,22.43B,,1.237B,2.516B,5.516B,,,,-113.62M,9.155B,,AOR,Restated
2012-12,82.32M,,82.32M,718.05M,,1.381B,321.84M,535.57M,171.32M,,32.53M,352.98M,2.625B,2.244B,1.757B,37.60B,-13.79B,23.81B,,1.618B,126.30M,,200.01M,28.52B,31.14B,,959.09M,131.75M,334.44M,1.425B,162.49M,1.588B,860.16M,860.16M,,860.16M,489.14M,2.937B,1.720B,10.14B,,10.14B,4.518B,252.89M,4.771B,,1.163B,242.87M,,,229.21M,19.33B,22.27B,,1.220B,2.414B,5.353B,,,,-112.65M,8.874B,,AOR,Restated
2012-09,747.27M,0.00,747.27M,704.58M,,1.226B,,562.72M,174.72M,0.00,225.88M,353.81M,3.371B,105.57M,1.681B,37.15B,-13.74B,23.40B,,1.578B,135.74M,,203.51M,27.69B,31.06B,,885.10M,131.65M,264.79M,1.282B,160.62M,1.442B,1.163B,1.163B,,1.163B,554.91M,3.161B,1.717B,10.11B,,10.11B,4.635B,252.88M,4.888B,,810.06M,248.32M,,,224.40M,19.05B,22.21B,,1.219B,2.406B,5.335B,,,,-109.60M,8.850B,,AOR,Restated
2012-06,63.53M,0.00,63.53M,645.26M,,1.195B,,473.14M,195.36M,0.328M,178.47M,366.23M,2.560B,,1.485B,36.59B,-13.54B,23.05B,,1.522B,137.02M,,193.57M,27.26B,29.82B,,871.07M,131.56M,215.16M,1.218B,176.86M,1.395B,1.793B,1.793B,,1.793B,643.98M,3.831B,1.696B,8.706B,,8.706B,4.405B,244.92M,4.650B,,826.41M,253.36M,,,217.05M,17.42B,21.25B,,1.218B,2.141B,5.317B,,,,-102.01M,8.574B,,AOR,Restated
2012-03,99.74M,0.00,99.74M,718.14M,,1.210B,,474.36M,192.75M,9.055M,162.35M,333.05M,2.543B,2.063B,1.315B,36.07B,-13.40B,22.67B,,1.537B,146.44M,,192.16M,26.91B,29.45B,,786.19M,126.60M,359.06M,1.272B,161.93M,1.434B,1.649B,1.649B,,1.649B,625.58M,3.708B,1.662B,8.598B,,8.598B,4.299B,247.22M,4.546B,,813.79M,260.15M,,,219.27M,17.21B,20.92B,,1.217B,2.089B,5.299B,,,,-67.52M,8.538B,,AOR,Restated
2011-12,60.68M,,60.68M,753.12M,,1.442B,415.53M,618.23M,121.48M,95.29M,178.45M,402.24M,2.983B,2.090B,1.085B,35.65B,-13.30B,22.35B,,1.464B,152.89M,,155.93M,26.51B,29.50B,,902.08M,126.49M,289.71M,1.318B,177.11M,1.495B,1.279B,1.279B,,1.279B,814.33M,3.589B,1.652B,8.849B,,8.849B,4.107B,248.34M,4.355B,,1.002B,263.91M,,,203.31M,17.43B,21.02B,,1.216B,2.033B,5.327B,,,,-94.04M,8.482B,,AOR,Restated
2011-09,194.16M,0.00,194.16M,752.12M,,1.305B,,608.01M,191.85M,100.01M,,412.21M,2.861B,29.90B,1.170B,34.83B,-13.10B,21.73B,,1.400B,158.36M,,164.50M,25.68B,28.54B,,837.26M,127.50M,250.14M,1.215B,162.37M,1.377B,512.41M,512.41M,,512.41M,763.50M,2.653B,1.293B,9.450B,,9.450B,3.898B,256.76M,4.155B,,829.36M,265.48M,,,221.62M,17.35B,20.00B,,1.317B,2.019B,5.280B,104.98M,,,-80.97M,8.536B,,AOR,Restated
2011-06,101.60M,0.00,101.60M,679.56M,,1.270B,,484.77M,186.88M,,,381.46M,2.479B,29.81B,1.144B,34.48B,-12.96B,21.51B,,1.517B,169.07M,,163.82M,25.52B,28.00B,,957.52M,127.04M,189.56M,1.274B,165.31M,1.439B,709.93M,709.93M,,709.93M,489.39M,2.639B,1.278B,9.264B,,9.264B,3.755B,258.16M,4.013B,,828.50M,272.48M,,,225.76M,17.02B,19.66B,,1.316B,1.813B,5.262B,104.98M,,,-50.98M,8.340B,,AOR,Restated
2011-03,94.34M,0.00,94.34M,765.42M,,1.316B,,442.20M,184.79M,,,420.75M,2.514B,,1.385B,33.70B,-12.79B,20.91B,,1.511B,177.47M,,168.47M,24.95B,27.47B,,848.57M,123.31M,312.67M,1.285B,158.23M,1.443B,586.26M,586.26M,,586.26M,455.72M,2.485B,985.47M,9.264B,,9.264B,3.658B,265.21M,3.924B,,824.50M,279.46M,,,226.78M,16.70B,19.18B,,1.315B,1.781B,5.242B,104.98M,,,-51.85M,8.286B,,AOR,Restated
2010-12,108.44M,0.00,108.44M,718.47M,,1.427B,,560.80M,193.62M,0.00,0.00,388.54M,2.733B,,1.186B,33.27B,-12.61B,20.66B,,1.476B,184.03M,,180.04M,24.66B,27.39B,,979.75M,122.85M,254.32M,1.357B,163.91M,1.521B,521.82M,521.82M,,521.82M,493.89M,2.537B,969.31M,9.263B,,9.263B,3.483B,269.09M,3.752B,,962.77M,285.99M,,,249.64M,16.66B,19.20B,,1.311B,1.702B,5.229B,104.98M,,,-53.09M,8.188B,,AOR,Restated
2010-09,213.46M,65.57M,279.03M,703.96M,27.97M,1.266B,,591.72M,296.10M,,,96.45M,2.530B,30.60B,1.667B,32.27B,-12.82B,19.44B,,1.443B,261.75M,,2.622B,23.77B,26.30B,,794.38M,117.24M,224.48M,1.136B,161.55M,1.298B,,454.44M,,454.44M,447.39M,2.199B,,8.865B,,8.865B,3.711B,,3.711B,,830.29M,299.28M,,,2.686B,16.39B,18.59B,,1.255B,1.688B,4.818B,104.98M,,,-50.74M,7.711B,,AOR,Restated
2010-06,65.99M,63.90M,129.89M,662.46M,,1.216B,,464.38M,305.28M,,,147.92M,2.264B,30.41B,1.361B,31.77B,-12.69B,19.07B,,1.377B,260.09M,,2.588B,23.30B,25.56B,,842.28M,117.12M,166.74M,1.126B,161.44M,1.288B,,674.64M,,674.64M,383.46M,2.346B,,8.410B,,8.410B,3.544B,,3.544B,,830.91M,293.86M,,,2.642B,15.72B,18.07B,,1.254B,1.494B,4.801B,104.98M,,,-52.08M,7.497B,,AOR,Restated
2010-03,79.50M,56.98M,136.49M,748.06M,64.85M,1.334B,,452.42M,289.28M,,,131.88M,2.344B,29.29B,1.972B,31.26B,-12.52B,18.74B,,1.419B,275.12M,,2.552B,22.99B,25.33B,,842.79M,113.57M,302.26M,1.259B,153.07M,1.412B,,1.010B,,1.010B,337.80M,2.760B,,7.863B,,7.863B,3.484B,,3.484B,,832.78M,306.03M,,,2.628B,15.11B,17.87B,,1.253B,1.472B,4.784B,104.98M,,,-48.63M,7.461B,,AOR,Restated
2009-12,115.65M,0.00,115.65M,730.15M,,1.424B,,566.20M,192.79M,,223.08M,357.01M,2.977B,1.737B,1.770B,30.72B,-12.21B,18.51B,,1.382B,289.53M,,162.30M,22.33B,25.31B,,1.084B,113.15M,257.74M,1.454B,159.69M,1.614B,1.003B,1.003B,,1.003B,473.04M,3.090B,881.48M,7.889B,,7.889B,3.256B,295.47M,3.551B,,839.05M,307.77M,,,211.67M,14.83B,17.92B,,1.249B,1.419B,4.770B,104.98M,,,-49.71M,7.388B,,AOR,Restated
2009-09,90.21M,,90.21M,635.56M,63.64M,1.170B,,554.93M,311.03M,,,264.53M,2.391B,29.09B,1.689B,30.77B,-12.26B,18.51B,,1.366B,308.77M,,2.501B,22.69B,25.08B,,811.62M,112.84M,223.28M,1.148B,146.11M,1.294B,,678.53M,,678.53M,414.12M,2.386B,,7.945B,,7.945B,3.278B,,3.278B,,902.21M,327.69M,,,2.945B,15.40B,17.79B,,1.246B,1.364B,4.741B,104.98M,,,-54.46M,7.296B,,AOR,Restated
2009-06,380.25M,,380.25M,721.41M,,1.200B,,435.52M,253.19M,,,289.41M,2.559B,28.65B,1.686B,30.33B,-12.13B,18.20B,,1.317B,310.24M,,2.600B,22.43B,24.99B,,793.75M,112.71M,169.96M,1.076B,170.48M,1.247B,,828.75M,,828.75M,475.66M,2.551B,,8.056B,,8.056B,3.066B,,3.066B,1.169B,913.66M,328.21M,,,1.725B,15.26B,17.81B,,1.244B,1.256B,4.727B,104.98M,,,-49.35M,7.179B,,AOR,Restated
2009-03,301.32M,,301.32M,786.60M,,1.306B,,450.81M,238.37M,,,155.65M,2.452B,28.10B,1.814B,29.92B,-11.97B,17.95B,,1.179B,325.46M,,2.706B,22.18B,24.63B,,857.67M,109.18M,281.03M,1.248B,143.50M,1.391B,,897.27M,,897.27M,392.94M,2.682B,,7.666B,,7.666B,2.906B,,2.906B,1.152B,1.021B,344.39M,,,1.703B,14.79B,17.47B,,1.243B,1.252B,4.711B,104.98M,,,-52.20M,7.154B,,AOR,Restated
