,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.64B,2.658B,1.625B,1.033B,,,26.00M,137.00M,158.00M,,-164.00M,69.00M,583.00M,450.00M,,158.00M,-164.00M,33.00M,-164.00M,319.00M,54.00M,265.00M,,,,,265.00M,243.39M,890.00M,413.00M,477.00M,,0.52,,,,0.4776,0.52,,0.52,,,,0.4776,0.52,,510.00M,510.00M,0.38,,AOR,Restated
2018-03,2.932B,2.951B,1.872B,1.079B,,,23.00M,145.00M,154.00M,,-160.00M,71.00M,599.00M,480.00M,,154.00M,-160.00M,30.00M,-160.00M,350.00M,59.00M,291.00M,,,,,291.00M,271.89M,922.00M,418.00M,504.00M,,0.57,,,,0.5324,0.57,,0.57,,,,0.5324,0.57,,509.00M,509.00M,0.38,,AOR,Restated
2017-12,2.775B,2.795B,1.778B,1.017B,,,21.00M,134.00M,149.00M,,-167.00M,67.00M,575.00M,442.00M,,149.00M,-167.00M,32.00M,-167.00M,307.00M,118.00M,189.00M,,,,,189.00M,176.07M,864.00M,408.00M,456.00M,,0.37,,,,0.3447,0.37,,0.37,,,,0.3447,0.37,,512.00M,512.00M,0.36,,AOR,Restated
2017-09,2.998B,3.017B,1.614B,1.403B,1.00M,1.00M,24.00M,134.00M,151.00M,6.00M,-151.00M,74.00M,580.00M,823.00M,6.00M,151.00M,-151.00M,25.00M,-151.00M,697.00M,205.00M,492.00M,,,,,492.00M,475.06M,1.253B,405.00M,848.00M,,0.97,,,,0.9367,0.97,,0.97,,,,0.9367,0.97,,509.00M,509.00M,0.36,,AOR,Restated
2017-06,2.628B,2.645B,1.613B,1.032B,1.00M,1.00M,16.00M,135.00M,150.00M,2.00M,-154.00M,65.00M,567.00M,465.00M,2.00M,150.00M,-154.00M,18.00M,-154.00M,329.00M,102.00M,227.00M,,,,,227.00M,215.96M,875.00M,396.00M,479.00M,,0.45,,,,0.4283,0.45,,0.45,,,,0.4283,0.45,,509.00M,509.00M,0.36,,AOR,Restated
2017-03,2.925B,2.946B,1.879B,1.067B,1.00M,1.00M,14.00M,142.00M,153.00M,4.00M,-155.00M,68.00M,576.00M,491.00M,4.00M,153.00M,-155.00M,20.00M,-155.00M,356.00M,117.00M,239.00M,,,,,239.00M,229.61M,909.00M,400.00M,509.00M,,0.47,,,,0.4515,0.47,,0.47,,,,0.4515,0.47,,508.00M,509.00M,0.36,,AOR,Restated
2016-12,2.775B,2.795B,1.773B,1.022B,,,14.96M,131.02M,148.95M,,-161.36M,67.73M,528.13M,494.06M,,148.95M,-161.36M,3.941M,-161.36M,336.64M,109.54M,227.10M,,,,,227.10M,217.01M,849.43M,363.84M,485.59M,,0.45,,,,0.4302,0.45,,0.45,,,,0.4302,0.45,,509.48M,509.48M,0.34,,AOR,Restated
2016-09,3.022B,3.040B,1.703B,1.337B,1.148M,1.148M,17.20M,117.19M,152.26M,1.385M,-156.94M,63.91M,510.76M,825.91M,1.385M,152.26M,-156.94M,27.24M,-156.94M,696.21M,238.41M,457.80M,,,,,457.80M,446.48M,1.212B,363.55M,848.47M,,0.90,,,,0.8778,0.90,,0.90,,,,0.8778,0.90,,508.94M,509.57M,0.34,,AOR,Restated
2016-06,2.483B,2.500B,1.551B,948.50M,0.92M,0.92M,14.73M,138.47M,149.67M,0.984M,-155.31M,55.92M,517.84M,430.66M,0.984M,149.67M,-155.31M,25.84M,-155.31M,301.19M,104.40M,196.80M,,,,,196.80M,187.18M,809.95M,359.09M,450.86M,,0.39,,,,0.3711,0.39,,0.39,,,,0.3711,0.39,,508.93M,509.49M,0.34,,AOR,Restated
2016-03,2.751B,2.772B,1.760B,1.013B,0.50M,0.50M,13.11M,145.32M,144.12M,4.07M,-146.38M,57.44M,523.28M,489.37M,4.07M,144.12M,-146.38M,26.98M,-146.38M,369.96M,128.65M,241.31M,,,,,241.31M,232.76M,863.59M,349.51M,514.08M,,0.47,,,,0.4532,0.47,,0.47,,,,0.4532,0.47,,508.67M,509.15M,0.34,,AOR,Restated
2015-12,2.626B,2.645B,1.727B,918.52M,2.422M,2.422M,15.27M,122.56M,140.43M,1.061M,-145.55M,59.28M,480.44M,438.08M,1.061M,140.43M,-145.55M,26.52M,-145.55M,319.05M,110.51M,208.54M,,,,,208.54M,198.56M,784.49M,325.01M,459.48M,,0.41,,,,0.3904,0.41,,0.41,,,,0.3904,0.41,,509.24M,509.24M,0.32,,AOR,Restated
2015-09,2.883B,2.901B,1.655B,1.246B,-0.689M,-0.689M,15.43M,123.08M,139.28M,0.312M,-145.22M,57.31M,459.83M,786.50M,0.312M,139.28M,-145.22M,24.21M,-145.22M,665.49M,239.03M,426.46M,,,,,426.46M,416.57M,1.123B,318.11M,804.77M,,0.84,,,,0.8205,0.84,,0.84,,,,0.8206,0.84,,508.03M,508.43M,0.32,,AOR,Restated
2015-06,2.498B,2.515B,1.634B,881.32M,0.222M,0.222M,12.64M,129.73M,132.20M,0.389M,-137.67M,54.14M,458.70M,422.62M,0.389M,132.20M,-137.67M,21.86M,-137.67M,306.81M,109.88M,196.93M,,,,,196.93M,188.82M,739.03M,300.02M,439.01M,,0.39,,,,0.3740,0.39,,0.39,,,,0.3740,0.39,,507.71M,508.07M,0.32,,AOR,Restated
2015-03,2.941B,2.962B,2.018B,943.84M,2.045M,2.045M,12.66M,136.63M,133.10M,4.238M,-134.56M,183.27M,595.04M,348.80M,4.238M,133.10M,-134.56M,21.40M,-134.56M,235.65M,83.58M,152.07M,,,,,152.07M,143.90M,674.60M,305.85M,368.74M,,0.30,,,,0.2839,0.30,,0.30,,,,0.2839,0.30,,506.98M,507.39M,0.32,,AOR,Restated
2014-12,2.907B,2.929B,2.090B,838.77M,2.26M,2.26M,20.90M,106.90M,130.26M,1.029M,-135.07M,78.22M,449.78M,388.99M,1.029M,130.26M,-135.07M,30.24M,-135.07M,284.16M,87.82M,196.34M,,,,,196.34M,181.90M,703.49M,289.07M,414.42M,,0.39,,,,0.3615,0.39,,0.39,,,,0.3615,0.39,,506.44M,506.83M,0.30,,AOR,Restated
2014-09,2.853B,2.870B,1.756B,1.114B,0.417M,0.417M,23.34M,117.96M,127.53M,1.139M,-132.13M,75.17M,448.94M,665.26M,1.139M,127.53M,-132.13M,31.42M,-132.13M,564.55M,195.97M,368.58M,,,,,368.58M,353.34M,983.69M,291.60M,692.08M,,0.73,,,,0.6999,0.73,,0.73,,,,0.6999,0.73,,506.08M,506.36M,0.30,,AOR,Restated
2014-06,2.667B,2.685B,1.845B,839.63M,2.438M,2.438M,23.61M,116.28M,123.67M,1.292M,-128.00M,70.83M,444.86M,394.77M,1.292M,123.67M,-128.00M,32.65M,-128.00M,299.42M,104.26M,195.16M,,,,,195.16M,179.77M,714.27M,291.18M,423.10M,,0.39,,,,0.3594,0.39,,0.39,,,,0.3594,0.39,,503.27M,503.46M,0.30,,AOR,Restated
2014-03,3.181B,3.203B,2.260B,942.18M,1.808M,1.808M,21.91M,124.70M,123.75M,3.893M,-125.65M,77.55M,450.00M,492.18M,3.893M,123.75M,-125.65M,30.46M,-125.65M,396.99M,135.77M,261.22M,,,,,261.22M,246.81M,799.95M,279.20M,520.75M,,0.52,,,,0.4911,0.52,,0.52,,,,0.4912,0.52,,499.52M,499.75M,0.30,,AOR,Restated
2013-12,2.710B,2.731B,1.980B,750.49M,2.36M,2.36M,24.54M,99.74M,127.37M,0.728M,-132.72M,68.44M,427.26M,323.22M,0.728M,127.37M,-132.72M,32.85M,-132.72M,223.36M,73.30M,150.06M,,,,,150.06M,133.57M,633.58M,282.86M,350.72M,,0.30,,,,0.2669,0.30,,0.30,,,,0.2670,0.30,,498.52M,498.83M,0.28,,AOR,Restated
2013-09,2.805B,2.822B,1.756B,1.067B,2.386M,2.386M,21.28M,105.29M,129.14M,1.304M,-133.86M,67.81M,403.98M,662.73M,1.304M,129.14M,-133.86M,29.24M,-133.86M,558.10M,193.35M,364.75M,,,,,364.75M,350.85M,947.17M,259.93M,687.25M,,0.73,,,,0.7021,0.73,,0.73,,,,0.7021,0.73,,498.15M,498.64M,0.28,,AOR,Restated
2013-06,2.561B,2.579B,1.770B,808.67M,1.407M,1.407M,22.11M,102.05M,124.31M,1.505M,-135.03M,60.44M,407.84M,400.83M,1.505M,124.31M,-135.03M,29.95M,-135.03M,295.75M,98.89M,196.86M,,,,,196.86M,182.44M,696.68M,276.62M,420.06M,,0.40,,,,0.3710,0.40,,0.40,,,,0.3711,0.40,,497.75M,498.04M,0.28,,AOR,Restated
2013-03,2.762B,2.783B,1.902B,880.79M,2.139M,2.139M,19.75M,113.43M,125.06M,4.806M,-126.07M,64.03M,428.30M,452.48M,4.806M,125.06M,-126.07M,28.59M,-126.07M,355.00M,118.43M,236.57M,,,,,236.57M,223.57M,760.59M,280.53M,480.07M,,0.48,,,,0.4535,0.48,,0.48,,,,0.4535,0.48,,489.78M,490.53M,0.27,,AOR,Restated
2012-12,2.531B,2.551B,1.831B,720.40M,1.463M,1.463M,18.34M,103.03M,127.54M,2.004M,-131.49M,69.28M,405.47M,314.93M,2.004M,127.54M,-131.49M,26.84M,-131.49M,210.28M,70.04M,140.24M,,,,,140.17M,128.01M,597.37M,259.55M,337.82M,,0.2871,-0.0001,,,0.2620,0.29,,0.2866,-0.0001,,,0.2616,0.29,,488.43M,489.14M,0.27,,AOR,Restated
2012-09,2.707B,2.724B,1.595B,1.129B,2.042M,2.042M,15.86M,100.64M,137.27M,1.82M,-141.46M,68.92M,410.65M,718.39M,1.82M,137.27M,-141.46M,24.06M,-141.46M,600.99M,202.84M,398.15M,-0.041M,,,,398.11M,387.79M,1.011B,272.92M,738.26M,,0.8157,-0.0001,,,0.7945,0.82,,0.8149,-0.0001,,,0.7937,0.81,,488.08M,488.58M,0.27,,AOR,Restated
2012-06,2.258B,2.275B,1.484B,790.58M,1.061M,1.061M,15.19M,99.63M,138.20M,0.881M,-143.36M,58.62M,385.95M,404.63M,0.881M,138.20M,-143.36M,23.60M,-143.36M,284.88M,101.80M,183.08M,-0.015M,,,,183.06M,173.31M,677.86M,254.78M,423.08M,,0.3754,-0.0000,,,0.3553,0.38,,0.3751,-0.0000,,,0.3551,0.38,,487.72M,488.02M,0.27,,AOR,Restated
2012-03,2.558B,2.578B,1.800B,778.16M,2.799M,2.799M,13.45M,105.62M,139.14M,5.622M,-139.60M,63.71M,400.80M,377.36M,5.622M,139.14M,-139.60M,21.52M,-139.60M,259.28M,75.52M,183.77M,0.124M,,,,183.89M,174.23M,657.52M,259.10M,398.43M,,0.3771,0.0003,,,0.3575,0.38,,0.3766,0.0003,,,0.3570,0.38,,487.36M,488.00M,0.26,,AOR,Restated
2011-12,2.492B,2.568B,3.439B,-870.81M,,-207.29M,12.47M,96.74M,121.97M,2.411M,-143.58M,,-1.210B,339.22M,2.411M,121.97M,-143.58M,23.58M,-143.58M,219.22M,78.48M,140.74M,,,,-3.26M,140.51M,132.74M,565.72M,224.53M,341.19M,,0.29,0.00,,,0.2735,0.29,,0.29,0.00,,,0.2736,0.29,,486.24M,487.00M,0.26,,AOR,Restated
2011-09,2.832B,2.832B,1.245B,1.587B,,71.28M,12.42M,89.02M,141.71M,1.974M,-139.74M,,935.59M,651.50M,1.974M,141.71M,-139.74M,19.84M,-139.74M,531.60M,193.30M,338.30M,0.037M,,,4.674M,338.33M,330.39M,951.79M,278.48M,673.31M,,0.69,0.00,,,0.6737,0.69,,0.69,0.00,,,0.6737,0.69,,485.34M,485.89M,0.26,,AOR,Restated
2011-06,2.438B,2.438B,1.159B,1.279B,,65.50M,20.94M,92.49M,146.34M,1.481M,-144.86M,,919.42M,359.44M,1.481M,146.34M,-144.86M,28.62M,-144.86M,243.20M,84.53M,158.67M,0.091M,,,1.06M,158.76M,145.01M,641.52M,251.98M,389.54M,,0.33,0.00,,,0.3018,0.33,,0.33,0.00,,,0.3018,0.33,,484.92M,485.24M,0.26,,AOR,Restated
2011-03,2.817B,2.817B,1.483B,1.333B,,75.30M,20.67M,96.57M,144.35M,4.773M,-139.58M,,906.62M,426.66M,4.773M,144.35M,-139.58M,28.39M,-139.58M,315.47M,112.00M,203.47M,0.102M,,,1.06M,203.57M,190.13M,714.59M,254.77M,459.82M,,0.42,0.00,,,0.3924,0.42,,0.42,0.00,,,0.3925,0.42,,483.64M,484.30M,0.2525,,AOR,Restated
2010-12,2.490B,2.567B,3.379B,-812.20M,,-167.92M,-1.193M,87.72M,97.85M,2.849M,-115.64M,,-1.128B,315.84M,2.849M,97.85M,-115.64M,7.971M,-115.64M,208.17M,71.67M,136.50M,0.131M,,,1.061M,136.63M,137.29M,557.34M,251.32M,306.02M,,0.29,0.00,,,0.2917,0.29,,0.28,0.00,,,0.2817,0.28,,468.76M,471.40M,0.2525,,AOR,Restated
2010-09,2.629B,2.629B,1.186B,1.443B,,60.86M,44.36M,81.79M,144.85M,4.88M,-139.97M,,873.96M,568.63M,4.88M,144.85M,-139.97M,52.03M,-139.97M,478.69M,166.20M,312.49M,-0.182M,,,1.06M,312.31M,283.53M,878.40M,254.87M,623.54M,,0.68,0.00,,,0.6171,0.68,,0.67,0.00,,,0.6073,0.67,,460.47M,462.02M,0.2525,,AOR,Restated
2010-06,2.308B,2.308B,1.118B,1.190B,,55.55M,13.46M,81.01M,134.88M,1.243M,-133.64M,,864.70M,325.30M,1.243M,134.88M,-133.64M,20.82M,-133.64M,212.49M,76.87M,135.62M,4.151M,,,1.06M,139.78M,127.03M,582.28M,234.91M,347.37M,,0.29,0.01,,,0.2713,0.30,,0.29,0.01,,,0.2713,0.30,,460.04M,460.43M,0.2525,,AOR,Restated
2010-03,2.807B,2.807B,1.577B,1.230B,,58.04M,4.477M,81.38M,143.83M,2.051M,-141.78M,,826.51M,403.66M,2.051M,143.83M,-141.78M,11.88M,-141.78M,289.24M,121.90M,167.34M,-0.222M,,,1.06M,167.12M,164.43M,669.53M,236.46M,433.07M,,0.36,0.00,,,0.3537,0.36,,0.36,0.00,,,0.3537,0.36,,458.92M,459.70M,0.245,,AOR,Restated
2009-12,2.618B,2.618B,1.433B,1.185B,,48.32M,115.34M,77.41M,131.08M,6.153M,-124.93M,,831.83M,353.26M,6.153M,131.08M,-124.93M,129.24M,-124.93M,261.58M,90.73M,170.85M,-1.964M,,,1.061M,168.88M,95.52M,626.28M,233.62M,392.66M,,0.37,-0.01,,,0.2053,0.36,,0.37,-0.01,,,0.2056,0.36,,457.45M,458.37M,0.245,,AOR,Restated
2009-09,2.315B,2.315B,1.059B,1.256B,,47.16M,-17.65M,78.91M,129.75M,2.709M,-127.04M,466.46M,790.76M,465.15M,2.709M,129.75M,-127.04M,-13.28M,-127.04M,357.40M,135.61M,221.79M,-0.965M,,,1.06M,220.83M,232.74M,711.68M,224.53M,487.15M,,0.48,0.00,,,0.5040,0.48,,0.48,0.00,,,0.5039,0.48,,456.77M,457.45M,0.245,,AOR,Restated
2009-06,2.016B,2.016B,947.48M,1.069B,,41.42M,-3.376M,73.07M,129.45M,3.14M,-126.31M,472.40M,789.24M,279.37M,3.14M,129.45M,-126.31M,-0.121M,-126.31M,174.91M,57.85M,117.06M,0.043M,,,1.06M,117.11M,119.32M,529.52M,225.16M,304.36M,,0.25,0.00,,,0.2550,0.25,,0.25,0.00,,,0.2549,0.25,,456.31M,456.77M,0.245,,AOR,Restated
2009-03,2.696B,2.696B,1.522B,1.174B,,45.22M,27.88M,77.04M,141.80M,2.926M,-138.88M,471.89M,802.87M,370.80M,2.926M,141.80M,-138.88M,31.02M,-138.88M,262.94M,87.12M,175.82M,-1.751M,,,1.06M,174.07M,157.18M,637.14M,232.39M,404.75M,,0.38,0.00,,,0.3390,0.38,,0.38,0.00,,,0.3391,0.38,,455.19M,455.95M,0.2375,,AOR,Restated
2008-12,2.708B,2.708B,1.617B,1.090B,,25.44M,23.67M,68.36M,136.96M,7.509M,-129.45M,,737.23M,352.84M,7.509M,136.96M,-129.45M,27.24M,-129.45M,250.63M,85.92M,163.56M,0.518M,,,1.061M,164.08M,148.00M,593.46M,184.21M,387.59M,,0.36,0.00,,,0.3257,0.36,,0.36,0.00,,,0.3260,0.36,,453.68M,457.10M,0.2375,,,Restated
2008-09,2.852B,2.852B,1.674B,1.177B,,27.48M,16.20M,70.24M,130.15M,9.854M,-120.30M,422.56M,729.42M,447.99M,9.854M,130.15M,-120.30M,16.20M,-120.30M,343.90M,121.55M,222.70M,0.094M,,,1.06M,222.79M,212.22M,716.66M,242.61M,474.05M,,0.51,0.00,,,0.4859,0.51,,0.51,0.00,,,0.4862,0.51,,434.13M,439.40M,0.2375,,,Restated
2008-06,2.616B,2.616B,1.589B,1.026B,,,24.54M,68.56M,,,,490.12M,766.46M,259.84M,,,,24.54M,,160.58M,55.11M,105.47M,0.099M,,,1.06M,105.57M,89.36M,502.97M,243.14M,259.84M,,0.24,0.00,,,0.2026,0.24,,0.24,0.00,,,0.2030,0.24,,430.81M,435.87M,0.2375,,,
2008-03,3.028B,3.028B,1.088B,1.940B,,,2.025M,79.41M,,,,1.311B,1.610B,330.12M,,,,2.025M,,230.58M,76.58M,153.99M,-0.887M,,0.248M,1.06M,153.11M,152.64M,567.83M,237.71M,330.12M,,0.35,0.00,,,0.3469,0.35,,0.35,0.00,,,0.3469,0.35,,429.56M,434.85M,0.23,,,
2007-12,2.603B,2.603B,1.522B,1.082B,,,7.953M,67.29M,,,,521.04M,795.73M,285.79M,,,,7.953M,,130.58M,39.31M,91.27M,38.65M,,0.127M,1.061M,129.92M,85.71M,510.16M,224.38M,285.79M,,0.22,0.09,,,0.2069,0.31,,0.22,0.09,,,0.2072,0.30,,423.89M,434.09M,0.23,,,
2007-09,2.400B,2.400B,1.191B,1.209B,,,0.122M,66.02M,,,,455.45M,713.14M,495.77M,,,,0.122M,,382.29M,135.94M,246.34M,5.369M,,0.225M,1.06M,251.71M,246.27M,708.61M,212.84M,495.77M,,0.58,0.02,,,0.5798,0.60,,0.57,0.01,,,0.5698,0.58,,419.82M,433.39M,0.23,,,
2007-06,2.267B,2.267B,1.251B,1.016B,,,-8.529M,66.24M,,,,444.34M,725.27M,290.55M,,,,-8.529M,,178.08M,62.28M,115.80M,-48.10M,,0.113M,1.06M,67.70M,121.34M,522.14M,231.59M,290.55M,,0.16,0.00,,,0.1734,0.16,,0.16,0.00,,,0.1728,0.16,,412.71M,432.86M,0.23,,,
2007-03,2.764B,2.764B,979.57M,1.784B,,,1.666M,78.18M,,,,1.214B,1.506B,278.13M,,,,1.666M,,166.42M,47.91M,118.51M,1.197M,,0.134M,1.06M,119.71M,117.33M,509.99M,231.86M,278.13M,,0.29,0.00,,,0.2871,0.29,,0.28,0.00,,,0.2773,0.28,,408.00M,432.05M,0.2225,,,
2006-12,2.467B,2.467B,,,,,,,,,,,,-6.197B,,,,,,,,96.76M,0.961M,,,,97.72M,96.76M,-5.973B,223.33M,-6.197B,,0.27,-0.03,,,0.27,0.24,,0.27,-0.03,,,0.27,0.24,,407.05M,431.14M,0.2225,,,
2006-09,2.412B,2.412B,,,,,,,,,,,,2.412B,,,,,,,,224.18M,0.287M,,,,224.46M,224.18M,2.643B,231.34M,2.412B,,0.52,0.03,,,0.52,0.55,,0.50,0.03,,,0.50,0.53,,406.12M,430.00M,0.2225,,,
2006-06,2.074B,2.074B,951.21M,1.123B,,,0.802M,71.32M,,,,621.97M,896.96M,225.70M,,,,0.802M,,125.32M,27.23M,98.09M,0.186M,,0.253M,1.06M,98.28M,97.46M,446.97M,221.26M,225.70M,,0.24,0.00,,,0.2385,0.24,,0.24,0.00,,,0.2385,0.24,,405.43M,429.10M,0.2225,,,
2006-03,2.888B,2.888B,994.70M,1.893B,,,1.118M,78.54M,,,,1.299B,1.581B,312.75M,,,,1.118M,,203.15M,53.34M,149.81M,1.486M,,,1.06M,151.30M,148.99M,531.67M,218.92M,312.75M,,0.37,0.00,,,0.3680,0.37,,0.36,0.00,,,0.3581,0.36,,404.12M,427.46M,0.215,,,
2005-12,2.885B,2.885B,1.127B,1.758B,,,6.445M,67.18M,,,,1.248B,1.507B,250.56M,,,,6.445M,,142.26M,43.30M,98.96M,13.10M,,,1.061M,112.07M,94.48M,460.49M,209.94M,250.56M,,0.24,0.03,,,0.2289,0.27,,0.24,0.03,,,0.2295,0.27,,403.24M,426.58M,0.215,,,
2005-09,2.286B,2.286B,1.121B,1.165B,,,-0.288M,73.55M,,,,536.90M,800.24M,364.72M,,,,-0.288M,,258.45M,60.63M,197.82M,-1.798M,,0.171M,1.06M,196.02M,198.04M,566.77M,202.04M,364.72M,,0.49,-0.01,,,0.4905,0.48,,0.47,-0.01,,,0.4705,0.47,,402.74M,426.08M,0.215,,,
2005-06,2.064B,2.064B,912.40M,1.152B,,,9.984M,71.33M,,,,684.11M,949.42M,202.24M,,,,9.984M,,102.36M,24.68M,77.68M,5.73M,,,1.06M,83.41M,70.10M,400.53M,198.30M,202.24M,,0.19,0.01,,,0.1712,0.20,,0.19,0.01,,,0.1722,0.20,,402.21M,425.55M,0.215,,,
2005-03,2.391B,2.391B,761.41M,1.629B,,,0.242M,75.75M,,,,1.087B,1.354B,275.02M,,,,0.242M,,169.32M,44.86M,124.46M,-2.985M,,,1.06M,121.48M,124.29M,480.53M,205.51M,275.02M,,0.31,-0.01,,,0.3096,0.30,,0.30,-0.01,,,0.2996,0.29,,401.12M,424.45M,0.2075,,,
2004-12,2.232B,2.232B,750.20M,1.481B,,,9.387M,62.90M,,,,1.015B,1.264B,217.35M,,,,9.387M,,121.57M,-0.64M,122.21M,-49.18M,,,1.061M,73.02M,116.58M,418.03M,200.68M,217.35M,,0.31,-0.13,,,0.2959,0.18,,0.29,-0.13,,,0.2768,0.18,,400.27M,425.78M,0.2075,,,
