,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,TotalReceivables,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2006-03,1.466M,,1.466M,,,,,61.75M,,63.22M,,,,,,,3.112B,-569.68M,2.543B,,,,,38.73M,,,,,2.581B,2.662B,72.73M,,,72.73M,0.00,72.73M,,,,,,,,,72.73M,1.855B,,1.855B,30.39M,9.953M,40.35M,34.64M,,1.930B,2.003B,,2006-03,694.53M,0.115M,0.685M,658.77M,,2006-03,AOR,Restated
2005-12,1.641M,,1.641M,,,2.841M,2.841M,59.67M,,64.15M,,,,,,,3.068B,-541.35M,2.526B,,,,,39.92M,,,,,2.566B,2.639B,60.54M,,,60.54M,14.42M,74.96M,,,,,,30.39M,30.39M,,105.35M,1.803B,,1.803B,,10.54M,10.54M,51.76M,,1.865B,1.972B,,2005-12,692.65M,0.00,-0.856M,667.32M,,2005-12,AOR,
2005-09,5.764M,,5.764M,,,,,56.40M,,62.16M,,,,,,,3.066B,-513.10M,2.553B,,,,,52.59M,,,,,2.605B,2.658B,77.32M,,,77.32M,37.26M,114.57M,,,,,,,,,114.57M,1.811B,,1.811B,30.39M,11.13M,41.52M,30.43M,,1.883B,2.004B,,2005-09,692.68M,2.216M,-1.959M,654.11M,,2005-09,AOR,Restated
2005-06,0.802M,,0.802M,,,,97.02M,51.95M,,149.77M,,,,,,,2.918B,-485.48M,2.432B,,,,,57.54M,,,,,2.490B,2.625B,70.71M,,,70.71M,0.00,70.71M,,,,,,,,,70.71M,1.833B,,1.833B,30.39M,11.71M,42.11M,13.64M,,1.888B,1.970B,,2005-06,696.81M,9.149M,-6.644M,655.16M,,2005-06,AOR,Restated
2005-03,1.779M,,1.779M,,,3.234M,3.234M,17.76M,,22.78M,,,,,,,1.594B,-467.28M,1.127B,,,,,38.88M,,,,,1.166B,1.174B,28.02M,,,28.02M,30.53M,58.55M,,,,,,,,,58.55M,877.64M,,877.64M,30.39M,12.30M,42.69M,18.87M,,939.20M,1.007B,,2005-03,210.22M,11.59M,-4.943M,166.73M,,2005-03,AOR,Restated
2004-12,3.365M,,3.365M,,,3.216M,3.216M,25.71M,,32.29M,,,,,,,1.525B,-454.11M,1.071B,,,,,13.03M,,,,,1.084B,1.127B,18.72M,,,18.72M,8.743M,27.46M,,,,,,30.39M,30.39M,,57.86M,843.18M,,843.18M,,12.89M,12.89M,36.24M,,892.31M,966.71M,,2004-12,208.90M,14.92M,-9.747M,160.22M,,2004-12,AOR,Restated
2004-09,3.805M,,3.805M,,,3.269M,3.269M,16.76M,,23.83M,,,,,,,1.491B,-444.86M,1.046B,,,,,16.31M,,,,,1.062B,1.091B,27.07M,,,27.07M,0.00,27.07M,,,,,,,,,27.07M,853.77M,,853.77M,30.39M,13.54M,43.93M,15.26M,,912.96M,961.17M,,2004-09,204.39M,16.42M,-14.56M,130.17M,,2004-09,AOR,Restated
2004-06,8.88M,,8.88M,,,3.251M,3.251M,18.36M,,30.49M,,,,,,,1.453B,-431.71M,1.021B,,,,,19.67M,,,,,1.041B,1.073B,21.30M,,,21.30M,0.00,21.30M,,,,,,,,,21.30M,851.68M,,851.68M,30.39M,14.20M,44.60M,6.718M,,902.99M,943.38M,,2004-06,201.48M,19.30M,-11.36M,129.63M,,2004-06,AOR,Restated
2004-03,1.723M,,1.723M,,,3.609M,3.609M,18.98M,,24.32M,,,,,,,1.383B,-419.66M,963.03M,,,,7.527M,16.44M,,,,,987.00M,1.007B,18.85M,,,18.85M,0.00,18.85M,,,,,,,,,18.85M,782.36M,,782.36M,30.39M,14.72M,45.11M,14.52M,,842.00M,893.43M,,2004-03,199.94M,21.79M,-24.68M,113.89M,,2004-03,AOR,Restated
2003-12,82.10M,,82.10M,,,3.772M,3.772M,,,85.88M,,,,,,,1.107B,-408.89M,697.74M,,,,,,,,,,697.74M,812.85M,,,,,,14.97M,,,,,,30.39M,30.39M,,45.36M,640.56M,,640.56M,,15.31M,15.31M,27.44M,,683.30M,756.54M,,2003-12,162.47M,50.97M,-19.04M,56.32M,,2003-12,AOR,Restated
2003-09,10.10M,,10.10M,,,3.822M,3.822M,8.03M,,21.95M,,,,,,,1.145B,-414.59M,730.70M,,,,0.00,,,,,,730.70M,774.40M,13.73M,,,13.73M,0.00,13.73M,,,,,,,,,13.73M,679.36M,,679.36M,30.39M,16.31M,46.70M,13.96M,,740.02M,798.10M,,2003-09,173.66M,73.94M,-31.78M,-23.70M,,2003-09,AOR,Restated
2003-06,9.173M,13.88M,23.05M,,,3.803M,3.803M,7.031M,,33.88M,,,,,,,1.153B,-410.05M,743.14M,,,,21.77M,,,,,,764.91M,800.60M,19.94M,,,19.94M,0.00,19.94M,,,,,,,,,19.94M,720.16M,,720.16M,30.39M,16.92M,47.31M,6.664M,,774.13M,847.81M,,2003-06,185.15M,95.03M,-34.80M,-47.20M,,2003-06,AOR,Restated
2003-03,3.083M,10.41M,13.50M,,,4.158M,4.158M,19.58M,,37.23M,,,,,,,1.238B,-419.87M,818.04M,,,,16.55M,,,,,,834.59M,878.09M,17.77M,,,17.77M,0.00,17.77M,,,47.50M,47.50M,,,,,65.27M,750.44M,,750.44M,30.39M,18.25M,48.64M,15.12M,,814.20M,920.86M,,2003-03,188.99M,99.97M,-34.30M,-42.77M,,2003-03,AOR,Restated
2002-12,2.455M,,2.455M,,,,,,,2.455M,,,,,,,,,,,,,,,,,,,,895.78M,,,,,,,,,,,,,,,,707.71M,,707.71M,,,,,,707.71M,949.41M,,2002-12,,,,-53.63M,,2002-12,AOR,Restated
2002-09,4.121M,34.10M,38.22M,,,4.186M,4.186M,19.66M,,62.06M,,,,,,,1.168B,-398.42M,769.98M,,,,34.10M,,,,,,804.08M,857.24M,,,,20.87M,0.00,20.87M,,,,,,,,,20.87M,785.92M,,785.92M,30.39M,19.03M,49.42M,17.82M,,853.16M,982.87M,,2002-09,105.32M,110.83M,-11.39M,-125.62M,,2002-09,AOR,
2002-06,3.336M,42.73M,46.06M,,,4.17M,4.17M,19.68M,,69.92M,,,,,,,1.168B,-388.07M,780.34M,,,,42.73M,,,,,,823.07M,880.87M,,,,30.05M,0.00,30.05M,,,,,,,,,30.05M,807.66M,,807.66M,30.39M,19.65M,50.05M,,,857.71M,976.24M,,2002-06,119.04M,127.34M,22.26M,-95.38M,,2002-06,AOR,
2002-03,9.281M,43.75M,53.03M,,,4.508M,4.508M,19.99M,,77.53M,,,,,,,1.175B,-379.12M,795.42M,,,,43.75M,,,,,,839.17M,891.63M,,,,17.22M,0.00,17.22M,,,,,,,,,17.22M,831.54M,,831.54M,30.39M,20.40M,50.79M,,,882.34M,985.90M,,2002-03,119.26M,127.59M,33.45M,-94.27M,,2002-03,AOR,
2001-12,18.60M,72.20M,90.80M,,,,,20.77M,,111.57M,,,,,,,,,806.34M,,,,,,,,,,806.34M,941.86M,,,,,,,,,,,,,,,,848.37M,,848.37M,,,,,,848.37M,1.033B,,2001-12,122.47M,133.03M,,-91.07M,,2001-12,AOR,Restated
2001-09,23.83M,,23.83M,,,3.589M,3.589M,18.74M,,46.16M,,,,,,,1.176B,-359.02M,816.74M,,,,88.41M,,,,,,905.15M,962.78M,,,,13.70M,15.15M,28.85M,,,,,,,,,28.85M,850.02M,,850.02M,30.51M,21.66M,52.16M,,,902.18M,1.044B,,2001-09,123.32M,133.88M,49.43M,-81.63M,,2001-09,AOR,
2001-06,23.38M,,23.38M,,,3.543M,3.543M,,,26.93M,,,,,,,1.176B,-348.55M,827.60M,,,,,,,,,,827.60M,901.13M,,,,13.05M,0.00,13.05M,,,,,,,,,13.05M,850.42M,,850.42M,30.51M,22.28M,52.79M,,,903.21M,1.012B,,2001-06,123.35M,133.92M,-0.431M,-110.37M,,2001-06,AOR,
2001-03,55.10M,,55.10M,,,3.882M,3.882M,,,58.98M,,,,,,,1.176B,-338.07M,838.07M,,,,,,,,,,838.07M,938.69M,,,,14.32M,0.00,14.32M,,,,,,,,,14.32M,851.38M,,851.38M,30.51M,,30.51M,,,881.89M,1.045B,,2001-03,126.24M,137.54M,-2.27M,-105.91M,,2001-03,AOR,
2000-12,87.40M,,87.40M,,,,,,,87.40M,,,,,,,1.176B,,1.176B,,,,,,,,,,1.176B,981.14M,,,,,,,,,,,,,,,,886.38M,,886.38M,,,,,,886.38M,1.099B,,2000-12,,,,-117.51M,,2000-12,AOR,Restated
2000-09,96.14M,,96.14M,,,3.386M,3.386M,,,99.52M,,,,,,,1.183B,-319.44M,863.11M,,,,,,,,,,863.11M,1.006B,,,,,,13.58M,,,,,,,,,13.58M,923.37M,,923.37M,30.51M,,30.51M,,,953.87M,1.020B,,2000-09,132.23M,145.43M,-1.68M,-13.68M,,2000-09,AOR,
2000-06,115.65M,,115.65M,,,3.47M,3.47M,,,119.12M,,,,,,,1.183B,-308.92M,873.63M,,,,1.656M,,,,,,875.29M,1.034B,,,,,,11.17M,,,,,,,,,11.17M,923.37M,,923.37M,30.51M,,30.51M,,,953.87M,1.014B,,2000-06,132.24M,145.43M,-2.024M,19.85M,,2000-06,AOR,
2000-03,121.65M,,121.65M,,,3.629M,3.629M,,,125.28M,,,,,,,1.183B,-298.39M,884.16M,,,,,,,,,,884.16M,1.024B,,,,,,9.981M,,,,,,,,,9.981M,923.37M,,923.37M,30.51M,,30.51M,,,953.87M,1.012B,,2000-03,132.24M,145.42M,-2.353M,12.01M,,2000-03,AOR,
1999-12,,,,,,,,,,,,,,,,,,,894.79M,,,,,,,,,,894.79M,1.071B,,,,,,,,,,,,,,,,974.25M,,974.25M,,,,,,974.25M,1.063B,,1999-12,139.72M,154.11M,,8.345M,,1999-12,AOR,
1999-09,,,,,,,,,,,,,,,,,,,906.60M,,,,,,,,,,906.60M,1.052B,,,,,,,,,,,,,,,,975.10M,,975.10M,,,,,,975.10M,1.033B,,1999-09,140.10M,154.10M,,19.10M,,1999-09,,
1999-06,,,,,,,,,,,,,,,,,,,917.60M,,,,,,,,,,917.60M,1.018B,,,,,5.80M,5.80M,,,,,,,,,5.80M,976.00M,,976.00M,,,,,,976.00M,1.012B,,1999-06,,,,5.90M,,1999-06,,
1999-03,,,,,,,,,,,,,,,,,,,928.50M,,,,,,,,,,928.50M,999.50M,,,,,2.00M,2.00M,,,,,,,,,2.00M,976.90M,,976.90M,,,,,,976.90M,1.014B,,1999-03,,,,-14.50M,,1999-03,,
