,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2015-03,783.07M,805.13M,347.72M,457.41M,34.33M,34.33M,,,-30.63M,,,82.33M,0.471M,-81.86M,,250.54M,206.86M,0.471M,82.33M,-81.86M,-35.76M,-81.86M,89.25M,-7.25M,96.50M,-0.317M,,120.44M,114.56M,419.03M,,2015-03,0.32,0.05,0.00,0.37,,2015-03,0.0203,,0.3758,0.37,,2015-03,325.45M,329.20M,0.79,,2015-03,AOR,Restated
2014-12,713.76M,728.64M,319.90M,408.74M,28.11M,28.11M,,,-7.845M,,,77.95M,3.452M,-74.50M,,246.16M,162.58M,3.452M,77.95M,-74.50M,-16.21M,-74.50M,71.88M,-13.55M,85.43M,-0.407M,,107.19M,90.12M,391.12M,,2014-12,0.30,0.07,0.00,0.37,,2014-12,0.0049,,0.3071,0.36,,2014-12,294.80M,297.48M,0.79,,2014-12,AOR,Restated
2014-09,691.38M,704.56M,311.10M,393.46M,29.46M,29.46M,,,-18.60M,,,77.32M,0.367M,-76.96M,,202.47M,190.99M,0.367M,77.32M,-76.96M,-28.06M,-76.96M,85.97M,-1.887M,87.86M,-0.522M,,109.13M,99.43M,364.53M,,2014-09,0.31,0.06,0.00,0.37,,2014-09,0.0122,,0.3508,0.37,,2014-09,294.03M,296.50M,0.725,,2014-09,AOR,Restated
2014-06,736.46M,751.08M,290.38M,460.70M,31.31M,31.31M,,,-12.52M,,,91.50M,0.173M,-91.33M,,222.12M,238.57M,0.173M,91.50M,-91.33M,-17.04M,-91.33M,130.21M,3.274M,126.93M,-0.168M,,138.40M,138.97M,413.77M,,2014-06,0.47,0.00,0.00,0.47,,2014-06,0.0401,,0.5112,0.47,,2014-06,293.99M,296.50M,0.725,,2014-06,AOR,Restated
2014-03,730.43M,741.20M,291.01M,450.19M,32.87M,32.87M,,,-10.50M,,,87.84M,0.273M,-87.57M,,226.46M,223.73M,0.273M,87.84M,-87.57M,-15.48M,-87.57M,120.68M,3.433M,117.24M,-0.227M,,121.05M,127.22M,402.39M,,2014-03,0.40,0.01,0.00,0.41,,2014-03,0.0034,,0.4344,0.41,,2014-03,293.88M,296.24M,0.725,,2014-03,AOR,Restated
2013-12,429.09M,438.23M,291.71M,146.52M,30.33M,30.33M,,,-6.607M,,,4.374M,0.121M,-4.253M,,136.20M,10.32M,0.121M,4.374M,-4.253M,-11.69M,-4.253M,-5.624M,1.272M,-6.896M,0.001M,,108.44M,-2.600M,199.31M,,2013-12,0.37,0.00,0.00,0.37,,2013-12,0.00,,0.3845,0.37,,2013-12,293.69M,296.08M,0.725,,2013-12,AOR,Restated
2013-09,696.74M,711.18M,286.53M,424.65M,28.66M,28.66M,,,-6.019M,,,83.76M,0.066M,-83.70M,,205.70M,218.95M,0.066M,83.76M,-83.70M,-10.26M,-83.70M,124.99M,-2.78M,127.77M,-0.303M,,118.30M,131.38M,397.15M,,2013-09,0.43,-0.03,0.00,0.40,,2013-09,0.00,,0.4433,0.40,,2013-09,292.82M,295.19M,0.67,,2013-09,AOR,Restated
2013-06,668.58M,683.31M,271.16M,412.16M,27.32M,27.32M,,,-5.947M,,,82.24M,0.797M,-81.44M,,198.85M,213.31M,0.797M,82.24M,-81.44M,-10.84M,-81.44M,121.03M,-12.06M,133.09M,0.047M,,114.58M,137.00M,397.25M,,2013-06,0.45,-0.06,0.00,0.39,,2013-06,0.00,,0.4631,0.39,,2013-06,292.64M,295.12M,0.67,,2013-06,AOR,Restated
2013-03,665.77M,681.87M,268.84M,413.03M,28.77M,28.77M,,,-4.262M,,,78.63M,1.038M,-77.60M,,204.24M,208.79M,1.038M,78.63M,-77.60M,-7.92M,-77.60M,123.27M,1.744M,121.53M,-0.905M,,112.19M,124.83M,388.85M,,2013-03,0.41,-0.03,0.00,0.38,,2013-03,0.00,,0.4243,0.38,,2013-03,291.46M,293.92M,0.67,,2013-03,AOR,Restated
2012-12,638.79M,653.48M,263.05M,390.42M,23.02M,23.02M,,,-12.92M,,,74.69M,0.664M,-74.02M,,203.20M,187.23M,0.664M,74.69M,-74.02M,-14.56M,-74.02M,98.65M,-3.555M,102.20M,0.141M,,86.27M,110.74M,375.08M,,2012-12,0.33,-0.04,,0.29,,2012-12,,,0.3583,0.29,,2012-12,294.72M,297.09M,0.62,,2012-12,AOR,Restated
