,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,606.00M,-24.00M,102.00M,78.00M,382.00M,382.00M,-103.00M,159.00M,,-634.00M,-260.00M,-209.00M,124.00M,,,,-345.00M,,143.00M,-304.00M,83.00M,-221.00M,40.00M,473.00M,-11.00M,281.00M,0.00,1.581B,1.581B,219.00M,-937.00M,-718.00M,-810.00M,-810.00M,-7.00M,46.00M,3.053B,470.00M,-32.00M,3.491B,219.00M,6.00M,-6.00M,-937.00M
2017-12,525.00M,-96.00M,91.00M,-5.00M,349.00M,349.00M,212.00M,58.00M,,-445.00M,350.00M,49.00M,767.00M,,,,1.166B,,1.86B,-459.00M,31.00M,-428.00M,-1.808B,-488.00M,-8.00M,-2.732B,1.675B,518.00M,2.193B,152.00M,-504.00M,-352.00M,-699.00M,-699.00M,-98.00M,1.044B,2.831B,172.00M,50.00M,3.053B,152.00M,1.987B,-312.00M,-504.00M
2017-09,1.433B,0.00,80.00M,80.00M,377.00M,377.00M,15.00M,60.00M,,30.00M,-183.00M,-89.00M,27.00M,,,,-245.00M,,1.75B,-325.00M,5.00M,-320.00M,-12.00M,-446.00M,-3.00M,-781.00M,0.00,173.00M,173.00M,86.00M,-380.00M,-294.00M,-701.00M,-701.00M,-21.00M,-843.00M,2.654B,126.00M,51.00M,2.831B,86.00M,0.00,0.00,-380.00M
2017-06,1.585B,-461.00M,82.00M,-379.00M,380.00M,380.00M,-36.00M,59.00M,,310.00M,-175.00M,-198.00M,96.00M,,,,-277.00M,,1.642B,-302.00M,12.00M,-290.00M,809.00M,-2.00M,0.00,517.00M,-650.00M,-45.00M,-695.00M,181.00M,-494.00M,-313.00M,-701.00M,-701.00M,4.00M,-1.705B,2.173B,454.00M,27.00M,2.654B,181.00M,0.00,-650.00M,-494.00M
2017-03,1.326B,-29.00M,81.00M,52.00M,438.00M,438.00M,-84.00M,147.00M,,-606.00M,-237.00M,-149.00M,101.00M,,,,-285.00M,,988.00M,-287.00M,1.00M,-286.00M,53.00M,138.00M,5.00M,-90.00M,0.00,-68.00M,-68.00M,315.00M,-690.00M,-375.00M,-702.00M,-702.00M,-6.00M,-1.151B,2.398B,-253.00M,28.00M,2.173B,315.00M,0.00,0.00,-690.00M
2016-12,1.156B,-71.00M,70.00M,-1.00M,384.00M,384.00M,107.00M,54.00M,,80.00M,156.00M,72.00M,201.00M,,,,429.00M,,2.209B,-436.00M,40.00M,-396.00M,87.00M,79.00M,0.00,-230.00M,0.00,-299.00M,-299.00M,63.00M,-924.00M,-861.00M,-664.00M,-664.00M,-22.00M,-1.846B,2.308B,133.00M,-43.00M,2.398B,63.00M,0.00,0.00,-924.00M
2016-09,1.331B,0.00,62.00M,62.00M,368.00M,368.00M,34.00M,51.00M,,-122.00M,-50.00M,27.00M,207.00M,,,,184.00M,,1.908B,-347.00M,0.00,-347.00M,-13.00M,-181.00M,-2.00M,-543.00M,728.00M,-161.00M,567.00M,129.00M,-774.00M,-645.00M,-670.00M,-670.00M,-4.00M,-752.00M,1.688B,613.00M,7.00M,2.308B,129.00M,1.72B,-992.00M,-774.00M
2016-06,1.293B,-40.00M,59.00M,19.00M,366.00M,366.00M,-96.00M,49.00M,,210.00M,-174.00M,-5.00M,-377.00M,,,,-556.00M,,1.285B,-323.00M,0.00,-323.00M,0.00,0.00,-27.00M,-350.00M,1.112B,-475.00M,637.00M,255.00M,-828.00M,-573.00M,-672.00M,-672.00M,6.00M,-602.00M,1.337B,333.00M,18.00M,1.688B,255.00M,1.112B,0.00,-828.00M
2016-03,1.278B,,59.00M,59.00M,356.00M,356.00M,-38.00M,144.00M,,-475.00M,-245.00M,-37.00M,218.00M,,,,-64.00M,,1.26B,-314.00M,18.00M,-296.00M,52.00M,-61.00M,25.00M,-280.00M,,138.00M,138.00M,357.00M,-1.227B,-870.00M,-672.00M,-672.00M,-22.00M,-1.426B,1.798B,-446.00M,-15.00M,1.337B,357.00M,,,-1.227B
2015-12,1.039B,,138.00M,91.00M,397.00M,397.00M,2.00M,43.00M,-17.00M,256.00M,420.00M,142.00M,-35.00M,,,,527.00M,,2.338B,-446.00M,16.00M,-430.00M,100.00M,44.00M,80.00M,-206.00M,-5.00M,-300.00M,-305.00M,117.00M,-1.134B,-1.017B,-628.00M,-628.00M,-4.00M,-1.954B,1.605B,178.00M,15.00M,1.798B,117.00M,2.00M,-7.00M,-1.134B
2015-09,1.298B,,135.00M,135.00M,355.00M,355.00M,98.00M,46.00M,-8.00M,-113.00M,-32.00M,130.00M,-245.00M,,,,-147.00M,,1.664B,-354.00M,3.00M,-351.00M,-2.757B,328.00M,3.00M,-2.777B,712.00M,1.199B,1.911B,68.00M,-1.523B,-1.455B,-635.00M,-635.00M,-41.00M,-220.00M,2.983B,-1.333B,-45.00M,1.605B,68.00M,1.495B,-783.00M,-1.523B
2015-06,1.303B,,149.00M,149.00M,344.00M,344.00M,251.00M,49.00M,-28.00M,169.00M,-150.00M,-138.00M,-611.00M,,,,-899.00M,,1.338B,-370.00M,10.00M,-360.00M,-3.00M,514.00M,15.00M,166.00M,1.915B,-35.00M,1.88B,141.00M,-1.695B,-1.554B,-646.00M,-646.00M,0.00,-320.00M,1.791B,1.184B,8.00M,2.983B,141.00M,1.925B,-10.00M,-1.695B
2015-03,1.201B,,134.00M,134.00M,339.00M,339.00M,44.00M,138.00M,-101.00M,-404.00M,-296.00M,-131.00M,156.00M,,,,-271.00M,,1.08B,-291.00M,4.00M,-287.00M,-131.00M,414.00M,4.00M,0.00,,-4.00M,-4.00M,309.00M,-886.00M,-577.00M,-652.00M,-652.00M,79.00M,-1.154B,1.897B,-74.00M,-32.00M,1.791B,309.00M,,,-886.00M
2014-12,1.179B,,98.00M,98.00M,350.00M,350.00M,-85.00M,59.00M,-46.00M,0.00,319.00M,119.00M,190.00M,,,,628.00M,,2.183B,-490.00M,19.00M,-471.00M,0.00,371.00M,82.00M,-18.00M,1.47B,-1.908B,-438.00M,229.00M,-1.279B,-1.05B,-544.00M,-544.00M,-98.00M,-2.13B,1.929B,35.00M,-67.00M,1.897B,229.00M,1.544B,-74.00M,-1.279B
2014-09,1.311B,,97.00M,97.00M,350.00M,350.00M,-25.00M,47.00M,-24.00M,30.00M,-103.00M,10.00M,18.00M,,,,-75.00M,,1.711B,-369.00M,78.00M,-291.00M,0.00,250.00M,42.00M,1.00M,-1.446B,1.873B,427.00M,154.00M,-1.239B,-1.085B,-550.00M,-550.00M,-681.00M,-1.889B,2.125B,-177.00M,-19.00M,1.929B,154.00M,-14.00M,-1.432B,-1.239B
2014-06,1.283B,,98.00M,98.00M,358.00M,358.00M,47.00M,52.00M,-46.00M,242.00M,-137.00M,-111.00M,-146.00M,,,,-394.00M,,1.64B,-341.00M,35.00M,-306.00M,-94.00M,135.00M,-27.00M,-292.00M,851.00M,-404.00M,447.00M,318.00M,-1.426B,-1.108B,-556.00M,-556.00M,32.00M,-1.185B,1.954B,163.00M,8.00M,2.125B,318.00M,906.00M,-55.00M,-1.426B
2014-03,1.225B,,98.00M,98.00M,350.00M,350.00M,-83.00M,122.00M,-51.00M,-310.00M,-347.00M,-131.00M,219.00M,,,,-259.00M,,1.092B,-293.00M,3.00M,-290.00M,0.00,-2.00M,5.00M,-287.00M,108.00M,466.00M,574.00M,267.00M,-1.708B,-1.441B,-566.00M,-566.00M,34.00M,-1.399B,2.581B,-594.00M,-33.00M,1.954B,267.00M,172.00M,-64.00M,-1.708B
2013-12,1.116B,,139.00M,139.00M,357.00M,357.00M,-113.00M,43.00M,-24.00M,-86.00M,269.00M,69.00M,223.00M,,,,561.00M,,1.993B,-543.00M,42.00M,-501.00M,0.00,314.00M,33.00M,-154.00M,806.00M,-609.00M,197.00M,237.00M,-1.674B,-1.437B,-423.00M,-423.00M,60.00M,-1.603B,2.34B,236.00M,5.00M,2.581B,237.00M,812.00M,-6.00M,-1.674B
2013-09,1.245B,,139.00M,139.00M,343.00M,343.00M,-91.00M,47.00M,-17.00M,-164.00M,3.00M,12.00M,-366.00M,,,,-351.00M,,1.151B,-404.00M,68.00M,-336.00M,0.00,365.00M,9.00M,38.00M,-840.00M,619.00M,-221.00M,269.00M,-1.543B,-1.274B,-431.00M,-431.00M,10.00M,-1.916B,2.942B,-727.00M,125.00M,2.34B,269.00M,1.00M,-841.00M,-1.543B
2013-06,1.213B,,137.00M,137.00M,335.00M,335.00M,-24.00M,47.00M,-17.00M,112.00M,-154.00M,-139.00M,169.00M,,,,-124.00M,,1.679B,-394.00M,8.00M,-386.00M,8.00M,44.00M,-1.00M,-335.00M,-5.00M,1.00M,-4.00M,365.00M,-1.19B,-825.00M,-436.00M,-436.00M,24.00M,-1.241B,2.928B,103.00M,-89.00M,2.942B,365.00M,2.00M,-7.00M,-1.19B
2013-03,1.147B,,138.00M,138.00M,336.00M,336.00M,61.00M,103.00M,-34.00M,-470.00M,-455.00M,-28.00M,196.00M,,,,-287.00M,,994.00M,-324.00M,10.00M,-314.00M,,-96.00M,5.00M,-405.00M,4.00M,-13.00M,-9.00M,738.00M,-805.00M,-67.00M,-440.00M,-440.00M,30.00M,-486.00M,2.883B,103.00M,-58.00M,2.928B,738.00M,9.00M,-5.00M,-805.00M
2012-12,1.004B,,160.00M,160.00M,332.00M,332.00M,-56.00M,42.00M,-9.00M,-292.00M,371.00M,117.00M,69.00M,,,,557.00M,,1.738B,-507.00M,26.00M,-481.00M,-798.00M,727.00M,0.00,-552.00M,-475.00M,0.00,-475.00M,240.00M,-714.00M,-474.00M,-407.00M,-407.00M,12.00M,-1.344B,3.029B,-158.00M,12.00M,2.883B,240.00M,119.00M,-594.00M,-714.00M
2012-09,1.18B,,155.00M,155.00M,322.00M,322.00M,3.00M,36.00M,-12.00M,-68.00M,112.00M,-100.00M,-283.00M,,,,-271.00M,,1.345B,-358.00M,7.00M,-351.00M,-104.00M,-835.00M,10.00M,-1.28B,7.00M,-2.00M,5.00M,293.00M,-327.00M,-34.00M,-408.00M,-408.00M,-6.00M,-443.00M,3.308B,-378.00M,99.00M,3.029B,293.00M,7.00M,0.00,-327.00M
2012-06,1.186B,,155.00M,155.00M,321.00M,321.00M,42.00M,42.00M,-13.00M,-98.00M,-111.00M,-172.00M,37.00M,,,,-246.00M,,1.389B,-358.00M,4.00M,-354.00M,-144.00M,-316.00M,3.00M,-811.00M,1.235B,-16.00M,1.219B,266.00M,-639.00M,-373.00M,-410.00M,-410.00M,15.00M,451.00M,2.332B,1.029B,-53.00M,3.308B,266.00M,1.238B,-3.00M,-639.00M
2012-03,1.141B,,180.00M,180.00M,313.00M,313.00M,44.00M,103.00M,-28.00M,-663.00M,-505.00M,-96.00M,339.00M,,,,-262.00M,,828.00M,-261.00M,4.00M,-257.00M,,213.00M,1.00M,-43.00M,-9.00M,-18.00M,-27.00M,213.00M,-524.00M,-311.00M,-410.00M,-410.00M,26.00M,-722.00M,2.219B,63.00M,50.00M,2.332B,213.00M,6.00M,-15.00M,-524.00M
2011-12,974.00M,,528.00M,528.00M,317.00M,317.00M,214.00M,43.00M,-1.00M,-601.00M,406.00M,168.00M,-310.00M,,,,264.00M,,1.738B,-517.00M,43.00M,-474.00M,-118.00M,-548.00M,6.00M,-1.134B,-952.00M,24.00M,-928.00M,37.00M,-494.00M,-457.00M,,-384.00M,-8.00M,-1.777B,3.376B,-1.173B,16.00M,2.219B,37.00M,3.00M,-955.00M,-494.00M
2011-09,1.103B,,-116.00M,-116.00M,311.00M,311.00M,-42.00M,38.00M,-3.00M,82.00M,23.00M,12.00M,-46.00M,,,,-11.00M,,1.362B,-336.00M,7.00M,-329.00M,-44.00M,-402.00M,0.00,-775.00M,668.00M,0.00,668.00M,112.00M,-849.00M,-737.00M,,-388.00M,-4.00M,-461.00M,3.376B,126.00M,-126.00M,3.376B,112.00M,999.00M,-331.00M,-849.00M
2011-06,1.177B,,69.00M,69.00M,319.00M,319.00M,2.00M,56.00M,-34.00M,164.00M,-117.00M,-196.00M,11.00M,,,,-302.00M,,1.451B,-295.00M,3.00M,-292.00M,-16.00M,223.00M,0.00,-85.00M,-37.00M,-25.00M,-62.00M,375.00M,-678.00M,-303.00M,,-391.00M,16.00M,-740.00M,2.747B,626.00M,3.00M,3.376B,375.00M,2.00M,-39.00M,-678.00M
2011-03,1.103B,,74.00M,74.00M,289.00M,289.00M,3.00M,116.00M,-15.00M,-366.00M,-508.00M,-180.00M,217.00M,,,,-471.00M,,733.00M,-231.00M,2.00M,-229.00M,-471.00M,-18.00M,-6.00M,-724.00M,3.00M,12.00M,15.00M,378.00M,-680.00M,-302.00M,,-392.00M,-18.00M,-697.00M,3.377B,-688.00M,58.00M,2.747B,378.00M,107.00M,-104.00M,-680.00M
2010-12,943.00M,,510.00M,510.00M,283.00M,283.00M,-190.00M,46.00M,-10.00M,-481.00M,345.00M,117.00M,68.00M,,,,530.00M,,1.631B,-526.00M,18.00M,-508.00M,-1.782B,541.00M,0.00,-1.749B,-322.00M,7.00M,-315.00M,161.00M,-439.00M,-278.00M,,-376.00M,10.00M,-959.00M,4.466B,-1.077B,-12.00M,3.377B,161.00M,99.00M,-390.00M,-439.00M
2010-09,1.125B,,-215.00M,-215.00M,837.00M,278.00M,2.00M,57.00M,-7.00M,7.00M,96.00M,-93.00M,-18.00M,,,-44.00M,-59.00M,,1.323B,-228.00M,3.00M,-225.00M,-18.00M,744.00M,-3.00M,498.00M,-90.00M,1.00M,-89.00M,119.00M,-22.00M,97.00M,,-375.00M,-97.00M,-464.00M,3.022B,1.357B,87.00M,4.466B,119.00M,0.00,-121.00M,-22.00M
2010-06,1.14B,,21.00M,21.00M,,272.00M,-8.00M,59.00M,-24.00M,35.00M,-200.00M,-238.00M,-111.00M,,,227.00M,-322.00M,,1.138B,-180.00M,1.00M,-179.00M,-13.00M,-259.00M,63.00M,-388.00M,-36.00M,-5.00M,-30.00M,235.00M,-373.00M,-138.00M,,-375.00M,57.00M,-486.00M,2.848B,264.00M,-90.00M,3.022B,235.00M,9.00M,-45.00M,-373.00M
2010-03,955.00M,,6.00M,6.00M,,287.00M,26.00M,112.00M,-12.00M,100.00M,-381.00M,-190.00M,462.00M,,,-183.00M,-292.00M,,1.082B,-157.00M,3.00M,-154.00M,-17.00M,-753.00M,-63.00M,-987.00M,,-27.00M,-38.00M,151.00M,-20.00M,131.00M,,-374.00M,6.00M,-275.00M,3.04B,-180.00M,-12.00M,2.848B,151.00M,,,-20.00M
2009-12,951.00M,,-446.00M,-446.00M,-859.00M,298.00M,507.00M,41.00M,-10.00M,-386.00M,430.00M,-16.00M,-303.00M,-22.00M,,,89.00M,,1.044B,-274.00M,12.00M,-262.00M,-4.00M,-396.00M,6.00M,-656.00M,-389.00M,9.00M,-380.00M,140.00M,-7.00M,133.00M,,-361.00M,11.00M,-597.00M,3.239B,-209.00M,10.00M,3.04B,140.00M,41.00M,115.00M,-7.00M
2009-09,971.00M,,-27.00M,-27.00M,290.00M,290.00M,209.00M,44.00M,-4.00M,-75.00M,-89.00M,22.00M,142.00M,-12.00M,,133.00M,196.00M,,1.736B,-175.00M,5.00M,-170.00M,-48.00M,-483.00M,0.00,-701.00M,-1.00M,7.00M,6.00M,66.00M,-4.00M,62.00M,,-361.00M,3.00M,-290.00M,2.596B,745.00M,-102.00M,3.239B,66.00M,,6.00M,-4.00M
2009-06,792.00M,,-15.00M,-15.00M,298.00M,298.00M,-61.00M,49.00M,,513.00M,-230.00M,159.00M,199.00M,27.00M,,-133.00M,22.00M,,1.466B,-210.00M,42.00M,-168.00M,-3.00M,-180.00M,-6.00M,-357.00M,-2.00M,-40.00M,-42.00M,191.00M,-6.00M,185.00M,,-355.00M,-8.00M,-220.00M,1.632B,889.00M,75.00M,2.596B,191.00M,,-42.00M,-6.00M
2009-03,530.00M,,-81.00M,-81.00M,271.00M,271.00M,46.00M,83.00M,0.00,-381.00M,8.00M,288.00M,-76.00M,7.00M,,,227.00M,,695.00M,-244.00M,15.00M,-229.00M,-9.00M,220.00M,,-18.00M,-86.00M,-512.00M,-598.00M,34.00M,0.00,34.00M,,-354.00M,11.00M,-907.00M,1.849B,-230.00M,13.00M,1.632B,34.00M,0.00,-598.00M,0.00
2008-12,596.00M,23.00M,-369.00M,-369.00M,-846.00M,307.00M,66.00M,202.00M,-21.00M,192.00M,719.00M,52.00M,-331.00M,,73.00M,-361.00M,152.00M,,1.125B,-463.00M,7.00M,-456.00M,-560.00M,626.00M,,-390.00M,676.00M,361.00M,-457.00M,32.00M,-34.00M,-2.00M,,-346.00M,-58.00M,-863.00M,2.24B,-128.00M,-263.00M,1.849B,32.00M,1.756B,-1.08B,-34.00M
2008-09,955.00M,-23.00M,43.00M,43.00M,293.00M,293.00M,-13.00M,-122.00M,20.00M,-171.00M,36.00M,-8.00M,-24.00M,-129.00M,-73.00M,361.00M,163.00M,,1.168B,-376.00M,74.00M,-302.00M,-282.00M,-15.00M,57.00M,-542.00M,807.00M,-1.12B,1.181B,40.00M,-515.00M,-475.00M,,-348.00M,-144.00M,214.00M,1.547B,840.00M,-147.00M,2.24B,40.00M,-1.12B,807.00M,-515.00M
2008-06,963.00M,23.00M,-22.00M,1.00M,285.00M,285.00M,43.00M,79.00M,-15.00M,111.00M,-141.00M,-85.00M,-102.00M,104.00M,,,-224.00M,,1.243B,-334.00M,2.00M,-332.00M,-448.00M,-166.00M,-57.00M,-1.003B,-718.00M,-91.00M,-809.00M,138.00M,-572.00M,-434.00M,,-351.00M,162.00M,-1.432B,2.727B,-1.192B,12.00M,1.547B,138.00M,-91.00M,-718.00M,-572.00M
2008-03,1.006B,,-21.00M,-21.00M,268.00M,268.00M,3.00M,43.00M,-5.00M,-62.00M,-264.00M,-86.00M,90.00M,25.00M,,,-235.00M,,997.00M,-298.00M,4.00M,-294.00M,-16.00M,-154.00M,,-464.00M,-89.00M,1.211B,1.122B,79.00M,-510.00M,-431.00M,,-353.00M,-23.00M,315.00M,1.896B,848.00M,-17.00M,2.727B,79.00M,1.211B,-89.00M,-510.00M
2007-12,906.00M,,,30.00M,-796.00M,276.00M,-38.00M,,,-306.00M,581.00M,35.00M,119.00M,,,-230.00M,505.00M,,1.527B,-391.00M,13.00M,-378.00M,-284.00M,473.00M,,-189.00M,,,-377.00M,107.00M,-483.00M,-376.00M,,-341.00M,13.00M,-1.081B,1.675B,257.00M,-36.00M,1.896B,107.00M,,,-483.00M
2007-09,960.00M,,,-202.00M,263.00M,263.00M,53.00M,,,35.00M,12.00M,50.00M,5.00M,,-259.00M,118.00M,-74.00M,,1.035B,-379.00M,63.00M,-316.00M,-61.00M,-450.00M,,-827.00M,,,740.00M,206.00M,-557.00M,-351.00M,,-343.00M,6.00M,52.00M,1.348B,260.00M,67.00M,1.675B,206.00M,,,-557.00M
2007-06,917.00M,,,-72.00M,279.00M,279.00M,-10.00M,,,117.00M,-151.00M,-32.00M,6.00M,,259.00M,-209.00M,-127.00M,,1.104B,-348.00M,23.00M,-325.00M,-59.00M,20.00M,,-364.00M,,,-173.00M,385.00M,-1.035B,-650.00M,,-346.00M,44.00M,-1.125B,1.697B,-385.00M,36.00M,1.348B,385.00M,,,-1.035B
2007-03,1.368B,,,-729.00M,254.00M,254.00M,-222.00M,,,-35.00M,-319.00M,-107.00M,49.00M,,,321.00M,-56.00M,,580.00M,-304.00M,4.00M,-300.00M,762.00M,-449.00M,,13.00M,,,1.061B,98.00M,-1.164B,-1.066B,,-350.00M,-9.00M,-364.00M,1.447B,229.00M,21.00M,1.697B,98.00M,,,-1.164B
2006-12,1.176B,,,-888.00M,-728.00M,351.00M,-205.00M,,,121.00M,339.00M,66.00M,135.00M,,,87.00M,627.00M,,1.322B,-405.00M,-4.00M,-409.00M,789.00M,-411.00M,,-31.00M,,,-284.00M,97.00M,-330.00M,-233.00M,,-339.00M,33.00M,-823.00M,999.00M,468.00M,-20.00M,1.447B,97.00M,,,-330.00M
2006-09,894.00M,,,-231.00M,249.00M,249.00M,-43.00M,,,219.00M,-114.00M,-23.00M,0.00,,243.00M,-95.00M,11.00M,,1.099B,-312.00M,28.00M,-284.00M,-380.00M,74.00M,,-590.00M,,,1.078B,51.00M,-1.243B,-1.192B,,-342.00M,-31.00M,-487.00M,987.00M,22.00M,-10.00M,999.00M,51.00M,,,-1.243B
2006-06,882.00M,,,66.00M,233.00M,233.00M,-63.00M,,,-88.00M,-31.00M,-152.00M,-2.00M,,-182.00M,137.00M,-230.00M,,800.00M,-261.00M,9.00M,-252.00M,-66.00M,67.00M,,-251.00M,,,72.00M,275.00M,-527.00M,-252.00M,,-348.00M,5.00M,-523.00M,912.00M,26.00M,49.00M,987.00M,275.00M,,,-527.00M
2006-03,899.00M,,,34.00M,246.00M,246.00M,-5.00M,,,,-239.00M,-200.00M,73.00M,,-61.00M,-129.00M,-556.00M,,618.00M,-190.00M,16.00M,-174.00M,-22.00M,-392.00M,,-588.00M,,,269.00M,100.00M,-251.00M,-151.00M,,-347.00M,1.00M,-228.00M,1.072B,-198.00M,38.00M,912.00M,100.00M,,,-251.00M
