,NetIncome,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,1.366B,,,137.00M,92.00M,229.00M,229.00M,-31.00M,70.00M,-36.00M,-176.00M,-97.00M,356.00M,-182.00M,,-387.00M,-486.00M,,1.112B,-189.00M,,,,459.00M,-4.00M,266.00M,0.00,,0.00,178.00M,-873.00M,-695.00M,-611.00M,-611.00M,-11.00M,-1.317B,1.656B,61.00M,,1.717B,178.00M,0.00,,-873.00M
2017-12,344.00M,,,133.00M,91.00M,224.00M,224.00M,159.00M,45.00M,43.00M,299.00M,-49.00M,33.00M,764.00M,,67.00M,1.114B,,1.929B,-231.00M,,,,-660.00M,-7.00M,-898.00M,494.00M,,494.00M,162.00M,-706.00M,-544.00M,-611.00M,-611.00M,-10.00M,-671.00M,1.296B,360.00M,,1.656B,162.00M,494.00M,0.00,-706.00M
2017-09,1.285B,,,133.00M,92.00M,225.00M,225.00M,-2.00M,54.00M,-32.00M,-106.00M,39.00M,31.00M,57.00M,,171.00M,192.00M,,1.722B,-186.00M,,,,-298.00M,-4.00M,-488.00M,0.00,,0.00,76.00M,-650.00M,-574.00M,-495.00M,-495.00M,-9.00M,-1.078B,1.14B,156.00M,,1.296B,76.00M,0.00,0.00,-650.00M
2017-06,1.056B,,,134.00M,91.00M,225.00M,225.00M,-54.00M,75.00M,-9.00M,-132.00M,-104.00M,83.00M,-373.00M,,150.00M,-376.00M,,917.00M,-151.00M,,,,135.00M,8.00M,-8.00M,230.00M,,230.00M,84.00M,-650.00M,-566.00M,-498.00M,-498.00M,-8.00M,-842.00M,1.073B,67.00M,,1.14B,84.00M,605.00M,-375.00M,-650.00M
2017-03,997.00M,,,139.00M,91.00M,230.00M,230.00M,9.00M,68.00M,-18.00M,-68.00M,-53.00M,-71.00M,71.00M,,-370.00M,-491.00M,,795.00M,-127.00M,,,,363.00M,31.00M,267.00M,-250.00M,,-250.00M,161.00M,-550.00M,-389.00M,-500.00M,-500.00M,-4.00M,-1.143B,1.154B,-81.00M,,1.073B,161.00M,,-250.00M,-550.00M
2016-12,1.047B,,,139.00M,88.00M,227.00M,227.00M,-42.00M,48.00M,2.00M,166.00M,18.00M,-211.00M,239.00M,,-67.00M,145.00M,,1.387B,-110.00M,,,,-567.00M,-8.00M,-685.00M,0.00,,0.00,57.00M,-475.00M,-418.00M,-499.00M,-499.00M,0.00,-917.00M,1.369B,-215.00M,,1.154B,57.00M,0.00,0.00,-475.00M
2016-09,1.018B,,,150.00M,87.00M,237.00M,237.00M,-125.00M,56.00M,-20.00M,-98.00M,68.00M,95.00M,61.00M,,173.00M,299.00M,,1.465B,-139.00M,,,,-463.00M,-1.00M,-603.00M,0.00,,0.00,154.00M,-500.00M,-346.00M,-382.00M,-382.00M,0.00,-728.00M,1.235B,134.00M,,1.369B,154.00M,0.00,0.00,-500.00M
2016-06,819.00M,,,155.00M,87.00M,242.00M,242.00M,-59.00M,76.00M,10.00M,-76.00M,-71.00M,-8.00M,15.00M,,161.00M,21.00M,,1.109B,-158.00M,,,,217.00M,6.00M,65.00M,-501.00M,,-501.00M,193.00M,-527.00M,-334.00M,-382.00M,-382.00M,-3.00M,-1.22B,1.281B,-46.00M,,1.235B,193.00M,499.00M,-1.00B,-527.00M
2016-03,711.00M,,,161.00M,88.00M,249.00M,249.00M,24.00M,72.00M,-18.00M,-100.00M,-114.00M,43.00M,90.00M,,-304.00M,-385.00M,,653.00M,-124.00M,,,,700.00M,-3.00M,573.00M,0.00,,0.00,68.00M,-630.00M,-562.00M,-383.00M,-383.00M,,-945.00M,1.00B,281.00M,,1.281B,68.00M,,0.00,-630.00M
2015-12,836.00M,,-82.00M,172.00M,89.00M,261.00M,261.00M,51.00M,58.00M,38.00M,318.00M,80.00M,5.00M,38.00M,,-44.00M,397.00M,,1.559B,-164.00M,,,,-617.00M,106.00M,-675.00M,0.00,,0.00,64.00M,-627.00M,-563.00M,-386.00M,-386.00M,-68.00M,-1.017B,1.133B,-133.00M,,1.00B,64.00M,0.00,0.00,-627.00M
2015-09,798.00M,,0.00,193.00M,92.00M,285.00M,285.00M,-50.00M,66.00M,-4.00M,-47.00M,114.00M,40.00M,51.00M,,156.00M,314.00M,,1.409B,-139.00M,,,,521.00M,7.00M,389.00M,-750.00M,,-750.00M,35.00M,-790.00M,-755.00M,-348.00M,-348.00M,4.00M,-1.849B,1.184B,-51.00M,,1.133B,35.00M,0.00,-750.00M,-790.00M
2015-06,696.00M,,-2.00M,198.00M,93.00M,291.00M,291.00M,-57.00M,84.00M,6.00M,-40.00M,-41.00M,-5.00M,-259.00M,,147.00M,-198.00M,,820.00M,-125.00M,,,,-59.00M,10.00M,-174.00M,248.00M,,248.00M,51.00M,-654.00M,-603.00M,-354.00M,-354.00M,5.00M,-704.00M,1.242B,-58.00M,,1.184B,51.00M,498.00M,-250.00M,-654.00M
2015-03,656.00M,,-1.00M,203.00M,93.00M,296.00M,296.00M,1.00M,78.00M,-25.00M,-154.00M,-60.00M,54.00M,39.00M,,-275.00M,-396.00M,,609.00M,-123.00M,,,,280.00M,1.00M,158.00M,,,,246.00M,-670.00M,-424.00M,-356.00M,-356.00M,56.00M,-724.00M,1.199B,43.00M,,1.242B,246.00M,,,-670.00M
2014-12,825.00M,,-29.00M,211.00M,94.00M,305.00M,305.00M,23.00M,60.00M,68.00M,223.00M,-33.00M,-16.00M,101.00M,,-93.00M,182.00M,,1.434B,-125.00M,,,,-462.00M,96.00M,-491.00M,0.00,,0.00,78.00M,-698.00M,-620.00M,-356.00M,-356.00M,-74.00M,-1.05B,1.306B,-107.00M,,1.199B,78.00M,0.00,0.00,-698.00M
2014-09,826.00M,,-5.00M,213.00M,95.00M,308.00M,308.00M,-27.00M,62.00M,19.00M,42.00M,-7.00M,96.00M,-90.00M,,159.00M,200.00M,,1.383B,-103.00M,,,,-292.00M,12.00M,-383.00M,0.00,,0.00,68.00M,-670.00M,-602.00M,-319.00M,-319.00M,11.00M,-910.00M,1.216B,90.00M,,1.306B,68.00M,0.00,0.00,-670.00M
2014-06,683.00M,,-2.00M,213.00M,94.00M,307.00M,307.00M,-57.00M,77.00M,3.00M,-165.00M,-30.00M,14.00M,-187.00M,,132.00M,-236.00M,,775.00M,-80.00M,,,,879.00M,3.00M,802.00M,-1.00B,,-1.00B,125.00M,-743.00M,-618.00M,-323.00M,-323.00M,15.00M,-1.926B,1.565B,-349.00M,,1.216B,125.00M,0.00,-1.00B,-743.00M
2014-03,487.00M,,-37.00M,213.00M,97.00M,310.00M,310.00M,0.00,78.00M,-11.00M,-149.00M,17.00M,-29.00M,-37.00M,,-167.00M,-365.00M,,462.00M,-77.00M,,,,-266.00M,38.00M,-305.00M,498.00M,,498.00M,283.00M,-720.00M,-437.00M,-325.00M,-325.00M,45.00M,-219.00M,1.627B,-62.00M,,1.565B,283.00M,498.00M,,-720.00M
2013-12,511.00M,,0.00,213.00M,100.00M,313.00M,313.00M,52.00M,66.00M,-28.00M,318.00M,-5.00M,-75.00M,120.00M,,-73.00M,285.00M,,1.199B,-107.00M,,,,-45.00M,29.00M,-123.00M,0.00,,0.00,168.00M,-734.00M,-566.00M,-326.00M,-326.00M,8.00M,-884.00M,1.435B,192.00M,,1.627B,168.00M,0.00,0.00,-734.00M
2013-09,629.00M,,-3.00M,217.00M,101.00M,318.00M,318.00M,12.00M,71.00M,-24.00M,-30.00M,-6.00M,247.00M,-190.00M,,126.00M,147.00M,,1.15B,-123.00M,,,,-94.00M,6.00M,-211.00M,0.00,,0.00,349.00M,-734.00M,-385.00M,-308.00M,-308.00M,9.00M,-684.00M,1.18B,255.00M,,1.435B,349.00M,0.00,0.00,-734.00M
2013-06,660.00M,,0.00,221.00M,100.00M,321.00M,321.00M,-40.00M,75.00M,-40.00M,-160.00M,-20.00M,-318.00M,79.00M,,118.00M,-301.00M,,675.00M,-98.00M,,,,402.00M,5.00M,309.00M,-514.00M,,-514.00M,343.00M,-721.00M,-378.00M,-309.00M,-309.00M,4.00M,-1.197B,1.393B,-213.00M,,1.18B,343.00M,986.00M,-1.50B,-721.00M
2013-03,362.00M,,-3.00M,228.00M,117.00M,345.00M,345.00M,26.00M,75.00M,-60.00M,-112.00M,57.00M,10.00M,-215.00M,,-125.00M,-385.00M,,360.00M,-84.00M,,,,79.00M,27.00M,22.00M,0.00,,0.00,454.00M,-679.00M,-225.00M,-232.00M,-232.00M,52.00M,-405.00M,1.416B,-23.00M,,1.393B,454.00M,0.00,,-679.00M
2012-12,264.00M,0.00,0.00,232.00M,187.00M,419.00M,419.00M,-6.00M,64.00M,-82.00M,381.00M,91.00M,82.00M,170.00M,,-298.00M,426.00M,,1.085B,-96.00M,,,,-153.00M,,-189.00M,0.00,,0.00,133.00M,-600.00M,-467.00M,-235.00M,-235.00M,12.00M,-690.00M,1.21B,206.00M,,1.416B,133.00M,0.00,0.00,-600.00M
2012-09,784.00M,-144.00M,-144.00M,241.00M,86.00M,327.00M,327.00M,119.00M,66.00M,22.00M,18.00M,37.00M,25.00M,-150.00M,,101.00M,31.00M,,1.205B,-150.00M,,,,-1.291B,,-1.441B,992.00M,,992.00M,63.00M,-600.00M,-537.00M,-194.00M,-194.00M,-7.00M,254.00M,1.192B,18.00M,,1.21B,63.00M,1.492B,-500.00M,-600.00M
2012-06,446.00M,,,241.00M,85.00M,326.00M,326.00M,21.00M,64.00M,29.00M,-151.00M,-32.00M,50.00M,-180.00M,,102.00M,-211.00M,,675.00M,-146.00M,,,,467.00M,,321.00M,-575.00M,,-575.00M,68.00M,-300.00M,-232.00M,-195.00M,-195.00M,5.00M,-997.00M,1.193B,-1.00M,,1.192B,68.00M,0.00,-575.00M,-300.00M
2012-03,265.00M,,,243.00M,86.00M,329.00M,329.00M,-4.00M,69.00M,-32.00M,63.00M,-91.00M,5.00M,30.00M,,-185.00M,-178.00M,,449.00M,-103.00M,,,,373.00M,,270.00M,-300.00M,,-300.00M,259.00M,-300.00M,-41.00M,-195.00M,-195.00M,18.00M,-518.00M,992.00M,201.00M,,1.193B,259.00M,,-300.00M,-300.00M
2011-12,,,0.00,247.00M,178.00M,425.00M,425.00M,64.00M,66.00M,-2.061B,236.00M,203.00M,-192.00M,-64.00M,,58.00M,241.00M,,971.00M,-153.00M,,663.00M,-35.00M,-960.00M,151.00M,-997.00M,-200.00M,,-200.00M,127.00M,-300.00M,-173.00M,,-193.00M,3.00M,-563.00M,1.581B,-589.00M,,992.00M,127.00M,0.00,-200.00M,-300.00M
2011-09,,,-5.00M,213.00M,13.00M,226.00M,226.00M,6.00M,93.00M,607.00M,22.00M,22.00M,1.00M,109.00M,,59.00M,213.00M,,1.14B,-193.00M,,-193.00M,-5.39B,873.00M,14.00M,-4.696B,1.20B,,1.20B,33.00M,-450.00M,-417.00M,,-148.00M,1.00M,636.00M,4.501B,-2.92B,,1.581B,33.00M,1.20B,0.00,-450.00M
2011-06,,,,220.00M,6.00M,226.00M,226.00M,-46.00M,53.00M,687.00M,-102.00M,-84.00M,-3.00M,-182.00M,,80.00M,-291.00M,,629.00M,-276.00M,,-276.00M,,-268.00M,2.00M,-542.00M,3.497B,,3.497B,180.00M,-452.00M,-272.00M,,-150.00M,-4.00M,3.071B,1.343B,3.158B,,4.501B,180.00M,3.497B,0.00,-452.00M
2011-03,,,,224.00M,7.00M,231.00M,231.00M,31.00M,57.00M,635.00M,-44.00M,-158.00M,-9.00M,54.00M,,-281.00M,-438.00M,,516.00M,-194.00M,,-194.00M,,257.00M,,63.00M,,0.0,0.00,350.00M,-771.00M,-421.00M,,-153.00M,19.00M,-555.00M,1.319B,24.00M,,1.343B,350.00M,,0.00,-771.00M
2010-12,3.228B,,,226.00M,12.00M,238.00M,238.00M,-143.00M,47.00M,-2.292B,237.00M,-91.00M,22.00M,-241.00M,,369.00M,296.00M,,1.23B,-301.00M,,-301.00M,-140.00M,-255.00M,,-548.00M,0.00,,0.00,287.00M,-600.00M,-313.00M,,-153.00M,10.00M,-456.00M,1.093B,226.00M,,1.319B,287.00M,0.00,,-600.00M
2010-09,,,,213.00M,11.00M,224.00M,224.00M,-27.00M,47.00M,878.00M,-29.00M,-66.00M,4.00M,384.00M,,-97.00M,196.00M,,1.318B,-396.00M,,-396.00M,-59.00M,-207.00M,,-662.00M,0.00,,0.00,41.00M,-600.00M,-559.00M,,-143.00M,1.00M,-701.00M,1.138B,-45.00M,,1.093B,41.00M,0.00,,-600.00M
2010-06,-658.00M,,,215.00M,12.00M,227.00M,227.00M,-7.00M,49.00M,1.442B,-188.00M,-73.00M,-23.00M,-207.00M,,,-491.00M,,562.00M,-283.00M,,-283.00M,,487.00M,,204.00M,0.00,,0.00,50.00M,-750.00M,-700.00M,,-147.00M,2.00M,-845.00M,1.217B,-79.00M,,1.138B,50.00M,0.00,,-750.00M
2010-03,658.00M,,,211.00M,13.00M,224.00M,224.00M,-11.00M,47.00M,26.00M,-251.00M,-74.00M,-11.00M,102.00M,,,-234.00M,,710.00M,-219.00M,,-219.00M,,168.00M,,-51.00M,,,,29.00M,-504.00M,-475.00M,,-149.00M,,-624.00M,1.182B,35.00M,,1.217B,29.00M,,,-504.00M
2009-12,655.00M,,,209.00M,14.00M,223.00M,223.00M,66.00M,43.00M,-115.00M,156.00M,-86.00M,11.00M,-44.00M,,-51.00M,-14.00M,,1.001B,-436.00M,,-436.00M,0.00,-215.00M,,-651.00M,,,,38.00M,-352.00M,-314.00M,,-149.00M,,-462.00M,1.294B,-112.00M,,1.182B,38.00M,,,-352.00M
2009-09,538.00M,,,217.00M,12.00M,229.00M,229.00M,71.00M,46.00M,74.00M,-186.00M,-53.00M,31.00M,176.00M,,51.00M,19.00M,,834.00M,-226.00M,,-226.00M,0.00,-724.00M,,-950.00M,,,,34.00M,-251.00M,-217.00M,,-138.00M,,-355.00M,1.765B,-471.00M,,1.294B,34.00M,,,-251.00M
2009-06,260.00M,,,221.00M,12.00M,233.00M,233.00M,6.00M,47.00M,30.00M,-116.00M,37.00M,-15.00M,75.00M,,,-19.00M,,557.00M,-48.00M,,-48.00M,-51.00M,241.00M,,142.00M,,,,19.00M,-250.00M,-231.00M,,-139.00M,,-370.00M,1.436B,329.00M,,1.765B,19.00M,,,-250.00M
2009-03,17.00M,,,230.00M,10.00M,240.00M,240.00M,3.00M,50.00M,39.00M,-218.00M,279.00M,8.00M,-167.00M,,,-98.00M,,251.00M,-43.00M,,-43.00M,-104.00M,510.00M,,363.00M,,,,18.00M,-101.00M,-83.00M,,-141.00M,,-224.00M,1.046B,390.00M,,1.436B,18.00M,,,-101.00M
2008-12,107.00M,,,284.00M,9.00M,293.00M,293.00M,-23.00M,51.00M,-197.00M,889.00M,200.00M,-100.00M,-208.00M,,-60.00M,721.00M,,1.114B,-77.00M,,-77.00M,0.00,-1.196B,,-1.273B,,,,15.00M,-386.00M,-371.00M,,-141.00M,2.00M,-510.00M,1.715B,-669.00M,,1.046B,15.00M,,,-386.00M
2008-09,562.00M,,-6.00M,251.00M,9.00M,260.00M,260.00M,-78.00M,54.00M,152.00M,36.00M,76.00M,50.00M,42.00M,,60.00M,264.00M,,1.046B,-197.00M,,-197.00M,0.00,78.00M,,-119.00M,,,,30.00M,-429.00M,-399.00M,,-131.00M,1.00M,-529.00M,1.317B,398.00M,,1.715B,30.00M,,,-429.00M
2008-06,589.00M,,0.00,246.00M,9.00M,255.00M,255.00M,-7.00M,54.00M,7.00M,-149.00M,-73.00M,-29.00M,-126.00M,,,-377.00M,,521.00M,-270.00M,,-270.00M,-19.00M,108.00M,,-181.00M,,,,89.00M,-433.00M,-344.00M,,-132.00M,3.00M,-473.00M,1.45B,-133.00M,,1.317B,89.00M,,,-433.00M
2008-03,662.00M,,6.00M,241.00M,10.00M,251.00M,251.00M,-74.00M,54.00M,3.00M,89.00M,-160.00M,-46.00M,-136.00M,,,-253.00M,,649.00M,-219.00M,,-219.00M,0.00,610.00M,,391.00M,,,,76.00M,-874.00M,-798.00M,,-133.00M,13.00M,-918.00M,1.328B,122.00M,,1.45B,76.00M,,,-874.00M
2007-12,755.00M,,21.00M,252.00M,-63.00M,189.00M,189.00M,4.00M,,126.00M,284.00M,32.00M,26.00M,-20.00M,-5.00M,13.00M,330.00M,-2.00M,1.423B,-181.00M,0.00,-181.00M,-56.00M,1.271B,,1.034B,,,0.00,67.00M,-1.878B,-1.811B,,-138.00M,10.00M,-1.939B,807.00M,518.00M,3.00M,1.328B,67.00M,,,-1.878B
2007-09,776.00M,,-61.00M,262.00M,34.00M,296.00M,296.00M,36.00M,,66.00M,-117.00M,-34.00M,24.00M,154.00M,423.00M,-14.00M,436.00M,-18.00M,1.531B,-152.00M,61.00M,-91.00M,-4.00M,-553.00M,,-648.00M,,,0.00,166.00M,-1.409B,-1.243B,,-114.00M,16.00M,-1.341B,1.266B,-458.00M,-1.00M,807.00M,166.00M,,,-1.409B
2007-06,610.00M,,16.00M,256.00M,38.00M,294.00M,294.00M,-3.00M,,68.00M,-144.00M,-15.00M,42.00M,110.00M,-85.00M,1.00M,-91.00M,4.00M,898.00M,-174.00M,,-174.00M,0.00,49.00M,-2.00M,-127.00M,,,-43.00M,374.00M,-742.00M,-368.00M,,-115.00M,56.00M,-470.00M,965.00M,301.00M,0.00,1.266B,374.00M,,,-742.00M
2007-03,516.00M,,-15.00M,252.00M,39.00M,291.00M,291.00M,-3.00M,,78.00M,17.00M,28.00M,-79.00M,-167.00M,-112.00M,,-313.00M,,554.00M,-179.00M,,-179.00M,-27.00M,160.00M,2.00M,-44.00M,,,,154.00M,-857.00M,-703.00M,,-58.00M,34.00M,-727.00M,1.183B,-217.00M,-1.00M,965.00M,154.00M,,,-857.00M
2006-12,668.00M,,-46.00M,249.00M,38.00M,287.00M,287.00M,-77.00M,,-133.00M,315.00M,54.00M,-7.00M,-208.00M,-126.00M,116.00M,144.00M,2.00M,845.00M,-214.00M,14.00M,-200.00M,0.00,229.00M,,29.00M,,,0.00,51.00M,-1.13B,-1.079B,,-58.00M,13.00M,-1.124B,1.43B,-250.00M,1.00M,1.183B,51.00M,,,-1.13B
2006-09,701.00M,,1.66B,266.00M,41.00M,307.00M,307.00M,-46.00M,,80.00M,-149.00M,-156.00M,-4.00M,81.00M,-336.00M,-14.00M,-578.00M,-1.705B,419.00M,-276.00M,0.00,-276.00M,0.00,1.244B,,968.00M,,,0.00,89.00M,-1.695B,-1.606B,,-46.00M,23.00M,-1.629B,1.678B,-242.00M,-4.00M,1.43B,89.00M,,,-1.695B
2006-06,2.387B,,-1.738B,267.00M,44.00M,311.00M,311.00M,-41.00M,,217.00M,-138.00M,-89.00M,26.00M,129.00M,-278.00M,-119.00M,-469.00M,-28.00M,639.00M,-374.00M,2.982B,2.608B,-28.00M,-1.088B,-7.00M,1.479B,,,-275.00M,137.00M,-1.037B,-900.00M,,-47.00M,57.00M,-1.165B,722.00M,953.00M,3.00M,1.678B,137.00M,,,-1.037B
2006-03,585.00M,,48.00M,270.00M,46.00M,316.00M,316.00M,-36.00M,,-42.00M,-144.00M,-57.00M,-111.00M,-106.00M,52.00M,17.00M,-349.00M,35.00M,557.00M,-408.00M,4.00M,-404.00M,-177.00M,1.183B,7.00M,599.00M,,,-311.00M,142.00M,-1.44B,-1.298B,,-48.00M,7.00M,-1.65B,1.214B,-494.00M,2.00M,722.00M,142.00M,,,-1.44B
2005-12,655.00M,,-29.00M,336.00M,46.00M,382.00M,382.00M,-93.00M,,-92.00M,105.00M,-111.00M,30.00M,-24.00M,114.00M,-24.00M,90.00M,-5.00M,908.00M,-334.00M,0.00,-334.00M,,-793.00M,,-1.14B,,,274.00M,128.00M,-870.00M,-742.00M,,-48.00M,17.00M,-499.00M,1.941B,-731.00M,4.00M,1.219B,128.00M,,,-870.00M
2005-09,631.00M,,83.00M,332.00M,45.00M,377.00M,377.00M,110.00M,,103.00M,-19.00M,42.00M,57.00M,247.00M,-119.00M,72.00M,280.00M,-70.00M,1.514B,-440.00M,0.00,-440.00M,,-922.00M,8.00M,-1.364B,,,0.00,160.00M,-496.00M,-336.00M,,-41.00M,42.00M,-335.00M,2.128B,-185.00M,-2.00M,1.941B,160.00M,,,-496.00M
2005-06,627.00M,,-26.00M,337.00M,46.00M,383.00M,383.00M,-174.00M,,26.00M,-220.00M,40.00M,112.00M,11.00M,-172.00M,158.00M,-71.00M,62.00M,827.00M,-237.00M,0.00,-237.00M,,946.00M,-8.00M,668.00M,,,-10.00M,116.00M,-1.292B,-1.176B,,-41.00M,,-1.227B,1.856B,268.00M,9.00M,2.128B,116.00M,,,-1.292B
2005-03,411.00M,,-57.00M,341.00M,44.00M,385.00M,385.00M,-37.00M,,-16.00M,7.00M,6.00M,-88.00M,20.00M,72.00M,-206.00M,-189.00M,26.00M,523.00M,-277.00M,42.00M,-235.00M,,384.00M,,149.00M,,,,57.00M,-1.493B,-1.436B,,-43.00M,,-1.479B,2.668B,-807.00M,-5.00M,1.856B,57.00M,,,-1.493B
2004-12,490.00M,,-137.00M,360.00M,134.00M,494.00M,494.00M,-39.00M,,-152.00M,304.00M,115.00M,246.00M,-113.00M,94.00M,,646.00M,,1.305B,-173.00M,,-173.00M,,237.00M,,18.00M,,,-1.00M,76.00M,-370.00M,-294.00M,,-44.00M,,-339.00M,1.674B,984.00M,10.00M,2.668B,76.00M,,,-370.00M
2004-09,563.00M,,4.00M,378.00M,16.00M,394.00M,394.00M,41.00M,,-32.00M,-37.00M,-71.00M,-50.00M,-53.00M,114.00M,69.00M,-28.00M,,942.00M,-330.00M,,-330.00M,,-29.00M,,-359.00M,,,-405.00M,5.00M,-98.00M,-93.00M,,-36.00M,,-534.00M,1.623B,49.00M,2.00M,1.674B,5.00M,,,-98.00M
