,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-12,2.979B,2.979B,1.533B,1.446B,432.00M,425.00M,-450.00M,23.00M,17.00M,857.00M,589.00M,23.00M,17.00M,-451.00M,17.00M,155.00M,-109.00M,264.00M,,,,264.00M,556.50M,597.00M,419.00M,178.00M,0.23,,,,0.4926,0.23,0.23,,,,0.49,0.23,1.114B,1.125B,0.21
2012-09,3.39B,3.39B,1.65B,1.74B,453.00M,463.00M,16.00M,21.00M,-21.00M,916.00M,824.00M,21.00M,-21.00M,40.00M,-21.00M,843.00M,59.00M,784.00M,,,,784.00M,769.12M,1.191B,327.00M,864.00M,0.68,,,,0.6668,0.68,0.67,,,,0.657,0.67,1.13B,1.141B,0.17
2012-06,3.335B,3.335B,1.684B,1.651B,456.00M,480.00M,-117.00M,20.00M,-20.00M,936.00M,715.00M,20.00M,-20.00M,-119.00M,-20.00M,576.00M,130.00M,446.00M,,,,446.00M,536.59M,922.00M,326.00M,596.00M,0.38,,,,0.4595,0.38,0.38,,,,0.4585,0.38,1.14B,1.154B,0.17
2012-03,3.121B,3.121B,1.59B,1.531B,462.00M,509.00M,-163.00M,21.00M,-21.00M,971.00M,560.00M,21.00M,-21.00M,-177.00M,-21.00M,362.00M,97.00M,265.00M,,,,265.00M,384.32M,712.00M,329.00M,383.00M,0.23,,,,0.3344,0.23,0.22,,,,0.3224,0.22,1.143B,1.165B,0.17
2011-12,3.42B,3.42B,1.872B,1.548B,444.00M,474.00M,-264.00M,21.00M,-9.00M,918.00M,630.00M,21.00M,-9.00M,-271.00M,-9.00M,348.00M,50.00M,298.00M,,,,298.00M,524.07M,794.00M,425.00M,369.00M,0.26,,,,0.459,0.26,0.26,,,,0.4561,0.26,1.136B,1.153B,0.17
2011-09,3.466B,3.466B,1.722B,1.744B,388.00M,395.00M,-128.00M,15.00M,-15.00M,783.00M,961.00M,15.00M,-15.00M,-128.00M,-15.00M,780.00M,179.00M,601.00M,,,,601.00M,699.63M,1.021B,226.00M,795.00M,0.52,0.0,,,0.6062,0.52,0.51,0.0,,,0.5952,0.51,1.144B,1.157B,0.13
2011-06,3.458B,3.458B,1.705B,1.753B,411.00M,424.00M,-3.00M,6.00M,-6.00M,835.00M,918.00M,6.00M,-6.00M,-3.00M,-6.00M,909.00M,237.00M,672.00M,,,,672.00M,674.22M,1.141B,226.00M,915.00M,0.57,0.0,,,0.5719,0.57,0.56,0.0,,,0.5619,0.56,1.156B,1.18B,0.13
2011-03,3.392B,3.392B,1.664B,1.728B,396.00M,422.00M,8.00M,0.00,0.00,818.00M,910.00M,0.00,0.00,8.00M,0.00,918.00M,252.00M,666.00M,,,,666.00M,660.20M,1.149B,231.00M,918.00M,0.56,0.0,,,0.555,0.56,0.55,0.0,,,0.5451,0.55,1.167B,1.194B,0.13
2010-12,3.525B,3.525B,1.655B,1.87B,390.00M,392.00M,123.00M,0.00,11.00M,782.00M,1.088B,0.00,11.00M,149.00M,11.00M,1.248B,306.00M,942.00M,,,,942.00M,849.16M,1.486B,238.00M,1.248B,0.79,,,,0.7108,0.79,0.77,,,,0.6919,0.77,1.172B,1.189B,0.13
2010-09,3.74B,3.74B,1.701B,2.039B,391.00M,417.00M,4.00M,0.00,0.00,808.00M,1.231B,0.00,0.00,4.00M,0.00,1.235B,376.00M,859.00M,,,,859.00M,856.22M,1.459B,224.00M,1.235B,0.71,0.0,,,0.7076,0.71,0.71,0.0,,,0.7077,0.71,1.184B,1.196B,0.12
2010-06,3.496B,3.496B,1.602B,1.894B,378.00M,392.00M,-13.00M,0.00,0.00,770.00M,1.124B,0.00,0.00,-13.00M,0.00,1.111B,342.00M,769.00M,,,,769.00M,778.00M,1.338B,227.00M,1.111B,0.63,0.0,,,0.6374,0.63,0.62,0.0,,,0.6274,0.62,1.208B,1.221B,0.12
2010-03,3.205B,3.205B,1.516B,1.689B,359.00M,370.00M,-3.00M,,,729.00M,960.00M,,,-3.00M,,957.00M,299.00M,658.00M,,,,658.00M,660.06M,1.184B,224.00M,960.00M,0.53,0.0,,,0.5317,0.53,0.52,0.0,,,0.5217,0.52,1.233B,1.246B,0.12
2009-12,3.005B,3.005B,1.416B,1.589B,348.00M,354.00M,-30.00M,,,702.00M,887.00M,,,-30.00M,,881.00M,226.00M,655.00M,,,,655.00M,677.30M,1.11B,223.00M,887.00M,0.52,0.0,,,0.538,0.52,0.52,0.0,,,0.5377,0.52,1.242B,1.26B,0.12
2009-09,2.88B,2.88B,1.399B,1.481B,340.00M,368.00M,-8.00M,,,708.00M,773.00M,,,-8.00M,,765.00M,227.00M,538.00M,,,,538.00M,543.63M,1.002B,229.00M,773.00M,0.42,0.0,,,0.4245,0.42,0.42,0.0,,,0.4244,0.42,1.255B,1.268B,0.11
2009-06,2.457B,2.457B,1.333B,1.124B,327.00M,369.00M,-72.00M,,,696.00M,428.00M,,,-72.00M,,356.00M,96.00M,260.00M,,,,260.00M,312.58M,661.00M,233.00M,428.00M,0.2,0.0,,,0.2415,0.2,0.2,0.0,,,0.2413,0.2,1.267B,1.272B,0.11
2009-03,2.086B,2.086B,1.28B,806.00M,305.00M,386.00M,-100.00M,,,691.00M,115.00M,,,-100.00M,,15.00M,-2.00M,17.00M,,,,17.00M,82.00M,355.00M,240.00M,115.00M,0.01,0.0,,,0.061,0.01,0.01,0.0,,,0.0609,0.01,1.275B,1.277B,0.11
2008-12,2.491B,2.491B,1.394B,1.097B,362.00M,431.00M,-312.00M,,,793.00M,304.00M,,,-312.00M,,36.00M,-71.00M,107.00M,,,,107.00M,309.80M,597.00M,293.00M,304.00M,0.09,0.0,,,0.2483,0.09,0.09,0.0,,,0.2478,0.09,1.281B,1.285B,0.11
2008-09,3.387B,3.387B,1.744B,1.643B,390.00M,507.00M,10.00M,,,897.00M,746.00M,,,10.00M,,756.00M,193.00M,563.00M,,,,563.00M,555.55M,1.006B,260.00M,746.00M,0.43,0.0,,,0.4243,0.43,0.43,0.0,,,0.4243,0.43,1.304B,1.315B,0.1
2008-06,3.351B,3.351B,1.602B,1.749B,428.00M,488.00M,17.00M,,,916.00M,833.00M,,,17.00M,,850.00M,262.00M,588.00M,,,,588.00M,576.24M,1.088B,255.00M,833.00M,0.44,0.0,,,0.4311,0.44,0.44,0.0,,,0.4312,0.44,1.32B,1.338B,0.1
2008-03,3.272B,3.272B,1.516B,1.756B,435.00M,514.00M,33.00M,,,949.00M,807.00M,,,33.00M,,840.00M,178.00M,662.00M,,,,662.00M,635.99M,1.058B,251.00M,807.00M,0.5,0.0,,,0.4804,0.5,0.49,0.0,,,0.4707,0.49,1.327B,1.345B,0.1
2007-12,3.556B,3.556B,1.629B,1.927B,422.00M,509.00M,-110.00M,,,931.00M,996.00M,,,-110.00M,,1.042B,289.00M,753.00M,2.00M,,,755.00M,832.49M,1.185B,189.00M,996.00M,0.54,0.01,,,0.5979,0.55,0.54,0.0,,,0.5969,0.54,1.372B,1.398B,0.1
2007-09,3.663B,3.663B,1.679B,1.984B,429.00M,542.00M,53.00M,,,971.00M,1.013B,,,53.00M,,1.066B,308.00M,758.00M,18.00M,,,776.00M,720.31M,1.309B,296.00M,1.013B,0.54,0.01,,,0.5134,0.55,0.52,0.01,,,0.494,0.54,1.417B,1.448B,0.08
2007-06,3.424B,3.424B,1.64B,1.784B,424.00M,551.00M,56.00M,,,975.00M,809.00M,,,56.00M,,865.00M,251.00M,614.00M,-4.00M,,,610.00M,574.25M,1.103B,294.00M,809.00M,0.43,-0.01,,,0.4023,0.42,0.42,-0.01,,,0.3929,0.42,1.437B,1.469B,0.08
2007-03,3.191B,3.191B,1.554B,1.637B,405.00M,552.00M,40.00M,,,957.00M,680.00M,,,40.00M,,719.00M,203.00M,516.00M,,,,516.00M,487.29M,971.00M,291.00M,680.00M,0.36,0.0,,,0.3401,0.36,0.35,0.0,,,0.3305,0.35,1.442B,1.47B,0.04
2006-12,3.463B,3.463B,1.715B,1.748B,426.00M,556.00M,-119.00M,,,982.00M,766.00M,,,-119.00M,,836.00M,166.00M,670.00M,-2.00M,,,668.00M,765.37M,1.053B,287.00M,766.00M,0.46,0.01,,,0.525,0.47,0.45,0.01,,,0.5136,0.46,1.468B,1.50B,0.04
2006-09,3.761B,3.761B,1.829B,1.932B,432.00M,570.00M,54.00M,,,1.002B,930.00M,,,54.00M,,984.00M,298.00M,686.00M,16.00M,,,702.00M,648.35M,1.237B,307.00M,930.00M,0.46,0.01,,,0.435,0.47,0.45,0.01,,,0.4255,0.46,1.506B,1.537B,0.03
2006-06,3.697B,3.697B,1.79B,1.907B,418.00M,536.00M,86.00M,,,954.00M,953.00M,,,86.00M,,1.039B,300.00M,739.00M,1.648B,,,2.387B,677.83M,1.264B,311.00M,953.00M,0.48,1.06,,,0.4406,1.54,0.47,1.03,,,0.4314,1.5,1.553B,1.586B,0.03
2006-03,3.334B,3.334B,1.662B,1.672B,421.00M,533.00M,52.00M,,,954.00M,718.00M,,,52.00M,,767.00M,225.00M,542.00M,43.00M,,,585.00M,505.25M,1.034B,316.00M,718.00M,0.34,0.03,,,0.3168,0.37,0.33,0.03,,,0.3073,0.36,1.585B,1.618B,0.03
2005-12,3.324B,3.324B,1.667B,1.657B,404.00M,493.00M,52.00M,,,897.00M,760.00M,,,52.00M,,809.00M,187.00M,622.00M,33.00M,,,655.00M,582.02M,1.142B,382.00M,760.00M,0.39,0.02,,,0.3651,0.41,0.38,0.02,,,0.3556,0.4,1.604B,1.638B,0.03
2005-09,3.339B,3.339B,1.649B,1.69B,408.00M,521.00M,49.00M,,,929.00M,761.00M,,,49.00M,,808.00M,212.00M,596.00M,35.00M,,,631.00M,559.86M,1.138B,377.00M,761.00M,0.37,0.02,,,0.3477,0.39,0.36,0.02,,,0.3383,0.38,1.624B,1.663B,0.025
2005-06,2.971B,2.971B,1.545B,1.426B,339.00M,485.00M,56.00M,,,824.00M,602.00M,,,56.00M,,656.00M,72.00M,584.00M,44.00M,,,628.00M,534.15M,985.00M,383.00M,602.00M,0.36,0.02,,,0.3295,0.38,0.35,0.02,,,0.3201,0.38,1.633B,1.669B,0.025
2005-03,2.972B,2.972B,1.636B,1.336B,344.00M,495.00M,48.00M,,,839.00M,497.00M,,,48.00M,,543.00M,132.00M,411.00M,,,,411.00M,374.67M,882.00M,385.00M,497.00M,0.22,0.02,,,0.1986,0.24,0.21,0.02,,,0.1891,0.24,1.701B,1.735B,0.025
2004-12,2.125B,2.125B,1.16B,965.00M,272.00M,456.00M,84.00M,,,728.00M,237.00M,,,84.00M,,319.00M,-1.00M,320.00M,,,,490.00M,269.60M,731.00M,494.00M,237.00M,0.29,0.0,,,0.2608,0.29,0.28,0.0,,,0.2513,0.28,1.724B,1.759B,0.025
2004-09,3.25B,3.25B,1.761B,1.489B,349.00M,483.00M,62.00M,,,832.00M,657.00M,,,62.00M,,715.00M,152.00M,563.00M,,,,563.00M,514.18M,1.051B,394.00M,657.00M,0.33,0.0,,,0.3018,0.33,0.32,0.0,,,0.2922,0.32,1.73B,1.759B,0.0213
2004-06,3.241B,3.241B,1.76B,1.481B,375.00M,514.00M,38.00M,,,889.00M,592.00M,,,38.00M,,622.00M,181.00M,441.00M,,,,441.00M,414.06M,974.00M,382.00M,592.00M,0.25,0.0,,,0.2347,0.25,0.25,0.0,,,0.2347,0.25,1.764B,1.764B,0.0213
2004-03,2.936B,2.936B,1.614B,1.322B,354.00M,494.00M,50.00M,,,848.00M,474.00M,,,50.00M,,516.00M,149.00M,367.00M,,,,367.00M,331.44M,841.00M,367.00M,474.00M,0.21,0.0,,,0.1895,0.21,0.21,0.0,,,0.1901,0.21,1.733B,1.784B,0.0213
2003-12,2.77B,2.77B,1.576B,1.194B,308.00M,448.00M,131.00M,,,756.00M,438.00M,,,131.00M,,561.00M,48.00M,513.00M,,,,513.00M,393.21M,829.00M,391.00M,438.00M,0.22,,,,0.1738,0.22,0.21,,,,0.1659,0.21,2.592B,2.717B,0.0213
2003-09,2.533B,2.533B,1.503B,1.03B,313.00M,468.00M,143.00M,,,781.00M,249.00M,,,143.00M,,384.00M,-63.00M,447.00M,,,,447.00M,361.20M,631.00M,382.00M,249.00M,0.26,0.0,,,0.2101,0.26,0.25,0.0,,,0.202,0.25,1.719B,1.788B,0.0213
2003-06,2.339B,2.339B,1.462B,877.00M,328.00M,424.00M,36.00M,,,752.00M,125.00M,,,36.00M,,151.00M,30.00M,121.00M,,,,121.00M,92.15M,506.00M,381.00M,125.00M,0.07,0.0,,,0.0533,0.07,0.07,0.0,,,0.0533,0.07,1.729B,1.729B,0.0213
2003-03,2.192B,2.192B,1.33B,862.00M,301.00M,408.00M,14.00M,,,709.00M,153.00M,,,14.00M,,154.00M,37.00M,117.00M,,,,117.00M,106.36M,527.00M,374.00M,153.00M,0.07,0.0,,,0.0636,0.07,0.07,0.0,,,0.0636,0.07,1.671B,1.671B,0.0213
2002-12,2.146B,2.146B,1.377B,769.00M,290.00M,412.00M,-741.00M,,,702.00M,67.00M,,,-741.00M,,-567.00M,22.00M,-589.00M,,,,-589.00M,-144.40M,492.00M,425.00M,67.00M,-0.34,0.0,,,-0.0672,-0.34,-0.34,0.0,,,-0.0672,-0.34,1.63B,1.63B,0.0213
2002-09,2.248B,2.248B,1.413B,835.00M,311.00M,415.00M,57.00M,,,726.00M,109.00M,,,57.00M,,152.00M,-36.00M,188.00M,,,,188.00M,153.80M,529.00M,420.00M,109.00M,0.11,0.0,,,0.09,0.11,0.11,0.0,,,0.09,0.11,1.709B,1.709B,0.0213
2002-06,2.162B,2.162B,1.306B,856.00M,297.00M,404.00M,-24.00M,,,701.00M,155.00M,,,-24.00M,,117.00M,22.00M,95.00M,,,,95.00M,114.49M,574.00M,419.00M,155.00M,0.05,0.0,,,0.0603,0.05,0.05,0.0,,,0.0603,0.05,1.90B,1.90B,0.0213
2002-03,1.827B,1.827B,1.216B,611.00M,267.00M,388.00M,11.00M,,,655.00M,-44.00M,,,11.00M,,-47.00M,-9.00M,-38.00M,,,,-38.00M,-46.89M,381.00M,425.00M,-44.00M,-0.02,0.0,,,-0.0247,-0.02,-0.02,0.0,,,-0.0247,-0.02,1.90B,1.90B,0.0213
2001-12,1.787B,1.787B,1.372B,415.00M,301.00M,382.00M,16.00M,,,683.00M,-268.00M,,,16.00M,,-268.00M,-152.00M,-116.00M,,,,-116.00M,-125.60M,242.00M,510.00M,-268.00M,-0.07,0.0,,,-0.076,-0.07,-0.07,0.0,,,-0.076,-0.07,1.60B,1.60B,0.0213
2001-09,1.849B,1.849B,1.424B,425.00M,312.00M,358.00M,37.00M,,,670.00M,-245.00M,,,37.00M,,-223.00M,-106.00M,-117.00M,,,,-117.00M,-139.20M,225.00M,470.00M,-245.00M,-0.07,0.0,,,-0.0833,-0.07,-0.07,0.0,,,-0.0833,-0.07,1.671B,1.671B,0.0213
