,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-12,581.13M,581.13M,85.74M,48.69M,134.43M,-52.01M,7.805M,-7.805M,-34.80M,47.62M,7.805M,-7.805M,3.892M,-7.805M,-82.44M,-40.80M,-41.63M,,-41.63M,-10.43M,5.554M,-74.63M,,-0.2268,0.00,,-0.0495,-0.2268,,-0.2268,0.00,,-0.0533,-0.2268,,176.04M,179.94M,0.1724,,AOR,Restated
2000-09,599.79M,599.79M,91.95M,40.72M,132.67M,-15.13M,9.007M,-9.007M,42.64M,160.18M,9.007M,-9.007M,2.255M,-9.007M,-8.731M,-14.31M,5.577M,,5.577M,14.65M,4.194M,0.276M,,0.0272,0.00,,0.0788,0.0272,,0.0272,0.00,,0.0782,0.0272,,176.10M,178.12M,0.1724,,AOR,Restated
2000-06,578.81M,578.81M,86.98M,41.18M,128.17M,-14.09M,9.979M,-9.979M,5.876M,119.95M,9.979M,-9.979M,2.479M,-9.979M,96.64M,21.95M,74.69M,,74.69M,85.59M,3.283M,106.62M,,0.4172,0.00,,0.4784,0.4172,,0.4082,0.00,,0.4678,0.4082,,178.19M,182.52M,0.1724,,AOR,Restated
2000-03,571.27M,571.27M,84.53M,41.98M,126.51M,-13.50M,9.162M,-9.162M,5.284M,118.30M,9.162M,-9.162M,2.374M,-9.162M,103.53M,24.16M,79.36M,,79.36M,89.71M,4.969M,112.69M,,0.4444,0.00,,0.5024,0.4444,,0.4354,0.00,,0.4923,0.4354,,178.57M,181.76M,0.1724,,AOR,Restated
1999-12,511.72M,511.72M,80.79M,41.63M,122.42M,-22.28M,9.631M,-9.631M,3.528M,103.68M,9.631M,-9.631M,0.255M,-9.631M,54.56M,7.333M,47.22M,,47.22M,66.50M,5.731M,64.19M,,0.2630,0.00,,0.3682,0.2630,,0.2540,0.00,,0.3576,0.2540,,183.43M,186.13M,0.1542,,AOR,Restated
1999-09,538.30M,538.30M,81.88M,37.13M,119.01M,-14.06M,7.978M,-7.978M,0.714M,105.67M,7.978M,-7.978M,2.626M,-7.978M,69.04M,12.00M,57.05M,,57.05M,68.66M,3.568M,77.02M,,0.3175,0.00,,0.3822,0.3175,,0.3084,0.00,,0.3714,0.3084,,179.31M,184.37M,0.1542,,,Restated
1999-06,541.32M,541.32M,80.42M,35.42M,115.84M,-13.46M,7.606M,-7.606M,2.239M,104.62M,7.606M,-7.606M,4.822M,-7.606M,116.34M,30.09M,86.25M,,86.25M,96.23M,3.356M,123.95M,,0.4807,0.00,,0.5362,0.4807,,0.4717,0.00,,0.5256,0.4717,,179.82M,184.94M,0.1542,,,Restated
1999-03,536.66M,536.66M,72.92M,37.81M,110.72M,-10.21M,7.785M,-7.785M,1.519M,102.03M,7.785M,-7.785M,2.297M,-7.785M,82.06M,17.58M,64.48M,,64.48M,72.50M,3.345M,89.85M,,0.3537,0.00,,0.3975,0.3537,,0.3447,0.00,,0.3872,0.3447,,183.13M,188.66M,0.1542,,,Restated
1998-12,508.39M,508.39M,,,,,8.412M,-8.412M,,,8.412M,-8.412M,-342.05M,-8.412M,307.11M,8.24M,45.67M,,45.67M,45.67M,3.493M,315.52M,,0.2548,0.00,,0.2548,0.2548,,0.2367,0.00,,0.2367,0.2367,,181.44M,194.99M,0.1390,,AOR,Restated
1998-09,514.80M,514.80M,,,,,8.10M,-8.10M,,,8.10M,-8.10M,112.20M,-8.10M,0.00,11.10M,52.90M,,52.90M,52.90M,3.00M,8.10M,,0.2810,0.00,,0.2810,0.2810,,0.2810,0.00,,0.2810,0.2810,,188.29M,188.29M,0.1390,,,
1998-06,518.60M,518.60M,,,,,6.10M,-6.10M,,,6.10M,-6.10M,120.20M,-6.10M,0.00,14.10M,58.80M,,58.80M,58.80M,2.70M,6.10M,,0.3172,0.00,,0.3172,0.3172,,0.3172,0.00,,0.3172,0.3172,,185.37M,185.37M,0.1390,,,
1998-03,512.60M,512.60M,,,,,5.30M,-5.30M,,,5.30M,-5.30M,118.10M,-5.30M,0.00,32.20M,84.20M,,84.20M,84.20M,2.60M,5.30M,,0.4622,0.00,,0.4622,0.4622,,0.4441,0.00,,0.4441,0.4441,,182.17M,189.60M,0.1390,,,
1997-12,482.38M,482.38M,,,,,5.521M,-5.521M,,,5.521M,-5.521M,-322.12M,-5.521M,394.56M,21.48M,72.48M,,72.48M,72.48M,3.727M,400.08M,,0.4001,0.00,,0.4001,0.4001,,0.4001,0.00,,0.4001,0.4001,,181.79M,188.49M,0.124,,AOR,Restated
1997-09,492.00M,492.00M,,,,,5.50M,-5.50M,,,5.50M,-5.50M,110.60M,-5.50M,0.00,25.00M,77.00M,,77.00M,77.00M,2.80M,5.50M,,0.4260,0.00,,0.4260,0.4260,,0.4169,0.00,,0.4169,0.4169,,180.77M,184.70M,0.124,,,
1997-06,484.20M,484.20M,,,,,4.70M,-4.70M,,,4.70M,-4.70M,108.80M,-4.70M,0.00,24.50M,75.80M,,75.80M,75.80M,2.30M,4.70M,,0.4169,0.00,,0.4169,0.4169,,0.3988,0.00,,0.3988,0.3988,,181.82M,190.08M,0.124,,,
1997-03,483.70M,483.70M,,,,,5.00M,-5.00M,,,5.00M,-5.00M,110.70M,-5.00M,0.00,24.20M,74.00M,,74.00M,74.00M,2.50M,5.00M,,0.3988,0.00,,0.3988,0.3988,,0.3897,0.00,,0.3897,0.3897,,185.57M,189.88M,0.124,,,
1996-12,459.25M,459.25M,,,,,6.202M,-6.202M,,,6.202M,-6.202M,-281.10M,-6.202M,282.42M,17.36M,62.96M,,62.96M,62.96M,4.00M,288.62M,,0.3454,0.00,,0.3454,0.3454,,0.3363,0.00,,0.3363,0.3363,,182.94M,198.21M,0.1118,,AOR,Restated
1996-09,455.70M,455.70M,,,,,4.80M,-4.80M,,,4.80M,-4.80M,97.50M,-4.80M,0.00,11.70M,46.90M,,46.90M,46.90M,1.80M,4.80M,,0.2538,0.00,,0.2538,0.2538,,0.2447,0.00,,0.2447,0.2447,,184.82M,191.66M,0.1118,,,
1996-06,442.00M,442.00M,,,,,4.60M,-4.60M,,,4.60M,-4.60M,89.60M,-4.60M,0.00,12.60M,54.40M,,54.40M,54.40M,1.90M,4.60M,,0.2991,0.00,,0.2991,0.2991,,0.2900,0.00,,0.2900,0.2900,,181.89M,187.58M,0.1118,,,
1996-03,451.80M,451.80M,,,,,4.60M,-4.60M,,,4.60M,-4.60M,104.60M,-4.60M,0.00,17.00M,59.40M,,59.40M,59.40M,-0.60M,4.60M,,0.3263,0.00,,0.3263,0.3263,,0.3172,0.00,,0.3172,0.3172,,182.06M,187.26M,0.1118,,,
1995-12,419.25M,419.25M,,,,,4.431M,-4.431M,,,4.431M,-4.431M,-251.97M,-4.431M,295.19M,14.44M,50.35M,,50.35M,50.35M,2.941M,299.62M,,0.3001,0.00,,0.3001,0.3001,,0.2729,0.00,,0.2729,0.2729,,167.66M,194.30M,0.0979,,AOR,Restated
1995-09,416.70M,416.70M,,,,,4.80M,-4.80M,,,4.80M,-4.80M,86.80M,-4.80M,0.00,18.40M,58.60M,,58.60M,58.60M,2.20M,4.80M,,0.3081,0.00,,0.3081,0.3081,,0.3081,0.00,,0.3081,0.3081,,190.17M,190.17M,0.0979,,,
1995-06,405.00M,405.00M,,,,,4.30M,-4.30M,,,4.30M,-4.30M,81.10M,-4.30M,0.00,14.50M,55.10M,,55.10M,55.10M,2.10M,4.30M,,0.2900,0.00,,0.2900,0.2900,,0.2900,0.00,,0.2900,0.2900,,189.99M,189.99M,0.0979,,,
1995-03,414.70M,414.70M,,,,,3.70M,-3.70M,,,3.70M,-3.70M,94.80M,-3.70M,0.00,20.60M,63.20M,,63.20M,63.20M,2.40M,3.70M,,0.3353,0.00,,0.3353,0.3353,,0.3353,0.00,,0.3353,0.3353,,188.47M,188.47M,0.0979,,,
1994-12,372.31M,372.31M,,,,,2.861M,-2.861M,,,2.861M,-2.861M,-223.93M,-2.861M,249.33M,10.50M,46.13M,,46.13M,46.13M,3.123M,252.19M,,0.2002,0.00,,0.2002,0.2002,,0.2002,0.00,,0.2002,0.2002,,217.26M,217.26M,0.0878,,AOR,Restated
1994-09,381.70M,381.70M,,,,,2.80M,-2.80M,,,2.80M,-2.80M,75.30M,-2.80M,0.00,9.30M,47.60M,,47.60M,47.60M,2.50M,2.80M,,0.2628,0.00,,0.2628,0.2628,,0.2628,0.00,,0.2628,0.2628,,181.11M,181.11M,0.0919,,,
1994-06,378.80M,378.80M,,,,,2.30M,-2.30M,,,2.30M,-2.30M,74.50M,-2.30M,0.00,16.90M,59.10M,,59.10M,59.10M,2.10M,2.30M,,0.3263,0.00,,0.3263,0.3263,,0.3263,0.00,,0.3263,0.3263,,181.14M,181.14M,0.0919,,,
1994-03,379.70M,379.70M,,,,,1.90M,-1.90M,,,1.90M,-1.90M,85.40M,-1.90M,0.00,11.40M,48.50M,,48.50M,48.50M,2.20M,1.90M,,0.2719,0.00,,0.2719,0.2719,,0.2719,0.00,,0.2719,0.2719,,178.38M,178.38M,0.0919,,,
1993-12,359.85M,359.85M,,,,,1.889M,-1.889M,,,1.889M,-1.889M,-224.90M,-1.889M,267.00M,-118.72M,176.71M,,47.12M,60.92M,2.966M,268.88M,,0.2817,-0.0725,,0.2817,0.2092,,0.2817,-0.0725,,0.2817,0.2092,,212.64M,212.64M,0.0804,,,Restated
1993-09,357.50M,357.50M,,,,,1.80M,-1.80M,,,1.80M,-1.80M,68.60M,-1.80M,0.00,19.20M,35.80M,,35.80M,35.80M,2.50M,1.80M,,0.2628,0.00,,0.2628,0.2628,,0.2628,0.00,,0.2628,0.2628,,136.21M,136.21M,0.0804,,,
1993-06,371.20M,371.20M,,,,,,,,,,,86.00M,,0.00,18.20M,62.10M,,62.10M,62.10M,2.60M,0.00,,0.3444,0.00,,0.3444,0.3444,,0.3444,0.00,,0.3444,0.3444,,180.32M,180.32M,0.0804,,,
1993-03,353.70M,353.70M,,,,,1.60M,-1.60M,,,1.60M,-1.60M,80.80M,-1.60M,0.00,16.40M,57.20M,13.80M,71.00M,57.20M,2.40M,1.60M,,0.3172,0.0816,0.00,0.3172,0.3988,,0.3172,0.0816,0.0775,0.3172,0.3988,,178.05M,178.05M,0.0804,,,
1992-12,329.05M,329.05M,,,,,1.59M,-1.59M,,,1.59M,-1.59M,-193.55M,-1.59M,209.19M,-70.27M,111.26M,,35.52M,35.52M,3.251M,210.78M,,0.1593,0.00,,0.1593,0.1593,,0.1593,0.00,,0.1593,0.1593,,208.31M,208.31M,0.0746,,,Restated
1992-09,330.40M,330.40M,,,,,1.90M,-1.90M,,,1.90M,-1.90M,60.10M,-1.90M,0.00,5.60M,34.30M,,34.30M,34.30M,2.50M,1.90M,,0.1903,0.00,,0.1903,0.1903,,0.1903,0.00,,0.1903,0.1903,,180.22M,180.22M,0.0746,,,
1992-06,317.30M,317.30M,,,,,1.70M,-1.70M,,,1.70M,-1.70M,69.30M,-1.70M,0.00,13.30M,50.20M,,50.20M,50.20M,2.20M,1.70M,,0.2810,0.00,,0.2810,0.2810,,0.2810,0.00,,0.2810,0.2810,,178.68M,178.68M,0.0746,,,
1992-03,327.50M,327.50M,,,,,1.40M,-1.40M,,,1.40M,-1.40M,74.70M,-1.40M,0.00,13.40M,51.30M,,51.30M,51.30M,2.10M,1.40M,,0.2991,0.00,,0.2991,0.2991,,0.2991,0.00,,0.2991,0.2991,,171.53M,171.53M,0.0728,,,
1991-12,289.50M,289.50M,,,,,1.60M,-1.60M,,,1.60M,-1.60M,44.70M,-1.60M,0.00,2.70M,29.90M,,29.90M,29.90M,2.90M,1.60M,,0.1450,0.00,,0.1450,0.1450,,0.1359,0.00,,0.1359,0.1359,,196.77M,204.83M,0.0652,,,
1991-09,296.50M,296.50M,,,,,1.80M,-1.80M,,,1.80M,-1.80M,55.90M,-1.80M,0.00,6.60M,30.00M,,30.00M,30.00M,1.30M,1.80M,,0.1722,0.00,,0.1722,0.1722,,0.1722,0.00,,0.1722,0.1722,,174.22M,174.22M,0.0652,,,
1991-06,295.60M,295.60M,,,,,1.60M,-1.60M,,,1.60M,-1.60M,61.20M,-1.60M,0.00,11.70M,44.00M,,44.00M,44.00M,0.80M,1.60M,,0.2538,0.00,,0.2538,0.2538,,0.2538,0.00,,0.2538,0.2538,,173.39M,173.39M,0.0652,,,
1991-03,279.50M,279.50M,,,,,1.60M,-1.60M,,,1.60M,-1.60M,51.60M,-1.60M,0.00,9.90M,42.40M,,42.40M,42.40M,1.00M,1.60M,,0.2447,0.00,,0.2447,0.2447,,0.2447,0.00,,0.2447,0.2447,,173.27M,173.27M,0.0652,,,
1990-12,266.50M,266.50M,,,,,1.60M,-1.60M,,,1.60M,-1.60M,41.80M,-1.60M,0.00,4.90M,31.30M,,31.30M,31.30M,1.60M,1.60M,,0.1450,0.00,,0.1450,0.1450,,0.1450,0.00,,0.1450,0.1450,,207.36M,207.36M,0.0585,,,
1990-09,264.10M,264.10M,,,,,1.40M,-1.40M,,,1.40M,-1.40M,43.30M,-1.40M,0.00,2.00M,27.70M,,27.70M,27.70M,1.00M,1.40M,,0.1631,0.00,,0.1631,0.1631,,0.1631,0.00,,0.1631,0.1631,,169.80M,169.80M,0.0585,,,
1990-06,258.10M,258.10M,,,,,1.80M,-1.80M,,,1.80M,-1.80M,45.90M,-1.80M,0.00,6.90M,34.70M,,34.70M,34.70M,1.30M,1.80M,,0.1994,0.00,,0.1994,0.1994,,0.1994,0.00,,0.1994,0.1994,,174.03M,174.03M,0.0585,,,
1990-03,260.20M,260.20M,,,,,1.50M,-1.50M,,,1.50M,-1.50M,46.90M,-1.50M,0.00,7.00M,35.30M,,35.30M,35.30M,1.10M,1.50M,,0.2084,0.00,,0.2084,0.2084,,0.2084,0.00,,0.2084,0.2084,,169.35M,169.35M,0.0585,,,
1989-12,245.40M,245.40M,,,,,1.90M,-1.90M,,,1.90M,-1.90M,37.00M,-1.90M,0.00,3.30M,27.40M,,27.40M,27.40M,2.00M,1.90M,,0.1359,0.00,,0.1359,0.1359,,0.1269,0.00,,0.1269,0.1269,,196.91M,207.08M,0.0518,,,
1989-09,248.00M,248.00M,,,,,1.50M,-1.50M,,,1.50M,-1.50M,40.10M,-1.50M,0.00,0.50M,18.60M,,18.60M,18.60M,1.50M,1.50M,,0.1088,0.00,,0.1088,0.1088,,0.1088,0.00,,0.1088,0.1088,,171.03M,171.03M,0.0518,,,
1989-06,238.10M,238.10M,,,,,1.60M,-1.60M,,,1.60M,-1.60M,40.20M,-1.60M,0.00,5.40M,29.40M,,29.40M,29.40M,,1.60M,,0.1722,0.00,,0.1722,0.1722,,0.1722,0.00,,0.1722,0.1722,,170.73M,170.73M,0.0518,,,
1989-03,240.50M,240.50M,,,,,,,,,,,,,,,34.20M,,34.20M,34.20M,,,,0.1994,0.00,,0.1994,0.1994,,0.1994,0.00,,0.1994,0.1994,,171.53M,171.53M,0.0518,,,
1988-12,231.70M,231.70M,,,,,,,,,,,,,,,29.60M,,29.60M,29.60M,,,,0.1541,0.00,,0.1541,0.1541,,0.1450,0.00,,0.1450,0.1450,,188.71M,197.47M,0.0422,,,
1988-09,228.00M,228.00M,,,,,,,,,,,,,,,28.00M,,28.00M,28.00M,,,,0.1631,0.00,,0.1631,0.1631,,0.1631,0.00,,0.1631,0.1631,,171.64M,171.64M,0.0422,,,
1988-06,228.80M,228.80M,,,,,,,,,,,,,,,36.10M,,36.10M,36.10M,,,,0.2084,0.00,,0.2084,0.2084,,0.2084,0.00,,0.2084,0.2084,,173.18M,173.18M,0.0422,,,
1988-03,227.50M,227.50M,,,,,,,,,,,,,,,35.00M,,35.00M,35.00M,,,,0.2084,0.00,,0.2084,0.2084,,0.2084,0.00,,0.2084,0.2084,,167.91M,167.91M,0.0422,,,
1987-12,227.30M,227.30M,,,,,,,,,,,,,,,26.60M,,26.60M,26.60M,,,,0.1631,0.00,,0.1631,0.1631,,0.1631,0.00,,0.1631,0.1631,,161.99M,161.99M,0.0364,,,
1987-09,220.00M,220.00M,,,,,,,,,,,,,,,24.40M,,24.40M,24.40M,,,,0.1450,0.00,,0.1450,0.1450,,0.1450,0.00,,0.1450,0.1450,,168.27M,168.27M,0.0331,,,
1987-06,225.50M,225.50M,,,,,,,,,,,,,,,11.80M,,11.80M,11.80M,,,,0.0725,0.00,,0.0725,0.0725,,0.0725,0.00,,0.0725,0.0725,,162.75M,162.75M,0.0347,,,
1987-03,210.40M,210.40M,,,,,,,,,,,,,,,28.00M,,28.00M,28.00M,,,,0.1631,0.00,,0.1631,0.1631,,0.1631,0.00,,0.1631,0.1631,,171.64M,171.64M,0.0347,,,
1986-12,205.00M,205.00M,,,,,,,,,,,,,,,18.40M,,18.40M,18.40M,,,,0.1088,0.00,,0.1088,0.1088,,0.1088,0.00,,0.1088,0.1088,,168.91M,168.91M,0.0301,,,
1986-09,203.00M,203.00M,,,,,,,,,,,,,,,24.80M,,24.80M,24.80M,,,,0.1450,0.00,,0.1450,0.1450,,0.1450,0.00,,0.1450,0.1450,,171.02M,171.02M,0.0301,,,
1986-06,189.10M,189.10M,,,,,,,,,,,,,,,21.70M,,21.70M,21.70M,,,,0.1269,0.00,,0.1269,0.1269,,0.1269,0.00,,0.1269,0.1269,,171.02M,171.02M,0.0301,,,
1986-03,178.70M,178.70M,,,,,,,,,,,,,,,18.60M,,18.60M,18.60M,,,,0.1088,0.00,,0.1088,0.1088,,0.1088,0.00,,0.1088,0.1088,,171.03M,171.03M,0.0301,,,
1985-12,165.20M,165.20M,,,,,,,,,,,,,,,15.40M,,15.40M,15.40M,,,,0.0906,0.00,,0.0906,0.0906,,0.0906,0.00,,0.0906,0.0906,,170.80M,170.80M,0.0283,,,
1985-09,158.60M,158.60M,,,,,,,,,,,,,,,16.40M,,16.40M,16.40M,,,,0.0997,0.00,,0.0997,0.0997,,0.0997,0.00,,0.0997,0.0997,,164.51M,164.51M,0.0283,,,
1985-06,147.10M,147.10M,,,,,,,,,,,,,,,14.30M,,14.30M,14.30M,,,,0.0906,0.00,,0.0906,0.0906,,0.0906,0.00,,0.0906,0.0906,,157.78M,157.78M,0.0283,,,
1985-03,137.00M,137.00M,,,,,,,,,,,,,,,6.40M,,6.40M,6.40M,,,,0.0363,0.00,,0.0363,0.0363,,0.0363,0.00,,0.0363,0.0363,,176.54M,176.54M,0.0283,,,
1984-12,128.90M,128.90M,,,,,,,,,,,,,,,27.80M,,27.80M,27.80M,,,,0.1813,0.00,,0.1813,0.1813,,0.1813,0.00,,0.1813,0.1813,,136.72M,136.72M,0.0250,,,
1984-09,124.30M,124.30M,,,,,,,,,,,,,,,12.80M,,12.80M,12.80M,,,,0.0816,0.00,,0.0816,0.0816,,0.0816,0.00,,0.0816,0.0816,,156.93M,156.93M,,,,
1984-06,119.50M,119.50M,,,,,,,,,,,,,,,15.50M,,15.50M,15.50M,,,,0.0906,0.00,,0.0906,0.0906,,0.0906,0.00,,0.0906,0.0906,,171.03M,171.03M,,,,
1984-03,116.60M,116.60M,,,,,,,,,,,,,,,11.30M,,11.30M,11.30M,,,,0.0544,0.00,,0.0544,0.0544,,0.0544,0.00,,0.0544,0.0544,,157.06M,157.06M,,,,
