,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2015-03,450.43M,450.43M,325.63M,124.80M,109.20M,,,1.995M,-1.995M,,109.20M,15.60M,1.995M,-1.995M,,-1.995M,13.60M,5.292M,8.433M,,-0.014M,8.419M,8.419M,19.59M,3.989M,15.60M,0.19,,,0.19,0.19,0.19,,,0.19,0.19,43.60M,44.76M,0.22
2014-12,376.44M,376.44M,270.42M,106.02M,106.75M,,,1.794M,-1.794M,,106.75M,-0.732M,1.794M,-1.794M,,-1.794M,-2.526M,-0.552M,-1.979M,,-0.216M,-2.195M,-2.195M,3.326M,4.058M,-0.732M,-0.05,,,-0.05,-0.05,-0.05,,,-0.05,-0.05,43.44M,44.57M,0.22
2014-09,615.54M,615.54M,439.29M,176.24M,117.79M,,,1.864M,-1.864M,,117.79M,58.46M,1.864M,-1.864M,,-1.864M,56.59M,21.71M,34.96M,,-0.122M,34.84M,34.84M,62.56M,4.107M,58.46M,0.8,,,0.8,0.8,0.78,,,0.78,0.78,43.76M,44.86M,0.22
2014-06,848.24M,848.24M,601.26M,246.98M,124.48M,,,1.894M,-1.894M,,124.48M,122.50M,1.894M,-1.894M,,-1.894M,120.60M,46.80M,73.86M,,,73.86M,73.86M,126.45M,3.955M,122.50M,1.65,,,1.65,1.65,1.61,,,1.61,1.61,44.77M,45.97M,0.22
2014-03,406.34M,406.34M,292.24M,114.10M,105.45M,,,1.933M,-1.933M,,105.45M,8.646M,1.933M,-1.933M,,-1.933M,6.713M,2.604M,4.188M,,0.00,4.188M,4.188M,12.41M,3.762M,8.646M,0.09,,,0.09,0.09,0.09,,,0.09,0.09,45.18M,46.38M,0.19
2013-12,340.79M,340.79M,245.00M,95.79M,102.61M,,,1.509M,-1.509M,,102.61M,-6.814M,1.509M,-1.509M,,-1.509M,-8.323M,-3.218M,-4.975M,,0.00,-4.975M,-4.975M,-2.856M,3.958M,-6.814M,-0.11,,,-0.11,-0.11,-0.11,,,-0.11,-0.11,45.70M,46.96M,0.19
2013-09,578.16M,578.16M,415.60M,162.56M,109.18M,,,1.544M,-1.544M,,109.18M,53.38M,1.544M,-1.544M,,-1.544M,51.83M,19.50M,32.33M,,0.00,32.33M,32.33M,57.05M,3.678M,53.38M,0.7,,,0.7,0.7,0.68,,,0.68,0.68,46.38M,47.60M,0.19
2013-06,790.39M,790.39M,562.23M,228.17M,116.17M,,,2.081M,-2.081M,,116.17M,111.99M,2.081M,-2.081M,,-2.081M,109.91M,43.42M,66.53M,,,66.53M,66.53M,115.56M,3.566M,111.99M,1.43,,,1.43,1.43,1.39,,,1.39,1.39,46.66M,47.88M,0.19
2013-03,370.36M,370.36M,265.60M,104.76M,97.83M,,,1.614M,-1.614M,,97.83M,6.932M,1.614M,-1.614M,,-1.614M,5.318M,1.896M,3.44M,,,3.44M,3.44M,10.33M,3.394M,6.932M,0.07,,,0.07,0.07,0.07,,,0.07,0.07,46.38M,47.58M,0.16
2012-12,306.82M,306.82M,217.88M,88.94M,99.24M,,0.00,1.105M,-1.105M,,99.24M,-10.30M,1.105M,-1.105M,0.00,-1.105M,-11.40M,-3.276M,-7.997M,,,-7.997M,-7.997M,-6.864M,3.433M,-10.30M,-0.17,,,-0.17,-0.17,-0.17,,,-0.17,-0.17,46.52M,47.62M,0.16
2012-09,528.03M,528.03M,376.53M,151.50M,103.54M,,-6.946M,1.687M,-1.687M,,103.54M,47.96M,1.687M,-1.687M,-6.946M,-1.687M,39.32M,17.96M,21.38M,,,21.38M,25.89M,44.26M,3.246M,41.01M,0.46,,,0.5569,0.46,0.45,,,0.5445,0.45,46.57M,47.79M,0.16
2012-06,757.18M,757.18M,534.77M,222.40M,114.27M,,,2.20M,-2.20M,,114.27M,108.13M,2.20M,-2.20M,,-2.20M,105.93M,41.02M,64.94M,,,64.94M,64.94M,111.35M,3.213M,108.13M,1.38,,,1.38,1.38,1.34,,,1.34,1.34,47.14M,48.29M,0.16
2012-03,361.95M,361.95M,257.39M,104.56M,98.54M,,,1.477M,-1.477M,,98.54M,6.021M,1.477M,-1.477M,,-1.477M,4.544M,1.037M,3.651M,,,3.651M,3.651M,9.005M,2.984M,6.021M,0.08,,,0.08,0.08,0.08,,,0.08,0.08,47.52M,48.60M,0.14
2011-12,270.42M,270.42M,189.59M,80.84M,93.63M,,-1.55M,2.854M,-2.854M,,93.63M,-12.79M,2.854M,-2.854M,,-2.854M,-17.20M,-7.058M,-10.12M,,,-10.12M,-9.108M,-11.35M,2.991M,-14.34M,-0.21,,,-0.1888,-0.21,-0.21,,,-0.1892,-0.21,47.56M,48.48M,0.14
2011-09,503.58M,503.58M,355.68M,147.91M,106.99M,,0.00,1.641M,-1.641M,,106.99M,40.91M,1.641M,-1.641M,,-1.641M,39.27M,15.13M,24.17M,,,24.17M,24.17M,43.86M,2.946M,40.91M,0.5,0.0,,0.5,0.5,0.5,0.0,,0.5,0.5,47.99M,48.77M,0.14
2011-06,706.42M,706.42M,494.98M,211.44M,113.52M,,,1.824M,-1.824M,,113.52M,97.92M,1.824M,-1.824M,,-1.824M,96.10M,37.67M,58.58M,,,58.58M,58.58M,100.64M,2.717M,97.92M,1.21,0.0,,1.21,1.21,1.19,0.0,,1.19,1.19,48.23M,49.12M,0.14
2011-03,312.89M,312.89M,221.48M,91.41M,90.83M,,,1.645M,-1.645M,,90.83M,0.576M,1.645M,-1.645M,,-1.645M,-1.069M,-0.419M,-0.638M,,,-0.638M,-0.638M,3.227M,2.651M,0.576M,-0.01,0.0,,-0.01,-0.01,-0.01,0.0,,-0.01,-0.01,48.86M,48.86M,0.13
2010-12,241.43M,241.43M,167.86M,73.57M,90.35M,,,1.961M,-1.961M,,90.35M,-16.78M,1.961M,-1.961M,,-1.961M,-18.74M,-6.951M,-11.80M,,,-11.80M,-11.80M,-14.01M,2.769M,-16.78M,-0.23,,,-0.23,-0.23,-0.23,,,-0.23,-0.23,49.55M,50.16M,0.13
2010-09,455.02M,455.02M,324.15M,130.87M,93.82M,,,0.376M,-0.376M,,93.82M,37.05M,0.376M,-0.376M,,-0.376M,36.67M,13.90M,22.78M,,,22.78M,22.78M,39.95M,2.90M,37.05M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,49.62M,50.17M,0.13
2010-06,647.47M,647.47M,456.93M,190.53M,101.66M,,,1.928M,-1.928M,,101.66M,88.87M,1.928M,-1.928M,,-1.928M,86.94M,34.17M,52.77M,,,52.77M,52.77M,91.74M,2.868M,88.87M,1.07,0.0,,1.07,1.07,1.05,0.0,,1.05,1.05,49.51M,50.44M,0.13
2010-03,269.83M,269.83M,193.54M,76.29M,84.18M,,,2.354M,-2.354M,,84.18M,-7.888M,2.354M,-2.354M,,-2.354M,-10.24M,-4.025M,-6.111M,,,-6.111M,-6.111M,-5.097M,2.791M,-7.888M,-0.12,0.0,,-0.12,-0.12,-0.12,0.0,,-0.12,-0.12,49.19M,49.19M,0.13
2009-12,231.03M,231.03M,163.96M,67.07M,88.84M,,,0.686M,-0.686M,,88.84M,-21.78M,0.686M,-0.686M,,-0.686M,-22.46M,-8.829M,-13.61M,,,-13.61M,-13.61M,-18.87M,2.909M,-21.78M,-0.29,0.0,,-0.29,-0.29,-0.29,0.0,,-0.29,-0.29,48.97M,49.61M,0.13
2009-09,430.05M,430.05M,306.66M,123.39M,91.25M,,,2.504M,-2.504M,,91.25M,32.14M,2.504M,-2.504M,,-2.504M,29.64M,11.65M,-9.322M,,,-9.322M,-9.322M,34.98M,2.837M,32.14M,-0.19,0.0,,-0.19,-0.19,-0.19,0.0,,-0.19,-0.19,48.80M,48.80M,0.13
2009-06,602.08M,602.08M,424.01M,178.07M,96.35M,,,3.15M,-3.15M,,96.35M,81.72M,3.15M,-3.15M,,-3.15M,78.57M,30.88M,48.37M,,,48.37M,48.37M,84.65M,2.928M,81.72M,1.0,0.0,,1.0,1.0,0.99,0.0,,0.99,0.99,48.54M,48.84M,0.13
2009-03,276.63M,276.63M,195.43M,81.19M,84.84M,,,3.327M,-3.327M,,84.84M,-3.646M,3.327M,-3.327M,-2.003M,-3.327M,-6.973M,-2.74M,-6.236M,,,-6.236M,-6.236M,-0.775M,2.871M,-3.646M,-0.13,0.0,,-0.13,-0.13,-0.13,0.0,,-0.13,-0.13,48.29M,48.29M,0.13
2008-12,258.97M,258.97M,183.64M,75.32M,90.65M,,,,,,90.65M,-15.33M,,,-2.741M,,-19.54M,-7.486M,-14.80M,,,-14.80M,-14.80M,-12.25M,3.076M,-15.33M,-0.31,0.0,,-0.31,-0.31,-0.31,0.0,,-0.31,-0.31,48.36M,48.36M,0.13
2008-09,493.53M,493.53M,351.73M,141.80M,103.18M,,,,,,103.18M,38.62M,,,1.707M,,34.03M,13.68M,22.06M,,,22.06M,22.06M,42.04M,3.425M,38.62M,0.46,0.0,,0.46,0.46,0.45,0.0,,0.45,0.45,47.82M,49.06M,0.13
2008-06,692.97M,692.97M,490.22M,202.75M,112.76M,,,,,,112.76M,89.99M,,,0.783M,,84.90M,32.81M,52.88M,,,52.88M,52.88M,93.49M,3.502M,89.99M,1.11,0.0,,1.11,1.11,1.09,0.0,,1.09,1.09,47.72M,48.72M,0.13
2008-03,338.22M,338.22M,242.86M,95.35M,93.16M,,,5.024M,-5.024M,,93.16M,2.197M,5.024M,-5.024M,,-5.024M,-2.827M,1.089M,-3.184M,,,-3.184M,-3.184M,5.648M,3.451M,2.197M,-0.07,0.0,,-0.07,-0.07,-0.07,0.0,,-0.07,-0.07,47.65M,47.65M,0.12
2007-12,300.76M,300.76M,221.32M,79.44M,92.23M,,,,,,92.23M,-12.80M,,,-0.374M,,-18.18M,-6.964M,-11.59M,,,-11.59M,-11.59M,-9.346M,3.45M,-12.80M,-0.22,0.0,,-0.22,-0.22,-0.22,0.0,,-0.22,-0.22,47.43M,49.17M,0.12
2007-09,527.43M,527.43M,387.63M,139.80M,100.30M,,,,,,100.30M,39.50M,,,1.481M,,33.16M,12.80M,21.84M,,,21.84M,21.84M,43.03M,3.524M,39.50M,0.45,0.0,,0.45,0.45,0.43,0.0,,0.43,0.43,48.62M,50.49M,0.12
2007-06,726.47M,726.47M,518.55M,207.92M,109.49M,,,,,,109.49M,98.43M,,,0.986M,,92.54M,35.73M,57.79M,,,57.79M,57.79M,102.04M,3.605M,98.43M,1.17,0.0,,1.17,1.17,1.12,0.0,,1.12,1.12,49.33M,51.50M,0.12
2007-03,373.71M,373.71M,270.22M,103.48M,94.85M,,,,,,94.85M,8.632M,,,-1.171M,,4.113M,1.588M,1.354M,,,1.354M,1.354M,12.04M,3.404M,8.632M,0.03,0.0,,0.03,0.03,0.03,0.0,,0.03,0.03,50.20M,52.46M,0.105
2006-12,318.49M,318.49M,235.58M,82.90M,86.98M,,,,,,86.98M,-4.07M,,,0.084M,,-8.283M,-3.198M,-5.001M,,,-5.001M,-5.001M,-0.618M,3.452M,-4.07M,-0.08,0.0,,-0.08,-0.08,-0.08,0.0,,-0.08,-0.08,50.74M,53.37M,0.105
2006-09,537.02M,537.02M,387.02M,150.00M,96.90M,,,,,,96.90M,53.09M,,,1.525M,,48.82M,18.85M,31.49M,,,31.49M,31.49M,56.31M,3.221M,53.09M,0.61,0.0,,0.61,0.61,0.58,0.0,,0.58,0.58,51.53M,54.28M,0.105
2006-06,705.70M,705.70M,496.70M,209.00M,105.66M,,,,,,105.66M,103.34M,,,1.038M,,99.48M,38.41M,62.11M,,,62.11M,62.11M,106.38M,3.043M,103.34M,1.18,0.0,,1.18,1.18,1.12,0.0,,1.12,1.12,52.61M,55.54M,0.105
2006-03,348.56M,348.56M,250.51M,98.05M,83.03M,,,,,,83.03M,15.02M,,,-1.05M,,12.17M,4.699M,6.422M,,,6.422M,6.422M,18.21M,3.188M,15.02M,0.12,0.0,,0.12,0.12,0.12,0.0,,0.12,0.12,52.59M,55.44M,0.09
2005-12,299.79M,299.79M,216.58M,83.21M,80.92M,,,,,,80.92M,2.287M,,,-0.905M,,5.063M,0.141M,-0.877M,,,-0.877M,-0.877M,5.001M,2.714M,2.287M,-0.02,0.0,,-0.02,-0.02,-0.02,0.0,,-0.02,-0.02,52.31M,55.44M,0.09
2005-09,423.73M,423.73M,309.12M,114.60M,73.17M,,,,,,73.17M,41.43M,,,1.912M,,40.10M,15.49M,26.52M,,,26.52M,26.52M,43.81M,2.382M,41.43M,0.5,0.0,,0.5,0.5,0.47,0.0,,0.47,0.47,52.70M,55.94M,0.09
2005-06,563.98M,563.98M,401.30M,162.68M,81.29M,,,,,,81.29M,81.39M,,,1.942M,,79.48M,30.72M,50.71M,,,50.71M,50.71M,83.55M,2.159M,81.39M,0.97,0.0,,0.97,0.97,0.91,0.0,,0.91,0.91,52.49M,55.78M,0.09
2005-03,265.16M,265.16M,193.21M,71.95M,61.70M,,,,,,61.70M,10.26M,,,-1.482M,,9.176M,3.592M,4.102M,,,4.102M,4.102M,12.41M,2.153M,10.26M,0.08,0.0,,0.08,0.08,0.07,0.0,,0.07,0.07,52.27M,55.48M,0.07
2004-12,209.94M,209.94M,153.53M,56.40M,65.46M,,,,,,65.46M,-9.055M,,,,,-4.498M,-3.658M,-6.279M,,,-6.279M,-6.279M,-6.633M,2.422M,-9.055M,-0.11,0.0,,-0.11,-0.11,-0.11,0.0,,-0.11,-0.11,52.18M,55.48M,0.07
2004-09,362.09M,362.09M,257.91M,104.18M,67.23M,,,,,,67.23M,36.95M,,,,,36.08M,14.07M,22.01M,,,22.01M,22.01M,36.95M,,36.95M,0.42,0.0,,0.42,0.42,0.39,0.0,,0.39,0.39,52.85M,56.18M,0.0667
2004-06,504.18M,504.18M,358.96M,145.22M,72.63M,,,,,,72.63M,72.59M,,,,,71.47M,27.87M,43.60M,,,43.60M,43.60M,72.59M,,72.59M,0.82,0.0,,0.82,0.82,0.7733,0.0,,0.7733,0.7733,53.06M,56.38M,0.0667
2004-03,234.65M,234.65M,169.62M,65.03M,57.36M,,,,,,57.36M,7.672M,,,,,6.689M,2.609M,4.08M,,,4.08M,4.08M,10.38M,2.703M,7.672M,0.08,0.0,,0.08,0.08,0.07,0.0,,0.07,0.07,53.26M,56.39M,
2003-12,189.95M,189.95M,140.35M,49.60M,53.50M,,,,,,53.50M,-3.902M,,,,,-4.909M,-1.915M,-2.994M,,,-2.994M,-2.994M,-3.902M,,-3.902M,-0.1033,0.0,,-0.1033,-0.1033,-0.1033,0.0,,-0.1033,-0.1033,64.46M,67.05M,
2003-09,337.61M,337.61M,245.45M,92.16M,60.94M,,,,,,60.94M,31.22M,,,,,30.16M,11.76M,18.40M,,,18.40M,18.40M,31.22M,,31.22M,0.3467,0.0,,0.3467,0.3467,0.3267,0.0,,0.3267,0.3267,53.07M,55.93M,
2003-06,431.88M,431.88M,311.02M,120.86M,63.67M,,,,,,63.67M,57.19M,,,,,55.68M,21.71M,33.96M,,,33.96M,33.96M,57.19M,,57.19M,0.64,0.0,,0.64,0.64,0.6133,0.0,,0.6133,0.6133,52.96M,55.49M,
2003-03,196.39M,196.39M,143.86M,52.52M,49.00M,,,,,,49.00M,3.52M,,,,,2.435M,0.951M,1.484M,,,1.484M,1.484M,3.52M,,3.52M,0.0267,0.0,,0.0267,0.0267,0.0267,0.0,,0.0267,0.0267,53.02M,55.29M,
2002-12,159.00M,159.00M,118.74M,40.27M,44.73M,,,,,,44.73M,-4.466M,,,,,-5.582M,-2.177M,-3.405M,,,-3.405M,-3.405M,-4.466M,,-4.466M,-0.0489,0.0,,-0.0489,-0.0489,-0.0489,0.0,,-0.0489,-0.0489,51.74M,55.18M,
2002-09,288.80M,288.80M,213.73M,75.07M,50.62M,,,,,,50.62M,24.45M,,,,,23.28M,9.081M,14.20M,,,14.20M,14.20M,24.45M,,24.45M,0.2667,0.0,,0.2667,0.2667,0.2533,0.0,,0.2533,0.2533,53.28M,56.26M,
2002-06,364.09M,364.09M,267.39M,96.70M,48.32M,,,,,,48.32M,48.38M,,,,,46.89M,18.29M,28.60M,,,28.60M,28.60M,48.38M,,48.38M,0.5111,0.0,,0.5111,0.5111,0.4844,0.0,,0.4844,0.4844,56.12M,59.24M,
2002-03,171.35M,171.35M,127.85M,43.50M,39.17M,,,,,,39.17M,4.331M,,,,,3.118M,1.216M,1.902M,,,1.902M,1.902M,4.331M,,4.331M,0.0356,0.0,,0.0356,0.0356,0.0311,0.0,,0.0311,0.0311,56.26M,58.81M,
2001-12,131.60M,131.60M,98.35M,33.25M,36.66M,0.506M,,,,,37.17M,-3.917M,,,,,-5.252M,-1.436M,-3.816M,,,-3.816M,-3.816M,-3.411M,0.506M,-3.917M,-0.0629,0.0,,-0.0629,-0.0629,-0.0629,0.0,,-0.0629,-0.0629,56.30M,59.23M,
2001-09,235.74M,235.74M,174.08M,61.66M,39.33M,0.56M,,,,,39.89M,21.77M,,,,,20.74M,7.983M,12.75M,,,12.75M,12.75M,22.33M,0.56M,21.77M,0.2224,0.0,,0.2224,0.2224,0.2091,0.0,,0.2091,0.2091,57.47M,60.46M,
2001-06,331.68M,331.68M,243.83M,87.86M,44.47M,0.577M,,,,,45.05M,42.81M,,,,,41.39M,15.93M,25.47M,,,25.47M,25.47M,43.38M,0.577M,42.81M,0.4421,0.0,,0.4421,0.4421,0.4214,0.0,,0.4214,0.4214,57.60M,60.48M,
2001-03,155.21M,155.51M,117.10M,38.41M,34.36M,0.536M,,,,,34.89M,3.519M,,,,,1.708M,0.666M,1.042M,,,1.042M,1.042M,4.418M,0.899M,3.519M,0.0178,0.0,,0.0178,0.0178,0.0178,0.0,,0.0178,0.0178,57.40M,60.25M,
2000-12,104.32M,104.32M,80.03M,24.29M,27.93M,-0.351M,,,,,28.25M,-3.954M,,,,,-4.583M,-1.872M,-2.711M,,,-2.711M,-2.711M,-0.821M,3.133M,-3.954M,-0.0471,0.0,,-0.0471,-0.0471,-0.0471,0.0,,-0.0471,-0.0471,57.41M,59.77M,
2000-09,191.54M,191.54M,144.88M,46.66M,29.24M,0.679M,0.049M,,,-0.222M,29.70M,16.96M,,,0.049M,,15.80M,6.051M,9.75M,,,9.75M,9.720M,17.64M,0.679M,16.96M,0.1691,0.0,,0.1686,0.1691,0.1632,0.0,,0.1627,0.1632,57.20M,59.91M,
2000-06,255.32M,255.32M,190.87M,64.45M,30.89M,0.657M,0.256M,,,-0.223M,31.32M,33.13M,,,0.256M,,32.02M,12.23M,19.80M,,,19.80M,19.64M,33.78M,0.657M,33.13M,0.3472,0.0,,0.3444,0.3472,0.3324,0.0,,0.3297,0.3324,57.12M,59.64M,
2000-03,121.08M,121.08M,92.11M,28.98M,25.86M,,0.238M,,,,26.52M,2.457M,,,0.238M,,1.981M,0.739M,1.242M,,,1.242M,1.093M,3.119M,0.662M,2.457M,0.0208,0.0,,0.0182,0.0208,0.0208,0.0,,0.0183,0.0208,57.43M,59.60M,
