,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-12,8.006M,8.006M,14.15M,35.54M,45.14M,,429.20M,9.67M,80.15M,5.457M,0.132M,577.75M,0.0,1.641M,2.196M,93.78M,,4.336M,28.05M,130.00M,-77.67M,52.33M,171.97M,10.20M,182.17M,1.243M,,10.27M,246.01M,823.76M,214.60M,7.341M,221.94M,5.658M,227.60M,,0.009M,0.009M,,0.009M,,,9.574M,263.91M,246.42M,,246.42M,19.11M,19.11M,0.00,8.147M,273.67M,537.58M,0.045M,-27.28M,310.50M,,,,2.912M,286.18M
2013-09,24.22M,24.22M,180.90M,,180.90M,,365.60M,9.474M,,3.742M,,583.93M,,,,,,,,,,51.54M,169.98M,10.39M,180.37M,1.112M,,9.92M,242.94M,826.87M,142.78M,,142.78M,64.74M,207.51M,,,0.015M,,0.015M,,,,207.53M,260.43M,,260.43M,15.46M,15.46M,,7.619M,283.51M,491.04M,0.046M,29.54M,305.83M,,,,0.418M,335.83M
2013-06,26.94M,26.94M,281.06M,,281.06M,,424.68M,10.22M,,5.103M,,748.00M,,,,,,,,,,51.11M,169.98M,10.59M,180.58M,1.19M,,9.133M,242.01M,990.01M,239.98M,,239.98M,79.84M,319.82M,,,0.02M,,0.02M,,,,319.84M,300.43M,,300.43M,15.26M,15.26M,,7.871M,323.56M,643.40M,0.047M,48.60M,297.12M,,,,0.837M,346.61M
2013-03,12.87M,12.87M,188.29M,,188.29M,,494.32M,13.03M,,5.153M,,713.67M,,,,,,,,,,48.76M,169.98M,10.79M,180.78M,1.179M,,9.36M,240.07M,953.74M,338.03M,,338.03M,30.41M,368.44M,,,0.021M,,0.021M,,,,368.46M,278.54M,,278.54M,14.21M,14.21M,,7.549M,300.30M,668.76M,0.046M,-2.446M,286.38M,,,,1.002M,284.98M
2012-12,12.46M,12.46M,86.18M,33.16M,113.86M,,400.31M,8.647M,0.00,5.186M,2.633M,543.10M,0.0,1.641M,2.188M,82.36M,,2.384M,26.25M,114.82M,-68.26M,46.57M,169.98M,11.05M,181.04M,1.16M,,8.718M,237.48M,780.58M,199.79M,,199.79M,30.17M,229.96M,,,0.023M,,0.023M,,,18.01M,248.00M,230.88M,,230.88M,13.45M,13.45M,,6.622M,250.96M,498.95M,0.046M,5.377M,276.33M,,,,-0.134M,281.62M
2012-09,28.82M,28.82M,,,175.46M,,349.32M,8.078M,,11.56M,,573.24M,,,,,,,,,,46.64M,169.98M,11.27M,181.25M,1.066M,,29.18M,258.14M,831.38M,163.54M,,163.54M,102.80M,266.35M,,,0.023M,,0.023M,,,,266.37M,214.33M,,214.33M,31.83M,31.83M,,6.381M,252.54M,518.91M,0.047M,47.51M,265.13M,,,,-0.216M,312.47M
2012-06,50.31M,50.31M,,,270.09M,,402.27M,8.437M,,11.74M,,742.84M,,,,,,,,,,45.41M,177.10M,11.50M,188.60M,1.089M,,29.08M,264.17M,1.007B,267.99M,,267.99M,87.61M,355.60M,,,0.022M,,0.022M,,,,355.63M,309.81M,,309.81M,32.14M,32.14M,,7.058M,349.01M,704.64M,0.047M,44.80M,256.97M,,,,0.554M,302.38M
2012-03,20.68M,20.68M,,,201.79M,,462.81M,12.59M,,11.74M,,709.61M,,,,,,,,,,45.36M,177.10M,11.72M,188.82M,1.099M,,29.38M,264.66M,974.26M,319.46M,,319.46M,34.24M,353.70M,,,0.023M,,0.023M,,,,353.72M,299.01M,,299.01M,32.96M,32.96M,,7.006M,338.97M,692.70M,0.048M,28.91M,250.60M,,,,2.01M,281.57M
2011-12,17.49M,17.49M,84.04M,31.13M,109.27M,,386.92M,7.527M,,7.084M,3.771M,532.07M,0.0,1.641M,2.188M,70.63M,,2.00M,24.82M,101.28M,-59.88M,41.39M,177.10M,11.74M,188.84M,0.98M,,7.621M,238.84M,770.90M,177.44M,,177.44M,36.14M,213.58M,,,0.022M,,0.022M,,,13.00M,226.60M,247.30M,,247.30M,9.531M,9.531M,,7.726M,264.56M,491.16M,0.047M,34.30M,243.18M,,,,2.22M,279.75M
2011-09,20.66M,20.66M,,,160.65M,,337.70M,7.354M,,10.14M,,536.50M,,,,,,,,,,40.77M,178.52M,11.95M,190.47M,0.976M,,29.49M,261.71M,798.21M,120.22M,,120.22M,70.72M,190.94M,,,0.022M,,0.022M,,,,190.96M,268.70M,,268.70M,26.55M,26.55M,,7.503M,302.75M,493.71M,0.048M,64.80M,236.62M,0.00,,,3.023M,304.50M
2011-06,37.22M,37.22M,,,266.03M,,389.76M,7.692M,,10.21M,,710.92M,,,,,,,,,,38.73M,178.52M,12.22M,190.74M,1.052M,,29.11M,259.63M,970.55M,247.90M,,247.90M,79.79M,327.70M,,,100.03M,,100.03M,,,,427.73M,206.05M,,206.05M,26.15M,26.15M,,7.663M,239.86M,667.59M,0.048M,66.48M,232.68M,0.00,,,3.754M,302.96M
2011-03,11.42M,11.42M,,,173.79M,,438.79M,6.85M,,10.21M,,641.06M,,,,,,,,,,34.75M,178.52M,12.60M,191.11M,0.903M,,28.82M,255.58M,896.64M,303.40M,,303.40M,29.10M,332.49M,,,100.06M,,100.06M,,,,432.56M,180.16M,,180.16M,25.87M,25.87M,,7.491M,213.52M,646.07M,0.048M,22.43M,226.55M,0.00,,,1.542M,250.57M
2010-12,9.721M,9.721M,,,101.54M,,347.44M,7.678M,,10.21M,,476.59M,0.0,1.641M,2.25M,58.53M,,1.962M,21.82M,86.21M,-55.53M,30.68M,178.52M,12.96M,191.48M,0.966M,,28.82M,251.95M,728.54M,169.70M,,169.70M,41.70M,211.40M,,,0.134M,,0.134M,,,,211.54M,198.70M,,198.70M,25.59M,25.59M,,7.532M,231.82M,443.36M,0.049M,67.68M,218.74M,2.344M,,,1.052M,285.18M
2010-09,32.56M,32.56M,,,155.25M,,306.61M,6.915M,,10.66M,,512.00M,,,,,,,,,,31.33M,178.09M,13.35M,191.44M,0.978M,,29.30M,253.05M,765.05M,128.00M,,128.00M,66.21M,194.21M,,,12.19M,,12.19M,,,,206.40M,219.20M,,219.20M,22.18M,22.18M,,7.004M,248.38M,454.78M,0.05M,95.73M,214.68M,,,,-0.196M,310.26M
2010-06,36.98M,36.98M,,,238.64M,,331.54M,8.001M,,10.68M,,625.84M,,,,,,,,,,32.16M,178.09M,13.86M,191.95M,1.083M,,28.84M,254.03M,879.87M,221.37M,,221.37M,70.82M,292.19M,,,24.22M,,24.22M,,,,316.41M,242.13M,,242.13M,22.13M,22.13M,,7.747M,272.01M,588.42M,0.05M,79.40M,211.09M,,,,0.915M,291.45M
2010-03,11.49M,11.49M,,,157.57M,,382.38M,13.51M,,10.68M,,575.64M,,,,,,,,,,32.21M,176.92M,13.45M,190.38M,1.087M,,28.56M,252.23M,827.86M,251.59M,,251.59M,25.43M,277.02M,,,36.22M,,36.22M,,,,313.24M,242.15M,,242.15M,21.98M,21.98M,,7.646M,271.78M,585.02M,0.049M,33.07M,207.80M,,,,1.927M,242.84M
2009-12,15.84M,15.84M,,,96.36M,,355.53M,12.90M,,10.68M,,491.32M,0.0,1.641M,2.222M,55.10M,,0.939M,20.96M,80.86M,-49.43M,31.43M,176.92M,13.92M,190.84M,1.006M,,28.50M,251.78M,743.10M,178.39M,,178.39M,33.89M,212.28M,,,48.24M,,48.24M,,,,260.51M,200.70M,,200.70M,21.92M,21.92M,,7.779M,230.40M,490.91M,0.049M,47.13M,202.78M,0.00,,,2.226M,252.19M
2009-09,30.44M,30.44M,,,149.73M,,318.18M,6.622M,,11.90M,,516.88M,,,,,,,,,,32.16M,170.29M,12.06M,182.35M,0.978M,,28.60M,244.08M,760.96M,137.76M,,137.76M,54.02M,191.78M,,,37.67M,,37.67M,,,,229.45M,235.80M,,235.80M,19.39M,19.39M,,6.514M,261.70M,491.15M,0.049M,67.10M,200.49M,,,,2.168M,269.81M
2009-06,41.73M,41.73M,,,233.29M,,325.20M,8.219M,,11.91M,,620.34M,,,,,,,,,,34.16M,170.60M,12.47M,183.07M,28.89M,,28.44M,274.56M,894.90M,194.00M,,194.00M,61.36M,255.36M,,,52.11M,,52.11M,,,,307.47M,282.02M,,282.02M,20.08M,20.08M,,6.145M,308.24M,615.71M,0.049M,83.88M,194.60M,,,,0.659M,279.19M
2009-03,13.10M,13.10M,,,160.32M,,397.86M,7.973M,,11.91M,,591.16M,,,,,,,,,,34.68M,169.94M,13.04M,182.97M,27.80M,,27.16M,272.61M,863.78M,201.30M,,201.30M,24.91M,226.21M,,,24.61M,,24.61M,,,,250.82M,356.72M,,356.72M,19.01M,19.01M,,5.736M,381.47M,632.30M,0.048M,41.83M,192.26M,,,,-2.661M,231.48M
2008-12,15.76M,15.76M,,,115.58M,,405.91M,7.676M,,11.91M,,556.84M,0.0,1.631M,2.145M,49.92M,,2.299M,19.21M,75.20M,-42.15M,33.05M,169.57M,13.34M,182.91M,31.16M,,26.95M,274.06M,830.91M,173.69M,,173.69M,61.70M,235.39M,,,26.90M,,26.90M,,,,262.29M,301.00M,,301.00M,20.03M,20.03M,,5.848M,326.88M,589.17M,0.048M,54.41M,189.66M,,,,-2.386M,241.73M
2008-09,25.28M,25.28M,45.43M,133.50M,178.93M,,345.94M,7.915M,,9.139M,,567.20M,,,,,,,,68.12M,-35.23M,32.90M,167.38M,13.52M,180.90M,,,60.89M,274.68M,841.88M,128.33M,,128.33M,80.64M,208.96M,,,63.76M,,63.76M,,,,272.73M,274.10M,,274.10M,18.61M,18.61M,,6.225M,298.93M,571.66M,0.047M,79.92M,183.68M,,,,6.581M,270.22M
2008-06,26.45M,26.45M,75.56M,203.09M,278.65M,,385.26M,11.38M,,9.139M,,710.88M,,,,,,,,69.12M,-35.23M,33.89M,167.35M,14.48M,181.83M,,,58.45M,274.18M,985.06M,193.66M,,193.66M,70.76M,264.42M,,,126.12M,,126.12M,,,,390.54M,316.00M,,316.00M,17.53M,17.53M,,6.455M,339.98M,730.52M,0.047M,66.08M,180.21M,,,,8.20M,254.53M
2008-03,6.476M,6.476M,42.27M,163.92M,206.19M,,476.76M,10.24M,,9.139M,,708.80M,,,,,,,,70.18M,-35.23M,34.96M,167.40M,15.46M,182.86M,,,56.32M,274.14M,982.95M,333.10M,,333.10M,30.70M,363.81M,,,69.96M,,69.96M,,,,433.77M,326.30M,,326.30M,15.30M,15.30M,,6.221M,347.82M,781.60M,0.047M,18.86M,177.65M,,,,4.79M,201.35M
2007-12,15.82M,15.82M,45.26M,95.86M,141.12M,,379.66M,8.265M,,9.139M,,554.01M,0.0,1.185M,19.18M,49.09M,,,,69.45M,-35.23M,34.22M,155.25M,14.50M,169.75M,,17.28M,39.60M,260.84M,814.85M,194.18M,,194.18M,13.87M,208.04M,,,71.77M,,71.77M,2.144M,2.144M,21.20M,303.16M,279.52M,,279.52M,17.71M,17.71M,,5.664M,302.90M,606.06M,0.047M,29.04M,172.00M,,10.14M,-2.432M,7.704M,208.79M
2007-09,50.26M,50.26M,58.02M,142.51M,200.53M,,317.11M,9.004M,,7.652M,,584.56M,,,,,,,,68.61M,-33.10M,35.52M,155.25M,15.46M,170.71M,,,53.63M,259.86M,844.42M,127.89M,,127.89M,53.56M,181.45M,,,114.06M,,114.06M,,,,295.51M,292.75M,,292.75M,15.18M,15.18M,,6.152M,314.09M,609.60M,0.048M,64.34M,169.89M,7.11M,,,7.657M,234.82M
2007-06,47.17M,47.17M,90.89M,210.37M,301.26M,,388.36M,10.70M,,7.676M,,755.18M,,,,,,,,69.72M,-33.10M,36.63M,155.23M,16.56M,171.79M,,,51.22M,259.64M,1.015B,229.69M,,229.69M,62.07M,291.76M,,,154.35M,,154.35M,,,,446.11M,272.60M,,272.60M,15.21M,15.21M,,6.519M,294.33M,740.44M,0.049M,102.02M,164.62M,,,,7.691M,274.38M
2007-03,30.56M,30.56M,51.10M,179.93M,231.03M,,413.16M,9.383M,,7.676M,,691.81M,,,,,,,,67.65M,-33.10M,34.55M,155.23M,17.76M,172.99M,,,48.28M,255.82M,947.63M,325.45M,,325.45M,24.52M,349.96M,,,106.65M,,106.65M,,,,456.61M,253.22M,,253.22M,13.87M,13.87M,,5.639M,272.73M,729.34M,0.049M,57.26M,156.36M,0.886M,,,5.50M,218.29M
2006-12,16.73M,16.73M,51.12M,103.82M,154.94M,,332.07M,8.005M,,7.676M,,519.42M,0.0,1.621M,15.70M,49.41M,,,,66.73M,-33.10M,33.63M,154.24M,18.73M,172.97M,,12.74M,35.80M,255.14M,774.56M,177.54M,,177.54M,19.01M,196.55M,,,78.64M,,78.64M,4.039M,4.039M,12.56M,291.79M,188.16M,,188.16M,15.02M,15.02M,,1.908M,205.09M,496.88M,0.05M,129.93M,148.82M,7.334M,6.094M,0.121M,6.215M,277.68M
