,NetIncome,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,31.34M,-0.046M,-0.046M,6.299M,0.47M,6.769M,6.769M,,3.321M,,0.681M,-117.38M,-168.52M,-3.843M,203.52M,,,-86.21M,-44.15M,-14.64M,,-14.64M,-0.578M,,,-15.22M,-21.68M,9.95M,-11.73M,,-2.592M,-2.592M,-15.01M,-15.01M,7.808M,59.73M,38.20M,29.94M,-21.16M,0.024M,8.803M,,159.13M,-170.86M,-2.592M
2017-12,25.66M,-0.018M,-0.474M,6.21M,0.436M,6.646M,6.646M,,2.986M,,-0.908M,68.30M,-44.84M,-2.573M,12.34M,,,33.23M,63.29M,-1.681M,,-1.681M,-5.955M,,0.00,-7.636M,-4.838M,2.226M,-2.612M,,-4.426M,-4.426M,-14.86M,-14.86M,2.819M,-42.62M,-61.70M,36.40M,-6.048M,-0.41M,29.94M,,151.86M,-154.47M,-4.426M
2017-09,48.78M,-0.043M,-0.043M,6.33M,0.389M,6.719M,6.719M,,3.197M,,-1.048M,108.85M,62.60M,0.866M,-76.56M,,,95.76M,153.36M,-3.214M,,-3.214M,-3.583M,,0.001M,-6.796M,95.86M,-6.292M,89.57M,,-132.91M,-132.91M,-15.06M,-15.06M,1.145M,-78.61M,-135.86M,26.67M,10.71M,-0.974M,36.40M,,314.11M,-224.54M,-132.91M
2017-06,94.62M,-0.04M,-0.04M,6.06M,0.378M,6.438M,6.438M,,3.296M,,0.275M,-75.54M,108.12M,0.228M,-146.32M,,,-113.51M,-8.921M,-15.37M,,-15.37M,-3.296M,,0.001M,-18.67M,-42.00M,5.126M,-36.87M,,-5.947M,-5.947M,-15.31M,-15.31M,1.353M,97.43M,40.65M,13.41M,13.06M,0.196M,26.67M,,404.60M,-441.48M,-5.947M
2017-03,22.27M,-0.038M,-0.038M,5.557M,0.365M,5.922M,5.922M,,3.003M,,1.847M,-123.52M,-161.67M,-2.617M,222.37M,,,-65.43M,-32.42M,-19.12M,,-19.12M,0.00,,0.002M,-19.12M,6.87M,8.67M,15.54M,,-2.725M,-2.725M,-12.80M,-12.80M,6.149M,36.30M,42.47M,21.96M,-9.077M,0.53M,13.41M,,224.63M,-209.09M,-2.725M
2016-12,2.572M,-0.043M,0.316M,5.318M,0.351M,5.669M,5.669M,,2.529M,-0.788M,-2.876M,66.27M,-31.67M,-1.983M,-25.09M,,,7.527M,22.21M,-3.964M,,-3.964M,-0.416M,,-1.03M,-5.41M,74.48M,-0.193M,74.29M,,-60.51M,-60.51M,-12.74M,-12.74M,0.774M,-25.78M,-23.98M,30.29M,-7.177M,-1.159M,21.96M,,282.97M,-208.69M,-60.51M
2016-09,44.42M,-0.051M,-0.051M,5.277M,0.553M,5.83M,5.83M,,2.523M,-3.379M,1.529M,115.59M,38.10M,0.635M,-48.28M,,,106.05M,156.93M,-4.609M,,-4.609M,-0.103M,,-0.791M,-5.503M,-17.83M,-5.525M,-23.35M,,-37.42M,-37.42M,-13.05M,-13.05M,5.279M,-83.82M,-152.37M,30.55M,-0.944M,0.685M,30.29M,,248.10M,-271.45M,-37.42M
2016-06,85.25M,-0.037M,-0.037M,5.007M,0.396M,5.403M,5.403M,,2.57M,-0.423M,-0.064M,-62.20M,104.82M,0.748M,-110.07M,,,-66.70M,26.00M,-12.37M,,-12.37M,-19.11M,,2.564M,-28.92M,-28.01M,0.828M,-27.18M,,-14.62M,-14.62M,-13.03M,-13.03M,0.765M,77.62M,23.56M,9.965M,20.63M,-0.045M,30.55M,,348.62M,-375.80M,-14.62M
2016-03,16.36M,-0.025M,-0.025M,4.736M,0.339M,5.075M,5.075M,,2.28M,-2.78M,2.334M,-125.33M,-119.30M,-2.477M,184.11M,,,-63.00M,-39.75M,-13.40M,,-13.40M,-0.10M,,-2.304M,-15.81M,52.89M,4.295M,57.19M,,-65.86M,-65.86M,-10.93M,-10.93M,4.934M,67.78M,53.12M,13.24M,-2.447M,-0.825M,9.965M,,292.84M,-235.65M,-65.86M
2015-12,2.579M,0.048M,1.052M,4.453M,0.244M,4.697M,4.697M,,2.431M,-2.79M,-3.183M,62.01M,-63.31M,-0.73M,59.84M,,,57.81M,68.07M,-7.796M,,-7.796M,-3.881M,,-2.547M,-14.22M,-9.852M,-0.099M,-9.951M,,-8.913M,-8.913M,-11.11M,-11.11M,7.363M,-52.73M,-75.34M,29.50M,-21.50M,5.23M,13.24M,,193.05M,-203.00M,-8.913M
2015-09,39.40M,-0.068M,-0.068M,4.233M,0.239M,4.472M,4.472M,,2.262M,-0.348M,0.975M,98.53M,60.31M,0.292M,-71.20M,,,87.93M,134.63M,-5.099M,,-5.099M,-0.123M,,0.216M,-5.006M,-28.95M,-1.631M,-30.58M,,-27.60M,-27.60M,-11.15M,-11.15M,2.534M,-69.45M,-136.26M,38.94M,-6.637M,-2.803M,29.50M,,196.56M,-227.14M,-27.60M
2015-06,77.81M,-0.07M,-0.07M,3.976M,0.254M,4.23M,4.23M,,2.679M,-0.83M,-0.768M,-79.03M,85.28M,-0.06M,-88.24M,,,-82.04M,1.007M,-7.403M,,-7.403M,-0.16M,,3.523M,-4.04M,31.36M,3.43M,34.79M,,-54.31M,-54.31M,-11.25M,-11.25M,2.143M,66.73M,38.11M,5.048M,35.08M,-1.179M,38.94M,,312.34M,-277.55M,-54.31M
2015-03,8.433M,-0.121M,-0.121M,3.711M,0.278M,3.989M,3.989M,,2.171M,-3.738M,2.107M,-98.16M,-93.13M,0.064M,120.74M,,,-70.49M,-57.65M,-8.797M,,-8.797M,-0.319M,,-5.407M,-14.52M,28.75M,-1.529M,27.22M,,-8.393M,-8.393M,-9.607M,-9.607M,6.229M,50.24M,65.69M,14.83M,-6.488M,-3.294M,5.048M,,217.89M,-190.67M,-8.393M
2014-12,-1.979M,0.005M,0.461M,3.746M,0.312M,4.058M,4.058M,,2.211M,-1.383M,-2.289M,67.14M,-49.67M,-1.053M,61.34M,,,77.76M,84.60M,-2.641M,,-2.641M,-1.267M,,0.032M,-3.876M,-59.41M,-1.089M,-60.50M,,-1.311M,-1.311M,-9.525M,-9.525M,5.44M,-11.40M,-77.30M,14.46M,3.419M,-3.044M,14.83M,,163.99M,-224.49M,-1.311M
2014-09,34.96M,-0.076M,-0.076M,3.728M,0.379M,4.107M,4.107M,,2.197M,-0.221M,-0.487M,100.18M,41.20M,0.138M,-93.89M,,,47.63M,88.11M,-2.766M,,-2.766M,-4.769M,,0.037M,-7.498M,40.15M,1.621M,41.77M,,-46.41M,-46.41M,-9.665M,-9.665M,1.755M,-79.79M,-92.34M,27.56M,-11.73M,-1.382M,14.46M,,203.12M,-161.35M,-46.41M
2014-06,73.86M,-0.054M,-0.054M,3.587M,0.368M,3.955M,3.955M,,2.599M,-2.433M,1.131M,-95.06M,75.10M,-0.153M,-72.49M,,,-92.60M,-13.54M,-6.051M,,-6.051M,-0.10M,,0.047M,-6.104M,55.11M,0.00,55.11M,,-60.58M,-60.58M,-9.841M,-9.841M,1.104M,54.06M,39.86M,7.257M,20.22M,0.089M,27.56M,,272.23M,-217.12M,-60.58M
2014-03,4.188M,-0.079M,-0.079M,3.434M,0.328M,3.762M,3.762M,,2.058M,-1.487M,1.851M,-85.02M,-97.03M,-1.197M,135.61M,,,-47.64M,-37.34M,-5.87M,,-5.87M,-4.512M,,0.049M,-10.33M,21.44M,,21.44M,,-28.17M,-28.17M,-8.569M,-8.569M,5.231M,57.86M,47.79M,8.006M,0.111M,-0.86M,7.257M,,184.99M,-163.55M,-28.17M
2013-12,-4.975M,-0.13M,0.187M,3.643M,0.315M,3.958M,3.958M,,2.06M,-0.244M,0.302M,55.55M,-62.00M,-0.559M,53.63M,,,46.62M,51.24M,-4.335M,,-4.335M,0.00,,0.049M,-4.286M,-66.00M,,-66.01M,,-43.15M,-43.15M,-8.688M,-8.688M,2.369M,51.95M,-63.53M,24.22M,-16.58M,0.359M,8.006M,,82.29M,-148.31M,-43.15M
2013-09,32.33M,0.003M,0.003M,3.378M,0.30M,3.678M,3.678M,,1.979M,-1.18M,1.439M,100.08M,58.84M,0.604M,-110.95M,,,48.57M,86.82M,-3.907M,,-3.907M,-0.056M,,0.047M,-3.916M,-39.99M,,-39.99M,,-42.59M,-42.59M,-8.812M,-8.812M,5.551M,0.426M,-85.42M,26.94M,-2.511M,-0.203M,24.22M,,197.17M,-237.16M,-42.59M
2013-06,66.53M,-0.037M,-0.037M,3.265M,0.301M,3.566M,3.566M,,2.206M,-1.484M,-1.595M,-91.43M,70.65M,2.92M,-44.32M,,,-62.18M,7.008M,-5.618M,,-5.618M,-0.863M,,0.02M,-6.461M,21.88M,,21.88M,,-6.608M,-6.608M,-8.874M,-8.874M,7.051M,1.484M,14.93M,12.87M,15.48M,-1.416M,26.94M,,249.71M,-227.83M,-6.608M
2013-03,3.44M,-0.018M,-0.018M,3.073M,0.321M,3.394M,3.394M,,1.905M,-1.703M,-0.038M,-74.28M,-94.79M,-2.461M,124.56M,,,-46.97M,-39.99M,-4.882M,,-4.882M,-0.325M,,0.009M,-5.198M,47.66M,,47.66M,,-3.829M,-3.829M,-7.434M,-7.434M,6.438M,1.703M,44.53M,12.46M,-0.651M,1.061M,12.87M,,149.76M,-102.10M,-3.829M
2012-12,-7.997M,-0.129M,-0.196M,3.111M,0.322M,3.433M,3.433M,0.00,2.229M,-1.953M,-0.14M,59.62M,-48.88M,-3.766M,-14.74M,,,-7.768M,-5.452M,-2.554M,,-2.554M,-0.119M,,0.011M,-2.662M,16.55M,,16.55M,,-26.67M,-26.67M,-7.466M,-7.466M,7.025M,1.953M,-8.612M,28.82M,-16.73M,0.371M,12.46M,,125.25M,-108.70M,-26.67M
2012-09,21.38M,-0.016M,-0.016M,2.922M,0.324M,3.246M,3.246M,6.946M,1.93M,-0.925M,-0.97M,94.81M,52.93M,-0.005M,-88.32M,,,59.42M,91.01M,-4.197M,,-4.197M,-0.151M,,-0.083M,-4.431M,-95.49M,,-95.49M,,-11.22M,-11.22M,-7.446M,-7.446M,5.301M,0.925M,-107.93M,50.31M,-21.35M,-0.139M,28.82M,,137.04M,-232.53M,-11.22M
2012-06,64.94M,-0.027M,-0.027M,2.895M,0.318M,3.213M,3.213M,,2.205M,-0.471M,0.307M,-67.48M,59.50M,4.007M,1.351M,,,-2.622M,67.55M,-2.859M,,-2.859M,-0.574M,,-0.113M,-3.546M,10.80M,,10.80M,,-41.50M,-41.50M,-7.555M,-7.555M,3.701M,0.471M,-34.08M,20.68M,29.92M,-0.287M,50.31M,,130.22M,-119.42M,-41.50M
2012-03,3.651M,-0.144M,-0.144M,2.664M,0.32M,2.984M,2.984M,,2.101M,-1.138M,0.941M,-90.35M,-72.79M,-1.395M,122.11M,,,-42.42M,-34.03M,-6.661M,,-6.661M,-3.855M,,-0.053M,-10.57M,51.71M,,51.71M,,-2.369M,-2.369M,-6.668M,-6.668M,4.178M,1.138M,47.98M,17.49M,3.389M,-0.195M,20.68M,,215.41M,-163.70M,-2.369M
2011-12,,-0.024M,0.831M,2.675M,0.316M,2.991M,2.991M,1.55M,2.09M,-0.889M,-78.02M,50.05M,-46.34M,-3.628M,41.10M,,,41.19M,43.13M,-2.495M,,-2.495M,-2.973M,0.177M,,-5.481M,49.10M,-70.00M,-20.90M,-9.506M,-13.72M,-23.23M,,-6.672M,,-1.285M,-39.00M,20.66M,-1.356M,-1.813M,17.49M,-9.506M,302.70M,-323.60M,-13.72M
2011-09,,-0.023M,-0.023M,2.601M,0.345M,2.946M,2.946M,0.00,2.059M,-0.208M,23.08M,105.61M,51.96M,0.66M,-135.16M,,,23.06M,50.91M,-4.532M,,-4.532M,-0.324M,-0.064M,,-4.92M,-0.02M,-37.35M,-37.37M,1.68M,-19.12M,-17.44M,,-6.724M,,0.208M,-61.32M,37.22M,-15.33M,-1.233M,20.66M,1.68M,101.60M,-138.97M,-19.12M
2011-06,,-0.15M,-0.15M,2.263M,0.454M,2.717M,2.717M,,2.192M,-0.616M,56.97M,-89.95M,50.56M,-0.844M,-2.697M,,,-42.92M,18.19M,-6.181M,,-6.181M,-2.637M,-0.113M,,-8.931M,-0.536M,25.89M,25.36M,3.314M,-7.772M,-4.458M,,-6.753M,,0.616M,14.76M,11.42M,24.02M,1.779M,37.22M,3.314M,177.79M,-152.44M,-7.772M
2011-03,,-0.012M,-0.012M,2.207M,0.444M,2.651M,2.651M,,1.892M,-1.405M,-1.83M,-71.60M,-91.52M,0.861M,123.84M,,,-38.42M,-37.13M,-6.246M,,-6.246M,0.00,0.00,,-6.246M,-0.089M,81.46M,81.37M,4.512M,-35.95M,-31.44M,,-6.321M,,1.405M,45.01M,9.721M,1.637M,0.062M,11.42M,4.512M,167.26M,-85.89M,-35.95M
2010-12,57.64M,0.012M,-1.162M,2.248M,0.521M,2.769M,2.769M,,1.878M,-0.606M,-61.62M,53.88M,-39.53M,,53.57M,,-39.54M,33.08M,28.72M,-1.478M,,-1.478M,-1.301M,,,-2.779M,-16.59M,-15.97M,-32.56M,-4.717M,-12.15M,-16.87M,,-6.438M,,0.106M,-49.47M,32.56M,-23.53M,0.692M,9.721M,-4.717M,82.40M,-114.96M,-12.15M
2010-09,,-0.015M,-0.015M,2.263M,0.637M,2.90M,2.90M,,1.878M,-0.169M,19.02M,83.92M,26.07M,,-93.38M,,-3.702M,12.91M,36.53M,-1.516M,,-1.516M,0.00,0.00,,-1.516M,-11.54M,-22.93M,-34.47M,1.545M,0.00,1.545M,,-6.45M,,-0.331M,-39.71M,36.98M,-4.698M,0.274M,32.56M,1.545M,154.10M,-188.57M,0.00
2010-06,6.111M,0.004M,0.004M,2.245M,0.623M,2.868M,2.868M,,2.163M,-0.307M,45.07M,-73.20M,55.99M,,-35.45M,,50.76M,-1.914M,54.00M,-1.951M,,-1.951M,-4.872M,0.00,,-6.823M,-12.58M,-2.548M,-15.12M,0.819M,-0.001M,0.818M,,-6.44M,,0.307M,-20.44M,11.49M,26.74M,-1.247M,36.98M,0.819M,117.49M,-132.61M,-0.001M
2010-03,-6.111M,-0.106M,-0.106M,2.224M,0.567M,2.791M,2.791M,,1.871M,-0.795M,-2.329M,-59.76M,-26.58M,,73.24M,,-7.518M,-20.60M,-25.28M,-3.133M,,-3.133M,,,,-3.133M,-12.04M,41.45M,29.41M,2.353M,-1.533M,0.82M,,-6.418M,,0.65M,24.46M,15.84M,-3.958M,-0.391M,11.49M,2.353M,99.05M,-69.64M,-1.533M
2009-12,-13.61M,-0.028M,0.334M,2.327M,0.582M,2.909M,2.909M,0.00,1.721M,-0.214M,0.394M,56.95M,-30.51M,,12.84M,,1.533M,34.64M,26.18M,-0.998M,,-0.998M,-10.56M,,,-11.55M,-1.234M,-23.10M,-24.33M,0.357M,0.00,0.357M,,-6.365M,,-0.091M,-30.43M,30.44M,-15.81M,1.213M,15.84M,0.357M,107.90M,-132.23M,0.00
2009-09,-9.322M,27.83M,27.83M,2.272M,0.565M,2.837M,2.837M,0.31M,1.773M,-1.587M,-1.071M,83.66M,6.769M,,-56.24M,,-3.493M,30.69M,51.46M,-0.304M,,-0.304M,0.00,,,-0.304M,-26.54M,-34.22M,-60.76M,2.527M,-1.112M,1.415M,,-6.344M,,1.587M,-64.10M,41.73M,-12.94M,1.654M,30.44M,2.527M,175.80M,-236.56M,-1.112M
2009-06,48.37M,-1.123M,-1.123M,2.283M,0.645M,2.928M,2.928M,,1.614M,-0.332M,-1.942M,-70.94M,72.90M,,-7.284M,,37.39M,32.07M,81.58M,-1.985M,,-1.985M,-0.381M,,,-2.366M,15.34M,-62.71M,-47.36M,0.399M,0.00,0.399M,,-6.322M,,0.332M,-52.95M,13.10M,26.26M,2.366M,41.73M,0.399M,120.12M,-167.48M,0.00
2009-03,-6.236M,3.353M,3.353M,2.209M,0.662M,2.871M,2.871M,,1.321M,-0.275M,-2.458M,-44.22M,7.51M,,27.60M,,-35.43M,-44.54M,-45.97M,-3.881M,,-3.881M,,,,-3.881M,-14.52M,67.72M,53.20M,1.00M,-0.059M,0.941M,,-6.279M,,0.275M,48.14M,15.76M,-1.706M,-0.953M,13.10M,1.00M,100.12M,-46.92M,-0.059M
2008-12,-14.80M,2.80M,3.375M,2.55M,0.526M,3.076M,3.076M,,6.709M,-4.538M,1.089M,60.26M,-58.64M,,65.66M,,-45.91M,21.39M,16.75M,-2.004M,,-2.004M,-2.575M,,,-4.579M,-50.76M,27.22M,-19.98M,2.687M,-4.474M,-1.787M,,-6.244M,,12.04M,-15.96M,25.28M,-3.797M,-5.719M,15.76M,2.687M,454.28M,-477.82M,-4.474M
2008-09,22.06M,,0.101M,2.378M,1.047M,3.425M,3.425M,,,,0.424M,98.83M,38.55M,,-65.33M,,13.64M,85.69M,111.70M,-1.388M,,-1.388M,0.39M,,,-0.998M,,,-94.36M,1.447M,-1.981M,-0.534M,,-6.236M,,-9.135M,-110.26M,26.45M,0.435M,-1.61M,25.28M,1.447M,,,-1.981M
2008-06,52.88M,-2.446M,-2.789M,2.417M,1.085M,3.502M,3.502M,,-2.27M,1.54M,5.229M,-72.64M,89.96M,,-138.80M,,43.67M,-77.81M,-19.72M,-1.776M,,-1.776M,0.626M,,,-1.15M,2.322M,-47.27M,45.85M,0.428M,0.00,0.428M,,-6.217M,,0.09M,40.15M,6.476M,19.28M,0.70M,26.45M,0.428M,-87.60M,42.65M,0.00
2008-03,-3.184M,2.446M,2.446M,2.387M,1.064M,3.451M,3.451M,,2.27M,-1.54M,-2.612M,-60.10M,-80.96M,,136.20M,,-11.40M,-16.27M,-15.44M,-1.835M,,-1.835M,-32.74M,,,-34.58M,-2.322M,47.27M,44.95M,1.861M,-1.263M,0.598M,,-5.734M,,1.54M,41.35M,15.82M,-8.663M,-0.686M,6.476M,1.861M,87.60M,-42.65M,-1.263M
2007-12,-11.59M,,-2.861M,2.421M,1.029M,3.45M,3.45M,,,,7.354M,58.20M,-62.58M,,66.25M,,-27.93M,45.56M,38.16M,-1.219M,,-1.219M,0.00,0.00,-0.035M,-1.254M,,,-55.86M,0.138M,-10.90M,-10.76M,,-5.701M,,-0.618M,-72.94M,50.26M,-36.03M,1.594M,15.82M,0.138M,,,-10.90M
2007-09,21.84M,,0.364M,2.352M,1.172M,3.524M,3.524M,,,,-0.327M,98.36M,70.86M,,-101.84M,,-5.218M,62.16M,87.56M,-1.801M,,-1.801M,0.00,0.00,0.035M,-1.766M,,,-20.16M,1.74M,-60.78M,-59.04M,,-5.848M,,1.946M,-83.10M,47.17M,2.691M,0.403M,50.26M,1.74M,,,-60.78M
2007-06,57.79M,,0.923M,2.332M,1.273M,3.605M,3.605M,,,,-1.163M,-71.34M,24.17M,,-95.76M,,40.99M,-101.93M,-40.77M,-4.533M,,-4.533M,-1.245M,0.00,,-5.778M,,,67.05M,2.493M,-6.21M,-3.717M,,-5.937M,,3.545M,60.94M,30.56M,14.40M,2.219M,47.17M,2.493M,,,-6.21M
2007-03,1.354M,,0.067M,2.184M,1.22M,3.404M,3.404M,,,,-1.291M,-76.40M,-80.45M,,147.86M,,-7.849M,-16.84M,-13.31M,-3.073M,,-3.073M,-0.842M,0.075M,,-3.84M,,,92.80M,2.921M,-61.79M,-58.87M,,-5.248M,,2.457M,31.14M,16.73M,14.00M,-0.174M,30.56M,2.921M,,,-61.79M
2006-12,-5.001M,,-1.698M,2.182M,1.27M,3.452M,3.452M,,,,-0.202M,55.82M,-48.01M,,66.09M,,-56.52M,-4.498M,-12.47M,-3.631M,,-3.631M,0.00,,,-3.631M,,,5.955M,0.885M,-17.62M,-16.73M,,-5.346M,,5.477M,-10.65M,40.87M,-26.74M,2.605M,16.73M,0.885M,,,-17.62M
2006-09,31.49M,,-0.955M,2.147M,1.074M,3.221M,3.221M,,,,0.254M,92.76M,91.42M,,-104.90M,,17.39M,96.67M,130.68M,-3.423M,,-3.423M,-25.22M,,,-28.64M,,,-44.98M,1.822M,-45.07M,-43.25M,,-5.444M,,-0.351M,-94.02M,32.51M,8.02M,0.347M,40.87M,1.822M,,,-45.07M
2006-06,62.11M,,6.068M,1.973M,1.07M,3.043M,3.043M,,,,-5.356M,-84.24M,38.82M,,-59.60M,,50.62M,-54.41M,11.45M,-4.315M,,-4.315M,0.00,,,-4.315M,,,66.79M,0.804M,-44.35M,-43.55M,,-5.54M,,1.127M,18.83M,5.964M,25.97M,0.577M,32.51M,0.804M,,,-44.35M
2006-03,6.422M,,-5.944M,1.86M,1.328M,3.188M,3.188M,,,,,-69.64M,-76.35M,,93.14M,,-11.48M,-64.32M,-60.66M,-3.408M,,-3.408M,-1.446M,,,-4.854M,,,41.15M,3.709M,-4.071M,-0.362M,,-4.75M,,8.218M,44.26M,26.87M,-21.26M,0.354M,5.964M,3.709M,,,-4.071M
2005-12,-0.877M,,0.936M,1.717M,0.997M,2.714M,2.714M,,,,-3.658M,41.02M,-100.93M,,56.95M,,-43.58M,-4.643M,-12.82M,-1.805M,,-1.805M,-89.96M,-3.539M,3.589M,-91.72M,,,111.20M,1.335M,-25.74M,-24.40M,,-4.71M,,4.808M,86.90M,44.64M,-17.64M,-0.139M,26.87M,1.335M,,,-25.74M
